"id"	"成熟期"	"科名"	"保存编号"	"品种名称"	"其他"	"原产地"	"柱头色"	"叶色"	"千粒重"	"类别"	"出苗期"	"样品类型"	"省"	"粒色"	"有效分蘖数"	"保存单位"	"库编号"	"花药色"	"播种期"	"学名"	"统一编号"	"译名"	"属名"	"粒形"	"株高"	"叶鞘色"
"66"	"10.17"	"Gramineae(禾本科)"	"YI199"	"上龙五谷"	"--"	"安龙"	"紫"	"绿"	"71.10"	"栽培"	"7.04"	"地方"	"贵州"	"黑褐"	"3.4"	"中国农科院品资所"	"I7C00791"	"黄"	"6.28"	"--"	"ZI000128"	"SHANG LONG WU GU"	"Coix(薏苡属)"	"卵圆球"	"172.00"	"淡紫"
"67"	"10.17"	"Gramineae(禾本科)"	"YI200"	"巴铃五谷"	"--"	"兴仁"	"紫"	"绿"	"69.50"	"栽培"	"7.05"	"地方"	"贵州"	"淡黄"	"2.2"	"中国农科院品资所"	"--"	"黄"	"6.28"	"--"	"ZI000129"	"BA LING WU GU"	"Coix(薏苡属)"	"卵圆球"	"137.60"	"绿"
"68"	"10.17"	"Gramineae(禾本科)"	"YI201"	"上思薏苡"	"--"	"上思"	"紫"	"绿"	"89.00"	"栽培"	"7.05"	"地方"	"广西"	"褐"	"3.4"	"中国农科院品资所"	"I7C00792"	"黄"	"6.28"	"--"	"ZI000130"	"SHANG SI YI YI"	"Coix(薏苡属)"	"卵圆球"	"167.00"	"绿"
"69"	"8.20"	"Gramineae(禾本科)"	"Ig487"	"树籽子"	"--"	"神农架"	"黄"	"绿"	"251.60"	"野生"	"4.28"	"野生"	"湖北"	"黑"	"7.0"	"湖北省农科院现代所"	"I7C00908"	"黄"	"4.04"	"--"	"ZI000131"	"SHU ZI ZI"	"Coix(薏苡属)"	"圆球"	"156.00"	"红"
"70"	"8.24"	"Gramineae(禾本科)"	"Ig483"	"串珠子"	"--"	"兴山"	"黄"	"绿"	"200.50"	"野生"	"4.28"	"野生"	"湖北"	"黑"	"6.0"	"湖北省农科院现代所"	"I7C00909"	"黄"	"4.04"	"--"	"ZI000132"	"CHUAN ZHU ZI"	"Coix(薏苡属)"	"圆球"	"144.00"	"红"
"71"	"8.24"	"Gramineae(禾本科)"	"Ig488"	"树枝子"	"--"	"秭归"	"黄"	"绿"	"232.00"	"野生"	"4.28"	"野生"	"湖北"	"黑"	"8.0"	"湖北省农科院现代所"	"I7C00910"	"黄"	"4.04"	"--"	"ZI000133"	"SHU ZHI ZI"	"Coix(薏苡属)"	"圆球"	"161.00"	"红"
"72"	"8.25"	"Gramineae(禾本科)"	"Ig553"	"娄谷"	"--"	"恩施"	"黄"	"绿"	"225.00"	"野生"	"4.28"	"野生"	"湖北"	"黑"	"5.0"	"湖北省农科院现代所"	"I7C00345"	"黄"	"4.04"	"--"	"ZI000134"	"LOU GU"	"Coix(薏苡属)"	"圆球"	"171.00"	"红"
"73"	"7.25"	"Gramineae(禾本科)"	"--"	"薏苡"	"落粒"	"北京"	"黄"	"绿"	"151.10"	"野生"	"4.28"	"野生"	"北京"	"黑"	"10.0"	"湖北省农科院现代所"	"I7C00346"	"黄"	"4.04"	"--"	"ZI000135"	"YI YI"	"Coix(薏苡属)"	"圆球"	"145.00"	"红"
"74"	"11.25"	"Gramineae(禾本科)"	"GY001"	"隆林白壳"	"--"	"隆林县"	"紫"	"绿"	"88.00"	"农家种"	"6.28"	"地方"	"广西"	"白"	"3.8"	"广西农科院品资所"	"I7C00331"	"黄"	"6.20"	"Coix lacryma-jobi L."	"ZI000136"	"LONG LIN BAI KE"	"Coix(薏苡属)"	"圆球"	"192.00"	"淡紫"
"75"	"4.10"	"Gramineae(禾本科)"	"5004"	"薏仁米"	"--"	"贵州"	"黄"	"绿"	"101.50"	"栽培"	"5.09"	"地方"	"贵州"	"白黄"	"2.5"	"贵州省农科院旱粮所"	"I7C00805"	"黄"	"4.29"	"--"	"ZI000218"	"YI REN MI"	"Coix(薏苡属)"	"卵圆球"	"190.00"	"绿"
