"id"	"科名"	"可溶固形物"	"品种名称"	"原产地"	"省"	"外观评价"	"果仁甜苦"	"内质评价"	"总糖％"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"肉色"	"果实成熟期"	"肉质"	"单果重G"	"成熟期评价"	"总酸％"	"色泽"	"学名"	"统一编号"	"译名"	"果形"	"属名"	"核粘离性"	"果仁大小G"	"发育期D"
"11"	"Rosaceae(蔷薇科)"	"9.6"	"野银白"	"辽宁锦西"	"辽宁"	"较差"	"苦"	"中下"	"7.2"	"10.4"	"酸"	"多酸"	"很小"	"橙黄"	"7.16"	"硬脆"	"27.4"	"晚"	"2.2"	"红"	"Prunus armeniaca L.(杏)"	"XC0011"	"YE YIN BAI"	"圆"	"Prunus(李属)"	"离"	"0.58"	"82"
"12"	"Rosaceae(蔷薇科)"	"12.0"	"友谊银白"	"黑龙江"	"黑龙"	"差"	"苦"	"中下"	"8.1"	"10.0"	"甜酸"	"多酸"	"极小"	"浅黄"	"7.07"	"松软"	"19.2"	"中"	"2.4"	"红"	"Prunus armeniaca L.(杏)"	"XC0012"	"YOU YI YIN BAI"	"长圆"	"Prunus(李属)"	"离"	"0.53"	"76"
"13"	"Rosaceae(蔷薇科)"	"13.1"	"克孜尔达拉斯"	"新疆"	"新疆"	"较差"	"甜"	"中"	"5.8"	"13.9"	"甜酸"	"制干用"	"很小"	"浅黄"	"7.13"	"硬脆"	"22.8"	"中"	"1.0"	"红"	"Prunus armeniaca L.(杏)"	"XC0013"	"KE ZI ER DA LA SI"	"圆"	"Prunus(李属)"	"离"	"0.47"	"80"
"14"	"Rosaceae(蔷薇科)"	"16.6"	"克孜克西米西"	"新疆"	"新疆"	"差"	"苦"	"中下"	"9.5"	"22.3"	"酸甜"	"高VC,多糖,高固形物"	"极小"	"浅黄"	"7.10"	"松软"	"18.5"	"中"	"1.1"	"淡黄"	"Prunus armeniaca L.(杏)"	"XC0014"	"KE ZI KE XI MI XI"	"卵圆"	"Prunus(李属)"	"半离"	"0.57"	"77"
"15"	"Rosaceae(蔷薇科)"	"10.8"	"锦西大红杏"	"辽宁锦西"	"辽宁"	"好"	"苦"	"上"	"7.8"	"10.7"	"甜酸"	"优质,制罐用"	"较小"	"橙黄"	"7.13"	"硬脆"	"44.6"	"中"	"1.5"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0015"	"JIN XI DA HONG XING"	"卵圆"	"Prunus(李属)"	"离"	"0.57"	"79"
"16"	"Rosaceae(蔷薇科)"	"11.0"	"昌黎大红杏"	"河北昌黎"	"河北"	"中"	"苦"	"中"	"6.9"	"4.9"	"酸"	"--"	"小"	"黄"	"7.16"	"硬脆"	"38.6"	"晚"	"1.3"	"红"	"Prunus armeniaca L.(杏)"	"XC0016"	"CHANG LI DA HONG XING"	"扁圆"	"Prunus(李属)"	"离"	"0.42"	"82"
"17"	"Rosaceae(蔷薇科)"	"14.7"	"曲阜白杏"	"山东曲阜"	"山东"	"较差"	"苦"	"中下"	"7.7"	"5.8"	"酸甜"	"--"	"很小"	"浅黄"	"7.10"	"松软"	"22.6"	"中"	"1.9"	"红"	"Prunus armeniaca L.(杏)"	"XC0017"	"QU FU BAI XING"	"卵圆"	"Prunus(李属)"	"离"	"0.60"	"77"
"18"	"Rosaceae(蔷薇科)"	"13.4"	"占屯红杏"	"辽宁熊岳"	"辽宁"	"中"	"甜"	"中"	"6.9"	"12.3"	"酸甜"	"--"	"小"	"浅黄"	"7.05"	"松软"	"32.0"	"中"	"1.9"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0018"	"ZHAN TUN HONG XING"	"圆"	"Prunus(李属)"	"离"	"0.46"	"72"
"19"	"Rosaceae(蔷薇科)"	"15.6"	"曲阜大黄"	"山东曲阜"	"山东"	"中"	"苦"	"中"	"7.0"	"7.9"	"酸甜"	"多酸"	"较小"	"黄"	"7.18"	"松软"	"42.0"	"晚"	"2.2"	"黄"	"Prunus armeniaca L.(杏)"	"XC0019"	"QU FU DA HUANG"	"扁圆"	"Prunus(李属)"	"离"	"0.55"	"85"
"20"	"Rosaceae(蔷薇科)"	"12.5"	"红花接"	"河北昌黎"	"河北"	"中"	"苦"	"中"	"6.7"	"6.9"	"酸甜"	"--"	"中"	"黄"	"7.16"	"硬脆"	"48.7"	"晚"	"1.4"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0020"	"HONG HUA JIE"	"扁圆"	"Prunus(李属)"	"离"	"0.43"	"83"
"21"	"Rosaceae(蔷薇科)"	"11.4"	"关爷脸四号"	"河北"	"河北"	"好"	"甜"	"上"	"6.8"	"7.0"	"甜酸"	"质优"	"中"	"黄"	"7.06"	"硬脆"	"55.7"	"中"	"1.8"	"红"	"Prunus armeniaca L.(杏)"	"XC0021"	"GUAN YE LIAN SI HAO"	"圆"	"Prunus(李属)"	"离"	"0.52"	"72"
"22"	"Rosaceae(蔷薇科)"	"13.6"	"巴斗杏"	"安徽"	"安徽"	"好"	"甜"	"上"	"5.6"	"9.5"	"酸"	"质优"	"较大"	"橙黄"	"7.15"	"硬脆"	"55.2"	"晚"	"1.5"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0022"	"BA DOU XING"	"圆"	"Prunus(李属)"	"离"	"0.57"	"83"
"23"	"Rosaceae(蔷薇科)"	"10.5"	"临潼菜籽黄"	"陕西临潼"	"陕西"	"中"	"甜"	"中"	"5.8"	"6.5"	"酸甜"	"仁大"	"中"	"黄"	"7.11"	"硬脆"	"46.0"	"中"	"1.7"	"橙黄"	"Prunus armeniaca L.(杏)"	"XC0023"	"LIN TONG CAI ZI HUANG"	"卵圆"	"Prunus(李属)"	"半离"	"0.85"	"78"
"24"	"Rosaceae(蔷薇科)"	"10.2"	"金黄杏"	"河北昌黎"	"河北"	"较差"	"苦"	"中"	"5.6"	"7.2"	"甜酸"	"--"	"小"	"浅黄"	"7.06"	"松软"	"34.6"	"中"	"1.5"	"紫红"	"Prunus armeniaca L.(杏)"	"XC0024"	"JIN HUANG XING"	"扁圆"	"Prunus(李属)"	"离"	"0.68"	"73"
"25"	"Rosaceae(蔷薇科)"	"10.9"	"牛角黄杏"	"陕西长安"	"陕西"	"中"	"甜"	"中上"	"8.7"	"4.8"	"甜酸"	"--"	"中"	"浅黄"	"7.05"	"硬脆"	"51.1"	"中"	"1.1"	"红"	"Prunus armeniaca L.(杏)"	"XC0025"	"NIU JIAO HUANG XING"	"卵圆"	"Prunus(李属)"	"离"	"0.68"	"71"
"26"	"Rosaceae(蔷薇科)"	"11.1"	"克孜尔苦买提"	"新疆轮台"	"新疆"	"差"	"甜"	"中上"	"6.8"	"13.0"	"甜酸"	"制干用"	"极小"	"黄"	"7.14"	"硬脆"	"16.4"	"中"	"1.3"	"淡黄"	"Prunus armeniaca L.(杏)"	"XC0026"	"KE ZI ER KU MAI TI"	"圆"	"Prunus(李属)"	"粘"	"0.32"	"80"
"27"	"Rosaceae(蔷薇科)"	"10.6"	"西山麦黄"	"北京"	"北京"	"较好"	"苦"	"中"	"5.1"	"7.6"	"甜酸"	"--"	"中"	"浅黄"	"7.02"	"松软"	"48.2"	"早"	"1.5"	"红"	"Prunus armeniaca L.(杏)"	"XC0027"	"XI SHAN MAI HUANG"	"扁圆"	"Prunus(李属)"	"粘"	"0.42"	"69"
"28"	"Rosaceae(蔷薇科)"	"12.5"	"熊岳大杏梅"	"辽宁熊岳"	"辽宁"	"好"	"苦"	"中上"	"6.0"	"4.4"	"酸甜"	"大果"	"大"	"黄"	"7.01"	"松软"	"60.9"	"早"	"1.9"	"红"	"Prunus mume var. viridicalyx Maki.(杏梅)"	"XC0028"	"XIONG YUE DA XING MEI"	"圆"	"Prunus(李属)"	"半离"	"0.70"	"68"
