"id"	"备注"	"老荚日数"	"单荚重"	"品种名称"	"株型"	"保存编号"	"译名"	"青荚日数"	"荚形"	"荚壁纤维"	"种子来源"	"荚厚"	"翼瓣次色"	"种子形状"	"种子皮色"	"嫩荚色"	"株高"	"种子大小"	"保存单位"	"亩产"	"翼瓣色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种皮次色"	"抗逆性"	"抗病虫性"	"荚宽"	"品质"	"嫩荚次色"	"荚长"
"25"	"--"	"70"	"--"	"福州青豇豆"	"蔓生"	"87-G-14"	"FU ZHOU QING JIANG DOU"	"50"	"棍形"	"--"	"福建福州市"	"--"	"--"	"--"	"褐"	"绿"	"--"	"中"	"福州市蔬菜科研所"	"1000"	"紫"	"Ⅱ7E0214"	"V07E0046"	"3下-5中,4下-7"	"--"	"--"	"强"	"中"	"0.4"	"--"	"--"	"58.0"
"26"	"国外引进"	"110"	"13.0"	"菲律宾选33-1"	"蔓生"	"89-G-33-1"	"FEI LU BIN XUAN 33-1"	"85"	"--"	"中"	"福建福州市"	"0.5"	"紫"	"卵圆"	"白"	"深绿"	"200.0"	"中"	"福州市蔬菜科研所"	"1650"	"浅兰"	"Ⅱ7E0933"	"V07E0047"	"3下-5上"	"--"	"白"	"中"	"强"	"0.5"	"好"	"--"	"27.0"
"27"	"又名菲律宾花仁豇豆"	"105"	"21.8"	"菲律宾选33-4"	"蔓生"	"89-G-33-4"	"FEI LU BIN XUAN 33-4"	"85"	"细长条"	"中"	"福建福州市"	"0.7"	"--"	"卵圆"	"白"	"绿"	"305.0"	"中"	"福州市蔬菜科研所"	"1900"	"兰"	"Ⅱ7E0935"	"V07E0048"	"3下-5上"	"--"	"白"	"中"	"中"	"0.7"	"好"	"--"	"44.0"
"28"	"--"	"90"	"9.0"	"大湖豇豆"	"蔓生"	"89-G-36"	"DA HU JIANG DOU"	"65"	"棍形"	"多"	"福建福州市"	"0.6"	"--"	"--"	"褐"	"紫"	"304.0"	"中"	"福州市蔬菜科研所"	"700"	"紫"	"Ⅱ7E0938"	"V07E0049"	"6上-7上"	"--"	"--"	"中"	"强"	"0.8"	"好"	"--"	"27.0"
"29"	"又名菲律宾红豇豆"	"110"	"11.5"	"菲律宾选33-3"	"蔓生"	"89-G-33-3"	"FEI LU BIN XUAN 33-3"	"85"	"细长条"	"中"	"福建福州市"	"0.6"	"--"	"肾形"	"深红"	"深绿"	"298.0"	"中"	"福州市蔬菜科研所"	"2000"	"兰"	"Ⅱ7E0934"	"V07E0050"	"3下-5上"	"--"	"--"	"强"	"强"	"0.6"	"好"	"--"	"39.0"
"30"	"国外引进"	"105"	"10.7"	"菲律宾豇豆"	"--"	"89-G-33"	"FEI LU BIN JIANG DOU"	"83"	"扁条"	"中"	"福建福州市"	"0.9"	"--"	"肾形"	"棕"	"深绿"	"295.0"	"中"	"福州市蔬菜科研所"	"1600"	"浅紫"	"Ⅱ7E0932"	"V07E0051"	"3中-5上"	"--"	"--"	"强"	"中"	"0.9"	"好"	"--"	"42.5"
"31"	"--"	"105"	"--"	"福州青豇豆选短胖"	"--"	"89-G-1-1"	"FU ZHOU QING JIANG DOU XUAN DUAN PANG"	"70"	"细长条"	"--"	"福建福州市"	"0.8"	"紫"	"肾形"	"褐"	"浅绿"	"285.0"	"中"	"福州市蔬菜科研所"	"2250"	"浅兰"	"Ⅱ7E0924"	"V07E0052"	"3月下-4月下"	"--"	"--"	"中"	"强"	"2.9"	"好"	"--"	"39.0"
"32"	"--"	"110"	"22.1"	"菲律宾白籽豇豆"	"蔓生"	"89-G-33-2"	"FEI LU BIN BAI ZI JIANG DOU"	"90"	"细长条"	"中"	"福建福州市"	"0.8"	"紫"	"肾形"	"白"	"绿"	"285.0"	"中"	"福州市蔬菜科研所"	"2000"	"浅兰"	"Ⅱ7E0944"	"V07E0053"	"3下-5上"	"--"	"白"	"中"	"中"	"1.0"	"好"	"--"	"35.0"
"33"	"--"	"120"	"--"	"将乐长豇豆"	"蔓生"	"87-G-2"	"JIANG LE CHANG JIANG DOU"	"90"	"细长条"	"--"	"福建将乐县"	"0.7"	"--"	"肾形"	"黑"	"深绿"	"260.0"	"中"	"福州市蔬菜科研所"	"1100"	"浅紫"	"Ⅱ7E0507"	"V07E0054"	"3下-4下,6中-7下"	"--"	"--"	"中"	"强"	"0.8"	"好"	"--"	"49.0"
"34"	"--"	"95"	"1.2"	"连城矮脚红豇豆"	"半蔓生"	"88-G-21"	"LIAN CHENG AI JIAO HONG JIANG DOU"	"70"	"剑形"	"多"	"福建连城县"	"0.5"	"紫"	"肾形"	"褐"	"绿"	"255.0"	"中"	"福州市蔬菜科研所"	"900"	"浅兰"	"Ⅱ7E0671"	"V07E0055"	"4下-8下"	"--"	"--"	"强"	"强"	"0.9"	"差"	"--"	"25.0"
