"id"	"备注"	"老荚日数"	"单荚重"	"品种名称"	"株型"	"保存编号"	"译名"	"青荚日数"	"荚形"	"荚壁纤维"	"种子来源"	"荚厚"	"翼瓣次色"	"种子形状"	"种子皮色"	"嫩荚色"	"株高"	"种子大小"	"保存单位"	"亩产"	"翼瓣色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种皮次色"	"抗逆性"	"抗病虫性"	"荚宽"	"品质"	"嫩荚次色"	"荚长"
"128"	"*"	"115"	"25.0"	"遵义白线豇"	"蔓生"	"7-E-22-88"	"ZUN YI BAI XIAN JIANG"	"85"	"细长条"	"少"	"贵州遵义市"	"1.0"	"--"	"肾形"	"黑"	"浅绿"	"275.0"	"中"	"贵州农科院园艺所"	"1500"	"浅紫"	"Ⅱ7E0392"	"V07E0370"	"4上-7上"	"--"	"--"	"耐旱热"	"中"	"1.0"	"--"	"--"	"50.0"
"129"	"*"	"110"	"50.0"	"白豇豆"	"蔓生"	"7-E-22-13"	"BAI JIANG DOU"	"85"	"细长条"	"少"	"贵州遵义市"	"--"	"--"	"肾形"	"棕"	"浅绿"	"300.0"	"--"	"贵州农科院园艺所"	"--"	"浅紫"	"Ⅱ7E0707"	"V07E0371"	"3-8"	"--"	"--"	"--"	"--"	"--"	"好"	"--"	"52.0"
"130"	"*"	"80"	"7.0"	"压草豆"	"矮生"	"G42-29"	"YA CAO DOU"	"50"	"棍形"	"多"	"海南文昌县"	"--"	"--"	"肾形"	"褐"	"浅绿"	"50.0"	"--"	"广东农科院经作所"	"1600"	"白"	"Ⅱ7E0280"	"V07E0403"	"2-3播"	"--"	"--"	"耐热旱"	"--"	"0.6"	"差"	"--"	"20.0"
"131"	"--"	"60"	"24.0"	"南辰豆角"	"蔓生"	"G42-245"	"NAN CHEN DOU JIAO"	"52"	"细长条"	"少"	"海南儋县"	"0.6"	"紫"	"肾形"	"浅红"	"白"	"--"	"中"	"广东农科院经作所"	"510"	"浅兰"	"Ⅱ7E1007"	"V07E0404"	"8-10月"	"--"	"--"	"中偏强"	"中"	"0.6"	"好"	"--"	"35.5"
"132"	"--"	"62"	"12.0"	"本地小花豆角"	"蔓生"	"G42-246"	"BEN DI XIAO HUA DOU JIAO"	"50"	"棍形"	"少"	"海南儋县"	"0.5"	"--"	"肾形"	"浅红"	"浅绿"	"--"	"小"	"广东农科院经作所"	"400"	"浅紫"	"Ⅱ7E1008"	"V07E0405"	"8-10月"	"--"	"白"	"中"	"中"	"0.5"	"差"	"--"	"20.7"
"133"	"--"	"59"	"25.0"	"揭阳一号长豆角"	"蔓生"	"G42-249"	"JIE YANG YI HAO CHANG DOU JIAO"	"49"	"细长条"	"少"	"海南儋县"	"0.8"	"紫"	"肾形"	"黑"	"浅绿"	"--"	"大"	"广东农科院经作所"	"470"	"浅兰"	"Ⅱ7E1010"	"V07E0406"	"8-10月"	"--"	"--"	"中"	"中"	"0.8"	"好"	"--"	"48.3"
"134"	"--"	"63"	"31.0"	"花仁豆角"	"蔓生"	"G42-247"	"HUA REN DOU JIAO"	"52"	"细长条"	"少"	"海南儋县"	"0.8"	"--"	"肾形"	"红"	"浅绿"	"--"	"中"	"广东农科院经作所"	"420"	"浅紫"	"Ⅱ7E1009"	"V07E0407"	"8-10月"	"--"	"白"	"中"	"中"	"0.8"	"好"	"--"	"38.9"
"135"	"--"	"--"	"5.0"	"黄花地菜豇"	"蔓生"	"豇56号"	"HUANG HUA DI CAI JIANG"	"50"	"棍形"	"中"	"河北邯郸市"	"0.7"	"--"	"肾形"	"棕"	"绿"	"230.0"	"小"	"河北农科院蔬菜所"	"1100"	"浅紫"	"Ⅱ7E0454"	"V07E0439"	"7中-8下"	"--"	"--"	"中"	"中"	"0.7"	"好"	"--"	"15.0"
"136"	"--"	"--"	"13.0"	"长红筋"	"蔓生"	"豇67号"	"CHANG HONG JIN"	"65"	"棍形"	"多"	"河北邯郸县"	"0.8"	"--"	"肾形"	"红"	"浅绿"	"270.0"	"中"	"河北农科院蔬菜所"	"1400"	"紫"	"Ⅱ7E0460"	"V07E0440"	"7中-9中"	"--"	"--"	"中"	"中"	"0.8"	"好"	"紫"	"39.0"
"137"	"--"	"--"	"6.5"	"河间菜豆"	"蔓生"	"豇42号"	"HE JIAN CAI DOU"	"52"	"棍形"	"中"	"河北河间县"	"0.6"	"--"	"肾形"	"红"	"深绿"	"260.0"	"中"	"河北农科院蔬菜所"	"900"	"浅紫"	"Ⅱ7E0762"	"V07E0441"	"7中-8下"	"--"	"--"	"--"	"毒病中"	"0.6"	"好"	"--"	"24.0"
"138"	"--"	"--"	"5.0"	"白豇5号"	"蔓生"	"豇84号"	"BAI JIANG 5 HAO"	"50"	"棍形"	"中"	"河北衡水市"	"0.6"	"--"	"肾形"	"黑"	"浅绿"	"220.0"	"小"	"河北农科院蔬菜所"	"1000"	"浅紫"	"Ⅱ7E0778"	"V07E0442"	"7中-8下"	"--"	"--"	"中"	"中"	"0.6"	"好"	"--"	"33.0"
"139"	"--"	"--"	"13.0"	"十八豆"	"蔓生"	"豇40号"	"SHI BA DOU"	"50"	"棍形"	"--"	"河北黄骅县"	"0.8"	"--"	"肾形"	"红"	"浅绿"	"220.0"	"中"	"河北农科院蔬菜所"	"1650"	"浅紫"	"Ⅱ7E0445"	"V07E0443"	"7中-8下"	"--"	"--"	"中"	"中"	"0.8"	"好"	"--"	"47.0"
"140"	"--"	"--"	"7.0"	"古镰秋"	"半蔓生"	"豇88号"	"GU LIAN QIU"	"98"	"棍形"	"多"	"河北南和县"	"0.9"	"--"	"肾形"	"棕"	"绿"	"150.0"	"中"	"河北农科院蔬菜所"	"1050"	"浅紫"	"Ⅱ7E0472"	"V07E0456"	"4中-7下"	"--"	"--"	"强"	"强"	"1.0"	"好"	"--"	"18.4"
"141"	"--"	"--"	"11.0"	"南皮十八豆"	"蔓生"	"豇43号"	"NAN PI SHI BA DOU"	"50"	"棍形"	"中"	"河北南皮县"	"0.6"	"--"	"肾形"	"黑"	"绿"	"260.0"	"中"	"河北农科院蔬菜所"	"1500"	"浅紫"	"Ⅱ7E0763"	"V07E0457"	"7中-8下"	"--"	"--"	"中"	"中"	"0.7"	"好"	"紫"	"44.0"
"142"	"*"	"--"	"28.0"	"五尺先"	"蔓生"	"豇5号"	"WU CHI XIAN"	"82"	"细长条"	"少"	"河北平山县"	"0.8"	"--"	"肾形"	"褐"	"浅绿"	"--"	"中"	"河北农科院蔬菜所"	"2500"	"紫"	"Ⅱ7E0757"	"V07E0458"	"秋春"	"--"	"--"	"耐热"	"强"	"0.8"	"好"	"--"	"66.6"
"143"	"*"	"--"	"13.0"	"五月先"	"蔓生"	"豇8号"	"WU YUE XIAN"	"72"	"扁条"	"少"	"河北平山县"	"0.6"	"--"	"肾形"	"黑"	"浅绿"	"--"	"中"	"河北农科院蔬菜所"	"2000"	"紫"	"Ⅱ7E0007"	"V07E0459"	"秋春"	"--"	"--"	"强"	"强"	"0.8"	"差"	"--"	"41.0"
"144"	"--"	"--"	"12.5"	"红粒五月鲜"	"蔓生"	"豇89号"	"HONG LI WU YUE XIAN"	"56"	"扁条"	"多"	"河北平山县"	"0.9"	"--"	"肾形"	"黑"	"绿"	"230.0"	"中"	"河北农科院蔬菜所"	"1000"	"浅紫"	"Ⅱ7E0473"	"V07E0460"	"7中-9上"	"--"	"--"	"--"	"病毒中"	"0.8"	"好"	"--"	"36.0"
"145"	"*"	"98"	"8.8"	"菜豆角"	"蔓生"	"豇15号"	"CAI DOU JIAO"	"89"	"棍形"	"少"	"河北曲阳县"	"0.7"	"--"	"肾形"	"褐"	"浅绿"	"--"	"中"	"河北农科院蔬菜所"	"--"	"紫"	"Ⅱ7E0429"	"V07E0471"	"4中-7中"	"--"	"--"	"--"	"抗病毒病"	"0.8"	"好"	"--"	"25.2"
"146"	"--"	"--"	"7.5"	"五月鲜"	"蔓生"	"豇45号"	"WU YUE XIAN"	"48"	"棍形"	"多"	"河北曲阳县"	"0.7"	"--"	"肾形"	"浅褐"	"浅绿"	"250.0"	"中"	"河北农科院蔬菜所"	"1600"	"浅紫"	"Ⅱ7E0447"	"V07E0472"	"7中-8下"	"--"	"--"	"中"	"中"	"0.8"	"好"	"--"	"19.5"
"147"	"*"	"92"	"8.7"	"四月鲜"	"蔓生"	"豇16号"	"SI YUE XIAN"	"86"	"扁条"	"中"	"河北曲阳县"	"0.6"	"--"	"肾形"	"褐"	"浅绿"	"--"	"中"	"河北农科院蔬菜所"	"--"	"紫"	"Ⅱ7E0430"	"V07E0473"	"4中-7上"	"--"	"--"	"--"	"抗病毒病"	"0.9"	"好"	"--"	"24.0"
"148"	"--"	"--"	"5.0"	"黑粒八月忙"	"半蔓生"	"豇44号"	"HEI LI BA YUE MANG"	"66"	"棍形"	"中"	"河北曲阳县"	"0.7"	"--"	"肾形"	"黑"	"浅绿"	"140.0"	"中"	"河北农科院蔬菜所"	"850"	"浅紫"	"Ⅱ7E0764"	"V07E0474"	"7中-9中"	"--"	"--"	"--"	"毒病中"	"0.7"	"好"	"--"	"19.0"
"149"	"--"	"--"	"5.3"	"红粒八月忙"	"半蔓生"	"豇103号"	"HONG LI BA YUE MANG"	"65"	"棍形"	"中"	"河北曲阳县"	"0.7"	"--"	"肾形"	"红"	"浅绿"	"140.0"	"中"	"河北农科院蔬菜所"	"850"	"浅紫"	"Ⅱ7E0782"	"V07E0475"	"4中-7下"	"--"	"--"	"--"	"病毒中"	"0.7"	"好"	"--"	"19.1"
"150"	"--"	"80"	"12.0"	"豇豆"	"蔓生"	"24-8"	"JIANG DOU"	"64"	"棍形"	"--"	"黑龙江五常县"	"0.7"	"--"	"肾形"	"粉红"	"绿"	"250.0"	"中"	"黑龙江省园艺所"	"1500"	"浅紫"	"Ⅱ7E0485"	"V07E0555"	"5中-9中"	"中"	"--"	"中"	"中"	"0.8"	"好"	"--"	"35.0"
"151"	"*"	"80"	"--"	"红豇豆"	"蔓生"	"24-26"	"HONG JIANG DOU"	"64"	"棍形"	"少"	"黑龙江延寿县"	"0.7"	"--"	"肾形"	"红"	"绿"	"250.0"	"中"	"黑龙江省园艺所"	"2500"	"白"	"Ⅱ7E0478"	"V07E0556"	"5中-8下夏秋"	"--"	"黑"	"强"	"--"	"0.7"	"好"	"--"	"37.0"
"152"	"*"	"80"	"--"	"豇豆"	"蔓生"	"24-29"	"JIANG DOU"	"68"	"细长条"	"--"	"黑龙江延寿县"	"0.6"	"--"	"肾形"	"红"	"浅绿"	"250.0"	"中"	"黑龙江省园艺所"	"2500"	"白"	"Ⅱ7E0422"	"V07E0557"	"5中-8下夏秋"	"--"	"--"	"中"	"--"	"0.7"	"好"	"--"	"40.0"
"153"	"--"	"--"	"--"	"水红豇豆"	"蔓生"	"Ⅱ7E0014"	"SHUI HONG JIANG DOU"	"--"	"棍形"	"--"	"湖北"	"--"	"--"	"肾形"	"--"	"绿"	"--"	"--"	"湖北农科院经作所"	"--"	"浅紫"	"Ⅱ7E0490"	"V07E0558"	"3下-10上"	"晚"	"--"	"强"	"强"	"--"	"好"	"--"	"--"
"154"	"--"	"--"	"--"	"大白豇"	"蔓生"	"Ⅱ7E0003"	"DA BAI JIANG"	"--"	"扁条"	"--"	"湖北大悟县"	"0.5"	"--"	"肾形"	"红"	"深绿"	"--"	"--"	"湖北农科院经作所"	"--"	"浅紫"	"Ⅱ7E0664"	"V07E0559"	"3下-10上"	"晚"	"--"	"强"	"强"	"0.5"	"好"	"--"	"20.0"
"155"	"--"	"--"	"--"	"棒槌豇豆"	"蔓生"	"Ⅱ7E0004"	"BANG CHUI JIANG DOU"	"--"	"棍形"	"--"	"湖北大悟县"	"--"	"--"	"肾形"	"--"	"浅绿"	"--"	"--"	"湖北农科院经作所"	"--"	"浅紫"	"Ⅱ7E0665"	"V07E0560"	"3下-10上"	"早"	"--"	"中"	"中"	"--"	"好"	"--"	"--"
"156"	"--"	"--"	"--"	"花皮豇豆"	"蔓生"	"续Ⅱ7E0011"	"HUA PI JIANG DOU"	"--"	"棍形"	"较少"	"湖北鄂州市"	"0.6"	"黑"	"--"	"红"	"红"	"--"	"--"	"湖北农科院经作所"	"1000"	"紫"	"Ⅱ7E1033"	"V07E0561"	"4上-7中下"	"中早"	"--"	"一般"	"一般"	"0.7"	"较好"	"--"	"66.0"
"157"	"--"	"--"	"--"	"豇豆"	"蔓生"	"续Ⅱ7E0013"	"JIANG DOU"	"--"	"棍形"	"中"	"湖北恩施市"	"0.6"	"--"	"--"	"--"	"绿"	"--"	"小"	"湖北农科院经作所"	"350"	"紫"	"Ⅱ7E1036"	"V07E0562"	"4上-7中下"	"中"	"--"	"一般"	"一般"	"0.7"	"好"	"--"	"35.0"
"158"	"--"	"--"	"--"	"豇豆"	"半蔓生"	"Ⅱ7E0006"	"JIANG DOU"	"--"	"棍形"	"中"	"湖北荆门市"	"0.5"	"--"	"--"	"红"	"绿"	"--"	"小"	"湖北农科院经作所"	"300"	"紫"	"Ⅱ7E0816"	"V07E0563"	"4上-7中下"	"较早"	"--"	"一般"	"一般"	"0.7"	"好"	"--"	"26.0"
"159"	"--"	"--"	"--"	"石家庄红嘴燕"	"--"	"7-E-25-86"	"SHI JIA ZHUANG HONG ZUI YAN"	"--"	"扁条"	"--"	"吉林引自河北"	"--"	"--"	"--"	"--"	"浅绿"	"--"	"--"	"吉林省蔬菜所"	"--"	"白"	"Ⅱ7E0981"	"V07E0614"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"50.0"
"160"	"--"	"85"	"26.0"	"灰皮豇豆"	"半蔓生"	"7-E-25-36"	"HUI PI JIANG DOU"	"75"	"扁条"	"少"	"吉林引自陕西"	"0.3"	"紫"	"卵圆"	"棕"	"浅灰"	"--"	"中"	"吉林省蔬菜所"	"--"	"浅兰"	"Ⅱ7E0997"	"V07E0615"	"5上-9上"	"中"	"--"	"强"	"强"	"0.4"	"好"	"--"	"50.0"
"161"	"--"	"85"	"40.0"	"罗裙带豇豆"	"蔓生"	"7-E-25-37(1)"	"LUO QUN DAI JIANG DOU"	"75"	"棍形"	"少"	"吉林引自陕西"	"0.6"	"紫"	"卵圆"	"棕"	"浅绿"	"--"	"中"	"吉林省蔬菜所"	"--"	"浅兰"	"Ⅱ7E0996"	"V07E0616"	"5上-9上"	"中"	"--"	"强"	"强"	"0.8"	"好"	"--"	"55.0"
"162"	"--"	"85"	"50.0"	"罗裙带豇豆"	"蔓生"	"7-E-25-35(2)"	"LUO QUN DAI JIANG DOU"	"75"	"剑形"	"少"	"吉林引自陕西"	"0.3"	"紫"	"卵圆"	"棕"	"深紫"	"--"	"中"	"吉林省蔬菜所"	"--"	"浅兰"	"Ⅱ7E0995"	"V07E0617"	"5上-9上"	"中"	"--"	"耐热"	"强"	"0.6"	"好"	"--"	"70.0"
"163"	"--"	"--"	"--"	"线豇豆"	"--"	"7-E-25-74"	"XIAN JIANG DOU"	"--"	"细长条"	"--"	"吉林引自陕西"	"--"	"--"	"--"	"--"	"浅绿"	"--"	"--"	"吉林省蔬菜所"	"--"	"白"	"Ⅱ7E0984"	"V07E0618"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"50.0"
"164"	"--"	"85"	"20.0"	"秋鸟豇豆"	"蔓生"	"7-E-25-68"	"QIU NIAO JIANG DOU"	"75"	"扁条"	"少"	"吉林引自陕西"	"0.3"	"紫"	"卵圆"	"棕"	"深紫"	"--"	"中"	"吉林省蔬菜所"	"--"	"浅兰"	"Ⅱ7E0989"	"V07E0619"	"5上-9上"	"中"	"--"	"强"	"强"	"0.4"	"好"	"--"	"40.0"
"165"	"--"	"--"	"--"	"鱼秋串豇豆"	"--"	"7-E-25-78"	"YU QIU CHUAN JIANG DOU"	"--"	"细长条"	"--"	"吉林引自陕西"	"--"	"--"	"--"	"--"	"浅绿"	"--"	"--"	"吉林省蔬菜所"	"--"	"白"	"Ⅱ7E0982"	"V07E0620"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"50.0"
"166"	"--"	"85"	"25.0"	"罗裙带豇豆"	"蔓生"	"7-E-25-35(4)"	"LUO QUN DAI JIANG DOU"	"75"	"剑形"	"中"	"吉林引自陕西"	"0.5"	"紫"	"卵圆"	"棕"	"深紫"	"--"	"中"	"吉林省蔬菜所"	"--"	"浅兰"	"Ⅱ7E0992"	"V07E0621"	"5上-9上"	"中"	"--"	"强"	"强"	"0.7"	"好"	"--"	"50.0"
"167"	"--"	"--"	"--"	"黑豇豆"	"--"	"7-E-25-76"	"HEI JIANG DOU"	"--"	"细长条"	"--"	"吉林引自陕西"	"--"	"--"	"--"	"--"	"深紫"	"--"	"--"	"吉林省蔬菜所"	"--"	"紫"	"Ⅱ7E0983"	"V07E0622"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"33.0"
"168"	"--"	"85"	"10.0"	"罗裙带豇豆"	"蔓生"	"7-E-25-35(1)"	"LUO QUN DAI JIANG DOU"	"75"	"细长条"	"少"	"吉林引自陕西"	"0.3"	"紫"	"卵圆"	"棕"	"浅绿"	"--"	"中"	"吉林省蔬菜所"	"--"	"浅兰"	"Ⅱ7E0994"	"V07E0623"	"5上-9上"	"中"	"--"	"耐热"	"强"	"0.5"	"好"	"--"	"52.0"
"169"	"--"	"--"	"--"	"豇豆"	"--"	"7-E-25-67"	"JIANG DOU"	"--"	"扁条"	"--"	"吉林引自陕西"	"--"	"--"	"--"	"--"	"浅紫"	"--"	"--"	"吉林省蔬菜所"	"--"	"浅紫"	"Ⅱ7E0990"	"V07E0624"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"50.0"
"170"	"--"	"85"	"15.0"	"罗裙带豇豆"	"蔓生"	"7-E-25-35(3)"	"LUO QUN DAI JIANG DOU"	"75"	"棍形"	"少"	"吉林引自陕西"	"0.3"	"紫"	"卵圆"	"棕"	"浅绿"	"--"	"中"	"吉林省蔬菜所"	"--"	"浅兰"	"Ⅱ7E0993"	"V07E0625"	"5上-9上"	"中"	"--"	"耐旱"	"强"	"0.4"	"好"	"--"	"35.0"
"171"	"--"	"85"	"50.0"	"上海红豇豆"	"蔓生"	"7-E-25-96"	"SHANG HAI HONG JIANG DOU"	"75"	"棍形"	"少"	"吉林引自上海"	"1.0"	"紫"	"卵圆"	"棕"	"深紫"	"--"	"中"	"吉林省蔬菜所"	"--"	"浅兰"	"Ⅱ7E0991"	"V07E0626"	"5上-9上"	"中"	"--"	"强"	"强"	"1.2"	"好"	"--"	"90.0"
"172"	"--"	"--"	"--"	"绿豇豆"	"--"	"7-E-25-80"	"LU JIANG DOU"	"--"	"扁条"	"--"	"吉林引自石泉县"	"--"	"--"	"--"	"--"	"浅绿"	"--"	"--"	"吉林省蔬菜所"	"--"	"白"	"Ⅱ7E0980"	"V07E0627"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"50.0"
"173"	"--"	"--"	"--"	"二叶子豇豆"	"--"	"7-E-25-84"	"ER YE ZI JIANG DOU"	"--"	"细长条"	"--"	"吉林引自四川"	"--"	"--"	"--"	"--"	"深紫"	"--"	"--"	"吉林省蔬菜所"	"--"	"紫"	"Ⅱ7E0979"	"V07E0628"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"33.0"
"174"	"--"	"85"	"45.0"	"大叶青豇豆"	"蔓生"	"7-E-25-92"	"DA YE QING JIANG DOU"	"75"	"细长条"	"少"	"吉林引自四川"	"0.7"	"紫"	"卵圆"	"棕"	"浅绿"	"--"	"中"	"吉林省蔬菜所"	"--"	"浅兰"	"Ⅱ7E0988"	"V07E0629"	"5上-9上"	"中"	"--"	"强"	"强"	"0.9"	"好"	"--"	"79.0"
"175"	"--"	"85"	"48.0"	"早花豇豆"	"蔓生"	"7-E-25-90"	"ZAO HUA JIANG DOU"	"75"	"剑形"	"中"	"吉林引自四川"	"0.8"	"紫"	"卵圆"	"棕"	"绿"	"--"	"中"	"吉林省蔬菜所"	"--"	"浅兰"	"Ⅱ7E0987"	"V07E0630"	"5上-9上"	"中"	"--"	"强"	"强"	"1.0"	"好"	"--"	"80.0"
"176"	"--"	"--"	"--"	"一点红豇豆"	"--"	"7-E-25-87"	"YI DIAN HONG JIANG DOU"	"--"	"细长条"	"--"	"吉林引自浙江"	"--"	"--"	"--"	"--"	"深紫"	"--"	"--"	"吉林省蔬菜所"	"--"	"紫"	"Ⅱ7E0985"	"V07E0631"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"33.0"
"177"	"--"	"--"	"--"	"无锡豇豆"	"--"	"7-E-25-85"	"WU XI JIANG DOU"	"--"	"细长条"	"--"	"吉林引自浙江"	"--"	"--"	"--"	"--"	"深紫"	"--"	"--"	"吉林省蔬菜所"	"--"	"紫"	"Ⅱ7E0978"	"V07E0632"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"33.0"
"178"	"--"	"85"	"10.3"	"铜川罗裙带"	"蔓生"	"7-E-25-32"	"TONG CHUAN LUO QUN DAI"	"75"	"--"	"少"	"吉林引自浙江"	"0.5"	"--"	"肾形"	"棕"	"浅绿"	"--"	"--"	"吉林省蔬菜所"	"--"	"浅紫"	"Ⅱ7E0986"	"V07E0633"	"5上-9上"	"中"	"--"	"强"	"强"	"0.7"	"好"	"--"	"47.0"
"179"	"--"	"89"	"16.4"	"红籽白豇二号"	"蔓生"	"89-1-69"	"HONG ZI BAI JIANG ER HAO"	"62"	"棍形"	"少"	"江苏南京市"	"0.8"	"--"	"肾形"	"红"	"绿"	"300.0"	"大"	"江苏农科院蔬菜所"	"2025"	"浅兰"	"Ⅱ7E1068"	"V07E0656"	"5中-9中"	"--"	"--"	"强"	"强"	"0.8"	"好"	"--"	"65.0"
"180"	"--"	"--"	"--"	"青菜盘香豇"	"蔓生"	"87-4-59"	"QING CAI PAN XIANG JIANG"	"--"	"棍形"	"--"	"江苏南京市"	"--"	"--"	"--"	"紫"	"--"	"--"	"小"	"江苏农科院蔬菜所"	"1500"	"--"	"Ⅱ7E0409"	"V07E0659"	"7中下-9中"	"晚"	"--"	"强"	"中"	"--"	"好"	"--"	"28.0"
"181"	"*"	"109"	"5.7"	"红饭豇"	"蔓生"	"80-1-36"	"HONG FAN JIANG"	"102"	"棍形"	"多"	"江苏南京市"	"0.7"	"--"	"肾形"	"紫"	"绿"	"--"	"小"	"江苏农科院蔬菜所"	"1250"	"兰"	"Ⅱ7E0405"	"V07E0660"	"6上-10上夏秋"	"--"	"--"	"中"	"中"	"0.8"	"--"	"--"	"17.4"
"182"	"*"	"74"	"20.3"	"紫豇豆"	"蔓生"	"79-4-26"	"ZI JIANG DOU"	"66"	"细长条"	"少"	"江苏南京市"	"1.0"	"--"	"肾形"	"深红"	"深紫"	"--"	"大"	"江苏农科院蔬菜所"	"2250"	"浅兰"	"Ⅱ7E0408"	"V07E0661"	"5中-9中"	"--"	"--"	"强"	"强"	"1.0"	"好"	"深紫"	"52.2"
"183"	"*"	"111"	"4.4"	"白饭豇"	"蔓生"	"80-1-38"	"BAI FAN JIANG"	"104"	"棍形"	"多"	"江苏南京市"	"0.7"	"--"	"肾形"	"白"	"紫"	"--"	"小"	"江苏农科院蔬菜所"	"1250"	"兰"	"Ⅱ7E0406"	"V07E0662"	"6上-10上"	"--"	"褐"	"中"	"强"	"0.8"	"--"	"--"	"15.6"
"184"	"*"	"68"	"15.2"	"白豇二号"	"蔓生"	"82-1-60"	"BAI JIANG ER HAO"	"61"	"细长条"	"少"	"江苏南京市"	"0.8"	"--"	"肾形"	"黑"	"绿"	"--"	"大"	"江苏农科院蔬菜所"	"3750"	"浅兰"	"Ⅱ7E0407"	"V07E0663"	"5中-9中夏秋"	"--"	"--"	"强"	"强"	"0.8"	"好"	"--"	"64.8"
"185"	"*"	"110"	"11.0"	"十八罗汉"	"蔓生"	"7CC5"	"SHI BA LUO HAN"	"80"	"细长条"	"中"	"辽宁辽阳市"	"0.7"	"--"	"肾形"	"棕"	"浅绿"	"--"	"小"	"辽宁农科院园艺所"	"3750"	"浅紫"	"Ⅱ7E0417"	"V07E0715"	"5上中播夏"	"--"	"--"	"--"	"抗病中等"	"0.7"	"好"	"--"	"62.5"
"186"	"--"	"95"	"14.0"	"十八粒"	"蔓生"	"7CD1"	"SHI BA LI"	"75"	"细长条"	"少"	"辽宁清原县"	"0.7"	"--"	"肾形"	"黑"	"绿"	"--"	"中"	"辽宁农科院园艺所"	"2000"	"浅紫"	"Ⅱ7E0681"	"V07E0716"	"春5上旬"	"中"	"--"	"--"	"不抗毒病"	"0.7"	"好"	"--"	"60.0"
"187"	"--"	"100"	"13.0"	"十八罗汉"	"蔓生"	"7CC8"	"SHI BA LUO HAN"	"78"	"细长条"	"少"	"辽宁沈阳市"	"0.7"	"--"	"卵圆"	"红"	"绿"	"--"	"中"	"辽宁农科院园艺所"	"2250"	"浅紫"	"Ⅱ7E0153"	"V07E0717"	"春5上旬"	"晚"	"--"	"--"	"较抗病"	"0.7"	"好"	"--"	"65.0"
"188"	"*"	"110"	"11.0"	"十八粒豇豆"	"蔓生"	"7CC6"	"SHI BA LI JIANG DOU"	"80"	"细长条"	"中"	"辽宁沈阳市"	"0.7"	"--"	"肾形"	"棕"	"绿"	"--"	"小"	"辽宁农科院园艺所"	"3250"	"紫"	"Ⅱ7E0152"	"V07E0718"	"5上中播夏"	"--"	"--"	"--"	"--"	"0.7"	"好"	"--"	"50.0"
"189"	"--"	"85"	"10.2"	"春香柳"	"半蔓生"	"7CC1"	"CHUN XIANG LIU"	"60"	"细长条"	"少"	"辽宁新民县"	"0.6"	"--"	"卵圆"	"红"	"绿"	"--"	"中"	"辽宁农科院园艺所"	"1875"	"紫"	"Ⅱ7E0421"	"V07E0719"	"春5上旬"	"早"	"--"	"不耐热"	"较弱"	"0.7"	"好"	"--"	"48.0"
"190"	"*"	"150"	"17.0"	"红咀燕豇豆"	"蔓生"	"Ⅱ7E001"	"HONG JU YAN JIANG DOU"	"120"	"细长条"	"少"	"青海引自四川"	"0.7"	"--"	"肾形"	"黑"	"浅绿"	"400.0"	"小"	"青海农科院园艺所"	"3000"	"紫"	"Ⅱ7E0158"	"V07E0730"	"2下播"	"--"	"--"	"--"	"--"	"0.7"	"好"	"--"	"65.0"
"191"	"*"	"65"	"19.6"	"28-2"	"蔓生"	"82-6"	"28-2"	"60"	"细长条"	"少"	"山东"	"0.9"	"--"	"肾形"	"红"	"浅绿"	"250.0"	"中"	"山东农科院蔬菜所"	"4000"	"浅紫"	"Ⅱ7E0065"	"V07E0732"	"4下-8上"	"--"	"--"	"--"	"无病毒病"	"0.9"	"--"	"--"	"66.2"
"192"	"*"	"82"	"13.3"	"博山二十四粒"	"蔓生"	"79-3"	"BO SHAN ER SHI SI LI"	"72"	"细长条"	"少"	"山东博山市"	"0.9"	"--"	"肾形"	"深红"	"浅绿"	"232.0"	"中"	"山东农科院蔬菜所"	"1000"	"浅紫"	"Ⅱ7E0610"	"V07E0733"	"4下-8下"	"--"	"--"	"--"	"病毒病重"	"0.9"	"--"	"--"	"58.0"
"193"	"*"	"86"	"7.5"	"博山老来少"	"蔓生"	"81-60"	"BO SHAN LAO LAI SHAO"	"80"	"扁条"	"少"	"山东博山县"	"0.7"	"--"	"肾形"	"红"	"绿"	"216.0"	"中"	"山东农科院蔬菜所"	"1000"	"浅紫"	"Ⅱ7E0886"	"V07E0734"	"4下-9下"	"--"	"--"	"--"	"病毒病重"	"0.8"	"--"	"--"	"22.0"
