"id"	"成熟期"	"科名"	"抽穗或孕蕾"	"库编号"	"送种单位"	"枯黄"	"千粒重"	"发芽率"	"返青期"	"学名"	"原编号"	"省"	"生育天数"	"备注"	"材料来源"	"品种名称"	"开花期"	"播种期"	"收种期"	"统一编号"	"属名"	"材料原产地"	"株高"	"中名"
"908"	"8.20"	"Leguminosae(豆科)"	"--"	"I7B01186"	"兰州畜牧所"	"--"	"2.00"	"66.0"	"4.10"	"Medicago sativa L.(紫花苜蓿)"	"兰1679"	"国外"	"130"	"栽培牧草"	"内蒙古农牧学院"	"--"	"--"	"--"	"1989"	"苜Ⅱ-348"	"Medicago(苜蓿属)"	"苏联"	"114.60"	"紫花苜蓿"
"909"	"8.20"	"Leguminosae(豆科)"	"--"	"I7B01201"	"兰州畜牧所"	"--"	"2.06"	"96.3"	"4.10"	"Medicago sativa L.(紫花苜蓿)"	"兰0693"	"国外"	"130"	"栽培牧草"	"华东所"	"--"	"--"	"--"	"1989"	"苜121"	"Medicago(苜蓿属)"	"意大利"	"104.80"	"紫花苜蓿"
"910"	"8.20"	"Leguminosae(豆科)"	"--"	"I7B01202"	"兰州畜牧所"	"--"	"2.00"	"88.0"	"4.10"	"Medicago sativa L.(紫花苜蓿)"	"兰0870"	"国外"	"130"	"栽培牧草"	"中国农科对外处"	"--"	"--"	"--"	"1989"	"苜Ⅰ-353"	"Medicago(苜蓿属)"	"苏联"	"--"	"紫花苜蓿"
"911"	"8.20"	"Leguminosae(豆科)"	"--"	"I7B01189"	"兰州畜牧所"	"--"	"2.00"	"93.3"	"4.10"	"Medicago sativa L.(紫花苜蓿)"	"兰0416"	"国外"	"130"	"栽培牧草"	"华东所"	"--"	"--"	"--"	"1989"	"苜Ⅰ-317"	"Medicago(苜蓿属)"	"荷兰"	"115.20"	"紫花苜蓿"
"912"	"8.20"	"Leguminosae(豆科)"	"--"	"I7B01195"	"兰州畜牧所"	"--"	"1.85"	"96.0"	"4.10"	"Medicago sativa L.(紫花苜蓿)"	"兰0621"	"国外"	"130"	"栽培牧草"	"农科院畜牧所"	"--"	"--"	"--"	"1989"	"苜Ⅰ-388"	"Medicago(苜蓿属)"	"美国"	"116.50"	"紫花苜蓿"
"913"	"7.03"	"Leguminosae(豆科)"	"--"	"I7B01204"	"湖北畜牧所"	"--"	"1.90"	"--"	"--"	"Medicago sativa L.(紫花苜蓿)"	"81-178"	"国外"	"237"	"栽培牧草"	"荷兰"	"--"	"--"	"10.30"	"1989"	"苜Ⅰ-325"	"Medicago(苜蓿属)"	"荷 兰"	"98.00"	"紫花苜蓿"
"914"	"9.00"	"Leguminosae(豆科)"	"--"	"I7B01197"	"兰州畜牧所"	"--"	"1.95"	"94.0"	"5.00"	"Medicago sativa L.(紫花苜蓿)"	"兰0626"	"国外"	"--"	"栽培牧草"	"农科院畜牧所"	"--"	"--"	"--"	"1989"	"苜Ⅰ-313"	"Medicago(苜蓿属)"	"美国"	"--"	"紫花苜蓿"
"915"	"9.00"	"Leguminosae(豆科)"	"--"	"I7B01206"	"兰州畜牧所"	"--"	"2.00"	"--"	"--"	"Medicago sativa L.(紫花苜蓿)"	"兰092"	"国外"	"125"	"栽培牧草"	"新疆草原队"	"--"	"--"	"5.00"	"1989"	"苜Ⅱ-351"	"Medicago(苜蓿属)"	"美国"	"123.80"	"紫花苜蓿"
"916"	"8.21"	"Leguminosae(豆科)"	"--"	"I7B01207"	"兰州畜牧所"	"--"	"1.90"	"88.3"	"4.12"	"Medicago sativa L.(紫花苜蓿)"	"兰093"	"国外"	"136"	"栽培牧草"	"南京农学院"	"--"	"--"	"--"	"1989"	"苜Ⅱ-352"	"Medicago(苜蓿属)"	"美国"	"200.20"	"紫花苜蓿"
"917"	"9.00"	"Leguminosae(豆科)"	"--"	"I7B01196"	"兰州畜牧所"	"--"	"1.98"	"86.7"	"5.00"	"Medicago sativa L.(紫花苜蓿)"	"兰0623"	"国外"	"--"	"栽培牧草"	"农科院畜牧所"	"--"	"--"	"--"	"1989"	"苜Ⅰ-318"	"Medicago(苜蓿属)"	"秘鲁"	"--"	"紫花苜蓿"
"918"	"8.07"	"Leguminosae(豆科)"	"--"	"I7B01190"	"兰州畜牧所"	"--"	"2.05"	"93.3"	"3.30"	"Medicago sativa L.(紫花苜蓿)"	"兰0334"	"国外"	"128"	"栽培牧草"	"中农院土肥所"	"--"	"--"	"--"	"1989"	"苜Ⅰ-322"	"Medicago(苜蓿属)"	"法国"	"112.10"	"紫花苜蓿"
"919"	"8.20"	"Leguminosae(豆科)"	"--"	"I7B01194"	"兰州畜牧所"	"--"	"2.09"	"96.3"	"4.10"	"Medicago sativa L.(紫花苜蓿)"	"兰0617"	"国外"	"130"	"栽培牧草"	"农科院畜牧所"	"--"	"--"	"--"	"1989"	"苜Ⅰ-312"	"Medicago(苜蓿属)"	"美国"	"114.70"	"紫花苜蓿"
"920"	"8.20"	"Leguminosae(豆科)"	"--"	"I7B01198"	"兰州畜牧所"	"--"	"2.10"	"59.5"	"4.10"	"Medicago sativa L.(紫花苜蓿)"	"兰0652"	"国外"	"130"	"栽培牧草"	"农科院畜牧所"	"--"	"--"	"--"	"1989"	"苜Ⅰ-319"	"Medicago(苜蓿属)"	"秘鲁"	"111.20"	"紫花苜蓿"
"921"	"9.00"	"Leguminosae(豆科)"	"--"	"I7B01210"	"兰州畜牧所"	"--"	"--"	"--"	"--"	"Medicago sativa L.(紫花苜蓿)"	"兰086"	"国外"	"130"	"栽培牧草"	"吉林畜牧所"	"--"	"--"	"5.00"	"1989"	"苜Ⅱ-355"	"Medicago(苜蓿属)"	"苏联"	"118.50"	"紫花苜蓿"
"922"	"8.10"	"Leguminosae(豆科)"	"--"	"I7B01212"	"兰州畜牧所"	"--"	"2.00"	"87.7"	"4.01"	"Medicago sativa L.(紫花苜蓿)"	"兰088"	"国外"	"130"	"栽培牧草"	"吉林畜牧所"	"--"	"--"	"--"	"1989"	"苜Ⅱ-357"	"Medicago(苜蓿属)"	"阿根廷"	"117.40"	"紫花苜蓿"
"923"	"8.12"	"Leguminosae(豆科)"	"--"	"I7B01215"	"兰州畜牧所"	"--"	"1.98"	"52.3"	"4.14"	"Medicago sativa L.(紫花苜蓿)"	"兰0173"	"国外"	"130"	"栽培牧草"	"土肥所"	"Ladak"	"--"	"--"	"1989"	"苜Ⅱ-360"	"Medicago(苜蓿属)"	"美国"	"113.80"	"紫花苜蓿"
"924"	"8.13"	"Leguminosae(豆科)"	"--"	"I7B01225"	"兰州畜牧所"	"--"	"2.10"	"52.3"	"4.12"	"Medicago sativa L.(紫花苜蓿)"	"兰075"	"国外"	"130"	"栽培牧草"	"辽宁畜牧所"	"苏联36"	"--"	"--"	"1989"	"苜Ⅱ-370"	"Medicago(苜蓿属)"	"苏联"	"116.00"	"紫花苜蓿"
"925"	"8.20"	"Leguminosae(豆科)"	"--"	"I7B01220"	"兰州畜牧所"	"--"	"1.90"	"95.7"	"4.10"	"Medicago sativa L.(紫花苜蓿)"	"兰0625"	"国外"	"130"	"栽培牧草"	"土肥所"	"--"	"--"	"--"	"1989"	"苜Ⅱ-365"	"Medicago(苜蓿属)"	"苏联"	"104.60"	"紫花苜蓿"
"926"	"8.20"	"Leguminosae(豆科)"	"--"	"I7B01214"	"兰州畜牧所"	"--"	"2.00"	"50.0"	"4.10"	"Medicago sativa L.(紫花苜蓿)"	"兰1933"	"国外"	"130"	"栽培牧草"	"辽宁畜牧所"	"苏联0134"	"--"	"--"	"1989"	"苜Ⅱ-359"	"Medicago(苜蓿属)"	"苏联"	"131.60"	"紫花苜蓿"
"927"	"10.02"	"Leguminosae(豆科)"	"--"	"I7B01235"	"中国农科院草原所"	"--"	"1.93"	"--"	"--"	"Medicago trancatula Gaertn.(截形苜蓿)"	"IA0110"	"国外"	"117"	"栽培牧草"	"内蒙草原站"	"--"	"--"	"6.08"	"1989"	"苜Ⅱ-380"	"Medicago(苜蓿属)"	"澳大利亚"	"56.00"	"截形苜蓿"
"928"	"10.01"	"Leguminosae(豆科)"	"--"	"I7B01234"	"中国农科院草原所"	"--"	"2.00"	"--"	"--"	"Medicago trancatula Gaertn.(截形苜蓿)"	"IA0179"	"国外"	"116"	"栽培牧草"	"内蒙草原站"	"--"	"--"	"6.08"	"1989"	"苜Ⅱ-379"	"Medicago(苜蓿属)"	"澳大利亚"	"52.00"	"截形苜蓿"
"929"	"6.16"	"Leguminosae(豆科)"	"--"	"I7B00048"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.04"	"Onobrychis arenatia (Kit.) DC.(红豆草)"	"84-422"	"国外"	"73"	"野生牧草"	"东德"	"--"	"--"	"--"	"1987"	"红Ⅱ-7"	"Onobrychis(驴豆属)"	"东德"	"--"	"红豆草"
"930"	"6.30"	"Leguminosae(豆科)"	"5.02"	"I7B01276"	"新疆八一农学院"	"--"	"--"	"75.3"	"3.31"	"Onobrychis arenatia (Kit.) DC.(红豆草)"	"87-112"	"国外"	"91"	"野生牧草"	"日农大牧草站"	"--"	"5.31"	"--"	"1989"	"红Ⅱ-10"	"Onobrychis(驴豆属)"	"--"	"93.00"	"沙生红豆草"
"931"	"9.00"	"Leguminosae(豆科)"	"--"	"I7B01277"	"兰州畜牧所"	"--"	"--"	"88.5"	"5.00"	"Onobrychis arenatia (Kit.) DC.(红豆草)"	"0885"	"国外"	"125"	"栽培牧草"	"中国农科对外处"	"--"	"--"	"--"	"1989"	"红Ⅰ-11"	"Onobrychis(驴豆属)"	"苏联"	"79.50"	"沙生红豆草"
"932"	"6.15"	"Leguminosae(豆科)"	"--"	"I7B00047"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.04"	"Onobrychis inermis(无芒红豆草)"	"83-418"	"国外"	"73"	"栽培牧草"	"东德"	"--"	"--"	"--"	"1987"	"红Ⅱ-6"	"Onobrychis(驴豆属)"	"东德"	"--"	"无芒红豆草"
"933"	"7.15"	"Leguminosae(豆科)"	"5.20"	"I7B01279"	"中国农科院草原所"	"10月上旬"	"2.05"	"--"	"4.11"	"Onobrychis melorse Sainfoin(红豆草)"	"IA0413"	"国外"	"96"	"栽培牧草"	"农科院草原所"	"--"	"5.26"	"--"	"1989"	"红Ⅱ-12"	"Onobrychis(驴豆属)"	"美国"	"72.00"	"红豆草"
"934"	"8.25"	"Leguminosae(豆科)"	"--"	"I7B00643"	"中国农科院草原所"	"10月上旬"	"--"	"57.0"	"4.11"	"Onobrychis tanatitica Spreng(旱红豆草)"	"草IA0418"	"国外"	"136"	"栽培牧草"	"农科院外联处"	"K-9696"	"8.01"	"--"	"1989"	"红Ⅱ-8"	"Onobrychis(驴豆属)"	"苏联"	"110.00"	"高加索红豆草"
"935"	"8.25"	"Leguminosae(豆科)"	"--"	"I7B00642"	"中国农科院草原所"	"10月上旬"	"--"	"66.0"	"4.11"	"Onobrychis tanatitica Spreng(旱红豆草)"	"草IA0417"	"国外"	"136"	"栽培牧草"	"农科院外联处"	"NO-18"	"8.01"	"--"	"1988"	"红Ⅱ-3"	"Onobrychis(驴豆属)"	"苏联"	"84.00"	"高加索红豆草"
"936"	"6.29"	"Leguminosae(豆科)"	"--"	"I7B01294"	"兰州畜牧所"	"--"	"--"	"86.3"	"3.20"	"Onobrychis tanatitica Spreng(旱红豆草)"	"兰0893"	"国外"	"112"	"栽培牧草"	"中国农科对外处"	"--"	"--"	"--"	"1989"	"红Ⅰ-14"	"Onobrychis(驴豆属)"	"苏联"	"80.40"	"红豆草"
"937"	"6.29"	"Leguminosae(豆科)"	"--"	"I7B01292"	"兰州畜牧所"	"--"	"--"	"93.0"	"3.20"	"Onobrychis tanatitica Spreng(旱红豆草)"	"兰0895"	"国外"	"112"	"栽培牧草"	"中国农科对外处"	"--"	"--"	"--"	"1989"	"红Ⅰ-13"	"Onobrychis(驴豆属)"	"苏联"	"72.00"	"红豆草"
"938"	"6.29"	"Leguminosae(豆科)"	"--"	"I7B01293"	"兰州畜牧所"	"--"	"--"	"85.7"	"3.20"	"Onobrychis tanatitica Spreng(旱红豆草)"	"兰0898"	"国外"	"113"	"栽培牧草"	"中国农科对外处"	"--"	"--"	"--"	"1989"	"红Ⅰ-12"	"Onobrychis(驴豆属)"	"苏联"	"84.00"	"红豆草"
"939"	"6.16"	"Leguminosae(豆科)"	"--"	"I7B00041"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.04"	"Onobrychis viciaefolia Scop.(驴豆)"	"81-100"	"国外"	"74"	"栽培牧草"	"美国"	"Common普通"	"5.21"	"--"	"1987"	"红Ⅰ-19"	"Onobrychis(驴豆属)"	"美国"	"108.00"	"红豆草"
"940"	"6.16"	"Leguminosae(豆科)"	"--"	"I7B00042"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.11"	"Onobrychis viciaefolia Scop.(驴豆)"	"81-101"	"国外"	"73"	"栽培牧草"	"美国"	"ESKI埃斯基"	"5.21"	"--"	"1987"	"红Ⅰ-17"	"Onobrychis(驴豆属)"	"美国"	"109.00"	"红豆草"
"941"	"6.16"	"Leguminosae(豆科)"	"--"	"I7B00039"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.04"	"Onobrychis viciaefolia Scop.(驴豆)"	"中畜 2176"	"国外"	"74"	"栽培牧草"	"加拿大"	"Melrose麦匏"	"5.21"	"--"	"1987"	"红8"	"Onobrychis(驴豆属)"	"加拿大"	"102.00"	"红豆草"
"942"	"7.15"	"Leguminosae(豆科)"	"5.20"	"I7B01281"	"中国农科院草原所"	"10月下旬"	"--"	"--"	"4.11"	"Onobrychis viciaefolia Scop.(驴豆)"	"IA0414"	"国外"	"96"	"栽培牧草"	"农科院畜牧所"	"--"	"5.26"	"--"	"1989"	"红Ⅱ-13"	"Onobrychis(驴豆属)"	"美国"	"58.00"	"红豆草"
"943"	"6.29"	"Leguminosae(豆科)"	"--"	"I7B01288"	"兰州畜牧所"	"--"	"--"	"90.7"	"3.20"	"Onobrychis viciaefolia Scop.(驴豆)"	"兰080"	"国外"	"100"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1989"	"红Ⅱ-18"	"Onobrychis(驴豆属)"	"美国"	"89.40"	"红豆草"
"944"	"6.29"	"Leguminosae(豆科)"	"--"	"I7B01289"	"兰州畜牧所"	"--"	"--"	"94.7"	"3.20"	"Onobrychis viciaefolia Scop.(驴豆)"	"兰081"	"国外"	"100"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1989"	"红Ⅱ-19"	"Onobrychis(驴豆属)"	"美国"	"83.20"	"红豆草"
"945"	"6.29"	"Leguminosae(豆科)"	"--"	"I7B01290"	"兰州畜牧所"	"--"	"--"	"86.3"	"3.20"	"Onobrychis viciaefolia Scop.(驴豆)"	"兰0851"	"国外"	"114"	"栽培牧草"	"中国农科对外处"	"乌克兰430"	"--"	"--"	"1989"	"红Ⅱ-20"	"Onobrychis(驴豆属)"	"苏联"	"80.30"	"红豆草"
"946"	"8.15"	"Leguminosae(豆科)"	"--"	"I7B00046"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.04"	"Onobrychis viciaefolia Scop.(驴豆)"	"83-401"	"国外"	"73"	"栽培牧草"	"波兰"	"--"	"--"	"--"	"1987"	"红Ⅱ-5"	"Onobrychis(驴豆属)"	"华沙"	"--"	"红豆草"
"947"	"6.29"	"Leguminosae(豆科)"	"--"	"I7B01287"	"兰州畜牧所"	"--"	"--"	"90.7"	"3.20"	"Onobrychis viciaefolia Scop.(驴豆)"	"兰079"	"国外"	"100"	"栽培牧草"	"美国"	"--"	"--"	"--"	"1989"	"红Ⅱ-17"	"Onobrychis(驴豆属)"	"美国"	"83.80"	"红豆草"
"948"	"6.15"	"Leguminosae(豆科)"	"--"	"I7B00049"	"中国农科院畜牧所"	"--"	"--"	"--"	"3.31"	"Onobrychis viciaefolia Scop.(驴豆)"	"81-102"	"国外"	"76"	"栽培牧草"	"美国"	"Remont雷蒙特"	"5.21"	"--"	"1987"	"红Ⅰ-28"	"Onobrychis(驴豆属)"	"美国"	"113.00"	"红豆草"
"949"	"6.15"	"Leguminosae(豆科)"	"--"	"I7B00045"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.04"	"Onobrychis viciaefolia Scop.(驴豆)"	"83-397"	"国外"	"73"	"栽培牧草"	"瑞士"	"--"	"--"	"--"	"1987"	"红Ⅱ-4"	"Onobrychis(驴豆属)"	"瑞士"	"--"	"红豆草"
"950"	"10.06"	"Leguminosae(豆科)"	"--"	"I7B00645"	"广西畜牧所"	"--"	"--"	"95.0"	"--"	"Phaseolus aureus Roxb.(野绿豆)"	"广西畜32"	"国外"	"130"	"栽培牧草"	"广西农业局"	"--"	"9.13"	"5.25"	"1988"	"菜Ⅰ-7"	"Phaseolus(菜豆属)"	"印尼"	"120.00"	"潭供豆)"
"951"	"8.05"	"Leguminosae(豆科)"	"--"	"I7B01300"	"新疆八一农学院"	"--"	"--"	"99.3"	"--"	"Pisum sativum L.(豌豆)"	"00804"	"北京"	"78"	"栽培牧草"	"中国农科院"	"--"	"6.18"	"4.27"	"1989"	"豌Ⅱ-4"	"Pisum(豌豆属)"	"北京"	"50.00"	"豌豆"
"952"	"8.02"	"Leguminosae(豆科)"	"--"	"I7B01303"	"兰州畜牧所"	"--"	"--"	"98.0"	"--"	"Pisum sativum L.(豌豆)"	"兰1974"	"国外"	"85"	"栽培牧草"	"英国"	"--"	"--"	"4.13"	"1989"	"豌Ⅰ-81"	"Pisum(豌豆属)"	"--"	"41.50"	"豌豆"
"953"	"8.02"	"Leguminosae(豆科)"	"--"	"I7B01304"	"兰州畜牧所"	"--"	"--"	"99.3"	"--"	"Pisum sativum L.(豌豆)"	"兰309"	"国外"	"111"	"栽培牧草"	"--"	"保加利亚豌豆"	"--"	"4.13"	"1989"	"豌29"	"Pisum(豌豆属)"	"保加利亚"	"50.00"	"豌豆"
"954"	"7.10"	"Leguminosae(豆科)"	"--"	"I7B01305"	"兰州畜牧所"	"--"	"--"	"97.7"	"--"	"Pisum sativum L.(豌豆)"	"兰67"	"国外"	"101"	"栽培牧草"	"甘肃会宁县农科院"	"--"	"--"	"4.13"	"1989"	"豌Ⅱ-7"	"Pisum(豌豆属)"	"英国"	"55.50"	"豌豆"
"955"	"10.20"	"Compositae(菊科)"	"--"	"I7B01551"	"湖北畜牧所"	"--"	"--"	"--"	"--"	"Silphium perfoliatum L.(串叶松香草)"	"鄂松0"	"国外"	"--"	"栽培牧草"	"农科院畜牧所"	"--"	"7.20"	"6.08"	"1989"	"松Ⅱ-2"	"Silphium"	"朝鲜"	"123.00"	"串叶松香草"
"956"	"12.06"	"Leguminosae(豆科)"	"--"	"I7B00102"	"广西畜牧所"	"--"	"2.50"	"--"	"--"	"Stylosanthes guianesis(圭亚那柱花草)"	"85-150"	"国外"	"190"	"栽培牧草"	"澳大利亚"	"Gratan格雷尼"	"10.10"	"4.24"	"1987"	"柱Ⅰ-10"	"Stylosanthes"	"澳大利亚"	"106.00"	"圭亚那柱花草"
"957"	"12.30"	"Leguminosae(豆科)"	"--"	"I7B01561"	"广西畜牧所"	"--"	"--"	"--"	"--"	"Stylosanthes guianesis(圭亚那柱花草)"	"广西畜87-108"	"国外"	"175"	"栽培牧草"	"美国"	"--"	"11.08"	"6.26"	"1989"	"柱Ⅱ-1"	"Stylosanthes"	"美国"	"62.00"	"圭亚那柱花草"
"958"	"12.05"	"Leguminosae(豆科)"	"--"	"I7B01562"	"广西畜牧所"	"--"	"--"	"--"	"--"	"Stylosanthes humilis H.B.K.(矮柱花草)"	"广西畜79-1"	"国外"	"225"	"栽培牧草"	"澳大利亚"	"--"	"10.25"	"4.24"	"1989"	"柱Ⅱ-2"	"Stylosanthes"	"--"	"67.00"	"矮柱花草"
"959"	"11.15"	"Leguminosae(豆科)"	"--"	"I7B01563"	"广西畜牧所"	"--"	"--"	"--"	"--"	"Stylosanthes humilis H.B.K.(矮柱花草)"	"广西畜87-75"	"国外"	"190"	"栽培牧草"	"--"	"--"	"10.30"	"4.24"	"1989"	"柱Ⅱ-3"	"Stylosanthes"	"美国"	"65.00"	"矮柱花草"
"960"	"9.00"	"Leguminosae(豆科)"	"--"	"I7B01307"	"兰州畜牧所"	"--"	"1.73"	"--"	"--"	"Trifolium arvense L.(田间三叶草)"	"兰0312"	"国外"	"101"	"栽培牧草"	"中国农科对外处"	"--"	"--"	"5.00"	"1989"	"三Ⅱ-33"	"Trifolium(车轴草属)"	"保加利亚"	"64.00"	"田间三叶草"
"961"	"7.05"	"Leguminosae(豆科)"	"--"	"I7B00799"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.02"	"Trifolium hybridum(杂三叶)"	"85-4"	"国外"	"94"	"栽培牧草"	"加拿大"	"Brand2040"	"6.05"	"--"	"1988"	"三Ⅱ-18"	"Trifolium(车轴草属)"	"--"	"25.00"	"杂三叶"
"962"	"7.05"	"Leguminosae(豆科)"	"--"	"I7B00800"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.02"	"Trifolium repens L.(白车轴草)"	"86-337"	"国外"	"94"	"栽培牧草"	"瑞典"	"蒂特拉"	"6.05"	"--"	"1988"	"三Ⅱ-19"	"Trifolium(车轴草属)"	"瑞典"	"25.00"	"白车轴草"
"963"	"7.10"	"Leguminosae(豆科)"	"--"	"I7B00801"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.02"	"Trifolium repens L.(白车轴草)"	"86-362"	"国外"	"98"	"8硬实率"	"英国"	"MERVIOT"	"--"	"--"	"1988"	"三Ⅱ-20"	"Trifolium(车轴草属)"	"英国"	"50.00"	"白车轴草"
"964"	"7.10"	"Leguminosae(豆科)"	"--"	"I7B00802"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.02"	"Trifolium repens L.(白车轴草)"	"86-363"	"国外"	"98"	"8硬实率"	"英国"	"KUHA"	"--"	"--"	"1988"	"三Ⅱ-21"	"Trifolium(车轴草属)"	"英国"	"50.00"	"白车轴草"
"965"	"7.15"	"Leguminosae(豆科)"	"--"	"I7B00062"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.01"	"Trifolium repens L.(白车轴草)"	"86-353"	"国外"	"99"	"栽培牧草"	"--"	"--"	"--"	"--"	"1987"	"三Ⅱ-16"	"Trifolium(车轴草属)"	"加拿大"	"40.00"	"白车轴草"
"966"	"8.01"	"Leguminosae(豆科)"	"--"	"I7B01309"	"新疆八一农学院"	"--"	"1.81"	"94.3"	"4.18"	"Trifolium repens L.(白车轴草)"	"00756"	"国外"	"105"	"栽培牧草"	"新疆八一农学院"	"--"	"6.07"	"--"	"1989"	"三Ⅱ-35"	"Trifolium(车轴草属)"	"苏联"	"88.00"	"白车轴草"
"967"	"8.11"	"Leguminosae(豆科)"	"--"	"I7B01311"	"新疆八一农学院"	"--"	"1.65"	"93.7"	"4.18"	"Trifolium repens L.(白车轴草)"	"00760"	"国外"	"115"	"栽培牧草"	"石河子种羊场"	"--"	"6.22"	"--"	"1989"	"三Ⅱ-37"	"Trifolium(车轴草属)"	"加拿大"	"100.00"	"白车轴草"
"968"	"8.01"	"Leguminosae(豆科)"	"--"	"I7B01310"	"新疆八一农学院"	"--"	"1.78"	"87.0"	"4.18"	"Trifolium repens L.(白车轴草)"	"00759"	"国外"	"105"	"栽培牧草"	"石河子种羊场"	"--"	"6.08"	"--"	"1989"	"三Ⅱ-36"	"Trifolium(车轴草属)"	"加拿大"	"82.00"	"白车轴草"
"969"	"8.01"	"Leguminosae(豆科)"	"--"	"I7B01312"	"新疆八一农学院"	"--"	"1.64"	"91.3"	"4.18"	"Trifolium repens L.(白车轴草)"	"00761"	"国外"	"105"	"栽培牧草"	"中国农科院"	"--"	"6.22"	"--"	"1989"	"三Ⅱ-38"	"Trifolium(车轴草属)"	"加拿大"	"100.00"	"白车轴草"
"970"	"9.00"	"Leguminosae(豆科)"	"--"	"I7B01317"	"兰州畜牧所"	"--"	"1.75"	"--"	"--"	"Trifolium repens L.(白车轴草)"	"0313"	"国外"	"114"	"栽培牧草"	"中国农科对外处"	"--"	"--"	"5.00"	"1989"	"三Ⅱ-43"	"Trifolium(车轴草属)"	"保加利亚"	"60.40"	"白车轴草"
"971"	"7.15"	"Leguminosae(豆科)"	"--"	"I7B00059"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.01"	"Trifolium repens L.(白车轴草)"	"86-338"	"国外"	"99"	"栽培牧草"	"美国"	"Britta布里塔"	"--"	"--"	"1987"	"三Ⅱ-13"	"Trifolium(车轴草属)"	"美国"	"43.00"	"白车轴草"
"972"	"7.15"	"Leguminosae(豆科)"	"--"	"I7B00060"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.01"	"Trifolium repens L.(白车轴草)"	"84-856"	"国外"	"99"	"栽培牧草"	"--"	"--"	"--"	"--"	"1987"	"三Ⅱ-14"	"Trifolium(车轴草属)"	"澳大利亚"	"40.00"	"白车轴草"
"973"	"7.15"	"Leguminosae(豆科)"	"--"	"I7B00061"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.01"	"Trifolium repens L.(白车轴草)"	"86-339"	"国外"	"99"	"栽培牧草"	"瑞典"	"Sara萨拉"	"--"	"--"	"1987"	"三Ⅱ-15"	"Trifolium(车轴草属)"	"瑞黄"	"33.00"	"白车轴草"
"974"	"9.00"	"Leguminosae(豆科)"	"--"	"I7B01308"	"兰州畜牧所"	"--"	"1.70"	"85.3"	"--"	"Trifolium repens L.(白车轴草)"	"兰0659"	"国外"	"118"	"栽培牧草"	"华东所"	"淡红三叶"	"--"	"5.00"	"1989"	"三Ⅱ-34"	"Trifolium(车轴草属)"	"荷兰"	"--"	"白车轴草"
"975"	"7.05"	"Leguminosae(豆科)"	"--"	"I7B00108"	"湖北畜牧所"	"--"	"0.60"	"70.0"	"--"	"Trifolium repens L.(白车轴草)"	"80-65"	"国外"	"256"	"栽培牧草"	"利川县"	"Louisianna K57114"	"5.21"	"9.21"	"1987"	"三Ⅰ-218"	"Trifolium(车轴草属)"	"新西兰"	"27.00"	"白车轴草"
"976"	"7.05"	"Leguminosae(豆科)"	"--"	"I7B00056"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.01"	"Trifolium repens L.(白车轴草)"	"85-40"	"国外"	"89"	"357(硬实率)"	"新西兰"	"PG85M"	"--"	"--"	"1987"	"三Ⅱ-10"	"Trifolium(车轴草属)"	"新西兰"	"20.00"	"白车轴草"
"977"	"7.05"	"Leguminosae(豆科)"	"--"	"I7B00063"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.01"	"Trifolium repens L.(白车轴草)"	"79-205"	"国外"	"89"	"栽培牧草"	"英国"	"Kentuild肯英国特野生"	"--"	"--"	"1987"	"三Ⅰ-182"	"Trifolium(车轴草属)"	"英国"	"10.00"	"白车轴草"
"978"	"7.05"	"Leguminosae(豆科)"	"--"	"I7B00866"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.01"	"Trifolium repens L.(白车轴草)"	"86-389"	"国外"	"95"	"栽培牧草"	"加拿大"	"Ladino"	"--"	"--"	"1988"	"三Ⅱ-22"	"Trifolium(车轴草属)"	"加拿大"	"25.00"	"白车轴草"
"979"	"7.05"	"Leguminosae(豆科)"	"--"	"I7B00803"	"中国农科院畜牧所"	"--"	"--"	"--"	"4.01"	"Trifolium repens L.(白车轴草)"	"81-216"	"国外"	"95"	"栽培牧草"	"澳大利亚"	"萨法里"	"--"	"--"	"1988"	"三Ⅱ-23"	"Trifolium(车轴草属)"	"澳大利亚"	"20.00"	"白车轴草"
