"id"	"耐旱性"	"科名"	"保存编号"	"库编号"	"锈脚"	"原产地"	"鲜皮厚度"	"叶色"	"雌蕾色"	"根型"	"花叶病"	"麻骨色"	"原麻产量"	"叶形"	"备注"	"分株力"	"雌蕾现蕾期"	"蔸型"	"译名"	"单纤维强力"	"生长整齐度"	"品种名称"	"生长均匀度"	"抗风性"	"工艺成熟天"	"叶面皱纹"	"省"	"学名"	"统一编号"	"雌花开花期"	"保存单位"	"单纤支数"	"属名"	"鲜皮出麻率"	"种子来源"	"株高"	"有效株率"	"茎粗"	"单位编号"	"米色"	"抽穗日数"	"北纬"	"粒色"	"高程"	"单株秆重"	"粗蛋白"	"东经"	"主茎节数"	"刺毛长度"	"单株粒重"	"蚕豆"	"脂肪酸160"
"293"	"强"	"Urticaceae(荨麻科)"	"105"	"--"	"短"	"赣宜春"	"0.91"	"绿"	"黄白"	"深"	"MR"	"白绿"	"175.0"	"椭圆"	"--"	"强"	"8月下旬"	"丛生"	"yiza2hao"	"30.4"	"整齐"	"宜杂2号"	"均匀"	"强"	"188"	"多"	"江西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00851"	"9月中旬"	"江西宜春农科所"	"2007"	"Boehmeria(苎麻属)"	"12.1"	"赣宜春"	"180.0"	"85.1"	"1.24"														
"294"	"强"	"Urticaceae(荨麻科)"	"170"	"1073"	"短"	"黔省麻科所"	"0.51"	"绿"	"淡红"	"深"	"R"	"绿白"	"208.9"	"尖椭"	"--"	"强"	"8月上旬"	"丛生"	"zhuyou1hao"	"28.7"	"整齐"	"苎优1号"	"均匀"	"强"	"201"	"少"	"贵州"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00862"	"8月下旬"	"贵州省麻类研究所"	"1867"	"Boehmeria(苎麻属)"	"9.2"	"黔省麻科所"	"145.0"	"75.5"	"0.94"														
"295"	"强"	"Urticaceae(荨麻科)"	"171"	"--"	"短"	"黔省麻科所"	"0.63"	"绿"	"淡红"	"中"	"R"	"绿白"	"137.0"	"卵圆"	"--"	"强"	"8月上旬"	"散生"	"zhuyou2hao"	"22.8"	"整齐"	"苎优2号"	"均匀"	"强"	"196"	"少"	"贵州"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00863"	"8月下旬"	"贵州省麻类研究所"	"2050"	"Boehmeria(苎麻属)"	"8.4"	"黔省麻科所"	"144.0"	"77.9"	"0.93"														
"296"	"中"	"Urticaceae(荨麻科)"	"201"	"--"	"短"	"黔罗甸县"	"0.93"	"绿"	"黄绿"	"深"	"R"	"绿白"	"39.3"	"卵圆"	"--"	"强"	"8月下旬"	"丛生"	"limuqingma"	"30.8"	"整齐"	"栗木青麻"	"均匀"	"中"	"164"	"少"	"贵州"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00868"	"9月上旬"	"贵州省麻类研究所"	"1711"	"Boehmeria(苎麻属)"	"7.5"	"黔罗甸县"	"121.0"	"71.4"	"0.92"														
"297"	"中"	"Urticaceae(荨麻科)"	"193"	"--"	"短"	"黔六盘水市"	"0.82"	"绿"	"微红"	"中"	"R"	"绿白"	"15.7"	"卵圆"	"--"	"强"	"8月下旬"	"散生"	"liuzhizhuma"	"26.5"	"整齐"	"六枝苎麻"	"均匀"	"中"	"151"	"少"	"贵州"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00869"	"8月下旬"	"贵州省麻类研究所"	"1833"	"Boehmeria(苎麻属)"	"6.7"	"黔六盘水市"	"109.0"	"57.1"	"0.73"														
"298"	"强"	"Urticaceae(荨麻科)"	"194"	"1070"	"短"	"黔瓮安县"	"0.73"	"绿"	"红"	"中"	"R"	"黄白"	"16.6"	"椭圆"	"--"	"强"	"8月下旬"	"散生"	"wengyangqingpi"	"28.6"	"整齐"	"瓮阳青皮"	"均匀"	"强"	"175"	"少"	"贵州"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00870"	"8月下旬"	"贵州省麻类研究所"	"2457"	"Boehmeria(苎麻属)"	"5.9"	"黔瓮安县"	"106.0"	"48.4"	"0.61"														
"299"	"强"	"Urticaceae(荨麻科)"	"195"	"--"	"短"	"黔瓮安县"	"0.83"	"绿"	"红"	"中"	"R"	"白绿"	"71.7"	"尖椭"	"--"	"强"	"8月下旬"	"散生"	"zhuchangqingpi"	"24.8"	"整齐"	"珠场青皮"	"均匀"	"强"	"160"	"少"	"贵州"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00871"	"9月上旬"	"贵州省麻类研究所"	"2218"	"Boehmeria(苎麻属)"	"9.5"	"黔瓮安县"	"85.0"	"53.4"	"0.83"														
"300"	"强"	"Urticaceae(荨麻科)"	"202"	"1069"	"短"	"黔三都县"	"0.83"	"绿"	"黄绿"	"中"	"R"	"白绿"	"39.9"	"卵圆"	"--"	"强"	"9月上旬"	"散生"	"sanduqingpima"	"41.3"	"整齐"	"三都青皮麻"	"均匀"	"强"	"164"	"多"	"贵州"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00872"	"9月上旬"	"贵州省麻类研究所"	"1347"	"Boehmeria(苎麻属)"	"11.6"	"黔三都县"	"107.0"	"68.6"	"0.83"														
"301"	"中"	"Urticaceae(荨麻科)"	"705"	"705"	"长"	"苏启东县"	"0.63"	"绿"	"黄白"	"深"	"S"	"黄白"	"79.2"	"尖椭"	"--"	"强"	"8月中旬"	"丛生"	"yujiaozhuma"	"45.2"	"较整齐"	"圩角苎麻"	"不均匀"	"强"	"160"	"多"	"江苏"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00873"	"9月下旬"	"中国农科院麻类所"	"2167"	"Boehmeria(苎麻属)"	"14.7"	"苏启东县"	"120.0"	"65.3"	"0.81"														
"302"	"弱"	"Urticaceae(荨麻科)"	"844"	"844"	"长"	"苏武进县"	"0.58"	"绿"	"黄绿"	"中"	"S"	"绿白"	"61.1"	"卵圆"	"--"	"弱"	"8月下旬"	"散生"	"jianhuzhuma"	"44.7"	"较整齐"	"剑湖苎麻"	"较均匀"	"中"	"171"	"多"	"江苏"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00874"	"9月中旬"	"中国农科院麻类所"	"2127"	"Boehmeria(苎麻属)"	"13.2"	"苏武进县"	"100.0"	"61.0"	"0.65"														
"303"	"中"	"Urticaceae(荨麻科)"	"262"	"262"	"--"	"皖歙县"	"0.86"	"绿"	"红"	"中"	"MS"	"黄白"	"124.0"	"卵圆"	"--"	"中"	"--"	"散生"	"xixianqingpima"	"44.0"	"较整齐"	"歙县青皮麻"	"较均匀"	"中"	"185"	"--"	"安徽"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00875"	"--"	"中国农科院麻类所"	"1535"	"Boehmeria(苎麻属)"	"10.3"	"皖歙县"	"123.0"	"--"	"0.85"														
"304"	"强"	"Urticaceae(荨麻科)"	"84"	"84"	"--"	"鄂蒲圻县"	"0.75"	"绿"	"淡红"	"深"	"MS"	"黄白"	"102.5"	"尖椭"	"--"	"中"	"--"	"丛生"	"puxiribenma"	"48.8"	"较整齐"	"蒲圻日本麻"	"较均匀"	"中"	"173"	"--"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00876"	"--"	"中国农科院麻类所"	"1461"	"Boehmeria(苎麻属)"	"10.8"	"鄂蒲圻县"	"145.0"	"--"	"0.87"														
"305"	"中"	"Urticaceae(荨麻科)"	"93"	"807"	"短"	"鄂阳新县"	"0.74"	"黄绿"	"微红"	"中"	"MR"	"绿白"	"95.0"	"椭圆"	"--"	"强"	"9月中旬"	"散生"	"huma"	"47.9"	"整齐"	"胡麻"	"较均匀"	"中"	"172"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00877"	"9月下旬"	"湖北农科院经作所"	"1889"	"Boehmeria(苎麻属)"	"12.9"	"鄂阳新县"	"147.0"	"85.0"	"0.85"														
"306"	"强"	"Urticaceae(荨麻科)"	"21"	"947"	"短"	"川达竹县"	"0.68"	"绿"	"微红"	"中"	"MR"	"绿白"	"121.0"	"卵圆"	"--"	"强"	"9月上旬"	"散生"	"honggengqingma1hao"	"39.5"	"整齐"	"红梗青麻1号"	"均匀"	"中"	"194"	"多"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00894"	"9月中旬"	"川达县地区农科"	"1990"	"Boehmeria(苎麻属)"	"10.3"	"川达竹县"	"170.0"	"80.6"	"1.10"														
"307"	"中"	"Urticaceae(荨麻科)"	"22"	"948"	"长"	"川达竹县"	"0.51"	"绿"	"红"	"中"	"S"	"绿白"	"72.0"	"卵圆"	"--"	"弱"	"8月下旬"	"散生"	"honggengqingma2hao"	"38.6"	"整齐"	"红梗青麻2号"	"均匀"	"中"	"188"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00895"	"9月中旬"	"川达县地区农科"	"1763"	"Boehmeria(苎麻属)"	"7.5"	"川达竹县"	"149.0"	"70.4"	"0.85"														
"308"	"强"	"Urticaceae(荨麻科)"	"234"	"1055"	"长"	"川宜汉县"	"0.62"	"深绿"	"淡红"	"浅"	"MS"	"绿白"	"124.0"	"宽卵"	"--"	"强"	"9月上旬"	"串生"	"bazhongbaima2hao"	"52.6"	"较整齐"	"巴中白麻2号"	"较均匀"	"弱"	"187"	"多"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00904"	"9月下旬"	"川达县地区农科"	"1470"	"Boehmeria(苎麻属)"	"11.0"	"川宜汉县"	"168.0"	"69.3"	"1.10"														
"309"	"中"	"Urticaceae(荨麻科)"	"33"	"958"	"短"	"川宜汉县"	"0.54"	"绿"	"深红"	"中"	"MS"	"黄白"	"75.0"	"近圆"	"--"	"强"	"8月下旬"	"散生"	"shababaima1hao"	"46.1"	"整齐"	"沙坝白麻1号"	"均匀"	"中"	"184"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00905"	"9月中旬"	"川达县地区农科"	"1569"	"Boehmeria(苎麻属)"	"11.0"	"川宜汉县"	"120.0"	"57.0"	"0.85"														
"310"	"中"	"Urticaceae(荨麻科)"	"34"	"--"	"短"	"川宜汉县"	"0.61"	"绿"	"黄白"	"中"	"MR"	"绿白"	"82.0"	"卵圆"	"--"	"中"	"9月上旬"	"散生"	"shababaima2hao"	"47.5"	"整齐"	"沙坝白麻2号"	"均匀"	"中"	"187"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00906"	"9月中旬"	"川达县地区农科"	"1979"	"Boehmeria(苎麻属)"	"11.4"	"川宜汉县"	"143.0"	"67.5"	"0.90"														
"311"	"弱"	"Urticaceae(荨麻科)"	"36"	"959"	"短"	"川宜汉县"	"0.63"	"绿"	"黄白"	"浅"	"S"	"黄白"	"121.0"	"宽卵"	"--"	"强"	"8月下旬"	"串生"	"taohuazhuma1hao"	"39.8"	"不整齐"	"桃花苎麻1号"	"不均匀"	"强"	"187"	"多"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00907"	"9月中旬"	"川达县地区农科"	"1621"	"Boehmeria(苎麻属)"	"12.5"	"川宜汉县"	"140.0"	"68.8"	"0.78"														
"312"	"弱"	"Urticaceae(荨麻科)"	"37"	"960"	"短"	"川宜汉县"	"0.67"	"浅绿"	"黄白"	"中"	"S"	"绿白"	"100.0"	"宽卵"	"--"	"强"	"8月下旬"	"散生"	"taohuazhuma2hao"	"51.2"	"不整齐"	"桃花苎麻2号"	"不均匀"	"强"	"190"	"多"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00908"	"10月上旬"	"川达县地区农科"	"1470"	"Boehmeria(苎麻属)"	"12.8"	"川宜汉县"	"153.0"	"77.9"	"0.85"														
"313"	"弱"	"Urticaceae(荨麻科)"	"38"	"961"	"短"	"川宜汉县"	"0.70"	"绿"	"微红"	"浅"	"MS"	"绿白"	"121.4"	"宽卵"	"--"	"强"	"8月下旬"	"串生"	"kunchizhuma1hao"	"34.4"	"较整齐"	"昆池苎麻1号"	"较均匀"	"强"	"187"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00909"	"9月中旬"	"川达县地区农科"	"1521"	"Boehmeria(苎麻属)"	"12.3"	"川宜汉县"	"162.0"	"64.2"	"0.81"														
"314"	"弱"	"Urticaceae(荨麻科)"	"39"	"962"	"短"	"川宜汉县"	"0.55"	"绿"	"黄白"	"浅"	"MS"	"绿白"	"83.0"	"宽卵"	"--"	"强"	"8月下旬"	"串生"	"kunchizhuma2hao"	"32.7"	"整齐"	"昆池苎麻2号"	"均匀"	"强"	"185"	"多"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00910"	"9月中旬"	"川达县地区农科"	"1595"	"Boehmeria(苎麻属)"	"10.2"	"川宜汉县"	"171.0"	"61.3"	"0.90"														
"315"	"弱"	"Urticaceae(荨麻科)"	"40"	"963"	"长"	"川宜汉县"	"0.68"	"深绿"	"微红"	"中"	"MR"	"绿白"	"100.0"	"宽卵"	"--"	"强"	"8月下旬"	"散生"	"kunchizhuma3hao"	"45.8"	"整齐"	"昆池苎麻3号"	"均匀"	"强"	"189"	"多"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00911"	"9月中旬"	"川达县地区农科"	"1571"	"Boehmeria(苎麻属)"	"10.7"	"川宜汉县"	"172.0"	"76.6"	"1.08"														
"316"	"弱"	"Urticaceae(荨麻科)"	"226"	"1049"	"短"	"川石柱县"	"0.57"	"绿"	"红"	"浅"	"MS"	"绿白"	"58.0"	"卵圆"	"--"	"强"	"9月上旬"	"串生"	"taiyuanyema"	"27.4"	"整齐"	"太原野麻"	"均匀"	"强"	"186"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00915"	"9月下旬"	"川达县地区农科"	"2294"	"Boehmeria(苎麻属)"	"9.9"	"川石柱县"	"124.0"	"51.2"	"0.80"														
"317"	"强"	"Urticaceae(荨麻科)"	"227"	"1050"	"短"	"川黔江县"	"0.68"	"深绿"	"深红"	"中"	"R"	"绿白"	"85.0"	"宽卵"	"--"	"弱"	"8月下旬"	"散生"	"qianjianghuanggan"	"46.3"	"较整齐"	"黔江黄杆"	"较均匀"	"强"	"188"	"多"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00916"	"9月中旬"	"川达县地区农科"	"1502"	"Boehmeria(苎麻属)"	"10.1"	"川黔江县"	"123.0"	"75.3"	"1.20"														
"318"	"弱"	"Urticaceae(荨麻科)"	"228"	"977"	"短"	"川彭水县"	"0.62"	"绿"	"红"	"浅"	"MS"	"绿白"	"93.0"	"宽卵"	"--"	"强"	"9月中旬"	"串生"	"pengshuiqinggangma"	"36.6"	"较整齐"	"彭水青杠麻"	"较均匀"	"中"	"182"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00917"	"9月下旬"	"川达县地区农科"	"1820"	"Boehmeria(苎麻属)"	"10.0"	"川彭水县"	"152.0"	"53.7"	"1.00"														
"319"	"中"	"Urticaceae(荨麻科)"	"735"	"735"	"短"	"豫固始县"	"0.60"	"绿"	"深红"	"中"	"MS"	"黄白"	"95.0"	"卵圆"	"--"	"弱"	"9月中旬"	"散生"	"gushizhuma1hao"	"50.8"	"较整齐"	"固始苎麻1号"	"较均匀"	"中"	"172"	"多"	"河南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00918"	"9月中旬"	"中国农科院麻类所"	"1601"	"Boehmeria(苎麻属)"	"12.4"	"豫固始县"	"107.0"	"40.4"	"0.65"														
"320"	"中"	"Urticaceae(荨麻科)"	"736"	"736"	"长"	"豫固始县"	"0.63"	"绿"	"红"	"中"	"MS"	"黄白"	"57.5"	"卵圆"	"--"	"弱"	"9月中旬"	"散生"	"gushizhuma2hao"	"--"	"不整齐"	"固始苎麻2号"	"不均匀"	"中"	"177"	"多"	"河南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00919"	"9月中旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"10.5"	"豫固始县"	"99.0"	"30.0"	"0.67"														
"321"	"弱"	"Urticaceae(荨麻科)"	"737"	"737"	"--"	"豫固始县"	"--"	"深绿"	"黄绿"	"浅"	"MR"	"绿白"	"--"	"卵圆"	"--"	"弱"	"8月中旬"	"串生"	"gushizhuma3hao"	"--"	"不整齐"	"固始苎麻3号"	"不均匀"	"中"	"158"	"多"	"河南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00920"	"8月下旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"--"	"豫固始县"	"40.0"	"--"	"0.34"														
"322"	"强"	"Urticaceae(荨麻科)"	"739"	"739"	"短"	"豫固始县"	"0.60"	"绿"	"深红"	"深"	"MS"	"黄白"	"72.2"	"卵圆"	"--"	"中"	"9月上旬"	"丛生"	"zenggangheiganma"	"57.8"	"不整齐"	"曾岗黑杆麻"	"较均匀"	"强"	"171"	"多"	"河南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00921"	"9月中旬"	"中国农科院麻类所"	"1803"	"Boehmeria(苎麻属)"	"12.3"	"豫固始县"	"114.0"	"56.4"	"0.68"														
"323"	"强"	"Urticaceae(荨麻科)"	"740"	"740"	"长"	"豫固始县"	"0.59"	"绿"	"红"	"深"	"MS"	"黄白"	"83.5"	"尖椭"	"--"	"中"	"9月上旬"	"丛生"	"shangchengxianma"	"54.2"	"不整齐"	"商城线麻"	"较均匀"	"强"	"172"	"多"	"河南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00922"	"9月中旬"	"中国农科院麻类所"	"1628"	"Boehmeria(苎麻属)"	"13.0"	"豫固始县"	"127.0"	"69.0"	"0.72"														
"324"	"弱"	"Urticaceae(荨麻科)"	"743"	"743"	"短"	"豫西陕县"	"0.43"	"绿"	"淡红"	"浅"	"MS"	"黄白"	"20.9"	"卵圆"	"--"	"弱"	"9月上旬"	"串生"	"xipingzhuma1hao"	"--"	"较整齐"	"西坪苎麻1号"	"均匀"	"弱"	"163"	"多"	"河南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00923"	"9月上旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"5.9"	"豫西陕县"	"105.0"	"48.0"	"0.64"														
"325"	"弱"	"Urticaceae(荨麻科)"	"744"	"744"	"长"	"豫西陕县"	"--"	"深绿"	"红"	"浅"	"MS"	"黄白"	"41.6"	"卵圆"	"--"	"中"	"8月下旬"	"串生"	"xipingzhuma2hao"	"--"	"不整齐"	"西坪苎麻2号"	"较均匀"	"弱"	"168"	"多"	"河南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00924"	"9月上旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"6.8"	"豫西陕县"	"78.0"	"42.0"	"0.59"														
"326"	"弱"	"Urticaceae(荨麻科)"	"742"	"742"	"长"	"豫西陕县"	"--"	"浅绿"	"红"	"浅"	"MS"	"白绿"	"18.3"	"卵圆"	"--"	"中"	"9月上旬"	"串生"	"xipingzhuma3hao"	"--"	"较整齐"	"西坪苎麻3号"	"较均匀"	"弱"	"158"	"多"	"河南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00925"	"9月中旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"8.0"	"豫西陕县"	"50.0"	"--"	"0.50"														
"327"	"弱"	"Urticaceae(荨麻科)"	"746"	"746"	"--"	"豫西陕县"	"--"	"深绿"	"黄绿"	"浅"	"--"	"绿白"	"--"	"卵圆"	"--"	"弱"	"8月下旬"	"串生"	"laojungouyezhuma1hao"	"--"	"较整齐"	"老君沟野苎麻1号"	"较均匀"	"弱"	"154"	"多"	"河南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00926"	"9月中旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"--"	"豫西陕县"	"55.0"	"--"	"0.54"														
"328"	"弱"	"Urticaceae(荨麻科)"	"748"	"748"	"--"	"豫西陕县"	"--"	"深绿"	"黄绿"	"浅"	"MS"	"绿白"	"--"	"卵圆"	"--"	"弱"	"8月下旬"	"串生"	"laojungouyezhuma2hao"	"--"	"不整齐"	"老君沟野苎麻2号"	"不均匀"	"弱"	"153"	"多"	"河南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00927"	"9月上旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"--"	"豫西陕县"	"45.0"	"--"	"0.43"														
"329"	"中"	"Urticaceae(荨麻科)"	"724"	"724"	"--"	"陕平利县"	"--"	"绿"	"微红"	"中"	"MS"	"黄白"	"--"	"卵圆"	"--"	"弱"	"8月下旬"	"散生"	"pingliyezhuma1hao"	"--"	"较整齐"	"平利野苎麻1号"	"较均匀"	"中"	"176"	"多"	"陕西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00936"	"9月中旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"--"	"陕平利县"	"85.0"	"44.2"	"0.52"														
"330"	"中"	"Urticaceae(荨麻科)"	"722"	"722"	"长"	"陕平利县"	"0.58"	"绿"	"红"	"中"	"S"	"黄白"	"67.8"	"尖椭"	"--"	"弱"	"9月中旬"	"散生"	"pingliyezhuma2hao"	"50.7"	"较整齐"	"平利野苎麻2号"	"较均匀"	"中"	"166"	"多"	"陕西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00937"	"9月下旬"	"中国农科院麻类所"	"1799"	"Boehmeria(苎麻属)"	"11.9"	"陕平利县"	"116.0"	"54.8"	"0.66"														
"331"	"中"	"Urticaceae(荨麻科)"	"732"	"732"	"短"	"陕商县"	"0.77"	"绿"	"淡红"	"中"	"S"	"黄白"	"92.8"	"卵圆"	"--"	"中"	"9月中旬"	"散生"	"shangxianzhuma1hao"	"58.3"	"整齐"	"商县苎麻1号"	"较均匀"	"中"	"185"	"少"	"陕西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00940"	"9月下旬"	"中国农科院麻类所"	"1279"	"Boehmeria(苎麻属)"	"12.4"	"陕商县"	"121.0"	"53.4"	"0.74"														
"332"	"中"	"Urticaceae(荨麻科)"	"734"	"734"	"长"	"陕商县"	"0.62"	"绿"	"淡红"	"中"	"MS"	"黄白"	"73.8"	"卵圆"	"--"	"中"	"9月中旬"	"散生"	"shangxianzhuma2hao"	"62.1"	"较整齐"	"商县苎麻2号"	"较均匀"	"中"	"188"	"多"	"陕西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00941"	"9月下旬"	"中国农科院麻类所"	"1332"	"Boehmeria(苎麻属)"	"11.6"	"陕商县"	"120.0"	"50.9"	"0.67"														
"333"	"中"	"Urticaceae(荨麻科)"	"847"	"847"	"短"	"陕山阳县"	"0.78"	"绿"	"淡红"	"中"	"MS"	"黄白"	"127.5"	"卵圆"	"--"	"强"	"9月上旬"	"散生"	"shanyangzhuma"	"50.5"	"整齐"	"山阳苎麻"	"均匀"	"中"	"185"	"多"	"陕西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00942"	"9月中旬"	"中国农科院麻类所"	"1547"	"Boehmeria(苎麻属)"	"11.8"	"陕山阳县"	"116.0"	"72.2"	"0.79"														
"334"	"弱"	"Urticaceae(荨麻科)"	"848"	"848"	"长"	"陕蓝田县"	"0.55"	"深绿"	"微红"	"浅"	"S"	"黄白"	"--"	"卵圆"	"--"	"中"	"9月上旬"	"串生"	"gangma"	"--"	"较整齐"	"刚麻"	"较均匀"	"弱"	"175"	"多"	"陕西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00943"	"9月中旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"7.9"	"陕蓝田县"	"105.0"	"33.2"	"0.67"														
"335"	"强"	"Urticaceae(荨麻科)"	"172"	"--"	"短"	"陕紫阳县"	"0.50"	"深绿"	"黄白"	"深"	"R"	"绿白"	"100.0"	"尖椭"	"--"	"弱"	"9月下旬"	"丛生"	"ziyangyema"	"50.0"	"整齐"	"紫阳野麻"	"均匀"	"强"	"198"	"多"	"陕西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00944"	"10月上旬"	"川达县地区农科"	"1348"	"Boehmeria(苎麻属)"	"12.0"	"陕紫阳县"	"138.0"	"76.7"	"0.98"														
