"id"	"耐旱性"	"科名"	"保存编号"	"库编号"	"锈脚"	"原产地"	"鲜皮厚度"	"叶色"	"雌蕾色"	"根型"	"花叶病"	"麻骨色"	"原麻产量"	"叶形"	"备注"	"分株力"	"雌蕾现蕾期"	"蔸型"	"译名"	"单纤维强力"	"生长整齐度"	"品种名称"	"生长均匀度"	"抗风性"	"工艺成熟天"	"叶面皱纹"	"省"	"学名"	"统一编号"	"雌花开花期"	"保存单位"	"单纤支数"	"属名"	"鲜皮出麻率"	"种子来源"	"株高"	"有效株率"	"茎粗"	"单位编号"	"米色"	"抽穗日数"	"北纬"	"粒色"	"高程"	"单株秆重"	"粗蛋白"	"东经"	"主茎节数"	"刺毛长度"	"单株粒重"	"蚕豆"	"脂肪酸160"
"225"	"强"	"Urticaceae(荨麻科)"	"31"	"1041"	"短"	"湖北咸宁县"	"0.78"	"绿"	"红"	"深"	"MR"	"黄白"	"100.0"	"近圆"	"--"	"中"	"9月中旬"	"丛生"	"xianningdayebai2hao"	"57.5"	"不整齐"	"咸宁大叶白2号"	"较均匀"	"中"	"180"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00570"	"10月上旬"	"湖北农科院经作所"	"1516"	"Boehmeria(苎麻属)"	"12.6"	"湖北咸宁县"	"170.0"	"80.0"	"1.00"														
"226"	"强"	"Urticaceae(荨麻科)"	"42"	"759"	"短"	"湖北圻春县"	"0.79"	"深绿"	"微红"	"中"	"R"	"黄白"	"125.0"	"卵圆"	"--"	"中"	"9月中旬"	"散生"	"xichunhuangjian1hao"	"58.1"	"较整齐"	"圻春黄尖1号"	"较均匀"	"弱"	"165"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00582"	"10月上旬"	"湖北农科院经作所"	"1426"	"Boehmeria(苎麻属)"	"13.6"	"湖北圻春县"	"165.0"	"77.2"	"0.85"														
"227"	"中"	"Urticaceae(荨麻科)"	"43"	"790"	"短"	"湖北圻春县"	"0.78"	"绿"	"深红"	"中"	"MR"	"绿白"	"110.0"	"椭圆"	"--"	"强"	"9月上旬"	"散生"	"xichunhuangjian2hao"	"54.6"	"整齐"	"圻春黄尖2号"	"较均匀"	"强"	"170"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00583"	"9月下旬"	"湖北农科院经作所"	"1423"	"Boehmeria(苎麻属)"	"13.4"	"湖北圻春县"	"159.0"	"83.8"	"0.82"														
"228"	"强"	"Urticaceae(荨麻科)"	"45"	"758"	"短"	"湖北圻春县"	"0.76"	"深绿"	"红"	"深"	"R"	"黄白"	"125.0"	"卵圆"	"--"	"中"	"9月上旬"	"丛生"	"hongsun1hao"	"59.0"	"整齐"	"红荪1号"	"较均匀"	"强"	"180"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00585"	"9月下旬"	"湖北农科院经作所"	"1425"	"Boehmeria(苎麻属)"	"13.5"	"湖北圻春县"	"160.0"	"84.3"	"0.85"														
"229"	"弱"	"Urticaceae(荨麻科)"	"46"	"--"	"短"	"湖北圻春县"	"0.71"	"绿"	"深红"	"中"	"MR"	"绿白"	"84.0"	"卵圆"	"--"	"强"	"9月上旬"	"散生"	"hongsun2hao"	"50.8"	"不整齐"	"红荪2号"	"不均匀"	"强"	"180"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00586"	"9月下旬"	"湖北农科院经作所"	"1469"	"Boehmeria(苎麻属)"	"14.1"	"湖北圻春县"	"126.0"	"80.8"	"0.77"														
"230"	"强"	"Urticaceae(荨麻科)"	"60"	"162"	"短"	"湖北恩施县"	"0.76"	"浅绿"	"微红"	"深"	"MS"	"白绿"	"120.0"	"尖椭"	"--"	"中"	"9月下旬"	"丛生"	"enshijigubaihao"	"49.1"	"较整齐"	"恩施鸡骨白号"	"较均匀"	"强"	"185"	"少"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00600"	"10月中旬"	"湖北农科院经作所"	"1647"	"Boehmeria(苎麻属)"	"12.4"	"湖北恩施县"	"165.0"	"80.1"	"0.98"														
"231"	"弱"	"Urticaceae(荨麻科)"	"61"	"1039"	"短"	"湖北恩施县"	"0.62"	"深绿"	"微红"	"中"	"MR"	"绿白"	"80.0"	"近圆"	"--"	"强"	"9月中旬"	"散生"	"enshijigubai1hao"	"47.9"	"较整齐"	"恩施鸡骨白1号"	"较均匀"	"弱"	"182"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00601"	"10月上旬"	"湖北农科院经作所"	"1581"	"Boehmeria(苎麻属)"	"8.7"	"湖北恩施县"	"152.0"	"74.5"	"0.88"														
"232"	"强"	"Urticaceae(荨麻科)"	"65"	"--"	"短"	"湖北恩施县"	"0.84"	"黄绿"	"微红"	"深"	"MR"	"黄白"	"130.0"	"卵圆"	"--"	"中"	"10月中旬"	"丛生"	"enshidayepao1hao"	"48.0"	"较整齐"	"恩施大叶泡1号"	"较均匀"	"强"	"190"	"少"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00605"	"11月上旬"	"湖北农科院经作所"	"1642"	"Boehmeria(苎麻属)"	"10.6"	"湖北恩施县"	"170.0"	"76.0"	"1.00"														
"233"	"弱"	"Urticaceae(荨麻科)"	"66"	"--"	"短"	"湖北恩施县"	"0.81"	"深绿"	"黄白"	"中"	"MS"	"绿白"	"120.0"	"卵圆"	"--"	"强"	"9月上旬"	"散生"	"enshidayepao2hao"	"58.3"	"较整齐"	"恩施大叶泡2号"	"较均匀"	"弱"	"182"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00606"	"9月下旬"	"湖北农科院经作所"	"1401"	"Boehmeria(苎麻属)"	"13.2"	"湖北恩施县"	"150.0"	"75.0"	"0.75"														
"234"	"弱"	"Urticaceae(荨麻科)"	"85"	"--"	"短"	"湖北枝江县"	"0.71"	"深绿"	"绿白"	"浅"	"MR"	"绿白"	"80.0"	"卵圆"	"--"	"强"	"8月下旬"	"串生"	"gudianzhuma"	"31.8"	"整齐"	"顾店苎麻"	"较均匀"	"强"	"165"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00626"	"9月中旬"	"湖北农科院经作所"	"1964"	"Boehmeria(苎麻属)"	"10.4"	"湖北枝江县"	"150.0"	"72.0"	"0.78"														
