"id"	"备注"	"蚜害病评价"	"异亮氨酸"	"酩氨酸"	"样品类型"	"花色"	"单荚粒数"	"全生育日数"	"粒型"	"赤斑病评价"	"支链淀粉"	"赤斑病级"	"丙氨酸"	"锈病指数"	"译名"	"粒色"	"色氨酸"	"有效枝"	"属名"	"粗脂肪"	"省"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"天冬氨酸"	"蚜害病指数"	"亮氨酸"	"熟性"	"褐斑病评价"	"谷氨酸"	"荚宽"	"粗蛋白"	"百粒重"	"粒形"	"成熟期"	"精氨酸"	"直链淀粉"	"库编号"	"品种名称"	"均匀度"	"苏氨酸"	"蛋氨酸"	"保存编号"	"学名"	"褐斑病级"	"播种期"	"种子来源"	"锈病病级"	"原产地"	"抗涝性"	"脯氨酸"	"株高"	"组氨酸"	"单株荚数"	"保存单位"	"芽期耐盐"	"缬氨酸"	"统一编号"	"蚜害病级"	"锈病评价"	"单株产量"	"褐斑病指数"	"苯丙氨酸"	"胱氨酸"	"总淀粉"	"荚长"	"赤斑病指数"	"总和"	"科名"	"苗期耐盐"	"穗形"	"酪氨酸"	"穗柄长"	"蛋白质"	"赖氨占蛋白"	"脂肪"	"锤度"	"分枝数"	"来源地"	"结荚习性"	"分蘖性"	"荚色"	"引入时间"	"生长习性"	"丝黑穗病率"	"灌浆抗寒性"	"高程"	"水份"	"颖壳包皮度"	"幼苗色"	"壳色"	"苗期抗寒性"
"1093"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.5"	"210"	"中"	"--"	"--"	"--"	"--"	"--"	"4050"	"乳白"	"--"	"3.5"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.8"	"--"	"76.6"	"窄厚"	"5.26"	"--"	"--"	"--"	"4050"	"不均"	"--"	"--"	"C210"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"77.8"	"--"	"6.8"	"浙江农科院作物所"	"--"	"--"	"H0002187"	"--"	"--"	"7.5"	"--"	"--"	"--"	"--"	"7.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1094"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.9"	"217"	"中"	"--"	"--"	"--"	"--"	"--"	"4086"	"乳白"	"--"	"3.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.7"	"--"	"100.0"	"中厚"	"6.02"	"--"	"--"	"--"	"4086"	"中"	"--"	"--"	"C246"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"98.2"	"--"	"12.6"	"浙江农科院作物所"	"--"	"--"	"H0002188"	"--"	"--"	"24.8"	"--"	"--"	"--"	"--"	"7.5"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1095"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.7"	"215"	"小"	"--"	"--"	"--"	"--"	"--"	"4579"	"乳白"	"--"	"2.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.2"	"--"	"58.8"	"窄厚"	"5.31"	"--"	"--"	"--"	"4579"	"不均"	"--"	"--"	"C331"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"71.8"	"--"	"11.2"	"浙江农科院作物所"	"--"	"--"	"H0002189"	"--"	"--"	"9.3"	"--"	"--"	"--"	"--"	"4.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1096"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.1"	"220"	"中"	"--"	"--"	"--"	"--"	"--"	"41308"	"乳白"	"--"	"4.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"2.5"	"--"	"90.2"	"中厚"	"6.05"	"--"	"--"	"--"	"41308"	"中"	"--"	"--"	"C441"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"78.0"	"--"	"14.2"	"浙江农科院作物所"	"--"	"--"	"H0002190"	"--"	"--"	"18.4"	"--"	"--"	"--"	"--"	"6.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1097"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.8"	"220"	"中"	"--"	"--"	"--"	"--"	"--"	"42141"	"乳白"	"--"	"5.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"2.5"	"--"	"108.6"	"阔薄"	"6.05"	"--"	"--"	"--"	"42141"	"不均"	"--"	"--"	"C517"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"88.0"	"--"	"13.2"	"浙江农科院作物所"	"--"	"--"	"H0002191"	"--"	"--"	"25.3"	"--"	"--"	"--"	"--"	"7.5"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1098"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.7"	"214"	"小"	"--"	"--"	"--"	"--"	"--"	"4055"	"乳白"	"--"	"3.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.3"	"--"	"61.6"	"窄厚"	"5.30"	"--"	"--"	"--"	"4055"	"不均"	"--"	"--"	"C215"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"75.2"	"--"	"10.4"	"浙江农科院作物所"	"--"	"--"	"H0002192"	"--"	"--"	"11.7"	"--"	"--"	"--"	"--"	"6.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1099"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.4"	"215"	"中"	"--"	"--"	"--"	"--"	"--"	"4060"	"乳白"	"--"	"3.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.8"	"--"	"80.9"	"窄厚"	"5.31"	"--"	"--"	"--"	"4060"	"不均"	"--"	"--"	"C220"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"79.4"	"--"	"8.4"	"浙江农科院作物所"	"--"	"--"	"H0002193"	"--"	"--"	"16.3"	"--"	"--"	"--"	"--"	"7.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1100"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.8"	"218"	"中"	"--"	"--"	"--"	"--"	"--"	"4072"	"乳白"	"--"	"5.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.9"	"--"	"91.1"	"中薄"	"6.03"	"--"	"--"	"--"	"4072"	"不均"	"--"	"--"	"C232"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"96.8"	"--"	"18.3"	"浙江农科院作物所"	"--"	"--"	"H0002194"	"--"	"--"	"30.9"	"--"	"--"	"--"	"--"	"7.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1101"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.6"	"218"	"中"	"S"	"--"	"7"	"--"	"--"	"4077"	"乳白"	"--"	"3.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.7"	"--"	"82.1"	"中薄"	"6.03"	"--"	"--"	"I2M02661"	"4077"	"中"	"--"	"--"	"C237"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"80.4"	"--"	"13.8"	"浙江农科院作物所"	"--"	"--"	"H0002195"	"--"	"--"	"21.5"	"--"	"--"	"--"	"--"	"8.1"	"79.6"	"--"	"Leguminosae(豆科)"	"--"																						
"1102"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.8"	"212"	"小"	"--"	"--"	"--"	"--"	"--"	"4502"	"乳白"	"--"	"3.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.9"	"--"	"69.2"	"中厚"	"5.28"	"--"	"--"	"--"	"4502"	"不均"	"--"	"--"	"C257"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"81.2"	"--"	"7.8"	"浙江农科院作物所"	"--"	"--"	"H0002196"	"--"	"--"	"9.6"	"--"	"--"	"--"	"--"	"6.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1103"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.8"	"214"	"小"	"--"	"--"	"--"	"--"	"--"	"4531"	"乳白"	"--"	"3.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.4"	"--"	"58.2"	"窄厚"	"5.30"	"--"	"--"	"--"	"4531"	"不均"	"--"	"--"	"C285"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"84.6"	"--"	"11.4"	"浙江农科院作物所"	"--"	"--"	"H0002197"	"--"	"--"	"10.8"	"--"	"--"	"--"	"--"	"5.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1104"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.6"	"214"	"小"	"--"	"--"	"--"	"--"	"--"	"4838"	"乳白"	"--"	"3.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"68.0"	"阔薄"	"5.30"	"--"	"--"	"--"	"4838"	"不均"	"--"	"--"	"C383"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"67.8"	"--"	"6.0"	"浙江农科院作物所"	"--"	"--"	"H0002198"	"--"	"--"	"7.0"	"--"	"--"	"--"	"--"	"6.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1105"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.7"	"220"	"中"	"--"	"--"	"--"	"--"	"--"	"42107"	"乳白"	"--"	"3.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.8"	"--"	"116.9"	"阔厚"	"6.05"	"--"	"--"	"--"	"42107"	"不均"	"--"	"--"	"C486"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"78.6"	"--"	"7.0"	"浙江农科院作物所"	"--"	"--"	"H0002199"	"--"	"--"	"14.3"	"--"	"--"	"--"	"--"	"8.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1106"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.2"	"220"	"中"	"--"	"--"	"--"	"--"	"--"	"42121"	"乳白"	"--"	"3.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.9"	"--"	"115.1"	"中厚"	"6.05"	"--"	"--"	"--"	"42121"	"均匀"	"--"	"--"	"C499"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"73.6"	"--"	"7.8"	"浙江农科院作物所"	"--"	"--"	"H0002200"	"--"	"--"	"19.1"	"--"	"--"	"--"	"--"	"9.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1107"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.4"	"215"	"小"	"--"	"--"	"--"	"--"	"--"	"42135"	"乳白"	"--"	"2.7"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"2.1"	"--"	"66.2"	"窄厚"	"5.31"	"--"	"--"	"--"	"42135"	"不均"	"--"	"--"	"C512"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"69.3"	"--"	"6.5"	"浙江农科院作物所"	"--"	"--"	"H0002201"	"--"	"--"	"10.5"	"--"	"--"	"--"	"--"	"5.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1108"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.9"	"220"	"中"	"--"	"--"	"--"	"--"	"--"	"42139"	"乳白"	"--"	"3.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"2.7"	"--"	"114.6"	"中厚"	"6.05"	"--"	"--"	"--"	"42139"	"中"	"--"	"--"	"C515"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"86.8"	"--"	"13.8"	"浙江农科院作物所"	"--"	"--"	"H0002202"	"--"	"--"	"31.4"	"--"	"--"	"--"	"--"	"9.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1109"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.4"	"218"	"中"	"--"	"--"	"--"	"--"	"--"	"4070"	"乳白"	"--"	"3.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.9"	"--"	"86.6"	"中厚"	"6.03"	"--"	"--"	"I2M02660"	"4070"	"均匀"	"--"	"--"	"C230"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"72.6"	"--"	"10.4"	"浙江农科院作物所"	"--"	"--"	"H0002203"	"--"	"--"	"23.2"	"--"	"--"	"--"	"--"	"8.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1110"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.4"	"220"	"中"	"--"	"--"	"--"	"--"	"--"	"41114"	"乳白"	"--"	"3.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"2.7"	"--"	"101.0"	"中厚"	"6.05"	"--"	"--"	"--"	"41114"	"均匀"	"--"	"--"	"C400"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"90.2"	"--"	"14.2"	"浙江农科院作物所"	"--"	"--"	"H0002204"	"--"	"--"	"34.5"	"--"	"--"	"--"	"--"	"9.8"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1111"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.7"	"220"	"大"	"--"	"--"	"--"	"--"	"--"	"41214"	"乳白"	"--"	"4.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.8"	"--"	"124.2"	"中厚"	"6.05"	"--"	"--"	"--"	"41214"	"不均"	"--"	"--"	"C423"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"87.0"	"--"	"14.3"	"浙江农科院作物所"	"--"	"--"	"H0002205"	"--"	"--"	"30.8"	"--"	"--"	"--"	"--"	"9.5"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1112"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.0"	"220"	"中"	"--"	"--"	"--"	"--"	"--"	"41220"	"乳白"	"--"	"4.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"2.3"	"--"	"115.8"	"阔薄"	"6.05"	"--"	"--"	"--"	"41220"	"不均"	"--"	"--"	"C429"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"86.4"	"--"	"13.8"	"浙江农科院作物所"	"--"	"--"	"H0002206"	"--"	"--"	"31.5"	"--"	"--"	"--"	"--"	"7.8"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1113"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.0"	"218"	"中"	"--"	"--"	"--"	"--"	"--"	"4094"	"乳白"	"--"	"4.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.8"	"--"	"88.6"	"中厚"	"6.03"	"--"	"--"	"--"	"4094"	"不均"	"--"	"--"	"C253"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"81.8"	"--"	"11.2"	"浙江农科院作物所"	"--"	"--"	"H0002207"	"--"	"--"	"19.5"	"--"	"--"	"--"	"--"	"6.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1114"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.8"	"217"	"小"	"--"	"--"	"--"	"--"	"--"	"4522"	"乳白"	"--"	"2.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.5"	"--"	"58.2"	"窄厚"	"6.02"	"--"	"--"	"--"	"4522"	"不均"	"--"	"--"	"C276"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"80.0"	"--"	"8.6"	"浙江农科院作物所"	"--"	"--"	"H0002208"	"--"	"--"	"7.6"	"--"	"--"	"--"	"--"	"7.3"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1115"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.6"	"213"	"小"	"--"	"--"	"--"	"--"	"--"	"4519"	"乳白"	"--"	"3.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.6"	"--"	"56.0"	"窄厚"	"5.29"	"--"	"--"	"--"	"4519"	"不均"	"--"	"--"	"C273"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"54.6"	"--"	"6.0"	"浙江农科院作物所"	"--"	"--"	"H0002209"	"--"	"--"	"8.7"	"--"	"--"	"--"	"--"	"10.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1116"	"--"	"--"	"--"	"--"	"国外"	"白"	"3.0"	"215"	"中"	"--"	"--"	"--"	"--"	"--"	"4545"	"乳白"	"--"	"4.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.9"	"--"	"84.0"	"中厚"	"5.31"	"--"	"--"	"--"	"4545"	"不均"	"--"	"--"	"C298"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"58.2"	"--"	"5.4"	"浙江农科院作物所"	"--"	"--"	"H0002210"	"--"	"--"	"14.2"	"--"	"--"	"--"	"--"	"13.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1117"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.5"	"212"	"小"	"--"	"--"	"--"	"--"	"--"	"4561"	"乳白"	"--"	"6.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.8"	"--"	"45.6"	"窄厚"	"5.28"	"--"	"--"	"--"	"4561"	"不均"	"--"	"--"	"C314"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"64.8"	"--"	"6.0"	"浙江农科院作物所"	"--"	"--"	"H0002211"	"--"	"--"	"7.2"	"--"	"--"	"--"	"--"	"11.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1118"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.8"	"213"	"中"	"--"	"--"	"--"	"--"	"--"	"4580"	"乳白"	"--"	"2.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.6"	"--"	"76.8"	"中厚"	"5.29"	"--"	"--"	"--"	"4580"	"均匀"	"--"	"--"	"C332"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"62.6"	"--"	"4.0"	"浙江农科院作物所"	"--"	"--"	"H0002212"	"--"	"--"	"8.5"	"--"	"--"	"--"	"--"	"12.4"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1119"	"--"	"--"	"--"	"--"	"国外"	"白"	"5.3"	"212"	"小"	"--"	"--"	"--"	"--"	"--"	"41102"	"乳白"	"--"	"3.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"2.0"	"--"	"63.8"	"窄厚"	"5.28"	"--"	"--"	"--"	"41102"	"不均"	"--"	"--"	"C388"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"57.4"	"--"	"3.4"	"浙江农科院作物所"	"--"	"--"	"H0002213"	"--"	"--"	"11.4"	"--"	"--"	"--"	"--"	"12.8"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1120"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.7"	"215"	"中"	"--"	"--"	"--"	"--"	"--"	"41216"	"乳白"	"--"	"3.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"2.4"	"--"	"85.0"	"中厚"	"5.31"	"--"	"--"	"--"	"41216"	"不均"	"--"	"--"	"C425"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"71.0"	"--"	"7.0"	"浙江农科院作物所"	"--"	"--"	"H0002214"	"--"	"--"	"18.5"	"--"	"--"	"--"	"--"	"8.3"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1121"	"--"	"--"	"--"	"--"	"国外"	"白"	"3.1"	"213"	"中"	"--"	"--"	"--"	"--"	"--"	"41302"	"乳白"	"--"	"3.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.9"	"--"	"96.5"	"中厚"	"5.29"	"--"	"--"	"--"	"41302"	"不均"	"--"	"--"	"C435"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"65.4"	"--"	"7.8"	"浙江农科院作物所"	"--"	"--"	"H0002215"	"--"	"--"	"23.9"	"--"	"--"	"--"	"--"	"11.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1122"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.3"	"216"	"中"	"--"	"--"	"--"	"--"	"--"	"4536"	"乳白"	"--"	"3.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"2.0"	"--"	"90.2"	"中厚"	"6.01"	"--"	"--"	"--"	"4536"	"中"	"--"	"--"	"C290"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"86.6"	"--"	"10.2"	"浙江农科院作物所"	"--"	"--"	"H0002216"	"--"	"--"	"20.1"	"--"	"--"	"--"	"--"	"9.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1123"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.7"	"213"	"小"	"--"	"--"	"--"	"--"	"--"	"4546"	"乳白"	"--"	"4.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.7"	"--"	"68.0"	"中薄"	"5.29"	"--"	"--"	"--"	"4546"	"不均"	"--"	"--"	"C299"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"69.3"	"--"	"8.3"	"浙江农科院作物所"	"--"	"--"	"H0002217"	"--"	"--"	"7.2"	"--"	"--"	"--"	"--"	"6.8"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1124"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.3"	"212"	"中"	"--"	"--"	"--"	"--"	"--"	"4559"	"乳白"	"--"	"3.6"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.7"	"--"	"74.2"	"窄厚"	"5.28"	"--"	"--"	"--"	"4559"	"不均"	"--"	"--"	"C312"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"74.6"	"--"	"8.5"	"浙江农科院作物所"	"--"	"--"	"H0002218"	"--"	"--"	"10.6"	"--"	"--"	"--"	"--"	"7.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1125"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.0"	"208"	"小"	"--"	"--"	"--"	"--"	"--"	"4568"	"乳白"	"--"	"3.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.6"	"--"	"32.0"	"窄厚"	"5.24"	"--"	"--"	"--"	"4568"	"不均"	"--"	"--"	"C321"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"58.0"	"--"	"3.2"	"浙江农科院作物所"	"--"	"--"	"H0002219"	"--"	"--"	"1.3"	"--"	"--"	"--"	"--"	"5.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1126"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.9"	"215"	"中"	"--"	"--"	"--"	"--"	"--"	"4572"	"乳白"	"--"	"3.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"2.1"	"--"	"115.4"	"中厚"	"5.31"	"--"	"--"	"--"	"4572"	"不均"	"--"	"--"	"C324"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"80.0"	"--"	"9.4"	"浙江农科院作物所"	"--"	"--"	"H0002220"	"--"	"--"	"15.8"	"--"	"--"	"--"	"--"	"7.3"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1127"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.4"	"216"	"小"	"--"	"--"	"--"	"--"	"--"	"4587"	"乳白"	"--"	"2.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"1.4"	"--"	"63.8"	"窄厚"	"6.01"	"--"	"--"	"I2M02024"	"4587"	"不均"	"--"	"--"	"C339"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"84.4"	"--"	"10.0"	"浙江农科院作物所"	"--"	"--"	"H0002221"	"--"	"--"	"14.8"	"--"	"--"	"--"	"--"	"6.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"1128"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.2"	"218"	"中"	"--"	"--"	"--"	"--"	"--"	"4592"	"乳白"	"--"	"3.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"2.0"	"--"	"79.0"	"中厚"	"6.03"	"--"	"--"	"--"	"4592"	"不均"	"--"	"--"	"C344"	"Vicia faba L.(蚕豆)"	"--"	"10.28"	"ICARDA"	"--"	"--"	"--"	"--"	"87.8"	"--"	"10.2"	"浙江农科院作物所"	"--"	"--"	"H0002222"	"--"	"--"	"18.3"	"--"	"--"	"--"	"--"	"7.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
