"id"	"成熟期"	"主花序长度"	"科名"	"花序色"	"保存编号"	"品种名称"	"原产地"	"叶色"	"千粒重"	"类别"	"省"	"粒色"	"来源地"	"花序性"	"样品类型"	"系谱"	"播种期"	"学名"	"统一编号"	"保存单位"	"其它"	"属名"	"茎色"	"株高"
"201"	"9.29"	"30.0"	"Amaranthaceae(苋科)"	"红"	"96"	"红苋菜"	"代县"	"红"	"0.34"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.01"	"Amaranthus tricolor L.(苋)"	"ZX000878"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"240.0"
"202"	"9.27"	"8.0"	"Amaranthaceae(苋科)"	"黄绿"	"GX166"	"红茎苋"	"乐业"	"绿"	"0.22"	"栽培"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"6.07"	"--"	"ZX000942"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"红绿"	"168.5"
"203"	"10.15"	"6.1"	"Amaranthaceae(苋科)"	"紫红"	"GX167"	"苋菜"	"乐业"	"绿"	"0.64"	"栽培"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"6.07"	"--"	"ZX000943"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"淡红"	"188.6"
"204"	"9.27"	"7.6"	"Amaranthaceae(苋科)"	"黄绿"	"GX168"	"白茎苋"	"乐业"	"绿"	"0.26"	"栽培"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"6.07"	"--"	"ZX000944"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"红绿"	"175.0"
"205"	"10.15"	"4.7"	"Amaranthaceae(苋科)"	"黄绿"	"GX169"	"红茎苋"	"隆林"	"绿"	"0.58"	"栽培"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"6.07"	"--"	"ZX000945"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"219.2"
"206"	"10.15"	"9.2"	"Amaranthaceae(苋科)"	"紫红"	"GX170"	"白子苋"	"隆林"	"红绿"	"0.68"	"栽培"	"广西"	"白"	"--"	"直立"	"地方"	"--"	"6.07"	"--"	"ZX000946"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"217.0"
"207"	"10.15"	"8.7"	"Amaranthaceae(苋科)"	"淡红"	"GX171"	"黑子苋"	"隆林"	"黄绿"	"0.61"	"栽培"	"广西"	"紫黑"	"--"	"直立"	"地方"	"--"	"6.07"	"--"	"ZX000947"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"淡红"	"202.4"
"208"	"10.15"	"8.5"	"Amaranthaceae(苋科)"	"紫红"	"GX172"	"黑子苋"	"隆林"	"绿"	"0.60"	"栽培"	"广西"	"紫黑"	"--"	"直立"	"地方"	"--"	"6.07"	"--"	"ZX000948"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"208.2"
"209"	"10.15"	"4.0"	"Amaranthaceae(苋科)"	"紫红"	"GX173"	"白米苋"	"隆林"	"红绿"	"0.61"	"栽培"	"广西"	"白"	"--"	"直立"	"地方"	"--"	"6.07"	"--"	"ZX000949"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"199.0"
"210"	"10.15"	"5.4"	"Amaranthaceae(苋科)"	"紫红"	"GX174"	"红米苋"	"隆林"	"淡紫"	"0.59"	"栽培"	"广西"	"紫黑"	"--"	"直立"	"地方"	"--"	"6.07"	"--"	"ZX000950"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"190.8"
"211"	"10.15"	"5.6"	"Amaranthaceae(苋科)"	"红绿"	"GX175"	"红米苋"	"隆林"	"绿"	"0.70"	"栽培"	"广西"	"黄褐"	"--"	"直立"	"地方"	"--"	"6.07"	"--"	"ZX000951"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"193.2"
"212"	"10.15"	"5.7"	"Amaranthaceae(苋科)"	"红绿"	"GX176"	"红米苋"	"隆林"	"绿"	"0.60"	"栽培"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"6.07"	"--"	"ZX000952"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"190.0"
"213"	"9.28"	"65.0"	"Amaranthaceae(苋科)"	"绿"	"47"	"昔阳谷"	"昔阳县"	"绿"	"0.36"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.14"	"Amaranthus tricofor L.(苋)"	"ZX000087"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"108.0"
"214"	"9.23"	"45.0"	"Amaranthaceae(苋科)"	"绿"	"48"	"寿阳玉谷"	"寿阳县"	"绿"	"0.29"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.20"	"Amaranthus tricofor L.(苋)"	"ZX000088"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"119.0"
"215"	"9.25"	"50.0"	"Amaranthaceae(苋科)"	"绿"	"49"	"寿阳绿穗谷"	"寿阳县"	"绿"	"0.40"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.23"	"Amaranthus tricofor L.(苋)"	"ZX000089"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"130.0"
"216"	"10.05"	"62.0"	"Amaranthaceae(苋科)"	"红"	"50"	"河曲穗谷"	"河曲县"	"绿"	"0.46"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.18"	"Amaranthus tricofor L.(苋)"	"ZX000090"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"200.0"
"217"	"10.07"	"65.0"	"Amaranthaceae(苋科)"	"红"	"51"	"红谷"	"河曲县"	"红"	"0.42"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.20"	"Amaranthus tricofor L.(苋)"	"ZX000091"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"210.0"
