"id"	"成熟期"	"主花序长度"	"科名"	"花序色"	"保存编号"	"品种名称"	"原产地"	"叶色"	"千粒重"	"类别"	"省"	"粒色"	"来源地"	"花序性"	"样品类型"	"系谱"	"播种期"	"学名"	"统一编号"	"保存单位"	"其它"	"属名"	"茎色"	"株高"
"313"	"9.24"	"55.0"	"Amaranthaceae(苋科)"	"绿"	"IV228"	"繁穗苋"	"巴东"	"绿"	"0.53"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000356"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"140.0"
"314"	"9.25"	"35.0"	"Amaranthaceae(苋科)"	"紫红"	"IV154"	"仙谷"	"建始"	"绿"	"0.50"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000357"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"紫绿"	"140.0"
"315"	"9.19"	"70.0"	"Amaranthaceae(苋科)"	"紫红"	"IV155"	"仙谷"	"建始"	"紫绿"	"0.47"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000358"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"紫绿"	"155.0"
"316"	"9.25"	"65.0"	"Amaranthaceae(苋科)"	"绿"	"IV156"	"仙谷"	"建始"	"绿"	"0.50"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000359"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"156.0"
"317"	"9.19"	"60.0"	"Amaranthaceae(苋科)"	"绿"	"IV158"	"黄仙谷"	"建始"	"绿"	"0.50"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000360"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"155.0"
"318"	"9.19"	"30.0"	"Amaranthaceae(苋科)"	"绿"	"IV159"	"黄仙谷"	"建始"	"绿"	"0.60"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000361"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"140.0"
"319"	"9.25"	"45.0"	"Amaranthaceae(苋科)"	"绿"	"IV160"	"仙谷"	"建始"	"绿"	"0.50"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000362"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"150.0"
"320"	"9.17"	"45.0"	"Amaranthaceae(苋科)"	"绿"	"IV163"	"仙谷"	"建始"	"绿"	"0.60"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000363"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"154.0"
"321"	"9.22"	"45.0"	"Amaranthaceae(苋科)"	"黄"	"IV165"	"仙谷"	"建始"	"绿"	"0.52"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000364"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"155.0"
"322"	"9.25"	"45.0"	"Amaranthaceae(苋科)"	"紫红"	"IV169"	"仙谷"	"建始"	"紫绿"	"0.48"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000365"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"紫绿"	"120.0"
"323"	"10.40"	"111.0"	"Amaranthaceae(苋科)"	"红"	"3018"	"红天星米"	"瓮安"	"红绿"	"0.50"	"栽培"	"贵州"	"黑"	"--"	"直立"	"地方"	"--"	"4.22"	"--"	"ZX000452"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"红"	"226.5"
"324"	"10.40"	"85.0"	"Amaranthaceae(苋科)"	"--"	"3019"	"紫灰色天星米"	"瓮安"	"绿"	"0.36"	"栽培"	"贵州"	"黄"	"--"	"直立"	"地方"	"--"	"4.22"	"--"	"ZX000453"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"绿"	"193.5"
"325"	"10.40"	"103.5"	"Amaranthaceae(苋科)"	"红"	"3023"	"天星米"	"仁怀"	"红"	"0.41"	"栽培"	"贵州"	"黑"	"--"	"直立"	"地方"	"--"	"4.22"	"--"	"ZX000454"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"红"	"175.0"
"326"	"10.40"	"104.5"	"Amaranthaceae(苋科)"	"红"	"3024"	"苋菜"	"金沙"	"红"	"0.49"	"栽培"	"贵州"	"黑"	"--"	"直立"	"地方"	"--"	"4.22"	"--"	"ZX000455"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"红"	"129.5"
"327"	"10.40"	"119.0"	"Amaranthaceae(苋科)"	"--"	"3026"	"天星米"	"水城"	"红"	"0.58"	"栽培"	"贵州"	"黑"	"--"	"直立"	"地方"	"--"	"4.22"	"--"	"ZX000456"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"红"	"219.5"
"328"	"10.40"	"--"	"Amaranthaceae(苋科)"	"--"	"3028"	"天星米"	"平塘"	"--"	"0.40"	"栽培"	"贵州"	"黑"	"--"	"直立"	"地方"	"--"	"4.22"	"--"	"ZX000457"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"--"	"219.5"
"329"	"10.40"	"45.5"	"Amaranthaceae(苋科)"	"黄绿"	"3041"	"天星米"	"都匀"	"--"	"0.51"	"栽培"	"贵州"	"黄"	"--"	"直立"	"地方"	"--"	"4.22"	"--"	"ZX000458"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"--"	"129.5"
"330"	"9.13"	"15.0"	"Amaranthaceae(苋科)"	"绿"	"GX011"	"刺苋"	"防城"	"绿"	"0.23"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"A.spinosus L.(刺苋)"	"3.13"	"Amaranthus spinosus L.(刺苋)"	"ZX000459"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"黄绿"	"117.0"
"331"	"9.13"	"8.4"	"Amaranthaceae(苋科)"	"黄绿"	"GX019"	"繁穗苋"	"防城"	"绿"	"0.22"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000460"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"黄绿"	"168.6"
"332"	"9.14"	"10.6"	"Amaranthaceae(苋科)"	"绿"	"GX042"	"繁穗苋"	"宁明"	"绿"	"0.20"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000461"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"160.0"
"333"	"9.14"	"9.4"	"Amaranthaceae(苋科)"	"绿"	"GX044"	"繁穗苋"	"龙州"	"绿"	"0.22"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000462"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"191.2"
"334"	"9.14"	"8.8"	"Amaranthaceae(苋科)"	"绿"	"GX045"	"繁穗苋"	"龙州"	"绿"	"0.23"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000463"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"179.6"
"335"	"9.14"	"10.4"	"Amaranthaceae(苋科)"	"绿"	"GX048"	"繁穗苋"	"龙州"	"绿"	"0.24"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000464"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"黄绿"	"160.8"
"336"	"9.14"	"8.6"	"Amaranthaceae(苋科)"	"绿"	"GX050"	"刺苋"	"龙州"	"绿"	"0.22"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000465"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"淡红"	"116.6"
"337"	"9.14"	"10.8"	"Amaranthaceae(苋科)"	"绿红"	"GX051"	"刺苋"	"龙州"	"绿"	"0.20"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000466"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"紫红"	"131.6"
"338"	"9.14"	"10.4"	"Amaranthaceae(苋科)"	"绿"	"GX052"	"繁穗苋"	"隆安"	"绿"	"0.25"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000467"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"202.6"
"339"	"9.14"	"8.8"	"Amaranthaceae(苋科)"	"绿"	"GX053"	"刺苋"	"隆安"	"绿"	"0.22"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000468"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"206.2"
"340"	"9.14"	"5.6"	"Amaranthaceae(苋科)"	"绿"	"GX054"	"繁穗苋"	"隆安"	"绿"	"0.24"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000469"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"193.4"
"341"	"9.14"	"8.8"	"Amaranthaceae(苋科)"	"绿"	"GX055"	"腋花苋"	"隆安"	"绿"	"0.22"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000470"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"181.2"
"342"	"9.14"	"17.4"	"Amaranthaceae(苋科)"	"绿"	"GX056"	"繁穗苋"	"隆安"	"绿"	"0.22"	"--"	"广西"	"黑"	"--"	"直立"	"地方"	"--"	"3.13"	"--"	"ZX000471"	"广西农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"165.4"
"343"	"9.05"	"41.0"	"Amaranthaceae(苋科)"	"绿"	"川粮364"	"青凹头苋"	"奉节县"	"绿"	"0.44"	"--"	"四川"	"黑"	"--"	"直立"	"地方"	"--"	"4.17"	"--"	"ZX000583"	"四川省农科院作物所"	"--"	"Amaranthus(苋属)"	"绿"	"54.8"
"344"	"8.22"	"45.4"	"Amaranthaceae(苋科)"	"绿"	"1"	"沙迪阿曲"	"美姑县"	"绿"	"0.72"	"--"	"四川"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.17"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000584"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"211.0"
"345"	"8.20"	"41.2"	"Amaranthaceae(苋科)"	"绿"	"2"	"九香苋"	"汉源县"	"绿"	"0.70"	"--"	"四川"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.17"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000585"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"204.0"
"346"	"8.20"	"39.2"	"Amaranthaceae(苋科)"	"绿"	"3"	"小苋米"	"会理县"	"绿"	"0.68"	"--"	"四川"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.17"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000586"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"201.0"
"347"	"8.24"	"45.6"	"Amaranthaceae(苋科)"	"紫"	"4"	"峨边油苋"	"峨边县"	"绿"	"0.72"	"--"	"四川"	"乳黄"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.17"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000587"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"140.6"
"348"	"8.24"	"26.6"	"Amaranthaceae(苋科)"	"绿"	"5"	"会埋油苋"	"会理县"	"绿"	"0.73"	"--"	"四川"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.17"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000588"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"176.0"
"349"	"8.19"	"34.1"	"Amaranthaceae(苋科)"	"红"	"6"	"南坪红苋"	"昭觉县"	"绿"	"0.71"	"--"	"四川"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.17"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000589"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"160.0"
"350"	"8.26"	"38.0"	"Amaranthaceae(苋科)"	"绿"	"7"	"柳洪白苋"	"美姑县"	"绿"	"0.76"	"--"	"四川"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.17"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000590"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"186.0"
"351"	"8.24"	"33.0"	"Amaranthaceae(苋科)"	"酱紫"	"8"	"通安白"	"会理县"	"绿"	"0.72"	"--"	"四川"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.17"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000591"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"189.0"
"352"	"9.05"	"37.4"	"Amaranthaceae(苋科)"	"绿"	"9"	"大穗白"	"峨边县"	"绿"	"0.71"	"--"	"四川"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.23"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000592"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"179.0"
"353"	"8.22"	"69.6"	"Amaranthaceae(苋科)"	"绿"	"10"	"87-5-6"	"美姑县"	"绿"	"0.77"	"--"	"四川"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.17"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000593"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"182.0"
"354"	"8.20"	"33.0"	"Amaranthaceae(苋科)"	"红"	"11"	"86-2-2"	"美姑县"	"绿"	"0.70"	"--"	"四川"	"黄"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.17"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000594"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"118.0"
"355"	"9.03"	"34.0"	"Amaranthaceae(苋科)"	"绿"	"12"	"竹库紫苋"	"美姑县"	"绿"	"0.71"	"--"	"四川"	"紫"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.23"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000595"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"148.0"
"356"	"8.29"	"37.0"	"Amaranthaceae(苋科)"	"红"	"13"	"空茎赤苋"	"越西县"	"红"	"0.50"	"--"	"四川"	"黑"	"--"	"下垂"	"地方"	"--"	"4.23"	"--"	"ZX000596"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"红"	"113.0"
"357"	"9.01"	"57.0"	"Amaranthaceae(苋科)"	"红"	"14"	"串球苋"	"美姑县"	"绿"	"0.65"	"--"	"四川"	"红"	"--"	"下垂"	"地方"	"A.tricolor L.(苋)"	"4.23"	"Amaranthus tricofor L.(苋)"	"ZX000597"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"152.0"
"358"	"9.03"	"38.0"	"Amaranthaceae(苋科)"	"红"	"15"	"雷波白苋"	"富波县"	"绿"	"0.72"	"--"	"四川"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.23"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000598"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"163.0"
"359"	"8.25"	"32.0"	"Amaranthaceae(苋科)"	"绿"	"16"	"汉源油苋"	"汉源县"	"绿"	"0.70"	"--"	"四川"	"淡黄"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.17"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000599"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"189.0"
"360"	"8.28"	"36.0"	"Amaranthaceae(苋科)"	"黄"	"17"	"会埋粉叶苋"	"会理县"	"粉红"	"0.69"	"--"	"四川"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.23"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000600"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"181.0"
"361"	"9.06"	"55.0"	"Amaranthaceae(苋科)"	"红"	"18"	"矮秆红苋"	"美姑县"	"红"	"0.77"	"--"	"四川"	"黑"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"4.25"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000601"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"条红"	"108.0"
"362"	"8.28"	"42.0"	"Amaranthaceae(苋科)"	"绿"	"19"	"坨坨矮"	"华坪县"	"绿"	"0.80"	"--"	"云南"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.14"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000602"	"四川省美菇县农业局"	"--"	"Amaranthus(苋属)"	"绿"	"162.0"
"363"	"9.29"	"76.0"	"Amaranthaceae(苋科)"	"红"	"3034"	"天星米"	"贵定"	"偏红"	"0.53"	"--"	"贵州"	"黑"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000640"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"红绿"	"183.5"
"364"	"9.27"	"78.0"	"Amaranthaceae(苋科)"	"红"	"3035"	"天星米"	"贵定"	"偏红"	"0.42"	"--"	"贵州"	"黑"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000641"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"红绿"	"160.0"
"365"	"9.29"	"89.5"	"Amaranthaceae(苋科)"	"--"	"3036"	"天星米"	"贵定"	"偏红"	"0.50"	"--"	"贵州"	"黄"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000642"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"红绿"	"176.5"
"366"	"9.29"	"57.5"	"Amaranthaceae(苋科)"	"红"	"3037"	"天星米"	"都匀"	"绿"	"0.41"	"--"	"贵州"	"黄"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000643"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"绿"	"140.5"
"367"	"10.01"	"75.0"	"Amaranthaceae(苋科)"	"红"	"3038"	"天星米"	"都匀"	"绿"	"0.48"	"--"	"贵州"	"褐"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000644"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"绿"	"159.0"
"368"	"10.01"	"84.0"	"Amaranthaceae(苋科)"	"红"	"3039"	"天星米"	"都匀"	"绿"	"0.38"	"--"	"贵州"	"红"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000645"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"绿"	"247.5"
"369"	"9.27"	"45.5"	"Amaranthaceae(苋科)"	"黄绿"	"3041"	"天星米"	"都匀"	"--"	"0.51"	"--"	"贵州"	"黄"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000646"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"--"	"129.5"
"370"	"10.05"	"101.0"	"Amaranthaceae(苋科)"	"红"	"3042"	"天星米"	"印江"	"红"	"0.45"	"--"	"贵州"	"黄"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000647"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"红绿"	"147.0"
"371"	"10.04"	"107.0"	"Amaranthaceae(苋科)"	"绿"	"3043"	"仙米"	"德江"	"绿"	"0.55"	"--"	"贵州"	"黑"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000648"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"绿"	"156.0"
"372"	"10.08"	"43.5"	"Amaranthaceae(苋科)"	"绿"	"3044"	"仙米"	"德江"	"绿"	"0.41"	"--"	"贵州"	"黄"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000649"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"绿"	"134.0"
"373"	"10.08"	"72.5"	"Amaranthaceae(苋科)"	"红"	"3046"	"天星米"	"德江"	"绿"	"0.38"	"--"	"贵州"	"红"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000650"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"绿"	"166.0"
"374"	"10.08"	"63.5"	"Amaranthaceae(苋科)"	"红"	"3047"	"天星米"	"德江"	"红"	"0.36"	"--"	"贵州"	"黑"	"--"	"--"	"地方"	"--"	"4.27"	"--"	"ZX000651"	"贵州省农科院旱粮所"	"--"	"Amaranthus(苋属)"	"红"	"130.0"
"375"	"10.04"	"78.0"	"Amaranthaceae(苋科)"	"红"	"T02"	"小红米"	"双江县"	"黑绿"	"0.83"	"--"	"云南"	"红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"6.02"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000652"	"云南省农科院品资站"	"--"	"Amaranthus(苋属)"	"绿"	"127.0"
"376"	"10.18"	"67.0"	"Amaranthaceae(苋科)"	"绿"	"T03"	"马尾粟米"	"双江县"	"绿"	"0.73"	"--"	"云南"	"棕"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"6.02"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000653"	"云南省农科院品资站"	"--"	"Amaranthus(苋属)"	"绿"	"222.0"
"377"	"9.30"	"65.0"	"Amaranthaceae(苋科)"	"紫"	"T04"	"直立糯粟米"	"双江县"	"绿紫"	"0.90"	"--"	"云南"	"棕"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"6.02"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000654"	"云南省农科院品资站"	"--"	"Amaranthus(苋属)"	"绿"	"134.0"
"378"	"10.04"	"67.0"	"Amaranthaceae(苋科)"	"绿"	"T05"	"粟米"	"双江县"	"绿"	"0.90"	"--"	"云南"	"棕"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"6.02"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000655"	"云南省农科院品资站"	"--"	"Amaranthus(苋属)"	"绿"	"155.0"
"379"	"10.06"	"50.0"	"Amaranthaceae(苋科)"	"棕"	"T06"	"硬粟米"	"双江县"	"绿"	"0.90"	"--"	"云南"	"棕"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"6.02"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000656"	"云南省农科院品资站"	"--"	"Amaranthus(苋属)"	"绿"	"126.0"
"380"	"10.04"	"81.0"	"Amaranthaceae(苋科)"	"紫"	"T07"	"小米"	"双江县"	"黑绿"	"0.90"	"--"	"云南"	"黑"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"6.02"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000657"	"云南省农科院品资站"	"--"	"Amaranthus(苋属)"	"绿"	"167.0"
"381"	"10.18"	"64.0"	"Amaranthaceae(苋科)"	"绿"	"T09"	"天粟米"	"福贡县"	"紫绿"	"0.80"	"--"	"云南"	"棕"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.21"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000658"	"云南省农科院品资站"	"--"	"Amaranthus(苋属)"	"绿"	"232.0"
"382"	"10.04"	"59.0"	"Amaranthaceae(苋科)"	"紫"	"T10"	"红穗仙米"	"福贡县"	"紫绿"	"0.93"	"--"	"云南"	"黑棕"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"6.02"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000659"	"云南省农科院品资站"	"--"	"Amaranthus(苋属)"	"绿"	"141.0"
"383"	"9.08"	"75.0"	"Amaranthaceae(苋科)"	"桃红"	"214"	"赤苋35号"	"赤峰"	"红绿"	"0.61"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"94155 D88-1×K112"	"5.01"	"--"	"ZX000848"	"内蒙古赤峰市农科所"	"D88-1×K112"	"Amaranthus(苋属)"	"紫红"	"143.0"
"384"	"9.25"	"67.0"	"Amaranthaceae(苋科)"	"粉绿"	"215"	"赤苋36号"	"赤峰"	"绿"	"0.61"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"94450 R104×K112"	"5.01"	"--"	"ZX000849"	"内蒙古赤峰市农科所"	"R104×K112"	"Amaranthus(苋属)"	"紫红"	"238.0"
"385"	"9.03"	"63.0"	"Amaranthaceae(苋科)"	"鲜红"	"216"	"赤苋37号"	"赤峰"	"绿"	"0.60"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"94215 R104×K112"	"5.01"	"--"	"ZX000850"	"内蒙古赤峰市农科所"	"R104×K112"	"Amaranthus(苋属)"	"--"	"175.0"
"386"	"9.30"	"82.0"	"Amaranthaceae(苋科)"	"桃红"	"217"	"赤苋38号"	"赤峰"	"浓绿"	"0.54"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"94670-72 菜IV056"	"5.01"	"--"	"ZX000851"	"内蒙古赤峰市农科所"	"菜IV056"	"Amaranthus(苋属)"	"绿"	"270.0"
"387"	"9.13"	"75.0"	"Amaranthaceae(苋科)"	"粉红"	"218"	"赤苋39号"	"赤峰"	"绿"	"0.75"	"选育"	"内蒙"	"棕黑"	"--"	"直立"	"选育"	"94212-13 R.K×绿穗苋"	"5.01"	"--"	"ZX000852"	"内蒙古赤峰市农科所"	"R.K×绿野"	"Amaranthus(苋属)"	"绿"	"170.0"
"388"	"9.25"	"89.0"	"Amaranthaceae(苋科)"	"桃红"	"219"	"赤苋40号"	"赤峰"	"绿"	"0.65"	"选育"	"内蒙"	"黄棕"	"--"	"直立"	"选育"	"94189 R.K×绿穗苋"	"5.01"	"--"	"ZX000853"	"内蒙古赤峰市农科所"	"R.K×绿野"	"Amaranthus(苋属)"	"绿"	"205.0"
