"id"	"青熟果色"	"品种名称"	"省"	"保存编号"	"抗逆性"	"备注"	"亩产"	"种子来源"	"译名"	"首花节位"	"生育期"	"株高"	"保存单位"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种子多少"	"单果重"	"青果肉质"	"抗病虫性"	"株幅"	"果形"
"48"	"绿"	"宁晋绿圆茄"	"河北"	"茄10号"	"中"	"--"	"950"	"河北宁晋县"	"NING JIN LU YUAN QIE"	"9"	"63"	"105.0"	"河北农科院蔬菜所"	"Ⅱ6B0911"	"V06B0157"	"1上-7下"	"中"	"中"	"370.0"	"致密"	"中"	"70.0"	"扁圆形"
"49"	"紫红"	"红圆茄"	"河北"	"茄11号"	"中"	"--"	"950"	"河北宁晋县"	"HONG YUAN QIE"	"9"	"63"	"120.0"	"河北农科院蔬菜所"	"Ⅱ6B0912"	"V06B0158"	"1上-7下"	"中"	"中"	"490.0"	"中"	"不抗黄萎病"	"91.0"	"圆球形"
"50"	"其它"	"修武人头茄"	"河南"	"5B0022"	"--"	"--"	"500"	"河南修武县"	"XIU WU REN TOU QIE"	"10"	"110"	"111.8"	"河南农科院园艺所"	"Ⅱ6B0155"	"V06B0222"	"4中-8上"	"晚"	"--"	"490.0"	"--"	"重感"	"--"	"卵形"
"51"	"紫"	"许昌紫茄"	"河南"	"5B0066"	"--"	"--"	"626"	"河南许昌市"	"XU CHANG ZI QIE"	"8"	"120"	"92.0"	"河南农科院园艺所"	"Ⅱ6B0177"	"V06B0223"	"6下-10下"	"中"	"--"	"240.0"	"--"	"中"	"--"	"卵形"
"52"	"绿"	"许昌青茄"	"河南"	"5B0065"	"--"	"--"	"876"	"河南许昌市"	"XU CHANG QING QIE"	"8"	"110"	"92.6"	"河南农科院园艺所"	"Ⅱ6B0176"	"V06B0224"	"4中-8上"	"早"	"--"	"350.0"	"--"	"中"	"--"	"卵形"
"53"	"绿"	"原阳青茄"	"河南"	"5B0027"	"--"	"--"	"1250"	"河南原阳县"	"YUAN YANG QING QIE"	"8"	"110"	"116.2"	"河南农科院园艺所"	"Ⅱ6B0160"	"V06B0225"	"5上-8下"	"早"	"--"	"385.0"	"--"	"中"	"--"	"长卵形"
"54"	"紫红"	"郑州灯泡红"	"河南"	"5B0042"	"--"	"--"	"1126"	"河南郑州市"	"ZHENG ZHOU DENG PAO HONG"	"8"	"90"	"94.2"	"河南农科院园艺所"	"Ⅱ6B0162"	"V06B0226"	"4下-7下"	"早"	"--"	"265.0"	"--"	"中"	"--"	"扁圆形"
"55"	"黑紫"	"龙江6号"	"黑龙江"	"18-88"	"强"	"*"	"1500"	"黑龙江"	"LONG JIANG 6 HAO"	"10"	"43"	"78.8"	"黑龙江省园艺所"	"Ⅱ6B0967"	"V06B0236"	"3中-6上-7中"	"中"	"少"	"180.0"	"松"	"抗"	"70.0"	"羊角形"
"56"	"紫红"	"克山茄"	"黑龙江"	"18-12"	"中"	"*"	"750"	"黑龙江克山县"	"KE SHAN QIE"	"8"	"41"	"58.0"	"黑龙江省园艺所"	"Ⅱ6B0256"	"V06B0258"	"3中-7上"	"早"	"中"	"104.0"	"松"	"中"	"43.0"	"长卵形"
"57"	"黑紫"	"密林一号"	"黑龙江"	"18-21"	"中"	"*"	"1000"	"黑龙江林口县"	"MI LIN YI HAO"	"8"	"51"	"63.0"	"黑龙江省园艺所"	"Ⅱ6B0254"	"V06B0259"	"3中-7中"	"中"	"中"	"94.5"	"松"	"中"	"40.8"	"圆筒形"
