"id"	"含油量"	"蛋氨酸"	"科名"	"品种名称"	"谷氨酸"	"种子来源"	"棕榈酸"	"精氨酸"	"丙氨酸"	"单株生产率"	"酪氨酸"	"抗根结线虫"	"单位编号"	"类型"	"硬脂酸"	"组氨酸"	"属名"	"保存单位"	"山芋酸"	"亚油酸"	"苏氨酸"	"统一编号"	"抗叶黑斑"	"学名"	"选育方法"	"苯丙氨酸"	"胱氨酸"	"蛋白质含量"	"天冬氨酸"	"油酸"	"亮氨酸"	"库编号"	"株型"	"生育期"	"花生酸"	"省"	"百果重"	"抗青枯"	"甘氨酸"	"缬氨酸"	"色氨酸"	"抗叶褐斑"	"脯氨酸"	"百仁重"	"分枝型"	"抗旱"	"赖氨酸"	"出仁率"	"抗涝"	"丝氨酸"	"开花习性"	"译名"	"花生烯酸"	"病毒病"	"抗锈病"	"异亮氨酸"	"主茎高"
"2106"	"48.17"	"--"	"Leguminosae(豆科)"	"ICG6703"	"--"	"国际半干旱所"	"11.52"	"--"	"--"	"9.8"	"--"	"HS"	"WA059"	"多粒型"	"3.72"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"2.03"	"35.35"	"--"	"W.h03225"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"31.58"	"--"	"42.38"	"--"	"I4A02043"	"直立"	"158"	"3.79"	"国外"	"78.9"	"HS"	"--"	"--"	"--"	"MR"	"--"	"36.4"	"疏枝"	"--"	"--"	"70.85"	"--"	"--"	"连续"	"ICG6703"	"1.21"	"--"	"S"	"--"	"70.60"
"2107"	"51.82"	"--"	"Leguminosae(豆科)"	"BoLivia-4 U-S608"	"--"	"阿根廷"	"10.00"	"--"	"--"	"17.3"	"--"	"HS"	"WA060"	"多粒型"	"2.05"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.55"	"42.24"	"--"	"W.h03226"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"29.24"	"--"	"38.64"	"--"	"I4A02044"	"直立"	"158"	"3.20"	"国外"	"204.0"	"HS"	"--"	"--"	"--"	"MR"	"--"	"46.7"	"疏枝"	"--"	"--"	"67.15"	"--"	"--"	"连续"	"BoLivia-4 U-S608"	"2.35"	"--"	"MR"	"--"	"96.85"
"2108"	"47.72"	"--"	"Leguminosae(豆科)"	"BoLivia-2 U-S607-1"	"--"	"阿根廷"	"9.81"	"--"	"--"	"6.1"	"--"	"HS"	"WA061"	"多粒型"	"1.65"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.85"	"43.99"	"--"	"W.h03227"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"32.72"	"--"	"37.26"	"--"	"I4A04010"	"直立"	"165"	"3.54"	"国外"	"140.3"	"HS"	"--"	"--"	"--"	"MR"	"--"	"41.3"	"疏枝"	"--"	"--"	"70.10"	"--"	"--"	"连续"	"BoLivia-2 U-S607-1"	"1.90"	"--"	"S"	"--"	"103.20"
"2109"	"49.91"	"--"	"Leguminosae(豆科)"	"BoLivia-3 U-S607"	"--"	"阿根廷"	"10.21"	"--"	"--"	"28.3"	"--"	"HS"	"WA062"	"多粒型"	"2.27"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.16"	"42.49"	"--"	"W.h03228"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"30.21"	"--"	"39.10"	"--"	"I4A02045"	"直立"	"165"	"3.10"	"国外"	"170.3"	"HS"	"--"	"--"	"--"	"MR"	"--"	"43.3"	"疏枝"	"--"	"--"	"64.70"	"--"	"--"	"连续"	"BoLivia-3 U-S607"	"1.69"	"--"	"MR"	"--"	"103.10"
"2110"	"49.79"	"--"	"Leguminosae(豆科)"	"BoLivia U-S605"	"--"	"阿根廷"	"10.07"	"--"	"--"	"10.3"	"--"	"HS"	"WA063"	"多粒型"	"2.44"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.61"	"42.84"	"--"	"W.h03229"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"34.66"	"--"	"37.83"	"--"	"I4A03564"	"直立"	"165"	"3.62"	"国外"	"184.9"	"HS"	"--"	"--"	"--"	"MR"	"--"	"50.8"	"疏枝"	"--"	"--"	"63.70"	"--"	"--"	"连续"	"BoLivia U-S605"	"1.49"	"--"	"S"	"--"	"99.80"
"2111"	"46.13"	"--"	"Leguminosae(豆科)"	"Gerohet Jumbo"	"--"	"美国"	"10.97"	"--"	"--"	"14.0"	"--"	"HS"	"WA064"	"多粒型"	"2.61"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.67"	"38.85"	"--"	"W.h03230"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"32.49"	"--"	"41.20"	"--"	"I4A02046"	"直立"	"155"	"3.26"	"国外"	"94.5"	"MR"	"--"	"--"	"--"	"MR"	"--"	"36.8"	"疏枝"	"--"	"--"	"72.15"	"--"	"--"	"连续"	"Gerohet Jumbo"	"1.43"	"--"	"S"	"--"	"80.80"
"2112"	"48.77"	"--"	"Leguminosae(豆科)"	"316-18"	"--"	"美国"	"12.07"	"--"	"--"	"17.6"	"--"	"HS"	"WA065"	"多粒型"	"3.23"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.41"	"37.71"	"--"	"W.h03231"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"32.43"	"--"	"41.24"	"--"	"I4A02047"	"直立"	"155"	"3.07"	"国外"	"122.5"	"HS"	"--"	"--"	"--"	"MR"	"--"	"57.0"	"疏枝"	"--"	"--"	"72.45"	"--"	"--"	"连续"	"316-18"	"1.28"	"--"	"S"	"--"	"67.05"
"2113"	"49.51"	"--"	"Leguminosae(豆科)"	"Tifrust-10"	"--"	"美国"	"12.43"	"--"	"--"	"13.1"	"--"	"HS"	"WA066"	"多粒型"	"1.55"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.69"	"41.19"	"--"	"W.h03232"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"30.21"	"--"	"38.45"	"--"	"I4A03563"	"直立"	"165"	"2.72"	"国外"	"147.3"	"MS"	"--"	"--"	"--"	"MR"	"--"	"40.0"	"疏枝"	"--"	"--"	"59.80"	"--"	"--"	"连续"	"Tifrust-10"	"1.96"	"--"	"S"	"--"	"97.00"
"2114"	"51.91"	"--"	"Leguminosae(豆科)"	"PEru-14 US461"	"--"	"阿根廷"	"12.68"	"--"	"--"	"16.8"	"--"	"HS"	"WA067"	"多粒型"	"1.98"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.30"	"38.34"	"--"	"W.h03233"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"28.84"	"--"	"42.03"	"--"	"I4A02048"	"直立"	"160"	"2.23"	"国外"	"229.3"	"HS"	"--"	"--"	"--"	"MR"	"--"	"68.6"	"疏枝"	"--"	"--"	"68.00"	"--"	"--"	"连续"	"PEru-14 US461"	"1.44"	"--"	"MR"	"--"	"72.35"
"2115"	"48.45"	"--"	"Leguminosae(豆科)"	"PEru-15"	"--"	"阿根廷"	"10.71"	"--"	"--"	"14.4"	"--"	"HS"	"WA068"	"多粒型"	"4.35"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.38"	"39.40"	"--"	"W.h03234"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"29.35"	"--"	"39.54"	"--"	"I4A02049"	"直立"	"160"	"3.25"	"国外"	"192.3"	"HS"	"--"	"--"	"--"	"MR"	"--"	"79.7"	"疏枝"	"--"	"--"	"66.95"	"--"	"--"	"连续"	"PEru-15"	"1.36"	"--"	"S"	"--"	"72.80"
"2116"	"51.15"	"--"	"Leguminosae(豆科)"	"PEru-11 us507"	"--"	"阿根廷"	"10.43"	"--"	"--"	"13.2"	"--"	"--"	"WA069"	"多粒型"	"2.73"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.47"	"39.88"	"--"	"W.h03235"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"29.98"	"--"	"40.83"	"--"	"I4A02050"	"直立"	"160"	"3.07"	"国外"	"200.0"	"HS"	"--"	"--"	"--"	"MR"	"--"	"52.8"	"疏枝"	"--"	"--"	"67.15"	"--"	"--"	"连续"	"PEru-11 us507"	"1.60"	"--"	"MR"	"--"	"99.85"
"2117"	"53.61"	"--"	"Leguminosae(豆科)"	"PI7897"	"--"	"美国"	"13.12"	"--"	"--"	"12.6"	"--"	"HS"	"WA070"	"多粒型"	"2.40"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.49"	"40.73"	"--"	"W.h03236"	"HR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"22.80"	"--"	"37.05"	"--"	"I4A02052"	"直立"	"160"	"3.28"	"国外"	"148.8"	"HS"	"--"	"--"	"--"	"MR"	"--"	"44.2"	"疏枝"	"--"	"--"	"66.50"	"--"	"--"	"连续"	"PI7897"	"1.93"	"--"	"MR"	"--"	"83.05"
"2118"	"53.45"	"--"	"Leguminosae(豆科)"	"FESR-2"	"--"	"美国"	"8.93"	"--"	"--"	"15.3"	"--"	"HS"	"WA071"	"多粒型"	"2.39"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.88"	"25.91"	"--"	"W.h03237"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"28.66"	"--"	"58.81"	"--"	"I4A02089"	"直立"	"158"	"1.27"	"国外"	"159.5"	"HS"	"--"	"--"	"--"	"MR"	"--"	"61.0"	"疏枝"	"--"	"--"	"66.35"	"--"	"--"	"连续"	"FESR-2"	"0.80"	"--"	"HR"	"--"	"55.55"
"2119"	"49.95"	"--"	"Leguminosae(豆科)"	"PEru-9 us 518"	"--"	"阿根廷"	"10.90"	"--"	"--"	"20.6"	"--"	"HS"	"WA072"	"多粒型"	"2.60"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.39"	"39.99"	"--"	"W.h03238"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"29.98"	"--"	"40.92"	"--"	"I4A02051"	"直立"	"158"	"2.83"	"国外"	"206.5"	"--"	"--"	"--"	"--"	"HR"	"--"	"52.0"	"疏枝"	"--"	"--"	"68.25"	"--"	"--"	"连续"	"PEru-9 us 518"	"1.37"	"--"	"MR"	"--"	"90.30"
"2120"	"50.00"	"--"	"Leguminosae(豆科)"	"PEru-8 US 423"	"--"	"阿根廷"	"10.87"	"--"	"--"	"7.6"	"--"	"HS"	"WA073"	"多粒型"	"3.35"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.27"	"37.43"	"--"	"W.h03239"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"29.75"	"--"	"43.49"	"--"	"--"	"直立"	"158"	"2.36"	"国外"	"124.0"	"HS"	"--"	"--"	"--"	"MR"	"--"	"44.0"	"疏枝"	"--"	"--"	"63.30"	"--"	"--"	"连续"	"PEru-8 US 423"	"1.24"	"--"	"S"	"--"	"69.60"
"2121"	"47.31"	"--"	"Leguminosae(豆科)"	"PEru-7 US 485"	"--"	"阿根廷"	"11.64"	"--"	"--"	"9.9"	"--"	"HS"	"WA074"	"多粒型"	"2.85"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.22"	"36.26"	"--"	"W.h03240"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"30.78"	"--"	"44.44"	"--"	"I4A03562"	"直立"	"158"	"2.54"	"国外"	"188.2"	"HS"	"--"	"--"	"--"	"MR"	"--"	"57.0"	"疏枝"	"--"	"--"	"75.50"	"--"	"--"	"连续"	"PEru-7 US 485"	"1.07"	"--"	"HR"	"--"	"71.50"
"2122"	"49.30"	"--"	"Leguminosae(豆科)"	"PEru-6 PI393517"	"--"	"阿根廷"	"12.43"	"--"	"--"	"10.7"	"--"	"HS"	"WA075"	"多粒型"	"1.95"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.59"	"36.49"	"--"	"W.h03241"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"28.04"	"--"	"42.23"	"--"	"I4A03152"	"直立"	"158"	"3.37"	"国外"	"114.6"	"HS"	"--"	"--"	"--"	"MR"	"--"	"34.6"	"疏枝"	"--"	"--"	"68.10"	"--"	"--"	"连续"	"PEru-6 PI393517"	"1.94"	"--"	"MR"	"--"	"59.70"
"2123"	"50.97"	"--"	"Leguminosae(豆科)"	"PEru-5 US 482"	"--"	"阿根廷"	"11.92"	"--"	"--"	"8.9"	"--"	"HS"	"WA076"	"多粒型"	"1.93"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.50"	"36.41"	"--"	"W.h03242"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"26.10"	"--"	"43.46"	"--"	"I4A03566"	"直立"	"158"	"2.88"	"国外"	"136.8"	"HS"	"--"	"--"	"--"	"MR"	"--"	"39.8"	"疏枝"	"--"	"--"	"64.60"	"--"	"--"	"连续"	"PEru-5 US 482"	"1.90"	"--"	"MR"	"--"	"68.70"
"2124"	"48.51"	"--"	"Leguminosae(豆科)"	"PEru-4 PI393531"	"--"	"阿根廷"	"12.44"	"--"	"--"	"11.3"	"--"	"HS"	"WA077"	"多粒型"	"1.41"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.43"	"40.37"	"--"	"W.h03243"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"26.64"	"--"	"39.10"	"--"	"I4A03565"	"直立"	"158"	"3.17"	"国外"	"134.8"	"MR"	"--"	"--"	"--"	"MR"	"--"	"40.0"	"疏枝"	"--"	"--"	"62.50"	"--"	"--"	"连续"	"PEru-4 PI393531"	"2.08"	"--"	"MR"	"--"	"86.70"
"2125"	"49.54"	"--"	"Leguminosae(豆科)"	"BoLivia-9 US 98"	"--"	"阿根廷"	"10.84"	"--"	"--"	"6.7"	"--"	"HS"	"WA078"	"多粒型"	"2.70"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"4.31"	"37.77"	"--"	"W.h03244"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"31.18"	"--"	"39.99"	"--"	"I4A04026"	"直立"	"158"	"2.20"	"国外"	"154.0"	"HS"	"--"	"--"	"--"	"MR"	"--"	"62.2"	"疏枝"	"--"	"--"	"69.10"	"--"	"--"	"连续"	"BoLivia-9 US 98"	"2.19"	"--"	"S"	"--"	"82.50"
"2126"	"51.68"	"--"	"Leguminosae(豆科)"	"BoLivia-6 US201"	"--"	"阿根廷"	"10.77"	"--"	"--"	"11.7"	"--"	"HS"	"WA079"	"多粒型"	"2.34"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.69"	"41.82"	"--"	"W.h03245"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"26.90"	"--"	"38.09"	"--"	"I4A02053"	"直立"	"155"	"3.62"	"国外"	"183.8"	"HS"	"--"	"--"	"--"	"MR"	"--"	"46.3"	"疏枝"	"--"	"--"	"68.70"	"--"	"--"	"连续"	"BoLivia-6 US201"	"1.67"	"--"	"S"	"--"	"101.50"
"2127"	"51.30"	"--"	"Leguminosae(豆科)"	"BoLivia-5 US 377"	"--"	"美国"	"10.50"	"--"	"--"	"15.4"	"--"	"HS"	"WA080"	"多粒型"	"3.16"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"2.88"	"39.46"	"--"	"W.h03246"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"30.32"	"--"	"41.08"	"--"	"I4A03153"	"直立"	"158"	"1.80"	"国外"	"193.5"	"HS"	"--"	"--"	"--"	"MR"	"--"	"52.5"	"疏枝"	"--"	"--"	"69.50"	"--"	"--"	"连续"	"BoLivia-5 US 377"	"1.13"	"--"	"S"	"--"	"89.70"
"2128"	"50.25"	"--"	"Leguminosae(豆科)"	"Tifust-6"	"--"	"美国"	"13.06"	"--"	"--"	"20.0"	"--"	"HS"	"WA081"	"多粒型"	"1.67"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.58"	"39.27"	"--"	"W.h03247"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"27.24"	"--"	"39.64"	"--"	"I4A02054"	"直立"	"165"	"2.94"	"国外"	"149.6"	"HS"	"--"	"--"	"--"	"MR"	"--"	"42.5"	"疏枝"	"--"	"--"	"70.70"	"--"	"--"	"连续"	"Tifust-6"	"1.86"	"--"	"MR"	"--"	"52.70"
"2129"	"49.20"	"--"	"Leguminosae(豆科)"	"Tifrust-4"	"--"	"美国"	"12.80"	"--"	"--"	"17.5"	"--"	"HS"	"WA082"	"多粒型"	"1.90"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.35"	"40.23"	"--"	"W.h03248"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"26.79"	"--"	"40.57"	"--"	"I4A03567"	"直立"	"158"	"1.93"	"国外"	"171.9"	"HS"	"--"	"--"	"--"	"MR"	"--"	"45.7"	"疏枝"	"--"	"--"	"71.00"	"--"	"--"	"连续"	"Tifrust-4"	"1.20"	"--"	"MR"	"--"	"69.90"
"2130"	"49.54"	"--"	"Leguminosae(豆科)"	"Tifrust-2"	"--"	"美国"	"12.58"	"--"	"--"	"8.5"	"--"	"HS"	"WA083"	"多粒型"	"1.71"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.51"	"38.46"	"--"	"W.h03249"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"26.50"	"--"	"41.81"	"--"	"I4A03568"	"直立"	"158"	"2.30"	"国外"	"121.2"	"HS"	"--"	"--"	"--"	"MR"	"--"	"36.0"	"疏枝"	"--"	"--"	"69.50"	"--"	"--"	"连续"	"Tifrust-2"	"1.61"	"--"	"MR"	"--"	"74.30"
"2131"	"47.69"	"--"	"Leguminosae(豆科)"	"Paropoto-1"	"--"	"美国"	"10.58"	"--"	"--"	"7.0"	"--"	"HS"	"WA084"	"多粒型"	"2.58"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.65"	"41.47"	"--"	"W.h03250"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"31.06"	"--"	"38.51"	"--"	"I4A03569"	"直立"	"158"	"3.45"	"国外"	"147.2"	"HS"	"--"	"--"	"--"	"MR"	"--"	"44.2"	"疏枝"	"--"	"--"	"72.20"	"--"	"--"	"连续"	"塔拉波特-1"	"1.77"	"--"	"HS"	"--"	"90.80"
"2132"	"47.38"	"--"	"Leguminosae(豆科)"	"Paropoto-2"	"--"	"美国"	"13.54"	"--"	"--"	"18.2"	"--"	"HS"	"WA085"	"多粒型"	"2.91"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.25"	"37.95"	"--"	"W.h03251"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"30.89"	"--"	"40.32"	"--"	"I4A02055"	"直立"	"158"	"2.90"	"国外"	"115.5"	"HS"	"--"	"--"	"--"	"MR"	"--"	"52.0"	"疏枝"	"--"	"--"	"74.60"	"--"	"--"	"连续"	"塔拉波特-2"	"1.14"	"--"	"HS"	"--"	"55.65"
"2133"	"49.03"	"--"	"Leguminosae(豆科)"	"Pakistan"	"--"	"巴基斯坦"	"9.66"	"--"	"--"	"12.4"	"--"	"HS"	"WA086"	"多粒型"	"2.93"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.60"	"25.57"	"--"	"W.h03252"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"29.01"	"--"	"55.71"	"--"	"I4A03155"	"直立"	"148"	"2.37"	"国外"	"139.8"	"HS"	"--"	"--"	"--"	"MR"	"--"	"60.3"	"疏枝"	"--"	"--"	"76.50"	"--"	"--"	"连续"	"Pakistan"	"1.17"	"--"	"MR"	"--"	"34.80"
"2134"	"42.07"	"--"	"Leguminosae(豆科)"	"ICG7883"	"--"	"国际半干旱所"	"13.07"	"--"	"--"	"25.0"	"--"	"--"	"WA087"	"多粒型"	"1.12"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.89"	"43.53"	"--"	"W.h03253"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"25.99"	"--"	"34.43"	"--"	"I4A02056"	"直立"	"158"	"3.47"	"国外"	"124.8"	"MS"	"--"	"--"	"--"	"MR"	"--"	"38.0"	"疏枝"	"--"	"--"	"68.60"	"--"	"--"	"连续"	"ICG7883"	"2.48"	"--"	"MR"	"--"	"55.25"
"2135"	"54.05"	"--"	"Leguminosae(豆科)"	"ICG1280"	"--"	"国际半干旱所"	"3.77"	"--"	"--"	"8.5"	"--"	"HS"	"WA088"	"多粒型"	"1.12"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"0.55"	"37.35"	"--"	"W.h03254"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"26.82"	"--"	"43.37"	"--"	"I4A03676"	"直立"	"158"	"10.33"	"国外"	"184.3"	"MR"	"--"	"--"	"--"	"HR"	"--"	"44.1"	"疏枝"	"--"	"--"	"63.50"	"--"	"--"	"连续"	"ICG1280"	"3.51"	"--"	"HR"	"--"	"91.30"
"2136"	"47.82"	"--"	"Leguminosae(豆科)"	"B-1"	"--"	"同际半干旱所"	"11.35"	"--"	"--"	"12.3"	"--"	"HS"	"WA089"	"多粒型"	"1.65"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"3.33"	"41.97"	"--"	"W.h03255"	"HR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"30.46"	"--"	"37.00"	"--"	"I4A04027"	"直立"	"145"	"1.37"	"国外"	"120.0"	"--"	"--"	"--"	"--"	"MR"	"--"	"46.8"	"疏枝"	"--"	"--"	"68.00"	"--"	"--"	"连续"	"B-1"	"3.33"	"--"	"HR"	"--"	"55.00"
"2137"	"47.05"	"--"	"Leguminosae(豆科)"	"外引-6"	"--"	"美国"	"11.64"	"--"	"--"	"14.4"	"--"	"HS"	"WA090"	"多粒型"	"3.22"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.92"	"38.47"	"--"	"W.h03256"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"33.29"	"--"	"39.28"	"--"	"I4A04028"	"直立"	"145"	"3.33"	"国外"	"104.6"	"--"	"--"	"--"	"--"	"MR"	"--"	"38.4"	"疏枝"	"--"	"--"	"75.50"	"--"	"--"	"连续"	"WAI YIN -6"	"2.15"	"--"	"MS"	"--"	"66.80"
"2138"	"49.62"	"--"	"Leguminosae(豆科)"	"--"	"--"	"美国"	"14.49"	"--"	"--"	"14.9"	"--"	"HS"	"WA091"	"多粒型"	"0.78"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.65"	"47.50"	"--"	"W.h03257"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"16.46"	"--"	"33.06"	"--"	"I4A04029"	"直立"	"158"	"0.88"	"国外"	"87.0"	"--"	"--"	"--"	"--"	"S"	"--"	"43.1"	"疏枝"	"--"	"--"	"73.30"	"--"	"--"	"连续"	"美引选41028"	"1.63"	"--"	"HS"	"--"	"77.05"
"2139"	"49.18"	"--"	"Leguminosae(豆科)"	"Camudima-1"	"--"	"刚果"	"9.89"	"--"	"--"	"12.9"	"--"	"HS"	"WA092"	"多粒型"	"2.67"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"2.76"	"42.96"	"--"	"W.h03258"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"30.28"	"--"	"39.66"	"--"	"I4A03365"	"直立"	"150"	"1.14"	"国外"	"111.0"	"HS"	"--"	"--"	"--"	"MR"	"--"	"36.0"	"疏枝"	"--"	"--"	"65.90"	"--"	"--"	"连续"	"Camudima-1"	"0.91"	"--"	"S"	"--"	"75.20"
"2140"	"52.33"	"--"	"Leguminosae(豆科)"	"--"	"--"	"国际半干旱所"	"12.20"	"--"	"--"	"13.0"	"--"	"HS"	"WA093"	"多粒型"	"3.38"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.60"	"37.13"	"--"	"W.h03259"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"28.39"	"--"	"40.22"	"--"	"I4A01998"	"直立"	"165"	"3.87"	"国外"	"76.0"	"--"	"--"	"--"	"--"	"MR"	"--"	"34.9"	"疏枝"	"--"	"--"	"74.95"	"--"	"--"	"连续"	"油干杂选79-34-1"	"1.58"	"--"	"S"	"--"	"49.20"
"2141"	"52.27"	"--"	"Leguminosae(豆科)"	"ICGS(E)50"	"--"	"国际半干旱所"	"12.09"	"--"	"--"	"23.2"	"--"	"HS"	"WA094"	"多粒型"	"2.63"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.65"	"40.91"	"--"	"W.h03260"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"30.89"	"--"	"38.06"	"--"	"I4A01999"	"直立"	"150"	"2.96"	"国外"	"137.2"	"HS"	"--"	"--"	"--"	"MR"	"--"	"67.0"	"疏枝"	"--"	"--"	"73.20"	"--"	"--"	"连续"	"ICGS(E)50"	"1.71"	"--"	"S"	"--"	"57.80"
"2142"	"42.70"	"--"	"Leguminosae(豆科)"	"ACC72"	"--"	"菲律宾"	"12.58"	"--"	"--"	"11.0"	"--"	"MR"	"WA095"	"多粒型"	"2.39"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.78"	"38.30"	"--"	"W.h03261"	"MR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"31.01"	"--"	"40.98"	"--"	"I4A02090"	"直立"	"150"	"2.66"	"国外"	"137.5"	"HS"	"--"	"--"	"--"	"MR"	"--"	"44.0"	"疏枝"	"--"	"--"	"68.90"	"--"	"--"	"连续"	"ACC72"	"1.30"	"--"	"MR"	"--"	"79.75"
"2143"	"52.65"	"--"	"Leguminosae(豆科)"	"EC76446(292)"	"--"	"国际半干旱所"	"13.62"	"--"	"--"	"13.3"	"--"	"HS"	"WA096"	"多粒型"	"2.12"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"1.09"	"38.58"	"--"	"W.h03262"	"HR"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"21.94"	"--"	"41.13"	"--"	"I4A03154"	"直立"	"165"	"2.13"	"国外"	"123.8"	"HS"	"--"	"--"	"--"	"HR"	"--"	"39.4"	"疏枝"	"--"	"--"	"63.70"	"--"	"--"	"连续"	"EC76446(292)"	"1.32"	"--"	"MR"	"--"	"70.60"
"2144"	"49.74"	"--"	"Leguminosae(豆科)"	"--"	"--"	"泰国"	"10.65"	"--"	"--"	"10.9"	"--"	"HS"	"WA097"	"多粒型"	"2.35"	"--"	"Arachis(落花生属)"	"中国农科院油料所"	"3.52"	"42.54"	"--"	"W.h03263"	"S"	"Arachis hypogaea L.(花生)"	"--"	"--"	"--"	"27.67"	"--"	"37.09"	"--"	"I4A02914"	"直立"	"158"	"2.74"	"国外"	"132.5"	"--"	"--"	"--"	"--"	"MR"	"--"	"40.1"	"疏枝"	"--"	"--"	"71.70"	"--"	"--"	"连续"	"泰引选414"	"1.11"	"--"	"S"	"--"	"76.90"
