"id"	"含油量"	"蛋氨酸"	"科名"	"品种名称"	"谷氨酸"	"种子来源"	"棕榈酸"	"精氨酸"	"丙氨酸"	"单株生产率"	"酪氨酸"	"抗根结线虫"	"单位编号"	"类型"	"硬脂酸"	"组氨酸"	"属名"	"保存单位"	"山芋酸"	"亚油酸"	"苏氨酸"	"统一编号"	"抗叶黑斑"	"学名"	"选育方法"	"苯丙氨酸"	"胱氨酸"	"蛋白质含量"	"天冬氨酸"	"油酸"	"亮氨酸"	"库编号"	"株型"	"生育期"	"花生酸"	"省"	"百果重"	"抗青枯"	"甘氨酸"	"缬氨酸"	"色氨酸"	"抗叶褐斑"	"脯氨酸"	"百仁重"	"分枝型"	"抗旱"	"赖氨酸"	"出仁率"	"抗涝"	"丝氨酸"	"开花习性"	"译名"	"花生烯酸"	"病毒病"	"抗锈病"	"异亮氨酸"	"主茎高"
"21"	"--"	"--"	"Leguminosae(豆科)"	"5031"	"--"	"辽宁金县良种示范场"	"--"	"--"	"--"	"--"	"--"	"--"	"A003"	"多粒型"	"--"	"--"	"Arachis(落花生属)"	"辽宁省阜新风沙所"	"--"	"--"	"--"	"Zh.h0037"	"--"	"Arachis hypogaea L.(花生)"	"系选"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"直立"	"110"	"--"	"辽宁"	"220.0"	"--"	"--"	"--"	"--"	"--"	"--"	"75.0"	"疏枝"	"--"	"--"	"73.00"	"--"	"--"	"连续"	"5031"	"--"	"--"	"--"	"--"	"--"
"22"	"--"	"--"	"Leguminosae(豆科)"	"5032"	"--"	"辽宁金县良种示范场"	"--"	"--"	"--"	"--"	"--"	"--"	"A004"	"多粒型"	"--"	"--"	"Arachis(落花生属)"	"辽宁省阜新风沙所"	"--"	"--"	"--"	"Zh.h0038"	"--"	"Arachis hypogaea L.(花生)"	"系选"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"直立"	"110"	"--"	"辽宁"	"225.0"	"--"	"--"	"--"	"--"	"--"	"--"	"70.0"	"疏枝"	"--"	"--"	"70.00"	"--"	"--"	"连续"	"5032"	"--"	"--"	"--"	"--"	"--"
"23"	"--"	"--"	"Leguminosae(豆科)"	"5033"	"--"	"辽宁金县良种示范场"	"--"	"--"	"--"	"--"	"--"	"--"	"A009"	"多粒型"	"--"	"--"	"Arachis(落花生属)"	"辽宁省阜新风沙所"	"--"	"--"	"--"	"Zh.h0043"	"--"	"Arachis hypogaea L.(花生)"	"系选"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"直立"	"110"	"--"	"辽宁"	"223.0"	"--"	"--"	"--"	"--"	"--"	"--"	"72.0"	"疏枝"	"--"	"--"	"70.00"	"--"	"--"	"连续"	"5033"	"--"	"--"	"--"	"--"	"--"
"24"	"44.03"	"--"	"Leguminosae(豆科)"	"6429-4"	"--"	"辽宁锦州市农科所"	"11.98"	"--"	"--"	"--"	"--"	"HS"	"A013"	"多粒型"	"3.72"	"--"	"Arachis(落花生属)"	"辽宁省锦州市农科所"	"1.42"	"38.64"	"--"	"Zh.h0047"	"HS"	"Arachis hypogaea L.(花生)"	"系选"	"--"	"--"	"29.52"	"--"	"39.42"	"--"	"I4A01551"	"直立"	"132"	"3.94"	"辽宁"	"136.0"	"MR"	"--"	"--"	"--"	"HS"	"--"	"52.8"	"疏枝"	"中"	"--"	"77.70"	"--"	"--"	"连续"	"6429-4"	"0.87"	"--"	"S"	"--"	"--"
"25"	"42.14"	"--"	"Leguminosae(豆科)"	"伏系1号"	"--"	"河北滦县"	"11.00"	"--"	"--"	"--"	"--"	"MS"	"B010"	"珍珠豆型"	"2.47"	"--"	"Arachis(落花生属)"	"河北省唐山地区农科所"	"1.71"	"34.95"	"--"	"Zh.h0059"	"HS"	"Arachis hypogaea L.(花生)"	"系选"	"--"	"--"	"26.62"	"--"	"44.85"	"--"	"I4A03825"	"直立"	"130"	"3.17"	"河北"	"227.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"92.0"	"疏枝"	"强"	"--"	"73.20"	"强"	"--"	"连续"	"FU XI 1 HAO"	"1.85"	"HS"	"S"	"--"	"--"
"26"	"51.25"	"0.35"	"Leguminosae(豆科)"	"中选58"	"5.77"	"山东花生研究所"	"10.87"	"3.40"	"1.12"	"--"	"1.22"	"HS"	"B016"	"珍珠豆型"	"3.98"	"0.69"	"Arachis(落花生属)"	"山东省花生研究所"	"3.66"	"37.47"	"0.82"	"Zh.h0076"	"HS"	"Arachis hypogaea L.(花生)"	"系选"	"1.47"	"0.40"	"30.58"	"3.39"	"39.36"	"1.83"	"I4A00038"	"直立"	"133"	"2.18"	"山东"	"135.0"	"HS"	"1.57"	"1.12"	"--"	"S"	"1.23"	"52.0"	"疏枝"	"--"	"1.07"	"67.20"	"--"	"1.48"	"连续"	"ZHONG XUAN 58"	"1.01"	"--"	"HS"	"0.96"	"--"
"27"	"54.75"	"0.37"	"Leguminosae(豆科)"	"系选23"	"5.52"	"山东花生研究所"	"11.44"	"3.06"	"1.08"	"--"	"1.16"	"HS"	"B017"	"珍珠豆型"	"4.24"	"0.66"	"Arachis(落花生属)"	"山东省花生研究所"	"3.69"	"36.37"	"0.80"	"Zh.h0077"	"HS"	"Arachis hypogaea L.(花生)"	"系选"	"1.43"	"0.50"	"28.63"	"3.23"	"39.52"	"1.75"	"I4A00039"	"直立"	"133"	"2.29"	"山东"	"131.0"	"HS"	"1.56"	"1.27"	"--"	"S"	"1.23"	"56.0"	"疏枝"	"--"	"1.05"	"69.20"	"--"	"1.36"	"连续"	"XI XUAN 23"	"0.99"	"--"	"HS"	"0.94"	"--"
"28"	"49.04"	"0.36"	"Leguminosae(豆科)"	"系选22"	"5.60"	"山东花生研究所"	"11.44"	"2.76"	"0.96"	"--"	"1.07"	"HS"	"B018"	"珍珠豆型"	"3.13"	"0.62"	"Arachis(落花生属)"	"山东省花生研究所"	"3.59"	"40.42"	"0.70"	"Zh.h0078"	"HS"	"Arachis hypogaea L.(花生)"	"系选"	"1.28"	"0.43"	"26.59"	"2.89"	"36.57"	"1.60"	"I4A00040"	"直立"	"133"	"1.98"	"山东"	"163.0"	"HS"	"1.35"	"1.17"	"--"	"S"	"1.10"	"68.0"	"疏枝"	"--"	"1.01"	"72.60"	"--"	"1.18"	"连续"	"XI XUAN 22"	"1.20"	"--"	"HS"	"0.84"	"--"
"29"	"51.89"	"0.34"	"Leguminosae(豆科)"	"花11"	"5.51"	"山东花生研究所"	"10.42"	"3.14"	"1.03"	"--"	"1.13"	"HS"	"B019"	"珍珠豆型"	"4.69"	"0.63"	"Arachis(落花生属)"	"山东省花生研究所"	"3.40"	"38.35"	"0.74"	"Zh.h0079"	"HS"	"Arachis hypogaea L.(花生)"	"杂交"	"1.34"	"0.48"	"27.17"	"3.18"	"38.27"	"1.74"	"I4A00041"	"直立"	"133"	"2.47"	"山东"	"200.0"	"HS"	"1.52"	"1.19"	"--"	"S"	"1.61"	"81.0"	"疏枝"	"--"	"1.09"	"75.00"	"--"	"1.33"	"连续"	"HUA 11"	"0.95"	"--"	"HS"	"0.90"	"--"
"30"	"46.88"	"0.40"	"Leguminosae(豆科)"	"伏花生"	"5.38"	"山东福山县"	"11.47"	"3.00"	"1.02"	"--"	"0.82"	"HS"	"B022"	"珍珠豆型"	"2.73"	"0.54"	"Arachis(落花生属)"	"山东省花生研究所"	"3.68"	"39.88"	"0.67"	"Zh.h0082"	"HS"	"Arachis hypogaea L.(花生)"	"杂交"	"1.80"	"0.41"	"29.60"	"2.93"	"37.28"	"3.03"	"I4A00044"	"直立"	"133"	"1.83"	"山东"	"185.0"	"HS"	"1.40"	"1.14"	"--"	"S"	"0.67"	"74.0"	"疏枝"	"--"	"1.00"	"71.20"	"--"	"1.19"	"连续"	"FU HUA SHENG"	"1.35"	"--"	"HS"	"0.86"	"--"
