"id"	"内质评价"	"可溶性糖％"	"品种名称"	"原产地"	"特异及用途"	"省"	"学名"	"图象"	"单果重评价"	"果实成熟期"	"成熟期评价"	"风味"	"单果重G"	"译名"	"汁液"	"外观评价"	"色泽"	"始果年龄"	"肉质"	"属名"	"可溶固形物"	"生育期D"	"生育期评价"	"统一编号"	"早果性评价"	"果形"	"维生素C"	"科名"	"可滴定酸％"
"93"	"中"	"9.1"	"伦巴瑞"	"英国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月中旬"	"中"	"酸"	"125.0"	"LUN BA RUI"	"多"	"中"	"暗红"	"5"	"松脆"	"Malus(苹果属)"	"11.9"	"195"	"中"	"PGB0147"	"中"	"扁圆"	"3.2"	"Rosaceae(蔷薇科)"	"0.48"
"94"	"中"	"--"	"格勒斯特"	"德国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"微酸"	"154.0"	"GE LE SI TE"	"多"	"好"	"浓红"	"5"	"松脆"	"Malus(苹果属)"	"11.8"	"188"	"短"	"PGB0148"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"95"	"上"	"--"	"金标"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月上旬"	"中晚"	"酸甜"	"139.3"	"JIN BIAO"	"多"	"好"	"黄绿"	"4"	"松脆"	"Malus(苹果属)"	"12.0"	"215"	"长"	"PGB0149"	"早"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"96"	"中"	"9.2"	"金星"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"甜酸"	"126.3"	"JIN XING"	"中"	"中"	"绿黄"	"5"	"紧密韧"	"Malus(苹果属)"	"12.1"	"207"	"中"	"PGB0150"	"中"	"圆锥"	"5.1"	"Rosaceae(蔷薇科)"	"0.44"
"97"	"中"	"8.8"	"红金"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月中旬"	"中"	"酸甜"	"84.3"	"HONG JIN"	"多"	"中"	"淡紫红"	"4"	"脆"	"Malus(苹果属)"	"10.5"	"187"	"短"	"PGB0151"	"早"	"扁圆"	"4.2"	"Rosaceae(蔷薇科)"	"0.38"
"98"	"中上"	"9.1"	"红重比"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"淡甜"	"124.3"	"HONG ZHONG BI"	"多"	"好"	"浓红"	"5"	"脆"	"Malus(苹果属)"	"11.5"	"193"	"中"	"PGB0152"	"中"	"圆锥"	"3.1"	"Rosaceae(蔷薇科)"	"0.22"
"99"	"中"	"--"	"克洛登(法7)"	"法国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"甜酸"	"167.7"	"KE LUO DENG (FA 7)"	"中"	"中"	"黄绿"	"4"	"疏松"	"Malus(苹果属)"	"11.9"	"193"	"中"	"PGB0153"	"早"	"阔圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"100"	"中"	"8.1"	"发现"	"英国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"7月下旬"	"早"	"甜酸"	"112.5"	"FA XIAN"	"中"	"好"	"鲜红"	"4"	"硬"	"Malus(苹果属)"	"11.6"	"219"	"长"	"PGB0154"	"早"	"扁圆"	"4.2"	"Rosaceae(蔷薇科)"	"0.78"
"101"	"中上"	"9.9"	"赤诚"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"淡甜"	"111.2"	"CHI CHENG"	"多"	"好"	"红"	"5"	"脆"	"Malus(苹果属)"	"12.1"	"202"	"中"	"PGB0155"	"中"	"圆锥"	"4.0"	"Rosaceae(蔷薇科)"	"0.21"
"102"	"上"	"7.9"	"长富2号"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月中旬"	"晚"	"甜酸"	"143.1"	"CHANG FU 2 HAO"	"多"	"中"	"淡红"	"5"	"松脆"	"Malus(苹果属)"	"12.6"	"225"	"长"	"PGB0156"	"中"	"扁圆"	"6.6"	"Rosaceae(蔷薇科)"	"0.60"
"103"	"中"	"9.4"	"奥查克金"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"甜酸"	"155.4"	"AO CHA KE JIN"	"多"	"好"	"绿黄"	"5"	"松脆"	"Malus(苹果属)"	"11.0"	"201"	"中"	"PGB0157"	"中"	"圆锥"	"4.5"	"Rosaceae(蔷薇科)"	"0.55"
"104"	"上"	"--"	"矮黄"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"甜酸"	"150.8"	"AI HUANG"	"多"	"好"	"绿黄"	"5"	"疏松"	"Malus(苹果属)"	"12.2"	"201"	"中"	"PGB0158"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"105"	"中"	"7.6"	"早艳"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月上旬"	"中"	"酸甜适度"	"103.7"	"ZAO YAN"	"多"	"好"	"浓红"	"6"	"疏松"	"Malus(苹果属)"	"10.2"	"198"	"中"	"PGB0159"	"中"	"圆"	"--"	"Rosaceae(蔷薇科)"	"0.33"
"106"	"中"	"9.7"	"奥勒岗矮生"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"淡甜涩"	"148.0"	"AO LE GANG AI SHENG"	"多"	"好"	"浓红"	"6"	"松脆"	"Malus(苹果属)"	"10.6"	"188"	"短"	"PGB0160"	"中"	"扁圆锥"	"2.9"	"Rosaceae(蔷薇科)"	"0.31"
"107"	"中上"	"12.6"	"短枝金冠"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"甜酸"	"179.8"	"DUAN ZHI JIN GUAN"	"多"	"中"	"黄绿"	"5"	"松脆"	"Malus(苹果属)"	"13.4"	"191"	"短"	"PGB0161"	"中"	"圆锥"	"6.9"	"Rosaceae(蔷薇科)"	"0.55"
"108"	"中上"	"10.3"	"新红星(波)"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"甜微涩"	"170.1"	"XIN HONG XING (BO )"	"多"	"好"	"浓红"	"5"	"松脆"	"Malus(苹果属)"	"10.3"	"202"	"中"	"PGB0162"	"中"	"圆锥"	"3.2"	"Rosaceae(蔷薇科)"	"0.47"
"109"	"中上"	"--"	"矮红"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"大"	"9月下旬"	"中晚"	"淡甜"	"184.3"	"AI HONG"	"多"	"好"	"浓红"	"5"	"松脆"	"Malus(苹果属)"	"10.7"	"202"	"中"	"PGB0163"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"110"	"上"	"--"	"超红"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"F003.jpg"	"较大"	"9月下旬"	"中晚"	"淡甜"	"152.3"	"CHAO HONG"	"多"	"好"	"浓红"	"5"	"松脆"	"Malus(苹果属)"	"11.1"	"213"	"中"	"PGB0165"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"111"	"中上"	"8.8"	"金晕"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"10月中旬"	"晚"	"甜酸"	"152.5"	"JIN YUN"	"多"	"好"	"黄绿"	"5"	"脆致密"	"Malus(苹果属)"	"12.8"	"221"	"长"	"PGB0166"	"中"	"圆锥"	"5.7"	"Rosaceae(蔷薇科)"	"0.62"
"112"	"极上"	"10.5"	"坂田津轻"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月上旬"	"中"	"酸甜适度"	"151.8"	"BANG TIAN JIN QING"	"多"	"好"	"淡红"	"4"	"松脆"	"Malus(苹果属)"	"13.6"	"198"	"中"	"PGB0167"	"早"	"圆"	"6.4"	"Rosaceae(蔷薇科)"	"0.21"
"113"	"上"	"9.8"	"王林"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"F017.jpg"	"较大"	"10月中旬"	"晚"	"酸甜"	"169.4"	"WANG LIN"	"多"	"好"	"黄绿"	"4"	"松脆"	"Malus(苹果属)"	"12.0"	"212"	"中"	"PGB0168"	"早"	"圆锥"	"4.6"	"Rosaceae(蔷薇科)"	"0.27"
"114"	"中"	"8.3"	"艾达红"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"10月上旬"	"中晚"	"酸"	"175.8"	"AI DA HONG"	"多"	"好"	"红"	"4"	"致密"	"Malus(苹果属)"	"10.9"	"204"	"中"	"PGB0169"	"早"	"扁圆"	"7.4"	"Rosaceae(蔷薇科)"	"0.42"
