"id"	"科名"	"保存编号"	"品种名称"	"鲜粗淀粉"	"所属群别"	"脉基色"	"叶脉色"	"耐盐性"	"耐贮性"	"分枝多少"	"类型"	"保存单位"	"省"	"来源"	"幼苗生长势"	"鲜粗蛋白"	"原名"	"属名"	"统一编号"	"叶片大小"	"干粗蛋白"	"学名"	"茎色"	"最长蔓长短"	"茎粗"	"干可溶性糖"	"株型"	"薯皮色"	"薯形"	"原产地"	"产量"	"叶色"	"最长蔓长"	"柄基色"	"顶叶形"	"顶叶色"	"备注"	"薯瘟抗性1"	"叶形"	"根腐病指"	"茎线虫病"	"薯肉色"	"耐旱性"	"茎粗大小"	"干粗淀粉"	"鲜可溶性糖"	"根腐病抗性"	"萌芽性"	"茎端茸毛"	"叶片长"	"烘干率"	"叶片宽"	"基部分枝"	"薯瘟抗性2"	"原系号"	"黑斑病"	"异亮氨酸"	"所属"	"糖化力"	"叶锈反应型"	"直链淀粉"	"丙氨酸"	"穗密度"	"耐涝性"	"单位编号"	"蛋白质"	"北纬"	"白背飞虱"	"单株产量"	"条纹病抗性"	"籼粳"	"百粒重"	"分蘖力"	"赤霉病病穗"	"苗瘟"	"分枝数"	"条纹病病率"	"芒"	"苗期耐旱"	"脯氨酸"	"抗旱级别"	"田间抗寒性"	"精米率"	"天冬氨酸"	"水敏称度"	"秆锈反应型"	"长宽比"	"缬氨酸"	"高程"	"种子来源"	"耐涝级别"	"沉淀值"	"早中晚"	"生长习性"	"赤霉病抗性"	"保存单位_2"	"荚色"	"棱型"	"东经"	"花色"	"黄花发病率"	"冬春性"	"颖尖弯直'"	"库编号"	"全粉浸出物"	"颖尖弯直"	"酪氨酸"	"壳色"	"芒长"	"荚长"	"粗蛋白"	"根腐穗病级"	"糙米率"
"48"	"Convolvulaceae(旋花科)"	"湘A120"	"邵阳白皮"	"--"	"--"	"紫"	"紫"	"--"	"--"	"多"	"地方"	"湖南省农科院作物所"	"湖南"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000183"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿带紫"	"长"	"中"	"--"	"半直立"	"白"	"长纺"	"湖南邵阳"	"中"	"浓绿"	"198"	"紫"	"浅单缺"	"绿"	"高感薯瘟病"	"--"	"心形"	"--"	"--"	"白"	"--"	"0.50"	"--"	"--"	"--"	"优"	"少"	"9.1"	"21.8-26.0"	"9.2"	"12"	"--"	"--"	"--"																																																									
"49"	"Convolvulaceae(旋花科)"	"湘A121"	"鸡蛋黄"	"--"	"--"	"紫"	"紫"	"--"	"--"	"中"	"地方"	"湖南省农科院作物所"	"湖南"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000184"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿带紫"	"长"	"中"	"--"	"匍匐"	"红"	"上膨纺"	"湖南"	"中"	"淡绿"	"234"	"绿"	"心形"	"绿"	"中抗薯瘟病"	"--"	"心形"	"--"	"--"	"桔红"	"--"	"0.45"	"--"	"--"	"--"	"中"	"中"	"9.0"	"28.0"	"10.2"	"8"	"--"	"--"	"--"																																																									
"50"	"Convolvulaceae(旋花科)"	"湘A116-1"	"绿茎黄心薯"	"--"	"--"	"绿带紫"	"绿"	"--"	"--"	"少"	"地方"	"湖南省农科院作物所"	"湖南"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000186"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"中"	"中"	"--"	"匍匐"	"红"	"纺锤"	"湖南祁东"	"中"	"绿"	"185"	"绿"	"心形"	"绿"	"抗薯瘟病"	"--"	"心形"	"--"	"--"	"桔红"	"--"	"0.53"	"--"	"--"	"--"	"中"	"少"	"9.6"	"30.6"	"9.6"	"3"	"--"	"--"	"--"																																																									
"51"	"Convolvulaceae(旋花科)"	"粤A033"	"南凹苗"	"--"	"C"	"紫"	"紫"	"--"	"--"	"多"	"地方"	"广东省农科院旱粮所"	"广东"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000208"	"小"	"--"	"Ipomoea batatas Lam.(甘薯)"	"紫"	"长"	"中"	"--"	"半直立"	"淡褐"	"上膨"	"广东东莞"	"中"	"绿"	"200"	"紫"	"心"	"紫"	"不抗薯瘟"	"--"	"心"	"--"	"--"	"黄"	"--"	"0.45"	"--"	"--"	"--"	"差"	"无"	"8.2"	"24.1"	"7.2"	"13"	"--"	"--"	"--"																																																									
"52"	"Convolvulaceae(旋花科)"	"粤A035"	"雷干"	"--"	"--"	"紫"	"紫"	"--"	"--"	"少"	"地方"	"广东省农科院旱粮所"	"广东"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000210"	"小"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿带紫"	"长"	"中"	"--"	"匍匐"	"白"	"下膨"	"广东湛江地区"	"低"	"绿"	"238"	"绿带紫"	"苋齿"	"绿"	"不抗薯瘟"	"--"	"浅复缺"	"--"	"--"	"白"	"--"	"0.48"	"--"	"--"	"--"	"中"	"少"	"8.2"	"24.3"	"8.4"	"5"	"--"	"--"	"--"																																																									
"53"	"Convolvulaceae(旋花科)"	"粤A037"	"白皮接芋只"	"--"	"--"	"绿"	"绿"	"--"	"--"	"中"	"地方"	"广东省农科院旱粮所"	"广东"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000211"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"长"	"中"	"--"	"匍匐"	"白"	"上膨"	"广东揭阳"	"高"	"绿"	"253"	"绿"	"浅复缺"	"绿"	"不抗薯瘟"	"--"	"浅复缺"	"--"	"--"	"白"	"--"	"0.55"	"--"	"--"	"--"	"差"	"无"	"10.2"	"24.5"	"8.6"	"7"	"--"	"--"	"--"																																																									
"54"	"Convolvulaceae(旋花科)"	"粤A038"	"三丫苗"	"--"	"--"	"紫"	"紫"	"--"	"--"	"多"	"地方"	"广东省农科院旱粮所"	"广东"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000212"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿带紫"	"长"	"中"	"--"	"匍匐"	"褐红"	"纺锤"	"广东高州、电白"	"高"	"绿"	"204"	"紫"	"深单缺"	"褐"	"不抗薯瘟"	"--"	"深单缺"	"--"	"--"	"淡黄"	"--"	"0.48"	"--"	"--"	"--"	"差"	"中"	"11.0"	"24.5"	"13.7"	"13"	"--"	"--"	"--"																																																									
"55"	"Convolvulaceae(旋花科)"	"粤A039"	"南澳苗"	"--"	"美国红"	"紫"	"紫"	"--"	"--"	"少"	"地方"	"广东省农科院旱粮所"	"广东"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000213"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"紫"	"长"	"中"	"--"	"匍匐"	"淡红"	"下膨"	"广东东莞"	"中"	"绿"	"352"	"紫"	"浅复缺"	"绿"	"不抗薯瘟"	"--"	"浅复缺"	"--"	"--"	"白"	"--"	"0.56"	"--"	"--"	"--"	"差"	"少"	"9.2"	"24.6"	"9.8"	"4"	"--"	"--"	"--"																																																									
"56"	"Convolvulaceae(旋花科)"	"粤A040"	"锦莲薯"	"--"	"--"	"绿带紫"	"绿带紫"	"--"	"--"	"多"	"地方"	"广东省农科院旱粮所"	"海南"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000214"	"小"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"中"	"中"	"--"	"匍匐"	"白"	"下膨"	"广东文昌"	"中"	"绿"	"156"	"绿带紫"	"心"	"绿"	"不抗薯瘟"	"--"	"心"	"--"	"--"	"白紫"	"--"	"0.52"	"--"	"--"	"--"	"差"	"无"	"8.3"	"24.6"	"9.0"	"11"	"--"	"--"	"--"																																																									
"57"	"Convolvulaceae(旋花科)"	"粤A041"	"密草芦仔"	"--"	"--"	"紫"	"绿带紫"	"--"	"--"	"中"	"地方"	"广东省农科院旱粮所"	"广东"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000215"	"小"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"长"	"中"	"--"	"匍匐"	"白"	"纺锤"	"广东湛江地区"	"高"	"绿"	"203"	"紫"	"浅单缺"	"绿"	"不抗薯瘟"	"--"	"深复缺"	"--"	"--"	"白"	"--"	"0.53"	"--"	"--"	"--"	"中"	"少"	"8.4"	"24.7"	"8.4"	"8"	"--"	"--"	"--"																																																									
