"id"	"成都穗位高"	"年份吐丝数"	"北京区产量"	"杨穗位高"	"杨陵镇穗粗"	"年份区产量"	"北京抽雄数"	"平均穗行数"	"品种名称"	"年份抽雄数"	"公穗位高"	"平均穗位高"	"成都抽雄数"	"北京穗位高"	"成都吐丝数"	"成都穗行数"	"平均穗粗"	"平均抽雄数"	"北京穗行数"	"公抽雄数"	"北京成熟数"	"公成熟数"	"公吐丝数"	"年份穗位高"	"成都成熟数"	"杨吐丝数"	"北京穗粗"	"杨穗行数"	"公区产量"	"成都区产量"	"公穗行数"	"杨区产量"	"杨成熟数"	"平均区产量"	"北京吐丝数"	"年份成熟数"	"杨抽雄数"	"年份穗行数"	"平均吐丝数"	"年份穗粗"	"平均成熟数"	"公主岭穗粗"	"成都穗粗"
"773"	"--"	"--"	"317.0"	"72.3"	"3.8"	"--"	"--"	"16.0"	"沈118"	"--"	"--"	"73.7"	"--"	"75"	"--"	"--"	"3.9"	"--"	"16.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"4.0"	"--"	"--"	"--"	"--"	"--"	"--"	"823.5"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"--"
"774"	"--"	"--"	"--"	"78.7"	"--"	"--"	"--"	"16.0"	"沈118"	"--"	"--"	"73.1"	"--"	"64.3"	"--"	"--"	"4.0"	"--"	"15.0"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1235.0"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"--"
"775"	"75.7"	"--"	"338.3"	"75.0"	"3.7"	"--"	"--"	"14.0"	"吉833"	"--"	"85.0"	"74.0"	"--"	"60"	"--"	"14"	"3.7"	"--"	"16.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"3.1"	"--"	"--"	"446.7"	"--"	"--"	"--"	"922.8"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"4.3"	"3.7"
"776"	"60.7"	"--"	"220.0"	"87.0"	"3.8"	"--"	"--"	"14.0"	"吉833"	"--"	"84.0"	"71.7"	"--"	"55"	"--"	"14"	"3.5"	"--"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"3.2"	"--"	"--"	"450"	"--"	"--"	"--"	"960.3"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"4.1"	"2.7"
"777"	"68.2"	"--"	"279.2"	"81"	"3.8"	"--"	"--"	"14.0"	"吉833"	"--"	"84.5"	"72.8"	"--"	"57.5"	"--"	"13"	"3.6"	"--"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"3.2"	"--"	"--"	"448.1"	"--"	"--"	"--"	"941.6"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"4.2"	"3.2"
"778"	"39.0"	"--"	"315.7"	"--"	"3.4"	"--"	"--"	"14.0"	"吉846"	"--"	"75.0"	"54.0"	"--"	"47.9"	"--"	"14"	"3.3"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"3.2"	"--"	"--"	"680"	"--"	"--"	"--"	"990.4"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"3.0"	"3.6"
"779"	"51.3"	"--"	"230.0"	"--"	"--"	"--"	"--"	"13.0"	"吉846"	"--"	"52.0"	"44.4"	"--"	"30"	"--"	"12"	"3.4"	"--"	"12.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"3.1"	"--"	"--"	"626.7"	"--"	"--"	"--"	"727.0"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"3.9"	"3.1"
"780"	"--"	"--"	"272.9"	"--"	"--"	"--"	"--"	"14.0"	"吉846"	"--"	"--"	"--"	"--"	"--"	"--"	"13"	"3.4"	"--"	"13.0"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"3.2"	"--"	"--"	"653.4"	"--"	"--"	"--"	"858.7"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"3.5"	"3.4"
"781"	"36.7"	"--"	"672.6"	"41.0"	"4.0"	"--"	"--"	"16.0"	"齐31"	"--"	"45.0"	"39.7"	"--"	"36"	"--"	"16"	"3.9"	"--"	"16.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"3.6"	"--"	"--"	"593.3"	"--"	"--"	"--"	"964.4"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"4.2"	"3.6"
"782"	"31.9"	"--"	"755.0"	"36.0"	"4.0"	"--"	"--"	"15.0"	"齐31"	"--"	"43.0"	"40.2"	"--"	"50"	"--"	"14"	"3.9"	"--"	"16.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"4.6"	"--"	"--"	"613.3"	"--"	"--"	"--"	"1018.5"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"3.7"	"3.4"
