"id"	"抗寒性评价"	"科名"	"未展开叶色"	"叶柄颜色"	"干物率"	"评价D"	"生育期"	"评价A"	"抗风评价"	"评价H"	"老茎外皮色"	"亲和力评价"	"叶脉颜色"	"纤维素含量"	"评价C"	"种质名称"	"特异性用途"	"父本亲和力"	"淀粉含量"	"抗风等级"	"维生C含量"	"评价E"	"种质来源"	"省"	"老茎内皮色"	"评价F"	"亩产量"	"母本亲和力"	"块根外皮色"	"氰酸含量"	"属名"	"统一编号"	"块根内皮色"	"学名"	"评价B"	"评价G"	"抗寒等级"	"中间裂片形"	"块根形状"	"植株形态"	"蛋白质含量"
"14"	"不抗"	"Euphorbiaceae(大戟科)"	"浅绿"	"紫红"	"36.6"	"中低"	"270"	"中"	"一般抗风"	"中"	"灰色"	"--"	"紫红"	"2.1"	"中"	"宝岛9-5"	"种质保存"	"--"	"27.9"	"3-4"	"49.6"	"低"	"海南儋州"	"海南"	"绿色"	"低"	"1770.0"	"--"	"黄褐"	"11.01"	"Manihot(木薯属)"	"MS000014"	"粉红"	"Manihot esculenta Crantz(木薯)"	"中高"	"高"	"5"	"椭圆形"	"圆锥"	"直"	"1.9"
"15"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"红色"	"36.4"	"中低"	"270"	"中"	"--"	"--"	"红褐色"	"--"	"紫红"	"--"	"中"	"6068多倍体"	"育种"	"--"	"29.4"	"--"	"--"	"--"	"热作两院"	"海南"	"绿色"	"--"	"1249.0"	"--"	"浅褐"	"--"	"Manihot(木薯属)"	"MS000015"	"紫红"	"Manihot esculenta Crantz(木薯)"	"中低"	"--"	"--"	"倒卵形"	"圆柱"	"直"	"--"
"16"	"--"	"Euphorbiaceae(大戟科)"	"褐色"	"紫红"	"36.8"	"中低"	"300"	"晚"	"--"	"--"	"灰绿色"	"--"	"绿色"	"--"	"中"	"广西2号"	"育种"	"--"	"29.8"	"--"	"--"	"--"	"广西武鸣"	"广西"	"深绿"	"--"	"1598.0"	"--"	"浅黄"	"--"	"Manihot(木薯属)"	"MS000016"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"中高"	"--"	"--"	"披针形"	"圆锥"	"集"	"--"
"17"	"--"	"Euphorbiaceae(大戟科)"	"浅紫"	"紫红"	"37.2"	"中高"	"300"	"晚"	"一般抗风"	"高"	"灰色"	"--"	"紫红"	"2.3"	"中"	"定安3号"	"种质保存"	"--"	"31.2"	"3-4"	"61.9"	"低"	"海南定安"	"海南"	"浅绿"	"低"	"686.0"	"--"	"浅黄"	"4.03"	"Manihot(木薯属)"	"MS000017"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"低"	"低"	"--"	"披针形"	"圆柱"	"集"	"2.2"
"18"	"不抗"	"Euphorbiaceae(大戟科)"	"紫红"	"紫红"	"41.0"	"中"	"240"	"早"	"不抗风"	"高"	"灰绿色"	"--"	"紫红"	"2.1"	"高"	"海南红心"	"种质保存"	"--"	"30.9"	"4-5"	"63.0"	"低"	"马来西亚"	"国外"	"深绿"	"低"	"1147.0"	"--"	"浅褐"	"8.85"	"Manihot(木薯属)"	"MS000018"	"浅红"	"Manihot esculenta Crantz(木薯)"	"中低"	"中高"	"5"	"椭圆形"	"圆锥"	"集"	"1.4"
"19"	"不抗"	"Euphorbiaceae(大戟科)"	"紫红"	"紫红"	"38.2"	"中高"	"270"	"中"	"不抗风"	"中高"	"黄褐色"	"--"	"紫红"	"1.8"	"中高"	"西联三号"	"种质保存"	"--"	"31.2"	"4-5"	"54.2"	"低"	"海南儋州"	"海南"	"浅绿"	"低"	"1625.0"	"--"	"褐色"	"5.54"	"Manihot(木薯属)"	"MS000019"	"白色"	"Manihot esculenta Crantz(木薯)"	"中高"	"中"	"5"	"披针形"	"圆锥"	"集"	"1.8"
"20"	"--"	"Euphorbiaceae(大戟科)"	"紫色"	"紫红"	"37.0"	"中高"	"270"	"中"	"--"	"--"	"褐色"	"--"	"绿色"	"--"	"中"	"205多倍体"	"育种"	"--"	"31.0"	"--"	"--"	"--"	"热作两院"	"海南"	"绿色"	"--"	"1589.0"	"--"	"褐色"	"--"	"Manihot(木薯属)"	"MS000020"	"白色"	"Manihot esculenta Crantz(木薯)"	"中高"	"--"	"--"	"戟形"	"圆锥"	"直"	"--"
"21"	"不抗"	"Euphorbiaceae(大戟科)"	"紫色"	"绿带紫"	"40.4"	"中"	"270"	"中"	"一般抗风"	"中高"	"褐色"	"--"	"绿色"	"1.8"	"高"	"陵水一号"	"种质保存"	"--"	"30.7"	"3-4"	"53.3"	"低"	"海南陵水"	"海南"	"浅绿"	"低"	"879.0"	"--"	"褐色"	"10.18"	"Manihot(木薯属)"	"MS000021"	"白色"	"Manihot esculenta Crantz(木薯)"	"低"	"高"	"5"	"披针形"	"圆锥"	"集"	"1.8"
"22"	"--"	"Euphorbiaceae(大戟科)"	"紫色"	"绿带紫"	"37.5"	"中高"	"270"	"中"	"--"	"--"	"浅褐色"	"--"	"绿色"	"--"	"中"	"兴隆一号"	"种质保存,生产"	"--"	"31.5"	"--"	"--"	"--"	"海南万宁"	"海南"	"浅绿"	"--"	"1568.0"	"--"	"褐色"	"--"	"Manihot(木薯属)"	"MS000022"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"中高"	"--"	"--"	"披针形"	"圆锥"	"直"	"--"
"23"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"绿带紫"	"37.3"	"中高"	"300"	"晚"	"--"	"--"	"褐色"	"--"	"绿色"	"--"	"中"	"西庆二号"	"种质保存"	"--"	"31.3"	"--"	"--"	"--"	"海南儋州"	"海南"	"浅绿"	"--"	"1132.0"	"--"	"褐色"	"--"	"Manihot(木薯属)"	"MS000023"	"紫红"	"Manihot esculenta Crantz(木薯)"	"中低"	"--"	"--"	"披针形"	"圆柱"	"伞形"	"--"
"24"	"不抗"	"Euphorbiaceae(大戟科)"	"浅褐"	"紫红"	"40.4"	"中低"	"270"	"中"	"一般抗风"	"高"	"灰绿色"	"--"	"浅红"	"1.7"	"高"	"白沙三号"	"种质保存"	"--"	"28.8"	"3-4"	"57.3"	"低"	"海南白沙"	"海南"	"深绿"	"低"	"1339.0"	"--"	"浅黄"	"8.90"	"Manihot(木薯属)"	"MS000024"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"中"	"中高"	"4"	"线形"	"圆锥"	"伞形"	"3.4"
"25"	"不抗"	"Euphorbiaceae(大戟科)"	"紫红"	"绿带紫"	"36.3"	"中低"	"300"	"晚"	"不抗风"	"中高"	"黄褐色"	"--"	"浅红"	"2.5"	"中低"	"海南细叶"	"种质保存"	"--"	"27.1"	"4-5"	"52.9"	"低"	"海南儋州"	"海南"	"浅绿"	"低"	"1109.0"	"--"	"褐色"	"7.79"	"Manihot(木薯属)"	"MS000025"	"白色"	"Manihot esculenta Crantz(木薯)"	"中低"	"中高"	"5"	"线形"	"圆锥"	"伞形"	"1.7"
"26"	"不抗"	"Euphorbiaceae(大戟科)"	"紫红"	"绿带紫"	"38.5"	"高"	"270"	"中"	"一般抗风"	"中"	"灰绿色"	"--"	"紫红"	"1.6"	"中高"	"南植188"	"雄性不育,育种"	"--"	"33.7"	"3-4"	"40.2"	"低"	"哥伦比亚"	"国外"	"深绿"	"低"	"1200.0"	"--"	"浅黄"	"4.09"	"Manihot(木薯属)"	"MS000026"	"粉红"	"Manihot esculenta Crantz(木薯)"	"中低"	"低"	"5"	"披针形"	"圆柱"	"伞形"	"1.4"
"27"	"不抗"	"Euphorbiaceae(大戟科)"	"绿色"	"乳黄"	"41.8"	"高"	"240"	"早"	"一般抗风"	"高"	"灰褐色"	"--"	"绿色"	"2.0"	"高"	"东升二号"	"忧质,育种"	"--"	"35.6"	"3-4"	"62.5"	"低"	"海南琼海"	"海南"	"浅绿"	"低"	"1198.0"	"--"	"浅褐"	"3.23"	"Manihot(木薯属)"	"MS000027"	"粉红"	"Manihot esculenta Crantz(木薯)"	"中低"	"低"	"4"	"披针形"	"圆柱"	"集"	"1.9"
"28"	"--"	"Euphorbiaceae(大戟科)"	"紫红"	"紫红"	"36.0"	"高"	"270"	"中"	"中抗"	"中"	"灰褐色"	"--"	"紫红"	"2.5"	"中"	"琼山白杆"	"高淀粉,育种"	"--"	"33.7"	"3"	"33.6"	"低"	"琼山"	"海南"	"浅绿"	"低"	"1233.0"	"--"	"浅黄"	"4.23"	"Manihot(木薯属)"	"MS000028"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"中低"	"低"	"--"	"披针形"	"圆锥"	"集"	"2.9"
"29"	"--"	"Euphorbiaceae(大戟科)"	"褐色"	"紫红"	"40.9"	"中高"	"240"	"早"	"抗风"	"中"	"黄褐色"	"--"	"绿色"	"2.7"	"高"	"泰引一号"	"种质保存"	"--"	"32.1"	"1"	"45.6"	"低"	"泰国"	"国外"	"浅绿"	"低"	"1523.0"	"--"	"褐色"	"3.62"	"Manihot(木薯属)"	"MS000029"	"黄色"	"Manihot esculenta Crantz(木薯)"	"中高"	"低"	"--"	"披针形"	"圆锥"	"集"	"2.8"
"30"	"--"	"Euphorbiaceae(大戟科)"	"紫红"	"绿带紫"	"33.8"	"中"	"270"	"中"	"中抗"	"中"	"灰绿色"	"--"	"绿色"	"1.6"	"低"	"罗勇一号"	"育种"	"--"	"30.5"	"3"	"44.3"	"低"	"泰国"	"国外"	"深绿"	"低"	"1440.0"	"--"	"浅黄"	"8.57"	"Manihot(木薯属)"	"MS000031"	"紫红"	"Manihot esculenta Crantz(木薯)"	"中"	"中高"	"--"	"椭圆形"	"圆柱"	"集"	"2.9"
