"id"	"保存编号"	"品种名称"	"生长状态"	"叶面"	"种子来源"	"生育期"	"抗逆性"	"叶形"	"亩产"	"茸毛"	"译名"	"备注"	"叶缘"	"单株重"	"统一编号"	"保存单位"	"抗病虫性"	"叶色"	"茎色"	"叶角"	"株高"	"种质库编号"	"栽培季节"
"55"	"9-C33"	"新田苋菜"	"矮生"	"皱缩"	"湖南新田县"	"50"	"中"	"长卵"	"1250"	"无"	"XIN TIAN XIAN CAI"	"--"	"全缘"	"--"	"V09C0133"	"湖南农科院蔬菜所"	"中"	"绿"	"浅绿"	"--"	"25.0"	"Ⅱ9C0045"	"5上-7下"
"56"	"9-C07"	"红心苋"	"矮生"	"微皱"	"湖南益阳市"	"40"	"耐寒中"	"长卵"	"1250"	"无"	"HONG XIN XIAN"	"--"	"全缘"	"15.0"	"V09C0134"	"湖南农科院蔬菜所"	"强"	"红"	"浅绿"	"--"	"17.0"	"Ⅱ9C0084"	"4上-6下"
"57"	"9-C32"	"牛舌苋"	"矮生"	"平滑"	"湖南益阳市"	"40"	"中"	"卵圆"	"1250"	"无"	"NIU SHE XIAN"	"--"	"全缘"	"15.0"	"V09C0135"	"湖南农科院蔬菜所"	"中"	"深绿"	"浅绿"	"--"	"22.0"	"Ⅱ9C0096"	"4上-6下"
"58"	"9-C22"	"白棵苋"	"--"	"皱缩"	"湖南益阳市"	"55"	"耐热,旱"	"--"	"1000"	"--"	"BAI KE XIAN"	"*"	"全缘"	"--"	"V09C0136"	"湖南农科院蔬菜所"	"--"	"浅绿"	"浅绿"	"--"	"41.0"	"Ⅱ9C0095"	"3下播5中收"
"59"	"9-C01"	"蝴蝶苋"	"--"	"皱缩"	"湖南株洲市"	"45"	"耐旱,中"	"卵圆"	"1250"	"--"	"HU DIE XIAN"	"*"	"全缘"	"--"	"V09C0137"	"湖南农科院蔬菜所"	"中"	"红"	"紫"	"--"	"20.0"	"Ⅱ9C0034"	"4上5中播7上8末收"
"60"	"9-C29"	"花苋菜"	"矮生"	"皱缩"	"湖南溆浦县"	"30"	"中"	"长卵"	"1500"	"少"	"HUA XIAN CAI"	"--"	"全缘"	"10.0"	"V09C0139"	"湖南农科院蔬菜所"	"中"	"红"	"紫"	"--"	"17.0"	"Ⅱ9C0042"	"4上-7上"
"61"	"9C14"	"红苋菜"	"--"	"平滑"	"湖南溆浦县"	"40"	"耐寒,湿"	"--"	"2500"	"--"	"HONG XIAN CAI"	"*"	"全缘"	"--"	"V09C0140"	"湖南农科院蔬菜所"	"抗病"	"红"	"紫"	"--"	"14.5"	"Ⅱ9C0081"	"4上中播5中收"
"62"	"80-8-20"	"红苋菜(猪血苋)"	"--"	"皱缩"	"江苏"	"40"	"耐热,旱"	"卵圆"	"1000"	"--"	"HONG XIAN CAI (ZHU XUE XIAN )"	"*"	"全缘"	"--"	"V09C0141"	"江苏农科院蔬菜所"	"强"	"紫"	"紫"	"--"	"9.0"	"Ⅱ9C0076"	"3-8播4-9收"
"63"	"88-0-34"	"黄婆苋"	"--"	"平滑"	"江苏常州市"	"40"	"较耐热"	"卵圆"	"900"	"--"	"HUANG PO XIAN"	"品质佳"	"全缘"	"--"	"V09C0142"	"江苏农科院蔬菜所"	"较强"	"绿"	"绿"	"--"	"20.0"	"Ⅱ9C0145"	"35-510"
"64"	"79-0-7"	"青苋"	"--"	"皱缩"	"江苏常州市"	"35"	"耐热,旱"	"长卵"	"1250"	"--"	"QING XIAN"	"*"	"全缘"	"--"	"V09C0143"	"江苏农科院蔬菜所"	"强"	"绿"	"绿"	"--"	"18.0"	"Ⅱ9C0098"	"3下-8上播5-9收"
"65"	"Ⅱ9C0011"	"红苋"	"矮生"	"微皱"	"江西萍乡市"	"60"	"强"	"长卵"	"625"	"无"	"HONG XIAN"	"--"	"全缘"	"150.0"	"V09C0173"	"南昌市蔬菜所"	"强"	"紫"	"绿"	"半横展"	"24.0"	"Ⅱ9C0209"	"3下-4下"
"66"	"Ⅱ9C0008"	"半青红苋菜"	"--"	"较平滑"	"江西上饶市"	"60"	"耐热"	"卵圆"	"1250"	"--"	"BAN QING HONG XIAN CAI"	"*质柔嫩,品质佳"	"全缘"	"--"	"V09C0174"	"南昌市蔬菜所"	"抗病较强"	"深红"	"浅红"	"--"	"26.0"	"Ⅱ9C0104"	"3下-6播5下-7收"
"67"	"Ⅱ9C0009"	"红苋"	"--"	"较皱缩"	"江西上饶市"	"40"	"耐热"	"卵圆"	"1250"	"--"	"HONG XIAN"	"*"	"全缘"	"--"	"V09C0175"	"南昌市蔬菜所"	"较抗病虫"	"紫"	"紫"	"--"	"20.0"	"Ⅱ9C0200"	"5-6播6-8上收"
"68"	"ⅣC89M-2"	"绿苋菜"	"--"	"微皱"	"宁夏银川市"	"100"	"强"	"长卵"	"1750"	"--"	"LU XIAN CAI"	"--"	"全缘"	"--"	"V09C0176"	"宁夏农科院园艺所"	"强"	"绿"	"绿"	"--"	"33.6"	"Ⅱ9C0174"	"春夏秋均栽培"
