"id"	"统一编号"	"品种名称"	"高程"	"东经"	"北纬"	"原产地"	"保存单位"	"单位编号"	"籼粳"	"早中晚"	"水陆"	"粘糯"	"米色"	"米香"	"芒长"	"粒形状"	"粒长度"	"长宽比"	"颖尖色"	"颖壳色"	"颖毛有无"	"护颖长短"	"颖尖弯直"	"株高"	"出穗期"	"糙米率"	"精米率"	"垩白率"	"蛋白质"	"赖氨酸"	"总淀粉"	"直链淀粉"	"支链淀粉"	"糊化温度"	"胶稠度"	"苗瘟"	"白叶枯"	"纹枯病"	"褐稻虱"	"白背飞虱"	"芽期耐寒"	"苗期耐旱"	"耐盐"	"路径"	"稻区"
"426"	"10-01299"	"亚茎种"	"9"	"12008"	"3011"	"杭州市"	"Null"	"CN1484"	"粳"	"晚"	"水"	"粘"	"白"	"Null"	"无"	"阔卵"	"中"	"Null"	"红褐"	"褐斑秆黄"	"Null"	"Null"	"Null"	"157"	"9.08"	"81.5"	"73.7"		"6.6"	"0.19"	"80.15"	"22.2"	"66.9"	"6"	"32"	"6"	"5"		"9"	"9"		"1"	"9"	"浙江"	"2-1"
"427"	"10-01332"	"山谷"	"112"	"11902"	"2937"	"淳安县"	"Null"	"CN0466"	"粳"	"中"	"陆"	"粘"	"白"	"Null"	"无"	"短圆"	"短"	"Null"	"秆黄"	"秆黄"	"Null"	"Null"	"Null"	"124"	"8.04"					"0.433"	"74.12"		"56.5"			"3"	"9"			"9"				"浙江"	"2-1"
"428"	"10-01338"	"寿昌馒谷"	"46"	"11916"	"2928"	"建德县"	"Null"	"CN1527"	"粳"	"中"	"水"	"粘"	"白"	"Null"	"长"	"阔卵"	"中"	"Null"	"秆黄"	"褐斑秆黄"	"Null"	"Null"	"Null"	"129"	"8.15"	"80.4"	"72"		"13.57"	"0.475"	"73.62"	"18.8"	"63"	"6.2"	"54"	"7"	"9"		"7"	"9"	"3"		"9"	"浙江"	"2-1"
"429"	"10-01376"	"改良乌"		"12006"	"3052"	"吴兴县"	"Null"	"CN1087"	"粳"	"晚"	"水"	"粘"	"白"	"Null"	"长"	"椭圆"	"中"	"Null"	"红褐"	"褐斑秆黄"	"Null"	"Null"	"Null"	"128"	"8.3"											"7"	"5"		"7"	"9"	"7"	"9"	"9"	"浙江"	"2-1"
"430"	"10-01379"	"红壳老来青"		"12006"	"3052"	"吴兴县"	"Null"	"CN1017"	"粳"	"晚"	"水"	"粘"	"白"	"Null"	"短"	"椭圆"	"中"	"Null"	"红褐"	"赤褐斑块"	"Null"	"Null"	"Null"	"122"	"9.03"															"5"				"浙江"	"2-1"
"431"	"10-01401"	"小粳稻"		"12006"	"3052"	"吴兴县"	"Null"	"CN0971"	"粳"	"晚"	"水"	"粘"	"白"	"Null"	"无"	"阔卵"	"短"	"Null"	"秆黄"	"褐斑秆黄"	"Null"	"Null"	"Null"	"127"	"9.16"	"76.12"	"71.04"		"10.9"			"17.6"		"7"	"44"									"浙江"	"2-1"
"432"	"10-01459"	"小种"	"2"	"12101"	"3042"	"平湖县"	"Null"	"CN0633"	"粳"	"晚"	"水"	"粘"	"白"	"Null"	"短"	"阔卵"	"中"	"Null"	"红褐"	"褐斑秆黄"	"Null"	"Null"	"Null"	"143"	"9.05"	"81"	"73"		"11.13"	"0.397"	"76.34"	"22.5"	"62.3"	"7"	"39"	"7"	"4"		"9"	"7"	"3"			"浙江"	"2-1"
"433"	"10-01462"	"矮脚老来青"	"2"	"12044"	"3046"	"嘉兴市"	"Null"	"CN0935"	"粳"	"晚"	"水"	"粘"	"白"	"Null"	"短"	"阔卵"	"中"	"Null"	"红褐"	"褐斑秆黄"	"Null"	"Null"	"Null"	"122"	"9.04"	"83.98"	"73.96"		"9.63"			"17.8"		"7"	"69"									"浙江"	"2-1"
"434"	"10-01542"	"葡萄种"	"1"	"12054"	"3051"	"嘉善县"	"Null"	"CN1365"	"粳"	"晚"	"水"	"粘"	"白"	"Null"	"无"	"阔卵"	"中"	"Null"	"红褐"	"褐斑秆黄"	"Null"	"Null"	"Null"	"115"	"9.04"	"81.9"	"73.6"		"8.14"	"0.269"	"80.05"	"19.9"	"69"	"7"	"52"	"5"	"7"		"9"	"7"	"3"		"9"	"浙江"	"2-1"
"435"	"10-01564"	"瑞子糯"	"9"	"12008"	"3011"	"浙江省"	"Null"	"CN1649"	"粳"	"中"	"水"	"糯"	"白"	"Null"	"短"	"阔卵"	"中"	"Null"	"秆黄"	"褐斑秆黄"	"Null"	"Null"	"Null"	"147"	"8.15"	"79.4"	"71.3"		"7.17"	"0.224"	"78.79"	"21.2"	"66.3"	"7"	"85"	"7"	"7"		"7"	"9"		"9"	"9"	"浙江"	"2-1"
"436"	"11-00004"	"大粒白"	"215"	"11756"	"2956"	"黟县"	"安徽农科院"	"1499"	"籼"	"中"	"水"	"粘"	"白"	"Null"	"无"	"细长"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"8.2"											"5"	"5"		"9"	"7"			"9"	"安徽"	"2-1"
"437"	"11-00008"	"金包银"	"215"	"11756"	"2956"	"黟县"	"安徽农科院"	"791044"	"籼"	"中"	"水"	"粘"	"白"	"Null"	"无"	"细长"	"Null"	"Null"	"紫"	"褐斑"	"Null"	"Null"	"Null"		"8.21"	"79.4"	"71.9"		"8.64"	"0.29"	"78.88"	"24.4"	"63.2"	"5.1"	"51"	"5"	"7"		"9"	"9"	"5"		"7"	"安徽"	"2-1"
"438"	"11-00009"	"五Ｏ三"	"125"	"11826"	"2952"	"歙县"	"安徽农科院"	"175"	"籼"	"早"	"水"	"粘"	"白"	"Null"	"无"	"椭圆"	"Null"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.5"	"80.5"	"72"		"5.59"	"0.194"	"80.42"	"27.6"	"61.8"	"4.8"	"71"	"5"	"7"		"7"	"7"			"9"	"安徽"	"2-1"
"439"	"11-00012"	"铁杆青"	"125"	"11826"	"2952"	"歙县"	"安徽农科院"	"309"	"籼"	"早中"	"水"	"粘"	"白"	"Null"	"无"	"细长"	"长"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.26"	"79.8"	"71.7"		"5.3"	"0.186"	"81.04"	"28.6"	"61.4"	"4.9"	"53"	"5"	"5"		"7"	"5"			"9"	"安徽"	"2-1"
"440"	"11-00020"	"百日白"	"125"	"11826"	"2952"	"歙县"	"安徽农科院"	"1385"	"籼"	"中"	"水"	"粘"	"白"	"Null"	"无"	"细长"	"长"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.31"											"3"	"5"		"7"	"9"			"9"	"安徽"	"2-1"
"441"	"11-00028"	"迟花谷"	"125"	"11826"	"2952"	"歙县"	"安徽农科院"	"1356"	"籼"	"中"	"水"	"粘"	"白"	"Null"	"无"	"细长"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"8.1"	"80.6"	"72.9"		"6.81"	"0.257"	"80.46"	"25.1"	"64.3"	"5.4"	"60"	"5"	"9"		"9"	"9"			"9"	"安徽"	"2-1"
"442"	"11-00060"	"鸡脚扒"	"160"	"11835"	"3005"	"绩溪县"	"安徽农科院"	"2346"	"籼"	"中"	"水"	"粘"	"白"	"Null"	"无"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"8.7"	"79.9"	"72.2"		"8.3"	"0.319"	"79.19"	"25"	"63"	"5.1"	"29"	"5"	"5"		"9"	"9"			"3"	"安徽"	"2-1"
"443"	"11-00066"	"花谷"	"160"	"11835"	"3005"	"绩溪县"	"安徽农科院"	"791042"	"籼"	"中"	"水"	"粘"	"白"	"Null"	"无"	"椭圆"	"Null"	"Null"	"无"	"褐斑"	"Null"	"Null"	"Null"		"8.15"	"79.2"	"71.1"		"8.62"	"0.29"	"79.2"	"24.5"	"63.5"	"5.5"	"82"	"5"	"9"		"9"	"9"	"5"		"9"	"安徽"	"2-1"
"444"	"11-00118"	"冷水早"	"149"	"11810"	"2947"	"石棣"	"安徽农科院"	"336"	"籼"	"早中"	"水"	"粘"	"白"	"Null"	"无"	"细长"	"长"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.17"											"1"	"7"		"9"	"9"				"安徽"	"2-1"
"445"	"11-00139"	"阔叶早"		"11848"	"3018"	"至德"	"安徽农科院"	"363"	"籼"	"早中"	"水"	"粘"	"红"	"Null"	"无"	"细长"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.2"											"1"	"9"		"9"	"3"		"5"	"9"	"安徽"	"2-1"
"446"	"11-00250"	"迎秋糯"	"15"	"11820"	"3055"	"南陵县"	"安徽农科院"	"446"	"籼"	"早中"	"水"	"糯"	"白"	"Null"	"无"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.21"											"7"	"5"		"9"					"安徽"	"2-1"
"447"	"11-00272"	"大芒子早"	"27"	"11845"	"3057"	"宣城县"	"安徽农科院"	"400"	"籼"	"早中"	"水"	"粘"	"白"	"Null"	"中"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.13"	"79.7"	"71.4"		"7.58"	"0.284"	"79.19"	"28.7"	"28.3"	"4.9"	"84"	"5"	"7"		"7"	"3"			"9"	"安徽"	"2-1"
"448"	"11-00273"	"芝麻糯"	"27"	"11845"	"3057"	"宣城县"	"安徽农科院"	"444"	"籼"	"早中"	"水"	"糯"	"白"	"Null"	"无"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.24"											"7"	"3"		"9"					"安徽"	"2-1"
"449"	"11-00277"	"毛土地黾"	"27"	"11845"	"3057"	"宣城县"	"安徽农科院"	"111"	"籼"	"早"	"水"	"粘"	"白"	"Null"	"中"	"细长"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.1"	"78"	"70.6"		"8.48"	"0.319"	"77.92"	"27.5"	"59.1"	"5"	"63"	"1"	"9"		"9"	"5"			"9"	"安徽"	"2-1"
"450"	"11-00315"	"早尖"	"15"	"11831"	"3110"	"芜湖县"	"安徽农科院"	"123"	"籼"	"早"	"水"	"粘"	"白"	"Null"	"无"	"椭圆"	"长"	"Null"	"无"	"赤褐"	"Null"	"Null"	"Null"		"7.1"											"1"	"9"		"5"	"3"			"9"	"安徽"	"2-1"
"451"	"11-00339"	"老来乌"	"15"	"11831"	"3110"	"芜湖县"	"安徽农科院"	"1824"	"籼"	"中"	"水"	"粘"	"红"	"Null"	"无"	"细长"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.26"	"79.6"	"71.6"		"8.21"	"0.311"	"78.43"	"27.1"	"60"	"5"	"46"	"5"	"7"		"7"	"5"			"9"	"安徽"	"2-1"
"452"	"11-00345"	"傍秋糯"	"15"	"11747"	"3057"	"铜陵县"	"安徽农科院"	"134"	"籼"	"早"	"水"	"糯"	"白"	"Null"	"无"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.1"	"77.9"	"69.7"		"8.97"	"0.3"	"78.3"	"1.3"	"85.7"	"6.1"	"100"	"5"	"5"		"9"	"7"	"3"		"9"	"安徽"	"2-1"
"453"	"11-00348"	"傍秋糯"	"15"	"11747"	"3057"	"铜陵县"	"安徽农科院"	"134"	"籼"	"早"	"水"	"糯"	"白"	"Null"	"无"	"细长"	"Null"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.1"	"77.3"	"69.2"		"8.56"	"0.318"	"77.8"	"1.8"	"84.6"	"6"	"89"	"5"	"5"		"9"	"7"			"9"	"安徽"	"2-1"
"454"	"11-00368"	"红糯谷"	"21"	"11608"	"3010"	"宿松县"	"安徽农科院"	"443"	"籼"	"早中"	"水"	"糯"	"白"	"Null"	"无"	"细长"	"长"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.19"	"77.4"	"69.3"		"8.98"	"0.338"	"77.36"	"1.9"	"84.1"	"6"	"90"	"5"	"5"		"7"	"7"			"9"	"安徽"	"2-1"
"455"	"11-00372"	"鸡冠早"	"21"	"11608"	"3010"	"宿松市"	"安徽农科院"	"1914"	"籼"	"中"	"水"	"粘"	"白"	"Null"	"无"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.29"	"81"	"73.1"		"8.95"	"0.339"	"77.62"	"26.6"	"59.6"	"4.9"	"48"	"5"	"5"		"9"	"5"			"9"	"安徽"	"2-1"
"456"	"11-00378"	"南风早"	"23"	"11641"	"3008"	"望江县"	"安徽农科院"	"1810"	"籼"	"中"	"水"	"粘"	"白"	"Null"	"无"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.26"											"5"	"7"		"9"	"7"			"9"	"安徽"	"2-1"
"457"	"11-00382"	"早稻"	"16"	"11639"	"3024"	"怀宁县"	"安徽农科院"	"481"	"籼"	"早中"	"水"	"粘"	"白"	"Null"	"无"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.18"											"1"	"7"		"9"	"7"		"9"	"9"	"安徽"	"2-1"
"458"	"11-00387"	"巴毛草"	"16"	"11639"	"3024"	"怀宁县"	"安徽农科院"	"1604"	"籼"	"中"	"水"	"粘"	"白"	"Null"	"无"	"细长"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.26"											"1"	"7"		"9"	"9"		"5"	"9"	"安徽"	"2-1"
"459"	"11-00389"	"秋前白"	"16"	"11639"	"3024"	"怀宁县"	"安徽农科院"	"1223"	"籼"	"中"	"水"	"粘"	"红"	"Null"	"无"	"细长"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"8.6"											"1"	"7"		"9"	"5"		"9"	"9"	"安徽"	"2-1"
"460"	"11-00398"	"班毛占"	"39"	"11617"	"3026"	"太湖县"	"安徽农科院"	"508"	"籼"	"早中"	"水"	"粘"	"红"	"Null"	"无"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.31"	"81.7"	"73.1"		"7.06"	"0.252"	"80.19"	"27.3"	"61.8"	"5"	"88"	"1"	"7"		"5"	"5"			"9"	"安徽"	"2-1"
"461"	"11-00435"	"江西早"	"376"	"11621"	"3051"	"岳西县"	"安徽农科院"	"2309"	"籼"	"中"	"水"	"粘"	"白"	"Null"	"无"	"细长"	"长"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"8.4"											"3"	"7"		"7"	"9"				"安徽"	"2-1"
"462"	"11-00440"	"天坐早"	"43"	"11657"	"3103"	"桐城县"	"安徽农科院"	"301"	"籼"	"早中"	"水"	"粘"	"红"	"Null"	"无"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.19"	"79.8"	"71.8"		"11.83"	"0.416"	"74.62"	"21.4"	"61.5"	"5.1"	"83"	"5"	"9"		"7"	"7"	"5"		"5"	"安徽"	"2-1"
"463"	"11-00456"	"雁嘴红糯"	"13"	"11717"	"3114"	"庐江县"	"安徽农科院"	"2098"	"籼"	"中"	"水"	"糯"	"白"	"Null"	"无"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"8.1"											"5"	"5"		"9"					"安徽"	"2-1"
"464"	"11-00457"	"湖南西"	"13"	"11717"	"3114"	"庐江县"	"安徽农科院"	"1509"	"籼"	"中"	"水"	"糯"	"白"	"Null"	"无"	"细长"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.26"																			"安徽"	"2-1"
"465"	"11-00459"	"棉花糯"	"13"	"11717"	"3114"	"庐江县"	"安徽农科院"	"2314"	"籼"	"中"	"水"	"糯"	"白"	"Null"	"无"	"细长"	"长"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"8.4"	"77.8"	"69.9"		"8.51"	"0.3"	"77.81"	"0.7"	"85.8"	"6"	"97"	"3"	"5"		"9"	"7"			"9"	"安徽"	"2-1"
"466"	"11-00473"	"一炉香"	"17"	"11717"	"3153"	"合肥市"	"安徽农科院"	"284"	"籼"	"早"	"水"	"粘"	"白"	"Null"	"无"	"椭圆"	"长"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.21"	"80"	"71.6"		"8.21"	"0.291"	"78.57"	"25.9"	"61.4"	"5"	"84"	"1"	"7"		"9"	"1"			"7"	"安徽"	"2-1"
"467"	"11-00477"	"尖粒糯"	"17"	"11717"	"3153"	"合肥市"	"安徽农科院"	"286"	"籼"	"早"	"水"	"糯"	"白"	"Null"	"无"	"细长"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.24"	"77.5"	"69.4"		"8.73"	"0.305"	"77.76"	"0.6"	"85.8"	"6"	"98"	"5"	"5"		"9"	"9"			"9"	"安徽"	"2-1"
"468"	"11-00500"	"早糯"	"10"	"11822"	"3143"	"和县"	"安徽农科院"	"135"	"籼"	"早"	"水"	"糯"	"白"	"Null"	"无"	"细长"	"长"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.1"	"76.1"	"68.2"		"10.89"	"0.377"	"75.51"	"1.3"	"82.6"	"6.1"	"100"	"3"	"3"		"9"	"9"			"9"	"安徽"	"2-1"
"469"	"11-00502"	"早糯"	"10"	"11822"	"3143"	"和县"	"安徽农科院"	"268"	"籼"	"早"	"水"	"糯"	"白"	"Null"	"无"	"细长"	"Null"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.18"	"77.7"	"70.2"		"9.27"	"0.326"	"76.34"	"0.6"	"84.2"	"6"	"94"	"5"	"5"		"9"	"9"			"9"	"安徽"	"2-1"
"470"	"11-00505"	"早糯"	"10"	"11822"	"3143"	"和县"	"安徽农科院"	"268"	"籼"	"早中"	"水"	"糯"	"白"	"Null"	"无"	"细长"	"长"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.17"	"77.7"	"70.3"		"9.02"	"0.317"	"77.39"	"0.6"	"85.4"	"6"	"93"	"5"	"5"		"7"	"9"			"9"	"安徽"	"2-1"
"471"	"11-00512"	"五十糯"	"15"	"11807"	"3143"	"含山县"	"安徽农科院"	"438"	"籼"	"早中"	"水"	"糯"	"白"	"Null"	"无"	"椭圆"	"Null"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"		"7.12"	"78.5"	"70.6"		"11.15"	"0.383"	"75.16"	"1.2"	"82.3"	"6.7"	"100"	"5"	"7"		"9"	"5"			"9"	"安徽"	"2-1"
"472"	"11-00529"	"肥东塘稻"	"20"	"11728"	"3156"	"肥东县"	"Null"	"82623"	"粳"	"晚"	"水"	"粘"	"红"	"Null"	"中"	"阔卵"	"短"	"Null"	"紫褐"	"紫黑"	"Null"	"Null"	"Null"	"130"	"9.01"	"79.7"	"72.1"		"9.64"	"0.336"	"77.46"	"21.4"	"64.7"	"5.8"	"63"	"1"	"7"		"7"	"9"			"9"	"安徽"	"2-1"
"473"	"11-00559"	"瘪六斗"	"20"	"11819"	"3219"	"滁州市"	"Null"	"82650"	"粳"	"晚"	"水"	"糯"	"白"	"Null"	"无"	"阔卵"	"短"	"Null"	"秆黄"	"褐斑秆黄"	"Null"	"Null"	"Null"	"120"	"9.02"	"78.4"	"70.6"		"9.39"	"0.313"	"77.41"	"2.1"	"84"	"6"	"72"	"5"	"5"		"9"	"9"	"3"		"9"	"安徽"	"2-1"
"474"	"11-00598"	"休宁白"	"110"	"11743"	"2951"	"祁门县"	"Null"	"82127"	"籼"	"中"	"水"	"粘"	"红"	"Null"	"无"	"椭圆"	"中"	"Null"	"秆黄"	"秆黄"	"Null"	"Null"	"Null"	"130"	"8.22"	"79"	"71.2"		"9.86"	"0.324"	"76.03"	"22.6"	"61.9"	"5"	"40"	"5"	"5"		"9"	"7"	"9"		"7"	"安徽"	"2-1"
"475"	"11-00632"	"吊死鸡"	"30"	"11702"	"3032"	"安庆市"	"Null"	"82416"	"粳"	"中"	"水"	"糯"	"白"	"Null"	"无"	"阔卵"	"中"	"Null"	"秆黄"	"秆黄"	"Null"	"Null"	"Null"	"134"	"8.04"											"5"	"3"		"9"	"7"				"安徽"	"2-1"
"476"	"11-00663"	"长糯"	"376"	"11621"	"3051"	"岳西县"	"Null"	"82548"	"籼"	"晚"	"水"	"糯"	"白"	"Null"	"无"	"细长"	"长"	"Null"	"紫褐"	"秆黄"	"Null"	"Null"	"Null"	"145"	"9.1"	"77.9"	"70.3"		"9.22"	"0.297"	"77.31"	"1.6"	"84.3"	"7"	"100"	"5"	"5"		"9"	"7"	"5"		"9"	"安徽"	"2-1"
"477"	"11-00670"	"八月白"	"18"	"11701"	"3006"	"东至县"	"Null"	"82258"	"籼"	"中"	"水"	"粘"	"白"	"Null"	"无"	"椭圆"	"中"	"Null"	"秆黄"	"秆黄"	"Null"	"Null"	"Null"	"115"	"8.14"	"79.7"	"71.9"		"9.66"	"0.318"	"76.97"	"23"	"62.5"	"5.3"	"30"	"5"	"9"		"9"	"9"	"7"		"9"	"安徽"	"2-1"
"478"	"12-00001"	"麻粘"	"206"	"11449"	"2455"	"龙南县"	"江西农科院"	"442"	"籼"	"早中"	"水"	"粘"	"白"	"无"	"无"	"椭圆"	"Null"	"中"	"Null"	"褐"	"有"	"短"	"直"	"123"	"6.22"											"7"	"9"			"9"				"江西"	"2-3"
"479"	"12-00016"	"瘦田白"	"223"	"11621"	"2621"	"石城县"	"江西农科院"	"887"	"籼"	"晚中"	"水"	"粘"	"白"	"无"	"无"	"椭圆"	"长"	"中"	"无"	"褐"	"有"	"短"	"直"	"152"	"9.7"	"78.2"	"70.4"		"10.01"			"26.3"			"28"						"7"	"5"		"江西"	"2-3"
"480"	"12-00027"	"硬骨粘"	"100"	"11430"	"2620"	"遂川县"	"江西农科院"	"963"	"籼"	"晚中"	"水"	"粘"	"白"	"无"	"无"	"椭圆"	"中"	"中"	"无"	"金黄"	"有"	"短"	"直"	"126"	"8.3"											"3"	"5"			"7"				"江西"	"2-3"
"481"	"12-00059"	"崇仁高脚子"	"56"	"11606"	"2745"	"崇仁县"	"江西农科院"	"515"	"籼"	"早"	"水"	"粘"	"白"	"无"	"无"	"椭圆"	"中"	"中"	"无"	"黄"	"有"	"短"	"直"	"130"	"7.11"											"1"	"9"			"9"				"江西"	"2-3"
"482"	"12-00121"	"红谷"	"21"	"11613"	"2945"	"湖口县"	"江西农科院"	"820"	"籼"	"晚中"	"水"	"粘"	"白"	"无"	"无"	"椭圆"	"长"	"中"	"Null"	"黄"	"有"	"短"	"直"	"106"	"9.1"																			"江西"	"2-3"
"483"	"12-00136"	"白米谷"	"27"	"11556"	"2832"	"Null"	"江西农科院"	"530"	"籼"	"早中"	"水"	"粘"	"红"	"无"	"无"	"细长"	"长"	"中"	"无"	"Null"	"有"	"短"	"直"		"7.4"											"1"	"9"		"5"	"5"	"3"	"9"	"7"	"江西"	"2-3"
"484"	"12-00253"	"黄禾子"	"27"	"11556"	"2832"	"Null"	"江西农科院"	"848"	"籼"	"晚中"	"水"	"粘"	"白"	"无"	"无"	"椭圆"	"长"	"中"	"无"	"黄"	"有"	"短"	"直"	"115"	"8.25"											"8"	"5"		"5"	"7"	"7"		"5"	"江西"	"2-3"
"485"	"12-00312"	"大冬糯"	"288"	"11524"	"2509"	"安远县"	"Null"	"847"	"粳"	"晚"	"水"	"糯"	"白"	"无"	"无"	"椭圆"	"中"	"中"	"紫褐"	"褐"	"有"	"短"	"直"	"137"	"9.11"	"74.9"	"70.6"					"0.6"		"6.6"	"100"	"6"	"5"			"9"				"江西"	"2-3"
"486"	"12-00321"	"糯稻(红糯)"	"124"	"11500"	"2551"	"赣县"	"Null"	"430"	"籼"	"早"	"水"	"糯"	"红"	"无"	"无"	"椭圆"	"长"	"中"	"秆黄"	"秆黄"	"有"	"短"	"直"	"139"	"7.09"	"76.3"	"69.1"		"7.64"	"0.277"	"77"	"8.2"	"77.4"	"5.7"	"65"									"江西"	"2-3"
"487"	"12-00328"	"赣县大禾子"	"124"	"11500"	"2551"	"赣县"	"Null"	"418"	"粳"	"早"	"水"	"粘"	"白"	"无"	"无"	"阔卵"	"中"	"宽"	"紫褐"	"秆黄"	"有"	"短"	"直"	"126"	"7.06"	"76.6"	"69.2"		"9.69"	"0.365"	"73.13"	"11.1"	"70.2"	"6"	"64"									"江西"	"2-3"
"488"	"12-00333"	"红糯"	"124"	"11500"	"2551"	"赣县"	"Null"	"424"	"粳"	"早"	"水"	"糯"	"红"	"无"	"无"	"椭圆"	"中"	"中"	"紫褐"	"秆黄"	"有"	"短"	"直"	"122"	"6.3"												"5"							"江西"	"2-3"
"489"	"12-00387"	"垭禾种"	"140"	"11521"	"2620"	"兴国县"	"Null"	"B.0945"	"籼"	"晚"	"水"	"粘"	"白、红"	"无"	"无"	"椭圆"	"中"	"中"	"秆黄"	"褐斑秆黄"	"有"	"短"	"直"	"156"	"8.3"	"79.9"	"71.6"		"9.93"	"0.337"	"76.22"	"24.7"	"60"	"6.1"	"43"		"7"		"7"	"5"				"江西"	"2-3"
"490"	"12-00405"	"三秆粘"	"100"	"11430"	"2620"	"遂川县"	"Null"	"108"	"籼"	"晚"	"水"	"糯"	"白"	"无"	"无"	"细长"	"长"	"中"	"紫褐"	"秆黄"	"有"	"短"	"直"	"123"	"8.15"											"6"	"7"		"9"	"9"				"江西"	"2-3"
"491"	"12-00410"	"桂花糯"	"100"	"11430"	"2620"	"遂川县"	"Null"	"144"	"粳"	"晚"	"水"	"糯"	"白"	"无"	"无"	"椭圆"	"中"	"宽"	"紫褐"	"秆黄"	"有"	"短"	"直"	"126"	"8.29"	"76.8"	"69.8"					"0.8"		"7"	"92"	"7"	"7"			"9"				"江西"	"2-3"
"492"	"12-00418"	"大糯"	"267"	"11357"	"2642"	"宁冈县"	"Null"	"1339"	"粳"	"晚"	"水"	"糯"	"红"	"无"	"无"	"椭圆"	"中"	"宽"	"紫褐"	"灰褐"	"有"	"短"	"直"	"104"	"9.2"												"5"		"9"	"7"				"江西"	"2-3"
"493"	"12-00436"	"长心糯"	"45"	"11508"	"2713"	"吉水县"	"Null"	"1015"	"籼"	"晚"	"水"	"糯"	"白"	"Null"	"无"	"细长"	"长"	"Null"	"紫褐"	"秆黄"	"Null"	"Null"	"Null"	"132"	"8.18"																			"江西"	"2-3"
"494"	"12-00438"	"粘谷糯"	"43"	"11509"	"2734"	"峡江县"	"Null"	"110"	"籼"	"中"	"水"	"糯"	"白"	"无"	"无"	"椭圆"	"特长"	"中"	"红褐"	"秆黄"	"有"	"短"	"直"	"132"	"8.08"	"74.7"	"69.6"					"2.2"		"6"	"83"	"6"			"9"	"9"				"江西"	"2-3"
"495"	"12-00440"	"占谷糯"	"43"	"11509"	"2734"	"峡江县"	"Null"	"180"	"籼"	"晚"	"水"	"糯"	"白"	"无"	"无"	"细长"	"长"	"中"	"秆黄"	"秆黄"	"有"	"短"	"直"	"129"	"8.14"											"6"	"5"			"7"				"江西"	"2-3"
"496"	"12-00449"	"香禾子"	"62"	"11455"	"2648"	"泰和县"	"Null"	"B.0816"	"粳"	"中"	"水"	"粘"	"白"	"无"	"无"	"椭圆"	"中"	"宽"	"红褐"	"秆黄"	"有"	"短"	"直"	"128"	"7.2"											"3"	"5"		"9"	"9"				"江西"	"2-3"
"497"	"12-00456"	"丝毛红"	"95"	"11632"	"2713"	"南丰县"	"Null"	"884"	"籼"	"晚"	"水"	"粘"	"红"	"无"	"无"	"椭圆"	"长"	"中"	"秆黄"	"秆黄"	"有"	"短"	"直"	"145"	"8.27"	"75.6"	"68.4"		"9.04"	"0.332"	"75.8"	"24.3"	"59.9"	"4.3"	"33"									"江西"	"2-3"
