"id"	"科名"	"可溶固形物"	"品种名称"	"省"	"原产地"	"可食率"	"外观评价"	"内质评价"	"维生素C"	"种子数"	"风味"	"特异及用途"	"柠檬酸"	"单果重评价"	"果实成熟期"	"肉质"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"粗细"	"总糖"	"果汁"
"244"	"Rutaceae(芸香科)"	"9.90"	"黄岩碰柑"	"浙江"	"浙江黄岩"	"65.36"	"较好"	"中上"	"30.07"	"16.0"	"酸甜,较浓,微香"	"鲜食"	"0.58"	"中小"	"12月上中"	"脆嫩"	"中"	"Citrus reticulata(碰柑)"	"GJLR0343"	"HUANG YAN PENG GAN"	"141.8"	"Citrus(柑橘属)"	"橙"	"较细"	"8.66"	"36.60"
"245"	"Rutaceae(芸香科)"	"9.30"	"龟井(宜昌)"	"湖北"	"湖北宜昌"	"73.77"	"好"	"上"	"29.43"	"--"	"偏甜"	"早熟,丰产,鲜食"	"0.47"	"中"	"10月上中"	"柔软"	"早"	"--"	"GJLR0344"	"GUI JING (YI CHANG )"	"193.0"	"Citrus(柑橘属)"	"浅橙"	"中"	"7.51"	"51.15"
"246"	"Rutaceae(芸香科)"	"10.50"	"马屎桔"	"广东"	"广东杨村"	"54.87"	"差"	"下"	"28.57"	"5.3"	"酸,味淡"	"砧木"	"2.10"	"很小"	"11月中下"	"柔软"	"中"	"--"	"GJLR0345"	"MA SHI JIE"	"26.5"	"Citrus(柑橘属)"	"橙"	"粗"	"7.35"	"34.92"
"247"	"Rutaceae(芸香科)"	"11.10"	"温杂1-3-3"	"四川"	"四川重庆"	"73.29"	"中"	"中"	"28.09"	"10.5"	"甜酸,较浓"	"--"	"1.59"	"小"	"12月上"	"细软"	"中"	"Citrus unshiu Marc.(温州蜜橘)"	"GJLR0346"	"WEN ZA 1-3-3"	"56.0"	"Citrus(柑橘属)"	"浅橙"	"中"	"8.70"	"54.34"
"248"	"Rutaceae(芸香科)"	"9.80"	"荔枝柑"	"广东"	"广东"	"66.77"	"中"	"下"	"31.84"	"2.4"	"甜酸带苦,微香"	"--"	"1.21"	"中"	"11月下-12月上"	"柔软"	"中"	"--"	"GJLR0347"	"LI ZHI GAN"	"172.0"	"Citrus(柑橘属)"	"浅橙"	"较细"	"8.08"	"43.80"
"249"	"Rutaceae(芸香科)"	"8.10"	"桃叶柑"	"--"	"--"	"60.93"	"较好"	"--"	"24.97"	"15.6"	"酸甜,味淡"	"--"	"2.04"	"很小"	"11月下"	"嫩软"	"中"	"--"	"GJLR0348"	"TAO YE GAN"	"43.0"	"Citrus(柑橘属)"	"橙"	"较细"	"5.50"	"44.65"
"250"	"Rutaceae(芸香科)"	"9.43"	"扁红香柑"	"四川"	"四川江津"	"65.10"	"中"	"中"	"21.49"	"11.1"	"酸甜,味淡"	"--"	"0.51"	"小"	"12月上中"	"较嫩"	"中"	"--"	"GJLR0349"	"BIAN HONG XIANG GAN"	"71.9"	"Citrus(柑橘属)"	"红"	"细"	"8.03"	"45.77"
"251"	"Rutaceae(芸香科)"	"8.60"	"本地广桔"	"浙江"	"浙江黄岩"	"62.36"	"中"	"中下"	"28.96"	"4.4"	"酸甜,味淡"	"--"	"1.18"	"中大"	"11月下-12月上"	"粗"	"中"	"--"	"GJLR0350"	"BEN DI GUANG JIE"	"213.8"	"Citrus(柑橘属)"	"橙"	"粗"	"7.29"	"39.62"
"252"	"Rutaceae(芸香科)"	"9.00"	"加纳酸桔"	"国外"	"摩洛哥"	"60.53"	"差"	"下"	"25.11"	"11.2"	"酸,味淡"	"砧木"	"2.11"	"很小"	"12月上"	"柔软"	"中"	"--"	"GJLR0351"	"JIA NA SUAN JIE"	"38.5"	"Citrus(柑橘属)"	"红"	"粗"	"5.75"	"40.41"
"253"	"Rutaceae(芸香科)"	"9.07"	"越南桔(似丹桔)"	"国外"	"越南"	"62.89"	"较差"	"下"	"19.50"	"16.6"	"酸,味淡"	"砧木"	"2.06"	"小"	"12月上"	"较粗"	"中"	"--"	"GJLR0352"	"YUE NAN JIE (SI DAN JIE )"	"56.4"	"Citrus(柑橘属)"	"橙"	"粗"	"6.34"	"39.87"
