"id"	"蚜害病评价"	"异亮氨酸"	"酩氨酸"	"样品类型"	"花色"	"单荚粒数"	"全生育日数"	"叶斑病级"	"支链淀粉"	"总淀粉"	"丙氨酸"	"锈病指数"	"译名"	"叶斑病指数"	"荚色"	"单株产量"	"粒色"	"色氨酸"	"苏氨酸"	"属名"	"粗脂肪"	"胱氨酸"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"天冬氨酸"	"蛋氨酸"	"谷氨酸"	"分枝数"	"百粒重"	"叶斑病评价"	"熟期抗旱"	"粒形"	"成熟期"	"粗蛋白"	"直链淀粉"	"省"	"组氨酸"	"库编号"	"品种名称"	"锈病严重度"	"脐环色"	"保存编号"	"学名"	"锈病普遍率"	"备注"	"播种期"	"种子来源"	"原产地"	"脯氨酸"	"株高"	"芽期抗旱"	"单株荚数"	"保存单位"	"芽期耐盐"	"缬氨酸"	"统一编号"	"锈病评价"	"蚜害病级"	"苯丙氨酸"	"结荚习性"	"亮氨酸"	"荚长"	"总和"	"生长习性"	"精氨酸"	"科名"	"苗期耐盐"
"881"	"--"	"--"	"--"	"地方"	"紫"	"7.6"	"93"	"--"	"--"	"--"	"--"	"--"	"HUA JIANG DOU"	"--"	"黄白"	"11.3"	"橙底褐花"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"1.4"	"14.2"	"--"	"--"	"肾形"	"8.20"	"--"	"--"	"山西"	"--"	"I2C01748"	"花豇豆"	"--"	"黑环"	"80-244"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.19"	"--"	"五寨县"	"--"	"105.0"	"--"	"10.5"	"山西省农科院品资所"	"--"	"--"	"I0002063"	"--"	"--"	"--"	"无限"	"--"	"11.4"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
"882"	"--"	"--"	"--"	"地方"	"紫"	"8.5"	"118"	"--"	"--"	"--"	"--"	"--"	"HONG JIANG DOU"	"--"	"黄"	"11.0"	"橙底褐花"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"3.5"	"17.5"	"--"	"--"	"肾形"	"9.14"	"--"	"--"	"山西"	"--"	"I2C02268"	"红豇豆"	"--"	"棕环"	"80-247"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.19"	"--"	"榆次县"	"--"	"122.0"	"--"	"7.4"	"山西省农科院品资所"	"--"	"--"	"I0002064"	"--"	"--"	"--"	"无限"	"--"	"13.4"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
"883"	"--"	"--"	"--"	"地方"	"紫"	"10.6"	"112"	"--"	"--"	"--"	"--"	"--"	"JIANG DOU"	"--"	"黄"	"32.6"	"橙底褐花"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"3.4"	"12.5"	"--"	"--"	"肾形"	"9.30"	"--"	"--"	"山西"	"--"	"--"	"豇豆"	"--"	"黑环"	"80-262"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.14"	"--"	"灵石县"	"--"	"63.0"	"--"	"24.6"	"山西省农科院品资所"	"--"	"--"	"I0002065"	"--"	"--"	"--"	"无限"	"--"	"12.6"	"--"	"直立"	"--"	"Leguminosae(豆科)"	"--"
"884"	"--"	"--"	"--"	"地方"	"紫"	"7.4"	"115"	"--"	"--"	"--"	"--"	"--"	"JIANG LU DOU"	"--"	"--"	"19.9"	"橙底褐花"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"15.4"	"--"	"--"	"肾形"	"9.08"	"--"	"--"	"山西"	"--"	"I2C02288"	"豇绿豆"	"--"	"--"	"644"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.16"	"--"	"介休县"	"--"	"161.0"	"--"	"17.4"	"山西省农科院品资所"	"--"	"--"	"I0002066"	"--"	"--"	"--"	"无限"	"--"	"11.9"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
"885"	"--"	"--"	"--"	"地方"	"紫"	"8.3"	"118"	"--"	"--"	"--"	"--"	"--"	"DA JIANG DOU"	"--"	"黄"	"8.8"	"橙底褐花"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"5.0"	"14.6"	"--"	"--"	"肾形"	"9.14"	"--"	"--"	"山西"	"--"	"--"	"大豇豆"	"--"	"棕环"	"80-256"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.19"	"--"	"介休县"	"--"	"146.0"	"--"	"6.3"	"山西省农科院品资所"	"--"	"--"	"I0002067"	"--"	"--"	"--"	"无限"	"--"	"13.0"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
"886"	"--"	"--"	"--"	"地方"	"紫"	"9.7"	"112"	"--"	"--"	"--"	"--"	"--"	"JIANG DOU"	"--"	"黄"	"11.9"	"橙底褐花"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"0.6"	"15.0"	"--"	"--"	"肾形"	"9.30"	"--"	"--"	"山西"	"--"	"I2C02252"	"豇豆"	"--"	"黑环"	"80-282"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.14"	"--"	"柳林县"	"--"	"108.0"	"--"	"8.2"	"山西省农科院品资所"	"--"	"--"	"I0002068"	"--"	"--"	"--"	"无限"	"--"	"13.6"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
"887"	"HS"	"--"	"--"	"地方"	"紫"	"5.6"	"117"	"9"	"--"	"48.97"	"--"	"100.0"	"BAI JIANG DOU"	"100.0"	"黄"	"9.3"	"白"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.4"	"17.5"	"HS"	"--"	"肾形"	"9.20"	"21.22"	"11.44"	"内蒙古"	"--"	"I2C02093"	"白豇豆"	"--"	"黄"	"I131"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.08"	"--"	"内蒙古农业科学院"	"--"	"91.0"	"--"	"9.5"	"内蒙古农科院原子能所"	"--"	"--"	"I0002069"	"HS"	"9"	"--"	"无限"	"--"	"10.3"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"--"
"888"	"HS"	"--"	"--"	"地方"	"紫"	"5.5"	"129"	"9"	"--"	"47.96"	"--"	"100.0"	"BAI JIANG DOU"	"100.0"	"白"	"7.6"	"白"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.6"	"17.9"	"HS"	"--"	"肾形"	"9.14"	"20.67"	"10.91"	"内蒙古"	"--"	"--"	"白豇豆"	"--"	"黄"	"I142"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.08"	"--"	"达拉特旗"	"--"	"99.0"	"--"	"7.7"	"内蒙古农科院原子能所"	"--"	"--"	"I0002070"	"HS"	"9"	"--"	"无限"	"--"	"12.1"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"--"
"889"	"HS"	"--"	"--"	"地方"	"紫"	"5.7"	"129"	"9"	"--"	"47.83"	"--"	"100.0"	"BAI JIANG DOU"	"100.0"	"黄"	"6.4"	"白"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.0"	"21.2"	"HS"	"--"	"肾形"	"9.14"	"20.32"	"8.01"	"内蒙古"	"--"	"I2C02094"	"白豇豆"	"--"	"黄"	"I137"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.08"	"--"	"临河市"	"--"	"101.0"	"--"	"5.3"	"内蒙古农科院原子能所"	"--"	"--"	"I0002071"	"HS"	"9"	"--"	"无限"	"--"	"12.0"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"--"
"890"	"HS"	"--"	"--"	"地方"	"紫"	"4.4"	"124"	"9"	"--"	"48.67"	"--"	"100.0"	"BAI JIANG DOU"	"100.0"	"紫"	"10.8"	"白"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.6"	"24.8"	"HS"	"--"	"肾形"	"9.09"	"20.96"	"9.85"	"内蒙古"	"--"	"I2C02095"	"白豇豆"	"--"	"--"	"I139"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.08"	"--"	"临河市"	"--"	"98.0"	"--"	"10.0"	"内蒙古农科院原子能所"	"--"	"--"	"I0002072"	"HS"	"9"	"--"	"无限"	"--"	"14.8"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
