"id"	"科名"	"保存编号"	"品种名称"	"类型"	"省"	"生育日数"	"分枝数"	"出油率"	"生理成熟期"	"开花期"	"播种期"	"学名"	"统一编号"	"出苗期"	"出麻率"	"属名"	"抗逆性"	"种子发芽"	"干茎产量"	"种皮色"	"工艺长度"	"单株朔果数"	"单株生产力"	"库编号"	"纤维产量"	"保存单位"	"原产地"	"种子来源"	"花色"	"品种代号"	"纤维强度"	"备注"	"原茎产量"	"抗病性"	"纤维号"	"千粒重"	"分茎数"	"译名"	"抗倒伏性"	"抗旱性"	"工艺成熟期"	"株高"	"种子产量"
"1251"	"Linaceae(亚麻科)"	"220"	"262527"	"兼用"	"国外"	"104"	"4.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001820"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"黄"	"47.0"	"18.30"	"--"	"I3B00768"	"--"	"河北坝上农科所"	"ISRAEL"	"美国"	"白"	"2269"	"--"	"--"	"--"	"抗"	"--"	"5.69"	"0.3"	"262527"	"--"	"--"	"--"	"61.0"	"--"
"1252"	"Linaceae(亚麻科)"	"221"	"262528"	"兼用"	"国外"	"83"	"3.40"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001821"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"36.0"	"30.40"	"--"	"I3B00769"	"--"	"河北坝上农科所"	"HUNGARYR"	"美国"	"兰"	"2270"	"--"	"--"	"--"	"抗"	"--"	"4.98"	"1.1"	"262528"	"--"	"--"	"--"	"59.0"	"--"
"1253"	"Linaceae(亚麻科)"	"222"	"REDWOOD×BIRIO 33-6"	"兼用"	"国外"	"87"	"3.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001822"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"33.0"	"17.10"	"--"	"I3B00770"	"--"	"河北坝上农科所"	"MINNESOTA"	"美国"	"兰"	"2271"	"--"	"--"	"--"	"高抗"	"--"	"6.12"	"0.2"	"REDWOOD×BIRIO 33-6"	"--"	"--"	"--"	"54.0"	"--"
"1254"	"Linaceae(亚麻科)"	"223"	"GILGIT"	"兼用"	"国外"	"96"	"3.20"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001823"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"40.0"	"50.50"	"--"	"I3B00771"	"--"	"河北坝上农科所"	"PAKISTAN"	"美国"	"兰"	"2284"	"--"	"--"	"--"	"抗"	"--"	"6.68"	"0.6"	"GILGIT"	"--"	"--"	"--"	"63.0"	"--"
"1255"	"Linaceae(亚麻科)"	"224"	"NORSTAR"	"兼用"	"国外"	"85"	"3.20"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001824"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"30.0"	"44.10"	"--"	"I3B00772"	"--"	"河北坝上农科所"	"MINNESOTA"	"美国"	"兰"	"2290"	"--"	"--"	"--"	"抗"	"--"	"5.17"	"0.8"	"NORSTAR"	"--"	"--"	"--"	"53.0"	"--"
"1256"	"Linaceae(亚麻科)"	"225"	"P.I.281458"	"油用"	"国外"	"88"	"3.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001825"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"33.0"	"16.80"	"--"	"I3B00773"	"--"	"河北坝上农科所"	"ARGENTINA"	"美国"	"兰"	"2294-1"	"--"	"--"	"--"	"高抗"	"--"	"6.22"	"1.5"	"P.I.281458"	"--"	"--"	"--"	"47.0"	"--"
"1257"	"Linaceae(亚麻科)"	"226"	"P.I.281459"	"油用"	"国外"	"88"	"3.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001826"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"黄"	"24.0"	"30.60"	"--"	"I3B00774"	"--"	"河北坝上农科所"	"ARGENTINA"	"美国"	"白"	"2295"	"--"	"--"	"--"	"感"	"--"	"5.62"	"1.0"	"P.I.281459"	"--"	"--"	"--"	"42.0"	"--"
"1258"	"Linaceae(亚麻科)"	"227"	"DANESE 129B PI2766"	"油用"	"国外"	"98"	"3.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001827"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"26.0"	"19.80"	"--"	"I3B00775"	"--"	"河北坝上农科所"	"GREECE"	"美国"	"兰"	"2319"	"--"	"--"	"--"	"高感"	"--"	"5.02"	"1.6"	"DANESE 129B PI2766"	"--"	"--"	"--"	"44.0"	"--"
"1259"	"Linaceae(亚麻科)"	"228"	"GIZA"	"油用"	"国外"	"85"	"4.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001828"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"24.0"	"26.10"	"--"	"I3B00776"	"--"	"河北坝上农科所"	"GREECE"	"美国"	"兰"	"2320"	"--"	"--"	"--"	"高感"	"--"	"5.89"	"1.2"	"GIZA"	"--"	"--"	"--"	"43.0"	"--"
"1260"	"Linaceae(亚麻科)"	"229"	"IRAK"	"油用"	"国外"	"98"	"2.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001829"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"25.0"	"37.60"	"--"	"I3B00777"	"--"	"河北坝上农科所"	"GREECE"	"美国"	"兰"	"2325"	"--"	"--"	"--"	"高感"	"--"	"5.36"	"1.9"	"IRAK"	"--"	"--"	"--"	"45.0"	"--"
