"id"	"科名"	"保存编号"	"品种名称"	"类型"	"省"	"生育日数"	"分枝数"	"出油率"	"生理成熟期"	"开花期"	"播种期"	"学名"	"统一编号"	"出苗期"	"出麻率"	"属名"	"抗逆性"	"种子发芽"	"干茎产量"	"种皮色"	"工艺长度"	"单株朔果数"	"单株生产力"	"库编号"	"纤维产量"	"保存单位"	"原产地"	"种子来源"	"花色"	"品种代号"	"纤维强度"	"备注"	"原茎产量"	"抗病性"	"纤维号"	"千粒重"	"分茎数"	"译名"	"抗倒伏性"	"抗旱性"	"工艺成熟期"	"株高"	"种子产量"
"132"	"Linaceae(亚麻科)"	"1331"	"10419/46"	"油用"	"国外"	"94"	"4.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002931"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"22.0"	"18.30"	"--"	"I3B01835"	"--"	"河北坝上农科所"	"ARGENT INA"	"美国"	"兰"	"1257"	"--"	"--"	"--"	"抗"	"--"	"3.13"	"1.5"	"10419/46"	"--"	"--"	"--"	"42.0"	"--"
"133"	"Linaceae(亚麻科)"	"1332"	"REDWOOD"	"油用"	"国外"	"120"	"3.90"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002932"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"28.0"	"21.90"	"--"	"I3B01836"	"--"	"河北坝上农科所"	"MINNESOTA"	"美国"	"兰"	"1130"	"--"	"--"	"--"	"抗"	"--"	"8.75"	"0.6"	"REDWOOD"	"--"	"--"	"--"	"45.0"	"--"
"134"	"Linaceae(亚麻科)"	"1333"	"JANE"	"兼用"	"国外"	"85"	"4.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002933"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"40.0"	"25.30"	"--"	"I3B01837"	"--"	"河北坝上农科所"	"MINNESOTA"	"美国"	"白"	"420"	"--"	"--"	"--"	"抗"	"--"	"4.67"	"0.8"	"JANE"	"--"	"--"	"--"	"60.0"	"--"
"135"	"Linaceae(亚麻科)"	"1334"	"KENYA"	"油用"	"国外"	"81"	"2.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002934"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"30.0"	"25.20"	"--"	"I3B01838"	"--"	"河北坝上农科所"	"AFRICA"	"美国"	"浅兰"	"709"	"--"	"--"	"--"	"高抗"	"--"	"4.74"	"1.6"	"KENYA"	"--"	"--"	"--"	"44.0"	"--"
"136"	"Linaceae(亚麻科)"	"1335"	"N.D.NUR.NO.1740"	"兼用"	"国外"	"94"	"3.30"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002935"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"27.0"	"14.50"	"--"	"I3B01839"	"--"	"河北坝上农科所"	"GERMANY"	"美国"	"浅兰"	"342-1"	"--"	"--"	"--"	"抗"	"--"	"6.46"	"0.9"	"N.D.NUR.NO.1740"	"--"	"--"	"--"	"53.0"	"--"
"137"	"Linaceae(亚麻科)"	"1336"	"10443/46"	"兼用"	"国外"	"93"	"4.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002936"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"30.0"	"38.00"	"--"	"I3B01840"	"--"	"河北坝上农科所"	"ARGENT INA"	"美国"	"浅兰"	"1277"	"--"	"--"	"--"	"抗"	"--"	"5.78"	"0.4"	"10443/46"	"--"	"--"	"--"	"46.0"	"--"
"138"	"Linaceae(亚麻科)"	"1337"	"10485/46"	"兼用"	"国外"	"92"	"3.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002937"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"28.0"	"19.40"	"--"	"I3B01841"	"--"	"河北坝上农科所"	"ARGENT INA"	"美国"	"兰"	"1314"	"--"	"--"	"--"	"抗"	"--"	"5.34"	"0.2"	"10485/46"	"--"	"--"	"--"	"49.0"	"--"
"139"	"Linaceae(亚麻科)"	"1338"	"10417/46"	"兼用"	"国外"	"100"	"3.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002938"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"35.0"	"28.60"	"--"	"I3B01842"	"--"	"河北坝上农科所"	"ARGENT INA"	"美国"	"兰"	"1255"	"--"	"--"	"--"	"高抗"	"--"	"6.36"	"1.3"	"10417/46"	"--"	"--"	"--"	"60.0"	"--"
"140"	"Linaceae(亚麻科)"	"1339"	"P.I.170511"	"兼用"	"国外"	"92"	"4.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002939"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"47.0"	"42.60"	"--"	"I3B01843"	"--"	"河北坝上农科所"	"TURKEY"	"美国"	"兰"	"1368"	"--"	"--"	"--"	"抗"	"--"	"6.12"	"1.0"	"P.I.170511"	"--"	"--"	"--"	"65.0"	"--"
"141"	"Linaceae(亚麻科)"	"1340"	"ARGENTINE SELECTION"	"兼用"	"国外"	"94"	"3.40"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002940"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"30.0"	"31.40"	"--"	"I3B01844"	"--"	"河北坝上农科所"	"MINNESOTA"	"美国"	"兰"	"466"	"--"	"--"	"--"	"感"	"--"	"5.98"	"1.4"	"ARGENTINE SELECTION"	"--"	"--"	"--"	"50.0"	"--"
"142"	"Linaceae(亚麻科)"	"1341"	"BUDA80×CB GOLD×RIO"	"兼用"	"国外"	"87"	"2.40"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002941"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"22.0"	"22.90"	"--"	"I3B01845"	"--"	"河北坝上农科所"	"NORTH DAK"	"美国"	"浅兰"	"1044"	"--"	"--"	"--"	"感"	"--"	"6.47"	"0.5"	"BUDA80×CB GOLD×RIO"	"--"	"--"	"--"	"45.0"	"--"
"143"	"Linaceae(亚麻科)"	"1342"	"P.I.250372"	"油用"	"国外"	"81"	"3.30"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002942"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"22.0"	"21.20"	"--"	"I3B01846"	"--"	"河北坝上农科所"	"PAKISTAN"	"美国"	"兰"	"1940"	"--"	"--"	"--"	"感"	"--"	"5.44"	"--"	"P.I.250372"	"--"	"--"	"--"	"37.0"	"--"
"144"	"Linaceae(亚麻科)"	"1343"	"88003 FIBER"	"兼用"	"国外"	"94"	"5.30"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002943"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"41.0"	"22.80"	"--"	"I3B01847"	"--"	"河北坝上农科所"	"CF RES BR"	"美国"	"兰"	"1770"	"--"	"--"	"--"	"感"	"--"	"4.91"	"--"	"88003 FIBER"	"--"	"--"	"--"	"53.0"	"--"
"145"	"Linaceae(亚麻科)"	"1344"	"S.P.I.NO.229564"	"油用"	"国外"	"86"	"2.90"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002944"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"15.0"	"25.10"	"--"	"I3B01848"	"--"	"河北坝上农科所"	"YUGOLAVI"	"美国"	"兰"	"1679"	"--"	"--"	"--"	"感"	"--"	"4.17"	"2.0"	"S.P.I.NO.229564"	"--"	"--"	"--"	"31.0"	"--"
"146"	"Linaceae(亚麻科)"	"1345"	"P.I.250223"	"油用"	"国外"	"84"	"2.90"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002945"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"24.0"	"16.90"	"--"	"I3B01849"	"--"	"河北坝上农科所"	"PAKISTAN"	"美国"	"兰"	"1935"	"--"	"--"	"--"	"高感"	"--"	"5.37"	"--"	"P.I.250223"	"--"	"--"	"--"	"38.0"	"--"
"147"	"Linaceae(亚麻科)"	"1346"	"ITALIA ROMA"	"油用"	"国外"	"93"	"4.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002946"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"40.0"	"25.70"	"--"	"I3B01850"	"--"	"河北坝上农科所"	"ARGENT INA"	"美国"	"兰"	"1005-1"	"--"	"--"	"--"	"抗"	"--"	"5.62"	"0.4"	"ITALIA ROMA"	"--"	"--"	"--"	"50.0"	"--"
"148"	"Linaceae(亚麻科)"	"1347"	"10447/46"	"油用"	"国外"	"80"	"3.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002947"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"18.0"	"8.10"	"--"	"I3B01851"	"--"	"河北坝上农科所"	"ARGENT INA"	"美国"	"兰"	"1281"	"--"	"--"	"--"	"抗"	"--"	"5.87"	"0.6"	"10447/46"	"--"	"--"	"--"	"30.0"	"--"
"149"	"Linaceae(亚麻科)"	"1348"	"10460/46"	"油用"	"国外"	"87"	"2.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002948"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"16.0"	"12.40"	"--"	"I3B01852"	"--"	"河北坝上农科所"	"ARGENT INA"	"美国"	"兰"	"1292"	"--"	"--"	"--"	"抗"	"--"	"4.59"	"0.3"	"10460/46"	"--"	"--"	"--"	"49.0"	"--"
"150"	"Linaceae(亚麻科)"	"1349"	"P.I.167398"	"油用"	"国外"	"85"	"2.50"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002949"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"27.0"	"6.80"	"--"	"I3B01853"	"--"	"河北坝上农科所"	"TURKEY"	"美国"	"兰"	"1342"	"--"	"--"	"--"	"抗"	"--"	"6.23"	"0.6"	"P.I.167398"	"--"	"--"	"--"	"48.0"	"--"
"151"	"Linaceae(亚麻科)"	"1350"	"P.I.182227"	"油用"	"国外"	"84"	"4.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00002950"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"19.0"	"15.60"	"--"	"I3B01854"	"--"	"河北坝上农科所"	"TURKEY"	"美国"	"兰"	"1460"	"--"	"--"	"--"	"抗"	"--"	"4.59"	"0.4"	"P.I.182227"	"--"	"--"	"--"	"29.0"	"--"
"152"	"Linaceae(亚麻科)"	"--"	"关内二号"	"兼用"	"内蒙"	"87"	"6.50"	"37.29"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003245"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"48.5"	"24.40"	"0.91"	"I3B02371"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"295"	"--"	"--"	"--"	"高抗"	"--"	"4.68"	"0.3"	"GUAN NEI ER HAO"	"强"	"中"	"--"	"71.7"	"--"
"153"	"Linaceae(亚麻科)"	"--"	"关内16号"	"油用"	"内蒙"	"87"	"10.50"	"39.74"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003246"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"23.3"	"20.50"	"0.89"	"I3B02372"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"296"	"--"	"--"	"--"	"高抗"	"--"	"6.98"	"0.5"	"GUAN NEI 16 HAO"	"强"	"中"	"--"	"58.0"	"--"
"154"	"Linaceae(亚麻科)"	"--"	"关内18号"	"兼用"	"内蒙"	"87"	"4.00"	"37.72"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003247"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"53.0"	"23.30"	"0.60"	"I3B02373"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"297"	"--"	"--"	"--"	"高抗"	"--"	"4.00"	"0.3"	"GUAN NEI 18 HAO"	"强"	"中"	"--"	"75.3"	"--"
"155"	"Linaceae(亚麻科)"	"--"	"关内20号"	"油用"	"内蒙"	"87"	"5.00"	"38.47"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003248"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"30.0"	"24.60"	"0.94"	"I3B02374"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"深兰"	"298"	"--"	"--"	"--"	"高抗"	"--"	"7.00"	"0.4"	"GUAN NEI 20 HAO"	"强"	"中"	"--"	"52.4"	"--"
"156"	"Linaceae(亚麻科)"	"--"	"关内21号"	"油用"	"内蒙"	"87"	"4.40"	"38.72"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003249"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"32.9"	"20.10"	"0.91"	"I3B02375"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"299"	"--"	"--"	"--"	"高抗"	"--"	"6.96"	"0.3"	"GUAN NEI 21 HAO"	"强"	"中"	"--"	"51.3"	"--"
"157"	"Linaceae(亚麻科)"	"--"	"五寨2号"	"油用"	"内蒙"	"87"	"4.30"	"38.15"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003250"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"28.3"	"21.80"	"1.20"	"I3B02376"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"300"	"--"	"--"	"--"	"高抗"	"--"	"7.12"	"0.6"	"WU ZHAI 2 HAO"	"强"	"中"	"--"	"51.7"	"--"
"158"	"Linaceae(亚麻科)"	"--"	"五寨3号"	"油用"	"内蒙"	"87"	"5.00"	"38.15"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003251"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"36.9"	"25.30"	"1.06"	"I3B02377"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"301"	"--"	"--"	"--"	"高抗"	"--"	"6.14"	"0.2"	"WU ZHAI 3 HAO"	"强"	"强"	"--"	"61.8"	"--"
"159"	"Linaceae(亚麻科)"	"--"	"五寨4号"	"油用"	"内蒙"	"87"	"4.40"	"39.17"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003252"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"39.7"	"24.90"	"1.12"	"I3B02378"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"302"	"--"	"--"	"--"	"高抗"	"--"	"8.40"	"0.2"	"WU ZHAI 4 HAO"	"强"	"强"	"--"	"61.4"	"--"
"160"	"Linaceae(亚麻科)"	"--"	"五寨5号"	"油用"	"内蒙"	"87"	"4.40"	"38.03"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003253"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"30.3"	"26.50"	"1.00"	"I3B02379"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"303"	"--"	"--"	"--"	"高抗"	"--"	"7.48"	"0.1"	"WU ZHAI 5 HAO"	"强"	"强"	"--"	"55.3"	"--"
"161"	"Linaceae(亚麻科)"	"--"	"五寨17号"	"兼用"	"内蒙"	"87"	"4.10"	"39.12"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003254"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"29.6"	"23.70"	"1.09"	"I3B02380"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"304"	"--"	"--"	"--"	"高抗"	"--"	"7.50"	"0.5"	"WU ZHAI 17 HAO"	"强"	"强"	"--"	"64.2"	"--"
"162"	"Linaceae(亚麻科)"	"--"	"五寨19号"	"油用"	"内蒙"	"87"	"4.00"	"38.27"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003255"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"32.4"	"24.80"	"1.05"	"I3B02381"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"305"	"--"	"--"	"--"	"高抗"	"--"	"8.03"	"0.1"	"WU ZHAI 19 HAO"	"强"	"强"	"--"	"53.3"	"--"
"163"	"Linaceae(亚麻科)"	"--"	"五寨28号"	"油用"	"内蒙"	"87"	"4.00"	"37.56"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003256"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"36.4"	"25.20"	"1.00"	"I3B02382"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"306"	"--"	"--"	"--"	"高抗"	"--"	"7.56"	"0.4"	"WU ZHAI 28 HAO"	"强"	"强"	"--"	"56.0"	"--"
"164"	"Linaceae(亚麻科)"	"--"	"五寨29号"	"兼用"	"内蒙"	"87"	"3.40"	"38.62"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003257"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"41.6"	"27.60"	"0.60"	"I3B02383"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"307"	"--"	"--"	"--"	"高抗"	"--"	"7.15"	"0.1"	"WU ZHAI 29 HAO"	"强"	"强"	"--"	"72.1"	"--"
"165"	"Linaceae(亚麻科)"	"--"	"内亚二号"	"兼用"	"内蒙"	"108"	"4.30"	"42.26"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003273"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"55.7"	"10.20"	"0.65"	"I3B02399"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"323"	"--"	"--"	"--"	"抗"	"--"	"7.34"	"--"	"NEI YA ER HAO"	"强"	"强"	"--"	"68.9"	"--"
"166"	"Linaceae(亚麻科)"	"--"	"内亚四号"	"兼用"	"内蒙"	"96"	"3.50"	"43.10"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003274"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"34.1"	"10.30"	"0.49"	"I3B02400"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"324"	"--"	"--"	"--"	"抗"	"--"	"8.00"	"--"	"NEI YA SI HAO"	"强"	"强"	"--"	"42.5"	"--"
"167"	"Linaceae(亚麻科)"	"--"	"天亚六号"	"兼用"	"内蒙"	"88"	"4.70"	"42.20"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003275"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"58.8"	"12.50"	"0.67"	"I3B02401"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"325"	"--"	"--"	"--"	"高抗"	"--"	"7.30"	"--"	"TIAN YA LIU HAO"	"强"	"强"	"--"	"80.6"	"--"
"168"	"Linaceae(亚麻科)"	"--"	"定亚15号"	"油用"	"内蒙"	"87"	"4.20"	"38.24"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003276"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"49.4"	"9.60"	"0.41"	"I3B02402"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"326"	"--"	"--"	"--"	"高抗"	"--"	"7.00"	"0.2"	"DING YA 15 HAO"	"强"	"强"	"--"	"58.8"	"--"
"169"	"Linaceae(亚麻科)"	"--"	"定亚16号"	"油用"	"内蒙"	"87"	"3.60"	"40.86"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003277"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"48.3"	"8.50"	"0.45"	"I3B02403"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"深兰"	"327"	"--"	"--"	"--"	"高抗"	"--"	"8.14"	"0.1"	"DING YA 16 HAO"	"强"	"强"	"--"	"57.1"	"--"
"170"	"Linaceae(亚麻科)"	"--"	"定亚17号"	"油用"	"内蒙"	"87"	"3.50"	"40.76"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003278"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"45.9"	"8.90"	"0.42"	"I3B02404"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"深兰"	"328"	"--"	"--"	"--"	"高抗"	"--"	"7.36"	"0.1"	"DING YA 17 HAO"	"强"	"强"	"--"	"51.6"	"--"
"171"	"Linaceae(亚麻科)"	"--"	"宁亚10号"	"兼用"	"内蒙"	"112"	"3.90"	"39.40"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003326"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"45.2"	"23.60"	"1.00"	"I3B02452"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"376"	"--"	"--"	"--"	"高抗"	"--"	"8.36"	"0.3"	"NING YA 10 HAO"	"强"	"强"	"--"	"66.1"	"--"
"172"	"Linaceae(亚麻科)"	"--"	"宁亚20号"	"兼用"	"内蒙"	"112"	"4.40"	"39.93"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003327"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"44.6"	"26.00"	"1.02"	"I3B02453"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"377"	"--"	"--"	"--"	"抗"	"--"	"6.48"	"0.1"	"NING YA 20 HAO"	"强"	"强"	"--"	"65.3"	"--"
"173"	"Linaceae(亚麻科)"	"--"	"天亚2号"	"兼用"	"内蒙"	"108"	"4.70"	"39.70"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003336"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"45.5"	"25.50"	"1.05"	"I3B02462"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"386"	"--"	"--"	"--"	"抗"	"--"	"6.40"	"0.3"	"TIAN YA 2 HAO"	"强"	"强"	"--"	"66.2"	"--"
"174"	"Linaceae(亚麻科)"	"--"	"天亚五号"	"兼用"	"内蒙"	"112"	"4.20"	"39.30"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003337"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"45.4"	"26.60"	"1.03"	"I3B02463"	"--"	"内蒙古农科院"	"内蒙古农科院"	"--"	"兰"	"387"	"--"	"--"	"--"	"抗"	"--"	"6.40"	"0.1"	"TIAN YA WU HAO"	"强"	"强"	"--"	"66.6"	"--"
"175"	"Linaceae(亚麻科)"	"1351"	"P.I.194305"	"油用"	"国外"	"88"	"4.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003461"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"13.0"	"7.00"	"--"	"--"	"--"	"河北坝上农科所"	"ETHIOPIA"	"美国"	"兰"	"1502"	"--"	"--"	"--"	"感"	"--"	"2.41"	"0.3"	"P.I.194305"	"--"	"--"	"--"	"45.0"	"--"
"176"	"Linaceae(亚麻科)"	"1352"	"KAGALNITZ"	"兼用"	"国外"	"92"	"6.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003462"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"27.0"	"33.70"	"--"	"--"	"--"	"河北坝上农科所"	"RUSSIA"	"美国"	"兰"	"2239"	"--"	"--"	"--"	"感"	"--"	"5.86"	"0.4"	"KAGALNITZ"	"--"	"--"	"--"	"75.0"	"--"
"177"	"Linaceae(亚麻科)"	"1353"	"GOAR 183A"	"油用"	"国外"	"94"	"3.50"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003463"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"18.0"	"15.70"	"--"	"--"	"--"	"河北坝上农科所"	"CALIFORNI"	"美国"	"兰"	"2519"	"--"	"--"	"--"	"感"	"--"	"5.12"	"0.8"	"GOAR 183A"	"--"	"--"	"--"	"35.0"	"--"
"178"	"Linaceae(亚麻科)"	"1354"	"89-12"	"油用"	"国外"	"81"	"5.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003464"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"28.0"	"36.00"	"--"	"--"	"--"	"河北坝上农科所"	"西德"	"西德"	"兰"	"89-12"	"--"	"--"	"--"	"感"	"--"	"5.81"	"4.2"	"89-12"	"--"	"--"	"--"	"45.0"	"--"
"179"	"Linaceae(亚麻科)"	"1355"	"89-18"	"油用"	"国外"	"95"	"3.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003465"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"31.0"	"13.90"	"--"	"--"	"--"	"河北坝上农科所"	"西德"	"西德"	"兰"	"89-18"	"--"	"--"	"--"	"感"	"--"	"3.90"	"0.1"	"89-18"	"--"	"--"	"--"	"42.0"	"--"
"180"	"Linaceae(亚麻科)"	"1356"	"DAMUNT"	"油用"	"国外"	"100"	"2.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003466"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"28.0"	"8.80"	"--"	"--"	"--"	"河北坝上农科所"	"NORTHDAK"	"美国"	"紫"	"3"	"--"	"--"	"--"	"感"	"--"	"3.55"	"0.8"	"DAMUNT"	"--"	"--"	"--"	"52.0"	"--"
"181"	"Linaceae(亚麻科)"	"1357"	"DUNJAB"	"兼用"	"国外"	"99"	"3.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003467"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"褐"	"39.0"	"13.40"	"--"	"--"	"--"	"河北坝上农科所"	"INDIA"	"美国"	"兰"	"20"	"--"	"--"	"--"	"抗"	"--"	"3.23"	"--"	"DUNJAB"	"--"	"--"	"--"	"73.0"	"--"
"182"	"Linaceae(亚麻科)"	"1358"	"JALAUN"	"兼用"	"国外"	"100"	"5.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00003468"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"34.0"	"26.80"	"--"	"--"	"--"	"河北坝上农科所"	"INDIA"	"美国"	"兰"	"21"	"--"	"--"	"--"	"高抗"	"--"	"5.85"	"--"	"JALAUN"	"--"	"--"	"--"	"73.0"	"--"
