"id"	"种质名称"	"种质小类"	"种质大类"	"种质类型"	"种质来源"	"优异性状"	"利用价值"	"评定等级"	"联系单位"
"150"	"木石港3号"	"大麦"	"杂粮"	"国外引进品种"	"“木石港3号”原产我国湖北，后为日本所收集，80年代又从日本引进。"	"高抗大麦黄花叶病，含有高抗大麦黄花叶病基因Ym1，位于第4染色体上。"	"为抗病育种提供抗源。福建省蒲田市农科所用“木石港3号”做亲本育成“莆大麦5号”，表现抗白粉病、赤霉病，未发现大麦黄花叶病，已审定推广，并在1999年获省科技进步三等奖。还育出一批中间材料，均表现高抗大麦黄花叶病。"		"中国农科院品资所"
"151"	"李楼中纹"	"大白菜"	"蔬菜"	"地方品种"	"天津市西郊地方品种，由天津市农科院蔬菜所提供繁种入国家库，中国农业科学院蔬菜花卉研究所和山东省农业科学院蔬菜研究所鉴定。"	"叶球长筒形，拧抱，单球重2.55~4.2kg；田间表现高抗霜霉病和病毒病，平均病指为30.98%和10.53%；无不良农艺性状；干物质含量7%，粗纤维含量0.58%,Vc含量27.42mg/100g,可溶性糖含量3.13%。在生产中可直接利用。"	"由于表现高抗霜霉病和病毒病，在我国习惯栽培直筒型白菜的地区，可在生产中直接利用，或用作亲本材料。黑龙江省农科院园艺所已选出6个自交系，配出100多个杂交组合；山东登海种业集团西由公司引种试种，表现高抗三大病害。"		"山东省农业科学院蔬菜研究所"
"152"	"标1A"	"水稻"	"主要作物"	"育成品种（不育系）"	"以带有明显淡绿叶标记性状(Pg1)的光-温敏核不育系M2S为父本，保持中红B为母本配组，再用其F1为母本，珍汕97B为父本，杂交得到三交种，以其F4单株与珍汕97A测交，选育保持系，进一步回交选育而获得。"	"该不育系为籼型三系不育系，生长整齐，不育性稳定，不育性指标符合国家三系标准。综合性状优良，带有明显淡绿叶标记(Pg1)，保持系也带有明显淡绿叶标记。淡绿叶是隐性性状，与普通恢复系配组，其F1表现正常的绿色。"	"标1A带有明显淡绿叶标记性状，在不育系繁种，杂交稻制种及杂交稻大田生产上，苗期就能轻易地鉴别真伪种，快捷方便，有效地降低成本。"		"中国水稻研究所"
"153"	"桂香丝糯"	"水稻"	"主要作物"		"辐射选育而成"	"该种质综合性状优良，直链淀粉含量2%，蛋白质含量11.3%，赖氨酸含量0.38%，米质优，全生育期116天。"	"该种质属特种米，集香、软、糯于一体的高级营养糯米，作添加米用。可直接在生产上利用。"		"中国水稻研究所"
"154"	"棕絮1号"	"棉花"	"棉麻"	"高代品系"	"利用TM-1作父本与陆地棉半野生种系Richmondi杂交选育而成"	"棕色纤维；纤维品质接近一般白棉花，绒长28mm以上，比强20-22CN/tex，马克隆值4.0；皮棉产量为推广品种80%以上；抗估萎病，耐黄萎病。为彩色棉优异种质。"	"在有色棉品种改良上，解决了原有有色棉产量和品质差，不能直接利用的难题。对我国发展无污染纺织，开发绿色环保纺织品具有重要作用。已在新疆、山东、河南等省、自治区种植，并试纺出第一批彩色棉纺织品。"	"1级"	"中国农科院棉花所"
"155"	"楚秀"	"大豆"	"主要作物"	"育成品种"	"淮阴地区所以73-01-1×大四粒杂交育成"	"蛋白质含量45.26%，抗大豆锈病，耐病毒病，粒大，荚粒数多，整齐度好，外观清秀少病斑。"	"可直接用于生产，可作夏季毛豆育种亲本，是适合外贸出口的优良菜用夏大豆。"		"江苏省农科院经作所"
"156"	"水源358"	"水稻"	"主要作物"	"国外引进品种"	"从南朝鲜引进"	"该种质分蘖率强，单株有效穗12.6，结实率57.2%，株型好，田间抗病虫性强。"	"可做亲本供育种利用。丽水地区种植表现综合性状优良，产量较高，可作高产品种直接在生产上利用。"		"中国水稻研究所"
"157"	"沈118"	"玉米"	"主要作物"	"高代品系"	"沈阳市农科所利用玉米桞73×超甜选育而成"	"一般配合力高于黄早四，抗丝黑穗病，果穗长大，穗行数多(16-18)，遗传稳定，株型好。"	"沈118自交系一般配合力高于黄早四，是解决当前玉米育种和生产存在问题迫切需要的重要资源，其果穗长大，自身产量高，且能稳定遗传，可直接组配杂交组合用于玉米生产。有多家单位利用沈118与当地优良自交系进行了组配测试，一些组合表现优异。"		"中国农科院品资所"
"158"	"泗阳288"	"大豆"	"主要作物"	"育成品种"	"泗阳棉花原种场科研所以泗阳705×兖黄10号育成"	"适应性广，产量稳定，抗倒伏，抗花叶病毒，蛋白质含量48.13%(B21)。高产田块亩产可达280公斤。"	"可直接在生产上利用，是一个较好的高蛋白育种材料。"		"江苏省农科院经济作物所"
"159"	"泰红763"	"红麻"	"棉麻"	"国外引进品种"	"从泰国引进后经鉴定评价和改良获得"	"纤维品质极优，纤维支数334支，纤维强力435.12牛顿/克；综合农艺性状较好，秆硬抗倒伏，生育期230天；中抗红麻炭疽病，耐旱耐涝，适应性较强；株型结构好，叶夹角小；遗传基础稳定，纤维产量239公斤/亩。"	"极优的纤维品质，适合纺织高档麻纺产品，缓解了麻纺业优质原料不足的矛盾。除直接生产推广利用外，可作为优质红麻育种亲本材料，已为多家育种单位利用，已发现3个纤维品质、产量、抗逆性均超亲的高代品系。"		"中国农科院麻类所"
"160"	"济薯11号"	"甘薯"	"薯类"	"高代品系"	"山东省农科院作物所78097X红小町杂交选育而成"	"高抗甘薯茎线虫病和根腐病，抗黑斑病，在病区生产鉴定表现高产，薯块烘干率27.0%。"	"在甘薯茎线虫病和根腐病病区可直接生产利用，解决病区甘薯难以种植减产的问题。国内已有育种单位利用该品种为杂交亲本培育出抗性品系。"		"中国农业科学院蚕业研究所"
"161"	"涅罗"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进。"	"大粒种质，千粒重40.6g。全生育期115天，单株有效穗12.3，结实率42.2%。"	"可供育种和生物技术研究利用。已配置了杂交组合，得到了大粒群体后代。"		"中国水稻研究所"
"162"	"清见"	"柑橘"	"果树"	"国外引进品种"	"中国农业科学院柑桔研究所由日本引进，清见是宫川温州与Trovita甜橙杂交育成。"	"果实较大，200~300g，皮薄易剥，肉质细软多汁，酸甜爽口，富有香气，无核质优，成熟期晚，供应期长，较耐寒，抗病力强。"	"清见作为中晚熟鲜食柑桔，其上市期为1~4月，为我国宽皮柑桔供应淡季，可填补空白，利用潜力大，清见果大，无核质优，售价较高，市场竞争力强；抗病、耐寒、单胚，综合性状好，是获得无核优质、高产新品种的重要育种材料。已提供接穗3万多株，苗木2万株，生产上已提供接穗20万株，推广苗木100万株，成为当前我国调整品种结构的主推品种；已有少量果品上市。"		"中国农业科学院柑桔研究所"
"163"	"湘苎6号（79-20）"	"苎麻"	"棉麻"	"育成品种"	"中国农科院麻类所从黑皮兜种子后代优良单兜培育而成"	"株型紧凑，生长势强，生长整齐，三季麻纤维产量15公斤/亩以上，三季麻平均纤维细度在2000支以上，抗苎麻花叶病，耐旱，抗风。"	"具有高产、稳产、优质、抗病、抗风和适应性广等综合优势，已在湖南益阳市大面积推广。"		"中国农科院麻类所"
"164"	"热研1-1"	"橡胶"	"其他作物"	"国外引进品种"	"考察鉴定发现的新种质，系RRIC52种子苗无性系。"	"高产，符合橡胶二级优异种质标准。橡胶转移酶活性为91661.9cpm/35mg干胶，是高产对照RRIM600的123%。"	"可作为杂交亲本，利用价值一般。"		"中国热带作物农业科学院热带作物生物技术国家重点实验室"
"165"	"热研10-4"	"橡胶"	"其他作物"	"国外引进品种"	"考察鉴定发现的新种质，系RRIC52种子苗无性系。"	"高产，符合橡胶二级优异种质标准。橡胶转移酶活性为91661.9cpm/35mg干胶，是高产对照RRIM600的123%。"	"可作为杂交亲本，利用价值一般。"		"中国热带作物农业科学院热带作物生物技术国家重点实验室"
"166"	"热研108"	"橡胶"	"其他作物"	"国外引进品种"	"引进亚马逊种质鉴定筛选的新种质。"	"抗白粉病、耐死皮病、抗寒、抗风，达到橡胶二级优异种质标准。"	"热研108是一个具有多种优异性状的杂交亲本，对解决育种和生产上重大问题可起到关键性作用。已利用该种质育成几个优异种质，利用效果显著。"		"中国热带作物农业科学院热带作物生物技术国家重点实验室"
"167"	"热研12号"	"橡胶"	"其他作物"	"突变体"	"中国热带农业科学院用RRIM600无性系的花进行秋水仙处理得到的突体植株，繁殖成无性系经鉴定筛选而获得。"	"高产，速生、抗风，达到橡胶一级优异种质标准。产量为高产对照RRIM600的122.1%(三年平均)；抗风能力与抗风对照PR107相当；茎围生长率是RRIM600的106%(三年平均)。"	"已利用作为初比材料，预计可直接育成推广品系。经初比鉴定，可作为高级试比材料和杂交亲本，利用效果显著。"		"中国热带作物农业科学院热带作物生物技术国家重点实验室"
"168"	"热研4号"	"橡胶"	"其他作物"	"育成品种"	"热带作物生物技术国家重点实验室热研GT1XIAN873杂交选育而成。"	"抗白粉病，符合橡胶二级优异种质标准。用抗白粉病基因连锁标记为探针，杂交结果为阳性，田间复测病情指数为20.0（抗病对照RRIC52为35.0）"	"可作为杂交亲本，利用价值一般。"		"中国热带作物农业科学院热带作物生物技术国家重点实验室"
"169"	"热研5-4"	"橡胶"	"其他作物"	"育成品种"	"热带作物生物技术国家重点实验室热研88-13X488（Amazon种质）杂交选育而成。"	"高产，符合橡胶二级优异种质标准。橡胶转移酶活性为90926.6cpm/35mg干胶，是高产对照RRIM600的122%。"	"可作为杂交亲本，利用价值一般。"		"中国热带作物农业科学院热带作物生物技术国家重点实验室"
"170"	"热研7-11"	"橡胶"	"其他作物"	"育成品种"	"热带作物生物技术国家重点实验室热研7-33-97X108（Amazon种质）杂交选育而成。"	"高产、抗白粉病，符合橡胶一级优异种质标准。用抗白粉病基因连锁标记为探针，杂交结果为阳性，橡胶转移酶活性为90894.3cpm/35mg干胶，是高产对照RRIM600的122%。"	"可作为杂交亲本，利用价值一般。"		"中国热带作物农业科学院热带作物生物技术国家重点实验室"
"171"	"热研7-6"	"橡胶"	"其他作物"	"育成品种"	"热带作物生物技术国家重点实验室热研7-33-97X108（Amazon种质）杂交选育而成"	"抗白粉病，符合橡胶二级优异种质标准。用抗白粉病基因连锁标记为探针，杂交结果为阳性，田间复测病情指数为10.0（抗病对照RRIC52为35.0）"	"可作为杂交亲本，利用价值一般。"		"中国热带作物农业科学院热带作物生物技术国家重点实验室"
"172"	"热研7-7"	"橡胶"	"其他作物"	"育成品种"	"热带作物生物技术国家重点实验室热研7-33-97X108（Amazon种质）杂交选育而成"	"抗白粉病，符合橡胶二级优异种质标准。用抗白粉病基因连锁标记为探针，杂交结果为阳性，田间复测病情指数为14.0（抗病对照RRIC52为35.0）"	"可作为杂交亲本，利用价值一般。"		"中国热带作物农业科学院热带作物生物技术国家重点实验室"
"173"	"热研7-9"	"橡胶"	"其他作物"	"育成品种"	"热带作物生物技术国家重点实验室热研7-33-97X108（Amazon种质）杂交选育而成。"	"高产，符合橡胶二级优异种质标准。橡胶转移酶活性为93162.5pm/35mg干胶，是高产对照RRIM600的125%。"	"可作为杂交亲本，尚未利用。"		"中国热带作物农业科学院热带作物生物技术国家重点实验室"
"174"	"玉田早"	"萝卜"	"蔬菜"	"地方品种"	"天津市西郊地方品种，由天津市农科院蔬菜所提供繁种入国家库，中国农业科学院蔬菜花卉研究所和山东省农业科学院蔬菜研究所鉴定。"	"肉质根短圆筒形，表皮红色，肉白色，含水多，味甜；田间表现抗病毒病、霜霉病和根腐病，平均病指分别为5.42%、30.20%和5.22%。干物质含量13.7%，粗纤维含量0.65%,Vc含量38.22mg/100g,可溶性糖含量4.19%。"	"红皮萝卜品种，抗病性强，品质好，产量高，在生产上可直接推广利用，或用作亲本材料，已在甘肃平凉、山东昌邑、黑龙江大庆、哈尔滨等地引种，表现高产、抗病、品质好，现正在进一步推广。"		"山东省农业科学院蔬菜研究所"
"175"	"甘木二条"	"大麦"	"杂粮"	"国外引进品种"	"从日本引进。"	"优质啤酒大麦。麦芽浸出率高达83%，超过国家优质啤酒大麦标准。农艺性状比较优良。"	"作为啤酒大麦育种亲本利用。“八五”和“九五”期间用用该种质做亲本，先后育出了10余个优良品系，表现丰产性、品质均优。"		"中国农科院品资所"
"176"	"白竹粳"	"水稻"	"主要作物"	"育成品种"	"从贵州农科所引进。"	"综合性状优良，株型好，分蘖少，长势清秀，田间抗病虫性强，产量较高。"	"可在生产上直接利用也可做育种材料。在江山等地种植表现株型好，田间抗病虫性强，产量较高，可望扩大种植面积。"		"中国水稻研究所"
"177"	"相黄麻3号"	"黄麻"	"棉麻"	"育成品种"	"中国农科院麻类所对宽叶长果进行辐射诱变选育而成"	"生长势强，植株高大，生长整齐，分枝数较少，分枝位高（350cm以上）为其显著特征。纤维产量可高达200公斤/亩以上；抗小黑点炭疽病；纤维支数450支左右；由于分枝位比原品种提高33cm以上，大大提高了鲜茎干皮率和出麻率。"	"是目前长江流域麻区表现最优的黄麻新品种，其分枝位高的特点使生产上黄麻剥洗难题取得突破。利用其作亲本已育成一批高代品系。"		"中国农科院麻类所"
"178"	"石特一号"	"大白菜"	"蔬菜"	"地方品种"	"河北省地方品种，由河北省农科院蔬菜所提供繁种入国家库，中国农业科学院蔬菜花卉研究所和山东省农业科学院蔬菜研究所鉴定。"	"叠抱型，叶球倒圆形，单球重2~3.5kg；抗病性强，病毒病病指平均10.40%,霜霉病病指平均33.09%，无不良农艺性状；干物质含量8%，粗纤维含量0.66%,Vc含量34.54mg/100g,可溶性糖含量3.53%"	"可在生产中直接利用，或用作亲本材料，山东省农科院蔬菜所已培育出新的抗病、高产、优质大白菜品种“山东19号”；山东登海种业集团西由公司，用其自交系培育出了丰抗系列20余个，创经济效益5~6亿元。"		"山东省农业科学院蔬菜研究所"
"179"	"砧木-CX3"	"苹果"	"果树"	"育成品种"	"中国农业科学院果树所从杂交组合MgX山定子选育出抗寒矮化砧木CX3"	"以CX3为中间砧，嫁接主栽品种富士、金冠，矮化性与M26相当，越冬性优于M26，与品种、基砧（平邑甜茶）嫁接亲和力好。"	"苹果抗寒矮化砧木CX3，矮化性与M26相当，越冬性优于M26，可在辽西地区安全越冬，提高了矮化砧木的抗寒性，必将推动我国苹果矮化栽培的进一步发展。通过不同地区的试栽结果，证明以CX3为中间砧，嫁接苹果主栽品种富士、金冠，具有使树体矮化，早丰产，抗寒性强等优点。"		"中国农业科学院果树研究所"
"180"	"砧木-CX5"	"苹果"	"果树"	"育成品种"	"中国农业科学院果树所从杂交组合吉林193XMg选育出抗寒矮化砧木CX5"	"以CX5为中间砧，嫁接主栽品种富士、金冠，树高相当于乔砧的60%左右，越冬性优于M26，与品种、基砧（平邑甜茶）嫁接亲和力好。"	"苹果抗寒矮化砧木CX5，属半矮化性砧木，越冬性优于M26，可在辽西地区安全越冬，提高了矮化砧木的抗寒性，必将推动我国苹果矮化栽培的进一步发展。通过不同地区的试栽结果，证明以CX5为中间砧，嫁接苹果主栽品种富士、金冠，具有使树体矮化，早丰产，抗寒性强等优点。"		"中国农业科学院果树研究所"
"181"	"福农90-6652"	"甘蔗"	"糖烟"	"高代品系"	"C01001X崖71-374杂交选育而成"	"抗旱，抗旱性明显优于对照当家种闽糖70-611；高抗黑穗病；高产优质，亩产7.04-10.58吨，比70-611增产9.3%-55.1%，蔗糖分比对照增加0.12-0.56%。"	"除生产直接利用外，可作为高产优质多抗（抗旱、抗黑穗病）亲本提供杂交利用。"		"福建农业大学甘蔗综合研究所"
"182"	"秦茶一号"	"萝卜"	"蔬菜"	"地方品种"	"陕西省西安市郊地方品种，由西北农业大学提供繁种入国家库，中国农业科学院蔬菜花卉研究所和山东省农业科学院蔬菜研究所鉴定。"	"绿皮萝卜品种，肉质根长圆筒形，单根重1.8~2.5g，肉质淡绿，质地脆嫩，含水多，味甜；田间表现高抗病毒病、霜霉病和黑腐病，平均病指分别为10.87%、20.18%和4.07%。农艺性状好，秋季栽培，生长期90余天，抗病、高产、耐贮性强。干物质含量8.7%，粗纤维含量0.58%,Vc含量29.78mg/100g,可溶性糖含量3.75%。"	"绿皮萝卜品种，抗病性强，品质好，产量高，耐贮存。适于秋季栽培，在生产上可直接推广利用，适于生食、熟食和加工腌制。除在西安市郊作为主栽品种外，已在甘肃平凉、山东昌邑、黑龙江省大面积推广。"		"山东省农业科学院蔬菜研究所"
"183"	"竹山白芝麻（ZZM2541）"	"芝麻"	"油料作物"	"地方品种"	"湖北省地方品种"	"高耐渍；优质，三年三点平均含油量56.03%；单株生产力高，平均单株产量14.33克；结蒴性好，具有多花特性。"	"渍涝导致芝麻产量不稳，减产甚至绝收，该种质高耐渍、优质等优异性状对培育耐渍优质新品种具有利用价值。已被多家育种单位利用，已培育出耐渍高产优良品系。"		"中国农科院油料所"
"184"	"粤园五号"	"黄麻"	"棉麻"	"育成品种"	"广东农科院通过系统选育而成"	"株型整齐、紧凑、晚熟，后期长势强。在长江流域不分枝，亩产纤维可达190公斤以上。纤维支数440支以上；高抗炭疽病，抗倒伏。"	"其良好的综合性状和抗倒伏特点可在育种上广泛应用，已育成一批高代品系，并证明具有良好的配合力。该品种曾在生产上大面积推广，增产极显著。"		"中国农科院麻类所"
"185"	"粤油200"	"花生"	"油料作物"	"育成品种"	"广东省农科院作物所用（粤油187X粤油92）F1♀X（粤油320-26X粤油92）F1♂复合杂交选育而成"	"早熟，比对照（当地主栽品种）提早成熟5-9天，高抗青枯病，抗性率达93%以上，株型、果型、单株生产力等农艺性状好。"	"花生青枯病是长江流域及以南地区严重病害，早熟、抗青枯病花生品种是花生生产急需，“粤油200”为解决这一难题起到关键作用。已通过四川省审定为“天府11号”。目前广东、四川、中国农科院油料所等利用其作亲本已育成新品种或高代品系。"		"中国农科院油料所"
"186"	"紫秋豇6号"	"豇豆"	"蔬菜"	"育成品种"	"浙江省农业科学院园艺研究所红咀燕X紫血豇杂交后代经系统选育鉴定获得。"	"高抗BLCMV病毒病，抗煤霉病，耐秋后低温，商品性优异、品质佳，早熟性好。"	"作为品种，具有双抗特性，可作为秋豇品种大面积推广，色泽鲜艳、品质优异，利于消费；可作双抗抗源亲本利用。已通过2000年浙江省品种认定，并在长江流域及其以南多个省市推广应用。"		"浙江省农业科学院园艺研究所"
"187"	"维杰特"	"亚麻"	"棉麻"	"国外引进品种"	"从波兰引进"	"生长势强，抗旱，抗病，抗倒伏性强；原茎产量247公斤/亩，比对照“火炬”增产86.55%；出麻率23.8%,比“火炬”提高3%；纤维颜色优良。"	"出麻率高，长势好，抗倒伏，是亚麻育种的好亲本。现已作为杂交亲本和核不育亲本被利用。并获得一批杂交组合和不育后代材料。"		"中国农科院麻类所"
"188"	"绿絮1号"	"棉花"	"棉麻"	"高代品种"	"利用美国绿绒棉系谱选育而成"	"绿色纤维；皮棉产量为棕絮1号品种的80%左右；抗枯萎病，耐黄萎病。为彩色棉优异种质。"	"开避了无需漂白也无需染色的彩色棉新纤维色泽类型，可为彩色棉育种和生产利用。已在河南、山东等地示范种植，成功试纺成绿色纤维纺织品。"		"中国农科院棉花所"
"189"	"绿豆-中绿2号(VC2917A)"	"绿豆"	"杂粮"	"育成品种"	"中国农科院品资所1983年从亚蔬中心(AVRDC)引进，通过鉴定选育而成。"	"早熟，夏播生育期65天左右，植株直立抗倒伏，株高60cm左右，单株结荚25个左右，结荚集中，成熟一致，不炸荚，适于机械收获，荚长10-12cm，籽粒碧绿有光泽，百粒重6.0克左右，种子适于发豆芽。种子含蛋白质23.6%、淀粉53.5%，抗根腐病，叶斑病和花叶病毒病，后期不早衰，高产稳产，适应性广，春夏播均可，适于间作套种。"	"该种质是我国地方绿豆资源中罕见的优异种质，不仅在生产中直接利用，还是杂交和辐射育种的好材料。已用其做亲本育成一批高代品系。"		"中国农科院品资所"
"190"	"罗马"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进"	"大粒种质，千粒重44.3g，单株有效穗10.3，每穗总粒数123.4，结实率44.6%。"	"做大粒育种的亲本利用。"		"中国水稻研究所"
"191"	"芦竹青"	"苎麻"	"棉麻"	"地方品种"	"湖南省沅江县"	"发蔸较快，分株力较强，麻株生长整齐，均匀度好；抗风性强，产量高，一般亩产150公斤，纤维品质好，适性广，增产潜力大；原麻绿白色，手感较柔软，斑疵少，锈脚短，含胶率低（原麻总含胶量<25%）。"	"可直接推广利用，已在江西、安徽、湖北等省栽培，效益显著。用其作亲本已育成新品种“华苎1号”和新品系“83-22”。"		"中国农科院麻类所"
"192"	"苏籼1号"	"水稻"	"主要作物"	"育成品种"		"综合性状优良，株型紧凑，分蘖率较强，田间抗病虫性强，米质的外观品质好。"	"可直接在生产上利用，亦可作亲本供育种利用。"		"中国水稻研究所"
"193"	"菊粳红米"	"水稻"	"主要作物"	"育成品种"		"属特种米，种皮呈红色，全生育期126天，单株有效穗10.8，结实率84.3%，谷粒长8.6mm。"	"直接在生产上利用，提供天然红米色素，亦可作为育种，生物技术研究之材料利用。"		"中国水稻研究所"
"194"	"蒲829019"	"大麦"	"杂粮"	"高代品系"	"福建省莆田市农科所育成。"	"中抗白粉病，中抗赤霉病，抗条纹病，大粒。"	"作为育种亲本利用。浙江省农科院和莆田市农科所用该种质做亲本配制杂交组合，并选出了抗白粉、大粒、早熟、丰产性好的株系。"		"中国农科院品资所"
"195"	"蒲895067"	"大麦"	"杂粮"	"高代品系"	"福建省莆田市农科所育成。"	"中抗白粉病，抗赤霉，抗条纹病，粒较大。"	"为大麦抗病育种亲本利用。莆田市农科所用该种质做亲本配制杂交组合，在F4中选出具有抗白粉病和赤霉病、千粒重超过双亲的优良株系。"		"中国农科院品资所"
"196"	"西引2号"	"大麦"	"杂粮"	"国外引进品种"	"从日本引进。"	"矮秆，抗倒伏，抗大麦黄花叶病，丰产。"	"为生产和育种提供了优良品种和矮秆、丰产型优异种质。扬州大学农学院用该种质做亲本，育成“扬饲麦1号”，1998年通过江苏省品种审定，已推广5万亩。育成高代品系2个，均表现矮秆，抗倒，抗大麦黄花叶病，综合农艺性状好。"		"中国农科院品资所"
"197"	"西普134"	"玉米"	"主要作物"	"高代品系"	"四川省农科院从国外引进材料ZH-1与四川地方杂交种杂交后代中选育而成。"	"抗病性突出，高抗矮花叶病，抗丝黑穗、基腐、灰斑病，中抗大斑病；总淀粉70.01%，果穗粗大，穗长17.2cm，穗粗4.2cm，穗行数18行。"	"西普134高产抗病，品质好，综合性状优异，配合力中等，既可直接用于测配组合，也可作为优异种质材料进行自交系改良选育，具较高育种价值，正进行广泛测配。"		"中国农科院品资所"
"198"	"西鉴81"	"小麦"	"主要作物"	"高代品系"	"引自西北农业大学植保系"	"兼抗条锈和叶枯病，丰产，综合农艺性状良好。"	"可作为抗病育种的亲本加以利用。甘肃省农科院用该种质做亲本配制杂交组合，已获得F5，其优异性状在后代中表现突出。"		"中国农科院品资所"
"199"	"西风小麦"	"小麦"	"主要作物"	"国外引进品种"	"从日本引进"	"低筋专用小麦，丰产、早熟、抗穗发芽、抗梭条花叶病、耐湿。"	"用“西风小麦”做亲本，培育专用优质小麦效果显著，已育成高产、低筋专用小麦-小麦“宁麦9号”和高产稳产小麦新品种“苏麦5号”。"		"中国农科院品资所"
"200"	"豫豆25号（郑100）"	"大豆"	"主要作物"	"育成品种"	"用“豫豆13号”与“郑85558-0-5”杂交，选育而成。"	"高产，蛋白质含量高（45.6%），抗大豆花叶病毒病，抗倒伏，综合性状好。"	"“豫豆25号”1998年通过河南省品种审定，可直接生产利用，亦可作为优质高产抗病亲本。河南省已大面积种植，并形成产业化系统，生产大豆分离蛋白销往国内外。该品种配制了“郑92116”等大批杂交组合，表现突出。"		"河南省农科院经作所"
"201"	"贵农22号"	"小麦"	"主要作物"	"高代品系"		"抗条锈病和白粉病，矮秆，丰产，综合农艺性状良好。"	"可作为抗病育种的亲本加以利用。甘肃省农科院用该种质做亲本配制杂交组合，优异性状在后代中表出突出。"		"中国农科院品资所"
"202"	"贵育100"	"水稻"	"主要作物"	"育成品种"	"从贵州农科院引进"	"分蘖率较强，株型好，产量高，综合性状优良。"	"可以在生产上直接利用。"		"中国水稻研究所"
"203"	"超40"	"水稻"	"主要作物"	"育成品种"		"大粒种质，千粒重37.6g，全生育期109天。单株有效穗13，结实率58.15％。"	"作为大粒亲本供育种利用。"		"中国水稻研究所"
"204"	"越富"	"水稻"	"主要作物"	"国外引进品种。"	"从日本引进。"	"分蘖力强，成穗率较高，整齐，后期灌浆快，转色好，米质特优。"	"因其米质特优，用其做亲本先后育成了“京花103”、“京稻8号”、“京稻10号”、“京稻12号”等，主要品质指标达到部颁优质米2级标准，在京、津、唐地区还大面积直接推广利用。"		"中国农科院品资所"
"205"	"达旗黄秆白黍（0635)"	"黍稷"	"杂粮"	"地方品种"	"内蒙达旗县"	"植株较矮，抗倒性好，生育期较短，可作为二季作品种，品质好，蛋白质含量16.20%，脂肪含量4.04%，赖氨酸含量0.20%。"	"生产上可直接利用，是黍稷优质育种的好材料，山西已用其作亲本，培育出高品质的雁黍3号。"		"山西农科院品资所"
"206"	"通州豆"	"大豆"	"主要作物"	"高代品系"	"从地方品种“南京沙州豆”中系统选择而成。"	"该种质属早熟夏大豆类型，综合农艺性状优良，大粒，百粒重达27g，抗食叶性害虫。"	"该种质表现园叶、单荚粒数，大粒，适合南方生态条件，对提高南方夏大豆菜用和粒用品种的产量有利，还可作为早熟亲本应用，已成为主要育种亲本之一。已从“通州豆”群体中选育出“南农菜豆5号”，还从通州豆X“六丰”的后代中选育“南农94-13”“南农94-14”“南农94-16”等大粒，多粒的菜用大豆新品系。"		"南京农业大学大豆研究所"
"207"	"郑737(9)"	"谷子"	"杂粮"	"高代品系"	"郑矮2号×郑330，再与7429A、郑407复交而成"	"含蛋白质14.53%，脂肪5.15%，赖氨酸0.36%，直链淀粉15.33%；白发病，黑穗病免疫。农艺性状良好。"	"适应华北夏谷区，可作为营养优质源，白发病和黑穗病抗源用于育种，现已获得一批抗病、优质、高产的优良品系。"		"河南省农科院粮作所"
"208"	"郑88091"	"水稻"	"主要作物"	"高代品系"	"用“郑84240”与“郑84285”杂交选育而成。"	"高产，蛋白质含量高（45.6%），抗大豆花叶病毒病，综合性状好。"	"该种质属优质高蛋白、高产、抗病品系，已完成河南省区试和生产试验，2000年可通过河南省品种审定，可望直接用于生产。还可作为高产，高蛋白优质源亲本利用。自1997年开始，濮阳、商丘、周口市农科所用该种质做亲本配制杂交组合约60个，已有F6，后代表现高产，综合性状好。"		"河南省农科院经作所"
"209"	"郑89013"	"大豆"	"主要作物"	"高代品系"	"郑87260×郑85212选育而成"	"综合性状好，抗花叶病毒病，蛋白质含量46.64%，试验亩产170公斤。"	"可作为综合性状好的种质材料，对大豆品种进行改良。"		"河南省农科院经作所"
"210"	"郑92116"	"大豆"	"主要作物"	"高优品系"	"“豫豆19”与“豫豆25号”杂交选育而成。"	"高产、优质、蛋白质含量48.41%，抗大豆疫霉根腐病，抗大豆花叶病毒病。"	"“郑92116”属优质高蛋白高产抗病品系，可望通过河南省品种审定，已形成产业化，加工产品大豆分离蛋白，已销往国外。河南省农科院用其配制一批杂交组合表现高产、综合性状好。"		"河南省农科院经作所"
"211"	"郑果25号"	"葡萄"	"果树"	"其他"	"中国农业科学院郑州果树研究所于1985年在魏天子的扦插苗中发现的变异株。"	"郑果25号出汁率为82.21%，世界名种赤霞珠为80.23%。发酵后，酒在520nm波长下测得吸光值为4.57（赤霞珠为3.93），在同等条件下，可溶性固形物含量为18.7%（赤霞珠为15.0%），还原糖为16.85%，滴定酸为1.131%。抗性好，不需喷药防治病害。"	"郑果25号是一优良的调色葡萄品种，抗病性强，适应性强。是葡萄制汁中和酿酒生产中的优良品种。出汁率高，果汁颜色浓，调色效果好，是一极具发展潜力的酿酒和调色品种。已在山东荷泽、河北廊坊、河南民权建立葡萄酿酒基地1000余亩，生产出葡萄汁和葡萄酒成品。评价等级："		"中国农业科学院郑州果树研究所"
