"id"	"种质名称"	"种质小类"	"种质大类"	"种质类型"	"种质来源"	"优异性状"	"利用价值"	"评定等级"	"联系单位"
"64"	"K346"	"烟草"	"糖烟"	"国外引进品种"	"1995年从美国引进"	"综合农艺性状好，株高120-130cm，叶数24-26片，生育期110天，适应性强，易于栽培和烘烤。亩产量150-175公斤，上等烟30%，上中等烟90%以上，比对照增产9.0%，上中等烟提高15%。烟叶烤后外观质量好，化学成份协调，评吸香气量足，质好，适于作高档卷烟的原料。高抗青枯病、黑胫病，中抗根结线虫病。"	"农艺性状好，适应性广，生长势强，成熟期分层落黄，易于烘烤。产量和质量优于对照，抗病性显著优于对照，在病害严重年份更具明显优势，已在全国推广。是目前我国烟草生产推广品种中唯一优质、高产、多抗性的品种。目前已被各烟草育种单位利用，选育出一批有希望的高代品系。"		"中国农科院烟草研究所"
"65"	"Katy"	"水稻"	"主要作物"	"国外引进品种"	"从美国引进"	"该种质分蘖率弱，单株有效穗8.6，结穗率61.3%，株型紧凑，抗倒性强，米质优。"	"作为优质米，抗倒的亲本用于育种。已配制了组合，且获得几个有苗头的组合。"		"中国水稻研究所"
"66"	"L405A"	"高粱"	"杂粮"	"高代品系"	"辽宁农科院高粱所用TX622B×八棵权杂交，后代再与TX622A回交获得。"	"综合性状好，矮秆，抗倒伏，不育性好，性状稳定，对丝黑穗病免疫，高抗靶斑病。是一个高抗，高配合力的不育系。"	"在辽宁、山西、河北及黑龙江等地育种单位应用，并已配制出抗病、高产组合。"		"中国农科院品资所"
"67"	"L99012(96－1－241)"	"小麦"	"主要作物"	"高代品系"	"用小麦品种“Fukoho”与冰草(Agropyroncristatum,2n=4x=28,PPPP)进行远缘杂交、回交、自交后人工创造的新种质。"	"该种质为强筋优质面包小麦，抗寒、抗旱、耐瘠，成穗率高、早熟、落黄好，中抗白粉病和条锈病。子粒外观品质好。"	"拓宽小麦育种遗传基础，培育早熟、抗逆小麦新品种的好亲本。山西省农科院小麦所利用其做亲本，配制了杂交组合5个获得了F4。"		"中国农科院品资所"
"68"	"L99023(96-4084)"	"小麦"	"主要作物"	"高代品系"	"用小麦品种“Fukoho”与冰草(Agropyroncristatum2n=4x=28,PPPP)进行远缘杂交，再回交、自交，花培后人工创造的新种质。"	"成穗率高，灌浆快，落黄好，中抗黄矮病，抗寒，综合农艺性状良好。"	"该种质对拓宽小麦育种遗传基础，培育早熟，抗黄矮病小麦新品种具有重要价值。山西农科小麦所用其做亲本配制杂交组合5个，获得F4，有望从中选出适合当地种植的优良品种。"		"中国农科院品资所"
"69"	"Lamaniere"	"菜豆"	"蔬菜"	"国外引进品种"	"中国农业科学院蔬菜花卉研究所从荚用菜豆国外引种中筛选出的矮生品种。"	"苗期人工接种鉴定高抗炭疽病（RRI>4，病情指数接近0）、锈病（反应型2），在炭疽病重病区长春田间抗炭疽病（病指8），田间抗病毒病（病指：北京12、长春24），在北京、长春、重庆均表现产量高于当地主栽品种，嫩苹大（7.4~9.3g/苹），荚横断面圆形，品质好。"	"直接用于生产，作为育种材料间接利用，用作菜豆炭疽病、锈病抗性机理的研究材料，在生重庆当地生产上被直接利用，已提供科研单位作良种材料，获得高抗炭疽病后代。"		"中国农业科学院蔬菜花卉研究所"
"70"	"NS51-5"	"马铃薯"	"薯类"	"高代品系/近缘植物"	"黑龙江省农科院马铃薯研究所NS86320122XNS78-22-1杂交选育而成"	"田间高抗晚疫病（1级），抗青枯病，抗PVY、PLRV病毒病，淀粉含量22.9~23.1%，还原糖含量0.1%，耐贮藏、适于淀粉加工，炸片品质好（0级）"	"目前我国淀粉含量在18%以上的淀粉加工型品种奇缺，NS51-5淀粉含量高，高抗晚疫病、青枯病，是选育高淀粉品种的最佳亲本材料，已被国内主要育种单位利用，效果显著，育成一大批优异高代品系。在部分地区生产上直接利用效果较好。"		"中国农业科学院蚕业研究所"
"71"	"NS78-11-1"	"马铃薯"	"薯类"	"高代品系/近缘植物"	"由NS78-11-1天然自交果的实生苗中选育而成"	"田间高抗晚疫病（1级），抗PVY、PLRV病毒病，淀粉含量19.8~20.4%，还原糖含量0.05%，高产、耐贮藏、炸片品质优（00级）"	"炸片、炸条品种是我国目前生产和育种上急需的材料，NS78-11-1具有高产、田间高抗晚疫病、干物质含量低、炸片品质优等特点，是选育食品加工品种的最佳亲本材料，已被国内主要育种单位利用，效果显著，育成一大批优异高代品系。"		"中国农业科学院蚕业研究所"
"72"	"NS857"	"小麦"	"主要作物"	"国外引进品种"	"从南斯拉夫引进。"	"抗条锈病，大穗，多花多实，矮秆，早熟，综合农艺性状良好。"	"该种质不仅具有良好的丰产性，而且对西北春麦区流行的多个条锈病生理小种具有极强的抗性，用其作为高产，抗病育种亲本利用，对解决西北春麦区高产、抗条锈病育种问题具有重要价值。甘肃省农科院利用“NS857”做亲本，已获得F3，且优异性状在后代中表现突出。"		"中国农科院品资所"
"73"	"PD2164"	"棉花"	"棉麻"	"国外引进品种"	"引自美国南卡罗素纳州"	"高强力，强度5.25克（“鲁棉1号”为3.80克），棉纱试纺为上等优级；皮棉产量较高（为鲁棉1号的81.20%）；其他性状优良。"	"全国棉花育种单位几乎全套的引进转育，利用其优质性状，提高我国棉花纤维品质。江苏、湖北、山东、安徽、河南均先后育成含有PD系“血缘”的新品种“鲁棉14”等，取得显著效益。"		"中国农科院棉花所"
