"id"	"统一编号"	"品种名称"	"原产地"	"亲本来源"	"保存单位"	"保存编号"	"播种期"	"株高"	"穗位高"	"主茎叶片数"	"雄穗分枝数"	"抽丝日数"	"生育日数"	"双穗率"	"穗形"	"粒型"	"粒色"	"轴色"	"穗长"	"穗粗"	"穗行数"	"千粒重"	"地点"	"播种日期"	"株型"	"单株粒重"	"出籽率"	"大斑病"	"小斑病"	"黑穗病"	"花叶病"	"粗蛋白"	"粗脂肪"	"总淀粉"	"赖氨酸"
"11"	"70606"	"杂红骨"	"柳河县"		"通化市农科所"	"通原92"	"5/6"	"177"	"64"	"16"			"120"	"7.7"	"柱"	"马齿"	"黄"	"红、白"	"15.3"	"4.3"	"14-16"	"205.0"	"梅河口市"	"5.06"		"70.0"	"74.3"			"HR"		"11.93"	"5.15"	"67.65"	
"12"	"70642"	"白玉米"	"辉南县"		"通化市农科所"	"通原173"	"5/6"	"256"	"97"	"17"			"122"	"5.4"	"柱"	"马齿"	"白"	"白"	"16.0"	"4.7"	"12-16"	"283.0"	"梅河口市"	"5.06"	"中间"	"121.0"	"85.0"	"R"	"MS"	"R"	"S"	"11.54"	"4.62"	"70.03"	
"13"	"80206"	"黑河农家种"	"爱辉县"		"克山农科所"	"C0165"	"春"	"206"	"55"	"13"			"89"	"17.6"	"柱"	"硬粒"	"黄"	"白"	"16.0"	"3.1"	"8-10"	"247.0"	"佳木斯市"	"春"						"R"					
"14"	"80316"	"甜玉米"	"五常县"		"黑龙江农科院育种所"	"C0304"	"5/6"	"170"	"23"	"17"			"107"	"17.4"	"锥"	"甜质"	"黄"	"红"	"13.5"	"3.1"	"10"	"312.0"	"哈尔滨市"	"5.06"	"中间"	"103.8"	"76.9"					"12.72"	"7.58"	"61.64"	
"15"	"231036"	"细黄玉米"	"西畴县"		"云南农科院粮作所"	"287"	"5/21"	"279"	"157"	"22"			"136"	"20.0"	"中间"	"硬粒"	"黄"	"白"	"15.1"	"4.0"	"10-14"	"229.0"	"昆明市"	"5.21"	"平展"	"76.5"	"71.0"	"R"	"MS"						
"16"	"231049"	"早白玉米"	"砚山县"		"云南农科院粮作所"	"252"	"5/21"	"320"	"167"	"22"			"131"	"22.2"	"锥"	"硬粒"	"白"	"白"	"15.5"	"4.1"	"12-16"	"262.0"	"昆明市"	"5.21"	"平展"	"74.0"	"73.0"	"R"	"MS"	"S"	"S"	"12.98"	"5.3"	"69.06"	
"17"	"231051"	"白憨青"	"砚山县"		"云南农科院粮作所"	"263"	"5/21"	"287"	"141"	"22"			"133"	"20.0"	"中间"	"硬粒"	"白"	"白"	"13.8"	"3.9"	"12-16"	"218.0"	"昆明市"	"5.21"	"平展"	"91.5"	"83.0"	"S"	"MR"						
"18"	"231218"	"金黄包谷"	"屏边县"		"云南农科院粮作所"	"1723"	"5/7"	"361"	"234"	"26"			"135"	"10.0"	"中间"	"中间"	"黄"	"白"	"13.4"	"4.0"	"10-12"	"251.0"	"昆明市"	"5.07"	"平展"	"68.5"	"83.2"	"MR"	"MR"		"S"	"12.16"	"4.56"	"69.5"	"0.338
"
"19"	"231423"	"本地白包谷"	"剑川县"		"云南农科院粮作所"	"1714"	"5/7"	"295"	"125"	"19"			"117"	"6.3"	"中间"	"中间"	"白"	"白"	"13.2"	"4.7"	"8-12"	"443.0"	"昆明市"	"5.07"	"平展"	"93.5"	"76.0"	"MR"	"MR"	"S"	"S"	"10.8"	"4.28"	"72.42"	
"20"	"231426"	"本地黄包谷"	"剑川县"		"云南农科院粮作所"	"1712"	"5/7"	"290"	"129"	"19"			"108"	"4.8"	"中间"	"硬粒"	"黄"	"白"	"12.7"	"4.1"	"8-14"	"322.0"	"昆明市"	"5.07"	"平展"	"91.0"	"75.0"	"R"	"MS"		"S"	"12.52"	"5.14"	"70.1"	"0.312
"
"21"	"231524"	"夹黄包谷"	"云龙县"		"云南农科院粮作所"	"1149"	"5/21"	"302"	"149"	"21"			"138"	"10.0"	"中间"	"偏硬"	"黄"	"白"	"16.8"	"4.6"	"10-14"	"352.0"	"昆明市"	"5.21"	"平展"	"96.0"	"82.0"					"9.62"	"4.19"	"74.59"	
"22"	"231612"	"阿奶格奶"	"福贡县"		"云南农科院粮作所"	"1695"	"5/7"	"334"	"195"	"23"			"126"	"5.9"	"中间"	"硬粒"	"花"	"白"	"12.9"	"4.0"	"8-16"	"336.0"	"昆明市"	"5.07"	"平展"	"83.5"	"84.0"	"MR"	"MR"			"11.29"	"4.73"	"74.49"	
"23"	"231613"	"华坪马牙"	"福贡县"		"云南农科院粮作所"	"1703"	"5/7"	"334"	"157"	"20"			"132"	"10.5"	"中间"	"马齿"	"白"	"白"	"17.0"	"4.6"	"10-12"	"486.0"	"昆明市"	"5.07"	"平展"	"92.3"	"85.0"	"MR"	"MR"			"11.06"	"4.42"	"71.07"	
"24"	"231618"	"怒俄沙马此"	"福贡县"		"云南农科院粮作所"	"1700"	"5/7"	"283"	"148"	"21"			"117"	"14.2"	"中间"	"硬粒"	"白"	"白"	"12.7"	"3.8"	"8-14"	"356.0"	"昆明市"	"5.07"	"平展"	"90.0"	"82.0"	"R"	"MS"	"S"					
"25"	"231788"	"长穗糯"	"福贡县"		"云南农科院品资站"	"1940"	"5/17"	"253"	"112"	"18"			"118"	"2.4"	"柱"	"糯质"	"白"	"白"	"16.3"	"3.8"	"10-12"	"365.0"	"昆明市"	"5.17"	"平展"	"97.0"	"74.0"	"MS"	"HS"	"R"	"S"	"11.41"	"5.16"	"69.64"	"0.310
"
