"id"	"熟性"	"科名"	"品质"	"品种名称"	"小裂片对数"	"叶面蜡粉"	"叶面"	"株幅"	"收获期"	"开展度"	"省"	"叶裂刻"	"定植期"	"耐寒性"	"叶缘"	"肉质"	"单产"	"播种期"	"属名"	"统一编号"	"芥辣味"	"叶柄宽"	"学名"	"抗逆性"	"叶柄厚"	"繁种单位"	"生长期"	"叶柄色"	"耐旱性"	"株型"	"叶色"	"叶面刺毛"	"抗虫性"	"叶形"	"耐涝性"	"叶柄长"	"贮藏性"	"叶柄特征"	"备注"	"叶长"	"抗病性"	"结球性"	"叶宽"	"单株重"	"单位编号"	"译名"	"品种来源"	"用途"	"耐热性"	"栽培时期"	"种子千粒重"	"株高"	"分蘖性"	"叶翼"	"种质库编号"
"49"	"--"	"Cruciferae(十字花科)"	"--"	"九斤篼"	"--"	"--"	"中皱"	"--"	"--"	"109.0"	"湖南"	"--"	"--"	"--"	"深齿"	"脆嫩"	"3750"	"--"	"Brassica(芸薹属)"	"V03A0201"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"耐寒强"	"--"	"湖南农科院蔬菜所"	"140"	"--"	"--"	"--"	"深绿"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"长圆"	"叶茎兼用"	"--"	"强"	"--"	"--"	"1929.0"	"3-A29"	"JIU JIN DOU"	"湖南常德市"	"熟食腌制"	"--"	"10上中-11中12上-次年3中4中"	"--"	"56.7"	"弱"	"--"	"Ⅱ3A0088"
"50"	"--"	"Cruciferae(十字花科)"	"--"	"大叶排"	"--"	"--"	"--"	"--"	"--"	"50.0"	"湖南"	"--"	"--"	"--"	"深齿"	"脆嫩"	"2725"	"--"	"Brassica(芸薹属)"	"V03A0202"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"耐热耐寒强"	"--"	"湖南农科院蔬菜所"	"135"	"--"	"--"	"--"	"淡绿"	"--"	"--"	"披针"	"--"	"--"	"--"	"细窄"	"抗病毒病"	"--"	"抗病毒病强"	"--"	"--"	"800.0"	"3-A23"	"DA YE PAI"	"湖南长沙市"	"熟食腌制"	"--"	"(2上-11上)-(3上-12上)-(4下-次年4中)"	"--"	"56.0"	"弱"	"--"	"Ⅱ3A0085"
"51"	"--"	"Cruciferae(十字花科)"	"--"	"青菜"	"--"	"--"	"中皱"	"--"	"--"	"70.0"	"湖南"	"--"	"--"	"--"	"浅锯齿"	"脆嫩"	"5000"	"--"	"Brassica(芸薹属)"	"V03A0219"	"淡"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"中"	"--"	"湖南农科院蔬菜所"	"190"	"--"	"--"	"--"	"深绿"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"宽厚"	"--"	"--"	"强"	"--"	"--"	"2500.0"	"3-A01"	"QING CAI"	"湖南酃县"	"熟食腌制"	"--"	"10上-11上-4中"	"--"	"67.0"	"弱"	"--"	"Ⅱ3A0075"
"52"	"--"	"Cruciferae(十字花科)"	"--"	"紫雪里蕻"	"--"	"--"	"稍皱"	"--"	"--"	"15.0"	"吉林"	"对"	"--"	"--"	"深齿"	"脆嫩"	"1450"	"--"	"Brassica(芸薹属)"	"V03A0220"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"较强"	"--"	"吉林省蔬菜所"	"55"	"--"	"--"	"--"	"紫"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"扁圆"	"引自朝鲜"	"--"	"较强"	"--"	"--"	"60.0"	"69"	"ZI XUE LI HONG"	"吉林吉林市"	"腌制"	"--"	"8中下-10上中"	"--"	"25.0"	"中"	"--"	"Ⅱ3A0003"
"53"	"--"	"Cruciferae(十字花科)"	"--"	"弥陀芥菜"	"--"	"--"	"多皱"	"--"	"--"	"--"	"江苏"	"--"	"--"	"--"	"浅锯齿"	"--"	"2250"	"--"	"Brassica(芸薹属)"	"V03A0221"	"--"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"耐寒"	"--"	"江苏农科院蔬菜所"	"--"	"--"	"--"	"--"	"深绿"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"具瘤"	"--"	"--"	"抗病毒病强"	"--"	"--"	"4000.0"	"88-4-42"	"MI TUO JIE CAI"	"江苏常熟县"	"腌制"	"--"	"9下-次年1上中,11下-次年4中"	"--"	"25.0"	"弱"	"--"	"Ⅱ3A0284"
"54"	"--"	"Cruciferae(十字花科)"	"--"	"弥陀芥"	"--"	"--"	"多皱"	"--"	"--"	"65.0"	"江苏"	"--"	"--"	"--"	"浅锯齿"	"粗糙"	"2500"	"--"	"Brassica(芸薹属)"	"V03A0222"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"耐寒弱"	"--"	"江苏农科院蔬菜所"	"190"	"--"	"--"	"--"	"绿"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"具瘤"	"--"	"--"	"抗病毒病弱"	"--"	"--"	"400.0"	"78-0-4"	"MI TUO JIE"	"江苏常州市"	"熟食腌制"	"--"	"9下-次年4上"	"--"	"19.0"	"弱"	"--"	"Ⅱ3A0254"
"55"	"--"	"Cruciferae(十字花科)"	"--"	"黄叶雪里蕻"	"--"	"--"	"稍皱"	"--"	"--"	"67.5"	"江苏"	"--"	"--"	"--"	"浅锯齿"	"粗糙"	"3000"	"--"	"Brassica(芸薹属)"	"V03A0223"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"耐寒中"	"--"	"江苏农科院蔬菜所"	"84"	"--"	"--"	"--"	"黄绿"	"--"	"--"	"披针"	"--"	"--"	"--"	"细窄"	"--"	"--"	"抗病毒病弱"	"--"	"--"	"500.0"	"79-0-10"	"HUANG YE XUE LI HONG"	"江苏常州市"	"腌制"	"--"	"8下-11中"	"--"	"32.5"	"强"	"--"	"Ⅱ3A0253"
"56"	"--"	"Cruciferae(十字花科)"	"--"	"腊菜"	"--"	"--"	"中皱"	"--"	"--"	"62.5"	"江苏"	"--"	"--"	"--"	"浅锯齿"	"脆嫩"	"1750"	"--"	"Brassica(芸薹属)"	"V03A0247"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"耐寒弱"	"--"	"江苏农科院蔬菜所"	"84"	"--"	"--"	"--"	"深绿"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"细窄"	"--"	"--"	"抗病毒病弱"	"--"	"--"	"300.0"	"80-5-13"	"LA CAI"	"江苏雎宁县"	"腌制"	"--"	"8下-11中"	"--"	"27.5"	"强"	"--"	"Ⅱ3A0110"
"57"	"--"	"Cruciferae(十字花科)"	"--"	"细叶雪里蕻"	"--"	"--"	"--"	"--"	"--"	"30.0"	"辽宁"	"--"	"--"	"--"	"深齿"	"粗糙"	"2500"	"--"	"Brassica(芸薹属)"	"V03A0248"	"淡"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"--"	"--"	"辽宁农科院园艺所"	"55"	"--"	"--"	"--"	"深绿"	"--"	"--"	"羽状"	"--"	"--"	"--"	"扁圆"	"--"	"--"	"--"	"--"	"--"	"90.0"	"3CB3"	"XI YE XUE LI HONG"	"辽宁大连市"	"腌制"	"--"	"8中下-10中"	"--"	"50.0"	"强"	"--"	"Ⅱ3A0129"
"58"	"--"	"Cruciferae(十字花科)"	"--"	"宽梗芥菜"	"--"	"--"	"中皱"	"--"	"--"	"45.0"	"江西"	"8对"	"--"	"--"	"波状"	"脆嫩"	"3500"	"--"	"Brassica(芸薹属)"	"V03A0249"	"淡"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"耐寒中"	"--"	"南昌市蔬菜所"	"160"	"--"	"--"	"--"	"淡绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"扁圆"	"抽薹较迟"	"--"	"抗病较弱"	"--"	"--"	"1500.0"	"Ⅱ3A0010"	"KUAN GENG JIE CAI"	"江西抚州市"	"加工熟食腌制"	"--"	"(9中-10上)-(次年1中-3)"	"--"	"56.0"	"中"	"无"	"Ⅱ3A0325"
"59"	"--"	"Cruciferae(十字花科)"	"--"	"青梗芥菜"	"--"	"--"	"稍皱"	"--"	"--"	"65.0"	"江西"	"9对"	"--"	"--"	"波状"	"脆嫩"	"4500"	"--"	"Brassica(芸薹属)"	"V03A0250"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"南昌市蔬菜所"	"220"	"--"	"--"	"--"	"绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"扁圆"	"--"	"--"	"强"	"--"	"--"	"1200.0"	"Ⅱ3A0005"	"QING GENG JIE CAI"	"江西赣县"	"熟食"	"--"	"9上-11-次年3"	"--"	"67.5"	"中"	"无"	"Ⅱ3A0416"
"60"	"--"	"Cruciferae(十字花科)"	"--"	"板叶雪里蕻"	"--"	"--"	"平滑"	"--"	"--"	"68.0"	"江西"	"12对"	"--"	"--"	"锯齿"	"脆嫩"	"3500"	"--"	"Brassica(芸薹属)"	"V03A0251"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"耐寒耐瘠"	"--"	"南昌市蔬菜所"	"120"	"--"	"--"	"--"	"绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"圆"	"--"	"--"	"抗霜霉病弱"	"--"	"--"	"1100.0"	"Ⅱ3C0001"	"BAN YE XUE LI HONG"	"江西南昌市"	"加工腌制"	"--"	"(3-4)-(5-6)"	"--"	"50.0"	"强"	"有"	"Ⅱ3A0329"
"61"	"--"	"Cruciferae(十字花科)"	"--"	"芥菜"	"--"	"--"	"稍皱"	"--"	"--"	"75.0"	"江西"	"13对"	"--"	"--"	"波状"	"粗糙"	"3000"	"--"	"Brassica(芸薹属)"	"V03A0257"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"南昌市蔬菜所"	"180"	"--"	"--"	"--"	"深绿"	"--"	"--"	"卵圆"	"--"	"--"	"--"	"扁圆"	"--"	"--"	"强"	"--"	"--"	"1500.0"	"Ⅱ3A0001"	"JIE CAI"	"江西宜春市"	"熟食腌制"	"--"	"(9-10)-11-次年3"	"--"	"73.0"	"强"	"有"	"Ⅱ3A0141"
