"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"35"	"晚"	"冬11号"	"毛边籽大冬瓜"	"蔓生"	"MAO BIAN ZI DA DONG GUA"	"5.1"	"130"	"多"	"弱"	"抗"	"绿"	"--"	"--"	"--"	"--"	"4500"	"绿色"	"*"	"圆柱形"	"--"	"--"	"22"	"河北"	"V05E0063"	"河北农科院蔬菜所"	"强"	"Ⅱ5C0115"	"河北省蔬菜所"	"--"	"3下-8上"	"--"	"具刺"
"36"	"中"	"冬15号"	"大青皮冬瓜"	"葡匐蔓生"	"DA QING PI DONG GUA"	"5.0"	"130"	"少"	"中"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"2500"	"绿色"	"--"	"扁圆形"	"无"	"--"	"12"	"河北"	"V05E0064"	"河北农科院蔬菜所"	"强"	"Ⅱ5C0093"	"河北石家庄市"	"--"	"4下-9上"	"--"	"平"
"37"	"中"	"冬6号"	"冬瓜"	"葡匐蔓生"	"DONG GUA"	"2.0"	"120"	"少"	"中"	"不抗病毒"	"绿"	"--"	"掌状"	"--"	"--"	"2250"	"绿色"	"--"	"圆柱形"	"白"	"--"	"21"	"河北"	"V05E0065"	"河北农科院蔬菜所"	"中"	"Ⅱ5C0233"	"河北肃宁县"	"--"	"4下-8下"	"--"	"平"
"38"	"晚"	"冬2号"	"青皮冬瓜"	"--"	"QING PI DONG GUA"	"10.0"	"145"	"少"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"3750"	"绿色"	"*"	"圆柱形"	"--"	"致密汁多"	"13"	"河北"	"V05E0066"	"河北农科院蔬菜所"	"耐寒"	"Ⅱ5C0140"	"河北唐山市"	"--"	"4-8"	"--"	"平"
"39"	"中"	"冬21号"	"元氏冬瓜"	"葡匐蔓生"	"YUAN SHI DONG GUA"	"2.8"	"120"	"多"	"中"	"不抗病毒"	"绿"	"--"	"掌状"	"--"	"--"	"2000"	"绿色"	"--"	"圆柱形"	"白"	"--"	"20"	"河北"	"V05E0068"	"河北农科院蔬菜所"	"中"	"Ⅱ5C0205"	"河北元氏县"	"--"	"4下-8下"	"--"	"平"
"40"	"早"	"冬3号"	"地爬冬瓜"	"葡匐蔓生"	"DI PA DONG GUA"	"5.0"	"110"	"多"	"中"	"不抗病毒"	"绿"	"--"	"掌状"	"--"	"--"	"2000"	"绿色"	"--"	"圆柱形"	"白"	"--"	"13"	"河北"	"V05E0069"	"河北农科院蔬菜所"	"中"	"Ⅱ5C0232"	"河北遵化县"	"--"	"4下-8中"	"--"	"平"
"41"	"中"	"6C0001"	"安阳冬瓜"	"蔓生"	"AN YANG DONG GUA"	"7.5"	"110"	"多"	"--"	"--"	"绿"	"--"	"心形"	"--"	"--"	"4500"	"--"	"*"	"圆柱形"	"--"	"--"	"9"	"河南"	"V05E0070"	"河南农科院园艺所"	"--"	"Ⅱ5C0162"	"河南安阳市"	"--"	"4下-8中"	"--"	"--"
"42"	"晚"	"6C0024"	"方城冬瓜"	"蔓生"	"FANG CHENG DONG GUA"	"4.5"	"120"	"中"	"--"	"抗"	"绿"	"--"	"心形"	"--"	"--"	"3500"	"--"	"*"	"圆柱形"	"--"	"--"	"21"	"河南"	"V05E0071"	"河南农科院园艺所"	"--"	"Ⅱ5C0022"	"河南方城县"	"--"	"4中-8中"	"--"	"具刺"
"43"	"晚"	"6C0004"	"滑县冬瓜"	"蔓生"	"HUA XIAN DONG GUA"	"5.5"	"140"	"多"	"--"	"抗"	"绿"	"--"	"心形"	"--"	"--"	"4000"	"--"	"*种子边缘光滑"	"圆柱形"	"--"	"--"	"26"	"河南"	"V05E0072"	"河南农科院园艺所"	"--"	"Ⅱ5C0085"	"河南滑县"	"--"	"4下-9中"	"--"	"具刺"
"44"	"晚"	"6C0014"	"光籽冬瓜"	"蔓生"	"GUANG ZI DONG GUA"	"6.7"	"120"	"多"	"--"	"抗"	"绿"	"--"	"心形"	"--"	"--"	"5500"	"--"	"*"	"圆柱形"	"--"	"--"	"16"	"河南"	"V05E0074"	"河南农科院园艺所"	"--"	"Ⅱ5C0020"	"河南开封市"	"--"	"4中-8中"	"--"	"具刺"
"45"	"晚"	"6C0048"	"开封冬瓜"	"--"	"KAI FENG DONG GUA"	"16.0"	"150"	"多"	"--"	"抗"	"--"	"--"	"心形"	"--"	"--"	"2500"	"--"	"--"	"圆柱形"	"多"	"--"	"21"	"河南"	"V05E0076"	"河南农科院园艺所"	"--"	"Ⅱ5C0176"	"河南开封县"	"--"	"4中-9上"	"--"	"--"
"46"	"晚"	"6C0052"	"开封长冬瓜"	"--"	"KAI FENG CHANG DONG GUA"	"18.0"	"150"	"--"	"--"	"抗"	"--"	"--"	"心形"	"--"	"--"	"5000"	"--"	"--"	"圆柱形"	"较"	"--"	"19"	"河南"	"V05E0077"	"河南农科院园艺所"	"--"	"Ⅱ5C0192"	"河南开封县"	"--"	"4中-9上"	"--"	"--"
"47"	"晚"	"6C0054"	"开封冬瓜"	"--"	"KAI FENG DONG GUA"	"16.0"	"150"	"多"	"--"	"抗"	"--"	"--"	"心形"	"--"	"--"	"5000"	"--"	"--"	"圆柱形"	"多"	"--"	"21"	"河南"	"V05E0078"	"河南农科院园艺所"	"--"	"Ⅱ5C0193"	"河南开封县"	"--"	"4中-9上"	"--"	"--"
"48"	"中"	"Ⅱ5C0002"	"粉皮冬瓜"	"蔓生"	"FEN PI DONG GUA"	"3.5"	"120"	"多"	"弱"	"中"	"绿"	"--"	"圆形"	"--"	"--"	"2000"	"绿色"	"--"	"圆柱形"	"多"	"圆滑致密"	"8"	"湖北"	"V05E0103"	"湖北农科院经作所"	"强"	"Ⅱ5C0068"	"湖北武汉市"	"--"	"4上-10下"	"--"	"平"
"49"	"中"	"5-C27"	"安乡青皮冬瓜"	"攀援蔓生"	"AN XIANG QING PI DONG GUA"	"18.0"	"120"	"少"	"中"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"6000"	"绿色"	"--"	"圆柱形"	"--"	"微甜"	"11"	"湖南"	"V05E0104"	"湖南农科院蔬菜所"	"强"	"Ⅱ5C0075"	"湖南安乡县"	"--"	"3上-6中10中"	"--"	"平"
"50"	"晚"	"5-C06"	"常德棚冬瓜"	"--"	"CHANG DE PENG DONG GUA"	"15.0"	"--"	"多"	"中"	"重感"	"绿"	"--"	"掌状"	"微甜"	"--"	"3500"	"绿色"	"*"	"圆柱形"	"--"	"软"	"30"	"湖南"	"V05E0105"	"湖南农科院蔬菜所"	"耐热"	"Ⅱ5C0037"	"湖南常德市"	"--"	"--"	"--"	"具刺"
"51"	"中"	"5-C15"	"长沙青皮冬瓜"	"攀援蔓生"	"CHANG SHA QING PI DONG GUA"	"7.5"	"--"	"少"	"中"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"3750"	"--"	"*60年代末引自广东"	"圆柱形"	"--"	"--"	"19"	"湖南"	"V05E0106"	"湖南农科院蔬菜所"	"耐热旱"	"Ⅱ5C0042"	"湖南长沙市"	"--"	"--"	"--"	"具刺"
"52"	"晚"	"5-C14"	"宁乡青皮冬瓜"	"--"	"NING XIANG QING PI DONG GUA"	"26.0"	"--"	"少"	"强"	"中"	"绿"	"--"	"掌状"	"微甜"	"斑纹"	"5000"	"绿色"	"*"	"圆柱形"	"--"	"致密"	"18"	"湖南"	"V05E0123"	"湖南农科院蔬菜所"	"耐热"	"Ⅱ5C0041"	"湖南宁乡县"	"--"	"--"	"--"	"棱"
"53"	"中"	"5-C18"	"湘潭撑棚冬瓜"	"攀援蔓生"	"XIANG TAN CHENG PENG DONG GUA"	"23.0"	"--"	"少"	"强"	"不抗疫病枯萎"	"绿"	"--"	"掌状"	"微甜"	"--"	"4500"	"黄色"	"*"	"圆柱形"	"--"	"软"	"28"	"湖南"	"V05E0127"	"湖南农科院蔬菜所"	"耐热"	"Ⅱ5C0044"	"湖南湘潭市"	"--"	"--"	"--"	"具刺"
"54"	"晚"	"80-1-18"	"青皮冬瓜"	"葡匐蔓生"	"QING PI DONG GUA"	"6.9"	"106"	"少"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"4000"	"绿色"	"*"	"椭圆形"	"--"	"致密"	"23"	"江苏"	"V05E0144"	"江苏农科院蔬菜所"	"耐热"	"Ⅱ5C0223"	"江苏南京市"	"--"	"5上-8中-8下"	"--"	"--"
"55"	"早"	"80-1-16"	"早熟冬瓜"	"葡匐蔓生"	"ZAO SHU DONG GUA"	"2.6"	"75"	"少"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"1750"	"绿色"	"*"	"椭圆形"	"--"	"致密"	"11"	"江苏"	"V05E0148"	"江苏农科院蔬菜所"	"耐热"	"Ⅱ5C0214"	"江苏南京市"	"--"	"5上-7中-8上"	"--"	"棱"
"56"	"早"	"80-1-14"	"一窝蜂早熟冬瓜"	"葡匐蔓生"	"YI WO FENG ZAO SHU DONG GUA"	"3.5"	"71"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"3750"	"绿色"	"*"	"圆柱形"	"--"	"软"	"14"	"江苏"	"V05E0149"	"江苏农科院蔬菜所"	"耐热"	"Ⅱ5C0222"	"江苏南京市"	"--"	"5上-7中-8上"	"--"	"--"
"57"	"中"	"80-1-13"	"耐热早熟冬瓜"	"葡匐蔓生"	"NAI RE ZAO SHU DONG GUA"	"3.5"	"75"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"2750"	"绿色"	"*"	"圆柱形"	"--"	"致密"	"14"	"江苏"	"V05E0150"	"江苏农科院蔬菜所"	"耐热"	"Ⅱ5C0221"	"江苏南京市"	"--"	"5上-7中-8上"	"--"	"--"
"58"	"早"	"79-1-9"	"本冬瓜"	"葡匐蔓生"	"BEN DONG GUA"	"7.4"	"71"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"4500"	"绿色"	"*"	"椭圆形"	"--"	"致密"	"15"	"江苏"	"V05E0151"	"江苏农科院蔬菜所"	"耐热"	"Ⅱ5C0220"	"江苏南京市"	"--"	"5上-7中-8上"	"--"	"棱"
"59"	"晚"	"80-8-28"	"青皮冬瓜"	"葡匐蔓生"	"QING PI DONG GUA"	"8.0"	"83"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"4500"	"绿色"	"*"	"椭圆形"	"--"	"致密"	"18"	"江苏"	"V05E0152"	"江苏农科院蔬菜所"	"--"	"Ⅱ5C0147"	"江苏南通市"	"--"	"5上-7下-8下"	"--"	"--"
"60"	"早"	"82-3-33"	"早白皮冬瓜"	"葡匐蔓生"	"ZAO BAI PI DONG GUA"	"10.0"	"65"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"2750"	"绿色"	"*"	"扁圆形"	"--"	"致密"	"10"	"江苏"	"V05E0161"	"江苏农科院蔬菜所"	"耐热"	"Ⅱ5C0105"	"江苏宜兴县"	"--"	"4下-6中-7下"	"--"	"具刺"
"61"	"早"	"89-2-40"	"早青皮冬瓜"	"葡匐蔓生"	"ZAO QING PI DONG GUA"	"3.5"	"78"	"少"	"中"	"中"	"绿"	"--"	"掌状"	"微甜"	"--"	"1750"	"绿色"	"--"	"圆柱形"	"--"	"致密"	"9"	"江苏"	"V05E0162"	"江苏农科院蔬菜所"	"耐热"	"Ⅱ5C0216"	"江苏镇江市"	"--"	"4下-8上"	"--"	"平"
"62"	"早"	"Ⅱ5C0008"	"白皮迟冬瓜"	"蔓生"	"BAI PI CHI DONG GUA"	"20.0"	"110"	"--"	"强"	"抗"	"白"	"--"	"盘形"	"--"	"--"	"5000"	"奶油色"	"--"	"圆柱形"	"--"	"软"	"8"	"江西"	"V05E0163"	"南昌市蔬菜所"	"强"	"Ⅱ5C0120"	"江西吉安市"	"--"	"2中-6中"	"--"	"平"
"63"	"晚"	"Ⅱ5C0009"	"金水一号冬瓜"	"蔓生"	"JIN SHUI YI HAO DONG GUA"	"--"	"225"	"多"	"强"	"中"	"绿"	"--"	"心形"	"--"	"--"	"750"	"绿色"	"--"	"圆柱形"	"密"	"--"	"18"	"江西"	"V05E0164"	"南昌市蔬菜所"	"强"	"Ⅱ5C0152"	"江西金溪县"	"--"	"4上-11下"	"--"	"平"
"64"	"中"	"Ⅱ5C0006"	"早熟冬瓜"	"蔓生"	"ZAO SHU DONG GUA"	"25.0"	"105"	"--"	"强"	"抗蚜虫"	"绿"	"--"	"掌状"	"--"	"--"	"6750"	"绿色"	"--"	"椭圆形"	"--"	"--"	"--"	"江西"	"V05E0165"	"南昌市蔬菜所"	"强"	"Ⅱ5C0116"	"江西临川县"	"--"	"4中-8上"	"--"	"--"
"65"	"晚"	"内5C001"	"开鲁冬瓜"	"蔓生"	"KAI LU DONG GUA"	"3.9"	"145"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"淡而无味"	"--"	"1125"	"褐色"	"--"	"圆柱形"	"--"	"细嫩"	"--"	"内蒙"	"V05E0169"	"内蒙农科院蔬菜所"	"强"	"Ⅱ5C0125"	"内蒙开鲁县"	"--"	"5下-9中"	"斑块状"	"具刺"
