"id"	"保存编号"	"品种名称"	"叶色"	"叶柄肉质"	"生育期"	"抗逆性"	"风味"	"叶柄长"	"亩产"	"译名"	"备注"	"单株重"	"统一编号"	"保存单位"	"叶柄宽"	"抗病虫性"	"叶柄厚"	"种子来源"	"叶柄断面"	"株高"	"叶柄色"	"种质库编号"	"栽培季节"
"19"	"G66-9"	"青系西芹13号"	"绿"	"中等"	"157"	"强"	"浓"	"19.0"	"1091"	"QING XI XI QIN 13 HAO"	"--"	"325.0"	"V09B0021"	"广东农科院经作所"	"1.8"	"强"	"0.9"	"广东引自上海"	"空心"	"47.5"	"浅绿"	"Ⅱ9B0176"	"10-12"
"20"	"1200024"	"白梗芹菜"	"浅绿"	"中等"	"125"	"中"	"中"	"70.0"	"--"	"BAI GENG QIN CAI"	"--"	"160.0"	"V09B0022"	"广西农科院园艺所"	"--"	"--"	"--"	"广西桂林市"	"空心"	"65.0"	"白"	"Ⅱ9B0010"	"8-11"
"21"	"200028"	"新云芹菜"	"绿"	"脆嫩"	"135"	"中"	"浓"	"80.0"	"--"	"XIN YUN QIN CAI"	"--"	"175.0"	"V09B0023"	"广西农科院园艺所"	"--"	"--"	"--"	"广西柳州市"	"空心"	"75.0"	"绿"	"Ⅱ9B0011"	"8-11"
"22"	"9-B-22-42"	"青杆芹"	"绿"	"脆嫩"	"110"	"耐涝"	"浓"	"15.0"	"1750"	"QING GAN QIN"	"可食采收期"	"120.0"	"V09B0024"	"贵州农科院园艺所"	"1.5"	"抗虫"	"0.5"	"贵州遵义市"	"空心"	"38.0"	"浅绿"	"Ⅱ9B0183"	"8月-12月"
"23"	"芹27号"	"武强实杆芹"	"绿"	"中等"	"120"	"强"	"浓"	"55.0"	"2500"	"WU QIANG SHI GAN QIN"	"--"	"300.0"	"V09B0034"	"河北农科院蔬菜所"	"1.4"	"中"	"1.2"	"河北武强县"	"实心"	"80.0"	"浅绿"	"Ⅱ9B0037"	"6月-10月"
"24"	"芹11号"	"元氏芹菜"	"深绿"	"中等"	"120"	"中上"	"浓"	"60.0"	"2000"	"YUAN SHI QIN CAI"	"--"	"300.0"	"V09B0035"	"河北农科院蔬菜所"	"1.5"	"中"	"1.2"	"河北元氏县"	"实心"	"80.0"	"绿"	"Ⅱ9B0008"	"3月-7月,6月-10月"
"25"	"9A0001"	"安阳实心芹"	"绿"	"--"	"150"	"弱"	"浓"	"19.0"	"1000"	"AN YANG SHI XIN QIN"	"--"	"34.0"	"V09B0036"	"河南农科院园艺所"	"0.8"	"弱"	"0.6"	"河南安阳县"	"实心"	"39.1"	"绿"	"Ⅱ9B0223"	"6下-11下"
"26"	"9A0033"	"宝丰白芹"	"浅绿"	"--"	"120"	"中"	"浓"	"42.5"	"1250"	"BAO FENG BAI QIN"	"--"	"44.5"	"V09B0037"	"河南农科院园艺所"	"0.7"	"中"	"0.6"	"河南宝丰县"	"空心"	"42.5"	"白"	"Ⅱ9B0222"	"5-8"
"27"	"9A0006"	"张占实心芹"	"绿"	"--"	"180"	"弱"	"--"	"20.9"	"1250"	"ZHANG ZHAN SHI XIN QIN"	"--"	"49.5"	"V09B0038"	"河南农科院园艺所"	"0.8"	"弱"	"0.6"	"河南长垣县"	"实心"	"41.8"	"浅绿"	"Ⅱ9B0105"	"5上-11上"
"28"	"9A0062"	"汝阳白杆芹"	"绿"	"--"	"160"	"较强"	"浓"	"19.0"	"--"	"RU YANG BAI GAN QIN"	"--"	"125.0"	"V09B0059"	"河南农科院园艺所"	"0.8"	"较弱"	"0.5"	"河南汝阳县"	"空心"	"60.0"	"白"	"Ⅱ9B0236"	"4中-11上"
"29"	"9A0015"	"陕县白杆芹"	"绿"	"--"	"270"	"弱"	"--"	"23.5"	"1000"	"SHAN XIAN BAI GAN QIN"	"--"	"35.5"	"V09B0060"	"河南农科院园艺所"	"0.6"	"弱"	"0.5"	"河南陕县"	"空心"	"--"	"白"	"Ⅱ9B0089"	"7中-4中"
"30"	"9A0028"	"商丘芹菜"	"绿"	"--"	"180"	"较强"	"浓"	"34.3"	"1750"	"SHANG QIU QIN CAI"	"--"	"65.0"	"V09B0061"	"河南农科院园艺所"	"0.7"	"较强"	"0.7"	"河南商丘县"	"空心"	"59.5"	"浅绿"	"Ⅱ9B0220"	"5上-11上"
"31"	"9A0037"	"沈丘芹菜"	"绿"	"--"	"190"	"中"	"--"	"55.0"	"1500"	"SHEN QIU QIN CAI"	"--"	"88.0"	"V09B0062"	"河南农科院园艺所"	"0.8"	"中"	"0.8"	"河南沈丘县"	"空心"	"--"	"浅绿"	"Ⅱ9B0107"	"9-3"
"32"	"9A0039"	"桐柏芹菜"	"绿"	"--"	"210"	"弱"	"--"	"28.4"	"1250"	"TONG BAI QIN CAI"	"--"	"49.0"	"V09B0063"	"河南农科院园艺所"	"0.7"	"弱"	"0.5"	"河南桐柏县"	"空心"	"--"	"浅绿"	"Ⅱ9B0079"	"4-119-4"
"33"	"9A0003"	"淇县芹菜"	"绿"	"--"	"210"	"中"	"浓"	"24.8"	"1000"	"QI XIAN QIN CAI"	"--"	"49.4"	"V09B0079"	"河南农科院园艺所"	"0.7"	"弱"	"0.6"	"河南淇县"	"空心"	"46.9"	"浅绿"	"Ⅱ9B0221"	"4中-11中"
"34"	"9A0016"	"渑池空心芹"	"绿"	"--"	"75"	"中"	"--"	"21.8"	"1000"	"MIAN CHI KONG XIN QIN"	"--"	"27.5"	"V09B0080"	"河南农科院园艺所"	"0.6"	"较强"	"0.5"	"河南渑池县"	"空心"	"--"	"浅绿"	"Ⅱ9B0083"	"3中-5上中,7下-10下"
"35"	"9A0017"	"洛阳空心芹"	"绿"	"--"	"175"	"较弱"	"--"	"23.3"	"1000"	"LUO YANG KONG XIN QIN"	"--"	"30.0"	"V09B0081"	"河南农科院园艺所"	"0.7"	"弱"	"0.6"	"河南渑池县"	"空心"	"--"	"浅绿"	"Ⅱ9B0097"	"4中-7中,7下-4中"
"36"	"9A0029"	"柘城胡芹"	"绿"	"--"	"180"	"较强"	"--"	"38.1"	"1750"	"ZHE CHENG HU QIN"	"--"	"77.0"	"V09B0082"	"河南农科院园艺所"	"0.8"	"较强"	"2.5"	"河南柘城县"	"空心"	"--"	"绿"	"Ⅱ9B0084"	"5上-11上"
"37"	"9A0027"	"睢县白杆芹"	"绿"	"--"	"240"	"中"	"--"	"26.9"	"1500"	"SUI XIAN BAI GAN QIN"	"--"	"39.5"	"V09B0083"	"河南农科院园艺所"	"0.5"	"中"	"2.0"	"河南睢县"	"空心"	"--"	"绿"	"Ⅱ9B0109"	"8上-4上"
"38"	"9-B17"	"青梗芹菜"	"绿"	"中等"	"65"	"较耐热"	"浓"	"29.0"	"4250"	"QING GENG QIN CAI"	"--"	"--"	"V09B0093"	"湖南农科院蔬菜所"	"0.8"	"中"	"0.7"	"湖南长沙市"	"空心"	"50.0"	"绿"	"Ⅱ9B0121"	"7下-10中2中"
"39"	"9-B05"	"凤凰芹菜"	"浅绿"	"中等"	"90"	"强"	"浓"	"40.0"	"3250"	"FENG HUANG QIN CAI"	"--"	"145.0"	"V09B0094"	"湖南农科院蔬菜所"	"1.0"	"强"	"0.5"	"湖南凤凰县"	"实心"	"60.0"	"浅绿"	"Ⅱ9B0114"	"8下-12上2"
"40"	"9-B11"	"细叶芹菜"	"绿"	"脆嫩"	"90"	"中"	"浓"	"50.0"	"2750"	"XI YE QIN CAI"	"--"	"50.0"	"V09B0095"	"湖南农科院蔬菜所"	"0.6"	"中"	"0.4"	"湖南洪江市"	"空心"	"80.0"	"浅绿"	"Ⅱ9B0136"	"8下-12下1"
