"id"	"科名"	"生育期评价"	"品种名称"	"始果年龄"	"原产地"	"省"	"外观评价"	"汁液"	"鲜枣可食率"	"内质评价"	"早果性评价"	"含酸量％"	"总糖％"	"维生素C"	"果实成熟期"	"特异及用途"	"单果重评价"	"风味"	"肉质"	"果形"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"生育期D"	"整齐度"
"20"	"Rhamnaceae(鼠李科)"	"中"	"保德小枣"	"3"	"山西保德"	"山西"	"中"	"中"	"94.60"	"中"	"中"	"1.02"	"27.36"	"415.13"	"9.25"	"制干"	"中"	"酸"	"致密"	"圆柱"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0020"	"BAO DE XIAO ZAO"	"10.6"	"Zizyphus(枣属)"	"红"	"176"	"整齐"
"21"	"Rhamnaceae(鼠李科)"	"中"	"晋县木枣"	"3"	"河北晋县"	"河北"	"中"	"中"	"94.58"	"中"	"中"	"0.87"	"24.88"	"604.97"	"9.25"	"含维生素C极高,制干"	"中"	"酸甜"	"致密"	"扁柱"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0052"	"JIN XIAN MU ZAO"	"10.3"	"Zizyphus(枣属)"	"紫红"	"186"	"整齐"
"22"	"Rhamnaceae(鼠李科)"	"中"	"束鹿糖枣"	"2"	"河北束鹿"	"河北"	"较好"	"少"	"93.78"	"中上"	"早"	"0.83"	"24.01"	"374.70"	"10.01"	"鲜食制干兼用"	"中"	"甜"	"较致密"	"扁柱"	"极晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0055"	"SHU LU TANG ZAO"	"10.8"	"Zizyphus(枣属)"	"紫红"	"184"	"整齐"
"23"	"Rhamnaceae(鼠李科)"	"中"	"酸枣"	"3"	"河北献县"	"河北"	"较好"	"少"	"86.34"	"中"	"中"	"0.86"	"22.78"	"485.87"	"9.23"	"砧木"	"极小"	"酸甜"	"疏松"	"圆"	"晚"	"Zizyphus spinosus (Mill.) Hu(酸枣)"	"ZF0071"	"SUAN ZAO"	"2.1"	"Zizyphus(枣属)"	"紫红"	"176"	"整齐"
"24"	"Rhamnaceae(鼠李科)"	"中"	"三变红枣"	"3"	"河南濮阳"	"河南"	"较好"	"中"	"93.70"	"中上"	"中"	"0.54"	"28.25"	"343.35"	"10.03"	"制干"	"中"	"甜"	"较致密"	"圆柱"	"极晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0077"	"SAN BIAN HONG ZAO"	"14.6"	"Zizyphus(枣属)"	"浅红"	"184"	"整齐"
"25"	"Rhamnaceae(鼠李科)"	"中"	"光洋枣"	"3"	"河南新郑"	"河南"	"中"	"中"	"95.21"	"中"	"中"	"0.78"	"35.03"	"477.35"	"9.29"	"含糖极高,鲜食制干兼用"	"中"	"酸甜"	"较致密"	"圆柱"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0087"	"GUANG YANG ZAO"	"10.8"	"Zizyphus(枣属)"	"浅红"	"180"	"整齐"
"26"	"Rhamnaceae(鼠李科)"	"中"	"陕西墩墩枣"	"3"	"陕西蒲城"	"陕西"	"较好"	"中"	"94.81"	"中"	"中"	"0.47"	"24.93"	"372.29"	"9.29"	"制干"	"大"	"甜"	"疏松"	"扁圆"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0093"	"SHAN XI DUN DUN ZAO"	"19.6"	"Zizyphus(枣属)"	"浅红"	"182"	"较整齐"
"27"	"Rhamnaceae(鼠李科)"	"中"	"陕西鸡蛋枣"	"3"	"四川奉节"	"四川"	"较好"	"多"	"96.41"	"中上"	"中"	"0.43"	"23.50"	"266.17"	"9.29"	"鲜食制干兼用"	"大"	"酸甜"	"酥脆"	"卵圆"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0096"	"SHAN XI JI DAN ZAO"	"17.2"	"Zizyphus(枣属)"	"紫红"	"178"	"较整齐"
"28"	"Rhamnaceae(鼠李科)"	"中"	"轱辘枣"	"2"	"陕西临潼"	"陕西"	"中"	"中"	"93.80"	"中"	"早"	"0.89"	"24.12"	"431.45"	"9.29"	"制干"	"中"	"酸甜"	"较致密"	"卵圆"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0100"	"GU LU ZAO"	"12.1"	"Zizyphus(枣属)"	"紫红"	"180"	"较整齐"
"29"	"Rhamnaceae(鼠李科)"	"中"	"北京泡泡枣"	"3"	"北京"	"北京"	"较好"	"少"	"97.23"	"中"	"中"	"0.61"	"22.26"	"408.71"	"10.07"	"极丰产"	"大"	"酸甜"	"致密"	"长圆"	"极晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0113"	"BEI JING PAO PAO ZAO"	"16.6"	"Zizyphus(枣属)"	"红"	"182"	"整齐"
"30"	"Rhamnaceae(鼠李科)"	"中"	"磨盘枣"	"3"	"山东乐陵"	"山东"	"较好"	"少"	"93.52"	"中"	"中"	"0.51"	"23.92"	"448.27"	"9.25"	"观赏"	"小"	"甜"	"致密"	"磨盘"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0115"	"MO PAN ZAO"	"7.2"	"Zizyphus(枣属)"	"红"	"178"	"整齐"
"31"	"Rhamnaceae(鼠李科)"	"中"	"躺枣"	"4"	"山东腾县"	"山东"	"较好"	"多"	"95.60"	"中上"	"晚"	"0.51"	"28.78"	"331.53"	"9.25"	"鲜食制干兼用"	"小"	"甜"	"酥脆"	"圆柱"	"晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0116"	"TANG ZAO"	"9.2"	"Zizyphus(枣属)"	"红"	"176"	"整齐"
"32"	"Rhamnaceae(鼠李科)"	"中"	"中草笨枣"	"4"	"陕西大荔"	"陕西"	"较好"	"中"	"94.56"	"中"	"晚"	"0.51"	"22.19"	"315.97"	"10.01"	"制干"	"大"	"甜"	"较致密"	"圆柱"	"极晚"	"Zizyphus jujuba Mill.(枣)"	"ZF0121"	"ZHONG CAO BEN ZAO"	"17.9"	"Zizyphus(枣属)"	"红"	"180"	"较整齐"
