"id"	"品种名称"	"代表品种"	"来源"
"140"	"豫 12"	"用该自交系可替代Mo17来配制改良单交种"	"由河南省农大用MO17与豫玉20姊妹系配制而成。"
"141"	"许 052"	"京杂6号"	"该自交系在夏播区生育期为110～112天，春播区生育期为120～135天。全生育期≥10℃积温2700～2800度・日。"
"142"	"天涯4"	"户单4号"	"陕西省户县种子公司以“武109 ×黄早四”为基础材料，于1984年育成，是二环系。"
"143"	"835"	"西单 2号"	"1993年由太原市种子公司引入山西省。"
"144"	"803"	"户单 4号"	"是陕西省户县种子公司以“U8112×5003”为基础材料，于1987年育成的二环系。"
"145"	"武125"	"陕单12号"	"是陕西省农业科学院1987年从美国先锋78607经多代自交系选而成。"
"146"	"K22"	"陕单902"	"是陕西省农业科学院粮食作物研究所1989年从“K11 ×478”杂交后代中选出的二环系。"
"147"	"K14"	"陕911"	"是陕西省农业科学院粮食作物研究所1989年从“5005×6917”杂交后代中选出的二环系。"
"148"	"K12"	"陕单902、陕单911、陕单931"	"陕西省农业科学院粮食作物研究所"
"149"	"145"	"陕高农1号和陕高农2号"	"陕西省农业科学院粮食作物研究所"
"150"	"武109"	"陕单9号"	"陕西省农业科学院"
"151"	"8902"	"吉单209"	
"152"	"ZA5716"	"张单251"	"甘肃省张掖地区农业科学研究所"
"153"	"ZA6192"	"张单481、张单 1825和张单476"	"甘肃省张掖地区农业科学研究所"
"154"	"酒138－5"	"酒单4号"	"甘肃省酒泉地区农业科学研究所"
"155"	"ZPL717"	"SC704"	"前南斯拉夫泽蒙玉米研究所"
"156"	"材11－8"	"成单8号、成单11号、成单12号"	"四川省农业科学院作物栽培育种研究所"
"157"	"200B"	"郑 32 × 200B；成单 14号"	"四川省农业科学院作物栽培育种研究所"
"158"	"698一3"	"成单18号"	"四川省农业科学院作物栽培育种研究所"
"159"	"7331"	"成单16号；成单19号"	"四川省农业科学院作物栽培育种研究所兰发盛、李德宾、卢乔云"
"160"	"7239"	"成单16号"	"四川省农业科学院作物栽培育种研究所兰发盛、李德宾、卢乔云"
"161"	"素湾1611"		"云南省曲靖地区种子公司从泰国引入"
"162"	"通系5"	"苏三（糯）1号"	
"164"	"9030-130"	"边3-22；边三1号"	"黑龙江省农业科学院黑河农业科学研究所"
"165"	"京83"	"京单951"	"由北京市农林科学院作物研究所用自交系8112与国外优良杂交种78573杂交，杂种一代经多代自交于1990年选育而"
"166"	"京89"	"京单601"	"由北京市农林科学院作物研究所于1990年育成。以自交系478为母本，和国外优良杂交种78599为父本进行杂交，杂"
"167"	"黄C"	"农大108"	"由中国农业大学（原北京农业大学）选育而成。"
"168"	"178"	"农大108"	"由中国农业大学（原北京农业大学）选育而成"
"169"	"综3"	"农大65（综3 × 42－1），豫玉22"	"由中国农业大学（原北京农业大学）从综合种中选株自交培育而成"
"170"	"序363"		"由中国科学院遗传研究所从辽源1号杂交种中选株自交培育而成。"
