"编码"	"名称"	"父级"	"面源坐标"	"城市"	"区县"	"绝对地址"	"位置"	"省份"
"11"	"北京市"		"39.445587,115.430282;41.067187,117.513171"	"北京市"	"西城区"	"北京市西城区"	"116.39564503787867,39.92998577808024"	"北京市"
"12"	"天津市"		"38.561387,116.714568;40.259142,118.075807"	"天津市"	"河北区"	"天津市河北区"	"117.21081309155257,39.143929903310074"	"天津市"
"13"	"河北省"		"36.054810,113.468876;42.623953,119.869576"	"保定市"	"蠡县"	"河北省保定市蠡县"	"115.66143362422224,38.61383974925108"	"河北省"
"14"	"山西省"		"34.590564,110.226478;40.749674,114.569058"	"太原市"	"万柏林区"	"山西省太原市万柏林区"	"112.51549586383865,37.86656599050925"	"山西省"
"15"	"内蒙古自治区"		"37.411703,97.179368;53.341301,126.082664"	"锡林郭勒盟"	"苏尼特左旗"	"内蒙古自治区锡林郭勒盟苏尼特左旗"	"114.41586754816612,43.46823822194904"	"内蒙古自治区"
"21"	"辽宁省"		"38.684456,118.852571;43.498162,125.797781"	"沈阳市"	"辽中县"	"辽宁省沈阳市辽中县"	"122.75359155771858,41.62160010595761"	"辽宁省"
"22"	"吉林省"		"40.867574,121.648357;46.311072,131.325662"	"吉林市"	"永吉县"	"吉林省吉林市永吉县"	"126.26287593077805,43.67884618524125"	"吉林省"
"23"	"黑龙江省"		"43.432678,121.189083;53.569277,135.103684"	"绥化市"	"庆安县"	"黑龙江省绥化市庆安县"	"128.0474137149926,47.35659164311141"	"黑龙江省"
"31"	"上海市"		"30.676443,120.862372;31.873569,122.006022"	"上海市"	"闸北区"	"上海市闸北区"	"121.48789948569473,31.24916171001514"	"上海市"
"32"	"江苏省"		"30.764191,116.368368;35.128771,122.005714"	"扬州市"	"高邮市"	"江苏省扬州市高邮市"	"119.36848893835847,33.01379716995394"	"江苏省"
"33"	"浙江省"		"27.019485,118.034869;31.184973,122.998696"	"金华市"	"义乌市"	"浙江省金华市义乌市"	"119.95720242066378,29.159494120760925"	"浙江省"
"34"	"安徽省"		"29.399350,114.889045;34.656810,119.655935"	"合肥市"	"蜀山区"	"安徽省合肥市蜀山区"	"117.2160052075697,31.85925241707919"	"安徽省"
"35"	"福建省"		"23.554901,115.859989;28.318842,120.756247"	"三明市"	"尤溪县"	"福建省三明市尤溪县"	"117.98494311990738,26.050118295660656"	"福建省"
"36"	"江西省"		"24.491938,113.582730;30.080927,118.494266"	"吉安市"	"新干县"	"江西省吉安市新干县"	"115.67608236670434,27.757258443440836"	"江西省"
"37"	"山东省"		"34.383693,114.829793;38.467154,122.732668"	"潍坊市"	"临朐县"	"山东省潍坊市临朐县"	"118.52766339287801,36.09928992972826"	"山东省"
"41"	"河南省"		"31.388635,110.366453;36.372785,116.656779"	"许昌市"	"禹州市"	"河南省许昌市禹州市"	"113.48680405752653,34.157183767956035"	"河南省"
"42"	"湖北省"		"29.035728,108.374182;33.277134,116.143307"	"荆门市"	"钟祥市"	"湖北省荆门市钟祥市"	"112.41056219213213,31.209316250139747"	"湖北省"
"43"	"湖南省"		"24.642048,108.797402;30.132388,114.267743"	"娄底市"	"涟源市"	"湖南省娄底市涟源市"	"111.720663546476,27.695864052356377"	"湖南省"
"44"	"广东省"		"20.065795,109.635354;25.523013,117.365721"	"广州市"	"白云区"	"广东省广州市白云区"	"113.3948175587587,23.40800372902474"	"广东省"
"45"	"广西壮族自治区"		"20.874472,104.456761;26.391498,112.068332"	"来宾市"	"兴宾区"	"广西壮族自治区来宾市兴宾区"	"108.92427442705878,23.552254688119405"	"广西壮族自治区"
"46"	"海南省"		"3.593695,108.578953;20.254476,118.071525"	"海南省直辖县级行政单位"	"琼中黎族苗族自治县"	"海南省海南省直辖县级行政单位琼中黎族苗族自治县"	"109.73375548794272,19.18050080126052"	"海南省"
"50"	"重庆市"		"28.166273,105.296386;32.207209,110.206934"	"重庆市"	"渝中区"	"重庆市渝中区"	"106.53063501341296,29.54460610888615"	"重庆市"
"51"	"四川省"		"26.051572,97.359373;34.318719,108.553306"	"雅安市"	"宝兴县"	"四川省雅安市宝兴县"	"102.89915972360397,30.36748093795755"	"四川省"
"52"	"贵州省"		"24.624377,103.608621;29.227106,109.601885"	"贵阳市"	"修文县"	"贵州省贵阳市修文县"	"106.7349961033045,26.902825927796762"	"贵州省"
"53"	"云南省"		"21.146259,97.535356;29.254745,106.206494"	"楚雄彝族自治州"	"楚雄市"	"云南省楚雄彝族自治州楚雄市"	"101.59295163700766,24.86421279548333"	"云南省"
"54"	"西藏自治区"		"26.855275,78.402394;36.490951,99.117224"	"那曲地区"	"申扎县"	"西藏自治区那曲地区申扎县"	"89.1379816840313,31.36731540271471"	"西藏自治区"
"61"	"陕西省"		"31.710750,105.498003;39.593198,111.252539"	"延安市"	"洛川县"	"陕西省延安市洛川县"	"109.50378929072508,35.860026261322766"	"陕西省"
"62"	"甘肃省"		"32.600385,92.328860;42.801545,108.721928"	"武威市"	"凉州区"	"甘肃省武威市凉州区"	"102.45762459933961,38.10326734375233"	"甘肃省"
"63"	"青海省"		"31.605970,89.415511;39.227570,103.079074"	"玉树藏族自治州"	"曲麻莱县"	"青海省玉树藏族自治州曲麻莱县"	"96.20254367226111,35.499761004274674"	"青海省"
"64"	"宁夏回族自治区"		"35.244077,104.300036;39.397464,107.663522"	"吴忠市"	"红寺堡区"	"宁夏回族自治区吴忠市红寺堡区"	"106.15548126505365,37.32132311229541"	"宁夏回族自治区"
"65"	"新疆维吾尔自治区"		"34.338377,73.497551;49.185392,96.395606"	"巴音郭楞蒙古自治州"	"库尔勒市"	"新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市"	"85.61489933833856,42.127000957642366"	"新疆维吾尔自治区"
"99"	"新疆建设兵团"		"34.338377,73.497551;49.185392,96.395606"	"巴音郭楞蒙古自治州"	"库尔勒市"	"新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市"	"85.61489933833856,42.127000957642366"	"新疆维吾尔自治区"
"13073"	"粮油"		"30.708877,104.074188;30.709854,104.077870"	"成都市"	"金牛区"	"四川省成都市金牛区"	"104.07785315275025,30.709686365958138"	"四川省"
"13075"	"蔬菜"		"37.527222,111.167266;37.527938,111.168164"	"吕梁市"	"离石区"	"山西省吕梁市离石区"	"111.16771492753254,37.52758007046668"	"山西省"
"13076"	"果品"							
"13079"	"畜产品"							
"13080"	"水产品"							
"13083"	"籼米"	"粮油"						
"13084"	"大米"	"粮油"						
"13085"	"粳米"	"粮油"						
"13086"	"玉米"	"粮油"						
"13087"	"大豆"	"粮油"						
"13088"	"菜油"	"粮油"						
"13089"	"鲢鱼"	"水产品"						
"13090"	"豆油"	"粮油"						
"13091"	"鲤鱼"	"水产品"						
"13092"	"国光苹果"	"果品"						
"13093"	"草鱼"	"水产品"						
"13094"	"花生油"	"粮油"						
"13095"	"面粉"	"粮油"						
"13096"	"绿豆"	"粮油"						
"13097"	"富士苹果"	"果品"						
"13098"	"蜜桔"	"果品"						
"13099"	"红小豆"	"粮油"						
"13100"	"甜橙"	"果品"						
"13102"	"鸭梨"	"果品"						
"13103"	"香蕉"	"果品"						
"13104"	"标准粉"	"粮油"						
"13105"	"菠萝"	"果品"						
"13106"	"西瓜"	"果品"						
"13107"	"哈密瓜"	"果品"						
"13108"	"特一粉"	"粮油"						
"13109"	"红星苹果"	"果品"						
"13110"	"秦冠苹果"	"果品"						
"13111"	"特二粉"	"粮油"						
"13112"	"黄香蕉苹果"	"果品"						
"13113"	"香油"	"粮油"						
"13114"	"黄元帅苹果"	"果品"						
"13115"	"棕榈油"	"粮油"						
"13116"	"常山胡柚"	"果品"						
"13117"	"鲫鱼"	"水产品"						
"13118"	"带鱼"	"水产品"						
"13119"	"色拉油"	"粮油"						
"13120"	"苹果梨"	"果品"						
"13121"	"对虾"	"水产品"						
"13122"	"花生"	"粮油"						
"13123"	"雪梨"	"果品"						
"13124"	"大带鱼"	"水产品"						
"13125"	"花生仁"	"粮油"						
"13126"	"红肖梨"	"果品"						
"13127"	"小带鱼"	"水产品"						
"13128"	"白梨"	"果品"						
"13129"	"大黄鱼"	"水产品"						
"13130"	"酥梨"	"果品"						
"13131"	"大平鱼"	"水产品"						
"13132"	"小平鱼"	"水产品"						
"13133"	"香梨"	"果品"						
"13134"	"黑鱼"	"水产品"						
"13135"	"泥鳅"	"水产品"						
"13136"	"杨梅"	"果品"						
"13137"	"黄鳝"	"水产品"						
"13138"	"丰水梨"	"果品"						
"13139"	"巨峰葡萄"	"果品"						
"13140"	"养殖鲶鱼"	"水产品"						
"13141"	"野生鲶鱼"	"水产品"						
"13142"	"龙眼葡萄"	"果品"						
"13143"	"玫瑰香葡萄"	"果品"						
"13144"	"武昌鱼"	"水产品"						
"13145"	"马奶葡萄"	"果品"						
"13146"	"罗非鱼"	"水产品"						
"13147"	"活鳜鱼"	"水产品"						
"13148"	"象牙芒"	"果品"						
"13149"	"虹鳟鱼"	"水产品"						
"13150"	"脐橙"	"果品"						
"13151"	"鲈鱼"	"水产品"						
"13152"	"石斑鱼"	"水产品"						
"13153"	"芦柑"	"果品"						
"13154"	"加吉鱼"	"水产品"						
"13155"	"椪柑"	"果品"						
"13156"	"白鳝鱼"	"水产品"						
"13157"	"鮸鱼"	"水产品"						
"13158"	"伊丽沙白瓜"	"果品"						
"13159"	"海参"	"水产品"						
"13160"	"海鳗"	"水产品"						
"13161"	"华兰氏瓜"	"果品"						
"13162"	"银耳"	"蔬菜"						
"13163"	"真鲷"	"水产品"						
"13164"	"香瓜"	"果品"						
"13165"	"扇贝"	"水产品"						
"13166"	"毛木耳"	"蔬菜"						
"13167"	"草莓"	"果品"						
"13168"	"牛蛙"	"水产品"						
"13169"	"樱桃"	"果品"						
"13170"	"田鸡"	"水产品"						
"13171"	"肉蟹"	"水产品"						
"13172"	"江蟹"	"水产品"						
"13173"	"山楂"	"果品"						
"13174"	"黑木耳"	"蔬菜"						
"13175"	"梭子蟹"	"水产品"						
"13176"	"核桃"	"果品"						
"13177"	"青蟹"	"水产品"						
"13178"	"凤尾菇"	"蔬菜"						
"13179"	"人工甲鱼"	"水产品"						
"13180"	"板栗"	"果品"						
"13181"	"白灵菇"	"蔬菜"						
"13182"	"野生甲鱼"	"水产品"						
"13183"	"乌龟"	"水产品"						
"13184"	"鸡腿菇"	"蔬菜"						
"13185"	"红枣"	"果品"						
"13186"	"鲍鱼"	"水产品"						
"13187"	"茶树菇"	"蔬菜"						
"13188"	"椰子"	"果品"						
"13189"	"基围虾"	"水产品"						
"13190"	"猴头菇"	"蔬菜"						
"13191"	"草虾"	"水产品"						
"13192"	"柿子"	"果品"						
"13193"	"土虾"	"水产品"						
"13194"	"荔枝"	"果品"						
"13195"	"杏鲍菇"	"蔬菜"						
"13196"	"澳洲龙虾"	"水产品"						
"13197"	"柚"	"果品"						
"13198"	"美洲龙虾"	"水产品"						
"13199"	"草菇"	"蔬菜"						
"13200"	"蛤蜊"	"水产品"						
"13201"	"猕猴桃"	"果品"						
"13202"	"海蛎"	"水产品"						
"13203"	"淡菜(鲜)"	"水产品"						
"13204"	"蛏子"	"水产品"						
"13205"	"枸杞二级"	"蔬菜"						
"13206"	"桃子"	"果品"						
"13207"	"鳗鱼干"	"水产品"						
"13208"	"红萝卜"	"蔬菜"						
"13209"	"紫菜"	"水产品"						
"13210"	"蟠桃"	"果品"						
"13211"	"佛手瓜"	"蔬菜"						
"13212"	"鲨鱼"	"水产品"						
"13214"	"山药"	"蔬菜"						
"13215"	"油桃"	"果品"						
"13217"	"平菇"	"蔬菜"						
"13218"	"金针菇"	"蔬菜"						
"13219"	"慈菇"	"蔬菜"						
"13220"	"杏子"	"果品"						
"13221"	"李子"	"果品"						
"13222"	"瓠子"	"蔬菜"						
"13223"	"红椒"	"蔬菜"						
"13224"	"甘蔗"	"果品"						
"13225"	"茼蒿"	"蔬菜"						
"13226"	"龙眼(桂圆)"	"果品"						
"13227"	"辣椒干"	"蔬菜"						
"13228"	"芒果"	"果品"						
"13229"	"苋菜"	"蔬菜"						
"13230"	"石榴"	"果品"						
"13231"	"黄豆芽"	"蔬菜"						
"13233"	"猪肉(白条猪)"	"畜产品"						
"13234"	"石榴(大籽石榴)"	"果品"						
"13235"	"牛肉"	"畜产品"						
"13236"	"蛇果"	"果品"						
"13237"	"羊肉"	"畜产品"						
"13238"	"青苹果"	"果品"						
"13239"	"驴肉"	"畜产品"						
"13240"	"白条鸡"	"畜产品"						
"13241"	"青提子"	"果品"						
"13242"	"绿豆芽"	"蔬菜"						
"13243"	"活鸡"	"畜产品"						
"13244"	"红提子"	"果品"						
"13245"	"鸡蛋"	"畜产品"						
"13246"	"柠檬"	"果品"						
"13248"	"鸭蛋"	"畜产品"						
"13249"	"红毛丹"	"果品"						
"13250"	"毛猪"	"畜产品"						
"13252"	"杨桃"	"果品"						
"13253"	"仔猪"	"畜产品"						
"13255"	"肥猪"	"畜产品"						
"13256"	"人参果"	"果品"						
"13257"	"乌鸡"	"畜产品"						
"13258"	"布朗"	"果品"						
"13259"	"柴鸡"	"畜产品"						
"13260"	"山竹"	"果品"						
"13261"	"活鸭"	"畜产品"						
"13262"	"芒果(象芽22号)"	"果品"						
"13263"	"红皮鸡蛋"	"畜产品"						
"13264"	"白皮鸡蛋"	"畜产品"						
"13266"	"活兔"	"畜产品"						
"13267"	"枇杷"	"果品"						
"13268"	"山羊"	"畜产品"						
"13270"	"山羯羊"	"畜产品"						
"13286"	"山母羊"	"畜产品"						
"13289"	"猪颈背肌肉"	"畜产品"						
"13293"	"猪前腿肌肉"	"畜产品"						
"13294"	"猪大排肌肉"	"畜产品"						
"13296"	"猪后腿肌肉"	"畜产品"						
"13298"	"肥膘"	"畜产品"						
"13301"	"鸭苗(只)"	"畜产品"						
"13303"	"鸡苗(只)"	"畜产品"						
"13304"	"黄牛"	"畜产品"						
"13306"	"水牛"	"畜产品"						
"13307"	"育肥牛"	"畜产品"						
"13308"	"绵羊"	"畜产品"						
"13310"	"猪心"	"畜产品"						
"13312"	"猪肝"	"畜产品"						
"13313"	"猪肚"	"畜产品"						
"13314"	"猪肺"	"畜产品"						
"13316"	"猪肾"	"畜产品"						
"13317"	"猪大肠"	"畜产品"						
"13319"	"猪小肠"	"畜产品"						
"13320"	"猪皮(张)"	"畜产品"						
"13326"	"肉鸡苗(只)"	"畜产品"						
"13328"	"三黄鸡"	"畜产品"						
"13329"	"老母鸡"	"畜产品"						
"13332"	"骡子"	"畜产品"						
"13333"	"耕骡"	"畜产品"						
"13336"	"役马"	"畜产品"						
"13337"	"肉马"	"畜产品"						
"13339"	"耕马"	"畜产品"						
"13343"	"活驴"	"畜产品"						
"13344"	"耕驴"	"畜产品"						
"13345"	"驴皮(张)"	"畜产品"						
"13347"	"驴板肠"	"畜产品"						
"13349"	"肉牛"	"畜产品"						
"13351"	"肉羊"	"畜产品"						
"13353"	"黄花公鸡(只)"	"畜产品"						
"13364"	"菜用仙人掌"	"蔬菜"						
"13365"	"香菇"	"蔬菜"						
"13366"	"西葫芦"	"蔬菜"						
"13367"	"小葱"	"蔬菜"						
"13368"	"豇豆"	"蔬菜"						
"13370"	"小白菜"	"蔬菜"						
"13371"	"韭菜花"	"蔬菜"						
"13372"	"韭苔"	"蔬菜"						
"13373"	"芥菜"	"蔬菜"						
"13374"	"西洋芹"	"蔬菜"						
"13483"	"香椿"	"蔬菜"						
"13484"	"青冬瓜"	"蔬菜"						
"13485"	"光皮黄瓜"	"蔬菜"						
"13486"	"荷兰豆"	"蔬菜"						
"13487"	"长茄子"	"蔬菜"						
"13488"	"圆茄子"	"蔬菜"						
"13489"	"尖椒"	"蔬菜"						
"13490"	"红尖椒"	"蔬菜"						
"13491"	"芋头"	"蔬菜"						
"13492"	"福鼎芋"	"蔬菜"						
"13493"	"毛豆"	"蔬菜"						
"13494"	"空心菜"	"蔬菜"						
"13495"	"生菜"	"蔬菜"						
"13496"	"油麦菜"	"蔬菜"						
"13497"	"西兰花"	"蔬菜"						
"13498"	"丝瓜"	"蔬菜"						
"13499"	"苦瓜"	"蔬菜"						
"13500"	"菜瓜"	"蔬菜"						
"13501"	"茭白"	"蔬菜"						
"13502"	"荸荠"	"蔬菜"						
"13503"	"莲藕"	"蔬菜"						
"13504"	"香菜"	"蔬菜"						
"13508"	"菠菜"	"蔬菜"						
"13509"	"茄子"	"蔬菜"						
"13510"	"豆角"	"蔬菜"						
"13511"	"洋白菜"	"蔬菜"						
"13512"	"胡萝卜"	"蔬菜"						
"13513"	"木耳菜"	"蔬菜"						
"13514"	"菜花"	"蔬菜"						
"13515"	"韭菜"	"蔬菜"						
"13516"	"韭黄"	"蔬菜"						
"13517"	"蒜薹"	"蔬菜"						
"13518"	"蒜苗"	"蔬菜"						
"13519"	"南瓜"	"蔬菜"						
"13520"	"大蒜"	"蔬菜"						
"13711"	"野生大黄鱼"	"水产品"						
"13712"	"深水网箱大黄鱼"	"水产品"						
"13713"	"小黄花鱼"	"水产品"						
"13811"	"青椒"	"蔬菜"						
"15637"	"大葱"	"蔬菜"						
"15638"	"葱头"	"蔬菜"						
"15639"	"茴香"	"蔬菜"						
"15640"	"绿尖椒"	"蔬菜"						
"15641"	"生姜"	"蔬菜"						
"15642"	"莴笋"	"蔬菜"						
"15643"	"冬瓜"	"蔬菜"						
"15644"	"青笋"	"蔬菜"						
"15645"	"竹笋"	"蔬菜"						
"15646"	"冬笋"	"蔬菜"						
"18501"	"玉米棒"	"蔬菜"						
"20408"	"白萝卜"	"蔬菜"						
"20409"	"大白菜"	"蔬菜"						
"20410"	"黄瓜"	"蔬菜"						
"20411"	"芹菜"	"蔬菜"						
"20412"	"水萝卜"	"蔬菜"						
"20413"	"土豆"	"蔬菜"						
"20414"	"西红柿"	"蔬菜"						
"20415"	"樱桃西红柿"	"蔬菜"						
"20416"	"油菜"	"蔬菜"						
"20419"	"良薯"	"蔬菜"						
"20420"	"菜薹"	"蔬菜"						
"20421"	"沙田柚"	"果品"						
"20427"	"芒果(红象芽9号)"	"果品"						
"20428"	"萝卜丝"	"蔬菜"						
"20531"	"北京丰台区新发地农产品批发市场"	"北京市"	"39.817563,116.348755;39.818255,116.349654"	"北京市"	"丰台区"	"北京市丰台区"	"116.34920452945438,39.81790887649353"	"北京市"
"20532"	"北京市华垦岳各庄批发市场"	"北京市"	"39.883928,116.284449;39.884620,116.285347"	"北京市"	"丰台区"	"北京市丰台区"	"116.28489804943726,39.88427377760509"	"北京市"
"20536"	"北京市通州八里桥农产品中心批发市场"	"北京市"	"39.919414,116.647374;39.923619,116.648715"	"北京市"	"通州区"	"北京市通州区"	"116.64859780846675,39.92076450365449"	"北京市"
"20540"	"北京朝阳区大洋路农副产品批发市场"	"北京市"	"39.863924,116.475449;39.864617,116.476348"	"北京市"	"朝阳区"	"北京市朝阳区"	"116.47589839451237,39.86427046958897"	"北京市"
"20542"	"上海市江桥批发市场"	"上海市"	"31.266333,121.428667;31.267105,121.429565"	"上海市"	"普陀区"	"上海市普陀区"	"121.42911572058003,31.266719143560042"	"上海市"
"20543"	"北京市锦绣大地农副产品批发市场"	"北京市"	"39.933160,116.234755;39.933851,116.235654"	"北京市"	"海淀区"	"北京市海淀区"	"116.23482301937723,39.93378681524489"	"北京市"
"20546"	"北京市锦绣大地玉泉路粮油批发市场"	"北京市"	"39.930626,116.229185;39.935820,116.239385"	"北京市"	"海淀区"	"北京市海淀区"	"116.2361685543701,39.931497017468956"	"北京市"
"20547"	"上海农产品中心批发市场有限公司"	"上海市"	"31.170642,121.567729;31.171414,121.568627"	"上海市"	"浦东新区"	"上海市浦东新区"	"121.56817829222184,31.17102816922484"	"上海市"
"20548"	"北京市日上综合商品批发市场"	"北京市"	"39.889633,116.480135;39.890325,116.481033"	"北京市"	"朝阳区"	"北京市朝阳区"	"116.48058386622186,39.889978966902426"	"北京市"
"20551"	"北京顺义区顺鑫石门农产品批发市场"	"北京市"	"40.013468,116.471498;40.318151,116.990826"	"北京市"	"顺义区"	"北京市顺义区"	"116.72822904528138,40.154951470441354"	"北京市"
"20553"	"天津何庄子批发市场"	"天津市"	"39.069835,117.299033;39.070535,117.299931"	"天津市"	"津南区"	"天津市津南区"	"117.2994816843732,39.07018495290833"	"天津市"
"20555"	"天津市武清区大沙河蔬菜批发市场"	"天津市"	"39.669350,116.933079;39.670044,116.933978"	"天津市"	"武清区"	"天津市武清区"	"116.93352832924303,39.66969685458744"	"天津市"
"20556"	"天津市东丽区金钟蔬菜市场"	"天津市"	"39.001571,117.239993;39.254259,117.575308"	"天津市"	"东丽区"	"天津市东丽区"	"117.41478234324515,39.13960464277469"	"天津市"
"20570"	"天津市西青区红旗农贸批发市场"	"天津市"	"39.095528,117.139325;39.096228,117.140224"	"天津市"	"西青区"	"天津市西青区"	"117.1397743731791,39.09587836042213"	"天津市"
"20571"	"天津市西青区当城蔬菜批发市场"	"天津市"	"39.095138,116.956808;39.098229,116.965800"	"天津市"	"西青区"	"天津市西青区"	"116.96327632166386,39.09822903585737"	"天津市"
"20576"	"石家庄桥西蔬菜中心批发市场"	"河北省"	"38.067659,114.441956;38.068369,114.442854"	"石家庄市"	"桥西区"	"河北省石家庄市桥西区"	"114.44240467869416,38.0680136020288"	"河北省"
"20582"	"河南郑州毛庄蔬菜批发市场"	"河南省"	"34.880398,113.627875;34.881138,113.628773"	"郑州市"	"惠济区"	"河南省郑州市惠济区"	"113.62832373638231,34.880767809512434"	"河南省"
"20584"	"河南郑州市农产品物流配送中心"	"河南省"	"34.267764,112.727736;34.994878,114.229607"	"郑州市"	"二七区"	"河南省郑州市二七区"	"113.64964384986449,34.756610064140254"	"河南省"
"20595"	"河南安阳豫北蔬菜批发市场"	"河南省"	"36.116671,114.427280;36.117400,114.428178"	"安阳市"	"文峰区"	"河南省安阳市文峰区"	"114.42772886395042,36.1170355754004"	"河南省"
"20599"	"河北乐亭县冀东果蔬批发市场"	"河北省"	"39.441262,118.899622;39.441959,118.900520"	"唐山市"	"乐亭县"	"河北省唐山市乐亭县"	"118.90007094374138,39.441610506463924"	"河北省"
"20610"	"河北秦皇岛海阳农副产品批发市场"	"河北省"	"39.961111,119.559387;39.961802,119.560286"	"秦皇岛市"	"海港区"	"河北省秦皇岛市海港区"	"119.55983632310635,39.96145656583642"	"河北省"
"20613"	"河北秦皇岛（昌黎）农副产品批发市场"	"河北省"	"39.435315,118.770951;39.811186,119.494398"	"秦皇岛市"	"昌黎县"	"河北省秦皇岛市昌黎县"	"119.09462149738174,39.63802116472844"	"河北省"
"20614"	"河南省濮阳市王助蔬菜瓜果批发市场"	"河南省"	"35.715622,114.925447;35.716355,114.926345"	"濮阳市"	"华龙区"	"河南省濮阳市华龙区"	"114.92589595231088,35.71598839845716"	"河南省"
"20615"	"河北邯郸（魏县）天仙果品农贸批发交易市场"	"河北省"	"36.054810,114.746421;36.435631,115.130266"	"邯郸市"	"魏县"	"河北省邯郸市魏县"	"114.93600011897692,36.25056776109478"	"河北省"
"20619"	"河南三门峡西原店蔬菜批发市场"	"河南省"	"34.689318,111.078137;34.690060,111.079035"	"三门峡市"	"陕县"	"河南省三门峡市陕县"	"111.07858613279913,34.689688623283075"	"河南省"
"20620"	"河北保定工农路蔬菜果品批发市场"	"河北省"	"38.822913,115.512753;38.823616,115.513651"	"保定市"	"南市区"	"河北省保定市南市区"	"115.51320197457903,38.823264807252784"	"河北省"
"20628"	"河南新野县蔬菜批发交易市场"	"河南省"	"32.327640,112.231635;32.822816,112.608898"	"南阳市"	"新野县"	"河南省南阳市新野县"	"112.41599071451324,32.55344060079311"	"河南省"
"20632"	"河南商丘市农产品中心批发市场"	"河南省"	"33.712883,114.833301;34.866969,116.656779"	"商丘市"	"梁园区"	"河南省商丘市梁园区"	"115.64188568785016,34.43858864024636"	"河南省"
"20633"	"山东临邑县临南蔬菜大市场"	"山东省"	"37.003171,116.710489;37.532924,117.066842"	"德州市"	"临邑县"	"山东省德州市临邑县"	"116.89959541701714,37.235892912120676"	"山东省"
"20639"	"山东冠县社庄江北第一蔬菜批发市场"	"山东省"	"36.373691,115.289053;36.706235,115.788922"	"聊城市"	"冠县"	"山东省聊城市冠县"	"115.54083712128987,36.53635700996955"	"山东省"
"20651"	"河北三河市建兴农副产品批发市场"	"河北省"	"39.813017,116.763082;40.102784,117.266522"	"廊坊市"	"三河市"	"河北省廊坊市三河市"	"117.02128418408721,39.96742764877024"	"河北省"
"20652"	"山东滨州市滨城区(六街)鲁北无公害蔬菜批发"	"山东省"	"37.372798,118.028339;37.378175,118.039568"	"滨州市"	"滨城区"	"山东省滨州市滨城区"	"118.03507666817609,37.37459039865698"	"山东省"
"20653"	"武汉市皇经堂批发市场"	"湖北省"	"29.972313,113.707018;31.367044,115.087233"	"武汉市"	"武昌区"	"湖北省武汉市武昌区"	"114.31620010268132,30.58108412692075"	"湖北省"
"20654"	"河北衡水市东明蔬菜批发市场"	"河北省"	"37.713312,115.729804;37.714025,115.730702"	"衡水市"	"桃城区"	"河北省衡水市桃城区"	"115.73025308601974,37.71366849744657"	"河北省"
"20660"	"河北饶阳县瓜菜果品交易市场"	"河北省"	"38.095620,115.566802;38.376080,115.906110"	"衡水市"	"饶阳县"	"河北省衡水市饶阳县"	"115.74000746167843,38.2230592410421"	"河北省"
"20661"	"湖北武汉白沙洲农副产品大市场"	"湖北省"	"30.470499,114.273639;30.471277,114.274537"	"武汉市"	"洪山区"	"湖北省武汉市洪山区"	"114.27408780986521,30.47088802355652"	"湖北省"
"20662"	"山东宁津县东崔蔬菜市场合作社"	"山东省"	"37.662498,116.999531;37.663212,117.000429"	"德州市"	"宁津县"	"山东省德州市宁津县"	"116.99998033920798,37.66285472256161"	"山东省"
"20663"	"山东省威海市水产品批发市场"	"山东省"	"36.679975,121.183403;37.615718,122.732668"	"威海市"	"环翠区"	"山东省威海市环翠区"	"122.09395836580605,37.52878708125143"	"山东省"
"20664"	"湖北省黄石市农副产品批发交易公司"	"湖北省"	"29.512760,114.538267;30.336719,115.517499"	"黄石市"	"下陆区"	"湖北省黄石市下陆区"	"115.05068316392396,30.21612712771406"	"湖北省"
"20667"	"山东省威海市农副产品批发市场"	"山东省"	"36.679975,121.183403;37.615718,122.732668"	"威海市"	"环翠区"	"山东省威海市环翠区"	"122.09395836580605,37.52878708125143"	"山东省"
"20668"	"湖北十堰市堰中蔬菜批发市场"	"湖北省"	"32.664884,110.792247;32.665644,110.793145"	"十堰市"	"张湾区"	"湖北省十堰市张湾区"	"110.79269582289055,32.66526358084338"	"湖北省"
"20670"	"湖北宜昌金桥蔬菜果品批发市场"	"湖北省"	"30.688124,111.318795;30.688900,111.319694"	"宜昌市"	"伍家岗区"	"湖北省宜昌市伍家岗区"	"111.31924454595725,30.688512033291257"	"湖北省"
"20673"	"湖北省鄂州市蟠龙蔬菜批发交易市场"	"湖北省"	"30.022227,114.512558;30.620530,115.097719"	"鄂州市"	"鄂城区"	"湖北省鄂州市鄂城区"	"114.89559404135665,30.384439322752247"	"湖北省"
"20674"	"山东肥城蔬菜批发市场"	"山东省"	"36.195197,116.755968;36.195925,116.756866"	"泰安市"	"肥城市"	"山东省泰安市肥城市"	"116.7564170171324,36.19556064184997"	"山东省"
"20677"	"山东宁阳县白马蔬菜批发市场"	"山东省"	"35.847706,116.743556;35.848437,116.744454"	"泰安市"	"宁阳县"	"山东省泰安市宁阳县"	"116.74400504007048,35.848071450479644"	"山东省"
"20687"	"湖北洪湖市农贸市场"	"湖北省"	"29.646862,113.135615;30.210840,114.097540"	"荆州市"	"洪湖市"	"湖北省荆州市洪湖市"	"113.53891465228034,29.99677200041505"	"湖北省"
