"编码"	"名称"	"父级"	"面源坐标"	"城市"	"区县"	"绝对地址"	"位置"	"省份"
"21015"	"新疆博乐市农五师三和市场"	"新疆维吾尔自治区"	"44.891348,82.077903;44.891987,82.078801"	"博尔塔拉蒙古自治州"	"博乐市"	"新疆维吾尔自治区博尔塔拉蒙古自治州博乐市"	"82.07835200201258,44.89166729555"	"新疆维吾尔自治区"
"21019"	"四川绵阳市高水蔬菜批发市场"	"四川省"	"31.497018,104.738606;31.505540,104.749630"	"绵阳市"	"涪城区"	"四川省绵阳市涪城区"	"104.74392647652492,31.500772461556064"	"四川省"
"21028"	"新疆吐鲁番盛达葡萄干市场"	"新疆维吾尔自治区"	"36.163719,117.091915;36.164447,117.092813"	"泰安市"	"岱岳区"	"山东省泰安市岱岳区"	"117.09236432361789,36.16408324227222"	"山东省"
"21033"	"新疆乌鲁木齐市凌庆蔬菜果品有限公司"	"新疆维吾尔自治区"	"42.922829,86.795432;45.007856,88.986148"	"乌鲁木齐市"	"沙依巴克区"	"新疆维吾尔自治区乌鲁木齐市沙依巴克区"	"87.56498774111579,43.84038034721766"	"新疆维吾尔自治区"
"21035"	"新疆乌鲁木齐北园春批发市场"	"新疆维吾尔自治区"	"43.827227,87.583325;43.827877,87.584223"	"乌鲁木齐市"	"沙依巴克区"	"新疆维吾尔自治区乌鲁木齐市沙依巴克区"	"87.58377400424597,43.82755226541375"	"新疆维吾尔自治区"
"21036"	"四川凉山州会东县堵格乡牲畜交易市场"	"四川省"	"26.696321,102.638493;26.760856,102.710358"	"凉山彝族自治州"	"会东县"	"四川省凉山彝族自治州会东县"	"102.67442543186044,26.728593064865567"	"四川省"
"21041"	"陕西汉中过街楼蔬菜批发市场"	"陕西省"	"33.071150,107.050990;33.071907,107.051888"	"汉中市"	"汉台区"	"陕西省汉中市汉台区"	"107.05143907963215,33.071528545070755"	"陕西省"
"21045"	"吴忠市鑫鲜农副产品市场有限公司"	"宁夏回族自治区"	"38.007350,106.227867;38.008061,106.228765"	"吴忠市"	"利通区"	"宁夏回族自治区吴忠市利通区"	"106.2283159458705,38.00770538905757"	"宁夏回族自治区"
"21047"	"贵州贵阳市五里冲农副产品批发市场"	"贵州省"	"26.567850,106.680981;26.568658,106.681879"	"贵阳市"	"南明区"	"贵州省贵阳市南明区"	"106.68142978644,26.56825397728394"	"贵州省"
"21048"	"陕西泾阳县云阳蔬菜批发市场"	"陕西省"	"34.448763,108.506626;34.740246,108.983769"	"咸阳市"	"泾阳县"	"陕西省咸阳市泾阳县"	"108.78075311312193,34.60886700185174"	"陕西省"
"21051"	"宁夏银川市北环批发市场"	"宁夏回族自治区"	"38.480530,106.307980;38.481236,106.308878"	"银川市"	"兴庆区"	"宁夏回族自治区银川市兴庆区"	"106.30842901862425,38.48088292878699"	"宁夏回族自治区"
"21052"	"贵州遵义市虾子辣椒批发市场"	"贵州省"	"27.138790,105.615279;29.227106,108.221222"	"遵义市"	"汇川区"	"贵州省遵义市汇川区"	"106.93126031648453,27.699961377076246"	"贵州省"
"21053"	"陕西咸阳市新阳光农副产品批发市场"	"陕西省"	"34.256029,108.923463;34.256775,108.924361"	"西安市"	"莲湖区"	"陕西省西安市莲湖区"	"108.923912247838,34.25640178818584"	"陕西省"
"21055"	"贵州遵义坪丰农副产综合批发市场"	"贵州省"	"27.695303,106.953267;27.727748,106.963125"	"遵义市"	"汇川区"	"贵州省遵义市红花岗区东联线北段"	"106.95655866573982,27.725749978797833"	
"21063"	"贵州铜仁地区玉屏畜禽产地批发市场"	"贵州省"	"27.126961,108.818503;27.530016,109.167283"	"铜仁市"	"玉屏侗族自治县"	"贵州省铜仁市玉屏侗族自治县"	"108.99183003691114,27.33587099435376"	"贵州省"
"21081"	"云南通海金山蔬菜批发市场"	"云南省"	"24.126211,102.723374;24.127036,102.724272"	"玉溪市"	"通海县"	"云南省玉溪市通海县"	"102.72382305331229,24.12662347933985"	"云南省"
"21119"	"甘肃省武山县洛门蔬菜批发市场"	"甘肃省"	"34.765601,105.036829;34.766342,105.037727"	"天水市"	"武山县"	"甘肃省天水市武山县"	"105.03727787394843,34.7659715004497"	"甘肃省"
"21120"	"甘肃秦安县果品市场"	"甘肃省"	"34.730111,105.336704;35.183648,106.062283"	"天水市"	"秦安县"	"甘肃省天水市秦安县"	"105.69804091113788,34.95349991991774"	"甘肃省"
"21121"	"甘肃天水瀛池果菜批发市场"	"甘肃省"	"34.576539,105.698289;34.577282,105.699187"	"天水市"	"秦州区"	"甘肃省天水市秦州区"	"105.69873810787838,34.576910447007556"	"甘肃省"
"21124"	"甘肃靖远县瓜果蔬菜批发市场"	"甘肃省"	"36.174455,104.279764;37.282691,105.345895"	"白银市"	"平川区"	"甘肃省白银市平川区"	"104.73232686761698,36.74910343242673"	"甘肃省"
"21129"	"兰州大青山蔬菜瓜果批发市场"	"甘肃省"	"36.032935,103.959005;36.033664,103.959903"	"兰州市"	"城关区"	"甘肃省兰州市城关区"	"103.95945397127973,36.03329956938379"	"甘肃省"
"21451"	"北京城北回龙观商品交易市场"	"北京市"	"40.090327,116.321337;40.096537,116.330520"	"北京市"	"昌平区"	"北京市昌平区"	"116.32462134815638,40.09427484082685"	"北京市"
"22215"	"鲜枣"	"果品"						
"22216"	"冬枣"	"果品"						
"22219"	"干枣"	"果品"						
"45060"	"河北沧州市红枣批发市场"	"河北省"	"37.476951,115.708879;38.951637,117.959822"	"沧州市"	"运河区"	"河北省沧州市运河区"	"116.86380647644208,38.297615350325714"	"河北省"
"45065"	"山西长治市金鑫瓜果批发市场"	"山西省"	"36.199623,113.110923;36.200351,113.111821"	"长治市"	"城区"	"山西省长治市城区"	"113.11137221833323,36.19998699674421"	"山西省"
"45078"	"新疆焉耆县光明农副产品综合批发市场"	"新疆维吾尔自治区"	"42.082230,86.588282;42.082900,86.589181"	"巴音郭楞蒙古自治州"	"焉耆回族自治县"	"新疆维吾尔自治区巴音郭楞蒙古自治州焉耆回族自治县"	"86.58873157494838,42.08256499112637"	"新疆维吾尔自治区"
"45088"	"新疆米泉通汇农产品批发市场"	"新疆维吾尔自治区"	"43.955290,87.661174;43.962142,87.666864"	"乌鲁木齐市"	"米东区"	"新疆维吾尔自治区乌鲁木齐市米东区"	"87.66686385035797,43.9591480471147"	"新疆维吾尔自治区"
"45117"	"青海省西宁市仁杰粮油批发市场"	"青海省"	"36.637050,101.807717;36.637774,101.808616"	"西宁市"	"城东区"	"青海省西宁市城东区"	"101.80816642410804,36.6374115230694"	"青海省"
"45134"	"青海省西宁市海湖路蔬菜瓜果综合批发市场"	"青海省"	"36.600261,101.831052;36.600985,101.831950"	"西宁市"	"城东区"	"青海省西宁市城东区"	"101.83150124371339,36.60062265564797"	"青海省"
"45195"	"云南省呈贡县龙城蔬菜批发市场"	"云南省"	"24.704155,102.749867;24.997824,103.007646"	"昆明市"	"呈贡区"	"云南省昆明市呈贡区"	"102.87261740199882,24.871681730303592"	"云南省"
"45217"	"重庆观农贸批发市场"	"重庆市"	"29.581830,106.486313;29.588297,106.493008"	"重庆市"	"江北区"	"重庆市江北区"	"106.4874043302512,29.58829733101095"	"重庆市"
"45218"	"四川汉源县九襄农产品批发市场"	"四川省"	"29.097996,102.284122;29.726259,103.010583"	"雅安市"	"汉源县"	"四川省雅安市汉源县"	"102.62513643454477,29.431575643201356"	"四川省"
"45233"	"四川省成都市农产品批发中心"	"四川省"	"30.099735,103.029961;31.440952,104.899273"	"成都市"	"青羊区"	"四川省成都市青羊区"	"104.06792346330406,30.679942845419564"	"四川省"
"45271"	"广东东莞大京九农副产品中心批发市场"	"广东省"	"22.978881,114.039129;22.979713,114.040027"	"东莞市"	"东莞市市辖区"	"广东省东莞市东莞市市辖区"	"114.03957768489235,22.9792967787817"	"广东省"
"45276"	"河北省邯郸市（馆陶）金凤禽蛋农贸批发市场"	"河北省"	"36.455789,115.124739;36.786580,115.485107"	"邯郸市"	"馆陶县"	"河北省邯郸市馆陶县"	"115.2991566258206,36.61853700578129"	"河北省"
"45296"	"广东江门市水产冻品副食批发市场"	"广东省"	"22.573106,113.082882;22.573940,113.083780"	"江门市"	"蓬江区"	"广东省江门市蓬江区"	"113.08333123717557,22.57352327853127"	"广东省"
"45328"	"河北省怀来县京西果菜批发市场"	"河北省"	"40.408342,115.545247;40.409029,115.546145"	"张家口市"	"怀来县"	"河北省张家口市怀来县"	"115.54569599801162,40.4086856364644"	"河北省"
"45432"	"山东德州黑马农产品批发市场"	"山东省"	"37.453971,116.287054;37.462719,116.292778"	"德州市"	"德城区"	"山东省德州市德城区"	"116.29277809765895,37.457593267799936"	"山东省"
"45482"	"安徽濉溪县中瑞农副产品批发市场"	"安徽省"	"33.915678,116.760794;33.916427,116.761693"	"淮北市"	"濉溪县"	"安徽省淮北市濉溪县"	"116.7612436126375,33.916052977093464"	"安徽省"
"45527"	"江西永丰县蔬菜中心批发市场"	"江西省"	"26.650533,115.286222;27.524402,115.941800"	"吉安市"	"永丰县"	"江西省吉安市永丰县"	"115.59283108743378,27.097544566000916"	"江西省"
"45528"	"江西九江市浔阳蔬菜批发大市场"	"江西省"	"29.682471,115.933675;29.770607,116.090817"	"九江市"	"浔阳区"	"江西省九江市浔阳区"	"116.0027678737824,29.717848894948926"	"江西省"
"45539"	"福建同安闽南果蔬批发市场"	"福建省"	"24.726578,118.174071;24.727399,118.174969"	"厦门市"	"同安区"	"福建省厦门市同安区"	"118.1745197180595,24.726988578629104"	"福建省"
"45544"	"安徽六安裕安区紫竹林农产品批发市场"	"安徽省"	"31.755241,116.491534;31.756009,116.492432"	"六安市"	"裕安区"	"安徽省六安市裕安区"	"116.49198298765178,31.7556252890441"	"安徽省"
"45559"	"安徽和县皖江蔬菜批发大市场"	"安徽省"	"31.450462,118.089212;32.063649,118.510515"	"马鞍山市"	"和县"	"安徽省马鞍山市和县"	"118.29986391138321,31.75756862379253"	"安徽省"
"45569"	"杭州农副产品物流中心"	"浙江省"	"30.384543,120.119258;30.385322,120.120156"	"杭州市"	"余杭区"	"浙江省杭州市余杭区"	"120.11966377360422,30.385074164607694"	"浙江省"
"45578"	"浙江省金华农产品批发市场"	"浙江省"	"29.125982,119.681398;29.126771,119.682296"	"金华市"	"婺城区"	"浙江省金华市婺城区"	"119.68184704081612,29.12637679492769"	"浙江省"
"45586"	"浙江宁波市蔬菜副食品批发交易市场"	"浙江省"	"29.847887,121.561146;29.848670,121.562045"	"宁波市"	"江东区"	"浙江省宁波市江东区"	"121.56159557125179,29.848278832822952"	"浙江省"
"45591"	"江苏建湖水产批发市场"	"江苏省"	"33.286976,119.573524;33.690806,120.101057"	"盐城市"	"建湖县"	"江苏省盐城市建湖县"	"119.83649673997304,33.48890798663351"	"江苏省"
"45612"	"江苏扬州联谊农副产品批发市场"	"江苏省"	"32.378478,119.459691;32.379240,119.460590"	"扬州市"	"广陵区"	"江苏省扬州市广陵区"	"119.46014044445552,32.37885913871574"	"江苏省"
"45646"	"吉林松原市三井子杂粮杂豆产地批发市场"	"吉林省"	"45.127440,125.370353;45.128076,125.371251"	"松原市"	"扶余市"	"吉林省松原市扶余市"	"125.37080186658821,45.12775762473338"	"吉林省"
"45651"	"吉林长春果品中心批发市场"	"吉林省"	"43.948013,125.323337;43.948662,125.324235"	"长春市"	"宽城区"	"吉林省长春市宽城区"	"125.32378608223972,43.948337487735785"	"吉林省"
"45669"	"陕西西安朱雀农产品交易中心"	"陕西省"	"34.203423,108.926090;34.204169,108.926988"	"西安市"	"雁塔区"	"陕西省西安市雁塔区"	"108.92653930906464,34.20379587132213"	"陕西省"
