"id"	"胶乳颜色"	"三小叶间距"	"生长快慢"	"叶片形状"	"侧脉胶"	"叶基"	"学名"	"科名"	"属名"	"小叶柄长度"	"物候落叶"	"省"	"叶缘形状"	"产量高低B"	"产量高低A"	"染色体数"	"落叶早晚"	"胶值比"	"物候抽芽"	"蜜腺形态"	"原产地"	"茎围比"	"统一编号"	"种质名称"	"大叶枕"	"抽芽早晚"
"3740"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"22.1"	"4月上旬"	"平"	"巴西"	"92.6"	"XJA02171"	"AC/T/1 5/124"	"无"	"晚"
"3741"	"黄"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"28.8"	"4月上旬"	"平"	"巴西"	"55.5"	"XJA02172"	"AC/T/1 5/125"	"深"	"晚"
"3742"	"白"	"靠近"	"较快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"33.6"	"3月中旬"	"突"	"巴西"	"103.4"	"XJA02173"	"AC/T/1 5/127"	"浅"	"中"
"3743"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"58.4"	"4月上旬"	"微突"	"巴西"	"48.4"	"XJA02174"	"AC/T/1 5/129"	"浅"	"晚"
"3744"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"11.8"	"3月中旬"	"平"	"巴西"	"41.2"	"XJA02175"	"AC/T/1 5/13"	"无"	"中"
"3745"	"白"	"分离"	"较快"	"椭圆"	"1.0"	"楔形"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"8.4"	"2月上旬"	"突"	"巴西"	"101.5"	"XJA02176"	"AC/T/1 5/130"	"深"	"早"
"3746"	"白"	"分离"	"慢"	"椭圆"	"2.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"中等"	"低"	"36"	"晚"	"36.7"	"3月中旬"	"突"	"巴西"	"54.0"	"XJA02177"	"AC/T/1 5/131"	"浅"	"中"
"3747"	"白"	"靠近"	"慢"	"倒卵"	"1.0"	"楔形"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"低"	"低"	"36"	"早"	"31.7"	"3月中旬"	"微突"	"巴西"	"40.4"	"XJA02178"	"AC/T/1 5/132"	"浅"	"中"
"3748"	"白"	"分离"	"中等"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"1月上旬"	"国外"	"大"	"低"	"低"	"36"	"早"	"59.5"	"3月中旬"	"突"	"巴西"	"99.4"	"XJA02179"	"AC/T/1 5/135"	"深"	"中"
"3749"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"43.0"	"3月中旬"	"微突"	"巴西"	"58.6"	"XJA02180"	"AC/T/1 5/136"	"浅"	"中"
"3750"	"白"	"分离"	"中等"	"长菱"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"中等"	"低"	"36"	"晚"	"48.2"	"4月上旬"	"平"	"巴西"	"80.2"	"XJA02181"	"AC/T/1 5/137"	"浅"	"晚"
"3751"	"黄"	"靠近"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"24.8"	"3月中旬"	"微突"	"巴西"	"70.8"	"XJA02182"	"AC/T/1 5/138"	"浅"	"中"
"3752"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"40.9"	"4月上旬"	"平"	"巴西"	"70.2"	"XJA02183"	"AC/T/1 5/139"	"浅"	"晚"
"3753"	"白"	"靠近"	"慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"中等"	"低"	"36"	"早"	"30.5"	"2月上旬"	"平"	"巴西"	"58.0"	"XJA02184"	"AC/T/1 5/140"	"无"	"早"
"3754"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"纯尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"49.5"	"4月上旬"	"平"	"巴西"	"72.5"	"XJA02185"	"AC/T/1 5/142"	"浅"	"晚"
"3755"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"1月上旬"	"国外"	"大"	"低"	"低"	"36"	"早"	"47.5"	"2月上旬"	"突"	"巴西"	"57.9"	"XJA02186"	"AC/T/1 5/143"	"无"	"早"
"3756"	"黄"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"50.9"	"4月上旬"	"突"	"巴西"	"43.5"	"XJA02187"	"AC/T/1 5/144"	"浅"	"晚"
"3757"	"白"	"显著分离"	"中等"	"椭圆"	"2.0"	"楔形"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"12.0"	"2月上旬"	"突"	"巴西"	"96.2"	"XJA02188"	"AC/T/1 5/145"	"无"	"早"
"3758"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"21.6"	"4月上旬"	"突"	"巴西"	"72.3"	"XJA02189"	"AC/T/1 5/146"	"浅"	"晚"
"3759"	"黄"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"34.7"	"2月上旬"	"微突"	"巴西"	"49.7"	"XJA02190"	"AC/T/1 5/149"	"无"	"早"
"3760"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"纯尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"43.6"	"3月中旬"	"平"	"巴西"	"77.2"	"XJA02191"	"AC/T/1 5/151"	"无"	"中"
"3761"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"31.0"	"3月中旬"	"微突"	"巴西"	"92.7"	"XJA02192"	"AC/T/1 5/153"	"浅"	"中"
"3762"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"35.7"	"4月上旬"	"平"	"巴西"	"97.0"	"XJA02193"	"AC/T/1 5/154"	"无"	"晚"
"3763"	"白"	"分离"	"中等"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"2月中旬"	"国外"	"大"	"中等"	"低"	"36"	"中"	"33.8"	"3月中旬"	"平"	"巴西"	"85.9"	"XJA02194"	"AC/T/1 5/155"	"无"	"中"
"3764"	"白"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"31.0"	"3月中旬"	"微突"	"巴西"	"55.3"	"XJA02195"	"AC/T/1 5/156"	"深"	"中"
"3765"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"39.3"	"3月中旬"	"平"	"巴西"	"73.0"	"XJA02196"	"AC/T/1 5/158"	"无"	"中"
"3766"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"1月上旬"	"国外"	"大"	"较低"	"中等"	"36"	"早"	"86.2"	"3月中旬"	"微突"	"巴西"	"73.3"	"XJA02197"	"AC/T/1 5/159"	"浅"	"中"
"3767"	"白"	"分离"	"中等"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"中等"	"低"	"36"	"晚"	"56.1"	"4月上旬"	"平"	"巴西"	"82.1"	"XJA02198"	"AC/T/1 5/16"	"浅"	"晚"
"3768"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"52.8"	"3月中旬"	"微突"	"巴西"	"89.9"	"XJA02199"	"AC/T/1 5/161"	"深"	"中"
"3769"	"白"	"分离"	"中等"	"椭圆"	"1.0"	"楔形"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"59.5"	"3月中旬"	"平"	"巴西"	"97.9"	"XJA02200"	"AC/T/1 5/163"	"无"	"中"
"3770"	"白"	"分离"	"较快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"10.6"	"4月上旬"	"平"	"巴西"	"100.0"	"XJA02201"	"AC/T/1 5/165"	"无"	"晚"
"3771"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"13.4"	"4月上旬"	"平"	"巴西"	"71.4"	"XJA02202"	"AC/T/1 5/167"	"无"	"晚"
"3772"	"白"	"分离"	"较快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"42.0"	"2月上旬"	"平"	"巴西"	"107.9"	"XJA02203"	"AC/T/1 5/169"	"无"	"早"
"3773"	"白"	"重迭"	"中等"	"椭圆"	"3.0"	"纯尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"中等"	"较低"	"36"	"早"	"61.2"	"2月上旬"	"平"	"巴西"	"84.6"	"XJA02204"	"AC/T/1 5/170"	"浅"	"早"
"3774"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"27.9"	"3月中旬"	"微突"	"巴西"	"76.6"	"XJA02205"	"AC/T/1 5/171"	"无"	"中"
"3775"	"白"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"32.6"	"2月上旬"	"微突"	"巴西"	"40.4"	"XJA02206"	"AC/T/1 5/19"	"浅"	"早"
"3776"	"白"	"靠近"	"较慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"2月中旬"	"国外"	"大"	"中等"	"低"	"36"	"中"	"22.5"	"3月中旬"	"平"	"巴西"	"74.0"	"XJA02207"	"AC/T/1 5/2"	"浅"	"中"
"3777"	"白"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"56.5"	"3月中旬"	"微突"	"巴西"	"59.9"	"XJA02208"	"AC/T/1 5/22"	"浅"	"中"
"3778"	"黄"	"分离"	"中等"	"椭圆"	"2.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"中等"	"低"	"36"	"晚"	"44.7"	"3月中旬"	"平"	"巴西"	"84.3"	"XJA02209"	"AC/T/1 5/23"	"无"	"中"
"3779"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"1月上旬"	"国外"	"大"	"较低"	"较低"	"36"	"早"	"75.9"	"3月中旬"	"平"	"巴西"	"76.4"	"XJA02210"	"AC/T/1 5/24"	"浅"	"中"
"3780"	"白"	"分离"	"较快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"12.9"	"2月上旬"	"平"	"巴西"	"104.8"	"XJA02211"	"AC/T/1 5/25"	"浅"	"早"
"3781"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"纯尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"中等"	"36"	"中"	"88.4"	"3月中旬"	"平"	"巴西"	"71.2"	"XJA02212"	"AC/T/1 5/26"	"浅"	"中"
"3782"	"白"	"靠近"	"中等"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"中等"	"低"	"36"	"中"	"38.5"	"2月上旬"	"平"	"巴西"	"93.2"	"XJA02213"	"AC/T/1 5/29"	"无"	"早"
"3783"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"6.2"	"2月上旬"	"平"	"巴西"	"77.9"	"XJA02214"	"AC/T/1 5/3"	"无"	"早"
"3784"	"白"	"靠近"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"较低"	"36"	"中"	"67.9"	"4月上旬"	"平"	"巴西"	"92.9"	"XJA02215"	"AC/T/1 5/32"	"浅"	"晚"
"3785"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"35.0"	"3月中旬"	"微突"	"巴西"	"95.0"	"XJA02216"	"AC/T/1 5/35"	"浅"	"中"
"3786"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"54.7"	"4月上旬"	"平"	"巴西"	"98.4"	"XJA02217"	"AC/T/1 5/36"	"无"	"晚"
"3787"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"50.6"	"3月中旬"	"突"	"巴西"	"88.2"	"XJA02218"	"AC/T/1 5/4"	"浅"	"中"
"3788"	"白"	"显著分离"	"较快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"较低"	"36"	"中"	"61.7"	"3月中旬"	"平"	"巴西"	"101.8"	"XJA02219"	"AC/T/1 5/40"	"浅"	"中"
"3789"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"楔形"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"37.4"	"3月中旬"	"微突"	"巴西"	"81.5"	"XJA02220"	"AC/T/1 5/42"	"浅"	"中"
"3790"	"白"	"分离"	"较慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"中等"	"较低"	"36"	"中"	"72.4"	"3月中旬"	"平"	"巴西"	"63.9"	"XJA02221"	"AC/T/1 5/43"	"浅"	"中"
"3791"	"黄"	"靠近"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"2月中旬"	"国外"	"大"	"较低"	"较高"	"36"	"中"	"110.8"	"3月中旬"	"平"	"巴西"	"72.7"	"XJA02222"	"AC/T/1 5/45"	"浅"	"中"
"3792"	"白"	"分离"	"较慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"中等"	"低"	"36"	"中"	"40.8"	"3月中旬"	"平"	"巴西"	"61.6"	"XJA02223"	"AC/T/1 5/52"	"无"	"中"
"3793"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"18.5"	"4月上旬"	"平"	"巴西"	"69.5"	"XJA02224"	"AC/T/1 5/55"	"浅"	"晚"
"3794"	"白"	"分离"	"中等"	"椭圆"	"4.0"	"纯尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较高"	"较低"	"36"	"中"	"77.9"	"3月中旬"	"平"	"巴西"	"88.0"	"XJA02225"	"AC/T/1 5/58"	"无"	"中"
"3795"	"白"	"分离"	"中等"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"中等"	"低"	"36"	"中"	"49.9"	"3月中旬"	"平"	"巴西"	"83.3"	"XJA02226"	"AC/T/1 5/59"	"浅"	"中"
"3796"	"白"	"分离"	"较快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"4.7"	"3月中旬"	"平"	"巴西"	"100.6"	"XJA02227"	"AC/T/1 5/6"	"无"	"中"
"3797"	"白"	"分离"	"中等"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"30.5"	"3月中旬"	"平"	"巴西"	"92.2"	"XJA02228"	"AC/T/1 5/60"	"无"	"中"
"3798"	"黄"	"靠近"	"快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"25.3"	"3月中旬"	"突"	"巴西"	"157.8"	"XJA02229"	"AC/T/1 5/62"	"深"	"中"
"3799"	"白"	"分离"	"较快"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"40.8"	"4月上旬"	"平"	"巴西"	"107.7"	"XJA02230"	"AC/T/1 5/67"	"无"	"晚"
"3800"	"白"	"靠近"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"47.7"	"4月上旬"	"突"	"巴西"	"53.4"	"XJA02231"	"AC/T/1 5/68"	"浅"	"晚"
"3801"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"27.6"	"4月上旬"	"微突"	"巴西"	"84.9"	"XJA02232"	"AC/T/1 5/69"	"浅"	"晚"
"3802"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"16.5"	"3月中旬"	"微突"	"巴西"	"74.0"	"XJA02233"	"AC/T/1 5/7"	"浅"	"中"
"3803"	"白"	"分离"	"中等"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"34.8"	"3月中旬"	"平"	"巴西"	"94.1"	"XJA02234"	"AC/T/1 5/70"	"无"	"中"
"3804"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"44.4"	"4月上旬"	"微突"	"巴西"	"62.6"	"XJA02235"	"AC/T/1 5/72"	"浅"	"晚"
"3805"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"16.4"	"4月上旬"	"平"	"巴西"	"59.0"	"XJA02236"	"AC/T/1 5/75"	"浅"	"晚"
"3806"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"27.1"	"4月上旬"	"平"	"巴西"	"78.8"	"XJA02237"	"AC/T/1 5/76"	"浅"	"晚"
"3807"	"白"	"靠近"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"10.8"	"3月中旬"	"平"	"巴西"	"86.0"	"XJA02238"	"AC/T/1 5/78"	"无"	"中"
"3808"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"35.3"	"3月中旬"	"微突"	"巴西"	"64.5"	"XJA02239"	"AC/T/1 5/8"	"无"	"中"
"3809"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"31.1"	"3月中旬"	"平"	"巴西"	"72.2"	"XJA02240"	"AC/T/1 5/80"	"深"	"中"
"3810"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"11.3"	"3月中旬"	"平"	"巴西"	"97.4"	"XJA02241"	"AC/T/1 5/81"	"无"	"中"
