"id"	"胶乳颜色"	"三小叶间距"	"生长快慢"	"叶片形状"	"侧脉胶"	"叶基"	"学名"	"科名"	"属名"	"小叶柄长度"	"物候落叶"	"省"	"叶缘形状"	"产量高低B"	"产量高低A"	"染色体数"	"落叶早晚"	"胶值比"	"物候抽芽"	"蜜腺形态"	"原产地"	"茎围比"	"统一编号"	"种质名称"	"大叶枕"	"抽芽早晚"
"26"	"白"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"37.0"	"3月中旬"	"微突"	"巴西"	"54.7"	"XJA00026"	"AC/AB/15 54/1016"	"浅"	"中"
"27"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"57.6"	"4月上旬"	"平"	"巴西"	"83.2"	"XJA00027"	"AC/AB/15 54/1031"	"浅"	"晚"
"28"	"黄"	"分离"	"较慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"中等"	"中等"	"36"	"晚"	"86.4"	"4月上旬"	"微突"	"巴西"	"74.6"	"XJA00028"	"AC/AB/15 54/1048"	"无"	"晚"
"29"	"白"	"分离"	"慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"中等"	"低"	"36"	"晚"	"40.2"	"4月上旬"	"突"	"巴西"	"46.1"	"XJA00029"	"AC/AB/15 54/1053"	"浅"	"晚"
"30"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"26.9"	"3月中旬"	"平"	"巴西"	"96.8"	"XJA00030"	"AC/AB/15 54/1056"	"无"	"中"
"31"	"白"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"36.5"	"2月上旬"	"平"	"巴西"	"55.7"	"XJA00031"	"AC/AB/15 54/1057"	"浅"	"早"
"32"	"白"	"分离"	"慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"中等"	"低"	"36"	"中"	"10.2"	"3月中旬"	"平"	"巴西"	"33.2"	"XJA00032"	"AC/AB/15 54/106"	"无"	"中"
"33"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"27.9"	"4月上旬"	"微突"	"巴西"	"44.9"	"XJA00033"	"AC/AB/15 54/1061"	"无"	"晚"
"34"	"白"	"靠近"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"38.0"	"2月上旬"	"平"	"巴西"	"78.9"	"XJA00034"	"AC/AB/15 54/1066"	"无"	"早"
"35"	"白"	"分离"	"慢"	"长菱"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"59.0"	"4月上旬"	"平"	"巴西"	"40.5"	"XJA00035"	"AC/AB/15 54/107"	"浅"	"晚"
"36"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"34.3"	"3月中旬"	"突"	"巴西"	"71.4"	"XJA00036"	"AC/AB/15 54/1077"	"浅"	"中"
"37"	"黄"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"低"	"低"	"36"	"早"	"30.6"	"2月上旬"	"微突"	"巴西"	"59.5"	"XJA00037"	"AC/AB/15 54/1081"	"浅"	"早"
"38"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"57.7"	"3月中旬"	"平"	"巴西"	"77.6"	"XJA00038"	"AC/AB/15 54/1085"	"浅"	"中"
"39"	"黄"	"分离"	"较慢"	"椭圆"	"2.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"中等"	"低"	"36"	"晚"	"42.0"	"3月中旬"	"微突"	"巴西"	"73.0"	"XJA00039"	"AC/AB/15 54/1094"	"无"	"中"
"40"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"低"	"低"	"36"	"早"	"44.1"	"3月中旬"	"突"	"巴西"	"64.0"	"XJA00040"	"AC/AB/15 54/1095"	"浅"	"中"
"41"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"2月中旬"	"国外"	"大"	"低"	"中等"	"36"	"中"	"97.8"	"3月中旬"	"平"	"巴西"	"63.4"	"XJA00041"	"AC/AB/15 54/1096"	"浅"	"中"
"42"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"46.0"	"3月中旬"	"平"	"巴西"	"62.1"	"XJA00042"	"AC/AB/15 54/1098"	"浅"	"中"
"43"	"白"	"分离"	"慢"	"椭圆"	"2.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"中等"	"中等"	"36"	"中"	"80.4"	"3月中旬"	"平"	"巴西"	"55.1"	"XJA00043"	"AC/AB/15 54/11"	"深"	"中"
"44"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"57.4"	"3月中旬"	"平"	"巴西"	"53.4"	"XJA00044"	"AC/AB/15 54/1100"	"浅"	"中"
"45"	"白"	"分离"	"慢"	"椭圆"	"2.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"中等"	"较低"	"36"	"中"	"78.8"	"3月中旬"	"平"	"巴西"	"54.0"	"XJA00045"	"AC/AB/15 54/1101"	"浅"	"中"
"46"	"白"	"显著分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"46.0"	"3月中旬"	"微突"	"巴西"	"34.8"	"XJA00046"	"AC/AB/15 54/1103"	"浅"	"中"
"47"	"黄"	"分离"	"中等"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"52.1"	"3月中旬"	"微突"	"巴西"	"83.8"	"XJA00047"	"AC/AB/15 54/1108"	"无"	"中"
"48"	"黄"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"低"	"低"	"36"	"早"	"35.4"	"3月中旬"	"微突"	"巴西"	"78.9"	"XJA00048"	"AC/AB/15 54/1113"	"无"	"中"
"49"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"较低"	"36"	"中"	"74.0"	"3月中旬"	"平"	"巴西"	"60.9"	"XJA00049"	"AC/AB/15 54/1115"	"浅"	"中"
