"id"	"统一编号"	"保存单位"	"品种名称"	"系谱"	"来源"	"芒"	"壳色"	"粒色"	"冬春性"	"成熟期"	"穗粒数"	"穗长"	"株高"	"千粒重"	"粗蛋白"	"省份"
"545"	"ZM014224"	"晋0717"	"临辐5287"	"宛源28-68-88/临晋709"	"山西省农科院小麦所"	"长"	"白"	"白"	"冬"	"早"	"40"	"8"	"85"	"39.6"		"山西
"
"546"	"ZM014225"	"晋0718"	"临辐50042"	"晋麦20/尤30"	"山西省农科院小麦所"	"短"	"白"	"白"	"冬"	"早"	"46"	"7"	"75"	"43.8"		"山西
"
"547"	"ZM014226"	"晋0719"	"临辐50881"	"卫东18/6609-12-3-9-2"	"山西省农科院小麦所"	"无"	"白"	"白"	"冬"	"早"	"43"	"8"	"78"	"41"		"山西
"
"548"	"ZM014227"	"晋0720"	"临辐50955"	"K239/75-78"	"山西省农科院小麦所"	"长"	"白"	"白"	"冬"	"中"	"40"	"8"	"63"	"39.5"		"山西
"
"549"	"ZM014228"	"晋0721"	"临辐51243"	"K37/临汾10号"	"山西省农科院小麦所"	"长"	"白"	"白"	"冬"	"中"	"48"	"8"	"81"	"39.5"		"山西
"
"550"	"ZM014229"	"晋0722"	"施春3号"	"Null"	"山西原平施家野庄"	"长"	"白"	"白"	"春"	"中"	"38"	"9"	"79"	"25.9"		"山西
"
"551"	"ZM014230"	"晋0723"	"晋Ta10-4-2"	"Ta/丰抗17"	"山西农业大学"	"长"	"白"	"红"	"冬"	"中"	"25"	"10"	"106"	"38.5"	"15.55"	"山西
"
"552"	"ZM014231"	"晋0724"	"晋Ta10-32-2"	"Ta/丰抗17"	"山西农业大学"	"无"	"白"	"红"	"冬"	"中"	"21"	"9"	"112"	"38.2"	"15.86"	"山西
"
"553"	"ZM014232"	"晋0725"	"晋Ta11-13-1"	"Ta/丰抗13"	"山西农业大学"	"长"	"白"	"白"	"冬"	"中"	"27"	"9"	"88"	"47.5"	"16.2"	"山西
"
"554"	"ZM014233"	"晋0726"	"晋Ta42-100-4"	"太谷核不育后代/洛夫林13"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"25"	"13"	"87"	"34.9"	"14.38"	"山西
"
"555"	"ZM014235"	"晋0728"	"晋Ta42-100-6"	"太谷核不育后代/洛夫林13"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"25"	"13"	"87"	"35.1"		"山西
"
"556"	"ZM014237"	"晋0730"	"晋Ta42-102-3"	"太谷核不育后代/洛夫林13"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"23"	"12"	"89"	"37.3"	"14.45"	"山西
"
"557"	"ZM014238"	"晋0731"	"晋Ta42-102-6"	"太谷核不育后代/洛夫林13"	"山西农业大学"	"短"	"白"	"白"	"冬"	"中"	"38"	"11"	"88"	"35.8"	"12.55"	"山西
"
"558"	"ZM014239"	"晋0732"	"晋Ta42-102-7"	"太谷核不育后代/洛夫林13"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"42"	"12"	"83"	"36.8"	"17.42"	"山西
"
"559"	"ZM014240"	"晋0733"	"晋Ta43-103-4"	"太谷核不育后代/洛夫林13"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"29"	"13"	"88"	"35.7"	"14.77"	"山西
"
"560"	"ZM014241"	"晋0734"	"晋Ta42-103-7"	"太谷核不育后代/洛夫林13"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"41"	"12"	"82"	"35.3"	"16.95"	"山西
"
"561"	"ZM014242"	"晋0735"	"晋Ta42-110-6"	"太谷核不育后代/洛夫林13"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"32"	"9"	"80"	"40.3"	"15.3"	"山西
"
"562"	"ZM014243"	"晋0736"	"晋Ta42-111"	"太谷核不育后代/洛夫林13"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"30"	"7"	"79"	"41.2"	"17.25"	"山西
"
"563"	"ZM014244"	"晋0737"	"晋Ta42-143"	"太谷核不育后代/洛夫林13"	"山西农业大学"	"长"	"白"	"白"	"冬"	"中"	"27"	"10"	"115"	"49.5"	"14.39"	"山西
"
"564"	"ZM014245"	"晋0738"	"晋Ta47-222"	"Ta/多父本(丰抗2号+7号+17)"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"32"	"9"	"91"	"37.4"		"山西
"
"565"	"ZM014246"	"晋0739"	"晋Ta87-8"	"Ta/紫麦"	"山西农业大学"	"长"	"白"	"白"	"冬"	"中"	"28"	"9"	"83"	"34.8"	"13.87"	"山西
"
"566"	"ZM014247"	"晋0740"	"晋Ta90-4"	"Ta/丰抗2号"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"19"	"9"	"108"	"29.2"	"13.66"	"山西
"
"567"	"ZM014248"	"晋0741"	"晋Ta90-35"	"Ta/丰抗2号"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"24"	"10"	"84"	"42.2"	"17.77"	"山西
"
"568"	"ZM014249"	"晋0742"	"晋Ta120-9"	"Ta /A"	"山西农业大学"	"无"	"白"	"白"	"冬"	"中"	"19"	"9"	"82"	"34.1"		"山西
"
"569"	"ZM014250"	"晋0743"	"晋S-1"	"Ta //克76-250/辽39-2"	"山西省农科院遗传所"	"长"	"白"	"红"	"春"	"晚"	"32"	"9"	"79"	"31.4"	"16.2"	"山西
"
"570"	"ZM014252"	"晋0745"	"晋13"	"Null"	"山西阳高五官屯"	"长"	"白"	"红"	"春"	"中"	"28"	"7"	"92"	"28.5"		"山西
"
"571"	"ZM014253"	"晋0746"	"晋57-1"	"华北187/阿桑"	"山西省农科院经济作物所"	"长"	"白"	"白"	"冬"	"早"	"30"	"7"	"100"	"38.7"	"16.06"	"山西
"
"572"	"ZM014254"	"晋0747"	"晋72水670"	"1048/晋农52"	"山西省农科院经济作物所"	"长"	"白"	"红"	"冬"	"中早"	"25"	"7"	"100"	"36.5"	"16.49"	"山西
"
"573"	"ZM014256"	"晋0749"	"晋74-14"	"Null"	"山西榆次县良种场"	"长"	"白"	"白"	"冬"	"中晚"	"45"	"7"	"74"	"31.3"	"20.55"	"山西
"
"574"	"ZM014257"	"晋0750"	"晋74-134"	"Null"	"山西榆次县良种场"	"顶"	"白"	"白"	"冬"	"中晚"	"39"	"9"	"108"	"31.8"	"18.93"	"山西
"
"575"	"ZM014258"	"晋0751"	"晋74-200"	"Null"	"山西榆次县良种场"	"长"	"白"	"白"	"冬"	"中晚"	"41"	"9"	"103"	"42"	"19.38"	"山西
"
"576"	"ZM014259"	"晋0752"	"晋75-19-1"	"Null"	"山西左云"	"长"	"白"	"红"	"春"	"中晚"	"19"	"8"	"108"	"16.9"		"山西
"
"577"	"ZM014261"	"晋0754"	"晋77K349"	"Null"	"山西省农科院经济作物所"	"长"	"白"	"白"	"冬"	"中晚"	"36"	"10"	"81"	"28.6"		"山西
"
"578"	"ZM014262"	"晋0755"	"晋77-01"	"Null"	"山西河曲县良种场"	"长"	"白"	"红"	"冬"	"中晚"	"36"	"7"	"60"	"27.2"		"山西
"
"579"	"ZM014263"	"晋0756"	"晋77-02"	"Null"	"山西河曲县良种场"	"长"	"白"	"红"	"冬"	"中晚"	"42"	"7"	"69"	"29.2"		"山西
"
"580"	"ZM014264"	"晋0757"	"晋78K183"	"旱选10号/株60//D111"	"山西省农科院经济作物所"	"顶"	"白"	"白"	"冬"	"中"	"23"	"7"	"90"	"39.9"		"山西
"
"581"	"ZM014265"	"晋0758"	"晋78水329"	"晋农3号/太原849//F15-67"	"山西省农科院经济作物所"	"顶"	"白"	"白"	"冬"	"中早"	"25"	"7"	"80"	"39.9"	"19.46"	"山西
"
"582"	"ZM014266"	"晋0759"	"晋78水415"	"太原849/洛夫林10号"	"山西省农科院经济作物所"	"长"	"白"	"红"	"冬"	"中"	"25"	"6"	"75"	"43"	"16.22"	"山西
"
"583"	"ZM014267"	"晋0760"	"晋78旱-92"	"67-169//旱选10号/工农12"	"山西省农科院高粱所"	"长"	"白"	"白"	"冬"	"中晚"	"35"	"11"	"114"	"31"	"18.98"	"山西
"
"584"	"ZM014268"	"晋0761"	"晋78旱-390"	"70-510/旱选10号"	"山西省农科院经济作物所"	"长"	"白"	"白"	"冬"	"早"	"20"	"7"	"110"	"23.6"		"山西
"
"585"	"ZM014269"	"晋0762"	"晋79K204"	"K大粒系选"	"山西省农科院经济作物所"	"无"	"白"	"白"	"冬"	"晚"	"25"	"7"	"74"	"33.6"	"18.18"	"山西
"
"586"	"ZM014270"	"晋0763"	"晋79K209"	"矮3异株/质1"	"山西省农科院经济作物所"	"长"	"白"	"白"	"冬"	"中早"	"22"	"8"	"82"	"33.9"	"17.69"	"山西
"
"587"	"ZM014271"	"晋0764"	"晋79K214"	"K大粒系选"	"山西省农科院经济作物所"	"长"	"白"	"白"	"冬"	"中早"	"23"	"9"	"72"	"45"	"16.82"	"山西
"
"588"	"ZM014272"	"晋0765"	"晋79K215"	"K大粒系选"	"山西省农科院经济作物所"	"长"	"白"	"白"	"冬"	"中早"	"24"	"10"	"76"	"45"	"18.07"	"山西
"
