"id"	"成熟期"	"科名"	"种子含油率"	"产地或来源"	"库编号"	"单株果球数"	"千粒重"	"壳型"	"统一编号"	"出苗期"	"省"	"亚油酸"	"皮壳率"	"译名"	"叶缘"	"品种名称"	"苞片有无刺"	"播种期"	"学名"	"单位编号"	"保存单位"	"属名"	"抗逆性"	"叶片有无刺"	"选育方法"	"株高"	"花色"
"1098"	"4/10"	"Compositae(菊科)"	"28.16"	"土耳其"	"I4E00741"	"21"	"39.0"	"普通"	"WHH01318"	"10/24"	"国外"	"--"	"50.0"	"PI 301053"	"锯齿"	"PI 301053"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w249"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"171.0"	"桔红"
"1099"	"4/12"	"Compositae(菊科)"	"28.69"	"伊朗"	"I4E00742"	"73"	"30.0"	"普通"	"WHH01319"	"10/27"	"国外"	"--"	"54.3"	"PI 304467"	"全缘"	"PI 304467"	"无"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w250"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"176.0"	"桔黄"
"1100"	"4/19"	"Compositae(菊科)"	"28.68"	"伊朗"	"I4E00743"	"36"	"83.0"	"普通"	"WHH01320"	"10/23"	"国外"	"--"	"53.9"	"PI 304474"	"全缘"	"PI 304474"	"无"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w251"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"191.0"	"黄"
"1101"	"4/19"	"Compositae(菊科)"	"26.21"	"土耳其"	"I4E00744"	"19"	"46.0"	"普通"	"WHH01321"	"10/25"	"国外"	"--"	"45.4"	"PI 304495"	"锯齿"	"PI 304495"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w252"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"168.0"	"桔红"
"1102"	"4/11"	"Compositae(菊科)"	"25.14"	"土耳其"	"I4E00745"	"35"	"53.0"	"普通"	"WHH01322"	"10/23"	"国外"	"--"	"33.3"	"PI 304504"	"锯齿"	"PI 304504"	"无"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w253"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"163.0"	"红"
"1103"	"4/11"	"Compositae(菊科)"	"21.34"	"土耳其"	"I4E00746"	"24"	"62.0"	"普通"	"WHH01323"	"10/28"	"国外"	"--"	"54.5"	"PI 304507"	"锯齿"	"PI 304507"	"无"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w254"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"140.0"	"红"
"1104"	"4/11"	"Compositae(菊科)"	"24.70"	"印度"	"I4E00747"	"30"	"49.0"	"普通"	"WHH01324"	"10/23"	"国外"	"--"	"48.3"	"PI 305153"	"锯齿"	"PI 305153"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w255"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"153.0"	"红"
"1105"	"3/15"	"Compositae(菊科)"	"27.72"	"印度"	"I4E00748"	"19"	"37.0"	"普通"	"WHH01325"	"10/24"	"国外"	"--"	"42.9"	"PI 305155"	"锯齿"	"PI 305155"	"中"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w695"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"132.0"	"黄"
"1106"	"4/12"	"Compositae(菊科)"	"21.69"	"印度"	"I4E00749"	"31"	"47.0"	"普通"	"WHH01326"	"10/24"	"国外"	"--"	"55.5"	"PI 305169"	"锯齿"	"PI 305169"	"无"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w696"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"多"	"引种"	"143.0"	"桔黄"
"1107"	"3/20"	"Compositae(菊科)"	"27.93"	"印度"	"I4E00750"	"52"	"38.0"	"普通"	"WHH01327"	"10/24"	"国外"	"--"	"28.6"	"PI 305181"	"锯齿"	"PI 305181"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w697"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"135.0"	"桔黄"
