"id"	"成熟期"	"科名"	"种子含油率"	"产地或来源"	"库编号"	"单株果球数"	"千粒重"	"壳型"	"统一编号"	"出苗期"	"省"	"亚油酸"	"皮壳率"	"译名"	"叶缘"	"品种名称"	"苞片有无刺"	"播种期"	"学名"	"单位编号"	"保存单位"	"属名"	"抗逆性"	"叶片有无刺"	"选育方法"	"株高"	"花色"
"167"	"8/02"	"Compositae(菊科)"	"23.22"	"印度"	"I4E01041"	"25"	"54.0"	"条纹"	"WHH00174"	"4/19"	"国外"	"--"	"55.0"	"PI 199917"	"锯齿"	"PI 199917"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0074"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"少"	"引种"	"83.0"	"桔黄"
"168"	"7/25"	"Compositae(菊科)"	"19.10"	"印度"	"I4E01042"	"23"	"68.0"	"条纹"	"WHH00175"	"4/22"	"国外"	"--"	"50.0"	"PI 199918"	"全缘"	"PI 199918"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0075"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"54.0"	"桔黄"
"169"	"8/02"	"Compositae(菊科)"	"20.04"	"印度"	"I4E01043"	"29"	"54.0"	"普通"	"WHH00176"	"4/20"	"国外"	"--"	"55.5"	"PI 199919"	"锯齿"	"PI 199919"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0076"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"78.0"	"桔黄"
"170"	"7/25"	"Compositae(菊科)"	"26.88"	"印度"	"I4E01044"	"15"	"67.0"	"普通"	"WHH00177"	"4/22"	"国外"	"--"	"53.4"	"PI 199920"	"锯齿"	"PI 199920"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0077"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"56.0"	"黄"
"171"	"7/25"	"Compositae(菊科)"	"22.30"	"印度"	"I4E01760"	"22"	"57.0"	"普通"	"WHH00178"	"4/17"	"国外"	"--"	"52.1"	"PI 199921"	"锯齿"	"PI 199921"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0078"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"71.0"	"黄"
"172"	"8/02"	"Compositae(菊科)"	"23.71"	"印度"	"I4E01045"	"32"	"55.0"	"普通"	"WHH00179"	"4/19"	"国外"	"--"	"58.3"	"PI 199922"	"锯齿"	"PI 199922"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0079"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"92.0"	"黄"
"173"	"7/25"	"Compositae(菊科)"	"23.01"	"印度"	"I4E01046"	"23"	"62.0"	"普通"	"WHH00180"	"4/17"	"国外"	"--"	"47.2"	"PI 199923"	"锯齿"	"PI 199923"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0080"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"65.0"	"桔黄"
"174"	"8/02"	"Compositae(菊科)"	"22.92"	"印度"	"I4E01047"	"28"	"60.0"	"普通"	"WHH00181"	"4/19"	"国外"	"--"	"44.4"	"PI 199924"	"全缘"	"PI 199924"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0081"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"72.0"	"桔黄"
"175"	"7/28"	"Compositae(菊科)"	"26.20"	"印度"	"I4E01761"	"24"	"54.0"	"普通"	"WHH00182"	"4/22"	"国外"	"--"	"44.6"	"PI 199925"	"锯齿"	"PI 199925"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0082"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"57.0"	"桔黄"
"176"	"8/02"	"Compositae(菊科)"	"27.68"	"印度"	"I4E01048"	"29"	"57.0"	"普通"	"WHH00183"	"4/19"	"国外"	"--"	"53.5"	"PI 199926"	"锯齿"	"PI 199926"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0083"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"72.0"	"桔黄"
"177"	"7/28"	"Compositae(菊科)"	"24.14"	"印度"	"I4E01762"	"11"	"59.0"	"普通"	"WHH00184"	"4/22"	"国外"	"--"	"42.2"	"PI 199927"	"锯齿"	"PI 199927"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0084"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"69.0"	"黄"
"178"	"7/30"	"Compositae(菊科)"	"25.96"	"印度"	"I4E00301"	"24"	"50.0"	"普通"	"WHH00185"	"4/22"	"国外"	"--"	"48.7"	"PI 199928"	"锯齿"	"PI 199928"	"多"	"4/6"	"Carthamus tinctorius L.(红花)"	"BXY0085"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"76.0"	"桔黄"
"179"	"7/25"	"Compositae(菊科)"	"24.41"	"印度"	"I4E01049"	"30"	"59.0"	"普通"	"WHH00186"	"4/22"	"国外"	"--"	"46.9"	"PI 199929"	"锯齿"	"PI 199929"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0086"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"64.0"	"桔黄"
"180"	"7/02"	"Compositae(菊科)"	"24.60"	"印度"	"I4E01050"	"26"	"54.0"	"普通"	"WHH00187"	"4/22"	"国外"	"--"	"80.0"	"PI 199930"	"锯齿"	"PI 199930"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0087"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"84.0"	"桔黄"
"181"	"7/25"	"Compositae(菊科)"	"26.20"	"印度"	"I4E01051"	"20"	"47.0"	"普通"	"WHH00188"	"4/22"	"国外"	"--"	"48.7"	"PI 199931"	"锯齿"	"PI 199931"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0088"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"57.0"	"桔黄"
"182"	"7/30"	"Compositae(菊科)"	"26.08"	"印度"	"I4E00302"	"22"	"63.0"	"普通"	"WHH00189"	"4/22"	"国外"	"--"	"58.3"	"PI 199932"	"锯齿"	"PI 199932"	"多"	"4/6"	"Carthamus tinctorius L.(红花)"	"BXY0089"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"74.0"	"桔黄"
"183"	"8/02"	"Compositae(菊科)"	"23.62"	"印度"	"I4E00303"	"29"	"67.0"	"普通"	"WHH00190"	"4/19"	"国外"	"--"	"40.0"	"PI 199933"	"浅裂"	"PI 199933"	"多"	"4/6"	"Carthamus tinctorius L.(红花)"	"BXY0090"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"100.0"	"桔黄"
"184"	"7/30"	"Compositae(菊科)"	"27.82"	"印度"	"I4E00304"	"30"	"64.0"	"普通"	"WHH00191"	"4/22"	"国外"	"--"	"38.4"	"PI 199934"	"锯齿"	"PI 199934"	"多"	"4/6"	"Carthamus tinctorius L.(红花)"	"BXY0091"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"68.0"	"桔黄"
"185"	"7/28"	"Compositae(菊科)"	"25.83"	"印度"	"I4E01763"	"23"	"68.0"	"普通"	"WHH00192"	"4/17"	"国外"	"--"	"53.3"	"PI 199935"	"锯齿"	"PI 199935"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0092"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"78.0"	"桔黄"
"186"	"8/06"	"Compositae(菊科)"	"26.50"	"印度"	"I4E01764"	"13"	"73.0"	"普通"	"WHH00193"	"4/22"	"国外"	"--"	"49.3"	"PI 199936"	"全缘"	"PI 199936"	"无"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0093"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"82.0"	"桔黄"
"187"	"7/28"	"Compositae(菊科)"	"23.55"	"印度"	"I4E01052"	"17"	"65.0"	"普通"	"WHH00194"	"4/17"	"国外"	"--"	"50.0"	"PI 199937"	"全缘"	"PI 199937"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0094"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"66.0"	"桔黄"
"188"	"7/28"	"Compositae(菊科)"	"23.90"	"印度"	"I4E01765"	"19"	"52.0"	"普通"	"WHH00195"	"4/22"	"国外"	"--"	"46.3"	"PI 199938"	"锯齿"	"PI 199938"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0095"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"56.0"	"桔黄"
"189"	"7/27"	"Compositae(菊科)"	"25.30"	"印度"	"I4E01766"	"27"	"62.0"	"普通"	"WHH00196"	"4/17"	"国外"	"--"	"49.6"	"PI 199939"	"锯齿"	"PI 199939"	"多"	"4/10"	"Carthamus tinctorius L.(红花)"	"BXY0096"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"54.0"	"桔黄"
"190"	"8/08"	"Compositae(菊科)"	"25.83"	"印度"	"I4E00305"	"66"	"40.0"	"普通"	"WHH00197"	"4/17"	"国外"	"--"	"57.3"	"PI 199952"	"锯齿"	"PI 199952"	"多"	"4/6"	"Carthamus tinctorius L.(红花)"	"BXY0097"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"98.0"	"桔黄"
"191"	"8/02"	"Compositae(菊科)"	"24.25"	"土耳其"	"I4E00306"	"16"	"46.0"	"普通"	"WHH00198"	"4/19"	"国外"	"--"	"50.0"	"PI 205179"	"锯齿"	"PI 205179"	"多"	"4/6"	"Carthamus tinctorius L.(红花)"	"BXY0098"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"98.0"	"桔黄"
"192"	"7/30"	"Compositae(菊科)"	"23.88"	"阿尔及利亚"	"I4E00307"	"35"	"36.0"	"普通"	"WHH00199"	"4/19"	"国外"	"--"	"50.0"	"PI 208677"	"锯齿"	"PI 208677"	"多"	"4/6"	"Carthamus tinctorius L.(红花)"	"BXY0199"	"新疆农科院经作所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"97.0"	"桔黄"
"193"	"4/20"	"Compositae(菊科)"	"33.08"	"云南"	"I4E00982"	"27"	"49.0"	"普通"	"ZHH00826"	"10/24"	"云南"	"--"	"50.0"	"YNKANG XIU -040"	"全缘"	"YN抗锈-040"	"少"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w775"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"128.0"	"桔红"
"194"	"4/13"	"Compositae(菊科)"	"32.56"	"云南"	"I4E00983"	"15"	"48.0"	"普通"	"ZHH00827"	"10/23"	"云南"	"--"	"40.4"	"YNKANG XIU -042"	"全缘"	"YN抗锈-042"	"少"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w513"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"200.0"	"红"
"195"	"4/20"	"Compositae(菊科)"	"39.72"	"云南"	"I4E00984"	"22"	"44.0"	"普通"	"ZHH00828"	"10/24"	"云南"	"--"	"52.5"	"YNKANG XIU -043"	"全缘"	"YN抗锈-043"	"少"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w514"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"140.0"	"桔红"
"196"	"4/16"	"Compositae(菊科)"	"39.31"	"云南"	"I4E00985"	"14"	"32.0"	"普通"	"ZHH00829"	"10/25"	"云南"	"--"	"57.1"	"YNKANG XIU -044"	"锯齿"	"YN抗锈-044"	"多"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w515"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"系选"	"162.0"	"桔红"
"197"	"4/19"	"Compositae(菊科)"	"31.50"	"云南"	"I4E00986"	"29"	"32.0"	"普通"	"ZHH00830"	"10/25"	"云南"	"--"	"50.5"	"YNHUANG HUA -041"	"锯齿"	"YN黄花-041"	"多"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w516"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"系选"	"158.0"	"黄"
"198"	"4/09"	"Compositae(菊科)"	"30.79"	"云南"	"I4E00987"	"30"	"32.0"	"普通"	"ZHH00831"	"10/25"	"云南"	"--"	"47.7"	"YNDA QIU -001"	"全缘"	"YN大球-001"	"中"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w777"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"135.0"	"桔红"
"199"	"4/13"	"Compositae(菊科)"	"30.98"	"云南"	"I4E00988"	"42"	"28.0"	"普通"	"ZHH00832"	"10/24"	"云南"	"--"	"69.1"	"YNHONG -012"	"全缘"	"YN红-012"	"中"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w517"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"系选"	"212.0"	"红"
"200"	"4/20"	"Compositae(菊科)"	"32.24"	"云南"	"I4E00989"	"31"	"39.0"	"普通"	"ZHH00833"	"10/24"	"云南"	"--"	"54.3"	"YN-Z027"	"锯齿"	"YN-Z027"	"多"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w518"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"系选"	"180.0"	"桔红"
"201"	"4/12"	"Compositae(菊科)"	"37.50"	"云南"	"I4E00990"	"31"	"61.0"	"普通"	"ZHH00834"	"10/25"	"云南"	"--"	"50.0"	"YNDA LI -041"	"全缘"	"YN大粒-041"	"少"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w778"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"125.0"	"桔黄"
"202"	"4/09"	"Compositae(菊科)"	"33.35"	"云南"	"I4E00991"	"35"	"47.0"	"普通"	"ZHH00835"	"10/23"	"云南"	"--"	"64.3"	"YN-Z042"	"锯齿"	"YN-Z042"	"多"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w519"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"系选"	"130.0"	"桔红"
"203"	"4/11"	"Compositae(菊科)"	"29.48"	"云南"	"I4E00992"	"23"	"60.0"	"普通"	"ZHH00836"	"10/26"	"云南"	"--"	"58.0"	"YNKANG XIU -054"	"全缘"	"YN抗锈-054"	"无"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w520"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"144.0"	"桔红"
"204"	"4/11"	"Compositae(菊科)"	"29.22"	"云南"	"I4E00993"	"21"	"42.0"	"普通"	"ZHH00837"	"10/24"	"云南"	"--"	"40.0"	"YNHUANG HUA -036"	"锯齿"	"YN黄花-036"	"多"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w521"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"系选"	"131.0"	"黄"
"205"	"4/11"	"Compositae(菊科)"	"32.26"	"云南"	"I4E00994"	"26"	"57.0"	"普通"	"ZHH00838"	"10/26"	"云南"	"--"	"50.0"	"YNHONG -017"	"锯齿"	"YN红-017"	"多"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w522"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"系选"	"145.0"	"红"
"206"	"4/20"	"Compositae(菊科)"	"35.74"	"云南"	"I4E00995"	"15"	"56.0"	"普通"	"ZHH00839"	"10/29"	"云南"	"--"	"41.7"	"YNKANG XIU -058"	"全缘"	"YN抗锈-058"	"少"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w523"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"144.0"	"桔红"
"207"	"4/12"	"Compositae(菊科)"	"33.68"	"云南"	"I4E00996"	"28"	"35.0"	"普通"	"ZHH00840"	"10/24"	"云南"	"--"	"51.0"	"YNKANG XIU -059"	"全缘"	"YN抗锈-059"	"多"	"10/16"	"Carthamus tinctorius L.(红花)"	"93w779"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"187.0"	"红"
"208"	"8/24"	"Compositae(菊科)"	"32.07"	"张掖地区农科所"	"--"	"26"	"32.0"	"条纹"	"ZHH00866"	"4/29"	"甘肃"	"--"	"40.0"	"ZW4-1-2"	"全缘"	"ZW4-1-2"	"有"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-31"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"有"	"系选"	"87.0"	"黄红"
"209"	"8/24"	"Compositae(菊科)"	"33.72"	"张掖地区农科所"	"--"	"27"	"35.8"	"条纹"	"ZHH00867"	"4/29"	"甘肃"	"--"	"40.0"	"ZW4-5-2"	"全缘"	"ZW4-5-2"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-32"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"85.0"	"黄红"
"210"	"8/27"	"Compositae(菊科)"	"36.41"	"张掖地区农科所"	"--"	"26"	"27.0"	"条纹"	"ZHH00868"	"4/29"	"甘肃"	"--"	"50.0"	"ZW9-1-2-6-9-1(2)"	"全缘"	"ZW9-1-2-6-9-1(2)"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-33"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"103.0"	"黄红"
"211"	"8/27"	"Compositae(菊科)"	"36.98"	"张掖地区农科所"	"--"	"26"	"28.4"	"条纹"	"ZHH00869"	"4/29"	"甘肃"	"--"	"60.0"	"AW9-1-2-6-2-6"	"波"	"AW9-1-2-6-2-6"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-34"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"117.0"	"黄红"
"212"	"8/27"	"Compositae(菊科)"	"34.58"	"张掖地区农科所"	"--"	"25"	"29.0"	"条纹"	"ZHH00870"	"4/29"	"甘肃"	"--"	"40.0"	"ZW9-2-6-3-9"	"全缘"	"ZW9-2-6-3-9"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-35"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"117.0"	"黄红"
"213"	"8/27"	"Compositae(菊科)"	"37.02"	"张掖地区农科所"	"--"	"35"	"24.8"	"条纹"	"ZHH00871"	"4/29"	"甘肃"	"--"	"40.0"	"ZW9-1-4-4-1"	"全缘"	"ZW9-1-4-4-1"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-36"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"117.0"	"黄红"
"214"	"8/27"	"Compositae(菊科)"	"35.66"	"张掖地区农科所"	"--"	"17"	"27.4"	"条纹"	"ZHH00872"	"4/29"	"甘肃"	"--"	"40.0"	"ZW9-1-4-4-4-3"	"波"	"ZW9-1-4-4-4-3"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-37"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"116.0"	"黄红"
"215"	"8/27"	"Compositae(菊科)"	"46.99"	"张掖地区农科所"	"--"	"38"	"23.8"	"条纹"	"ZHH00873"	"4/29"	"甘肃"	"--"	"50.0"	"ZW10-2-5-5-1"	"全缘"	"ZW10-2-5-5-1"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-38"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"109.0"	"黄红"
"216"	"8/27"	"Compositae(菊科)"	"33.21"	"张掖地区农科所"	"--"	"19"	"16.0"	"条纹"	"ZHH00874"	"4/29"	"甘肃"	"--"	"50.0"	"ZW10-2-5-5-2"	"全缘"	"ZW10-2-5-5-2"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-39"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"105.0"	"黄红"
"217"	"8/27"	"Compositae(菊科)"	"28.12"	"张掖地区农科所"	"--"	"13"	"25.6"	"条纹"	"ZHH00875"	"4/29"	"甘肃"	"--"	"50.0"	"ZW14-1-3-3-4"	"波"	"ZW14-1-3-3-4"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-40"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"112.0"	"桔红"
"218"	"9/2"	"Compositae(菊科)"	"29.87"	"张掖地区农科所"	"--"	"17"	"22.4"	"条纹"	"ZHH00876"	"4/29"	"甘肃"	"--"	"40.0"	"ZW14-2-2-3-3-3"	"波"	"ZW14-2-2-3-3-3"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-41"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"108.0"	"桔红"
"219"	"9/1"	"Compositae(菊科)"	"32.70"	"张掖地区农科所"	"--"	"16"	"23.4"	"条纹"	"ZHH00877"	"4/29"	"甘肃"	"--"	"50.0"	"ZW14-2-5-3-2-2"	"波"	"ZW14-2-5-3-2-2"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-42"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"119.0"	"黄红"
"220"	"9/1"	"Compositae(菊科)"	"29.44"	"张掖地区农科所"	"--"	"17"	"25.2"	"条纹"	"ZHH00878"	"4/29"	"甘肃"	"--"	"50.0"	"ZW15-3-1-2"	"全缘"	"ZW15-3-1-2"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-43"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"136.0"	"黄红"
"221"	"9/4"	"Compositae(菊科)"	"31.10"	"张掖地区农科所"	"--"	"21"	"22.4"	"条纹"	"ZHH00879"	"4/29"	"甘肃"	"--"	"40.0"	"ZW15-3-3-2-1-2"	"波"	"ZW15-3-3-2-1-2"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-44"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"123.0"	"黄红"
"222"	"9/4"	"Compositae(菊科)"	"27.25"	"张掖地区农科所"	"--"	"20"	"25.8"	"条纹"	"ZHH00880"	"4/29"	"甘肃"	"--"	"50.0"	"ZW15-3-4-8-2"	"全缘"	"ZW15-3-4-8-2"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-45"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"94.0"	"黄红"
"223"	"9/3"	"Compositae(菊科)"	"31.97"	"张掖地区农科所"	"I4E00528"	"23"	"26.0"	"条纹"	"ZHH00881"	"4/29"	"甘肃"	"--"	"40.0"	"ZT40-6-3"	"全缘"	"ZT40-6-3"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-46"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"137.0"	"桔红"
"224"	"8/27"	"Compositae(菊科)"	"30.00"	"张掖地区农科所"	"I4E00529"	"15"	"23.4"	"条纹"	"ZHH00882"	"4/29"	"甘肃"	"--"	"50.0"	"ZT40-8-3-1"	"波"	"ZT40-8-3-1"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-47"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"115.0"	"桔红"
"225"	"8/25"	"Compositae(菊科)"	"31.86"	"张掖地区农科所"	"I4E00530"	"14"	"26.8"	"条纹"	"ZHH00883"	"4/29"	"甘肃"	"--"	"50.0"	"ZT44-5-2"	"全缘"	"ZT44-5-2"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-48"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"107.0"	"桔红"
"226"	"8/27"	"Compositae(菊科)"	"26.38"	"张掖地区农科所"	"I4E00531"	"18"	"26.8"	"条纹"	"ZHH00884"	"4/29"	"甘肃"	"--"	"50.0"	"ZT45-3-7-3"	"全缘"	"ZT45-3-7-3"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-49"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"116.0"	"桔红"
"227"	"9/4"	"Compositae(菊科)"	"31.89"	"张掖地区农科所"	"I4E00532"	"21"	"30.8"	"条纹"	"ZHH00885"	"4/29"	"甘肃"	"--"	"60.0"	"ZT46-1-4-1"	"波"	"ZT46-1-4-1"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-50"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"122.0"	"黄红"
"228"	"8/27"	"Compositae(菊科)"	"33.12"	"张掖地区农科所"	"I4E00533"	"20"	"20.2"	"条纹"	"ZHH00886"	"4/29"	"甘肃"	"--"	"50.0"	"ZT46-1-4-3-1"	"波"	"ZT46-1-4-3-1"	"少"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-51"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"无"	"系选"	"122.0"	"桔红"
"229"	"8/27"	"Compositae(菊科)"	"33.78"	"张掖地区农科所"	"I4E00534"	"15"	"25.0"	"条纹"	"ZHH00887"	"4/29"	"甘肃"	"--"	"40.0"	"ZT46-11-2-3"	"波"	"ZT46-11-2-3"	"少"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-52"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"115.0"	"桔红"
"230"	"8/25"	"Compositae(菊科)"	"28.47"	"张掖地区农科所"	"I4E00535"	"21"	"34.4"	"条纹"	"ZHH00888"	"4/29"	"甘肃"	"--"	"60.0"	"ZT47-1-1-2-1"	"波"	"ZT47-1-1-2-1"	"少"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-53"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"106.0"	"桔红"
"231"	"9/4"	"Compositae(菊科)"	"33.26"	"张掖地区农科所"	"I4E00536"	"12"	"27.0"	"条纹"	"ZHH00889"	"4/29"	"甘肃"	"--"	"50.0"	"ZW171-1-1-2-1"	"波"	"ZW171-1-1-2-1"	"有"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-54"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"有"	"系选"	"125.0"	"黄红"
"232"	"9/4"	"Compositae(菊科)"	"32.30"	"张掖地区农科所"	"I4E00537"	"28"	"33.2"	"条纹"	"ZHH00890"	"4/29"	"甘肃"	"--"	"50.0"	"ZW187-1-2-3"	"全缘"	"ZW187-1-2-3"	"无"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-55"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"少"	"系选"	"118.0"	"黄红"
"233"	"9/2"	"Compositae(菊科)"	"31.66"	"张掖地区农科所"	"I4E00538"	"24"	"21.0"	"条纹"	"ZHH00891"	"4/29"	"甘肃"	"--"	"50.0"	"ZW256-3-2"	"波"	"ZW256-3-2"	"少"	"4/7"	"Carthamus tinctorius L.(红花)"	"GZ-56"	"甘肃省张掖地区农科所"	"Carthamus(红花属)"	"--"	"有"	"系选"	"124.0"	"黄红"
