"id"	"彩色"	"科名"	"可溶性酸"	"可溶固形物"	"品种名称"	"省"	"原产地"	"生育期"	"外观评价"	"汁液"	"内质评价"	"花粉有无"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"肉色"	"果实成熟期"	"肉质"	"单果重G"	"成熟期评价"	"可溶性糖"	"学名"	"统一编号"	"译名"	"果形"	"属名"	"核粘离性"	"底色"
"257"	"红"	"Rosaceae(蔷薇科)"	"0.66"	"9.4"	"温伯格"	"国外"	"美国"	"99"	"好"	"中"	"中"	"有"	"11.70"	"酸甜"	"--"	"中"	"黄"	"7.08"	"硬溶"	"109.0"	"中"	"8.11"	"Prunus persica L.(桃)"	"ZZ"	"WEN BO GE"	"椭圆"	"Prunus(李属)"	"离"	"黄"
"258"	"红"	"Rosaceae(蔷薇科)"	"0.39"	"10.7"	"农神"	"国外"	"法国"	"100"	"好"	"中"	"上"	"有"	"10.91"	"甜"	"耐贮外观美鲜食"	"中"	"白"	"7.11"	"硬溶"	"90.0"	"早"	"8.85"	"Prunus persica L.(桃)"	"ZZ"	"NONG SHEN"	"扁平"	"Prunus(李属)"	"粘"	"乳白"
"259"	"粉红"	"Rosaceae(蔷薇科)"	"--"	"15.0"	"蓓蕾"	"国外"	"加拿大*"	"148"	"一般"	"少"	"中下"	"有"	"--"	"酸甜"	"砧木"	"大"	"白"	"9.17"	"硬溶"	"144.4"	"晚"	"--"	"Prunus persica L.(桃)"	"BJ"	"BEI LEI"	"近圆"	"Prunus(李属)"	"离"	"淡绿"
"260"	"红"	"Rosaceae(蔷薇科)"	"0.34"	"9.3"	"都白凤"	"国外"	"日本"	"101"	"好"	"中"	"上"	"有"	"9.66"	"甜"	"美观,鲜食"	"极大"	"白"	"7.28"	"硬溶"	"186.1"	"中"	"8.72"	"Prunus persica L.(桃)"	"BJ"	"DU BAI FENG"	"近圆"	"Prunus(李属)"	"粘"	"乳白"
"261"	"红"	"Rosaceae(蔷薇科)"	"0.28"	"10.1"	"松森"	"国外"	"日本"	"113"	"好"	"多"	"上"	"有"	"8.87"	"甜"	"甜,鲜食"	"极大"	"白"	"8.10"	"硬溶"	"194.8"	"中"	"8.59"	"Prunus persica L.(桃)"	"BJ"	"SONG SEN"	"近圆"	"Prunus(李属)"	"粘"	"乳白"
"262"	"红"	"Rosaceae(蔷薇科)"	"0.34"	"10.7"	"武井白凤"	"国外"	"日本"	"120"	"好"	"中"	"上"	"有"	"16.17"	"甜"	"美观,鲜食"	"极大"	"白"	"8.15"	"硬溶"	"178.0"	"晚"	"10.73"	"Prunus persica L.(桃)"	"BJ"	"WU JING BAI FENG"	"近圆"	"Prunus(李属)"	"粘"	"乳白"
"263"	"红"	"Rosaceae(蔷薇科)"	"0.25"	"10.3"	"早乙女"	"国外"	"日本"	"69"	"好"	"中"	"中上"	"有"	"11.72"	"甜"	"早熟,甜"	"中"	"白"	"6.25"	"硬溶"	"102.4"	"早"	"7.30"	"Prunus persica L.(桃)"	"BJ"	"ZAO YI NU"	"近圆"	"Prunus(李属)"	"粘"	"乳白"
"264"	"红"	"Rosaceae(蔷薇科)"	"0.33"	"9.2"	"志贺白桃"	"国外"	"日本"	"83"	"好"	"中"	"上"	"有"	"8.40"	"甜"	"鲜食"	"大"	"白"	"7.10"	"硬溶"	"152.6"	"早"	"7.49"	"Prunus persica L.(桃)"	"BJ"	"ZHI HE BAI TAO"	"近圆"	"Prunus(李属)"	"粘"	"乳白"
"265"	"紫红"	"Rosaceae(蔷薇科)"	"--"	"--"	"筑波6号"	"国外"	"日本"	"160"	"差"	"少"	"下"	"有"	"--"	"酸"	"砧木"	"小"	"白"	"9.25"	"硬溶"	"55.0"	"极晚"	"--"	"Prunus persica L.(桃)"	"BJ"	"ZHU BO 6 HAO"	"近圆"	"Prunus(李属)"	"离"	"淡绿"
"266"	"红"	"Rosaceae(蔷薇科)"	"0.89"	"12.0"	"保2"	"国外"	"保加利亚*"	"101"	"较好"	"少"	"中"	"有"	"4.44"	"酸多甜少"	"--"	"极大"	"黄"	"8.04"	"不溶"	"225.8"	"中"	"7.72"	"Prunus persica L.(桃)"	"BJ"	"BAO 2"	"近圆"	"Prunus(李属)"	"离"	"黄"
"267"	"红"	"Rosaceae(蔷薇科)"	"0.84"	"13.5"	"保1"	"国外"	"保加利亚*"	"121"	"较好"	"中"	"中"	"有"	"6.45"	"酸多甜少"	"大果,鲜食"	"极大"	"黄"	"8.24"	"硬溶"	"240.0"	"晚"	"9.39"	"Prunus persica L.(桃)"	"BJ"	"BAO 1"	"近圆"	"Prunus(李属)"	"离"	"黄"
"268"	"红"	"Rosaceae(蔷薇科)"	"0.92"	"12.8"	"比克斯"	"国外"	"美国"	"134"	"较好"	"中"	"中"	"有"	"12.80"	"甜酸"	"--"	"大"	"黄"	"8.30"	"硬溶"	"153.0"	"晚"	"10.01"	"Prunus persica L.(桃)"	"BJ"	"BI KE SI"	"近圆"	"Prunus(李属)"	"离"	"黄"
"269"	"紫红"	"Rosaceae(蔷薇科)"	"0.89"	"10.3"	"红顶"	"国外"	"美国"	"100"	"好"	"中"	"中"	"有"	"10.30"	"甜酸"	"--"	"大"	"黄"	"7.27"	"硬溶"	"125.5"	"中"	"8.23"	"Prunus persica L.(桃)"	"BJ"	"HONG DING"	"椭圆"	"Prunus(李属)"	"离"	"黄"
"270"	"紫红"	"Rosaceae(蔷薇科)"	"--"	"8.8"	"锦"	"国外"	"日本"	"98"	"较好"	"中"	"中"	"有"	"8.80"	"酸移甜少"	"早熟,加工"	"极大"	"黄"	"7.30"	"不溶"	"188.4"	"中"	"--"	"Prunus persica L.(桃)"	"BJ"	"JIN"	"近圆"	"Prunus(李属)"	"粘"	"黄"
"271"	"粉红"	"Rosaceae(蔷薇科)"	"0.67"	"12.0"	"金童9号"	"国外"	"美国"	"141"	"较好"	"中"	"中"	"有"	"12.00"	"甜酸"	"罐藏加工"	"极大"	"黄"	"9.12"	"不溶"	"184.9"	"晚"	"9.62"	"Prunus persica L.(桃)"	"BJ"	"JIN TONG 9 HAO"	"近圆"	"Prunus(李属)"	"粘"	"黄"
"272"	"红"	"Rosaceae(蔷薇科)"	"0.68"	"6.5"	"卡林娜"	"国外"	"美国"	"105"	"好"	"中"	"中"	"有"	"6.50"	"甜酸"	"鲜食"	"极大"	"黄"	"8.05"	"硬溶"	"219.8"	"中"	"5.68"	"Prunus persica L.(桃)"	"BJ"	"KA LIN NA"	"近圆"	"Prunus(李属)"	"离"	"黄"
"273"	"红"	"Rosaceae(蔷薇科)"	"0.75"	"10.0"	"洛林"	"国外"	"美国"	"116"	"好"	"多"	"中"	"有"	"10.00"	"甜酸"	"晚熟,鲜食"	"极大"	"黄"	"8.12"	"硬溶"	"241.4"	"中"	"7.49"	"Prunus persica L.(桃)"	"BJ"	"LUO LIN"	"椭圆"	"Prunus(李属)"	"离"	"黄"
"274"	"红"	"Rosaceae(蔷薇科)"	"1.98"	"12.0"	"罗叶尔林特"	"国外"	"美国"	"--"	"一般"	"中"	"中下"	"有"	"12.00"	"酸"	"--"	"极大"	"黄"	"9.02"	"硬溶"	"166.4"	"晚"	"78.00"	"Prunus persica L.(桃)"	"BJ"	"LUO YE ER LIN TE"	"椭圆"	"Prunus(李属)"	"粘"	"黄"
"275"	"红"	"Rosaceae(蔷薇科)"	"0.98"	"13.5"	"夏立"	"国外"	"美国"	"160"	"中"	"中"	"中上"	"有"	"13.50"	"酸"	"极晚熟"	"极大"	"黄"	"9.26"	"硬溶"	"189.5"	"极晚"	"10.21"	"Prunus persica L.(桃)"	"BJ"	"XIA LI"	"近圆"	"Prunus(李属)"	"离"	"黄"
"276"	"红"	"Rosaceae(蔷薇科)"	"0.83"	"9.5"	"阿姆肯"	"国外"	"美国"	"75"	"好"	"中"	"中"	"有"	"9.50"	"甜酸"	"早熟油桃"	"中"	"黄"	"7.03"	"硬溶"	"118.4"	"早"	"7.75"	"Prunus persica L.(桃)"	"BJ"	"A MU KEN"	"椭圆"	"Prunus(李属)"	"粘"	"黄"
"277"	"红"	"Rosaceae(蔷薇科)"	"--"	"11.2"	"顶香"	"国外"	"美国"	"115"	"好"	"中"	"中"	"有"	"11.20"	"甜酸"	"鲜食"	"极大"	"黄"	"8.12"	"硬溶"	"190.9"	"中"	"--"	"Prunus persica L.(桃)"	"BJ"	"DING XIANG"	"近圆"	"Prunus(李属)"	"离"	"黄"
"278"	"红"	"Rosaceae(蔷薇科)"	"1.27"	"12.1"	"幻想"	"国外"	"美国"	"130"	"好"	"中"	"中"	"有"	"12.10"	"甜酸"	"晚熟,油桃"	"大"	"黄"	"8.26"	"硬溶"	"144.0"	"晚"	"10.57"	"Prunus persica L.(桃)"	"BJ"	"HUAN XIANG"	"近圆"	"Prunus(李属)"	"离"	"黄"
"279"	"红"	"Rosaceae(蔷薇科)"	"1.05"	"17.1"	"仙女"	"国外"	"美国"	"160"	"较好"	"少"	"中下"	"有"	"17.10"	"酸"	"极晚熟油桃"	"中"	"黄"	"9.25"	"硬溶"	"98.3"	"极晚"	"9.49"	"Prunus persica L.(桃)"	"BJ"	"XIAN NU"	"椭圆"	"Prunus(李属)"	"粘"	"黄"
"280"	"红"	"Rosaceae(蔷薇科)"	"0.54"	"17.5"	"秀峰"	"国外"	"日本"	"131"	"较好"	"中"	"中"	"有"	"17.50"	"酸多甜少"	"--"	"极大"	"黄"	"9.02"	"硬溶"	"171.0"	"晚"	"11.09"	"Prunus persica L.(桃)"	"BJ"	"XIU FENG"	"近圆"	"Prunus(李属)"	"粘"	"黄"
"281"	"红"	"Rosaceae(蔷薇科)"	"1.25"	"11.9"	"意五"	"国外"	"意大利"	"145"	"好"	"少"	"中"	"有"	"11.90"	"甜酸"	"晚熟油桃"	"中"	"黄"	"9.10"	"硬溶"	"93.5"	"晚"	"11.85"	"Prunus persica L.(桃)"	"BJ"	"YI WU"	"椭圆"	"Prunus(李属)"	"离"	"黄"
