"id"	"肉质"	"栽培季节"	"品种名称"	"果面特征"	"抗逆性"	"种质库编号"	"果形"	"始花节位"	"株型"	"抗病虫性"	"生育期"	"熟性"	"成熟果皮色"	"果脐大小"	"备注"	"风味"	"单果重"	"种子来源"	"叶型"	"用途"	"叶色"	"亩产"	"生长习性"	"果肉色"	"保存单位"	"译名"	"省"	"保存编号"	"统一编号"
"1"	"--"	"4上-6上"	"真善美"	"平滑"	"中"	"Ⅱ6A0105"	"圆形"	"9"	"蔓生"	"较强"	"60"	"中熟"	"红"	"中"	"*"	"淡"	"125.0"	"安徽蚌埠市"	"普通叶"	"鲜食"	"深绿"	"2250"	"无限"	"红"	"安徽农科院园艺所"	"ZHEN SHAN MEI"	"安徽"	"Le8(80)"	"V06A0001"
"2"	"面"	"4上-7上"	"瑞光"	"平滑"	"中"	"Ⅱ6A0107"	"圆形"	"8"	"蔓生"	"较抗病"	"70"	"中熟"	"桔红"	"小"	"--"	"微甜"	"100.0"	"安徽合肥市"	"普通叶"	"鲜食"	"浅绿"	"3750"	"无限"	"红"	"安徽农科院园艺所"	"RUI GUANG"	"安徽"	"Le10(80)"	"V06A0002"
"3"	"面"	"4上-7中"	"鲁粉一号"	"平滑"	"中"	"Ⅱ6A0112"	"圆形"	"9"	"蔓生"	"抗病毒病"	"80"	"中熟"	"红"	"中"	"--"	"微甜"	"140.0"	"安徽合肥市"	"普通叶"	"鲜食"	"绿"	"3250"	"无限"	"红"	"安徽农科院园艺所"	"LU FEN YI HAO"	"安徽"	"Le14(80)"	"V06A0003"
"4"	"面"	"4上-7上"	"上海大红"	"平滑"	"强"	"Ⅱ6A0104"	"圆形"	"5"	"蔓生"	"强"	"65"	"中熟"	"桔红"	"小"	"--"	"微酸"	"150.0"	"安徽合肥市"	"普通叶"	"鲜食"	"浅绿"	"4500"	"无限"	"桔红"	"安徽农科院园艺所"	"SHANG HAI DA HONG"	"安徽"	"Le6(80)"	"V06A0004"
"5"	"--"	"4上-6上"	"粉红甜肉"	"平滑"	"耐热"	"Ⅱ6A0108"	"圆形"	"8"	"蔓生"	"抗病"	"60"	"--"	"红"	"小"	"*"	"酸甜"	"150.0"	"安徽合肥市"	"普通叶"	"鲜食"	"深绿"	"2250"	"无限"	"红"	"安徽农科院园艺所"	"FEN HONG TIAN ROU"	"安徽"	"Le11(80)"	"V06A0005"
"6"	"面"	"4上-7中"	"栗圆"	"平滑"	"强"	"Ⅱ6A0111"	"圆形"	"7"	"半蔓生"	"较强"	"110"	"--"	"红"	"小"	"--"	"微甜"	"175.0"	"安徽合肥市"	"普通叶"	"鲜食"	"浅绿"	"2000"	"无限"	"红"	"安徽农科院园艺所"	"LI YUAN"	"安徽"	"Le13(80)"	"V06A0006"
"7"	"--"	"4上-6上"	"宁红一号"	"平滑"	"--"	"Ⅱ6A0113"	"圆形"	"6"	"半蔓生"	"抗虫不抗病"	"60"	"中熟"	"桔红"	"中"	"*"	"微酸"	"100.0"	"安徽合肥市"	"马铃薯叶"	"鲜食"	"深绿"	"500"	"有限"	"红"	"安徽农科院园艺所"	"NING HONG YI HAO"	"安徽"	"Le12(80)"	"V06A0007"
"8"	"多汁"	"4上中-6中"	"武昌大红"	"平滑"	"耐热肥"	"Ⅱ6A0106"	"圆形"	"10"	"蔓生"	"--"	"60"	"--"	"红"	"中"	"*"	"--"	"200.0"	"安徽合肥市"	"普通叶"	"鲜食"	"绿"	"3750"	"无限"	"红"	"安徽农科院园艺所"	"WU CHANG DA HONG"	"安徽"	"Le9(80)"	"V06A0008"
"9"	"多汁"	"4下-5下"	"古巴402"	"平滑"	"强"	"Ⅱ6A0076"	"圆形"	"5"	"--"	"--"	"50"	"--"	"红"	"中"	"*"	"甜"	"125.0"	"安徽淮南市"	"普通叶"	"鲜食"	"绿"	"2750"	"有限"	"红"	"安徽农科院园艺所"	"GU BA 402"	"安徽"	"Le5(80)"	"V06A0009"
"10"	"面"	"4上-6中"	"桔黄加辰"	"平滑"	"耐旱热"	"Ⅱ6A0160"	"圆形"	"10"	"蔓生"	"较抗病"	"70"	"--"	"桔黄"	"中"	"*"	"甜"	"225.0"	"安徽歙县"	"普通叶"	"鲜食"	"绿"	"3250"	"无限"	"黄"	"安徽农科院园艺所"	"JIE HUANG JIA CHEN"	"安徽"	"Le2(80)"	"V06A0010"
"11"	"面多汁"	"4上中-7上"	"罗城一号"	"平滑"	"耐热"	"Ⅱ6A0423"	"梨形"	"7"	"半蔓生"	"较强"	"95"	"晚熟"	"红"	"小"	"*"	"--"	"50.0"	"安徽歙县"	"普通叶"	"鲜食加工"	"浅绿"	"1750"	"有限"	"红"	"安徽农科院园艺所"	"LUO CHENG YI HAO"	"安徽"	"Le15(80)"	"V06A0011"
"12"	"软多汁"	"1下2上播4下定植6中-7中收"	"加八号"	"平滑"	"中"	"Ⅱ6A0263"	"圆形"	"8"	"半蔓生"	"--"	"50"	"中熟"	"红"	"小"	"*易得日烧病成熟较集中"	"较酸"	"150.0"	"北京"	"普通叶"	"鲜食"	"绿"	"3500"	"有限"	"--"	"北京蔬菜研究中心"	"JIA BA HAO"	"北京"	"B68"	"V06A0012"
"13"	"软"	"春"	"特罗皮克"	"平滑"	"耐热适应性强"	"Ⅱ6A0266"	"圆形"	"9"	"蔓生"	"--"	"58"	"晚熟"	"桔红"	"中"	"*"	"酸甜"	"200.0"	"北京"	"普通叶"	"鲜食"	"深绿"	"3750"	"无限"	"--"	"北京蔬菜研究中心"	"TE LUO PI KE"	"北京"	"B73"	"V06A0013"
"14"	"面"	"春"	"顺义大粉"	"平滑"	"耐热"	"Ⅱ6A0265"	"圆形"	"9"	"蔓生"	"--"	"--"	"中熟"	"红"	"中"	"*"	"酸甜"	"225.0"	"北京"	"普通叶"	"鲜食"	"绿"	"3750"	"无限"	"--"	"北京蔬菜研究中心"	"SHUN YI DA FEN"	"北京"	"B82"	"V06A0014"
"15"	"面"	"1下2上播4下定植6上中-7上中收"	"矮红早熟"	"平滑"	"中"	"Ⅱ6A0262"	"圆形"	"7"	"半蔓生"	"--"	"44"	"早熟"	"桔红"	"小"	"*宜春早熟栽培"	"酸甜"	"150.0"	"北京"	"普通叶"	"鲜食"	"绿"	"3000"	"有限"	"--"	"北京蔬菜研究中心"	"AI HONG ZAO SHU"	"北京"	"B67"	"V06A0015"
"16"	"面"	"春"	"强力米寿"	"平滑"	"耐热"	"Ⅱ6A0264"	"圆形"	"8"	"蔓生"	"--"	"53"	"中熟"	"红"	"中"	"*"	"酸甜"	"150.0"	"北京"	"普通叶"	"鲜食"	"深绿"	"3250"	"无限"	"--"	"北京蔬菜研究中心"	"QIANG LI MI SHOU"	"北京"	"B64"	"V06A0016"
"17"	"--"	"春秋"	"漳州古雷西红柿"	"--"	"--"	"Ⅱ6A0841"	"圆形"	"--"	"蔓生"	"--"	"--"	"中熟"	"红"	"--"	"*"	"--"	"130.0"	"福建漳州市"	"--"	"--"	"--"	"3750"	"无限"	"--"	"福州市蔬菜科研所"	"ZHANG ZHOU GU LEI XI HONG SHI"	"福建"	"89-FN-9"	"V06A0017"
"18"	"软不面"	"11中-7下"	"福州五风番茄"	"棱沟"	"强"	"Ⅱ6A0842"	"圆形"	"5"	"半蔓生"	"强"	"60"	"中熟"	"红"	"小"	"--"	"酸甜"	"150.0"	"福州市五风"	"普通叶"	"鲜食"	"深绿"	"1375"	"无限"	"红"	"福州市蔬菜科研所"	"FU ZHOU WU FENG FAN QIE"	"福建"	"89-FN-12"	"V06A0018"
"19"	"软"	"2中-6中"	"甘早黄番茄"	"平滑"	"中"	"Ⅱ6A0566"	"圆形"	"5"	"半蔓生"	"中"	"60"	"早熟"	"黄"	"小"	"--"	"淡"	"150.0"	"甘肃兰州市"	"普通叶"	"鲜食"	"浅绿"	"2000"	"有限"	"黄"	"甘肃农科院蔬菜所"	"GAN ZAO HUANG FAN QIE"	"甘肃"	"甘Ⅱ6A010"	"V06A0019"
"20"	"面"	"2中-7上"	"粉红甜肉"	"平滑"	"--"	"Ⅱ6A0284"	"圆形"	"8"	"蔓生"	"弱"	"80"	"中熟"	"红"	"中"	"*"	"酸甜"	"175.0"	"甘肃兰州市"	"普通叶"	"鲜食"	"绿"	"4750"	"无限"	"红"	"甘肃农科院蔬菜所"	"FEN HONG TIAN ROU"	"甘肃"	"甘Ⅱ6A005"	"V06A0020"
"21"	"面"	"2中-6下"	"早粉二号"	"平滑"	"中"	"Ⅱ6A0283"	"圆形"	"8"	"半蔓生"	"弱"	"70"	"中熟"	"红"	"小"	"*"	"酸甜"	"135.0"	"甘肃兰州市"	"普通叶"	"鲜食"	"绿"	"3750"	"有限"	"红"	"甘肃农科院蔬菜所"	"ZAO FEN ER HAO"	"甘肃"	"甘Ⅱ6A002"	"V06A0021"
"22"	"软"	"2中-6中"	"北京十号"	"平滑"	"中"	"Ⅱ6A0016"	"圆形"	"6"	"半蔓生"	"弱"	"60"	"早熟"	"桔红"	"小"	"*"	"酸"	"100.0"	"甘肃兰州市"	"普通叶"	"鲜食"	"浅绿"	"3250"	"有限"	"红"	"甘肃农科院蔬菜所"	"BEI JING SHI HAO"	"甘肃"	"甘Ⅱ6A001"	"V06A0022"
"23"	"软"	"2中-7上"	"农大23"	"平滑"	"--"	"Ⅱ6A0017"	"圆形"	"8"	"蔓生"	"中"	"80"	"中熟"	"红"	"小"	"*"	"酸甜"	"150.0"	"甘肃兰州市"	"马铃薯叶"	"鲜食"	"深绿"	"4750"	"无限"	"红"	"甘肃农科院蔬菜所"	"NONG DA 23"	"甘肃"	"甘Ⅱ6A003"	"V06A0023"
"24"	"软"	"8-9"	"澄海200号"	"平滑"	"--"	"Ⅱ6A0365"	"圆形"	"6"	"蔓生"	"--"	"70"	"--"	"红"	"小"	"--"	"酸甜"	"73.0"	"广东澄海县"	"普通叶"	"鲜食"	"绿"	"3000"	"无限"	"红"	"广东农科院经作所"	"CHENG HAI 200 HAO"	"广东"	"G28-16"	"V06A0029"
"25"	"中"	"3-69-12"	"长粤一号番茄"	"平滑"	"强"	"Ⅱ6A0370"	"圆形"	"12"	"--"	"中"	"96"	"中熟"	"红"	"中"	"--"	"酸甜"	"50.2"	"广东澄海县"	"普通叶"	"鲜食"	"绿"	"--"	"--"	"红"	"广东农科院经作所"	"CHANG YUE YI HAO FAN QIE"	"广东"	"G28-28"	"V06A0030"
"26"	"--"	"--"	"澄海100号"	"平滑"	"--"	"Ⅱ6A0946"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"广东澄海县"	"--"	"--"	"--"	"--"	"无限"	"--"	"广东农科院经作所"	"CHENG HAI 100 HAO"	"广东"	"G28-12"	"V06A0032"
"27"	"软"	"8-9"	"华南44"	"棱沟"	"--"	"Ⅱ6A0383"	"圆形"	"9"	"蔓生"	"--"	"65"	"晚熟"	"红"	"大"	"*"	"甜"	"175.0"	"广东广州市"	"--"	"鲜食"	"深绿"	"3250"	"无限"	"红"	"广东农科院经作所"	"HUA NAN 44"	"广东"	"G28-3"	"V06A0036"
"28"	"中"	"9中"	"广茄4号"	"平滑"	"--"	"Ⅱ6A0948"	"圆形"	"7"	"蔓生"	"--"	"75"	"--"	"红"	"小"	"--"	"酸甜"	"80.0"	"广东广州市"	"普通叶"	"鲜食"	"绿"	"3000"	"无限"	"红"	"广东农科院经作所"	"GUANG QIE 4 HAO"	"广东"	"G28-29"	"V06A0041"
"29"	"软"	"1-2 8-9"	"粤农2号"	"平滑"	"--"	"Ⅱ6A0152"	"圆形"	"10"	"半蔓生"	"--"	"55"	"早熟"	"红"	"小"	"*"	"甜"	"100.0"	"广东农科院"	"普通叶"	"鲜食"	"绿"	"2000"	"无限"	"红"	"广东农科院经作所"	"YUE NONG 2 HAO"	"广东"	"G28-5"	"V06A0048"
"30"	"软"	"3上18-11"	"华南东粉"	"平滑"	"耐热"	"Ⅱ6A0153"	"圆形"	"10"	"半蔓生"	"抗青枯病"	"65"	"早熟"	"红"	"小"	"*"	"淡"	"125.0"	"广东农科院"	"普通叶"	"鲜食"	"绿"	"1500"	"有限"	"红"	"广东农科院经作所"	"HUA NAN DONG FEN"	"广东"	"G28-6"	"V06A0049"
"31"	"软"	"8-9"	"华南462"	"平滑"	"--"	"Ⅱ6A0151"	"圆形"	"10"	"蔓生"	"--"	"55"	"中熟"	"红"	"小"	"*"	"甜"	"125.0"	"广东引加拿大"	"普通叶"	"鲜食"	"深绿"	"3000"	"无限"	"红"	"广东农科院经作所"	"HUA NAN 462"	"广东"	"G28-4"	"V06A0050"
"32"	"中"	"8-9"	"No:1"	"平滑"	"--"	"Ⅱ6A0385"	"圆形"	"7"	"蔓生"	"--"	"75"	"--"	"红"	"小"	"--"	"酸甜"	"80.0"	"广东引自丹麦"	"普通叶"	"鲜食"	"绿"	"2250"	"无限"	"红"	"广东农科院经作所"	"No:1"	"广东"	"G28-14"	"V06A0051"
"33"	"软"	"8-9"	"华南180"	"棱沟"	"--"	"Ⅱ6A0949"	"圆形"	"11"	"蔓生"	"--"	"75"	"晚熟"	"红"	"--"	"*"	"甜"	"150.0"	"广东引自美国"	"--"	"鲜食"	"深绿"	"3000"	"无限"	"红"	"广东农科院经作所"	"HUA NAN 180"	"广东"	"G28-10"	"V06A0054"
"34"	"软"	"8-9"	"华南5号"	"平滑"	"弱"	"Ⅱ6A0594"	"圆形"	"8"	"--"	"--"	"65"	"早熟"	"红"	"小"	"*"	"淡"	"125.0"	"广东引自美国"	"--"	"鲜食"	"绿"	"2500"	"有限"	"红"	"广东农科院经作所"	"HUA NAN 5 HAO"	"广东"	"G28-9"	"V06A0055"
"35"	"中"	"8-9"	"胜利一号"	"平滑"	"--"	"Ⅱ6A0390"	"圆形"	"9"	"蔓生"	"--"	"90"	"--"	"红"	"小"	"--"	"酸甜"	"80.0"	"广东引自美国"	"普通叶"	"鲜食"	"绿"	"2000"	"无限"	"红"	"广东农科院经作所"	"SHENG LI YI HAO"	"广东"	"G28-19"	"V06A0056"
"36"	"软"	"--"	"保10"	"平滑"	"--"	"Ⅱ6A0154"	"圆形"	"10"	"蔓生"	"--"	"73"	"早熟"	"红"	"小"	"*"	"甜"	"62.5"	"广东引自外国"	"普通叶"	"鲜食"	"深绿"	"2250"	"无限"	"红"	"广东农科院经作所"	"BAO 10"	"广东"	"G28-7"	"V06A0057"
"37"	"--"	"1中-5下,8中-11下"	"广西3号番茄"	"平滑"	"中"	"Ⅱ6A0073"	"圆形"	"9"	"半蔓生"	"--"	"71"	"中熟"	"红"	"大"	"--"	"甜"	"114.0"	"广西南宁市"	"普通叶"	"鲜食"	"深绿"	"2500"	"有限"	"红"	"广西农科院园艺所"	"GUANG XI 3 HAO FAN QIE"	"广西"	"206A001"	"V06A0063"
"38"	"--"	"1中播8中播"	"广西33番茄"	"平滑"	"中"	"Ⅱ6A0103"	"圆形"	"7"	"半蔓生"	"中"	"55"	"早熟"	"红"	"小"	"*"	"酸甜"	"125.0"	"广西南宁市"	"普通叶"	"鲜食加工"	"深绿"	"3250"	"有限"	"红"	"广西农科院园艺所"	"GUANG XI 33 FAN QIE"	"广西"	"206A004"	"V06A0064"
"39"	"--"	"3下-6上"	"黔园54"	"平滑"	"强"	"Ⅱ6A0404"	"圆形"	"7"	"蔓生"	"较强"	"75"	"--"	"红"	"小"	"--"	"酸甜"	"105.0"	"贵州贵阳市"	"普通叶"	"--"	"绿"	"--"	"无限"	"红"	"贵州农科院园艺所"	"QIAN YUAN 54"	"贵州"	"6-A-22-46"	"V06A0077"
"40"	"--"	"4中下旬-5中旬"	"黔圆54号"	"平滑"	"强"	"Ⅱ6A0136"	"圆形"	"7"	"蔓生"	"较强"	"65"	"--"	"桔黄"	"小"	"--"	"甜"	"175.9"	"贵州贵阳市"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"黄和红"	"贵州农科院园艺所"	"QIAN YUAN 54 HAO"	"贵州"	"6-A-22-46"	"V06A0081"
"41"	"--"	"4中下旬-5中旬"	"水龙2号"	"平滑"	"中"	"Ⅱ6A0126"	"圆形"	"9"	"蔓生"	"弱"	"61"	"--"	"红"	"小"	"--"	"酸甜"	"137.5"	"贵州桐梓县"	"马铃薯叶"	"--"	"深绿"	"--"	"无限"	"红"	"贵州农科院园艺所"	"SHUI LONG 2 HAO"	"贵州"	"6-A-22-6"	"V06A0086"
"42"	"--"	"4中下旬-5中旬"	"黔园15号"	"平滑"	"强"	"Ⅱ6A0130"	"圆形"	"9"	"蔓生"	"中"	"61"	"--"	"红"	"小"	"--"	"酸甜"	"190.0"	"贵州湄潭县"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"贵州农科院园艺所"	"QIAN YUAN 15 HAO"	"贵州"	"6-A-22-20"	"V06A0101"
"43"	"--"	"11-128-9"	"粤农200号选"	"平滑"	"--"	"Ⅱ6A0956"	"圆形"	"--"	"蔓生"	"--"	"55"	"--"	"红"	"--"	"--"	"好"	"150.0"	"海南海口市"	"普通叶"	"加工"	"绿"	"1500"	"无限"	"红"	"广东农科院经作所"	"YUE NONG 200 HAO XUAN"	"海南"	"G28-35"	"V06A0105"
"44"	"软不面"	"2-8"	"农大24"	"平滑"	"中"	"Ⅱ6A0626"	"圆形"	"8"	"蔓生"	"抗晚疫病"	"60"	"--"	"红"	"小"	"*"	"淡"	"150.0"	"河北承德市"	"马铃薯叶"	"鲜食"	"绿"	"4000"	"无限"	"红"	"河北农科院蔬菜所"	"NONG DA 24"	"河北"	"蕃33号"	"V06A0108"
"45"	"软不面"	"春保护地及露地"	"75-1柿子"	"平滑"	"中"	"Ⅱ6A0421"	"圆形"	"6"	"半蔓生"	"中上"	"--"	"早熟"	"红"	"小"	"--"	"较酸"	"100.0"	"河北高邑县"	"普通叶"	"鲜食"	"绿"	"1475"	"有限"	"红"	"河北农科院蔬菜所"	"75-1 SHI ZI"	"河北"	"番51号"	"V06A0110"
"46"	"面"	"春夏2-8"	"西里1号"	"平滑"	"耐旱耐热"	"Ⅱ6A0939"	"圆形"	"9"	"蔓生"	"--"	"--"	"晚熟"	"红"	"大"	"--"	"酸甜"	"175.0"	"河北石家庄市"	"马铃薯叶"	"鲜食"	"深绿"	"2750"	"无限"	"红"	"河北农科院蔬菜所"	"XI LI 1 HAO"	"河北"	"蕃42号"	"V06A0119"
"47"	"面"	"春夏2-7"	"冀红二号"	"平滑"	"中下"	"Ⅱ6A0924"	"圆形"	"7"	"蔓生"	"中"	"58"	"中熟"	"红"	"中"	"--"	"酸甜"	"100.0"	"河北蔬菜所"	"普通叶"	"鲜食"	"深绿"	"1750"	"无限"	"红"	"河北农科院蔬菜所"	"JI HONG ER HAO"	"河北"	"蕃2号"	"V06A0121"
"48"	"软不面"	"春秋露地及保护地"	"冀蕃2号"	"平滑"	"强"	"Ⅱ6A0940"	"圆形"	"9"	"蔓生"	"强"	"--"	"中熟"	"红"	"中"	"--"	"酸甜"	"250.0"	"河北蔬菜所"	"普通叶"	"鲜食"	"绿"	"4000"	"无限"	"红"	"河北农科院蔬菜所"	"JI FAN 2 HAO"	"河北"	"蕃54号"	"V06A0122"
"49"	"软"	"春夏,2月-7月"	"冀黄2号"	"平滑"	"中"	"Ⅱ6A0618"	"圆形"	"8"	"半蔓生"	"强"	"58"	"中熟"	"桔黄"	"小"	"--"	"酸甜"	"135.0"	"河北蔬菜所"	"普通叶"	"鲜食"	"绿"	"1975"	"有限"	"黄"	"河北农科院蔬菜所"	"JI HUANG 2 HAO"	"河北"	"蕃14号"	"V06A0124"
"50"	"面"	"春夏,2月-7月"	"冀黄3号"	"平滑"	"中上"	"Ⅱ6A0619"	"圆形"	"9"	"半蔓生"	"强"	"60"	"中熟"	"黄"	"中"	"--"	"酸甜"	"140.0"	"河北蔬菜所"	"普通叶"	"鲜食"	"绿"	"2250"	"有限"	"黄"	"河北农科院蔬菜所"	"JI HUANG 3 HAO"	"河北"	"蕃15号"	"V06A0125"
"51"	"脆"	"春夏及连秋和保护地"	"冀番一号"	"平滑"	"中"	"Ⅱ6A0280"	"圆形"	"7"	"蔓生"	"抗毒病"	"55"	"中熟"	"红"	"中"	"--"	"酸甜"	"125.0"	"河北蔬菜所"	"普通叶"	"鲜食"	"绿"	"2250"	"无限"	"红"	"河北农科院蔬菜所"	"JI FAN YI HAO"	"河北"	"番49号"	"V06A0129"
"52"	"软不面"	"2-7"	"加拿大八号"	"平滑"	"耐寒耐运"	"Ⅱ6A0623"	"圆形"	"7"	"半蔓生"	"抗蚜虫"	"53"	"--"	"红"	"小"	"*"	"酸甜"	"125.0"	"河北唐山市"	"普通叶"	"鲜食"	"绿"	"3000"	"有限"	"红"	"河北农科院蔬菜所"	"JIA NA DA BA HAO"	"河北"	"蕃22号"	"V06A0130"
"53"	"软不面"	"春保护地及春露地"	"早粉2号"	"平滑"	"中"	"Ⅱ6A0930"	"圆形"	"7"	"蔓生"	"中"	"53"	"早熟"	"红"	"中"	"--"	"酸甜"	"90.0"	"河北唐山市"	"普通叶"	"鲜食"	"绿"	"1250"	"有限"	"红"	"河北农科院蔬菜所"	"ZAO FEN 2 HAO"	"河北"	"蕃19号"	"V06A0132"
"54"	"软不面"	"2-7"	"北京十号"	"平滑"	"中"	"Ⅱ6A0611"	"圆形"	"7"	"半蔓生"	"不抗病毒病"	"53"	"--"	"红"	"中"	"*"	"酸"	"120.0"	"河北引自北京"	"普通叶"	"鲜食"	"绿"	"3500"	"有限"	"红"	"河北农科院蔬菜所"	"BEI JING SHI HAO"	"河北"	"蕃1号"	"V06A0136"
"55"	"软不面"	"2-7"	"宝冠2号"	"平滑"	"中"	"Ⅱ6A0621"	"圆形"	"8"	"蔓生"	"中"	"60"	"--"	"红"	"中"	"*"	"酸甜"	"120.0"	"河北引自日本"	"普通叶"	"鲜食"	"深绿"	"3500"	"无限"	"红"	"河北农科院蔬菜所"	"BAO GUAN 2 HAO"	"河北"	"蕃18号"	"V06A0150"
"56"	"面"	"春夏1,2-7"	"冀黄一号"	"平滑"	"中"	"Ⅱ6A0925"	"圆形"	"7"	"蔓生"	"强"	"50"	"中熟"	"黄"	"中"	"--"	"酸"	"170.0"	"河北引自沈阳市"	"普通叶"	"鲜食"	"绿"	"2175"	"有限"	"黄"	"河北农科院蔬菜所"	"JI HUANG YI HAO"	"河北"	"蕃6号"	"V06A0153"
"57"	"软不面"	"2-7"	"沈农二号"	"平滑"	"中"	"Ⅱ6A0615"	"圆形"	"7"	"半蔓生"	"中"	"53"	"--"	"红"	"小"	"*"	"酸甜"	"90.0"	"河北引自沈阳市"	"普通叶"	"鲜食"	"深绿"	"4000"	"有限"	"红"	"河北农科院蔬菜所"	"SHEN NONG ER HAO"	"河北"	"蕃7号"	"V06A0154"
"58"	"--"	"4上-6下"	"41-1"	"平滑"	"中"	"Ⅱ6A0141"	"圆形"	"7"	"半蔓生"	"--"	"--"	"早熟"	"红"	"小"	"*"	"--"	"100.0"	"河南大连市"	"普通叶"	"鲜食"	"绿"	"4000"	"有限"	"红"	"河南农科院园艺所"	"41-1"	"河南"	"5A0004"	"V06A0158"
"59"	"--"	"4上-6下"	"T-6"	"平滑"	"中"	"Ⅱ6A0140"	"圆形"	"6"	"半蔓生"	"--"	"--"	"早熟"	"红"	"小"	"*"	"--"	"80.0"	"河南开封市"	"普通叶"	"鲜食"	"绿"	"3500"	"有限"	"红"	"河南农科院园艺所"	"T-6"	"河南"	"5A0003"	"V06A0159"
"60"	"--"	"2中-7下"	"荷兰五号"	"平滑"	"--"	"Ⅱ6A0149"	"圆形"	"11"	"--"	"强"	"65"	"--"	"红"	"中"	"*"	"--"	"175.0"	"河南引山东农科院"	"普通叶"	"--"	"深绿"	"4000"	"无限"	"红"	"河南农科院园艺所"	"HE LAN WU HAO"	"河南"	"5A0025"	"V06A0160"
"61"	"--"	"4上-7上"	"6613T"	"平滑"	"耐热"	"Ⅱ6A0146"	"圆形"	"6"	"半蔓生"	"--"	"--"	"中熟"	"红"	"小"	"*"	"--"	"50.0"	"河南引陕西西安市"	"普通叶"	"--"	"浅绿"	"2000"	"有限"	"红"	"河南农科院园艺所"	"6613T"	"河南"	"5A0013"	"V06A0162"
"62"	"--"	"4上-6下"	"北京十号"	"棱沟"	"中"	"Ⅱ6A0143"	"圆形"	"6"	"半蔓生"	"--"	"--"	"早熟"	"红"	"小"	"*"	"--"	"95.0"	"河南郑州市"	"普通叶"	"鲜食"	"绿"	"3000"	"有限"	"红"	"河南农科院园艺所"	"BEI JING SHI HAO"	"河南"	"5A0008"	"V06A0164"
"63"	"--"	"4上-6下"	"(苹果青)110"	"平滑"	"中"	"Ⅱ6A0139"	"圆形"	"6"	"半蔓生"	"--"	"--"	"早熟"	"红"	"小"	"*"	"--"	"85.0"	"河南郑州市"	"普通叶"	"鲜食"	"绿"	"3500"	"有限"	"红"	"河南农科院园艺所"	"(PING GUO QING )110"	"河南"	"5A0002"	"V06A0166"
"64"	"--"	"4中-7下"	"加8号"	"平滑"	"强"	"Ⅱ6A0467"	"圆形"	"7"	"--"	"较强"	"50"	"中熟"	"红"	"大"	"--"	"中"	"180.0"	"河南郑州市"	"普通叶"	"加工"	"绿"	"4500"	"有限"	"红"	"河南农科院园艺所"	"JIA 8 HAO"	"河南"	"5A0033"	"V06A0170"
"65"	"--"	"4中-7下"	"2-2"	"平滑"	"强"	"Ⅱ6A0470"	"圆形"	"7"	"--"	"强"	"50"	"中熟"	"红"	"大"	"--"	"中"	"170.0"	"河南郑州市"	"普通叶"	"加工"	"深绿"	"4500"	"有限"	"红"	"河南农科院园艺所"	"2-2"	"河南"	"5A0032"	"V06A0172"
"66"	"软面"	"3中-7中下"	"罗成一号"	"平滑"	"强"	"Ⅱ6A0248"	"梨形"	"8"	"半蔓生"	"强"	"55"	"中熟"	"红"	"小"	"*"	"淡"	"50.0"	"黑龙江哈尔滨市"	"普通叶"	"鲜食加工"	"深绿"	"2500"	"有限"	"红"	"黑龙江省园艺所"	"LUO CHENG YI HAO"	"黑龙江"	"17-101"	"V06A0203"
"67"	"软"	"3下-8上"	"文革一号"	"平滑"	"强"	"Ⅱ6A0247"	"心脏形"	"9"	"蔓生"	"强"	"61"	"晚熟"	"红"	"小"	"*"	"较甜"	"196.0"	"黑龙江牡丹江"	"普通叶"	"鲜食"	"绿"	"3000"	"无限"	"红"	"黑龙江省园艺所"	"WEN GE YI HAO"	"黑龙江"	"17-1"	"V06A0219"
"68"	"软"	"3中-9中"	"齐番三号"	"平滑"	"中"	"Ⅱ6A0281"	"圆形"	"8"	"蔓生"	"中"	"46"	"早熟"	"黄"	"小"	"--"	"中"	"110.0"	"黑龙江齐齐哈尔市"	"普通叶"	"鲜食"	"绿"	"1250"	"有限"	"黄"	"黑龙江省园艺所"	"QI FAN SAN HAO"	"黑龙江"	"17-103"	"V06A0227"
"69"	"软"	"3下-7中"	"胜利100号"	"平滑"	"中"	"Ⅱ6A0078"	"圆形"	"6"	"蔓生"	"中"	"47"	"中熟"	"红"	"小"	"*"	"淡"	"100.0"	"黑龙江双鸭山"	"普通叶"	"鲜食"	"绿"	"2000"	"--"	"红"	"黑龙江省园艺所"	"SHENG LI 100 HAO"	"黑龙江"	"17-2"	"V06A0231"
"70"	"软"	"3下-7下"	"早粉二号"	"棱沟"	"中"	"Ⅱ6A0241"	"圆形"	"7"	"蔓生"	"中"	"52"	"晚熟"	"红"	"小"	"*"	"甜"	"139.0"	"黑龙江引北京"	"普通叶"	"鲜食"	"绿"	"2250"	"无限"	"红"	"黑龙江省园艺所"	"ZAO FEN ER HAO"	"黑龙江"	"17-30"	"V06A0235"
