"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"29"	"中"	"303"	"浑江笋瓜"	"葡匐蔓生"	"HUN JIANG SUN GUA"	"4.0"	"130"	"--"	"强"	"抗白粉"	"桔黄"	"--"	"心形"	"甜"	"--"	"--"	"桔黄色"	"*"	"椭圆形"	"汁多"	"8"	"吉林"	"V05D0067"	"吉林省蔬菜所"	"--"	"Ⅱ5Bc175"	"吉林浑江市"	"绿色"	"5中播-9下收老瓜"	"--"	"棱"
"30"	"中"	"304"	"绿皮笋瓜"	"葡匐蔓生"	"LU PI SUN GUA"	"3.0"	"125"	"--"	"强"	"抗白粉"	"绿"	"--"	"心形"	"甜"	"--"	"--"	"绿色"	"*"	"圆柱形"	"--"	"8"	"吉林"	"V05D0068"	"吉林省蔬菜所"	"--"	"Ⅱ5Bc176"	"吉林浑江市"	"--"	"5上播9上收老瓜"	"--"	"棱"
"31"	"中"	"300"	"鹰嘴"	"葡匐蔓生"	"YING ZUI"	"3.0"	"130"	"少"	"强"	"抗白粉"	"灰"	"--"	"心形"	"甜"	"--"	"--"	"灰色"	"*"	"扁圆形"	"软"	"8"	"吉林"	"V05D0072"	"吉林省蔬菜所"	"--"	"Ⅱ5Bc040"	"吉林延吉县"	"--"	"5中播-9下收老瓜"	"--"	"棱"
"32"	"早"	"302"	"甘栗"	"葡匐蔓生"	"GAN LI"	"2.0"	"120"	"--"	"强"	"抗白粉"	"桔黄"	"--"	"心形"	"甜"	"--"	"--"	"桔黄色"	"*引自沈阳"	"椭圆形"	"软"	"7"	"吉林"	"V05D0073"	"吉林省蔬菜所"	"--"	"Ⅱ5Bc177"	"吉林引自沈阳"	"--"	"5中播-9中收老瓜"	"--"	"平"
"33"	"中"	"80-12-29"	"笋瓜"	"葡匐蔓生"	"SUN GUA"	"9.5"	"59"	"无"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"纹"	"--"	"奶油色"	"*果面疏生白刺毛"	"椭圆形"	"软"	"10"	"江苏"	"V05D0074"	"江苏农科院蔬菜所"	"中"	"Ⅱ5Bc229"	"江苏赣榆县"	"--"	"4下-6中7中"	"斑块状"	"棱"
"34"	"中"	"80-8-50"	"白皮笋瓜"	"葡匐蔓生"	"BAI PI SUN GUA"	"6.6"	"57"	"无"	"强"	"抗"	"奶油色"	"--"	"掌状"	"微甜"	"斑纹"	"--"	"奶油色"	"*"	"圆柱形"	"圆滑致密"	"18"	"江苏"	"V05D0075"	"江苏农科院蔬菜所"	"强"	"Ⅱ5Bc023"	"江苏海安县"	"--"	"4下-6中7中"	"斑块状"	"棱"
"35"	"中"	"80-6-20"	"笋瓜"	"葡匐蔓生"	"SUN GUA"	"2.5"	"51"	"无"	"强"	"不抗病毒"	"黄"	"--"	"掌状"	"--"	"--"	"--"	"桔黄色"	"*"	"椭圆形"	"软"	"17"	"江苏"	"V05D0076"	"江苏农科院蔬菜所"	"弱"	"Ⅱ5Bc017"	"江苏淮安县"	"--"	"4下-6中7中"	"--"	"棱"
"36"	"早"	"89-6-60"	"早熟白瓜"	"葡匐蔓生"	"ZAO SHU BAI GUA"	"3.3"	"55"	"无"	"强"	"中"	"奶油色"	"--"	"心形"	"淡而无味"	"--"	"--"	"黄色"	"--"	"扁圆形"	"一般"	"5"	"江苏"	"V05D0088"	"江苏农科院蔬菜所"	"中"	"Ⅱ5Bc239"	"江苏泗阳县"	"--"	"4中-5下6上"	"--"	"棱"
"37"	"晚"	"5BB1"	"青皮玉瓜"	"蔓生"	"QING PI YU GUA"	"7.5"	"100"	"少"	"强"	"--"	"绿"	"--"	"掌状"	"微甜"	"--"	"--"	"褐色"	"--"	"椭圆形"	"质密"	"17"	"辽宁"	"V05D0089"	"辽宁农科院园艺所"	"--"	"Ⅱ5Bc163"	"辽宁沈阳市"	"--"	"4下播"	"--"	"平"
"38"	"中"	"内5B3011"	"大瓜"	"葡匐蔓生"	"DA GUA"	"4.5"	"115"	"少"	"中"	"抗"	"--"	"--"	"心形"	"淡而无味"	"斑"	"--"	"灰色"	"--"	"扁圆形"	"松软水中"	"13"	"内蒙"	"V05D0090"	"内蒙农科院蔬菜所"	"强"	"Ⅱ5Bc098"	"内蒙"	"--"	"5中-9中"	"--"	"棱"
