"id"	"科名"	"生育期评价"	"品种名称"	"始果年龄"	"生育期D"	"省"	"外观评价"	"汁液"	"内质评价"	"早果性评价"	"维生素C"	"风味"	"特异及用途"	"可溶固形物"	"单果重评价"	"果实成熟期"	"肉质"	"可滴定酸％"	"果形"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"可溶性糖％"	"原产地"
"122"	"Rosaceae(蔷薇科)"	"中"	"洋3"	"3*"	"206"	"国外"	"中"	"中"	"中"	"中"	"--"	"甜酸微涩香"	"--"	"11.75"	"中"	"8月下9月上"	"中紧软"	"0.530"	"葫芦"	"中"	"Pyrus spp.(梨)"	"LIB0474"	"YANG 3"	"107.30"	"Pyrus(梨属)"	"绿黄"	"7.34"	"美国"
"123"	"Rosaceae(蔷薇科)"	"中"	"洋4"	"3*"	"208"	"国外"	"中"	"多"	"中"	"中"	"--"	"甜酸涩微香"	"--"	"11.05"	"小"	"8月下9月上"	"中紧软"	"0.440"	"纺锤"	"中"	"Pyrus spp.(梨)"	"LIB0475"	"YANG 4"	"86.30"	"Pyrus(梨属)"	"黄白"	"7.37"	"美国"
"124"	"Rosaceae(蔷薇科)"	"中"	"安乔"	"2*"	"205"	"国外"	"好"	"多"	"上"	"早"	"--"	"甜微香"	"--"	"11.05"	"中"	"8月下9月上"	"细紧软溶"	"0.170"	"葫芦"	"中"	"Pyrus spp.(梨)"	"LIB0476"	"AN QIAO"	"193.20"	"Pyrus(梨属)"	"绿黄"	"6.11"	"比利时"
"125"	"Rosaceae(蔷薇科)"	"短"	"居特路易斯"	"2*"	"200"	"国外"	"中"	"中"	"中上"	"早"	"--"	"酸甜粉香"	"--"	"14.75"	"中"	"9月上"	"中紧软"	"0.200"	"葫芦"	"中"	"Pyrus spp.(梨)"	"LIB0478"	"JU TE LU YI SI"	"128.40"	"Pyrus(梨属)"	"绿黄"	"8.59"	"东德"
"126"	"Rosaceae(蔷薇科)"	"中"	"延边磙子"	"6"	"210"	"国外"	"中"	"中"	"中上"	"晚"	"--"	"甜酸"	"--"	"12.19"	"中"	"9月下"	"中紧脆"	"0.310"	"圆"	"晚"	"Pyrus spp.(梨)"	"LIB0495"	"YAN BIAN GUN ZI"	"109.40"	"Pyrus(梨属)"	"褐"	"9.37"	"朝鲜"
"127"	"Rosaceae(蔷薇科)"	"长"	"真瑜"	"4"	"211"	"国外"	"中"	"多"	"中上"	"中"	"--"	"甜微涩"	"--"	"12.70"	"中"	"8月中"	"中松脆"	"0.600"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIB0498"	"ZHEN YU"	"106.00"	"Pyrus(梨属)"	"黄褐"	"8.50"	"日本神奈川"
"128"	"Rosaceae(蔷薇科)"	"中"	"吾妻锦"	"5"	"202"	"国外"	"中"	"多"	"上"	"中"	"--"	"甜微香"	"--"	"14.33"	"中"	"8月中下"	"中松脆"	"0.260"	"扁圆"	"早中"	"Pyrus spp.(梨)"	"LIB0499"	"WU QI JIN"	"150.70"	"Pyrus(梨属)"	"黄褐"	"7.94"	"日本千叶"
"129"	"Rosaceae(蔷薇科)"	"中"	"久松"	"5"	"210"	"国外"	"中"	"极多"	"中上"	"中"	"--"	"酸甜"	"--"	"11.07"	"中"	"8月下9月上"	"中松脆"	"0.300"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0500"	"JIU SONG"	"135.50"	"Pyrus(梨属)"	"绿"	"7.71"	"日本"
"130"	"Rosaceae(蔷薇科)"	"长"	"石井早生"	"2*"	"214"	"国外"	"中"	"极多"	"中"	"早"	"--"	"酸甜"	"--"	"11.60"	"大"	"9月上中"	"中松脆"	"0.180"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0501"	"SHI JING ZAO SHENG"	"217.00"	"Pyrus(梨属)"	"黄褐"	"8.68"	"日本千叶"
"131"	"Rosaceae(蔷薇科)"	"长"	"大菊水"	"1*"	"211"	"国外"	"中"	"中"	"中上"	"极早"	"--"	"淡甜"	"--"	"9.23"	"小"	"8月中下"	"细松脆"	"0.160"	"扁圆"	"早中"	"Pyrus spp.(梨)"	"LIB0502"	"DA JU SHUI"	"91.70"	"Pyrus(梨属)"	"绿"	"5.97"	"日本"
"132"	"Rosaceae(蔷薇科)"	"中"	"八达"	"2*"	"207"	"国外"	"中"	"多"	"中"	"早"	"--"	"淡甜"	"--"	"9.20"	"大"	"8月下"	"中松脆"	"0.200"	"圆"	"中"	"Pyrus spp.(梨)"	"LIB0503"	"BA DA"	"238.20"	"Pyrus(梨属)"	"淡绿"	"7.03"	"日本"
"133"	"Rosaceae(蔷薇科)"	"中"	"新世纪"	"1*"	"210"	"国外"	"中"	"中"	"中上"	"极早"	"--"	"甜酸"	"--"	"11.38"	"中"	"8月中"	"中松脆"	"0.210"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIB0506"	"XIN SHI JI"	"122.00"	"Pyrus(梨属)"	"黄绿"	"8.11"	"日本冈山"
"134"	"Rosaceae(蔷薇科)"	"长"	"奥连"	"5*"	"215"	"国外"	"中"	"少"	"下"	"晚"	"--"	"甜酸涩"	"--"	"12.06"	"小"	"9月中下"	"粗紧软沙"	"0.840"	"葫芦"	"中"	"Pyrus spp.(梨)"	"LIB0539"	"AO LIAN"	"55.50"	"Pyrus(梨属)"	"淡黄"	"8.92"	"苏联"
