"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"46"	"中"	"G36-58"	"宝岛南瓜"	"攀援蔓生"	"BAO DAO NAN GUA"	"3.7"	"135"	"少"	"强"	"--"	"--"	"--"	"掌状"	"甜"	"--"	"1100"	"黄色"	"--"	"梨形"	"致密"	"27"	"海南"	"V05C0111"	"广东农科院经作所"	"耐热"	"Ⅱ5Bb625"	"海南占县热作两院"	"--"	"11中-3下"	"--"	"--"
"47"	"中"	"G36-29"	"深其南瓜"	"葡匐蔓生"	"SHEN QI NAN GUA"	"4.5"	"120"	"少"	"强"	"--"	"--"	"--"	"掌状"	"微甜"	"--"	"1350"	"黄色"	"--"	"圆形"	"--"	"20"	"海南"	"V05C0112"	"广东农科院经作所"	"耐热"	"Ⅱ5Bb544"	"海南儋县"	"--"	"11下-3上"	"--"	"--"
"48"	"中"	"北58号"	"北瓜"	"葡匐蔓生"	"BEI GUA"	"2.3"	"95"	"少"	"中"	"不抗白粉"	"绿"	"--"	"掌状"	"微甜"	"--"	"1250"	"黄色"	"--"	"圆柱形"	"--"	"13"	"河北"	"V05C0113"	"河北农科院蔬菜所"	"中"	"Ⅱ5Bb611"	"河北"	"--"	"4中-7下"	"--"	"棱"
"49"	"早"	"北31号"	"早春圆倭瓜"	"葡匐蔓生"	"ZAO CHUN YUAN WO GUA"	"1.0"	"95"	"多"	"弱"	"重感"	"绿"	"--"	"掌状"	"甜"	"纹"	"800"	"褐色"	"--"	"扁圆形"	"--"	"8"	"河北"	"V05C0114"	"河北农科院蔬菜所"	"弱"	"Ⅱ5Bb610"	"河北"	"--"	"4中-7下"	"线条状"	"平"
"50"	"早"	"北27号"	"架人北瓜"	"葡匐蔓生"	"JIA REN BEI GUA"	"1.5"	"92"	"少"	"弱"	"不抗病毒"	"绿"	"--"	"掌状"	"甜"	"纹"	"750"	"桔黄色"	"--"	"长曲条"	"--"	"10"	"河北"	"V05C0115"	"河北农科院蔬菜所"	"中"	"Ⅱ5Bb609"	"河北"	"--"	"4中-7下"	"--"	"平"
"51"	"中"	"北23号"	"吊瓜"	"葡匐蔓生"	"DIAO GUA"	"3.0"	"100"	"多"	"弱"	"重感"	"绿"	"--"	"掌状"	"微甜"	"--"	"1200"	"绿色"	"--"	"长曲条"	"--"	"19"	"河北"	"V05C0131"	"河北农科院蔬菜所"	"弱"	"Ⅱ5Bb582"	"河北宽城县"	"--"	"4中-7下"	"--"	"平"
"52"	"中"	"北43号"	"南瓜"	"葡匐蔓生"	"NAN GUA"	"2.1"	"98"	"少"	"中"	"不抗病毒"	"绿"	"--"	"掌状"	"--"	"--"	"1125"	"褐色"	"--"	"扁圆形"	"软"	"11"	"河北"	"V05C0132"	"河北农科院蔬菜所"	"中"	"Ⅱ5Bb593"	"河北临城县"	"--"	"4中-7下"	"线条状"	"棱"
"53"	"中"	"北36号"	"小圆北瓜"	"葡匐蔓生"	"XIAO YUAN BEI GUA"	"1.1"	"95"	"少"	"--"	"不抗病毒"	"绿"	"--"	"掌状"	"微甜"	"--"	"875"	"褐色"	"--"	"扁圆形"	"--"	"10"	"河北"	"V05C0133"	"河北农科院蔬菜所"	"中"	"Ⅱ5Bb588"	"河北临城县"	"--"	"4中-7下"	"--"	"棱"
"54"	"晚"	"北64号"	"十八渠"	"葡匐蔓生"	"SHI BA QU"	"5.5"	"100"	"中"	"中"	"抗"	"绿"	"--"	"掌状"	"甜"	"纹"	"2150"	"褐色"	"--"	"细长条"	"--"	"19"	"河北"	"V05C0134"	"河北农科院蔬菜所"	"强"	"Ⅱ5Bb385"	"河北灵寿县"	"--"	"4中-7下"	"线条状"	"平"
"55"	"晚"	"北65号"	"油瓶南瓜"	"葡匐蔓生"	"YOU PING NAN GUA"	"5.0"	"100"	"中"	"中"	"抗"	"绿"	"--"	"掌状"	"甜"	"纹"	"2000"	"褐色"	"--"	"圆柱形"	"--"	"19"	"河北"	"V05C0135"	"河北农科院蔬菜所"	"强"	"Ⅱ5Bb386"	"河北灵寿县"	"--"	"4中-7下"	"线条状"	"平"
