"id"	"熟性"	"种子来源"	"属名"	"保存编号"	"壳"	"根腐穗病级"	"引入时间"	"省"	"穗长"	"赤霉病指数"	"条锈反应型"	"赤霉病抗性"	"抽穗期"	"保存单位"	"千粒重"	"田间抗寒性"	"系谱"	"白粉反应型"	"开花期"	"秆锈普遍率"	"赖氨酸"	"赤霉病病指"	"粗蛋白"	"叶锈普遍率"	"株高"	"穗粒数"	"原编号"	"叶锈反应型"	"白粉严重度"	"条锈普遍率"	"黄矮病"	"品种名称"	"叶锈严重度"	"芒"	"赤霉病病穗"	"原产地"	"秆锈反应型"	"抗旱性"	"样品类型"	"学名"	"秆锈严重度"	"科名"	"人工抗寒性"	"收种地"	"统一编号"	"沉淀值"	"冬春性"	"库编号"	"粒"	"硬度"	"成熟期"	"条锈严重度"	"根腐叶病级"	"染色体组"
"646"	"--"	"法国"	"Aegilops L.(山羊草属)"	"京Ae38"	"--"	"--"	"1977.6"	"国外"	"10.0"	"--"	"--"	"--"	"5/16"	"ICGR"	"--"	"--"	"--"	"--"	"5/20"	"--"	"--"	"--"	"--"	"--"	"88"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"伊朗"	"--"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000160"	"--"	"冬"	"I1b00271"	"--"	"--"	"6/20"	"--"	"--"	
"647"	"--"	"法国"	"Aegilops L.(山羊草属)"	"京Ae39"	"--"	"--"	"1977.6"	"国外"	"7.5"	"--"	"--"	"--"	"5/14"	"ICGR"	"--"	"--"	"--"	"--"	"5/20"	"--"	"--"	"--"	"--"	"--"	"59"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"苏联"	"--"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000161"	"--"	"冬"	"I1b00272"	"--"	"--"	"6/20"	"--"	"--"	
"648"	"--"	"--"	"Aegilops L.(山羊草属)"	"京Ae36"	"--"	"--"	"1979.3"	"国外"	"8.0"	"--"	"--"	"--"	"5/7"	"ICGR"	"--"	"--"	"--"	"--"	"5/15"	"--"	"--"	"--"	"--"	"--"	"50"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000162"	"--"	"春(冬)"	"I1b00273"	"--"	"--"	"6/7"	"--"	"--"	
"649"	"--"	"美国"	"Aegilops L.(山羊草属)"	"京Ae43"	"--"	"--"	"1981.8"	"国外"	"9.5"	"--"	"--"	"--"	"5/4"	"ICGR"	"--"	"--"	"--"	"--"	"5/12"	"--"	"--"	"--"	"--"	"--"	"74"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000174"	"--"	"冬(春)"	"I1b00285"	"--"	"--"	"6/4"	"--"	"--"	
"650"	"--"	"美国"	"Aegilops L.(山羊草属)"	"京Ae44"	"--"	"--"	"1981.8"	"国外"	"10.5"	"--"	"--"	"--"	"5/20"	"ICGR"	"--"	"--"	"--"	"--"	"5/25"	"--"	"--"	"--"	"--"	"--"	"68"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000175"	"--"	"冬(春)"	"I1b00286"	"--"	"--"	"6/10"	"--"	"--"	
"651"	"--"	"美国"	"Aegilops L.(山羊草属)"	"京Ae45"	"--"	"--"	"1981.8"	"国外"	"8.0"	"--"	"--"	"--"	"5/25"	"ICGR"	"--"	"--"	"--"	"--"	"6/1"	"--"	"--"	"--"	"--"	"--"	"50"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000176"	"--"	"冬(春)"	"I1b00287"	"--"	"--"	"6/17"	"--"	"--"	
"652"	"--"	"中东"	"Aegilops L.(山羊草属)"	"京Y57"	"--"	"--"	"1983.10"	"国外"	"8.0"	"--"	"S"	"--"	"5/22"	"ICGR"	"--"	"--"	"--"	"--"	"5/25"	"--"	"--"	"--"	"--"	"--"	"53"	"--"	"--"	"S"	"0"	"100"	"4"	"--"	"--"	"--"	"--"	"中东"	"MS"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000179"	"--"	"春"	"I1b00290"	"--"	"--"	"6/20"	"100"	"--"	
"653"	"--"	"法国"	"Aegilops L.(山羊草属)"	"京Y58"	"--"	"--"	"1983.10"	"国外"	"9.5"	"--"	"--"	"--"	"5/15"	"ICGR"	"--"	"--"	"--"	"--"	"5/20"	"--"	"--"	"--"	"--"	"--"	"70"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000180"	"--"	"冬"	"I1b00291"	"--"	"--"	"6/20"	"--"	"--"	
"654"	"--"	"东德"	"Aegilops L.(山羊草属)"	"京Y121"	"--"	"--"	"1984.10"	"国外"	"9.5"	"--"	"S"	"--"	"5/10"	"ICGR"	"--"	"--"	"--"	"--"	"5/17"	"--"	"--"	"--"	"--"	"--"	"68"	"--"	"AE499/81"	"MS"	"0"	"100"	"4"	"--"	"--"	"--"	"--"	"苏联"	"S"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000182"	"--"	"冬"	"I1b00293"	"--"	"--"	"6/16"	"100"	"--"	
"655"	"--"	"东德"	"Aegilops L.(山羊草属)"	"京Y122"	"--"	"--"	"1984.10"	"国外"	"11.0"	"--"	"--"	"--"	"5/4"	"ICGR"	"--"	"--"	"--"	"--"	"5/7"	"--"	"--"	"--"	"--"	"--"	"75"	"--"	"AE281/79"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"阿富汗"	"--"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000183"	"--"	"冬"	"I1b00294"	"--"	"--"	"6/2"	"--"	"--"	
"656"	"--"	"东德"	"Aegilops L.(山羊草属)"	"京Y123"	"--"	"--"	"1984.10"	"国外"	"10.0"	"--"	"--"	"--"	"5/15"	"ICGR"	"--"	"--"	"--"	"--"	"5/20"	"--"	"--"	"--"	"--"	"--"	"70"	"--"	"AE278/78"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"阿富汗"	"--"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000184"	"--"	"冬"	"--"	"--"	"--"	"6/19"	"--"	"--"	
"657"	"--"	"东德"	"Aegilops L.(山羊草属)"	"京Y124"	"--"	"--"	"1984.10"	"国外"	"10.5"	"--"	"S"	"--"	"5/20"	"ICGR"	"--"	"--"	"--"	"--"	"5/26"	"--"	"--"	"--"	"--"	"--"	"64"	"--"	"AE272/78"	"S"	"0"	"100"	"4"	"--"	"--"	"--"	"--"	"阿富汗"	"S"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000185"	"--"	"冬"	"I1b00295"	"--"	"--"	"6/20"	"100"	"--"	
"658"	"--"	"东德"	"Aegilops L.(山羊草属)"	"京Y125"	"--"	"--"	"1984.10"	"国外"	"10.0"	"--"	"MS"	"--"	"5/12"	"ICGR"	"--"	"--"	"--"	"--"	"5/17"	"--"	"--"	"--"	"--"	"--"	"75"	"--"	"AE541/78"	"MS"	"0"	"100"	"--"	"--"	"--"	"--"	"--"	"苏联"	"S"	"--"	"野生"	"Aegilops tauschii COSS.(粗山羊草)"	"--"	"Gramineae(禾本科)"	"--"	"北京"	"RM000186"	"--"	"冬"	"I1b00296"	"--"	"--"	"6/10"	"100"	"--"	
"659"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"7.1"	"5.0"	"0"	"S"	"--"	"宁148"	"50.0"	"--"	"CD27658-1M-1Y-OY-49Y-OB"	"3"	"--"	"--"	"0.48"	"100.0"	"13.50"	"100"	"88"	"41"	"--"	"MS"	"3"	"--"	"5"	"SCO""S""/3/BD1814//BD1708/BD1543/4/ROK""S"""	"10"	"长"	"100.0"	"--"	"0"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001071"	"--"	"春"	"I1B14345"	"白"	"--"	"--"	"--"	"S"	
"660"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"--"	"--"	"国外"	"6.2"	"--"	"--"	"--"	"--"	"京DR667"	"44.0"	"--"	"CD25126-A-1Y-3M-1Y-1Y-OM"	"--"	"--"	"--"	"0.43"	"--"	"15.32"	"--"	"65"	"34"	"--"	"--"	"--"	"--"	"--"	"(SO179-PH158 x GTA""S""-SO195/JNk) YAV""S"""	"--"	"长"	"--"	"墨西哥"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001072"	"--"	"春"	"I1B14747"	"白"	"--"	"--"	"--"	"--"	
"661"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.1"	"5.0"	"0"	"S"	"--"	"宁176"	"62.0"	"--"	"--"	"3"	"--"	"--"	"0.46"	"100.0"	"12.20"	"100"	"82"	"38"	"--"	"MS"	"3"	"--"	"5"	"STIL""S""/MEXI75"	"10"	"黑长"	"100.0"	"--"	"0"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001073"	"--"	"春"	"I1B14346"	"白"	"--"	"--"	"--"	"S"	
"662"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.2"	"--"	"--"	"--"	"--"	"京DR668"	"43.0"	"--"	"CD-34039-2Y-3M-2Y-OM"	"--"	"--"	"--"	"0.43"	"--"	"15.03"	"--"	"78"	"32"	"--"	"--"	"--"	"--"	"--"	"STIL""S""-YAV""S"""	"--"	"长"	"--"	"墨西哥"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001074"	"--"	"春"	"I1B14748"	"白"	"--"	"--"	"--"	"--"	
"663"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"5.8"	"5.0"	"0"	"S"	"--"	"宁160"	"54.0"	"--"	"--"	"1"	"--"	"--"	"0.49"	"100.0"	"14.43"	"100"	"88"	"38"	"--"	"MS"	"2"	"--"	"5"	"STN""S"""	"10"	"长"	"100.0"	"--"	"0"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001075"	"--"	"春"	"I1B14347"	"白"	"--"	"--"	"--"	"MS"	
"664"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.3"	"5.0"	"0"	"S"	"--"	"宁166"	"56.0"	"--"	"CD40159-3B-2Y-1M-OY"	"3"	"--"	"--"	"0.49"	"100.0"	"13.98"	"--"	"87"	"47"	"--"	"0"	"4"	"--"	"4"	"SULA""S"""	"--"	"长"	"100.0"	"--"	"0"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001076"	"--"	"春"	"I1B14348"	"白"	"--"	"--"	"--"	"S"	
"665"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.0"	"5.0"	"0"	"S"	"--"	"宁165"	"55.0"	"--"	"CD40159-3B-1Y-1M-1Y-2M-1Y-OM"	"3"	"--"	"--"	"0.47"	"100.0"	"13.05"	"--"	"78"	"41"	"--"	"0"	"4"	"--"	"4"	"SULA""S"""	"--"	"黑长"	"100.0"	"--"	"0"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001077"	"--"	"春"	"I1B14349"	"白"	"--"	"--"	"--"	"S"	
"666"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.2"	"5.0"	"0"	"S"	"--"	"宁167"	"56.0"	"--"	"CD40159-7B-1Y-1M-OY"	"3"	"--"	"100"	"0.45"	"100.0"	"12.33"	"--"	"80"	"42"	"--"	"0"	"4"	"--"	"5"	"SULA""S"""	"--"	"长"	"100.0"	"--"	"MS"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"25"	"Gramineae(禾本科)"	"--"	"--"	"XM001078"	"--"	"春"	"I1B14350"	"白"	"--"	"--"	"--"	"S"	
"667"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"5.7"	"5.0"	"0"	"S"	"--"	"宁168"	"57.0"	"--"	"CD40553-C-2M-2Y-4M-2Y-OM"	"4"	"--"	"--"	"0.44"	"100.0"	"12.05"	"100"	"83"	"38"	"--"	"MS"	"6"	"--"	"4"	"TCHO""S"""	"65"	"长"	"100.0"	"--"	"0"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001079"	"--"	"春"	"I1B14351"	"白"	"--"	"--"	"--"	"S"	
"668"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.3"	"5.0"	"0"	"S"	"--"	"宁169"	"48.0"	"--"	"CD40553-D-2M-1Y-1M-OY"	"3"	"--"	"--"	"0.46"	"100.0"	"12.78"	"100"	"75"	"44"	"--"	"MS"	"5"	"--"	"4"	"TCHO""S"""	"10"	"长"	"100.0"	"--"	"--"	"2"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001080"	"--"	"春"	"I1B14352"	"白"	"--"	"--"	"--"	"S"	
"669"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"红"	"--"	"--"	"国外"	"9.0"	"--"	"--"	"--"	"--"	"京DR669"	"33.0"	"--"	"D-23636-1M-6R-OM-1B"	"--"	"--"	"--"	"0.44"	"--"	"15.34"	"--"	"80"	"53"	"--"	"--"	"--"	"--"	"--"	"T.dic V-Vern-GLL""S"""	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001081"	"--"	"春"	"--"	"白"	"--"	"--"	"--"	"--"	
"670"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"褐"	"--"	"--"	"国外"	"9.0"	"--"	"--"	"--"	"--"	"京DR318"	"32.0"	"--"	"--"	"--"	"--"	"--"	"0.54"	"--"	"20.49"	"--"	"130"	"46"	"--"	"--"	"--"	"--"	"--"	"Trigo Blanco Verdeal E3"	"--"	"长"	"--"	"西班牙"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001082"	"--"	"春"	"I1B15143"	"白"	"--"	"--"	"--"	"--"	
"671"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"--"	"--"	"国外"	"7.6"	"--"	"--"	"--"	"--"	"苏11673"	"31.0"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"110"	"46"	"--"	"--"	"--"	"--"	"--"	"Trigo Caunto Canary Isles"	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001083"	"--"	"冬"	"--"	"红"	"--"	"--"	"--"	"--"	
"672"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"红毛"	"--"	"--"	"国外"	"5.8"	"5.0"	"0"	"S"	"--"	"宁155"	"52.0"	"--"	"--"	"3"	"--"	"--"	"0.46"	"100.0"	"14.55"	"100"	"82"	"39"	"--"	"MS"	"5"	"--"	"4"	"WIN""S"" /SBA81//STIL""S"""	"40"	"黑长"	"100.0"	"--"	"0"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001084"	"--"	"春"	"I1B14353"	"白"	"--"	"--"	"--"	"S"	
"673"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.6"	"5.0"	"0"	"S"	"--"	"宁150"	"45.0"	"--"	"--"	"3"	"--"	"--"	"0.44"	"100.0"	"13.03"	"--"	"70"	"41"	"--"	"0"	"3"	"--"	"3"	"YAV 79"	"--"	"长"	"100.0"	"--"	"0"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001085"	"--"	"春"	"I1B14354"	"白"	"--"	"--"	"--"	"S"	
"674"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.1"	"5.0"	"0"	"S"	"--"	"宁194"	"51.0"	"--"	"--"	"2"	"--"	"--"	"0.45"	"100.0"	"13.43"	"100"	"75"	"39"	"--"	"MS"	"4"	"--"	"4"	"YAV79//ALD""S""/ALBE""S""/3/RUFF""S""/FG""S"""	"5"	"长"	"100.0"	"--"	"0"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001086"	"--"	"春"	"I1B14355"	"白"	"--"	"--"	"--"	"S"	
"675"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.6"	"5.0"	"0"	"S"	"--"	"宁183"	"55.0"	"--"	"--"	"3"	"--"	"--"	"0.44"	"100.0"	"12.78"	"100"	"83"	"46"	"--"	"MS"	"5"	"--"	"4"	"YAV79/APO""S"""	"40"	"长"	"100.0"	"--"	"0"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001087"	"--"	"春"	"I1B14356"	"白"	"--"	"--"	"--"	"S"	
"676"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.9"	"5.0"	"MR"	"S"	"--"	"宁178"	"52.0"	"--"	"--"	"3"	"--"	"--"	"0.45"	"100.0"	"13.46"	"100"	"80"	"38"	"--"	"MS"	"5"	"50"	"4"	"YAV""S""*2/FOJA""S"""	"25"	"黑长"	"100.0"	"--"	"0"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001088"	"--"	"春"	"I1B14357"	"白"	"--"	"--"	"10"	"S"	
"677"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.2"	"5.0"	"0"	"S"	"--"	"宁132"	"49.0"	"--"	"--"	"3"	"--"	"--"	"0.44"	"100.0"	"14.63"	"100"	"72"	"42"	"--"	"MS"	"3"	"--"	"5"	"YAV'S'/3/WLLS/65150//D67.2/4/FG'S'/PALES//MEXI'S'/3/RABI'S'"	"5"	"长"	"100.0"	"--"	"0"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001089"	"--"	"春"	"I1B14358"	"白"	"--"	"--"	"--"	"S"	"--"
"678"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.7"	"5.0"	"0"	"S"	"--"	"宁206"	"49.0"	"--"	"CD52711-4B-1Y-2M-OY"	"3"	"--"	"--"	"0.43"	"100.0"	"12.91"	"100"	"85"	"40"	"--"	"MS"	"4"	"--"	"5"	"YAV""S""//ERP""S""/RUSO/3/YAV79"	"10"	"长"	"100.0"	"--"	"0"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001090"	"--"	"春"	"I1B14359"	"白"	"--"	"--"	"--"	"S"	
"679"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.8"	"5.0"	"0"	"S"	"--"	"宁207"	"56.0"	"--"	"CD52712-4B-4Y-1Y-OM"	"3"	"--"	"--"	"0.46"	"100.0"	"13.47"	"100"	"85"	"38"	"--"	"MS"	"4"	"--"	"3"	"YAV""S""//ERP""S""/RUSO/3/YAV79"	"5"	"黑长"	"100.0"	"--"	"0"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001091"	"--"	"春"	"I1B14360"	"白"	"--"	"--"	"--"	"S"	
"680"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"7.2"	"5.0"	"0"	"S"	"--"	"宁193"	"51.0"	"--"	"--"	"3"	"--"	"--"	"0.46"	"100.0"	"13.64"	"100"	"80"	"41"	"--"	"MS"	"4"	"--"	"3"	"YAV""S""//GUIL""S""//RUFF""S""/FG""S"""	"5"	"黑长"	"100.0"	"--"	"0"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001092"	"--"	"春"	"I1B14361"	"白"	"--"	"--"	"--"	"S"	
"681"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.5"	"5.0"	"0"	"S"	"--"	"宁171"	"55.0"	"--"	"--"	"2"	"--"	"--"	"0.47"	"100.0"	"13.77"	"--"	"78"	"39"	"--"	"0"	"2"	"--"	"5"	"YAV""S""//RUFF""S""/FG""S"""	"--"	"黑长"	"100.0"	"--"	"0"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001093"	"--"	"春"	"I1B14362"	"白"	"--"	"--"	"--"	"S"	
"682"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"红毛"	"--"	"--"	"国外"	"6.8"	"5.0"	"0"	"S"	"--"	"宁217"	"51.0"	"--"	"CD56174-G-1Y-3M-501Y-OB"	"3"	"--"	"--"	"0.45"	"100.0"	"12.99"	"100"	"80"	"43"	"--"	"MS"	"4"	"--"	"5"	"YAV""S""/SAPI""S""//YAV79/3/HUI""S"""	"5"	"长"	"100.0"	"--"	"0"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001094"	"--"	"春"	"I1B14363"	"白"	"--"	"--"	"--"	"S"	
"683"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"红毛"	"--"	"--"	"国外"	"7.0"	"5.0"	"0"	"S"	"--"	"宁218"	"50.0"	"--"	"CD56177-D-1Y-2M-501Y-OB"	"3"	"--"	"--"	"0.46"	"100.0"	"13.80"	"100"	"75"	"39"	"--"	"MS"	"5"	"--"	"5"	"YAV""S""/SAPI""S""//YAV79/3/HUI""S"""	"10"	"长"	"100.0"	"--"	"0"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001095"	"--"	"春"	"I1B14364"	"白"	"--"	"--"	"--"	"S"	
"684"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"7.0"	"5.0"	"0"	"S"	"--"	"宁204"	"47.0"	"--"	"--"	"3"	"--"	"--"	"0.44"	"100.0"	"11.92"	"--"	"70"	"48"	"--"	"0"	"5"	"--"	"4"	"YAV""S""/TEZ""S"""	"--"	"长"	"100.0"	"--"	"0"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001096"	"--"	"春"	"I1B14365"	"白"	"--"	"--"	"--"	"S"	
"685"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"10.5"	"5.0"	"S"	"S"	"--"	"京TR 1"	"--"	"--"	"--"	"4"	"--"	"100"	"--"	"90.8"	"--"	"100"	"98"	"38"	"--"	"S"	"5"	"80"	"4"	"东方小麦"	"40"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum orientale Perc.(东方小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM001097"	"--"	"春"	"--"	"白"	"--"	"--"	"10"	"S"	
"686"	"晚"	"美国"	"Triticum L.(小麦属)"	"--"	"白"	"0"	"--"	"国外"	"12.0"	"4.3"	"R"	"S"	"--"	"京PS 2"	"19.0"	"--"	"--"	"0"	"--"	"100"	"0.57"	"50.8"	"21.13"	"100"	"95"	"38"	"--"	"S"	"1"	"20"	"5"	"1M77-1085"	"40"	"长"	"86.7"	"--"	"MS"	"--"	"地方"	"Triticum persicum Vav. ex Zhuk.(波斯小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM001098"	"--"	"春"	"I1B14749"	"红"	"--"	"--"	"5"	"S"	
"687"	"晚"	"东德"	"Triticum L.(小麦属)"	"--"	"黑"	"R"	"--"	"国外"	"11.0"	"4.9"	"R"	"S"	"--"	"京PS 6"	"20.0"	"--"	"--"	"2"	"--"	"100"	"0.66"	"86.7"	"21.88"	"100"	"119"	"44"	"--"	"S"	"3"	"100"	"7"	"Var.fuliginosum 'Black Persian'"	"10"	"长"	"100.0"	"--"	"MS"	"--"	"地方"	"Triticum persicum Vav. ex Zhuk.(波斯小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM001099"	"--"	"春"	"I1B15144"	"红"	"--"	"--"	"65"	"S"	"--"
"688"	"晚"	"美国"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.0"	"--"	"--"	"--"	"--"	"京CO 39"	"22.0"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"75"	"51"	"--"	"--"	"--"	"--"	"--"	"Tyee"	"--"	"顶"	"--"	"--"	"--"	"--"	"地方"	"Triticum compactum Host.(密穗小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM001106"	"--"	"冬"	"--"	"白"	"--"	"--"	"--"	"--"	
"689"	"晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"MS"	"--"	"国外"	"9.0"	"4.9"	"R"	"S"	"--"	"京MA 3"	"23.0"	"--"	"--"	"2"	"--"	"100"	"--"	"82.5"	"--"	"100"	"112"	"32"	"--"	"S"	"2"	"2"	"5"	"var.subletshchumicum"	"20"	"短"	"100.0"	"苏联"	"S"	"--"	"地方"	"Triticum macha Dek. et Men.(马卡小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM001107"	"--"	"冬"	"--"	"红"	"--"	"--"	"2"	"R"	
