"id"	"蛋氨酸"	"科名"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"天冬氨酸"	"精氨酸"	"丙氨酸"	"单株产量"	"总和"	"酪氨酸"	"异亮氨酸"	"省"	"色氨酸"	"组氨酸"	"分枝数"	"全生育日数"	"样品类型"	"总淀粉"	"百粒重"	"苏氨酸"	"统一编号"	"苯丙氨酸"	"学名"	"粒形"	"胱氨酸"	"支链淀粉"	"花色"	"粗脂肪"	"成熟期"	"粗蛋白"	"结荚习性"	"属名"	"亮氨酸"	"库编号"	"生长习性"	"保存单位"	"原产地"	"甘氨酸"	"单荚粒数"	"缬氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"备注"	"脯氨酸"	"赖氨酸"	"荚长"	"丝氨酸"	"译名"	"荚色"	"种子来源"	"株高"
"66"	"--"	"Leguminosae(豆科)"	"Ⅲ0901001"	"多花菜豆"	"--"	"4.26"	"--"	"--"	"--"	"60.0"	"--"	"--"	"--"	"湖北"	"--"	"--"	"1.0"	"181"	"地方"	"--"	"161.7"	"--"	"E0000148"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"红"	"--"	"10.24"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00121"	"蔓生"	"湖北省农科院农业现代化所"	"保康"	"--"	"2.3"	"--"	"--"	"16.7"	"紫底黑花"	"--"	"--"	"--"	"12.0"	"--"	"DUO HUA CAI DOU"	"黄"	"--"	"308.0"
"67"	"--"	"Leguminosae(豆科)"	"Ⅲ0901037"	"眉豆"	"--"	"4.26"	"--"	"--"	"--"	"62.0"	"--"	"--"	"--"	"湖北"	"--"	"--"	"1.6"	"184"	"地方"	"--"	"150.0"	"--"	"E0000149"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"红"	"--"	"10.27"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00122"	"蔓生"	"湖北省农科院农业现代化所"	"保康"	"--"	"2.7"	"--"	"--"	"15.7"	"紫底黑花"	"--"	"--"	"--"	"12.0"	"--"	"MEI DOU"	"黄"	"--"	"296.0"
"68"	"--"	"Leguminosae(豆科)"	"Ⅲ0901029"	"大眉豆"	"--"	"4.26"	"--"	"--"	"--"	"70.0"	"--"	"--"	"--"	"湖北"	"--"	"--"	"1.2"	"186"	"地方"	"--"	"170.5"	"--"	"E0000150"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"红"	"--"	"10.29"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00123"	"蔓生"	"湖北省农科院农业现代化所"	"神农架"	"--"	"2.8"	"--"	"--"	"14.8"	"紫底黑花"	"--"	"--"	"--"	"12.0"	"--"	"DA MEI DOU"	"黄"	"--"	"296.0"
"69"	"--"	"Leguminosae(豆科)"	"Iu0130"	"多花菜豆"	"--"	"4.26"	"--"	"--"	"--"	"77.2"	"--"	"--"	"--"	"湖北"	"--"	"--"	"1.3"	"194"	"地方"	"--"	"160.2"	"--"	"E0000151"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"粉红"	"--"	"11.06"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00124"	"蔓生"	"湖北省农科院农业现代化所"	"神农架"	"--"	"2.8"	"--"	"--"	"17.2"	"紫底黑花"	"--"	"--"	"--"	"12.0"	"--"	"DUO HUA CAI DOU"	"黄"	"--"	"316.0"
"70"	"--"	"Leguminosae(豆科)"	"Ⅲ0901006"	"红花菜豆"	"--"	"4.26"	"--"	"--"	"--"	"56.5"	"--"	"--"	"--"	"湖北"	"--"	"--"	"1.2"	"182"	"地方"	"--"	"152.5"	"--"	"E0000152"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"红"	"--"	"10.25"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00125"	"蔓生"	"湖北省农科院农业现代化所"	"秭归"	"--"	"2.3"	"--"	"--"	"16.1"	"紫底黑花"	"--"	"--"	"--"	"11.0"	"--"	"HONG HUA CAI DOU"	"黄"	"--"	"292.0"
"71"	"--"	"Leguminosae(豆科)"	"Ⅲ0901024"	"红花菜豆"	"--"	"4.26"	"--"	"--"	"--"	"64.0"	"--"	"--"	"--"	"湖北"	"--"	"--"	"1.4"	"182"	"地方"	"--"	"148.6"	"--"	"E0000153"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"粉红"	"--"	"10.25"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00126"	"蔓生"	"湖北省农科院农业现代化所"	"秭归"	"--"	"2.9"	"--"	"--"	"15.4"	"紫底黑花"	"--"	"--"	"--"	"13.0"	"--"	"HONG HUA CAI DOU"	"黄"	"--"	"290.0"
"72"	"--"	"Leguminosae(豆科)"	"Ⅲ0901024-"	"红花菜豆"	"--"	"4.26"	"--"	"--"	"--"	"69.3"	"--"	"--"	"--"	"湖北"	"--"	"--"	"1.2"	"184"	"地方"	"--"	"161.0"	"--"	"E0000154"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"粉红"	"--"	"10.27"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00127"	"蔓生"	"湖北省农科院农业现代化所"	"秭归"	"--"	"2.7"	"--"	"--"	"16.0"	"紫底黑花"	"--"	"--"	"--"	"14.0"	"--"	"HONG HUA CAI DOU"	"黄"	"--"	"296.0"
"73"	"--"	"Leguminosae(豆科)"	"Iu0119"	"大金豆"	"--"	"4.26"	"--"	"--"	"--"	"64.2"	"--"	"--"	"--"	"湖北"	"--"	"--"	"2.4"	"182"	"地方"	"--"	"156.4"	"--"	"E0000185"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"红"	"--"	"10.25"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00158"	"蔓生"	"湖北省农科院农业现代化所"	"鹤峰"	"--"	"2.8"	"--"	"--"	"14.8"	"紫底黑花"	"--"	"--"	"--"	"12.0"	"--"	"DA JIN DOU"	"黄"	"--"	"317.0"
"74"	"--"	"Leguminosae(豆科)"	"00014"	"大黑红花"	"--"	"4.26"	"--"	"--"	"--"	"71.4"	"--"	"--"	"--"	"湖北"	"--"	"--"	"1.2"	"184"	"地方"	"--"	"157.8"	"--"	"E0000186"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"红"	"--"	"10.27"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00159"	"蔓生"	"湖北省农科院农业现代化所"	"鹤峰"	"--"	"2.8"	"--"	"--"	"16.7"	"紫底黑花"	"--"	"--"	"--"	"13.0"	"--"	"DA HEI HONG HUA"	"黄"	"--"	"312.0"
"75"	"--"	"Leguminosae(豆科)"	"Ⅲ0901008"	"红花菜豆"	"--"	"4.26"	"--"	"--"	"--"	"92.8"	"--"	"--"	"--"	"湖北"	"--"	"--"	"1.2"	"182"	"地方"	"--"	"174.4"	"--"	"E0000187"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"红"	"--"	"10.25"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00160"	"蔓生"	"湖北省农科院农业现代化所"	"鹤峰"	"--"	"3.1"	"--"	"--"	"17.7"	"紫底黑花"	"--"	"--"	"--"	"14.0"	"--"	"HONG HUA CAI DOU"	"黄"	"--"	"342.0"
"76"	"--"	"Leguminosae(豆科)"	"00012"	"芸豆"	"--"	"4.26"	"--"	"--"	"--"	"62.3"	"--"	"--"	"--"	"湖北"	"--"	"--"	"1.3"	"192"	"地方"	"--"	"168.4"	"--"	"E0000188"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"红"	"--"	"11.04"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00161"	"蔓生"	"湖北省农科院农业现代化所"	"鹤峰"	"--"	"2.5"	"--"	"--"	"14.8"	"紫底黑花"	"--"	"--"	"--"	"12.0"	"--"	"YUN DOU"	"黄"	"--"	"318.0"
"77"	"--"	"Leguminosae(豆科)"	"Iu0123"	"大四季豆"	"--"	"4.26"	"--"	"--"	"--"	"48.0"	"--"	"--"	"--"	"湖北"	"--"	"--"	"2.5"	"178"	"地方"	"--"	"160.0"	"--"	"E0000189"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"红"	"--"	"10.21"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00162"	"蔓生"	"湖北省农科院农业现代化所"	"奉节"	"--"	"2.6"	"--"	"--"	"15.0"	"紫底黑花"	"--"	"--"	"--"	"12.0"	"--"	"DA SI JI DOU"	"黄"	"--"	"274.0"
