"id"	"蛋氨酸"	"科名"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"结荚习性"	"精氨酸"	"丙氨酸"	"单株产量"	"总和"	"酪氨酸"	"天冬氨酸"	"异亮氨酸"	"省"	"色氨酸"	"脂肪"	"组氨酸"	"分枝数"	"全生育日数"	"样品类型"	"总淀粉"	"百粒重"	"苏氨酸"	"统一编号"	"苯丙氨酸"	"学名"	"粒形"	"胱氨酸"	"支链淀粉"	"花色"	"成熟期"	"蛋白质"	"属名"	"亮氨酸"	"库编号"	"生长习性"	"原产地"	"甘氨酸"	"单荚粒数"	"缬氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"备注"	"脯氨酸"	"赖氨酸"	"荚长"	"丝氨酸"	"保存单位"	"荚色"	"译名"	"种子来源"	"株高"	"茎粗大小"	"蚜害病评价"	"荚型"	"株型"	"褐斑病指数"	"苗期耐盐"	"来源"	"锈病评价"	"茎粗"	"褐斑病级"	"锈病病级"	"耐旱性"	"蚜害病指数"	"白粉病评价"	"薯肉色"	"均匀度"	"白粉病级"	"顶叶色"	"赤斑病指数"	"芽期抗旱"	"脉基色"	"蚜害病级"	"最长蔓长"	"抗涝性"	"白粉病指数"	"柄基色"	"赤斑病级"	"耐盐性"	"育成年份"	"叶形"	"粗蛋白"	"蚜害病指"	"薯瘟抗性1"	"有效枝"	"耐贮性"	"熟期抗旱"	"烘干率"	"锈病指数"	"选育单位"	"产量"	"谷氨"	"谷"	"芽期耐盐"	"茎端茸毛"	"粒型"	"粗脂肪"	"叶片宽"	"熟性"	"基部分枝"	"赤斑病评价"	"叶色"	"褐斑病评价"
"24"	"--"	"Leguminosae(豆科)"	"K113"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"7.7"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"16.2"	"119"	"国外"	"--"	"26.6"	"--"	"L0000024"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"倒卵"	"--"	"--"	"白"	"7.07"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00136"	"丛生"	"美国"	"--"	"1.1"	"--"	"--"	"29.1"	"白"	"--"	"--"	"--"	"2.4"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"美国"	"80.3"																																																				
"25"	"--"	"Leguminosae(豆科)"	"K114"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"11.9"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"22.8"	"119"	"国外"	"--"	"22.0"	"--"	"L0000025"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"倒卵"	"--"	"--"	"白"	"7.07"	"--"	"Cicer(鹰嘴豆属)"	"--"	"--"	"丛生"	"美国"	"--"	"1.4"	"--"	"--"	"53.2"	"白"	"--"	"--"	"--"	"2.3"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"美国"	"77.2"																																																				
"26"	"0.24"	"Leguminosae(豆科)"	"K103"	"--"	"3.06"	"3.10"	"无限"	"1.37"	"0.81"	"4.5"	"17.85"	"0.51"	"2.12"	"0.86"	"国外"	"0.18"	"5.42"	"0.47"	"16.8"	"115"	"国外"	"49.68"	"14.7"	"0.72"	"L0000026"	"1.14"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"0.19"	"34.01"	"白"	"7.03"	"18.24"	"Cicer(鹰嘴豆属)"	"1.44"	"--"	"丛生"	"印度"	"0.75"	"1.5"	"0.86"	"15.67"	"35.2"	"白"	"--"	"0.84"	"1.36"	"2.1"	"0.92"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"美国"	"58.2"																																																				
"27"	"--"	"Leguminosae(豆科)"	"K89"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"9.5"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"22.6"	"115"	"国外"	"--"	"12.3"	"--"	"L0000027"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"倒卵"	"--"	"--"	"白"	"7.03"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00137"	"丛生"	"巴基斯坦"	"--"	"1.6"	"--"	"--"	"56.1"	"白"	"--"	"--"	"--"	"1.8"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"--"	"58.8"																																																				
"28"	"--"	"Leguminosae(豆科)"	"K164"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"8.4"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"36.8"	"115"	"国外"	"--"	"17.0"	"--"	"L0000028"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"白"	"7.03"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00138"	"丛生"	"土耳其"	"--"	"1.5"	"--"	"--"	"51.2"	"褐"	"--"	"--"	"--"	"2.1"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"土耳其"	"62.3"																																																				
"29"	"--"	"Leguminosae(豆科)"	"K166"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"8.9"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"32.0"	"112"	"国外"	"--"	"14.0"	"--"	"L0000029"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"白"	"6.30"	"--"	"Cicer(鹰嘴豆属)"	"--"	"--"	"丛生"	"土耳其"	"--"	"1.1"	"--"	"--"	"69.0"	"白"	"--"	"--"	"--"	"2.1"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"土耳其"	"64.8"																																																				
"30"	"0.27"	"Leguminosae(豆科)"	"K22"	"--"	"3.39"	"3.10"	"无限"	"1.54"	"0.89"	"6.9"	"19.46"	"0.49"	"2.34"	"0.94"	"国外"	"0.20"	"5.32"	"0.51"	"15.9"	"112"	"国外"	"46.31"	"18.0"	"0.76"	"L0000030"	"1.25"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"0.21"	"35.49"	"红"	"6.30"	"20.17"	"Cicer(鹰嘴豆属)"	"1.56"	"I2N00139"	"丛生"	"--"	"0.82"	"1.2"	"0.93"	"10.82"	"32.5"	"黄"	"--"	"0.91"	"1.47"	"1.6"	"0.99"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"ICARDA"	"38.1"																																																				
"31"	"--"	"Leguminosae(豆科)"	"K25"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"2.8"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"6.8"	"112"	"国外"	"--"	"14.3"	"--"	"L0000031"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"红"	"6.30"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00140"	"丛生"	"--"	"--"	"1.4"	"--"	"--"	"15.8"	"褐"	"--"	"--"	"--"	"1.6"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"ICARDA"	"35.3"																																																				
"32"	"0.27"	"Leguminosae(豆科)"	"K28"	"--"	"3.49"	"3.10"	"无限"	"1.76"	"0.92"	"2.1"	"20.20"	"0.55"	"2.41"	"0.95"	"国外"	"0.21"	"4.86"	"0.53"	"12.6"	"115"	"国外"	"46.01"	"19.5"	"0.78"	"L0000032"	"1.29"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"0.23"	"32.10"	"红"	"7.03"	"21.75"	"Cicer(鹰嘴豆属)"	"1.56"	"--"	"丛生"	"--"	"0.84"	"1.1"	"0.95"	"13.91"	"57.2"	"黑"	"--"	"0.92"	"1.53"	"2.0"	"1.01"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"ICARDA"	"46.0"																																																				
"33"	"--"	"Leguminosae(豆科)"	"K29"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"7.9"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"21.3"	"112"	"国外"	"--"	"12.5"	"--"	"L0000033"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"红"	"6.30"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00141"	"丛生"	"--"	"--"	"1.7"	"--"	"--"	"59.9"	"褐"	"--"	"--"	"--"	"2.0"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"ICARDA"	"45.0"																																																				
"34"	"--"	"Leguminosae(豆科)"	"K37"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"6.2"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"15.8"	"115"	"国外"	"--"	"9.4"	"--"	"L0000034"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"红"	"7.03"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00142"	"丛生"	"--"	"--"	"1.8"	"--"	"--"	"56.0"	"黄"	"--"	"--"	"--"	"1.7"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"ICARDA"	"43.7"																																																				
