"id"	"熟性"	"科名"	"品种名称"	"定植至始收"	"叶面蜡粉"	"球茎形状"	"株幅"	"省"	"球茎纵径"	"定植期"	"译名"	"肉质"	"单产"	"播种期"	"属名"	"统一编号"	"学名"	"抗逆性"	"繁种单位"	"叶片数"	"叶柄色"	"贮藏性"	"叶簇"	"叶色"	"抗虫性"	"球茎皮色"	"球茎横径"	"叶形"	"球茎水分"	"耐涝性"	"耐旱性"	"备注"	"抗病性"	"收获期"	"单位编号"	"耐寒性"	"品种来源"	"用途"	"种质库编号"	"栽培时期"	"种子千粒重"	"株高"	"球茎重"	"耐热性"
"25"	"晚"	"Cruciferae(十字花科)"	"本地苤兰"	"190"	"--"	"扁圆"	"--"	"青海"	"--"	"--"	"BEN DI PIE LAN"	"嫩脆"	"3750"	"--"	"Brassica(芸薹属)"	"V04B0031"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"耐寒耐贮"	"青海农科院园艺所"	"30.0"	"--"	"--"	"半直立"	"--"	"--"	"浅绿"	"--"	"--"	"少"	"--"	"--"	"春秋栽培"	"强"	"--"	"Ⅱ4B001"	"--"	"青海西宁市"	"熟腌"	"Ⅱ4B0018"	"4上-9中"	"--"	"58.0"	"2500"	"--"
"26"	"晚"	"Cruciferae(十字花科)"	"铜川苤兰"	"200"	"--"	"扁圆"	"--"	"陕西"	"--"	"--"	"TONG CHUAN PIE LAN"	"柔嫩"	"2000"	"--"	"Brassica(芸薹属)"	"V04B0034"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"陕西农科院蔬菜所"	"--"	"--"	"--"	"半直立"	"--"	"--"	"白绿"	"--"	"--"	"多"	"--"	"--"	"--"	"强"	"--"	"7a-35"	"--"	"陕西铜川市"	"生食生腌"	"Ⅱ4B0044"	"3上中-8中"	"--"	"55.0"	"3000"	"--"
"27"	"早"	"Cruciferae(十字花科)"	"捷克白"	"150"	"--"	"近圆"	"--"	"天津"	"--"	"--"	"JIE KE BAI"	"脆嫩"	"3500"	"--"	"Brassica(芸薹属)"	"V04B0035"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"耐热旱强"	"天津农科院蔬菜所"	"15.0"	"--"	"--"	"直立"	"--"	"--"	"浅绿"	"--"	"--"	"多"	"--"	"--"	"耐热,旱"	"--"	"--"	"4B-002"	"--"	"天津南郊区"	"生熟食"	"Ⅱ4B0008"	"3下4上-5下-6上"	"--"	"39.0"	"600"	"--"
"28"	"中晚"	"Cruciferae(十字花科)"	"球茎甘蓝"	"128"	"--"	"扁圆"	"--"	"新疆"	"--"	"--"	"QIU JING GAN LAN"	"脆嫩"	"4444"	"--"	"Brassica(芸薹属)"	"V04B0037"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"新疆农科院园艺所"	"11.0"	"--"	"--"	"半直立"	"--"	"--"	"浅绿"	"--"	"--"	"中"	"--"	"--"	"--"	"强"	"--"	"86-072"	"--"	"新疆哈密市引入"	"生食腌渍"	"Ⅱ4B0014"	"6上-10中"	"--"	"70.0"	"600"	"--"
"29"	"中"	"Cruciferae(十字花科)"	"天津苤兰"	"105"	"--"	"扁圆"	"--"	"云南"	"--"	"--"	"TIAN JIN PIE LAN"	"脆嫩"	"2400"	"--"	"Brassica(芸薹属)"	"V04B0039"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"较强"	"云南农科院园艺所"	"23.0"	"--"	"--"	"开展"	"--"	"--"	"浅绿"	"--"	"--"	"较多"	"--"	"--"	"--"	"较强"	"--"	"010#"	"--"	"云南昆明市"	"熟食"	"Ⅱ4B0002"	"7上-10上-10下"	"--"	"37.6"	"760"	"--"
"30"	"中"	"Cruciferae(十字花科)"	"自贡苤兰"	"120"	"--"	"圆柱"	"--"	"四川"	"--"	"--"	"ZI GONG PIE LAN"	"嫩脆"	"--"	"--"	"Brassica(芸薹属)"	"V04B0044"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"重庆市农科所"	"14.0"	"--"	"--"	"直立"	"--"	"--"	"绿"	"--"	"--"	"中"	"--"	"--"	"--"	"中"	"--"	"D3-001"	"--"	"四川自贡市"	"熟腌"	"Ⅱ4B0015"	"4上-8上"	"--"	"40.0"	"800"	"--"
"31"	"早"	"Cruciferae(十字花科)"	"捷克白"	"--"	"少"	"扁圆"	"50x50"	"河北"	"10.0"	"8中"	"JIE KE BAI"	"致密"	"30000"	"7中"	"Brassica(芸薹属)"	"V04B0045"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"河北农科院蔬菜所"	"15.0"	"浅绿"	"强"	"直立"	"绿"	"抗蚜虫中"	"白绿"	"14.0"	"长椭圆"	"多"	"中"	"中"	"--"	"抗腐烂病强"	"10下"	"苤7号"	"强"	"河北承德市"	"鲜食"	"Ⅱ4B0059"	"--"	"3.8"	"45.0"	"600"	"中"
"32"	"早"	"Cruciferae(十字花科)"	"同安早菜球"	"--"	"多"	"短圆球"	"60x70"	"福建"	"7.0"	"9上-11下"	"TONG AN ZAO CAI QIU"	"致密"	"37500"	"8上-10下"	"Brassica(芸薹属)"	"V04B0046"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"福州市蔬菜科研所"	"3.0"	"浅绿"	"强"	"半直立"	"深绿"	"强"	"浅紫"	"8.1"	"长卵圆"	"少"	"中"	"强"	"--"	"强"	"10上-1中"	"90-Bd-2"	"强"	"福州同安县"	"鲜食"	"Ⅱ4B0048"	"--"	"4.0"	"50.0"	"350"	"中"
"33"	"中"	"Cruciferae(十字花科)"	"青皮玉头"	"--"	"中"	"扁圆"	"56x56"	"内蒙"	"12.5"	"6中"	"QING PI YU TOU"	"致密"	"52500"	"5中"	"Brassica(芸薹属)"	"V04B0047"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"内蒙农科院蔬菜所"	"15.0"	"浅绿"	"中"	"半平展"	"浅绿"	"中"	"绿"	"19.0"	"长卵圆"	"中"	"中"	"中"	"--"	"强"	"9中"	"内4B009"	"中"	"内蒙临河市"	"鲜食"	"Ⅱ4B0077"	"--"	"4.0"	"50.0"	"1700"	"中"
"34"	"中"	"Cruciferae(十字花科)"	"沈丘苤兰"	"--"	"多"	"扁圆"	"28x33"	"河南"	"7.1"	"--"	"SHEN QIU PIE LAN"	"致密"	"30000"	"4中下"	"Brassica(芸薹属)"	"V04B0048"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"河南农科院园艺所"	"--"	"浅绿"	"强"	"半平展"	"深绿"	"--"	"浅绿"	"9.0"	"卵圆"	"--"	"中"	"中"	"--"	"--"	"8上中"	"4B0011"	"强"	"河南沈丘县"	"加工"	"Ⅱ4B0078"	"--"	"--"	"30.0"	"400"	"中"
"35"	"早"	"Cruciferae(十字花科)"	"马厂苤兰"	"--"	"中"	"扁圆"	"40x40"	"河北"	"8.0"	"8中"	"MA CHANG PIE LAN"	"致密"	"37500"	"7中"	"Brassica(芸薹属)"	"V04B0050"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"河北农科院蔬菜所"	"13.0"	"灰绿"	"强"	"半直立"	"灰绿"	"抗菜青虫中"	"浅绿"	"14.0"	"长椭圆"	"多"	"强"	"中"	"--"	"抗霜霉病强"	"10下"	"苤3号"	"强"	"河北青县"	"鲜食"	"Ⅱ4B0070"	"--"	"3.2"	"50.0"	"800"	"强"
"36"	"晚"	"Cruciferae(十字花科)"	"本地苤蓝"	"--"	"中"	"扁圆"	"84x80"	"新疆"	"11.0"	"6上"	"BEN DI PIE LAN"	"致密"	"97736"	"4下"	"Brassica(芸薹属)"	"V04B0051"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"新疆农科院园艺所"	"11.0"	"浅绿"	"强"	"--"	"绿"	"强"	"浅绿"	"19.0"	"长椭圆"	"中"	"中"	"中"	"--"	"强"	"6下"	"91-229"	"强"	"新疆库尔勒市"	"加工"	"Ⅱ4B0065"	"--"	"2.5"	"70.0"	"2400"	"强"
"37"	"中"	"Cruciferae(十字花科)"	"团苤兰"	"--"	"中"	"近圆"	"--"	"云南"	"7.2"	"11上"	"TUAN PIE LAN"	"--"	"23025"	"9中"	"Brassica(芸薹属)"	"V04B0052"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"云南农科院园艺所"	"24.0"	"白绿"	"--"	"半直立"	"灰绿"	"中"	"浅绿"	"8.3"	"--"	"--"	"--"	"--"	"--"	"中"	"2中"	"6#"	"--"	"云南下关市"	"鲜食"	"Ⅱ4B0061"	"--"	"--"	"40.6"	"360"	"--"
"38"	"中"	"Cruciferae(十字花科)"	"紫苤兰"	"--"	"多"	"近圆"	"30x30"	"辽宁"	"15.0"	"4中"	"ZI PIE LAN"	"致密"	"60000"	"2中"	"Brassica(芸薹属)"	"V04B0073"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"辽宁农科院园艺所"	"9.0"	"白绿"	"中"	"半直立"	"绿"	"抗小菜蛾中"	"紫"	"13.0"	"卵圆"	"中"	"中"	"中"	"--"	"中"	"6中"	"4BA1"	"中"	"辽宁沈阳市"	"加工"	"Ⅱ4B0095"	"--"	"3.0"	"20.0"	"1400"	"中"
"39"	"中"	"Cruciferae(十字花科)"	"苤兰"	"--"	"中"	"扁圆"	"42x42"	"内蒙"	"12.0"	"6中下"	"PIE LAN"	"致密"	"40000"	"3下"	"Brassica(芸薹属)"	"V04B0074"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"内蒙农科院蔬菜所"	"12.0"	"绿"	"中"	"直立"	"绿"	"--"	"绿"	"16.0"	"卵圆"	"多"	"中"	"中"	"--"	"强"	"9"	"内4B006"	"中"	"内蒙林西县"	"加工"	"Ⅱ4B0091"	"--"	"--"	"53.0"	"1700"	"中"
