"id"	"品种名称"	"叶形"	"叶色"	"种质库编号"	"叶缘"	"属名"	"繁种单位"	"单产"	"学名"	"耐旱性"	"叶柄宽"	"株幅"	"叶柄长"	"叶宽"	"叶裂刻"	"耐寒性"	"叶柄色"	"译名"	"单株重"	"备注"	"统一编号"	"抗逆性"	"抗虫性"	"种子千粒重"	"单位编号"	"播种期"	"科名"	"纤维含量"	"株型"	"熟性"	"叶长"	"叶面刺毛"	"叶面"	"耐热性"	"收获期"	"叶柄厚"	"定植期"	"省"	"品种来源"	"贮藏性"	"用途"	"耐涝性"	"株高"	"抗病性"	"栽培时期"	"品质"	"生长期"
"195"	"早白菜"	"倒卵"	"绿"	"Ⅱ2B1191"	"全缘"	"Brassica(芸薹属)"	"华中农业大学"	"--"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.0"	"30x29"	"8.0"	"11.0"	"无裂刻"	"--"	"白绿"	"ZAO BAI CAI"	"270"	"--"	"V02B1121"	"--"	"--"	"--"	"Ⅲ0201408"	"--"	"Cruciferae(十字花科)"	"--"	"半开展"	"--"	"27.0"	"少"	"平滑"	"--"	"--"	"0.3"	"--"	"湖北"	"湖北宜昌县"	"--"	"--"	"--"	"31.0"	"--"	"--"	"--"	"--"
"196"	"盘县散白菜"	"卵圆"	"绿"	"Ⅱ2B1251"	"波状"	"Brassica(芸薹属)"	"贵州农科院园艺所"	"--"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"3.7"	"40x41"	"15.0"	"17.0"	"无裂刻"	"中"	"白"	"PAN XIAN SAN BAI CAI"	"1250"	"--"	"V02B1122"	"--"	"中"	"--"	"2-B-22-27"	"8下"	"Cruciferae(十字花科)"	"中"	"半开展"	"中早"	"26.0"	"无"	"微皱"	"中"	"11下"	"0.5"	"10下"	"贵州"	"贵州盘县"	"中"	"熟食"	"中"	"23.0"	"中"	"--"	"中"	"--"
"197"	"赤水安徽白"	"卵圆"	"绿"	"Ⅱ2B1252"	"锯齿"	"Brassica(芸薹属)"	"贵州农科院园艺所"	"20000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"3.5"	"34x35"	"22.0"	"19.0"	"无裂刻"	"中"	"白绿"	"CHI SHUI AN HUI BAI"	"1000"	"--"	"V02B1123"	"--"	"中"	"--"	"2-B-22-28"	"8下"	"Cruciferae(十字花科)"	"少"	"开展"	"中早"	"34.0"	"少"	"平滑"	"弱"	"11"	"0.5"	"10中"	"贵州"	"贵州赤水市"	"中"	"熟食"	"中"	"20.0"	"中"	"--"	"中"	"--"
"198"	"兴义白菜"	"卵圆"	"绿"	"Ⅱ2B1253"	"锯齿"	"Brassica(芸薹属)"	"贵州农科院园艺所"	"--"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"3.7"	"45x47"	"16.0"	"21.0"	"无裂刻"	"中"	"白绿"	"XING YI BAI CAI"	"1300"	"--"	"V02B1124"	"--"	"中"	"--"	"2-B-22-29"	"8下"	"Cruciferae(十字花科)"	"中"	"开展"	"中"	"28.0"	"无"	"微皱"	"中"	"11"	"0.5"	"10中"	"贵州"	"贵州兴义市"	"中"	"熟食"	"中"	"29.0"	"中"	"--"	"下"	"--"
"199"	"扭藤白菜"	"花叶"	"浅绿"	"Ⅱ2B1149"	"锯齿"	"Brassica(芸薹属)"	"浙江农科院园艺所"	"30000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"弱"	"1.5"	"40x45"	"30.0"	"1.5"	"全裂"	"弱"	"白"	"NIU TENG BAI CAI"	"650"	"--"	"V02B1132"	"--"	"强"	"--"	"04080"	"8下-9下"	"Cruciferae(十字花科)"	"多"	"直立"	"中早"	"15.0"	"无"	"平滑"	"中"	"11中-12中"	"1.3"	"9下-10下"	"浙江"	"浙江临海市"	"中"	"腌制"	"弱"	"45.0"	"强"	"--"	"上"	"--"
"200"	"禹县黑白菜"	"卵圆"	"绿"	"Ⅱ2B1158"	"全缘"	"Brassica(芸薹属)"	"河南农科院园艺所"	"45000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"--"	"--"	"--"	"--"	"浅裂"	"强"	"白绿"	"YU XIAN HEI BAI CAI"	"100"	"--"	"V02B1133"	"--"	"--"	"--"	"1B0154"	"9上"	"Cruciferae(十字花科)"	"多"	"半直立"	"中晚"	"--"	"中"	"微皱"	"弱"	"4上"	"--"	"10中"	"河南"	"河南禹县"	"强"	"熟食"	"中"	"32.5"	"--"	"--"	"下"	"--"
"201"	"长葛黑白菜"	"卵圆"	"深绿"	"Ⅱ2B1159"	"全缘"	"Brassica(芸薹属)"	"河南农科院园艺所"	"47500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"--"	"--"	"--"	"--"	"无裂刻"	"强"	"浅绿"	"CHANG GE HEI BAI CAI"	"150"	"--"	"V02B1134"	"--"	"--"	"--"	"1B0155"	"9上"	"Cruciferae(十字花科)"	"中"	"半直立"	"中晚"	"--"	"中"	"皱"	"弱"	"4上"	"--"	"10中"	"河南"	"河南长葛县"	"强"	"熟食"	"弱"	"30.0"	"--"	"--"	"中"	"--"
"202"	"郾城黑白菜"	"卵圆"	"绿"	"Ⅱ2B1160"	"全缘"	"Brassica(芸薹属)"	"河南农科院园艺所"	"47500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"--"	"--"	"--"	"--"	"无裂刻"	"强"	"白绿"	"YAN CHENG HEI BAI CAI"	"125"	"--"	"V02B1135"	"--"	"--"	"--"	"1B0156"	"9上"	"Cruciferae(十字花科)"	"中"	"半开展"	"中"	"--"	"中"	"微皱"	"弱"	"4上"	"--"	"10中"	"河南"	"河南郾城县"	"强"	"熟食"	"中"	"32.0"	"--"	"--"	"中"	"--"
"203"	"舞阳黑白菜"	"卵圆"	"深绿"	"Ⅱ2B1161"	"全缘"	"Brassica(芸薹属)"	"河南农科院园艺所"	"60000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"强"	"--"	"--"	"--"	"--"	"浅裂"	"强"	"浅绿"	"WU YANG HEI BAI CAI"	"175"	"--"	"V02B1136"	"--"	"--"	"--"	"1B0157"	"9上"	"Cruciferae(十字花科)"	"多"	"半直立"	"中晚"	"--"	"中"	"微皱"	"弱"	"4上"	"--"	"10中"	"河南"	"河南舞阳县"	"强"	"熟食"	"中"	"35.0"	"--"	"--"	"中"	"--"
"204"	"抗黑腐病CC6"	"近圆"	"浅绿"	"Ⅱ2B1186"	"全缘"	"Brassica(芸薹属)"	"中国农科院蔬菜所"	"34500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"中"	"3.5"	"43x42.5"	"14.0"	"18.5"	"无裂刻"	"中"	"白绿"	"KANG HEI FU BING CC6"	"440"	"--"	"V02B1175"	"--"	"抗蚜虫中"	"3.00"	"G71"	"--"	"Cruciferae(十字花科)"	"中"	"半开展"	"中早"	"26.0"	"无"	"微皱"	"中"	"--"	"0.4"	"--"	"国外"	"中蔬引自美国"	"强"	"--"	"中"	"25.5"	"抗黑腐病强"	"--"	"中"	"--"
