"id"	"品种名称"	"叶形"	"叶色"	"种质库编号"	"叶缘"	"属名"	"繁种单位"	"单产"	"学名"	"耐旱性"	"叶柄宽"	"株幅"	"叶柄长"	"叶宽"	"叶裂刻"	"耐寒性"	"叶柄色"	"译名"	"单株重"	"备注"	"统一编号"	"抗逆性"	"抗虫性"	"种子千粒重"	"单位编号"	"播种期"	"科名"	"纤维含量"	"株型"	"熟性"	"叶长"	"叶面刺毛"	"叶面"	"耐热性"	"收获期"	"叶柄厚"	"定植期"	"省"	"品种来源"	"贮藏性"	"用途"	"耐涝性"	"株高"	"抗病性"	"栽培时期"	"品质"	"生长期"
"1"	"中桩白"	"椭圆"	"浅绿"	"Ⅱ2B0002"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"3125"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"ZHONG ZHUANG BAI"	"1250"	"--"	"V02B0001"	"较耐热"	"--"	"--"	"Bc2(81)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽安庆市"	"--"	"熟食腌制"	"--"	"52.0"	"中"	"(7中下-8中)-(9中-10上)"	"--"	"60"
"2"	"绿边菊花心"	"近圆"	"浅绿"	"Ⅱ2B0107"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"8.0"	"--"	"--"	"--"	"白"	"LU BIAN JU HUA XIN"	"300"	"--"	"V02B0002"	"强"	"--"	"--"	"Bc24-(86)"	"--"	"Cruciferae(十字花科)"	"--"	"半塌地"	"--"	"--"	"--"	"中皱"	"--"	"--"	"0.4"	"--"	"安徽"	"安徽蚌埠市"	"--"	"熟食"	"--"	"20.0"	"强"	"9上-12下"	"--"	"100"
"3"	"二笨子"	"近圆"	"深绿"	"Ⅱ2B0117"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"ER BEN ZI"	"500"	"--"	"V02B0003"	"抗寒"	"--"	"--"	"Bc31(85)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽蚌埠市"	"--"	"熟食"	"--"	"30.0"	"--"	"(8上-9下)-(次年2中下)"	"--"	"165"
"4"	"大头白"	"卵圆"	"浅绿"	"Ⅱ2B0052"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"DA TOU BAI"	"350"	"--"	"V02B0004"	"耐热"	"--"	"--"	"Bc12(85)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽巢县"	"--"	"熟食腌制"	"--"	"32.0"	"强"	"9-11"	"--"	"60"
"5"	"宝塔乌"	"倒卵圆"	"浅绿"	"Ⅱ2B0530"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"1625"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"BAO TA WU"	"350"	"--"	"V02B0005"	"耐寒"	"--"	"--"	"BC47(87)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽肥东县"	"--"	"熟食"	"--"	"28.0"	"较强"	"9上-12下"	"--"	"110"
"6"	"黄心乌"	"椭圆"	"深绿"	"Ⅱ2B0118"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"HUANG XIN WU"	"300"	"极耐寒"	"V02B0006"	"极耐寒"	"--"	"--"	"Bc32(86)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽凤台县"	"--"	"熟食"	"--"	"30.0"	"强"	"9-(12-次年2)"	"--"	"120"
"7"	"马蹄黄"	"近圆"	"浅绿"	"Ⅱ2B0108"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"8.0"	"--"	"--"	"--"	"白"	"MA TI HUANG"	"250"	"极耐寒"	"V02B0007"	"极耐寒"	"--"	"--"	"Bc26(85)"	"--"	"Cruciferae(十字花科)"	"--"	"半塌地"	"--"	"--"	"--"	"中皱"	"--"	"--"	"0.4"	"--"	"安徽"	"安徽阜南县"	"--"	"熟食"	"--"	"18.0"	"强"	"9上-2上"	"--"	"140"
"8"	"阜阳乌白菜"	"近圆"	"深绿"	"Ⅱ2B0008"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"1750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"6.0"	"--"	"--"	"--"	"白"	"FU YANG WU BAI CAI"	"700"	"--"	"V02B0008"	"耐寒"	"--"	"--"	"Bc10(81)"	"--"	"Cruciferae(十字花科)"	"--"	"半塌地"	"--"	"--"	"--"	"中皱"	"--"	"--"	"0.5"	"--"	"安徽"	"安徽阜阳县"	"--"	"熟食"	"--"	"35.0"	"强"	"9中-12下"	"--"	"100"
"9"	"春不老"	"椭圆"	"绿"	"Ⅱ2B0007"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"1250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"绿白"	"CHUN BU LAO"	"500"	"--"	"V02B0009"	"强"	"--"	"--"	"Bc6(81)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"50.0"	"强"	"10上-次年4上"	"--"	"150"
"10"	"小叶菜"	"近圆"	"绿"	"Ⅱ2B0004"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"XIAO YE CAI"	"375"	"耐热"	"V02B0010"	"耐热"	"--"	"--"	"Bc3(81)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"65.0"	"强"	"8中-11上"	"--"	"95"
"11"	"洋白菜"	"倒卵圆"	"浅绿"	"Ⅱ2B0057"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"3000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"YANG BAI CAI"	"550"	"耐寒"	"V02B0011"	"很耐寒"	"--"	"--"	"Bc17(86)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"36.0"	"强"	"10上-次年4上"	"--"	"180"
"12"	"矮秸白"	"倒卵圆"	"绿"	"Ⅱ2B0053"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2875"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"AI JIE BAI"	"1000"	"--"	"V02B0012"	"较耐热"	"--"	"--"	"Bc13(85)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"45.0"	"强"	"(7下-9上)-(9中-11下)"	"--"	"55"
"13"	"三月慢"	"椭圆"	"绿"	"Ⅱ2B0155"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"4500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"浅绿"	"SAN YUE MAN"	"500"	"引自上海"	"V02B0013"	"较耐寒"	"--"	"--"	"Bc34(85)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"30.0"	"强"	"9下10上-(次年2-3)"	"--"	"145"
"14"	"黄心乌"	"倒卵圆"	"深绿"	"Ⅱ2B0006"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"3000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"HUANG XIN WU"	"675"	"叶质柔嫩,味佳"	"V02B0014"	"耐寒"	"--"	"--"	"Bc5(81)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"28.0"	"较强"	"8下9上-(12下-次年1下)"	"--"	"115"
"15"	"柴乌"	"卵圆"	"深绿"	"Ⅱ2B0054"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"青或白"	"CHAI WU"	"325"	"耐寒"	"V02B0015"	"很耐寒"	"--"	"--"	"Bc14(85)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"38.0"	"强"	"10上中-次年4上中"	"--"	"170"
"16"	"四月慢"	"椭圆"	"深绿"	"Ⅱ2B0063"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"3250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"深绿"	"SI YUE MAN"	"725"	"引自江苏"	"V02B0016"	"耐寒"	"--"	"--"	"Bc7(85)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"27.5"	"强"	"10-(次年3-4)"	"--"	"155"
"17"	"迟四叶青"	"卵圆"	"深绿"	"Ⅱ2B0594"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"1500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"浅绿"	"CHI SI YE QING"	"550"	"--"	"V02B0017"	"耐寒"	"--"	"--"	"BC67(89)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"35.0"	"强"	"10下-次4下"	"--"	"180"
"18"	"四月慢"	"近圆"	"绿"	"Ⅱ2B0591"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"4000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"深绿"	"SI YUE MAN"	"750"	"引自上海"	"V02B0018"	"耐寒"	"--"	"--"	"BC7(85)"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥市"	"--"	"熟食"	"--"	"32.0"	"强"	"9下10上-次年4上中"	"--"	"195"
"19"	"矮秸白"	"阔倒卵"	"绿"	"Ⅱ2B0243"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"AI JIE BAI"	"550"	"--"	"V02B0019"	"耐寒"	"--"	"--"	"Bc39(80)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽合肥县"	"--"	"熟食"	"--"	"26.0"	"强"	"8上-10上"	"--"	"60"
"20"	"沙沟小青菜"	"卵圆"	"绿"	"Ⅱ2B0510"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"1000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"7.5"	"--"	"--"	"--"	"白"	"SHA GOU XIAO QING CAI"	"200"	"--"	"V02B0020"	"强"	"--"	"--"	"Bc59(88)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.5"	"--"	"安徽"	"安徽怀远县"	"--"	"熟食"	"--"	"23.0"	"较强"	"9上-12上"	"--"	"90"
"21"	"怀远白乌"	"卵圆"	"深绿"	"Ⅱ2B0509"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"HUAI YUAN BAI WU"	"550"	"心叶白色"	"V02B0021"	"强"	"--"	"--"	"Bc58(88)"	"--"	"Cruciferae(十字花科)"	"--"	"半塌地"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽怀远县"	"--"	"熟食"	"--"	"35.0"	"较强"	"8下-次年1上"	"--"	"120"
"22"	"小架黑乌"	"椭圆"	"深绿"	"Ⅱ2B0060"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"绿白"	"XIAO JIA HEI WU"	"350"	"--"	"V02B0022"	"强"	"--"	"--"	"Bc21(81)"	"--"	"Cruciferae(十字花科)"	"--"	"平展"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽淮南市"	"--"	"熟食"	"--"	"20.0"	"较强"	"8上中-11上中"	"--"	"90"
"23"	"大架黑乌"	"椭圆"	"深绿"	"Ⅱ2B0059"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"3000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"DA JIA HEI WU"	"400"	"--"	"V02B0023"	"耐寒"	"--"	"--"	"Bc20(81)"	"--"	"Cruciferae(十字花科)"	"--"	"平展"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽淮南市"	"--"	"熟食"	"--"	"20.0"	"强"	"9中-(12下-次年2中)"	"--"	"125"
"24"	"黄心乌"	"卵圆"	"深绿"	"Ⅱ2B0003"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"HUANG XIN WU"	"600"	"--"	"V02B0024"	"耐寒"	"--"	"--"	"Bc4(81)"	"--"	"Cruciferae(十字花科)"	"--"	"平展"	"--"	"--"	"--"	"中皱"	"--"	"--"	"--"	"--"	"安徽"	"安徽淮南市"	"--"	"熟食"	"--"	"16.5"	"较强"	"9上-12中"	"--"	"85"
"25"	"二月青"	"倒卵圆"	"绿"	"Ⅱ2B0058"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"3000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"绿白"	"ER YUE QING"	"1000"	"引自浙江,品质上"	"V02B0072"	"耐寒"	"--"	"--"	"Bc18(81)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽歙县"	"--"	"熟食"	"--"	"30.0"	"强"	"9下10上-11下次年2中"	"--"	"70"
"26"	"歙县高杆白"	"卵圆"	"深绿"	"Ⅱ2B0166"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"浅绿"	"SHE XIAN GAO GAN BAI"	"750"	"--"	"V02B0073"	"耐热"	"--"	"--"	"Bc23(86)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"安徽"	"安徽歙县"	"--"	"腌制"	"--"	"60.0"	"强"	"8上-10上中"	"--"	"80"
"27"	"苏州青"	"卵圆"	"浅绿"	"Ⅱ2B0598"	"--"	"Brassica(芸薹属)"	"安徽农科院园艺所"	"2250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"绿"	"SU ZHOU QING"	"350"	"引自江苏"	"V02B0074"	"强"	"--"	"--"	"BC71(89)"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"江苏"	"江苏苏州"	"--"	"熟食"	"--"	"30.0"	"强"	"8上-10上"	"--"	"60"
"28"	"白帮油菜"	"椭圆"	"绿"	"Ⅱ2B0311"	"--"	"Brassica(芸薹属)"	"北京蔬菜研究中心"	"2250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白"	"BAI BANG YOU CAI"	"750"	"叶质柔嫩,农家品种"	"V02B0075"	"稍耐寒"	"--"	"--"	"B309"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"北京"	"北京"	"--"	"熟食"	"--"	"40.0"	"--"	"(3中.8上)-(5上.10下-11中)"	"--"	"55"
"29"	"青帮油菜"	"近圆"	"深绿"	"Ⅱ2B0533"	"--"	"Brassica(芸薹属)"	"北京蔬菜研究中心"	"4500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.0"	"--"	"20.0"	"--"	"--"	"--"	"浅绿"	"QING BANG YOU CAI"	"--"	"--"	"V02B0076"	"耐热"	"--"	"--"	"B308"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.2"	"--"	"北京"	"北京"	"--"	"熟食"	"--"	"35.0"	"--"	"(3上.8上)-(5上.10下-11中)"	"--"	"--"
"30"	"青帮瓢儿白白菜"	"椭圆"	"绿"	"Ⅱ2B0574"	"--"	"Brassica(芸薹属)"	"成都市第一农科所"	"2000"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"5.5"	"--"	"9.0"	"--"	"--"	"--"	"浅绿"	"QING BANG PIAO ER BAI BAI CAI"	"500"	"品质中,早熟"	"V02B0085"	"耐寒耐热"	"--"	"--"	"C3-052"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.4"	"--"	"四川"	"四川成都市"	"--"	"熟食"	"--"	"32.5"	"抗病虫"	"(7-8)-(9-10)"	"--"	"50"
"31"	"三月白白菜"	"椭圆"	"绿"	"Ⅱ2B0562"	"--"	"Brassica(芸薹属)"	"成都市第一农科所"	"2100"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"7.3"	"--"	"7.6"	"--"	"--"	"--"	"白"	"SAN YUE BAI BAI CAI"	"480"	"有叶翼"	"V02B0086"	"中"	"--"	"--"	"C2-020"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.9"	"--"	"四川"	"四川成都市"	"--"	"熟食"	"--"	"40.0"	"--"	"9下-11上-(次年3下-4上)"	"--"	"--"
"32"	"瓢儿白"	"椭圆"	"绿"	"Ⅱ2B0436"	"--"	"Brassica(芸薹属)"	"成都市第一农科所"	"2100"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"6.0"	"--"	"17.2"	"--"	"--"	"--"	"白绿"	"PIAO ER BAI"	"425"	"--"	"V02B0087"	"中"	"--"	"--"	"C3-045"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"1.1"	"--"	"四川"	"四川达县市"	"--"	"熟食"	"--"	"38.0"	"--"	"8-11"	"--"	"--"
"33"	"高桩瓢儿白"	"椭圆"	"绿"	"Ⅱ2B0423"	"--"	"Brassica(芸薹属)"	"成都市第一农科所"	"650"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"4.4"	"--"	"12.4"	"--"	"--"	"--"	"白绿"	"GAO ZHUANG PIAO ER BAI"	"210"	"--"	"V02B0088"	"中"	"--"	"--"	"C3-039"	"--"	"Cruciferae(十字花科)"	"--"	"直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.8"	"--"	"四川"	"四川大足县"	"--"	"熟食"	"--"	"38.0"	"--"	"8-12"	"--"	"--"
"34"	"白菜"	"椭圆"	"绿"	"Ⅱ2B0425"	"--"	"Brassica(芸薹属)"	"成都市第一农科所"	"--"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"白绿"	"BAI CAI"	"725"	"似大白菜"	"V02B0089"	"强"	"--"	"--"	"C2-014"	"--"	"Cruciferae(十字花科)"	"--"	"--"	"--"	"--"	"--"	"微皱"	"--"	"--"	"--"	"--"	"四川"	"四川大足县"	"--"	"--"	"--"	"48.0"	"--"	"--"	"--"	"--"
"35"	"柘荣白杆小白菜"	"卵圆"	"浅绿"	"Ⅱ2B0474"	"--"	"Brassica(芸薹属)"	"福州市蔬菜科研所"	"1375"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"1.5"	"--"	"17.0"	"--"	"--"	"--"	"浅绿"	"ZHE RONG BAI GAN XIAO BAI CAI"	"47"	"--"	"V02B0168"	"中"	"--"	"--"	"89-P-14"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.4"	"--"	"福建"	"福建柘荣县"	"--"	"熟食"	"--"	"32.0"	"强"	"(8上.9中)-(11中.1中)"	"--"	"43"
"36"	"柘荣青菜选"	"匙形"	"绿"	"Ⅱ2B0471"	"--"	"Brassica(芸薹属)"	"福州市蔬菜科研所"	"1125"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"1.4"	"--"	"14.0"	"--"	"--"	"--"	"深绿"	"ZHE RONG QING CAI XUAN"	"22"	"--"	"V02B0169"	"中"	"--"	"--"	"89-P-23-1"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.6"	"--"	"福建"	"福建柘荣县"	"--"	"熟食"	"--"	"39.0"	"强"	"(6下.9下)-(10中.10)"	"--"	"70"
"37"	"寿宁大青菜"	"椭圆"	"深绿"	"Ⅱ2B0599"	"--"	"Brassica(芸薹属)"	"福州市蔬菜科研所"	"825"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"1.1"	"--"	"7.0"	"--"	"--"	"--"	"深绿"	"SHOU NING DA QING CAI"	"220"	"--"	"V02B0170"	"中"	"--"	"--"	"90-P-24"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"平滑"	"--"	"--"	"0.3"	"--"	"福建"	"福州寿宁"	"--"	"熟食"	"--"	"17.0"	"强"	"(8中.10中)-(1.3中)"	"--"	"65"
"38"	"小白菜"	"椭圆"	"黄绿"	"Ⅱ2B0156"	"--"	"Brassica(芸薹属)"	"甘肃农科院蔬菜所"	"1375"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.0"	"--"	"18.0"	"--"	"--"	"--"	"绿白"	"XIAO BAI CAI"	"68"	"--"	"V02B0171"	"耐寒耐热"	"--"	"--"	"甘Ⅱ2B001"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.5"	"--"	"甘肃"	"甘肃兰州市"	"--"	"熟食"	"--"	"30.0"	"强"	"(3上-4中)-5上"	"--"	"60"
"39"	"箭杆白菜"	"长倒卵"	"浅绿"	"Ⅱ2B0157"	"--"	"Brassica(芸薹属)"	"甘肃农科院蔬菜所"	"3250"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"4.7"	"--"	"34.0"	"--"	"--"	"--"	"浅绿"	"JIAN GAN BAI CAI"	"460"	"微苦宜腌渍"	"V02B0172"	"耐寒耐热"	"--"	"--"	"甘Ⅱ2B002"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"--"	"--"	"--"	"0.7"	"--"	"甘肃"	"甘肃兰州市"	"--"	"熟食腌制"	"--"	"53.0"	"强"	"(3上-4中)-5上"	"--"	"70"
"40"	"大根白菜"	"长卵"	"浅黄绿"	"Ⅱ2A0752"	"--"	"Brassica(芸薹属)"	"甘肃农科院蔬菜所"	"2500"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"3.5"	"--"	"12.0"	"--"	"--"	"--"	"绿白"	"DA GEN BAI CAI"	"450"	"主根粗4cm叶质较粗"	"V02B0175"	"较耐寒、耐旱弱"	"--"	"--"	"甘Ⅱ2B003"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"--"	"--"	"--"	"0.6"	"--"	"甘肃"	"甘肃武威市"	"--"	"熟食腌制"	"--"	"56.0"	"强"	"(3下.8中)-(5下.10下)"	"--"	"70"
"41"	"下川赤叶白菜"	"--"	"黄绿"	"Ⅱ2A0533"	"--"	"Brassica(芸薹属)"	"广东农科院经作所"	"750"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"绿白"	"XIA CHUAN CHI YE BAI CAI"	"--"	"--"	"V02B0176"	"--"	"--"	"--"	"G4-79"	"--"	"Cruciferae(十字花科)"	"--"	"--"	"--"	"--"	"--"	"平滑"	"--"	"--"	"--"	"--"	"广东"	"广东台山县"	"--"	"--"	"--"	"20.5"	"--"	"5-7上"	"--"	"50"
"42"	"奶白"	"近圆"	"深绿"	"Ⅱ2B0223"	"--"	"Brassica(芸薹属)"	"广东农科院经作所"	"875"	"Brassica campestris L. ssp. chinensis var. communis(白菜)"	"--"	"--"	"--"	"4.6"	"--"	"--"	"--"	"白"	"NAI BAI"	"125"	"--"	"V02B0177"	"耐寒强"	"--"	"--"	"G4-80"	"--"	"Cruciferae(十字花科)"	"--"	"半直立"	"--"	"--"	"--"	"微皱"	"--"	"--"	"0.8"	"--"	"广东"	"广东澄海县"	"--"	"熟食"	"--"	"20.0"	"中"	"(9上-10下)-(10上-12下)"	"--"	"40"
