"id"	"科名"	"可溶固形物"	"品种名称"	"原产地"	"省"	"外观评价"	"汁液"	"内质评价"	"总糖％"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"肉色"	"果实成熟期"	"肉质"	"单果重G"	"成熟期评价"	"总酸％"	"色泽"	"学名"	"统一编号"	"译名"	"果形"	"属名"	"核粘离性"	"发育期D"
"44"	"Rosaceae(蔷薇科)"	"18.4"	"冰糖"	"欧洲"	"国外"	"中"	"--"	"上"	"10.8"	"3.3"	"酸甜"	"可糖极高三倍体"	"很小"	"黄绿"	"9.05"	"松脆"	"20.5"	"极晚"	"0.6"	"粉红"	"Prunus domestica L.(欧洲李)"	"LZC21006"	"BING TANG"	"长圆"	"Prunus(李属)"	"半离"	"120"
"45"	"Rosaceae(蔷薇科)"	"12.3"	"红肉李"	"日本"	"国外"	"上"	"--"	"中上"	"9.0"	"4.4"	"甜酸"	"早熟优质"	"大"	"紫红"	"8.11"	"硬脆"	"61.1"	"晚"	"1.2"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LZC30504"	"HONG ROU LI"	"卵圆"	"Prunus(李属)"	"半离"	"105"
"46"	"Rosaceae(蔷薇科)"	"12.1"	"意李三号"	"意大利"	"国外"	"中"	"--"	"中"	"10.0"	"4.4"	"甜酸"	"极早熟晚花"	"中小"	"淡黄"	"7.05"	"松软"	"41.0"	"极早"	"0.9"	"兰"	"Prunus cocomila Ten.(意大利李)"	"LZC30908"	"YI LI SAN HAO"	"椭圆"	"Prunus(李属)"	"离"	"61"
"47"	"Rosaceae(蔷薇科)"	"16.8"	"金琥珀"	"美国"	"国外"	"中"	"--"	"上"	"11.7"	"9.7"	"甜香"	"极早熟高糖VC极高"	"小"	"淡黄"	"7.02"	"松软"	"38.8"	"极早"	"1.1"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LZC31502"	"JIN HU PO"	"椭圆"	"Prunus(李属)"	"粘"	"67"
"48"	"Rosaceae(蔷薇科)"	"16.2"	"斯顿来"	"美国"	"国外"	"上"	"--"	"上"	"9.4"	"3.0"	"酸甜"	"六倍体高糖"	"很小"	"绿黄"	"9.07"	"松脆"	"27.2"	"极晚"	"0.8"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LZC20903"	"SI DUN LAI"	"长圆"	"Prunus(李属)"	"半离"	"120"
"49"	"Rosaceae(蔷薇科)"	"16.2"	"甘李"	"欧洲"	"国外"	"中"	"--"	"中"	"8.6"	"2.4"	"甜"	"六倍体高糖"	"小"	"淡黄"	"8.25"	"松软"	"31.8"	"极晚"	"1.3"	"绿黄"	"Prunus domestica L.(欧洲李)"	"LZC21401"	"GAN LI"	"圆"	"Prunus(李属)"	"离"	"115"
"50"	"Rosaceae(蔷薇科)"	"15.2"	"李三"	"意大利"	"国外"	"上"	"--"	"上"	"8.4"	"3.8"	"甜酸"	"美观质优中熟"	"小"	"淡黄"	"7.29"	"松脆"	"42.3"	"中"	"0.9"	"粉红"	"Prunus cocomila Ten.(意大利李)"	"LZC30305"	"LI SAN"	"长圆"	"Prunus(李属)"	"离"	"100"
"51"	"Rosaceae(蔷薇科)"	"14.4"	"李子红"	"日本"	"国外"	"中"	"--"	"上"	"7.8"	"5.4"	"甜酸"	"酸极低"	"较小"	"紫红"	"8.09"	"松软"	"40.9"	"中"	"0.9"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LZC10801"	"LI ZI HONG"	"圆"	"Prunus(李属)"	"粘"	"100"
"52"	"Rosaceae(蔷薇科)"	"9.1"	"美晚生"	"加拿大"	"国外"	"下"	"--"	"下"	"7.6"	"4.0"	"酸涩"	"--"	"很小"	"橙黄"	"8.05"	"硬韧"	"24.2"	"中"	"1.4"	"粉红"	"Prunus nigra Ait.(加拿大李)"	"LZC20707"	"MEI WAN SHENG"	"椭圆"	"Prunus(李属)"	"半离"	"95"
"53"	"Rosaceae(蔷薇科)"	"13.4"	"早生月光"	"日本"	"国外"	"上"	"--"	"上"	"7.9"	"4.7"	"酸甜"	"大果早熟品质上"	"大"	"淡黄"	"7.20"	"松脆"	"69.3"	"早"	"1.0"	"粉红"	"Prunus salicina Lindl.(中国李)"	"LZC30503"	"ZAO SHENG YUE GUANG"	"卵圆"	"Prunus(李属)"	"粘"	"90"
"54"	"Rosaceae(蔷薇科)"	"10.8"	"Freedom"	"澳大利亚"	"国外"	"上"	"--"	"中上"	"5.5"	"0.8"	"甜酸"	"不抗病,丰产大果"	"很大"	"红"	"8.10"	"松脆"	"79.8"	"中"	"1.3"	"兰"	"Prunus salicina Lindl.(中国李)"	"LZC31107"	"Freedom"	"扁圆"	"Prunus(李属)"	"粘"	"102"
"55"	"Rosaceae(蔷薇科)"	"12.2"	"意大利4号"	"意大利"	"国外"	"上"	"--"	"中上"	"7.1"	"5.8"	"酸甜"	"早熟丰产"	"中"	"淡黄"	"7.20"	"松软"	"58.3"	"早"	"1.7"	"黄"	"Prunus cocomila Ten.(意大利李)"	"LZC31008"	"YI DA LI 4 HAO"	"扁圆"	"Prunus(李属)"	"粘"	"89"
"56"	"Rosaceae(蔷薇科)"	"10.2"	"意大利5号"	"意大利"	"国外"	"上"	"--"	"中上"	"9.7"	"5.1"	"酸甜香"	"--"	"中"	"红"	"7.31"	"松脆"	"51.0"	"中"	"1.7"	"紫红"	"Prunus cocomila Ten.(意大利李)"	"LZC31106"	"YI DA LI 5 HAO"	"心脏"	"Prunus(李属)"	"粘"	"98"
"57"	"Rosaceae(蔷薇科)"	"11.6"	"意大利6号"	"意大利"	"国外"	"上"	"--"	"中"	"3.9"	"3.4"	"甜酸"	"--"	"大"	"淡黄"	"8.07"	"松软"	"63.7"	"中"	"1.0"	"红"	"Prunus cocomila Ten.(意大利李)"	"LZC31108"	"YI DA LI 6 HAO"	"圆"	"Prunus(李属)"	"离"	"105"
"58"	"Rosaceae(蔷薇科)"	"13.0"	"Empress"	"美国"	"国外"	"上"	"--"	"中"	"9.2"	"3.1"	"甜酸"	"极晚熟果大丰产抗"	"很大"	"黄"	"9.20"	"松脆"	"74.0"	"极晚"	"0.8"	"兰"	"Prunus salicina Lindl.(中国李)"	"LZC31106"	"Empress"	"椭圆"	"Prunus(李属)"	"粘"	"140"
"59"	"Rosaceae(蔷薇科)"	"14.2"	"意大利9号"	"意大利"	"国外"	"中"	"--"	"中上"	"8.1"	"4.5"	"甜"	"丰产"	"较小"	"黄"	"8.25"	"松软"	"44.2"	"极晚"	"0.7"	"兰"	"Prunus cocomila Ten.(意大利李)"	"LZC31108"	"YI DA LI 9 HAO"	"椭圆"	"Prunus(李属)"	"半离"	"125"
"60"	"Rosaceae(蔷薇科)"	"15.5"	"意大利10号"	"意大利"	"国外"	"上"	"--"	"中上"	"9.9"	"4.7"	"甜酸"	"极晚熟丰产"	"中"	"淡黄"	"9.10"	"硬韧"	"55.9"	"极晚"	"1.1"	"紫红"	"Prunus cocomila Ten.(意大利李)"	"LZC31208"	"YI DA LI 10 HAO"	"椭圆"	"Prunus(李属)"	"半离"	"130"
"61"	"Rosaceae(蔷薇科)"	"14.6"	"Stanleg"	"美国"	"国外"	"中上"	"--"	"中"	"7.5"	"4.8"	"酸甜"	"极晚熟丰产"	"较小"	"淡绿"	"9.10"	"松脆"	"43.7"	"极晚"	"0.7"	"兰"	"Prunus salicina Lindl.(中国李)"	"LZC31206"	"Stanleg"	"椭圆"	"Prunus(李属)"	"离"	"130"
"62"	"Rosaceae(蔷薇科)"	"15.4"	"BY-68-119"	"美国"	"国外"	"中"	"--"	"上"	"7.9"	"14.7"	"酸甜"	"质优VC极高"	"较小"	"红"	"7.22"	"松软"	"44.0"	"早"	"1.1"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LZC31502"	"BY-68-119"	"心脏"	"Prunus(李属)"	"粘"	"90"
"63"	"Rosaceae(蔷薇科)"	"14.0"	"87M-4600"	"美国"	"国外"	"中"	"--"	"中"	"4.8"	"6.8"	"酸甜"	"果大"	"大"	"黄"	"8.15"	"松脆"	"64.5"	"极晚"	"1.2"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LZC31502"	"87M-4600"	"心脏"	"Prunus(李属)"	"粘"	"112"
"64"	"Rosaceae(蔷薇科)"	"14.8"	"好莱坞"	"美国"	"国外"	"上"	"--"	"上"	"9.1"	"7.8"	"酸甜"	"紫叶"	"小"	"红"	"7.25"	"松脆"	"35.7"	"中"	"1.5"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LZC31504"	"HAO LAI WU"	"圆"	"Prunus(李属)"	"粘"	"92"
"65"	"Rosaceae(蔷薇科)"	"14.3"	"太阳李"	"日本"	"国外"	"上"	"--"	"上"	"10.0"	"9.7"	"酸甜"	"成熟期不一致高VC"	"中"	"乳白"	"8.15"	"松脆"	"50.0"	"极晚"	"1.2"	"紫红"	"Prunus salicina Lindl.(中国李)"	"LZC31505"	"TAI YANG LI"	"圆"	"Prunus(李属)"	"粘"	"112"
