"id"	"内质评价"	"香味"	"品种名称"	"原产地"	"特异及用途"	"省"	"学名"	"可滴定酸"	"单果重评价"	"果实成熟期"	"成熟期评价"	"光泽"	"风味"	"单果重G"	"译名"	"汁液"	"外观评价"	"色泽"	"属名"	"维生素C"	"可溶固形物"	"肉质"	"可溶性糖"	"统一编号"	"果实硬度"	"果形"	"采收期D"	"采收期评价"	"科名"
"1"	"中"	"有"	"大连四季"	"辽宁大连"	"--"	"辽宁"	"Fragaria ananassa Duch.(草莓)"	"1.21"	"小"	"5.10"	"早"	"中"	"甜酸"	"6.7"	"DA LIAN SI JI"	"中"	"差"	"红"	"Fragaria(草莓属)"	"92.25"	"9.2"	"细较软"	"6.76"	"CME0001"	"0.13"	"短圆锥"	"21"	"中"	"Rosaceae(蔷薇科)"
"2"	"中"	"稍有"	"福建四季"	"福建"	"--"	"福建"	"Fragaria ananassa Duch.(草莓)"	"1.16"	"小"	"5.07"	"早"	"中"	"甜酸"	"7.4"	"FU JIAN SI JI"	"较多"	"较差"	"红"	"Fragaria(草莓属)"	"64.68"	"8.8"	"细"	"4.76"	"CME0002"	"0.13"	"短圆锥"	"25"	"中"	"Rosaceae(蔷薇科)"
"3"	"中下"	"有"	"牡丹江四季"	"黑龙江牡丹江"	"--"	"黑龙"	"Fragaria ananassa Duch.(草莓)"	"1.39"	"小"	"5.08"	"早"	"中"	"甜酸"	"7.3"	"MU DAN JIANG SI JI"	"中"	"较差"	"红"	"Fragaria(草莓属)"	"60.90"	"10.1"	"细软"	"5.77"	"CME0003"	"0.13"	"短圆锥"	"29"	"长"	"Rosaceae(蔷薇科)"
"4"	"中下"	"无"	"通化四季"	"吉林通化"	"--"	"吉林"	"Fragaria ananassa Duch.(草莓)"	"1.23"	"小"	"5.07"	"早"	"较强"	"较酸"	"6.6"	"TONG HUA SI JI"	"中"	"较差"	"红"	"Fragaria(草莓属)"	"68.57"	"9.7"	"较粗"	"6.71"	"CME0004"	"0.15"	"短圆锥"	"30"	"长"	"Rosaceae(蔷薇科)"
"5"	"中下"	"无"	"通化四季"	"吉林通化"	"--"	"吉林"	"Fragaria ananassa Duch.(草莓)"	"1.23"	"小"	"5.07"	"早"	"较强"	"较酸"	"6.6"	"TONG HUA SI JI"	"中"	"较差"	"红"	"Fragaria(草莓属)"	"68.57"	"9.7"	"较粗"	"6.71"	"CME0004"	"0.15"	"短圆锥"	"30"	"长"	"Rosaceae(蔷薇科)"
"6"	"中"	"有"	"四季实生"	"江苏南京"	"--"	"江苏"	"Fragaria ananassa Duch.(草莓)"	"0.89"	"中"	"5.07"	"早"	"较强"	"酸甜适中"	"11.8"	"SI JI SHI SHENG"	"较多"	"较差"	"红"	"Fragaria(草莓属)"	"69.30"	"9.3"	"粗较软"	"6.68"	"CME0005"	"0.11"	"圆锥"	"26"	"长"	"Rosaceae(蔷薇科)"
"7"	"中下"	"稍有"	"牡丹江鸡心"	"黑龙江牡丹江"	"--"	"黑龙"	"Fragaria ananassa Duch.(草莓)"	"1.37"	"小"	"5.11"	"中早"	"弱"	"甜酸"	"6.4"	"MU DAN JIANG JI XIN"	"较少"	"差"	"红"	"Fragaria(草莓属)"	"91.43"	"8.8"	"较粗"	"5.97"	"CME0006"	"0.05"	"圆锥"	"22"	"中"	"Rosaceae(蔷薇科)"
"8"	"中"	"稍有"	"昌黎红鸡心"	"河北昌黎"	"--"	"河北"	"Fragaria ananassa Duch.(草莓)"	"1.12"	"中"	"5.12"	"中早"	"中"	"甜酸"	"12.5"	"CHANG LI HONG JI XIN"	"中"	"中"	"红"	"Fragaria(草莓属)"	"88.96"	"7.9"	"细较软"	"6.40"	"CME0008"	"0.17"	"楔形"	"22"	"中"	"Rosaceae(蔷薇科)"
"9"	"中上"	"有"	"烟台鸡心"	"山东烟台"	"--"	"山东"	"Fragaria ananassa Duch.(草莓)"	"0.19"	"中"	"5.09"	"早"	"中"	"酸甜适中"	"13.2"	"YAN TAI JI XIN"	"多"	"较好"	"红"	"Fragaria(草莓属)"	"73.15"	"10.1"	"细较软"	"6.22"	"CME0009"	"0.14"	"楔形"	"23"	"中"	"Rosaceae(蔷薇科)"
"10"	"中下"	"稍有"	"六里桥"	"北京"	"--"	"北京"	"Fragaria ananassa Duch.(草莓)"	"1.17"	"中"	"5.10"	"早"	"中"	"甜酸"	"9.7"	"LIU LI QIAO"	"中"	"差"	"红"	"Fragaria(草莓属)"	"76.35"	"7.8"	"细软"	"6.18"	"CME0010"	"0.19"	"短楔形"	"25"	"中"	"Rosaceae(蔷薇科)"
"11"	"下"	"无"	"吉林鸡心"	"吉林"	"--"	"吉林"	"Fragaria ananassa Duch.(草莓)"	"1.21"	"小"	"5.09"	"早"	"中"	"甜酸"	"9.2"	"JI LIN JI XIN"	"较少"	"中"	"红"	"Fragaria(草莓属)"	"85.86"	"9.7"	"细较软"	"5.72"	"CME0011"	"0.19"	"楔形"	"25"	"中"	"Rosaceae(蔷薇科)"
"12"	"中"	"稍有"	"抚松大鸡冠"	"辽宁抚松"	"--"	"辽宁"	"Fragaria ananassa Duch.(草莓)"	"0.84"	"中"	"5.11"	"中早"	"较强"	"甜酸"	"13.7"	"FU SONG DA JI GUAN"	"中"	"较好"	"红"	"Fragaria(草莓属)"	"67.31"	"8.0"	"细"	"5.60"	"CME0012"	"0.16"	"短楔形"	"23"	"中"	"Rosaceae(蔷薇科)"
"13"	"中"	"有"	"三路居"	"北京"	"--"	"北京"	"Fragaria ananassa Duch.(草莓)"	"0.97"	"中"	"5.13"	"中早"	"中"	"甜酸"	"11.4"	"SAN LU JU"	"中"	"较好"	"橙红"	"Fragaria(草莓属)"	"64.02"	"7.8"	"细软"	"5.20"	"CME0013"	"0.17"	"楔形"	"23"	"中"	"Rosaceae(蔷薇科)"
"14"	"中上"	"有"	"黄土岗"	"北京"	"--"	"北京"	"Fragaria ananassa Duch.(草莓)"	"1.04"	"中"	"5.16"	"中"	"中"	"甜酸"	"10.9"	"HUANG TU GANG"	"中"	"较好"	"红"	"Fragaria(草莓属)"	"87.02"	"7.6"	"细韧"	"6.78"	"CME0014"	"0.27"	"圆锥"	"20"	"中"	"Rosaceae(蔷薇科)"
"15"	"下"	"无"	"华东5号"	"江苏南京"	"--"	"江苏"	"Fragaria ananassa Duch.(草莓)"	"1.40"	"小"	"5.10"	"早"	"中"	"甜酸"	"7.4"	"HUA DONG 5 HAO"	"较多"	"较差"	"红"	"Fragaria(草莓属)"	"75.11"	"8.3"	"粗软"	"4.88"	"CME0015"	"0.14"	"圆锥"	"27"	"中"	"Rosaceae(蔷薇科)"
"16"	"下"	"稍有"	"华东10号"	"江苏南京"	"--"	"江苏"	"Fragaria ananassa Duch.(草莓)"	"0.92"	"小"	"5.09"	"早"	"中"	"较酸"	"7.4"	"HUA DONG 10 HAO"	"中"	"较差"	"红"	"Fragaria(草莓属)"	"60.98"	"9.4"	"软较细"	"4.86"	"CME0016"	"0.16"	"短楔形"	"13"	"短"	"Rosaceae(蔷薇科)"
"17"	"中下"	"无"	"扬农草莓"	"江苏扬州"	"--"	"江苏"	"Fragaria ananassa Duch.(草莓)"	"1.29"	"小"	"5.11"	"中早"	"中"	"甜酸"	"7.6"	"YANG NONG CAO MEI"	"中"	"较差"	"红"	"Fragaria(草莓属)"	"71.49"	"7.5"	"粗软"	"4.37"	"CME0017"	"0.09"	"短圆锥"	"22"	"中"	"Rosaceae(蔷薇科)"
"18"	"下"	"无"	"江农草莓"	"江苏扬州"	"--"	"江苏"	"Fragaria ananassa Duch.(草莓)"	"1.09"	"小"	"5.11"	"中早"	"中"	"较酸"	"7.5"	"JIANG NONG CAO MEI"	"中"	"较差"	"红"	"Fragaria(草莓属)"	"78.43"	"8.3"	"较细"	"5.38"	"CME0018"	"0.19"	"短圆锥"	"22"	"中"	"Rosaceae(蔷薇科)"
"19"	"中下"	"稍有"	"平顶山草莓"	"河南平顶山"	"--"	"河南"	"Fragaria ananassa Duch.(草莓)"	"1.20"	"小"	"5.08"	"早"	"中"	"甜酸"	"7.0"	"PING DING SHAN CAO MEI"	"较多"	"较差"	"深红"	"Fragaria(草莓属)"	"77.95"	"8.9"	"较细软"	"6.61"	"CME0019"	"0.21"	"圆锥"	"22"	"中"	"Rosaceae(蔷薇科)"
"20"	"中"	"有"	"平顶山1号"	"河南平顶山"	"--"	"河南"	"Fragaria ananassa Duch.(草莓)"	"0.94"	"中"	"5.11"	"中早"	"较强"	"甜酸"	"12.1"	"PING DING SHAN 1 HAO"	"中"	"中"	"红"	"Fragaria(草莓属)"	"65.09"	"8.7"	"较细"	"6.24"	"CME0020"	"0.19"	"楔形"	"27"	"长"	"Rosaceae(蔷薇科)"
"21"	"上"	"较浓"	"红岗特利德"	"英国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.04"	"小"	"5.11"	"中早"	"强"	"酸甜适中"	"9.0"	"HONG GANG TE LI DE"	"较多"	"中"	"红"	"Fragaria(草莓属)"	"70.53"	"7.4"	"细"	"5.33"	"CME0043"	"0.24"	"圆锥"	"23"	"中"	"Rosaceae(蔷薇科)"
"22"	"中上"	"有"	"戈雷拉"	"荷兰"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.82"	"中"	"5.07"	"早"	"强"	"酸甜适中"	"14.3"	"GE LEI LA"	"多"	"好"	"红"	"Fragaria(草莓属)"	"74.67"	"7.8"	"细较韧"	"4.73"	"CME0044"	"0.20"	"短楔形"	"25"	"中"	"Rosaceae(蔷薇科)"
"23"	"中"	"有"	"苏维尼亚"	"比利时"	"大果,加工"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.73"	"极大"	"5.12"	"中早"	"中"	"酸甜适中"	"24.5"	"SU WEI NI YA"	"较多"	"中"	"红"	"Fragaria(草莓属)"	"64.89"	"7.2"	"较细软"	"4.66"	"CME0045"	"0.15"	"圆锥或楔形"	"27"	"中"	"Rosaceae(蔷薇科)"
"24"	"中"	"稍有"	"姆托"	"法国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.85"	"极大"	"5.16"	"中"	"中"	"甜酸"	"21.8"	"MU TUO"	"多"	"较差"	"红"	"Fragaria(草莓属)"	"78.56"	"9.0"	"细"	"6.99"	"CME0046"	"0.21"	"楔形"	"26"	"中"	"Rosaceae(蔷薇科)"
"25"	"中"	"无"	"索菲亚"	"保加利亚"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.84"	"极大"	"5.19"	"晚"	"中"	"甜酸"	"20.2"	"SUO FEI YA"	"多"	"中"	"红"	"Fragaria(草莓属)"	"71.67"	"7.8"	"细软"	"5.18"	"CME0047"	"0.15"	"短楔形"	"20"	"中"	"Rosaceae(蔷薇科)"
"26"	"中上"	"有"	"索菲亚(2)"	"保加利亚"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.86"	"中"	"5.10"	"早"	"中"	"酸甜适中"	"11.2"	"SUO FEI YA (2)"	"多"	"好"	"红"	"Fragaria(草莓属)"	"79.51"	"9.3"	"细韧"	"6.55"	"CME0048"	"0.19"	"楔形"	"27"	"中"	"Rosaceae(蔷薇科)"
"27"	"中上"	"较浓"	"保加利亚"	"保加利亚"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.21"	"中"	"5.09"	"早"	"强"	"酸甜适中"	"12.4"	"BAO JIA LI YA"	"较多"	"好"	"红"	"Fragaria(草莓属)"	"76.97"	"9.0"	"细较韧"	"6.37"	"CME0049"	"0.23"	"短楔形"	"26"	"中"	"Rosaceae(蔷薇科)"
"28"	"中上"	"较浓"	"百利阿拉"	"保加利亚"	"含糖高,维生素C含量高"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.16"	"中"	"5.15"	"中早"	"中"	"甜酸"	"10.3"	"BAI LI A LA"	"多"	"中"	"粉红"	"Fragaria(草莓属)"	"100.24"	"9.0"	"细软"	"7.76"	"CME0050"	"0.11"	"短圆锥"	"23"	"中"	"Rosaceae(蔷薇科)"
"29"	"中"	"有"	"米德维"	"美国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.95"	"中"	"5.08"	"早"	"较强"	"甜酸"	"14.2"	"MI DE WEI"	"较多"	"好"	"红"	"Fragaria(草莓属)"	"58.72"	"8.5"	"稍粗韧"	"6.25"	"CME0051"	"0.19"	"圆锥"	"26"	"中"	"Rosaceae(蔷薇科)"
"30"	"上"	"较浓"	"波卡洪塔斯"	"美国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.82"	"小"	"5.10"	"早"	"较强"	"酸甜适中"	"8.1"	"BO KA HONG TA SI"	"多"	"较好"	"红"	"Fragaria(草莓属)"	"69.88"	"8.7"	"细较韧"	"5.80"	"CME0052"	"0.11"	"圆锥"	"29"	"长"	"Rosaceae(蔷薇科)"
"31"	"中"	"有"	"波兰草莓"	"波兰"	"加工"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.08"	"中"	"5.11"	"中早"	"较强"	"甜酸"	"11.9"	"BO LAN CAO MEI"	"较多"	"中"	"红"	"Fragaria(草莓属)"	"48.35"	"7.7"	"细较韧"	"4.62"	"CME0053"	"0.19"	"短圆锥"	"22"	"中"	"Rosaceae(蔷薇科)"
"32"	"中上"	"有"	"普里麦拉"	"荷兰"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.75"	"中"	"5.07"	"早"	"较强"	"甜酸"	"13.9"	"PU LI MAI LA"	"多"	"中"	"红"	"Fragaria(草莓属)"	"59.55"	"8.4"	"较细韧"	"5.97"	"CME0054"	"0.21"	"长圆锥"	"29"	"长"	"Rosaceae(蔷薇科)"
"33"	"中"	"稍有"	"科罗纳"	"荷兰"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.95"	"中"	"5.07"	"早"	"较强"	"酸甜适中"	"14.5"	"KE LUO NA"	"多"	"好"	"红"	"Fragaria(草莓属)"	"59.66"	"7.9"	"细较韧"	"4.29"	"CME0055"	"0.26"	"圆锥"	"30"	"长"	"Rosaceae(蔷薇科)"
"34"	"中上"	"有"	"波哥大"	"荷兰"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.76"	"中"	"5.07"	"早"	"中"	"酸甜适中"	"13.9"	"BO GE DA"	"较多"	"中"	"深红"	"Fragaria(草莓属)"	"87.78"	"9.4"	"细较韧"	"6.04"	"CME0056"	"0.22"	"圆锥"	"26"	"中"	"Rosaceae(蔷薇科)"
"35"	"中"	"稍有"	"早波麦尔"	"荷兰"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.15"	"中"	"5.08"	"早"	"较强"	"甜酸"	"10.3"	"ZAO BO MAI ER"	"中"	"较好"	"红"	"Fragaria(草莓属)"	"68.84"	"8.5"	"细"	"5.63"	"CME0057"	"0.28"	"圆锥"	"25"	"中"	"Rosaceae(蔷薇科)"
"36"	"中上"	"稍有"	"塞奎亚"	"保加利亚"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.13"	"大"	"5.09"	"早"	"较强"	"甜酸"	"16.0"	"SAI KUI YA"	"较多"	"好"	"深红"	"Fragaria(草莓属)"	"70.43"	"7.5"	"细"	"5.67"	"CME0058"	"0.34"	"圆锥"	"28"	"长"	"Rosaceae(蔷薇科)"
"37"	"中"	"稍有"	"塔木拉"	"荷兰"	"丰产"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.84"	"中"	"5.11"	"中早"	"中"	"甜酸"	"13.7"	"TA MU LA"	"较多"	"中"	"红"	"Fragaria(草莓属)"	"63.16"	"6.7"	"细较韧"	"4.52"	"CME0059"	"0.22"	"长圆锥"	"25"	"中"	"Rosaceae(蔷薇科)"
"38"	"上"	"较浓"	"卡林纳"	"荷兰"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.87"	"中"	"5.07"	"早"	"中"	"酸甜适中"	"9.6"	"KA LIN NA"	"较多"	"较好"	"红"	"Fragaria(草莓属)"	"71.94"	"7.6"	"细"	"6.56"	"CME0060"	"0.17"	"短圆锥"	"25"	"中"	"Rosaceae(蔷薇科)"
"39"	"中"	"稍有"	"康费吐拉"	"荷兰"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.82"	"中"	"5.11"	"中早"	"中"	"甜酸"	"11.8"	"KANG FEI TU LA"	"较多"	"较差"	"红"	"Fragaria(草莓属)"	"76.21"	"9.1"	"细较韧"	"4.95"	"CME0061"	"0.18"	"楔形"	"21"	"中"	"Rosaceae(蔷薇科)"
"40"	"中上"	"无"	"因都卡"	"荷兰"	"丰产"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.85"	"中"	"5.09"	"早"	"较强"	"甜酸"	"14.5"	"YIN DU KA"	"多"	"好"	"深红"	"Fragaria(草莓属)"	"47.94"	"7.5"	"细"	"4.88"	"CME0062"	"0.20"	"圆锥"	"27"	"中"	"Rosaceae(蔷薇科)"
"41"	"中上"	"有"	"里瓦"	"荷兰"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.89"	"大"	"5.07"	"早"	"强"	"甜酸"	"17.1"	"LI WA"	"较多"	"好"	"红"	"Fragaria(草莓属)"	"64.06"	"6.5"	"细较软"	"4.24"	"CME0063"	"0.13"	"楔形"	"25"	"中"	"Rosaceae(蔷薇科)"
"42"	"中下"	"稍有"	"帝国"	"美国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.91"	"中"	"5.10"	"早"	"较强"	"甜酸"	"10.4"	"DI GUO"	"较多"	"中"	"红"	"Fragaria(草莓属)"	"84.02"	"7.9"	"细"	"6.43"	"CME0064"	"0.22"	"圆锥"	"25"	"中"	"Rosaceae(蔷薇科)"
"43"	"中"	"稍有"	"提奥加"	"美国"	"果肉硬"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.17"	"中"	"5.09"	"早"	"中"	"甜酸"	"10.9"	"TI AO JIA"	"较少"	"中"	"红"	"Fragaria(草莓属)"	"63.51"	"8.5"	"细较韧"	"5.03"	"CME0065"	"0.32"	"楔形"	"29"	"长"	"Rosaceae(蔷薇科)"
"44"	"中"	"有"	"佳节"	"美国"	"果肉硬"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.04"	"中"	"5.09"	"早"	"较强"	"甜酸"	"14.3"	"JIA JIE"	"中"	"较好"	"红"	"Fragaria(草莓属)"	"58.50"	"7.5"	"较粗韧"	"5.57"	"CME0066"	"0.37"	"短圆锥"	"24"	"中"	"Rosaceae(蔷薇科)"
"45"	"中下"	"稍有"	"号手"	"美国"	"丰产"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.94"	"中"	"5.09"	"早"	"较强"	"甜酸"	"13.5"	"HAO SHOU"	"较多"	"中"	"深红"	"Fragaria(草莓属)"	"85.69"	"7.5"	"较细韧"	"5.78"	"CME0067"	"0.17"	"短圆锥"	"27"	"中"	"Rosaceae(蔷薇科)"
"46"	"中"	"稍有"	"日升"	"美国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.79"	"中"	"5.07"	"早"	"较强"	"甜酸"	"10.7"	"RI SHENG"	"较多"	"好"	"红"	"Fragaria(草莓属)"	"94.10"	"9.4"	"细韧"	"6.41"	"CME0068"	"0.29"	"圆锥"	"27"	"中"	"Rosaceae(蔷薇科)"
"47"	"中上"	"有"	"早光"	"美国"	"维生素C含量高"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.12"	"中"	"5.07"	"早"	"强"	"酸甜适中"	"10.7"	"ZAO GUANG"	"中"	"好"	"深红"	"Fragaria(草莓属)"	"101.24"	"9.8"	"较细韧"	"6.45"	"CME0069"	"0.29"	"短圆锥"	"27"	"中"	"Rosaceae(蔷薇科)"
"48"	"中下"	"无"	"派扎罗"	"美国"	"果肉硬"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.02"	"中"	"5.08"	"早"	"较强"	"甜酸"	"11.1"	"PAI ZHA LUO"	"较多"	"中"	"红"	"Fragaria(草莓属)"	"73.43"	"6.5"	"较粗"	"5.82"	"CME0070"	"0.30"	"圆锥"	"26"	"中"	"Rosaceae(蔷薇科)"
"49"	"中"	"稍有"	"卡兹奇"	"美国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.82"	"中"	"5.09"	"早"	"中"	"甜酸"	"14.6"	"KA ZI QI"	"中"	"中"	"深红"	"Fragaria(草莓属)"	"71.52"	"6.8"	"细韧"	"6.19"	"CME0071"	"0.16"	"圆锥或楔形"	"26"	"中"	"Rosaceae(蔷薇科)"
"50"	"中"	"有"	"斯可特"	"美国"	"果肉硬"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.25"	"中"	"5.10"	"早"	"中"	"甜酸"	"10.2"	"SI KE TE"	"中"	"中"	"红"	"Fragaria(草莓属)"	"54.84"	"9.0"	"细韧"	"5.66"	"CME0072"	"0.35"	"圆锥"	"25"	"中"	"Rosaceae(蔷薇科)"
"51"	"中"	"稍有"	"特里布特"	"美国"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.02"	"中"	"5.09"	"早"	"中"	"甜酸"	"14.0"	"TE LI BU TE"	"较多"	"较好"	"红"	"Fragaria(草莓属)"	"46.40"	"8.6"	"较细韧"	"5.64"	"CME0073"	"0.18"	"圆锥或楔形"	"30"	"长"	"Rosaceae(蔷薇科)"
"52"	"中"	"有"	"全明星"	"美国"	"丰产"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.84"	"大"	"5.08"	"早"	"强"	"甜酸"	"16.3"	"QUAN MING XING"	"多"	"好"	"红"	"Fragaria(草莓属)"	"57.48"	"8.7"	"较细韧"	"5.74"	"CME0074"	"0.31"	"圆锥"	"29"	"长"	"Rosaceae(蔷薇科)"
"53"	"中上"	"有"	"红衣"	"加拿大"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.04"	"中"	"5.08"	"早"	"较弱"	"酸甜适中"	"10.6"	"HONG YI"	"中"	"中"	"橙红"	"Fragaria(草莓属)"	"59.70"	"9.8"	"细"	"7.14"	"CME0075"	"0.20"	"圆锥"	"26"	"中"	"Rosaceae(蔷薇科)"
"54"	"上"	"有"	"宝交早生"	"日本"	"外观品质优"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.68"	"中"	"5.06"	"早"	"强"	"酸甜适中"	"14.0"	"BAO JIAO ZAO SHENG"	"中"	"好"	"红"	"Fragaria(草莓属)"	"107.48"	"8.4"	"细较软"	"6.34"	"CME0076"	"0.24"	"圆锥或楔形"	"32"	"长"	"Rosaceae(蔷薇科)"
"55"	"上"	"较浓"	"达娜"	"日本"	"外观品质优"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.94"	"中"	"5.06"	"早"	"强"	"酸甜适中"	"12.7"	"DA NA"	"多"	"好"	"红"	"Fragaria(草莓属)"	"55.98"	"8.8"	"细"	"6.23"	"CME0077"	"0.29"	"圆锥"	"30"	"长"	"Rosaceae(蔷薇科)"
"56"	"上"	"浓"	"丽红"	"日本"	"外观品质优,含糖高"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.05"	"中"	"5.11"	"中早"	"强"	"酸甜适中"	"10.8"	"LI HONG"	"较多"	"好"	"深红"	"Fragaria(草莓属)"	"98.28"	"8.6"	"细"	"5.74"	"CME0078"	"0.29"	"圆锥"	"25"	"中"	"Rosaceae(蔷薇科)"
"57"	"中上"	"有"	"秋香"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.82"	"小"	"5.07"	"早"	"较强"	"甜酸"	"8.4"	"QIU XIANG"	"中"	"中"	"橙红"	"Fragaria(草莓属)"	"85.52"	"8.6"	"细较韧"	"5.93"	"CME0079"	"0.19"	"长圆锥"	"28"	"中"	"Rosaceae(蔷薇科)"
"58"	"中上"	"稍有"	"久-47"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.70"	"中"	"5.06"	"早"	"较强"	"酸甜适中"	"13.0"	"JIU -47"	"较多"	"较好"	"橙红"	"Fragaria(草莓属)"	"81.58"	"7.8"	"细"	"5.69"	"CME0080"	"0.19"	"圆锥"	"29"	"长"	"Rosaceae(蔷薇科)"
"59"	"中上"	"有"	"久留米46"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.93"	"中"	"5.05"	"极早"	"较强"	"酸甜适中"	"10.8"	"JIU LIU MI 46"	"较多"	"中"	"红"	"Fragaria(草莓属)"	"70.23"	"8.6"	"细"	"6.14"	"CME0081"	"0.24"	"圆锥"	"30"	"长"	"Rosaceae(蔷薇科)"
"60"	"中"	"稍有"	"久-45"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.85"	"中"	"5.09"	"早"	"较强"	"酸甜适中"	"9.5"	"JIU -45"	"中"	"中"	"红"	"Fragaria(草莓属)"	"68.23"	"9.4"	"细"	"6.42"	"CME0082"	"0.23"	"圆锥"	"19"	"中"	"Rosaceae(蔷薇科)"
"61"	"中"	"有"	"红宝满"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.07"	"中"	"5.10"	"早"	"中"	"甜酸"	"13.5"	"HONG BAO MAN"	"多"	"中"	"红"	"Fragaria(草莓属)"	"71.28"	"8.5"	"细"	"6.80"	"CME0083"	"0.28"	"圆锥"	"24"	"中"	"Rosaceae(蔷薇科)"
"62"	"上"	"浓"	"丰香"	"日本"	"鲜食极优,早熟栽培"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.00"	"大"	"5.07"	"早"	"强"	"甜酸适中"	"15.5"	"FENG XIANG"	"多"	"好"	"红"	"Fragaria(草莓属)"	"68.76"	"9.3"	"细韧"	"6.94"	"CME0084"	"0.22"	"圆锥"	"30"	"长"	"Rosaceae(蔷薇科)"
"63"	"中上"	"有"	"绯美子"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.92"	"中"	"5.06"	"早"	"强"	"甜酸"	"13.0"	"FEI MEI ZI"	"中"	"好"	"红"	"Fragaria(草莓属)"	"69.36"	"8.5"	"细"	"5.43"	"CME0085"	"0.22"	"圆锥"	"30"	"长"	"Rosaceae(蔷薇科)"
"64"	"中"	"有"	"大村朱"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.98"	"中"	"5.07"	"早"	"较强"	"甜酸"	"9.6"	"DA CUN ZHU"	"少"	"中"	"红"	"Fragaria(草莓属)"	"72.21"	"8.6"	"较细"	"7.33"	"CME0086"	"0.20"	"长楔形"	"31"	"长"	"Rosaceae(蔷薇科)"
"65"	"中上"	"有"	"明宝"	"日本"	"含糖高"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.82"	"中"	"5.06"	"早"	"强"	"酸甜适中"	"10.0"	"MING BAO"	"多"	"好"	"红"	"Fragaria(草莓属)"	"93.16"	"8.7"	"细较韧"	"8.32"	"CME0087"	"0.23"	"短圆锥"	"31"	"长"	"Rosaceae(蔷薇科)"
"66"	"中上"	"有"	"汤姬"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"0.92"	"中"	"5.06"	"早"	"较强"	"酸甜适中"	"11.1"	"TANG JI"	"较多"	"中"	"红"	"Fragaria(草莓属)"	"72.28"	"8.7"	"细"	"6.99"	"CME0088"	"0.20"	"圆锥"	"31"	"长"	"Rosaceae(蔷薇科)"
"67"	"中上"	"有"	"红福"	"日本"	"--"	"国外"	"Fragaria ananassa Duch.(草莓)"	"1.02"	"中"	"5.12"	"中早"	"较强"	"甜酸"	"12.7"	"HONG FU"	"中"	"好"	"红"	"Fragaria(草莓属)"	"77.08"	"7.7"	"细韧"	"4.75"	"CME0089"	"0.23"	"圆锥或楔形"	"25"	"中"	"Rosaceae(蔷薇科)"
