"id"	"熟性"	"天然结实"	"科名"	"PVY"	"品种名称"	"丰产性"	"晚疫病抗性"	"大小"	"征集地点"	"淀粉含量"	"病毒抗感性"	"蒸食品质"	"肉色"	"省"	"形状"	"亲本"	"皮色"	"学名"	"统一编号"	"耐储性"	"译名"	"其它"	"属名"	"品种来源"	"PVX"	"皮光滑度"	"芽眼深浅"	"送留单位"	"花色"	"整齐度"
"157"	"中晚"	"无"	"Solanaceae(茄科)"	"有"	"Hunter"	"低"	"感"	"中"	"--"	"11.5"	"--"	"中"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00753"	"中"	"Hunter"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"中中"	"--"	"浅兰紫"	"不整齐"
"158"	"中晚"	"无"	"Solanaceae(茄科)"	"有"	"Huron"	"中"	"抗"	"中"	"--"	"18.2"	"--"	"中"	"白"	"国外"	"扁圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00754"	"差"	"Huron"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"中少"	"--"	"浅紫"	"整齐"
"159"	"中晚"	"无"	"Solanaceae(茄科)"	"有"	"IrishCobbler"	"低"	"感"	"大"	"--"	"11.2"	"--"	"上"	"白"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00755"	"优"	"IrishCobbler"	"(Canada)"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"深中"	"--"	"紫"	"整齐"
"160"	"中晚"	"无"	"Solanaceae(茄科)"	"无"	"Islander"	"中"	"感"	"中"	"--"	"12.9"	"--"	"中"	"白"	"国外"	"长方"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00756"	"中"	"Islander"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"微网纹"	"浅少"	"--"	"白"	"整齐"
"161"	"早"	"弱"	"Solanaceae(茄科)"	"无"	"Jemseg"	"中"	"感"	"大"	"--"	"11.4"	"--"	"中上"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00757"	"中"	"Jemseg"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"中网纹"	"浅中"	"--"	"紫"	"整齐"
"162"	"中晚"	"无"	"Solanaceae(茄科)"	"无"	"Katahdin"	"中"	"感"	"大"	"--"	"10.7"	"--"	"上"	"白"	"国外"	"扁圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00758"	"中"	"Katahdin"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅少"	"--"	"紫"	"整齐"
"163"	"中晚"	"无"	"Solanaceae(茄科)"	"无"	"Dennebec"	"中"	"感"	"大"	"--"	"10.7"	"--"	"中"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00759"	"差"	"Dennebec"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"白"	"整齐"
"164"	"中晚"	"无"	"Solanaceae(茄科)"	"有"	"Kerry BLUE (VB.1)"	"低"	"感"	"中"	"--"	"10.5"	"--"	"中"	"白"	"国外"	"椭圆"	"--"	"暗紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00760"	"中"	"Kerry BLUE (VB.1)"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"中网纹"	"中中"	"--"	"白"	"不整齐"
"165"	"中晚"	"无"	"Solanaceae(茄科)"	"有"	"Kaswick"	"低"	"感"	"大"	"--"	"12.2"	"--"	"中"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00761"	"差"	"Kaswick"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"中中"	"--"	"白"	"整齐"
"166"	"中晚"	"无"	"Solanaceae(茄科)"	"有"	"Drantz"	"低"	"感"	"大"	"--"	"11.7"	"--"	"中下"	"白"	"国外"	"椭圆"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00762"	"差"	"Drantz"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"粗糙"	"浅少"	"--"	"白"	"整齐"
"167"	"中晚"	"无"	"Solanaceae(茄科)"	"有"	"La Chipper"	"低"	"感"	"中"	"--"	"11.6"	"--"	"上"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00763"	"差"	"La Chipper"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"深中"	"--"	"白"	"不整齐"
"168"	"中晚"	"弱"	"Solanaceae(茄科)"	"无"	"La 12-59"	"中"	"感"	"大"	"--"	"14.7"	"--"	"上"	"白"	"国外"	"圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00764"	"优"	"La 12-59"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"深中"	"--"	"紫"	"整齐"
"169"	"中晚"	"无"	"Solanaceae(茄科)"	"有"	"Lemhi Russet"	"低"	"感"	"中"	"--"	"12.2"	"--"	"中上"	"白"	"国外"	"长椭圆"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00765"	"优"	"Lemhi Russet"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"网纹"	"浅中"	"--"	"紫红"	"整齐"
"170"	"中晚"	"弱"	"Solanaceae(茄科)"	"无"	"Long Loc"	"低"	"感"	"中"	"--"	"13.9"	"--"	"上"	"白"	"国外"	"椭圆"	"--"	"暗紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00766"	"优"	"Long Loc"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"中网纹"	"浅少"	"--"	"蓝紫"	"整齐"
"171"	"中晚"	"无"	"Solanaceae(茄科)"	"无"	"Manota"	"中"	"感"	"大"	"--"	"12.5"	"--"	"中下"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00767"	"中"	"Manota"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"浅中"	"--"	"白"	"整齐"
"172"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Maverick"	"低"	"抗"	"大"	"--"	"9.4"	"--"	"--"	"白"	"国外"	"长"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00768"	"差"	"Maverick"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"浅中"	"--"	"白"	"整齐"
"173"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Mcintyre"	"低"	"抗"	"小"	"--"	"13.2"	"--"	"--"	"白"	"国外"	"长椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00769"	"差"	"Mcintyre"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"深多"	"--"	"浅兰紫"	"不整齐"
"174"	"晚"	"无"	"Solanaceae(茄科)"	"--"	"Menominee"	"低"	"感"	"大"	"--"	"11.0"	"--"	"下"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00770"	"中"	"Menominee"	"--"	"Solanum(茄属)"	"加拿大"	"--"	"光滑"	"中中"	"--"	"白"	"不整齐"
"175"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Mirton Pearl"	"中"	"感"	"大"	"--"	"12.3"	"--"	"上"	"白"	"国外"	"长"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00771"	"优"	"Mirton Pearl"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"--"	"深中"	"--"	"白"	"整齐"
"176"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Monona"	"中"	"感"	"大"	"--"	"11.4"	"--"	"中"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00772"	"优"	"Monona"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"中网纹"	"中中"	"--"	"白"	"整齐"
"177"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Mn-11705"	"中"	"感"	"大"	"--"	"10.3"	"--"	"下"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00773"	"中"	"Mn-11705"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"浅兰紫"	"整齐"
"178"	"晚"	"--"	"Solanaceae(茄科)"	"无"	"Mn-10162"	"高"	"抗"	"中"	"--"	"11.6"	"--"	"中上"	"白"	"国外"	"长椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00774"	"中"	"Mn-10162"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"中中"	"--"	"--"	"整齐"
"179"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Nipigon"	"低"	"抗"	"中"	"--"	"11.6"	"--"	"中"	"白"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00775"	"差"	"Nipigon"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"中网纹"	"中中"	"--"	"白"	"整齐"
"180"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Norchief"	"高"	"感"	"大"	"--"	"12.2"	"--"	"下"	"白"	"国外"	"圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00776"	"差"	"Norchief"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"紫红"	"不整齐"
"181"	"晚"	"--"	"Solanaceae(茄科)"	"无"	"Norchip"	"高"	"感"	"大"	"--"	"13.8"	"--"	"上"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00777"	"中"	"Norchip"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"--"	"整齐"
"182"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"NorgoldRusset(B.C)"	"中"	"感"	"中"	"--"	"8.4"	"--"	"中"	"白"	"国外"	"长椭圆"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00778"	"中"	"NorgoldRusset(B.C)"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"粗糙"	"浅中"	"--"	"紫"	"不整齐"
"183"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Norking"	"低"	"感"	"大"	"--"	"10.7"	"--"	"下"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00779"	"优"	"Norking"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"紫"	"整齐"
"184"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Norland"	"中"	"感"	"中"	"--"	"8.4"	"--"	"中上"	"白"	"国外"	"长椭圆"	"--"	"深红"	"Solanum tuberosum L.(马铃薯)"	"MSG00780"	"差"	"Norland"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"蓝紫"	"整齐"
"185"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Nooksak"	"中"	"抗"	"中"	"--"	"12.2"	"--"	"中"	"白"	"国外"	"长椭圆"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00781"	"中"	"Nooksak"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"粗糙"	"浅中"	"--"	"白"	"整齐"
"186"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"N682-6"	"低"	"感"	"大"	"--"	"13.9"	"--"	"下"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00782"	"差"	"N682-6"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"白"	"不整齐"
"187"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"ND671-1"	"高"	"感"	"小"	"--"	"0.0"	"--"	"上"	"白"	"国外"	"长椭圆"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00783"	"--"	"ND671-1"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"极粗糙"	"浅中"	"--"	"白"	"整齐"
"188"	"晚"	"强"	"Solanaceae(茄科)"	"无"	"ND764-1"	"低"	"感"	"中"	"--"	"9.0"	"--"	"中上"	"白"	"国外"	"长椭圆"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00784"	"差"	"ND764-1"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"粗糙"	"浅中"	"--"	"白"	"整齐"
"189"	"晚"	"强"	"Solanaceae(茄科)"	"无"	"ND860-2"	"中"	"感"	"中"	"--"	"11.7"	"--"	"中下"	"白"	"国外"	"扁圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00785"	"差"	"ND860-2"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"紫"	"不整齐"
"190"	"晚"	"强"	"Solanaceae(茄科)"	"无"	"ND6993-13"	"高"	"感"	"大"	"--"	"13.9"	"--"	"下"	"白"	"国外"	"椭圆"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00786"	"中"	"ND6993-13"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"粗网纹"	"浅中"	"--"	"紫"	"不整齐"
"191"	"晚"	"强"	"Solanaceae(茄科)"	"无"	"NDD277-2"	"高"	"抗"	"大"	"--"	"12.7"	"--"	"中"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00787"	"中"	"NDD277-2"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"白"	"不整齐"
"192"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"NDV8694-3"	"低"	"感"	"大"	"--"	"10.8"	"--"	"--"	"白"	"国外"	"椭圆"	"--"	"淡褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00788"	"中"	"NDV8694-3"	"内中心紫纹"	"Solanum(茄属)"	"加拿大"	"无"	"粗糙"	"中中"	"--"	"白"	"整齐"
"193"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"NY71"	"低"	"感"	"大"	"--"	"13.5"	"--"	"中上"	"白"	"国外"	"圆"	"--"	"淡褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00789"	"优"	"NY71"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"浅兰紫"	"整齐"
"194"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"NY72"	"高"	"感"	"中"	"--"	"11.4"	"--"	"下"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00790"	"差"	"NY72"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"浅中"	"--"	"紫"	"中"
"195"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"NY81"	"中"	"感"	"中"	"--"	"10.7"	"--"	"上"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00791"	"中"	"NY81"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"微网纹"	"浅中"	"--"	"白"	"整齐"
"196"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Oceania"	"中"	"感"	"大"	"--"	"--"	"--"	"中上"	"白"	"国外"	"扁圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00792"	"差"	"Oceania"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"浅中"	"--"	"紫"	"整齐"
"197"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Onaway"	"高"	"感"	"大"	"--"	"11.0"	"--"	"中"	"白"	"国外"	"扁圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00793"	"中"	"Onaway"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"中中"	"--"	"浅紫"	"整齐"
"198"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Oneida"	"低"	"感"	"中"	"--"	"11.2"	"--"	"上"	"白"	"国外"	"扁圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00794"	"差"	"Oneida"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"中网纹"	"浅中"	"--"	"白"	"整齐"
"199"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Ontanrio"	"中"	"抗"	"大"	"--"	"11.1"	"--"	"中下"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00795"	"优"	"Ontanrio"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"中网纹"	"中中"	"--"	"浅紫"	"整齐"
"200"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Pembina Chipper"	"中"	"感"	"小"	"--"	"13.5"	"--"	"中上"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00796"	"差"	"Pembina Chipper"	"--"	"Solanum(茄属)"	"加拿大"	"抗"	"中粗"	"浅中"	"--"	"浅紫"	"不整齐"
"201"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Pink Pearl"	"中"	"感"	"中"	"--"	"14.2"	"--"	"中"	"白"	"国外"	"椭圆"	"--"	"粉红"	"Solanum tuberosum L.(马铃薯)"	"MSG00797"	"优"	"Pink Pearl"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"浅紫"	"整齐"
"202"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Pungo"	"中"	"感"	"中"	"--"	"12.6"	"--"	"中上"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00798"	"中"	"Pungo"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"中中"	"--"	"白"	"不整齐"
"203"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Purpel Chief"	"低"	"感"	"中"	"--"	"13.3"	"--"	"中上"	"白"	"国外"	"椭圆"	"--"	"深紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00799"	"优"	"Purpel Chief"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"中粗"	"深多"	"--"	"白"	"不整齐"
"204"	"晚"	"--"	"Solanaceae(茄科)"	"有"	"Purpel Viking"	"低"	"感"	"中"	"--"	"9.0"	"--"	"下"	"白"	"国外"	"椭圆"	"--"	"深紫"	"Solanum tuberosum L.(马铃薯)"	"MSG00800"	"中"	"Purpel Viking"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"深多"	"--"	"--"	"整齐"
"205"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Raritan"	"低"	"感"	"大"	"--"	"15.9"	"--"	"上"	"白"	"国外"	"圆"	"--"	"淡褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00801"	"优"	"Raritan"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"中网纹"	"浅中"	"--"	"白"	"整齐"
"206"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Red dale"	"低"	"感"	"大"	"--"	"7.5"	"--"	"下"	"白"	"国外"	"扁圆"	"--"	"鲜红"	"Solanum tuberosum L.(马铃薯)"	"MSG00802"	"差"	"Red dale"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"中中"	"--"	"深紫"	"整齐"
"207"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Red Gold"	"中"	"感"	"中"	"--"	"13.1"	"--"	"上"	"黄"	"国外"	"圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00803"	"优"	"Red Gold"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"中网纹"	"浅中"	"--"	"深紫"	"整齐"
"208"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Red Mcclure"	"中"	"感"	"中"	"--"	"10.7"	"--"	"中下"	"白"	"国外"	"圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00804"	"优"	"Red Mcclure"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"中少"	"--"	"紫"	"整齐"
"209"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Red Pontiac"	"高"	"感"	"大"	"--"	"8.9"	"--"	"下"	"白"	"国外"	"椭圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00805"	"中"	"Red Pontiac"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"深多"	"--"	"紫"	"整齐"
"210"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Redsen"	"中"	"感"	"小"	"--"	"10.1"	"--"	"中上"	"白"	"国外"	"圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00806"	"差"	"Redsen"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅少"	"--"	"紫"	"不整齐"
"211"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Rhinered"	"高"	"感"	"大"	"--"	"12.1"	"--"	"下"	"白"	"国外"	"圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00807"	"中"	"Rhinered"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"中网纹"	"中中"	"--"	"紫"	"整齐"
"212"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Redeau"	"--"	"感"	"--"	"--"	"0.0"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"Solanum tuberosum L.(马铃薯)"	"MSG00808"	"--"	"Redeau"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"--"	"--"	"--"	"--"	"--"
"213"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Rosa"	"中"	"感"	"中"	"--"	"13.4"	"--"	"上"	"淡黄"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00809"	"差"	"Rosa"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"白"	"不整齐"
"214"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"RussetBurbank(Ca)"	"中"	"感"	"大"	"--"	"10.5"	"--"	"下"	"白"	"国外"	"长"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00810"	"优"	"RussetBurbank(Ca)"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"网纹"	"浅中"	"--"	"紫"	"整齐"
"215"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Russette"	"低"	"感"	"中"	"--"	"11.0"	"--"	"上"	"白"	"国外"	"椭圆"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00811"	"中"	"Russette"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"粗网纹"	"浅少"	"--"	"白"	"不整齐"
"216"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Sable"	"低"	"感"	"中"	"--"	"11.1"	"--"	"中上"	"白"	"国外"	"长"	"--"	"淡褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00812"	"优"	"Sable"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"粗糙"	"浅多"	"--"	"白"	"整齐"
"217"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Saco"	"中"	"感"	"中"	"--"	"15.2"	"--"	"上"	"黄"	"国外"	"椭圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00813"	"--"	"Saco"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"浅紫"	"整齐"
"218"	"晚"	"强"	"Solanaceae(茄科)"	"无"	"Saginaw Gold"	"中"	"感"	"大"	"--"	"12.7"	"--"	"上"	"淡黄"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00814"	"中"	"Saginaw Gold"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"中网纹"	"浅中"	"--"	"紫"	"不整齐"
"219"	"晚"	"--"	"Solanaceae(茄科)"	"有"	"Sangre"	"中"	"感"	"大"	"--"	"10.0"	"--"	"中下"	"白"	"国外"	"圆"	"--"	"深红"	"Solanum tuberosum L.(马铃薯)"	"MSG00815"	"差"	"Sangre"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅少"	"--"	"--"	"整齐"
"220"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Sebago"	"中"	"感"	"大"	"--"	"10.2"	"--"	"中上"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00816"	"优"	"Sebago"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅中"	"--"	"紫"	"整齐"
"221"	"中晚"	"无"	"Solanaceae(茄科)"	"无"	"Shepody"	"高"	"感"	"中"	"--"	"11.0"	"--"	"上"	"白"	"国外"	"椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00817"	"优"	"Shepody"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"光滑"	"浅少"	"--"	"紫"	"整齐"
"222"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Shurchip"	"高"	"感"	"中"	"--"	"10.5"	"--"	"中上"	"白"	"国外"	"扁圆"	"--"	"淡褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00818"	"差"	"Shurchip"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"中网纹"	"深中"	"--"	"浅紫"	"整齐"
"223"	"晚"	"无"	"Solanaceae(茄科)"	"无"	"Sierra"	"低"	"感"	"中"	"--"	"9.5"	"--"	"中下"	"白"	"国外"	"长"	"--"	"粉褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00819"	"中"	"Sierra"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"粗网纹"	"浅中"	"--"	"浅紫"	"整齐"
"224"	"晚"	"无"	"Solanaceae(茄科)"	"--"	"Simcoe"	"高"	"感"	"中"	"--"	"11.1"	"--"	"上"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00820"	"优"	"Simcoe"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"微网纹"	"中中"	"--"	"白"	"不整齐"
"225"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Snowchip"	"中"	"感"	"中"	"--"	"11.9"	"--"	"上"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00821"	"优"	"Snowchip"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"光滑"	"中少"	"--"	"白"	"整齐"
"226"	"晚"	"强"	"Solanaceae(茄科)"	"有"	"Sunrise"	"低"	"感"	"中"	"--"	"12.9"	"--"	"中"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00822"	"差"	"Sunrise"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"中网纹"	"浅中"	"--"	"紫"	"整齐"
"227"	"中早"	"无"	"Solanaceae(茄科)"	"有"	"Superior (ONT)"	"高"	"感"	"大"	"--"	"12.8"	"--"	"中上"	"白"	"国外"	"圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00823"	"中"	"Superior (ONT)"	"--"	"Solanum(茄属)"	"加拿大"	"无"	"粗网纹"	"中中"	"--"	"紫"	"整齐"
"228"	"晚"	"无"	"Solanaceae(茄科)"	"有"	"Targhee"	"中"	"抗"	"中"	"--"	"9.7"	"--"	"中"	"白"	"国外"	"长椭圆"	"--"	"暗褐"	"Solanum tuberosum L.(马铃薯)"	"MSG00824"	"--"	"Targhee"	"--"	"Solanum(茄属)"	"加拿大"	"有"	"粗糙"	"浅中"	"--"	"浅紫"	"不整齐"
