"id"	"熟性"	"天然结实"	"科名"	"PVY"	"品种名称"	"丰产性"	"晚疫病抗性"	"大小"	"征集地点"	"淀粉含量"	"病毒抗感性"	"蒸食品质"	"肉色"	"省"	"形状"	"亲本"	"皮色"	"学名"	"统一编号"	"耐储性"	"译名"	"其它"	"属名"	"品种来源"	"PVX"	"皮光滑度"	"芽眼深浅"	"送留单位"	"花色"	"整齐度"
"631"	"早"	"--"	"Solanaceae(茄科)"	"--"	"Jemseg"	"高"	"--"	"--"	"黑龙江省农业局引自加拿大(1978年)"	"13.4"	"感卷叶、对X病毒免疫,抗Y及S病毒"	"--"	"白"	"国外"	"扁椭圆"	"F55069×Sable"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00224"	"--"	"Jemseg"	"--"	"Solanum(茄属)"	"加拿大"	"--"	"--"	"浅"	"克山"	"浅紫"	"整齐"
"632"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Jnongtvia"	"高"	"--"	"--"	"--"	"10.9"	"--"	"--"	"黄"	"国外"	"圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00225"	"--"	"Jnongtvia"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"633"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Kapbah"	"中"	"--"	"--"	"中国农科院引种室引自丹麦(1978年)"	"16.9"	"感束顶及黄斑花叶"	"--"	"白"	"国外"	"椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00226"	"--"	"Kapbah"	"--"	"Solanum(茄属)"	"丹麦"	"--"	"--"	"浅"	"克山"	"浅紫"	"--"
"634"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Kennebel"	"高"	"--"	"--"	"中国农科院引自丹麦(1978年)"	"11.6"	"感卷叶及X病毒感束顶,抗A、Y病毒"	"--"	"白"	"国外"	"椭圆"	"B-127×96-56"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00227"	"--"	"Kennebel"	"--"	"Solanum(茄属)"	"美国1948年育成"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"635"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Keswick"	"高"	"--"	"--"	"黑龙江省农业局引自加拿大(1978年)"	"10.0"	"感束顶,感Y及卷叶病毒"	"--"	"乳白"	"国外"	"扁椭圆"	"[((S.demissum×Earlaine)×Earlaine)×Earlaine]×Green Mountain"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00228"	"--"	"Keswick"	"--"	"Solanum(茄属)"	"加拿大1951年育成"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"636"	"中"	"--"	"Solanaceae(茄科)"	"--"	"King Edward"	"低"	"--"	"--"	"中国农科院引自丹麦(1978年)"	"14.1"	"感A、X病毒,中感Y病毒,对X、Y病毒免疫,感E病毒"	"--"	"淡黄"	"国外"	"扁椭圆"	"MagnclmBonum×Beuuty of Hebron"	"白粉"	"Solanum tuberosum L.(马铃薯)"	"MSG00229"	"--"	"King Edward"	"--"	"Solanum(茄属)"	"苏格兰1902年育成"	"--"	"--"	"浅"	"克山"	"紫红"	"整齐"
"637"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Kolektyw"	"中"	"--"	"--"	"中国农科院作物所引自波兰"	"15.0"	"感花卷叶、条斑花叶"	"--"	"白"	"国外"	"卵圆"	"Stamm9×Merkur"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00230"	"--"	"Kolektyw"	"--"	"Solanum(茄属)"	"波兰1958年育成"	"--"	"--"	"中"	"克山"	"白"	"整齐"
"638"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Karpina"	"中"	"--"	"--"	"中国农科院引入"	"13.6"	"感束顶"	"--"	"黄"	"国外"	"扁圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00231"	"--"	"Karpina"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"中"	"克山"	"白"	"不整齐"
"639"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Kufri Jeevan"	"高"	"--"	"--"	"中国农科院引种室引自印度"	"16.5"	"感束顶及黄斑花叶"	"--"	"白"	"国外"	"扁圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00232"	"--"	"Kufri Jeevan"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"浅"	"克山"	"浅紫"	"中"
"640"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Kufri Jyotz"	"高"	"--"	"--"	"中国农科院引种室引自印度"	"12.9"	"感束顶及黄斑花叶"	"--"	"白"	"国外"	"扁椭圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00233"	"--"	"Kufri Jyotz"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"641"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Kufri Naveen"	"高"	"--"	"--"	"中国农科院引种室引自印度"	"14.0"	"感束顶及花卷叶"	"--"	"黄"	"国外"	"扁椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00234"	"--"	"Kufri Naveen"	"--"	"Solanum(茄属)"	"印度"	"--"	"--"	"浅"	"克山"	"白"	"整齐"
"642"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Laila"	"高"	"--"	"--"	"--"	"13.0"	"感束顶及Y病毒"	"--"	"白"	"国外"	"扁圆"	"--"	"红"	"Solanum tuberosum L.(马铃薯)"	"MSG00235"	"--"	"Laila"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"中"	"克山"	"浅紫"	"中"
"643"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Lawa"	"中"	"--"	"--"	"原东北农科所引自波兰(1955年)"	"16.0"	"感束顶"	"--"	"黄"	"国外"	"长椭圆"	"--"	"黄白"	"Solanum tuberosum L.(马铃薯)"	"MSG00236"	"--"	"Lawa"	"--"	"Solanum(茄属)"	"波兰"	"--"	"--"	"中"	"克山"	"白"	"不整齐"
"644"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"S.T.Lenino"	"高"	"--"	"--"	"中国农业部种子局引自波兰"	"16-18"	"感束顶"	"--"	"淡黄"	"国外"	"扁圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00237"	"--"	"S.T.Lenino"	"--"	"Solanum(茄属)"	"波兰原始栽培种"	"--"	"--"	"浅"	"克山"	"白"	"不整齐"
"645"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Leona"	"高"	"--"	"--"	"原东北农科所引自东德(1956年)"	"14.0"	"感皱缩花叶及束顶"	"--"	"深黄"	"国外"	"椭圆"	"Stamm327×Flana"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00238"	"--"	"Leona"	"--"	"Solanum(茄属)"	"东德"	"--"	"--"	"中"	"克山"	"浅紫"	"中"
"646"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Lipisnski Wozcong"	"中"	"--"	"--"	"中央农业部种子局引自波兰"	"--"	"感束顶"	"--"	"淡黄"	"国外"	"扁椭圆"	"--"	"淡黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00239"	"--"	"Lipisnski Wozcong"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"白"	"中"
"647"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Long Keeper"	"低"	"--"	"--"	"原四川省农科所引自苏联"	"14.0"	"感花皱叶及束顶"	"--"	"白"	"国外"	"长圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00240"	"--"	"Long Keeper"	"--"	"Solanum(茄属)"	"英国"	"--"	"--"	"中"	"克山"	"白"	"中"
"648"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Lt-Z"	"中"	"--"	"--"	"黑龙江省克山农科所引自CIP(1978年)"	"13.0"	"感束顶"	"--"	"黄"	"国外"	"扁圆"	"tbr×Neo-tbr"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00241"	"--"	"Lt-Z"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"白"	"中"
"649"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Marita"	"中"	"--"	"--"	"中国农科院作物所引自捷克"	"14.6"	"感卷花叶"	"--"	"白"	"国外"	"扁圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00242"	"--"	"Marita"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"白"	"不整齐"
"650"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Marfona"	"低"	"--"	"--"	"中国农科院引种室引自阿根廷"	"11.0"	"感皱缩花叶"	"--"	"黄"	"国外"	"扁椭圆"	"--"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00243"	"--"	"Marfona"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"白"	"不整齐"
"651"	"中晚"	"--"	"Solanaceae(茄科)"	"--"	"Magura"	"高"	"--"	"--"	"中国农科院引自罗马利亚(1977年)"	"11.0"	"感束顶"	"--"	"白"	"国外"	"圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00244"	"--"	"Magura"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"浅蓝紫"	"整齐"
"652"	"晚"	"--"	"Solanaceae(茄科)"	"--"	"Magna"	"高"	"--"	"--"	"中国农科院作物所引自波兰(1959年)"	"11.0"	"感皱缩花叶及束顶"	"--"	"黄"	"国外"	"椭圆"	"Ackersegen×Samling849"	"黄"	"Solanum tuberosum L.(马铃薯)"	"MSG00245"	"--"	"Magna"	"--"	"Solanum(茄属)"	"西德育成"	"--"	"--"	"深"	"克山"	"蓝紫"	"不整齐"
"653"	"中"	"--"	"Solanaceae(茄科)"	"--"	"Manushage"	"高"	"--"	"--"	"引自阿尔巴尼亚(1978年)"	"11.0"	"感卷叶"	"--"	"黄白"	"国外"	"扁圆"	"--"	"白"	"Solanum tuberosum L.(马铃薯)"	"MSG00246"	"--"	"Manushage"	"--"	"Solanum(茄属)"	"--"	"--"	"--"	"浅"	"克山"	"白"	"不整齐"
