"id"	"科名"	"冬繁殖系数"	"浮膘数"	"品种名称"	"共生腔形状"	"泡胶块突起"	"五氧化二磷"	"根长"	"春固氮活性"	"小孢果形状"	"氮"	"保存单位号"	"藻异形胞"	"大孢果颜色"	"雌雄比"	"无氮浸出液"	"译名"	"省"	"库编号"	"萍体大小"	"收到日期"	"藻营养胞"	"耐阴性"	"学名"	"统一编号"	"背叶面突起"	"属名"	"冬萍体颜色"	"夏萍体颜色"	"突起分布"	"粗脂肪"	"粗蛋白"	"夏固氮活性"	"秋固氮活性"	"夏繁殖系数"	"秋萍体颜色"	"原产地"	"大孢果形状"	"粗纤维"	"氧化钾"	"耐寒性"	"腹叶颜色"	"秋繁殖系数"	"背叶形状"	"耐盐性"	"小孢果颜色"	"引种地编号"	"备注"	"灰分"	"抗病性"	"结孢始期"	"萍体形状"	"茎分枝模式"	"保存单位"	"春繁殖系数"	"品种来源地"	"抗虫性"	"结孢率"	"耐热性"	"春萍体颜色"
"87"	"Azollaceae(满江红科)"	"--"	"--"	"Cali CA 007"	"近球形"	"--"	"1.55"	"--"	"1.353"	"--"	"4.66"	"506"	"椭圆形"	"--"	"--"	"--"	"卡里 CA007"	"国外"	"--"	"10×8mm"	"1984.8.1"	"圆筒形"	"--"	"Azolla filiculoides Lam.(蕨状满江红)"	"00000597"	"粗、短"	"Euazolla(三膘亚属)"	"紫红"	"--"	"--"	"--"	"--"	"1.760"	"0.649"	"--"	"紫绿"	"CIAT Cali"	"--"	"--"	"4.86"	"强"	"白"	"0.1507"	"近椭圆形"	"强"	"--"	"IRRI 109"	"--"	"--"	"弱"	"--"	"多边形、直立形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1892"	"哥伦比亚"	"弱"	"不结"	"弱"	"绿"
"88"	"Azollaceae(满江红科)"	"--"	"--"	"Lima"	"近球形"	"--"	"1.23"	"10-35mm"	"0.671"	"--"	"3.01"	"507"	"椭圆形"	"--"	"--"	"--"	"利马"	"国外"	"--"	"30×40mm"	"1984.9.5"	"圆筒形"	"--"	"Azolla filiculoides Lam.(蕨状满江红)"	"00000598"	"粗、短"	"Euazolla(三膘亚属)"	"紫红"	"--"	"--"	"--"	"--"	"--"	"0.370"	"--"	"紫绿"	"PVFFI Lima"	"--"	"--"	"4.35"	"强"	"白,边红"	"0.1398"	"近椭圆形"	"强"	"--"	"IRRI 110"	"--"	"--"	"弱"	"--"	"多边形、直立形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1781"	"秘鲁"	"弱"	"不结"	"弱"	"绿"
"89"	"Azollaceae(满江红科)"	"--"	"3"	"Washington"	"近球形"	"锚状毛"	"0.75"	"--"	"0.529"	"长椭圆形"	"3.45"	"508"	"椭圆形"	"黄绿"	"--"	"--"	"华盛顿"	"国外"	"--"	"10×10mm"	"1984"	"圆筒形"	"--"	"Azolla filiculoides Lam.(蕨状满江红)"	"00000599"	"粗、短"	"Euazolla(三膘亚属)"	"紫红"	"浅绿"	"全表面"	"--"	"--"	"--"	"0.221"	"--"	"紫绿"	"Washington"	"长圆锥形"	"--"	"2.77"	"强"	"白,边红"	"0.1144"	"近椭圆形"	"强"	"黄绿"	"--"	"--"	"--"	"弱"	"--"	"--"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1684"	"美国"	"弱"	"不结"	"弱"	"绿"
"90"	"Azollaceae(满江红科)"	"--"	"3"	"California"	"卵形"	"锚状毛"	"0.96"	"15-30mm"	"--"	"球形"	"4.71"	"601"	"椭圆形"	"黄绿"	"1.82:1"	"31.9"	"加里弗尼亚"	"国外"	"--"	"15×15mm"	"1984.12.21"	"圆筒形"	"--"	"Azolla mexicana Schlecht et cham(墨西哥满江红)"	"00000600"	"细、短"	"Euazolla(三膘亚属)"	"玫瑰红"	"灰绿"	"全表面"	"4.1"	"28.8"	"0.998"	"0.370"	"0.0508"	"浅红"	"Graylodge,Califonia"	"长圆锥形"	"8.7"	"4.26"	"弱"	"白,边红"	"0.0757"	"桕叶形"	"--"	"黄绿"	"IRRI 201"	"能量:3938卡/克风干重"	"11.4"	"弱"	"10.16"	"多边形"	"Ⅲ"	"福建农科院红萍研究中心"	"--"	"美国"	"弱"	"结(92%)"	"中"	"灰绿"
"91"	"Azollaceae(满江红科)"	"0.0510"	"--"	"Guyana 1"	"卵形"	"--"	"1.19"	"20-35mm"	"2.007"	"--"	"4.18"	"602"	"椭圆形"	"--"	"--"	"--"	"圭亚那1号"	"国外"	"--"	"10×10mm"	"1984.4.13"	"圆筒形"	"--"	"Azolla mexicana Schlecht et cham(墨西哥满江红)"	"00000601"	"粗、短"	"Euazolla(三膘亚属)"	"玫瑰红"	"紫"	"--"	"--"	"--"	"3.440"	"0.968"	"0.0927"	"浅红"	"Guyana"	"--"	"--"	"4.39"	"中"	"白,边红"	"0.0909"	"蝶翅形"	"--"	"--"	"IRRI 202"	"--"	"--"	"弱"	"--"	"多边形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1443"	"圭亚那"	"弱"	"不结"	"中"	"淡绿"
"92"	"Azollaceae(满江红科)"	"--"	"--"	"Guyana 2"	"卵形"	"--"	"0.97"	"20-30mm"	"1.098"	"--"	"3.89"	"603"	"椭圆形"	"--"	"--"	"--"	"圭亚那2号"	"国外"	"--"	"10×15mm"	"1984"	"圆筒形"	"--"	"Azolla mexicana Schlecht et cham(墨西哥满江红)"	"00000602"	"粗、短"	"Euazolla(三膘亚属)"	"红"	"淡绿"	"--"	"--"	"--"	"3.700"	"0.720"	"0.1151"	"浅红"	"Guyana"	"--"	"--"	"3.86"	"中"	"白,边红"	"0.1529"	"蝶翅形"	"--"	"--"	"IRRI 203"	"--"	"--"	"弱"	"--"	"多边形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1892"	"圭亚那"	"弱"	"不结"	"强"	"淡绿"
"93"	"Azollaceae(满江红科)"	"--"	"--"	"Guyana 3"	"卵形"	"--"	"1.03"	"20-30mm"	"1.136"	"--"	"3.97"	"604"	"椭圆形"	"--"	"--"	"--"	"圭亚那3号"	"国外"	"--"	"10×5mm"	"1984"	"圆筒形"	"--"	"Azolla mexicana Schlecht et cham(墨西哥满江红)"	"00000603"	"粗、短"	"Euazolla(三膘亚属)"	"紫红"	"淡绿"	"--"	"--"	"--"	"1.370"	"0.563"	"0.1011"	"浅红"	"Guyana"	"--"	"--"	"3.73"	"中"	"白,边红"	"0.1550"	"蝶翅形"	"--"	"--"	"IRRI 204"	"--"	"--"	"弱"	"--"	"多边形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1748"	"圭亚那"	"弱"	"不结"	"强"	"淡绿"
"94"	"Azollaceae(满江红科)"	"--"	"--"	"Ohio"	"卵形"	"--"	"1.11"	"15-40mm"	"1.213"	"--"	"3.89"	"701"	"椭圆形"	"--"	"--"	"--"	"俄亥俄"	"国外"	"--"	"10×8mm"	"1984"	"圆筒形"	"强"	"Azolla caroliniana Wild(卡洲满江红)"	"00000604"	"细、短"	"Euazolla(三膘亚属)"	"紫红"	"暗红"	"--"	"--"	"--"	"--"	"0.482"	"--"	"紫绿"	"Ohio"	"--"	"--"	"4.15"	"强"	"白,边红"	"0.1551"	"蝶翅形"	"强"	"--"	"IRRI 301"	"--"	"--"	"强"	"--"	"多边形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1786"	"美国"	"强"	"不结"	"弱"	"紫绿"
"95"	"Azollaceae(满江红科)"	"0.0956"	"--"	"Treintay tres"	"卵形"	"--"	"0.83"	"10-30mm"	"1.242"	"--"	"3.45"	"702"	"椭圆形"	"--"	"--"	"--"	"格林台特里斯"	"国外"	"--"	"10×8mm"	"1984.4.13"	"椭圆形"	"强"	"Azolla caroliniana Wild(卡洲满江红)"	"00000605"	"细、短"	"Euazolla(三膘亚属)"	"紫绿"	"暗红"	"--"	"--"	"--"	"--"	"0.416"	"0.0177"	"紫绿"	"Treintay tres"	"--"	"--"	"3.81"	"强"	"白,边红"	"0.0773"	"蝶翅形"	"强"	"--"	"IRRI 304"	"--"	"--"	"强"	"--"	"多边形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1253"	"乌拉圭"	"强"	"不结"	"弱"	"紫绿"
"96"	"Azollaceae(满江红科)"	"--"	"3"	"Paraguay 1"	"棒状"	"锚状毛"	"0.78"	"20-25mm"	"1.494"	"长椭圆形"	"5.38"	"801"	"椭圆形"	"黄绿"	"4.8:1"	"--"	"巴拉圭1号"	"国外"	"--"	"5×10mm"	"1984.12.21"	"圆筒形"	"--"	"Azolla microphylla Kaulf(小叶满江红)"	"00000608"	"细、短"	"Euazolla(三膘亚属)"	"心褐边绿"	"浅绿"	"全表面"	"--"	"--"	"--"	"0.395"	"--"	"浅绿"	"Paraguay"	"长圆锥形"	"--"	"3.96"	"中"	"白-绿"	"0.1294"	"长椭圆形"	"--"	"黄绿"	"IRRI 401"	"--"	"--"	"中"	"11.26"	"多边形"	"Ⅲ"	"福建农科院红萍研究中心"	"0.1565"	"巴拉圭"	"中"	"结(94%)"	"强"	"浅绿"
