"id"	"索引"	"标准编号"	"标准名称"	"发布日期"	"实施日期"	"标准类型"	"发布单位"	"起草单位"	"起草人"	"标准概述（300字以内）"	"全文"
"24"	"040ef68d-51da-4431-93e2-d5ee87ecc03d"	"GB/T 29369-2012"	"银耳生产技术规范"	"2012/12/31"	"2013/7/1 0"	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"古田县食用菌产业管理局、福建农林大学菌物研究中心、福建省食用菌技术推广
总站、福建省标准化研究院"	"阮淑珊、雷银清、朱坚、吴小平、黄幸善、邓优锦、温志强、彭冬祥、戴维浩、
张汉文、赵理、曾丽平、高华娟、谢福泉、杨永彬"	"本标准规定了银耳生产的术语和定义、生产场所及设施、菌袋制作、菌丝培养、栽培管理和采收。"	" "
"25"	"04201dce-9c6d-4fc0-8aca-ee23f2ddbd36"	"GB/T 22507"	"动植物油脂植物油中反式脂肪酸异构体含量测定气相色谱法"	"2008/11/4 "	"2009/1/20 "	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"国家粮食局科学研究院、江南大学食品学院"	"张蕊、薛雅琳、王兴国、宋志华。"	"本标准规定了植物油中反式脂肪酸异构体含量测定的毛细管柱气相色谱法。  "	" "
"26"	"0421d3d4-2297-404b-865f-748a533208f7"	"GB 30604-2015"	"食品安全国家标准 食品营养强化剂 1,3-二油酸-2-棕榈酸甘油三酯"	"2015/9/22 "	"2016/3/22 "	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准适用于以食用植物油与油酸（来源于食用植物油脂）为原料，经食品工业用脂肪酶催化酯交换制得的食品营养强化剂  1,3-二油酸-2-棕榈酸甘油三酯。  1,3-二油酸-2-棕榈酸甘油三酯可含有用于保存目的的抗氧化剂。"	" "
"27"	"0465ec6c-a9ed-4f6b-a193-88e3e5dd2d20"	"GB 25577-2010"	"食品安全国家标准 食品添加剂 二氧化钛"	"2010/12/21"	"2011/2/21 "	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准适用于用钛铁矿与硫酸等为原料制备的食品添加剂二氧化钛或金红石矿（或富集的钛铁矿）用氯化法制得的食品添加剂二氧化钛。"	" "
"28"	"0471cbe6-7013-4677-986f-df56d4420144"	"GB 25561-2010"	"食品安全国家标准 食品添加剂 磷酸氢二钾"	"2010/12/21"	"2011/2/21 "	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准适用于以热法磷酸和氢氧化钾为原料制得的食品添加剂磷酸氢二钾。"	" "
"29"	"048411b8-222f-4aff-bc63-dda7c90437ea"	"GB 31633-2014"	"食品安全国家标准 食品添加剂 氢气"	"2014/12/24"	"2015/5/24 "	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准适用于裂解、点解后经提纯生产的食品添加剂氢气。"	" "
"30"	"0486b4b2-6da6-4a9c-9244-586509c70b5a"	"GB/T 28764"	"包装容器密闭性检测方法超声波法"	"2012/11/5 "	"2013/5/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"国家包装产品质量监督检验中心（济南）、济南红旗凯沃特汽车制造有限公司、山东恒同机车制造有限公司、山东省特种设备检验研究院、山东恒冠化工科技有限公司、北京嘉华思创科技有限公司、山东质量检验协会"	"张继斌、贾波、吴学军、张峰、刘丰、李新民、祁新宇、申丽霞、王望舒、武吉伟、辛峰、左汉锋"	"本标准规定了使用超声波法对包装容器进行密闭性能检测的方法。"	" "
"31"	"04c5fcf8-74e8-435d-8039-d9353d2f250f"	"GB/T 17814-2011"	"饲料中丁基羟基茴香醚、二丁基羟基甲苯、乙氧喹和没食子酸丙酯定"	"2011/12/30"	"2012/6/1 0"	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"上海市兽药饲料检测所
心、中国农业科学院农业质量标准与检测技术研究所"	"商军、黄士新、王蓓、华贤辉、潘娟、蔡金华
、刘雅妮、曹莹、李兰"	"本标准规定了饲料中丁基羟基茴香醚(BHA)、二丁基羟基甲苯(BHT)、乙氧喹(EQ)和没食子酸丙酯(PG)的高效液相色谱测定方法和饲料中丁基羟基茴香醚(BHA)、二丁基羟基甲苯(BHT)、乙氧喹(EQ)的气相色谱测定方法。"	" "
"32"	"04e71248-6529-4b02-9fb4-17b2aaee0e6f"	"GB 25574-2010"	"食品安全国家标准 食品添加剂 次氯酸钠"	"2010/12/21"	"2011/2/21 "	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准适用于由食品添加剂氢氧化钠和氯气反应制得的食品添加剂次氯酸钠。"	" "
"33"	"05307cdb-1f47-47ba-9ff9-89f9bacba104"	"GB/T 5009.119"	"复合食品包装袋中二氨基甲苯的测定"	"2003/8/11 "	"2004/1/1 0"	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"辽宁省食品卫生监督检验所、鞍钢卫生防疫站、沈阳市和平区卫生防疫站、沈阳市卫生防疫站。"	"翟永信、李学明、王义珠、张维民、吴百禄。"	"代替GB/T  14937-1994"	" "
