"id"	"蛋氨酸"	"科名"	"角斑病指数"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"缬氨酸"	"天冬氨酸"	"精氨酸"	"苏氨酸"	"丙氨酸"	"单株产量"	"总和"	"蚜害病级"	"异亮氨酸"	"炭疽病级"	"炭疽病指数"	"省"	"色氨酸"	"组氨酸"	"芽期抗寒"	"分枝数"	"样品类型"	"总淀粉"	"角斑病评价"	"东经"	"百粒重"	"属名"	"统一编号"	"芽期抗旱"	"学名"	"蚜害病指数"	"苯丙氨酸"	"熟期抗旱"	"支链淀粉"	"粒形"	"花色"	"粗脂肪"	"成熟期"	"粗蛋白"	"结荚习性"	"北纬"	"亮氨酸"	"库编号"	"生长习性"	"保存单位"	"原产地"	"备注"	"甘氨酸"	"单荚粒数"	"蚜害病评价"	"胱氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"酩氨酸"	"脯氨酸"	"赖氨酸"	"荚长"	"株高"	"角斑病级"	"丝氨酸"	"译名"	"高程"	"荚色"	"种子来源"	"炭疽病评价"	"全生育日数"
"21"	"--"	"Leguminosae(豆科)"	"--"	"2222"	"小金黄2号"	"--"	"4.28"	"--"	"--"	"--"	"--"	"--"	"24.2"	"--"	"9"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"--"	"3.2"	"地方"	"46.61"	"--"	"12513"	"42.5"	"Phaseolus(菜豆属)"	"F0000230"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"87.6"	"--"	"--"	"34.27"	"卵圆"	"白"	"1.39"	"8.07"	"21.97"	"有限"	"4910"	"--"	"I2K00004"	"直立"	"黑龙江省农科院"	"嫩江"	"--"	"--"	"3.2"	"HS"	"--"	"12.34"	"18.2"	"黄"	"--"	"--"	"--"	"18.2"	"37.2"	"--"	"--"	"XIAO JIN HUANG 2 HAO"	"225"	"白"	"--"	"--"	"101"
"22"	"--"	"Leguminosae(豆科)"	"--"	"2460"	"杂花豆一号"	"--"	"4.28"	"--"	"--"	"--"	"--"	"--"	"15.0"	"--"	"--"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"--"	"3.0"	"地方"	"46.84"	"--"	"12513"	"26.0"	"Phaseolus(菜豆属)"	"F0000318"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"34.18"	"椭圆"	"白"	"0.61"	"8.07"	"23.28"	"有限"	"4910"	"--"	"I2K00012"	"直立"	"黑龙江省农科院"	"嫩江"	"--"	"--"	"3.0"	"--"	"--"	"12.66"	"19.8"	"花斑"	"--"	"--"	"--"	"8.4"	"44.2"	"--"	"--"	"ZA HUA DOU YI HAO"	"225"	"白"	"--"	"--"	"101"
"23"	"--"	"Leguminosae(豆科)"	"100.0"	"2463"	"小金黄4号"	"--"	"4.28"	"--"	"--"	"--"	"--"	"--"	"22.4"	"--"	"9"	"--"	"3-7"	"57.0"	"黑龙江"	"--"	"--"	"--"	"3.4"	"地方"	"47.74"	"HS"	"12513"	"43.0"	"Phaseolus(菜豆属)"	"F0000319"	"4"	"Phaseolus vulgaris L.(普通菜豆)"	"62.5"	"--"	"1"	"35.48"	"椭圆"	"白"	"0.41"	"8.07"	"22.82"	"有限"	"4910"	"--"	"I2K01421"	"直立"	"黑龙江省农科院"	"嫩江"	"--"	"--"	"4.0"	"HS"	"--"	"12.26"	"18.6"	"花斑"	"--"	"--"	"--"	"9.2"	"49.6"	"9"	"--"	"XIAO JIN HUANG 4 HAO"	"225"	"白"	"--"	"MS"	"101"
"24"	"0.23"	"Leguminosae(豆科)"	"85.2"	"2220"	"小金黄3号"	"3.96"	"4.28"	"1.53"	"2.76"	"1.29"	"0.92"	"0.99"	"26.4"	"22.09"	"7"	"1.14"	"7-9"	"91.1"	"黑龙江"	"0.09"	"0.20"	"--"	"2.8"	"地方"	"49.88"	"HS"	"12513"	"36.0"	"Phaseolus(菜豆属)"	"F0000323"	"4"	"Phaseolus vulgaris L.(普通菜豆)"	"44.9"	"1.44"	"3"	"38.72"	"肾形"	"白"	"1.69"	"8.07"	"21.10"	"有限"	"4910"	"1.96"	"I2K01100"	"直立"	"黑龙江省农科院"	"嫩江"	"--"	"0.87"	"4.0"	"S"	"0.32"	"11.16"	"25.2"	"花斑"	"0.62"	"0.87"	"1.67"	"12.0"	"50.0"	"7-9"	"1.22"	"XIAO JIN HUANG 3 HAO"	"225"	"白"	"--"	"HS"	"101"
"25"	"--"	"Leguminosae(豆科)"	"--"	"2508"	"白花芸豆"	"--"	"4.28"	"--"	"--"	"--"	"--"	"--"	"29.5"	"--"	"--"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"--"	"2.4"	"地方"	"46.04"	"--"	"12618"	"39.3"	"Phaseolus(菜豆属)"	"F0000400"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"34.88"	"卵圆"	"浅红"	"0.96"	"8.10"	"24.41"	"无限"	"4529"	"--"	"I2K01465"	"蔓生"	"黑龙江省农科院"	"双城"	"--"	"--"	"3.3"	"--"	"--"	"11.16"	"23.0"	"花纹"	"--"	"--"	"--"	"7.4"	"189.8"	"--"	"--"	"BAI HUA YUN DOU"	"167"	"黄"	"--"	"--"	"104"
"26"	"--"	"Leguminosae(豆科)"	"64.4"	"2515"	"窝郎豆"	"--"	"4.28"	"--"	"--"	"--"	"--"	"--"	"33.4"	"--"	"9"	"--"	"1-5"	"34.8"	"黑龙江"	"--"	"--"	"--"	"2.6"	"地方"	"46.64"	"S"	"12923"	"47.0"	"Phaseolus(菜豆属)"	"F0000401"	"3"	"Phaseolus vulgaris L.(普通菜豆)"	"77.2"	"--"	"4"	"36.48"	"肾形"	"白"	"1.07"	"8.13"	"24.50"	"无限"	"4434"	"--"	"I2K01466"	"蔓生"	"黑龙江省农科院"	"海林"	"--"	"--"	"4.0"	"HS"	"--"	"10.16"	"29.0"	"花纹"	"--"	"--"	"--"	"10.6"	"181.0"	"5"	"--"	"WO LANG DOU"	"253"	"白"	"--"	"MR"	"107"
"27"	"0.07"	"Leguminosae(豆科)"	"--"	"2426"	"矮饭豆"	"4.54"	"4.28"	"1.63"	"3.14"	"1.82"	"1.14"	"1.15"	"14.0"	"25.25"	"9"	"1.20"	"--"	"--"	"黑龙江"	"0.10"	"0.31"	"--"	"3.0"	"地方"	"47.91"	"--"	"13007"	"53.3"	"Phaseolus(菜豆属)"	"F0000402"	"4"	"Phaseolus vulgaris L.(普通菜豆)"	"92.1"	"1.76"	"4"	"38.69"	"卵圆"	"浅红"	"1.42"	"7.31"	"22.94"	"有限"	"4403"	"2.16"	"I2K01117"	"直立"	"黑龙江省农科院"	"东宁"	"--"	"0.99"	"3.6"	"HS"	"0.45"	"9.22"	"7.4"	"花纹"	"0.49"	"0.91"	"1.92"	"9.5"	"22.2"	"--"	"1.47"	"AI FAN DOU"	"119"	"黑褐"	"--"	"--"	"94"
"28"	"--"	"Leguminosae(豆科)"	"86.7"	"2297"	"饭豆"	"--"	"4.28"	"--"	"--"	"--"	"--"	"--"	"10.8"	"--"	"--"	"--"	"5-9"	"76.3"	"黑龙江"	"--"	"--"	"--"	"3.0"	"地方"	"43.28"	"HS"	"13007"	"44.0"	"Phaseolus(菜豆属)"	"F0000403"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"29.92"	"肾形"	"浅红"	"0.99"	"8.13"	"23.44"	"有限"	"4403"	"--"	"I2K01667"	"直立"	"黑龙江省农科院"	"东宁"	"--"	"--"	"4.1"	"--"	"--"	"13.36"	"9.2"	"花纹"	"--"	"--"	"--"	"11.0"	"38.6"	"7-9"	"--"	"FAN DOU"	"119"	"黄"	"--"	"S"	"107"
"29"	"--"	"Leguminosae(豆科)"	"--"	"2211"	"兔子腿"	"--"	"4.28"	"--"	"--"	"--"	"--"	"--"	"7.8"	"--"	"--"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"--"	"2.2"	"地方"	"47.96"	"--"	"12727"	"19.3"	"Phaseolus(菜豆属)"	"F0000404"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"36.22"	"肾形"	"白"	"0.94"	"8.01"	"24.09"	"有限"	"5015"	"--"	"I2K01118"	"直立"	"黑龙江省农科院"	"爱辉"	"--"	"--"	"5.6"	"--"	"--"	"11.74"	"7.2"	"双色"	"--"	"--"	"--"	"11.8"	"18.2"	"--"	"--"	"TU ZI TUI"	"--"	"黑"	"--"	"--"	"95"
"30"	"--"	"Leguminosae(豆科)"	"--"	"2447"	"兔子腿"	"--"	"4.28"	"--"	"--"	"--"	"--"	"--"	"8.8"	"--"	"9"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"--"	"2.6"	"地方"	"46.41"	"--"	"12727"	"29.3"	"Phaseolus(菜豆属)"	"F0000405"	"5"	"Phaseolus vulgaris L.(普通菜豆)"	"59.9"	"--"	"3"	"35.51"	"肾形"	"白"	"1.48"	"8.05"	"23.91"	"有限"	"5015"	"--"	"I2K01119"	"直立"	"黑龙江省农科院"	"爱辉"	"--"	"--"	"4.0"	"HS"	"--"	"10.90"	"9.0"	"双色"	"--"	"--"	"--"	"11.8"	"22.4"	"--"	"--"	"TU ZI TUI"	"--"	"白"	"--"	"--"	"99"
"31"	"--"	"Leguminosae(豆科)"	"--"	"2448"	"紫白花豆"	"--"	"4.28"	"--"	"--"	"--"	"--"	"--"	"9.2"	"--"	"--"	"--"	"--"	"--"	"黑龙江"	"--"	"--"	"--"	"2.4"	"地方"	"50.61"	"--"	"12727"	"43.3"	"Phaseolus(菜豆属)"	"F0000406"	"--"	"Phaseolus vulgaris L.(普通菜豆)"	"--"	"--"	"--"	"37.01"	"肾形"	"浅红"	"0.83"	"8.01"	"22.91"	"有限"	"5015"	"--"	"I2K01120"	"直立"	"黑龙江省农科院"	"爱辉"	"--"	"--"	"4.0"	"--"	"--"	"13.60"	"9.2"	"双色"	"--"	"--"	"--"	"8.7"	"26.2"	"--"	"--"	"ZI BAI HUA DOU"	"--"	"黄"	"--"	"--"	"95"
