"id"	"异亮氨酸"	"单位编号"	"样品类型"	"棱翅"	"花色"	"蛋氨酸"	"维生素PP"	"主茎节数"	"酪氨酸"	"硒"	"苯丙氨酸"	"籽粒形状"	"脂肪"	"译名"	"磷"	"色氨酸"	"千粒重"	"苏氨酸"	"属名"	"种子来源地"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"谷壳率"	"天冬氨酸"	"生育日数"	"茎色"	"谷氨酸"	"省"	"类型"	"精氨酸"	"库编号"	"品种名称"	"倒伏性"	"主茎分枝数"	"株型"	"丙氨酸"	"学名"	"叶色"	"维生素E"	"腹沟"	"铁"	"脯氨酸"	"籽粒颜色"	"株高"	"组氨酸"	"保存单位"	"缬氨酸"	"锌"	"统一编号"	"铜"	"蛋白质"	"落粒性"	"胱氨酸"	"亮氨酸"	"钙"	"总和"	"单株粒重"	"锰"	"科名"
"218"	"0.42"	"F179"	"地方"	"无"	"绿"	"0.18"	"2.58"	"18.3"	"0.31"	"0.295"	"0.49"	"长形"	"--"	"PING DING KU QIAO"	"3160"	"0.12"	"19.4"	"0.38"	"Fagopyrum(荞麦属)"	"平定"	"0.50"	"0.58"	"0.55"	"--"	"0.94"	"78"	"绿"	"1.77"	"山西"	"苦荞"	"0.96"	"I1M00533"	"平定苦荞"	"抗"	"5.4"	"--"	"0.44"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"浅绿"	"1.02"	"--"	"77.50"	"0.34"	"褐"	"111.1"	"0.24"	"晋农科院"	"0.50"	"25.51"	"00001013"	"5.480"	"--"	"轻"	"0.22"	"0.67"	"244.1"	"9.61"	"1.30"	"8.200"	"Polygonum(蓼科)"
"219"	"0.47"	"F180"	"地方"	"无"	"绿"	"0.21"	"3.32"	"17.9"	"0.37"	"0.245"	"0.58"	"长形"	"--"	"XI YANG KU QIAO"	"4160"	"0.12"	"19.9"	"0.45"	"Fagopyrum(荞麦属)"	"昔阳"	"0.61"	"0.69"	"0.65"	"--"	"1.14"	"76"	"绿"	"2.23"	"山西"	"苦荞"	"1.20"	"I1M00534"	"昔阳苦荞"	"抗"	"4.5"	"--"	"0.47"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"浅绿"	"1.34"	"--"	"109.40"	"0.54"	"褐"	"97.7"	"0.29"	"晋农科院"	"0.58"	"36.82"	"00001014"	"6.770"	"--"	"轻"	"0.25"	"0.77"	"359.3"	"11.62"	"1.30"	"10.110"	"Polygonum(蓼科)"
"220"	"0.63"	"F181"	"地方"	"无"	"绿"	"0.20"	"2.58"	"18.3"	"0.41"	"0.125"	"0.60"	"长形"	"--"	"KU TIAO ZI"	"3910"	"0.13"	"19.0"	"0.40"	"Fagopyrum(荞麦属)"	"寿阳"	"0.57"	"0.68"	"0.63"	"--"	"1.07"	"84"	"绿"	"2.42"	"山西"	"苦荞"	"1.26"	"I1M00535"	"苦条子"	"抗"	"7.6"	"--"	"0.53"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"深绿"	"0.95"	"--"	"71.80"	"0.43"	"灰"	"103.4"	"0.30"	"晋农科院"	"0.62"	"27.80"	"00001015"	"8.380"	"--"	"轻"	"0.13"	"0.86"	"246.1"	"11.87"	"0.80"	"7.950"	"Polygonum(蓼科)"
"221"	"0.55"	"甘71"	"地方"	"无"	"绿"	"0.19"	"4.64"	"20.0"	"0.34"	"0.016"	"0.60"	"长形"	"--"	"LV QIAO"	"3209"	"0.14"	"10.0"	"0.49"	"Fagopyrum(荞麦属)"	"靖远县"	"0.68"	"0.70"	"0.71"	"--"	"1.28"	"100"	"淡红"	"2.21"	"甘肃"	"苦荞"	"1.19"	"I1M00295"	"绿荞"	"不抗"	"8.0"	"--"	"0.55"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"浅绿"	"1.07"	"--"	"56.80"	"0.48"	"黑"	"145.0"	"0.32"	"甘农科院"	"0.64"	"19.42"	"00001143"	"6.310"	"--"	"中"	"0.19"	"0.88"	"363.6"	"12.14"	"6.30"	"6.450"	"Polygonum(蓼科)"
"222"	"0.47"	"甘72"	"地方"	"无"	"绿"	"0.16"	"2.82"	"21.5"	"0.35"	"0.070"	"0.58"	"长形"	"--"	"KU QIAO"	"2712"	"0.14"	"17.4"	"0.45"	"Fagopyrum(荞麦属)"	"靖远县"	"0.58"	"0.63"	"0.63"	"--"	"0.91"	"95"	"绿"	"1.94"	"甘肃"	"苦荞"	"1.17"	"I1M00296"	"苦荞"	"不抗"	"6.5"	"--"	"0.48"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"浅绿"	"1.25"	"--"	"446.00"	"0.40"	"黑"	"115.0"	"0.28"	"甘农科院"	"0.57"	"14.49"	"00001144"	"5.720"	"--"	"中"	"0.08"	"0.74"	"314.4"	"10.56"	"6.80"	"5.220"	"Polygonum(蓼科)"
"223"	"0.46"	"甘73"	"地方"	"无"	"绿"	"0.22"	"3.37"	"19.0"	"0.35"	"0.078"	"0.55"	"宽"	"--"	"HUI CHA KU QIAO"	"3832"	"0.15"	"14.8"	"0.39"	"Fagopyrum(荞麦属)"	"靖远县"	"0.56"	"0.60"	"0.60"	"--"	"1.03"	"100"	"绿"	"1.90"	"甘肃"	"苦荞"	"1.06"	"I1M00297"	"回茬苦荞"	"中"	"7.5"	"--"	"0.47"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"浅绿"	"0.58"	"--"	"49.60"	"0.38"	"黑"	"125.0"	"0.26"	"甘农科院"	"0.57"	"19.44"	"00001145"	"6.530"	"--"	"中"	"0.19"	"0.74"	"358.2"	"10.48"	"6.30"	"7.030"	"Polygonum(蓼科)"
"224"	"0.44"	"甘74"	"地方"	"无"	"绿"	"0.16"	"2.69"	"26.0"	"0.34"	"0.032"	"0.60"	"宽"	"--"	"KU QIAO"	"3486"	"0.13"	"16.2"	"0.41"	"Fagopyrum(荞麦属)"	"靖远县"	"0.57"	"0.67"	"0.62"	"--"	"1.07"	"101"	"淡红"	"1.92"	"甘肃"	"苦荞"	"1.05"	"I1M00298"	"苦荞"	"中"	"6.5"	"--"	"0.47"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"深绿"	"1.83"	"--"	"47.30"	"0.38"	"灰"	"120.0"	"0.26"	"甘农科院"	"1.18"	"18.02"	"00001146"	"6.400"	"--"	"重"	"0.16"	"0.75"	"358.8"	"11.18"	"2.90"	"6.480"	"Polygonum(蓼科)"
"225"	"0.42"	"甘75"	"地方"	"无"	"绿"	"0.14"	"3.16"	"21.0"	"0.31"	"0.012"	"0.50"	"宽"	"--"	"KU QIAO"	"3294"	"0.13"	"15.0"	"0.40"	"Fagopyrum(荞麦属)"	"临洮县"	"0.55"	"0.60"	"0.60"	"22.80"	"1.02"	"100"	"绿"	"1.82"	"甘肃"	"苦荞"	"1.00"	"I1M00299"	"苦荞"	"中"	"13.5"	"--"	"0.45"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.45"	"--"	"42.80"	"0.40"	"灰"	"130.0"	"0.25"	"甘农科院"	"0.53"	"17.49"	"00001147"	"4.650"	"--"	"中"	"0.15"	"0.70"	"309.8"	"9.98"	"9.10"	"6.410"	"Polygonum(蓼科)"
"226"	"0.48"	"甘76"	"地方"	"无"	"绿"	"0.17"	"3.22"	"17.5"	"0.31"	"0.018"	"0.59"	"宽"	"--"	"HEI KU QIAO"	"3639"	"0.13"	"15.0"	"0.51"	"Fagopyrum(荞麦属)"	"临洮县"	"0.71"	"0.71"	"0.70"	"22.60"	"1.29"	"100"	"淡红"	"2.35"	"甘肃"	"苦荞"	"1.16"	"I1M00300"	"黑苦荞"	"中"	"5.7"	"--"	"0.49"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.97"	"--"	"51.80"	"0.77"	"黑"	"110.0"	"0.28"	"甘农科院"	"0.60"	"18.35"	"00001148"	"6.070"	"--"	"中"	"0.16"	"0.80"	"407.5"	"12.21"	"5.60"	"7.690"	"Polygonum(蓼科)"
"227"	"0.45"	"甘77"	"地方"	"无"	"绿"	"0.15"	"3.49"	"17.5"	"0.32"	"0.020"	"0.54"	"宽"	"--"	"BAI KU QIAO"	"3458"	"0.13"	"18.0"	"0.41"	"Fagopyrum(荞麦属)"	"临洮县"	"0.58"	"0.62"	"0.62"	"23.00"	"1.07"	"100"	"绿"	"1.91"	"甘肃"	"苦荞"	"1.06"	"I1M00301"	"白苦荞"	"中"	"7.0"	"--"	"0.47"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"3.42"	"--"	"43.00"	"0.38"	"灰"	"120.0"	"0.26"	"甘农科院"	"0.55"	"14.17"	"00001149"	"7.120"	"--"	"中"	"0.16"	"0.73"	"362.5"	"10.41"	"10.20"	"6.020"	"Polygonum(蓼科)"
"228"	"0.51"	"甘78"	"地方"	"无"	"绿"	"0.17"	"3.74"	"21.5"	"0.36"	"0.008"	"0.63"	"宽"	"--"	"HEI KU QIAO"	"3685"	"0.13"	"9.7"	"0.47"	"Fagopyrum(荞麦属)"	"临洮县"	"0.64"	"0.70"	"0.68"	"23.20"	"1.18"	"95"	"绿"	"2.10"	"甘肃"	"苦荞"	"1.15"	"I1M00302"	"黑苦荞"	"不抗"	"6.5"	"--"	"0.53"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.51"	"--"	"56.30"	"0.46"	"黑"	"140.0"	"0.29"	"甘农科院"	"0.63"	"15.70"	"00001150"	"5.220"	"--"	"中"	"0.19"	"0.82"	"424.0"	"11.64"	"4.10"	"6.620"	"Polygonum(蓼科)"
"229"	"0.44"	"甘79"	"地方"	"无"	"绿"	"0.14"	"3.75"	"23.0"	"0.32"	"0.011"	"0.54"	"宽"	"--"	"KU QIAO"	"3080"	"0.13"	"18.2"	"0.41"	"Fagopyrum(荞麦属)"	"会宁县"	"0.56"	"0.61"	"0.60"	"20.00"	"1.04"	"101"	"绿"	"1.84"	"甘肃"	"苦荞"	"0.99"	"I1M00303"	"苦荞"	"不抗"	"7.0"	"--"	"0.47"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"浅绿"	"0.44"	"--"	"50.70"	"0.41"	"灰"	"165.0"	"0.25"	"甘农科院"	"0.55"	"14.33"	"00001151"	"4.780"	"--"	"中"	"0.17"	"0.70"	"409.2"	"10.17"	"8.00"	"5.930"	"Polygonum(蓼科)"
"230"	"0.49"	"甘80"	"地方"	"无"	"绿"	"0.12"	"5.52"	"18.0"	"0.35"	"0.020"	"0.61"	"宽"	"--"	"MA KU QIAO"	"3525"	"0.14"	"19.3"	"0.46"	"Fagopyrum(荞麦属)"	"会宁县"	"0.62"	"0.68"	"0.68"	"23.50"	"1.16"	"97"	"绿"	"2.12"	"甘肃"	"苦荞"	"1.16"	"I1M00304"	"麻苦荞"	"中"	"6.5"	"--"	"0.52"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.83"	"--"	"51.40"	"0.40"	"灰"	"145.0"	"0.28"	"甘农科院"	"0.61"	"15.52"	"00001152"	"5.010"	"--"	"中"	"0.16"	"0.78"	"396.6"	"11.34"	"4.50"	"6.650"	"Polygonum(蓼科)"
"231"	"0.43"	"M41"	"地方"	"无"	"淡绿"	"0.19"	"2.95"	"18.0"	"0.32"	"0.029"	"0.52"	"长形"	"--"	"KU QIAO"	"3465"	"0.11"	"23.7"	"0.43"	"Fagopyrum(荞麦属)"	"乐都县"	"0.61"	"0.62"	"0.55"	"38.30"	"1.13"	"121"	"绿"	"1.92"	"青海"	"苦荞"	"1.09"	"I1M00092"	"苦荞"	"中"	"6.0"	"--"	"0.56"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"深绿"	"0.87"	"--"	"185.10"	"0.46"	"灰"	"123.0"	"0.25"	"青农科院"	"0.57"	"45.72"	"00001216"	"7.420"	"--"	"中"	"0.44"	"0.70"	"513.1"	"10.90"	"7.40"	"10.730"	"Polygonum(蓼科)"
"232"	"0.41"	"M44"	"地方"	"无"	"绿"	"0.19"	"2.40"	"22.0"	"0.32"	"0.043"	"0.50"	"长形"	"--"	"KU QIAO"	"3197"	"0.12"	"22.0"	"0.41"	"Fagopyrum(荞麦属)"	"民和县"	"0.58"	"0.60"	"0.53"	"28.20"	"1.10"	"111"	"绿"	"1.83"	"青海"	"苦荞"	"1.04"	"I1M00093"	"苦荞"	"中"	"11.0"	"--"	"0.55"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"深绿"	"0.95"	"--"	"132.30"	"0.38"	"灰"	"98.0"	"0.24"	"青农科院"	"0.57"	"32.96"	"00001217"	"7.610"	"--"	"中"	"0.40"	"0.68"	"538.2"	"10.45"	"31.60"	"9.720"	"Polygonum(蓼科)"
"233"	"0.39"	"M45"	"地方"	"无"	"绿"	"0.17"	"2.36"	"9.0"	"0.29"	"0.049"	"0.44"	"长形"	"--"	"KU QIAO"	"3338"	"0.10"	"22.1"	"0.40"	"Fagopyrum(荞麦属)"	"民和县"	"0.55"	"0.58"	"0.53"	"30.00"	"1.04"	"111"	"绿"	"1.72"	"青海"	"苦荞"	"0.94"	"I1M00094"	"苦荞"	"不抗"	"5.0"	"--"	"0.53"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"深绿"	"0.84"	"--"	"121.20"	"0.43"	"灰"	"119.0"	"0.23"	"青农科院"	"0.54"	"33.58"	"00001218"	"6.640"	"--"	"中"	"0.29"	"0.64"	"511.6"	"9.81"	"12.60"	"9.410"	"Polygonum(蓼科)"
"234"	"0.51"	"M51"	"地方"	"无"	"绿"	"0.20"	"2.07"	"17.0"	"0.35"	"0.033"	"0.60"	"长形"	"--"	"KU QIAO"	"3799"	"0.13"	"23.1"	"0.49"	"Fagopyrum(荞麦属)"	"互助县"	"0.69"	"0.69"	"0.59"	"32.70"	"1.31"	"121"	"绿"	"2.19"	"青海"	"苦荞"	"1.21"	"I1M00095"	"苦荞"	"中"	"7.0"	"--"	"0.61"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"深绿"	"1.12"	"--"	"398.70"	"0.51"	"深灰"	"109.0"	"0.27"	"青农科院"	"0.68"	"48.29"	"00001219"	"16.090"	"--"	"中"	"0.34"	"0.81"	"560.6"	"12.18"	"--"	"11.760"	"Polygonum(蓼科)"
"235"	"0.36"	"T1"	"地方"	"无"	"白绿"	"0.08"	"3.64"	"15.9"	"0.24"	"0.010"	"0.44"	"长形"	"--"	"E LUO WU CI"	"3127"	"0.12"	"18.6"	"0.30"	"Fagopyrum(荞麦属)"	"盐沅县"	"0.39"	"0.54"	"0.51"	"30.00"	"0.83"	"77"	"淡红"	"1.40"	"四川"	"苦荞"	"0.80"	"I1M00199"	"额洛乌此"	"中"	"3.3"	"--"	"0.40"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"1.00"	"--"	"25.50"	"0.30"	"黑"	"90.3"	"0.21"	"川凉山州昭觉农科所"	"0.47"	"7.75"	"00001220"	"3.210"	"--"	"重"	"0.08"	"0.59"	"211.0"	"8.06"	"1.31"	"7.650"	"Polygonum(蓼科)"
"236"	"0.33"	"T2"	"地方"	"无"	"白绿"	"0.08"	"4.60"	"15.7"	"0.24"	"0.012"	"0.42"	"长形"	"--"	"SHI CHE E"	"2956"	"0.11"	"19.6"	"0.29"	"Fagopyrum(荞麦属)"	"盐源县"	"0.39"	"0.51"	"0.49"	"30.00"	"0.79"	"77"	"淡红"	"1.30"	"四川"	"苦荞"	"0.76"	"I1M00200"	"时扯额"	"中"	"4.9"	"--"	"0.38"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"1.08"	"--"	"24.70"	"0.30"	"黑"	"90.2"	"0.20"	"川凉山州昭觉农科所"	"0.43"	"13.38"	"00001221"	"3.500"	"--"	"重"	"0.11"	"0.56"	"176.9"	"7.69"	"2.15"	"7.670"	"Polygonum(蓼科)"
"237"	"0.38"	"T3"	"地方"	"无"	"白绿"	"0.13"	"4.07"	"15.6"	"0.26"	"0.012"	"0.47"	"长形"	"--"	"SHI CHE E"	"2759"	"0.11"	"18.7"	"0.32"	"Fagopyrum(荞麦属)"	"木里县"	"0.42"	"0.56"	"0.54"	"29.00"	"0.87"	"77"	"淡红"	"1.46"	"四川"	"苦荞"	"0.84"	"I1M00201"	"时扯额"	"中"	"3.7"	"--"	"0.41"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.74"	"--"	"35.70"	"0.34"	"黑"	"85.8"	"0.23"	"川凉山州昭觉农科所"	"0.50"	"14.42"	"00001222"	"4.550"	"--"	"重"	"0.11"	"0.61"	"183.2"	"8.56"	"1.75"	"7.870"	"Polygonum(蓼科)"
"238"	"0.37"	"T4"	"地方"	"无"	"白绿"	"0.11"	"3.84"	"15.7"	"0.25"	"0.014"	"0.46"	"长形"	"--"	"E LUO WU CI"	"2775"	"0.11"	"18.0"	"0.31"	"Fagopyrum(荞麦属)"	"金阳县"	"0.40"	"0.54"	"0.51"	"26.00"	"0.83"	"77"	"淡红"	"1.35"	"四川"	"苦荞"	"0.79"	"I1M00202"	"额洛乌此"	"中"	"7.7"	"--"	"0.40"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.56"	"--"	"31.20"	"0.33"	"黑"	"85.8"	"0.22"	"川凉山州昭觉农科所"	"0.48"	"17.72"	"00001223"	"7.140"	"--"	"重"	"0.10"	"0.60"	"179.5"	"8.16"	"2.15"	"8.450"	"Polygonum(蓼科)"
"239"	"0.34"	"T5"	"地方"	"无"	"白绿"	"0.14"	"4.03"	"17.5"	"0.22"	"0.012"	"0.42"	"长形"	"--"	"E LUO WU QIE"	"3078"	"0.10"	"19.2"	"0.29"	"Fagopyrum(荞麦属)"	"越西县"	"0.38"	"0.51"	"0.50"	"32.00"	"0.79"	"77"	"淡红"	"1.31"	"四川"	"苦荞"	"0.76"	"I1M00203"	"额洛乌且"	"中"	"3.5"	"--"	"0.39"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"1.00"	"--"	"26.10"	"0.31"	"黑"	"101.9"	"0.21"	"川凉山州昭觉农科所"	"0.46"	"25.71"	"00001224"	"4.270"	"--"	"重"	"0.08"	"0.56"	"201.8"	"7.77"	"2.28"	"7.270"	"Polygonum(蓼科)"
"240"	"0.36"	"T6"	"地方"	"无"	"白绿"	"0.10"	"3.55"	"17.1"	"0.23"	"0.011"	"0.44"	"长形"	"--"	"E LUO WU QIE"	"3300"	"0.12"	"19.3"	"0.29"	"Fagopyrum(荞麦属)"	"普格县"	"0.37"	"0.52"	"0.49"	"30.00"	"0.80"	"77"	"淡红"	"1.29"	"四川"	"苦荞"	"0.76"	"I1M00204"	"额洛乌且"	"中"	"3.4"	"--"	"0.39"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.82"	"--"	"34.50"	"0.30"	"黑"	"98.5"	"0.22"	"川凉山州昭觉农科所"	"0.47"	"10.91"	"00001225"	"5.690"	"--"	"重"	"0.03"	"0.57"	"172.0"	"7.75"	"1.48"	"6.380"	"Polygonum(蓼科)"
"241"	"0.48"	"005"	"地方"	"无"	"绿"	"0.08"	"2.38"	"17.0"	"0.36"	"0.091"	"0.58"	"长形"	"--"	"82-8-1"	"3523"	"0.09"	"13.0"	"0.44"	"Fagopyrum(荞麦属)"	"凡昌"	"0.59"	"0.65"	"0.58"	"26.00"	"1.09"	"75"	"微绿"	"2.05"	"安徽"	"苦荞"	"1.04"	"I1M00743"	"82-8-1"	"抗"	"6.0"	"--"	"0.53"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"浅绿"	"0.28"	"--"	"339.50"	"0.44"	"褐"	"58.0"	"0.27"	"皖农科院"	"0.59"	"32.48"	"00001346"	"8.650"	"--"	"轻"	"0.14"	"0.77"	"303.3"	"10.77"	"2.13"	"17.180"	"Polygonum(蓼科)"
"242"	"0.42"	"006"	"地方"	"无"	"绿"	"0.12"	"3.82"	"14.0"	"0.32"	"0.070"	"0.52"	"长形"	"--"	"82-4-6"	"2856"	"0.08"	"14.6"	"0.38"	"Fagopyrum(荞麦属)"	"宁国"	"0.52"	"0.56"	"0.57"	"25.70"	"0.97"	"75"	"微紫"	"1.78"	"安徽"	"苦荞"	"0.95"	"I1M00744"	"82-4-6"	"抗"	"7.0"	"--"	"0.47"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"浅绿"	"0.56"	"--"	"1149.00"	"0.35"	"褐"	"52.0"	"0.23"	"皖农科院"	"0.52"	"33.94"	"00001347"	"12.870"	"--"	"轻"	"0.14"	"0.67"	"874.1"	"9.57"	"2.23"	"77.190"	"Polygonum(蓼科)"
"243"	"0.44"	"2001"	"地方"	"无"	"粉红"	"0.16"	"0.46"	"15.6"	"0.31"	"0.056"	"0.50"	"长形"	"--"	"PENG ZE KU QIAO"	"3907"	"0.14"	"18.5"	"0.41"	"Fagopyrum(荞麦属)"	"彭泽"	"0.55"	"0.59"	"0.58"	"22.00"	"0.98"	"67"	"绿"	"1.81"	"江西"	"苦荞"	"1.08"	"I1M00036"	"彭泽苦荞"	"抗"	"5.7"	"--"	"0.44"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"1.21"	"--"	"141.50"	"0.38"	"黑"	"81.5"	"0.24"	"赣吉安地区农科所"	"0.55"	"27.66"	"00001348"	"8.820"	"--"	"轻"	"0.13"	"0.72"	"230.2"	"10.01"	"5.00"	"13.890"	"Polygonum(蓼科)"
"244"	"0.44"	"2002"	"地方"	"无"	"粉红"	"0.15"	"1.25"	"15.8"	"0.31"	"0.059"	"0.50"	"长形"	"--"	"JIU JIANG KU QIAO"	"3416"	"0.15"	"19.5"	"0.41"	"Fagopyrum(荞麦属)"	"九江"	"0.55"	"0.59"	"0.58"	"22.00"	"0.98"	"67"	"绿"	"1.81"	"江西"	"苦荞"	"1.10"	"I1M00037"	"九江苦荞"	"抗"	"5.6"	"--"	"0.44"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"1.26"	"--"	"61.40"	"0.38"	"黑"	"83.0"	"0.24"	"赣吉安地区农科所"	"0.56"	"23.71"	"00001349"	"6.160"	"--"	"轻"	"0.14"	"0.72"	"195.1"	"10.05"	"5.00"	"12.030"	"Polygonum(蓼科)"
"245"	"0.45"	"0001"	"地方"	"--"	"淡黄"	"0.11"	"1.18"	"13.0"	"0.30"	"0.075"	"0.52"	"长形"	"--"	"HONG XI KU QIAO"	"2500"	"0.14"	"15.0"	"0.41"	"Fagopyrum(荞麦属)"	"威宁"	"0.55"	"0.61"	"0.58"	"20.00"	"0.98"	"77"	"淡绿"	"1.82"	"贵州"	"苦荞"	"0.98"	"I1M00469"	"红细苦荞"	"抗"	"3.0"	"--"	"0.47"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.78"	"--"	"961.70"	"0.38"	"浅褐"	"59.7"	"0.25"	"贵威宁农科所"	"0.58"	"25.57"	"00001350"	"10.200"	"--"	"轻"	"0.08"	"0.75"	"309.2"	"9.96"	"5.40"	"28.600"	"Polygonum(蓼科)"
"246"	"0.57"	"0002"	"地方"	"--"	"淡黄"	"0.21"	"4.78"	"15.0"	"0.45"	"0.131"	"0.55"	"长形"	"--"	"LENG FAN TUAN"	"3839"	"0.12"	"15.1"	"0.42"	"Fagopyrum(荞麦属)"	"威宁"	"0.59"	"0.61"	"0.63"	"20.00"	"1.09"	"77"	"淡绿"	"2.16"	"贵州"	"苦荞"	"1.16"	"I1M01155"	"冷饭团"	"抗"	"5.0"	"--"	"0.50"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.60"	"--"	"157.50"	"0.38"	"浅褐"	"62.3"	"0.26"	"贵威宁农科所"	"0.57"	"29.70"	"00001351"	"8.500"	"--"	"中"	"0.16"	"0.83"	"384.4"	"11.26"	"4.50"	"10.560"	"Polygonum(蓼科)"
"247"	"0.46"	"0003"	"地方"	"--"	"淡黄"	"0.15"	"1.54"	"10.0"	"0.30"	"0.049"	"0.52"	"长形"	"--"	"XI KU QIAO"	"2998"	"0.11"	"14.0"	"0.43"	"Fagopyrum(荞麦属)"	"威宁"	"0.56"	"0.62"	"0.58"	"20.00"	"1.02"	"75"	"淡绿"	"1.89"	"贵州"	"苦荞"	"1.38"	"I1M00470"	"细苦荞"	"抗"	"5.0"	"--"	"0.49"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.75"	"--"	"2105.00"	"0.39"	"浅褐"	"71.4"	"0.24"	"贵威宁农科所"	"0.56"	"34.16"	"00001352"	"8.820"	"--"	"中"	"0.16"	"0.72"	"268.7"	"10.58"	"5.50"	"22.920"	"Polygonum(蓼科)"
"248"	"--"	"0004"	"地方"	"--"	"淡黄"	"--"	"--"	"18.0"	"--"	"--"	"--"	"长形"	"--"	"QI CHI QIAO"	"--"	"--"	"16.6"	"--"	"Fagopyrum(荞麦属)"	"威宁"	"--"	"--"	"--"	"25.00"	"--"	"71"	"淡绿"	"--"	"贵州"	"苦荞"	"--"	"I1M01156"	"七尺荞"	"抗"	"4.0"	"--"	"--"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"--"	"--"	"--"	"--"	"褐"	"87.7"	"--"	"贵威宁农科所"	"--"	"--"	"00001353"	"--"	"--"	"轻"	"--"	"--"	"--"	"--"	"6.20"	"--"	"Polygonum(蓼科)"
"249"	"0.42"	"0005"	"地方"	"--"	"淡黄"	"0.15"	"1.03"	"15.0"	"0.29"	"0.023"	"0.49"	"长形"	"--"	"ER BAI KU QIAO"	"2298"	"0.12"	"15.8"	"0.42"	"Fagopyrum(荞麦属)"	"威宁"	"0.54"	"0.58"	"0.61"	"20.00"	"0.99"	"70"	"淡绿"	"1.82"	"贵州"	"苦荞"	"1.37"	"I1M00471"	"二白苦荞"	"抗"	"4.0"	"--"	"0.49"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.54"	"--"	"302.20"	"0.39"	"浅褐"	"83.8"	"0.24"	"贵威宁农科所"	"0.53"	"18.37"	"00001354"	"6.000"	"--"	"中"	"0.17"	"0.69"	"376.4"	"10.31"	"5.30"	"13.680"	"Polygonum(蓼科)"
"250"	"0.54"	"0006"	"地方"	"--"	"淡黄"	"0.18"	"3.74"	"13.0"	"0.42"	"0.098"	"0.49"	"长形"	"--"	"DA BAI KU QIAO"	"4320"	"0.10"	"18.4"	"0.38"	"Fagopyrum(荞麦属)"	"威宁"	"0.54"	"0.58"	"0.58"	"22.00"	"1.02"	"77"	"绿"	"1.99"	"贵州"	"苦荞"	"1.03"	"I1M01157"	"大白苦荞"	"抗"	"4.0"	"--"	"0.47"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"绿"	"0.74"	"--"	"417.30"	"0.34"	"浅褐"	"82.1"	"0.23"	"贵威宁农科所"	"0.54"	"41.25"	"00001355"	"9.360"	"--"	"轻"	"0.14"	"0.76"	"589.2"	"10.33"	"7.00"	"13.330"	"Polygonum(蓼科)"
"251"	"0.44"	"050"	"地方"	"无"	"淡绿"	"0.16"	"1.07"	"16.4"	"0.35"	"0.009"	"0.60"	"长形"	"--"	"BIAN ZI QIAO"	"4921"	"0.15"	"20.7"	"0.47"	"Fagopyrum(荞麦属)"	"丽江县"	"0.65"	"0.70"	"0.71"	"--"	"1.24"	"95"	"绿"	"2.31"	"云南"	"苦荞"	"1.20"	"I1M00143"	"扁籽荞"	"不抗"	"7.2"	"--"	"0.54"	"Fagopyrum tataricum (L.) Gaertn(苦荞)"	"深绿"	"1.80"	"--"	"55.20"	"0.50"	"灰"	"180.0"	"0.31"	"云永胜农技中心"	"0.63"	"19.32"	"00001467"	"12.430"	"--"	"轻"	"0.17"	"0.79"	"200.2"	"11.92"	"4.00"	"17.130"	"Polygonum(蓼科)"
