"id"	"异亮氨酸"	"单位编号"	"样品类型"	"棱翅"	"花色"	"蛋氨酸"	"维生素PP"	"主茎节数"	"酪氨酸"	"硒"	"苯丙氨酸"	"籽粒形状"	"脂肪"	"译名"	"磷"	"色氨酸"	"千粒重"	"苏氨酸"	"属名"	"种子来源地"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"谷壳率"	"天冬氨酸"	"生育日数"	"茎色"	"谷氨酸"	"省"	"类型"	"精氨酸"	"库编号"	"品种名称"	"倒伏性"	"主茎分枝数"	"株型"	"丙氨酸"	"学名"	"叶色"	"维生素E"	"腹沟"	"铁"	"脯氨酸"	"籽粒颜色"	"株高"	"组氨酸"	"保存单位"	"缬氨酸"	"锌"	"统一编号"	"铜"	"蛋白质"	"落粒性"	"胱氨酸"	"亮氨酸"	"钙"	"总和"	"单株粒重"	"锰"	"科名"
"136"	"--"	"甘14"	"地方"	"无"	"红"	"--"	"3.59"	"10.5"	"--"	"--"	"--"	"长形"	"1.38"	"XIAO QIAO MAI"	"--"	"--"	"19.0"	"--"	"Fagopyrum(荞麦属)"	"古浪县"	"--"	"0.44"	"--"	"15.90"	"--"	"54"	"红"	"--"	"甘肃"	"甜荞"	"--"	"I1M01203"	"小荞麦"	"不抗"	"5.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"1.33"	"--"	"--"	"--"	"棕"	"95.0"	"--"	"甘农科院"	"--"	"--"	"00000666"	"--"	"7.88"	"中"	"--"	"--"	"--"	"--"	"1.90"	"--"	"Polygonum(蓼科)"
"137"	"0.37"	"甘15"	"地方"	"无"	"粉"	"0.15"	"2.09"	"11.5"	"0.30"	"0.036"	"0.55"	"长形"	"--"	"DANG DI XIAO QIAO MAI"	"3847"	"0.08"	"17.1"	"0.36"	"Fagopyrum(荞麦属)"	"天祝县"	"0.50"	"0.60"	"0.57"	"19.30"	"0.99"	"53"	"红"	"1.99"	"甘肃"	"甜荞"	"0.93"	"I1M00631"	"当地小荞麦"	"不抗"	"4.5"	"--"	"0.48"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.52"	"--"	"61.00"	"0.40"	"黑"	"90.0"	"0.24"	"甘农科院"	"0.51"	"24.96"	"00000667"	"15.040"	"--"	"重"	"0.21"	"0.68"	"351.8"	"9.91"	"1.00"	"10.230"	"Polygonum(蓼科)"
"138"	"--"	"甘16"	"地方"	"无"	"粉"	"--"	"--"	"9.0"	"--"	"--"	"--"	"长形"	"--"	"TIAN QIAO"	"--"	"--"	"19.3"	"--"	"Fagopyrum(荞麦属)"	"景泰县"	"--"	"--"	"--"	"15.50"	"--"	"56"	"红"	"--"	"甘肃"	"甜荞"	"--"	"--"	"甜荞"	"不抗"	"6.0"	"--"	"--"	"Fagopyrum esculentum Moench(甜荞)"	"绿"	"--"	"--"	"--"	"--"	"棕"	"90.0"	"--"	"甘农科院"	"--"	"--"	"00000668"	"--"	"--"	"中"	"--"	"--"	"--"	"--"	"2.20"	"--"	"Polygonum(蓼科)"
"139"	"0.56"	"甘18"	"地方"	"无"	"粉"	"0.28"	"6.36"	"12.5"	"0.43"	"0.030"	"0.56"	"长形"	"--"	"QIAO MAI"	"5032"	"0.11"	"20.1"	"0.44"	"Fagopyrum(荞麦属)"	"红古区"	"0.57"	"0.68"	"0.65"	"20.70"	"1.08"	"54"	"红"	"2.27"	"甘肃"	"甜荞"	"1.21"	"I1M01204"	"荞麦"	"不抗"	"5.0"	"--"	"0.51"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.85"	"--"	"86.30"	"0.40"	"褐"	"100.0"	"0.27"	"甘农科院"	"0.59"	"37.13"	"00000669"	"9.080"	"--"	"中"	"0.19"	"0.87"	"517.3"	"11.67"	"2.40"	"17.040"	"Polygonum(蓼科)"
"140"	"0.41"	"M24"	"地方"	"有"	"粉红"	"0.21"	"1.09"	"13.1"	"0.32"	"0.020"	"0.53"	"长形"	"--"	"QIAO MAI"	"3316"	"0.12"	"29.2"	"0.43"	"Fagopyrum(荞麦属)"	"民和县"	"0.57"	"0.68"	"0.66"	"22.60"	"1.06"	"100"	"红"	"2.08"	"青海"	"甜荞"	"1.03"	"I1M00063"	"荞麦"	"中"	"6.2"	"--"	"0.49"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"2.18"	"--"	"123.00"	"0.37"	"褐"	"77.0"	"0.26"	"青农科院"	"0.52"	"27.00"	"00000733"	"8.710"	"--"	"轻"	"0.25"	"0.72"	"500.2"	"10.71"	"11.00"	"9.550"	"Polygonum(蓼科)"
"141"	"0.46"	"M25"	"地方"	"有"	"粉红"	"0.17"	"1.49"	"9.0"	"0.33"	"0.015"	"0.56"	"长形"	"--"	"TIAN QIAO"	"4510"	"0.13"	"20.0"	"0.50"	"Fagopyrum(荞麦属)"	"湟中县"	"0.69"	"0.71"	"0.72"	"22.70"	"1.25"	"99"	"红"	"2.37"	"青海"	"甜荞"	"1.24"	"I1M00064"	"甜荞"	"中"	"6.1"	"--"	"0.64"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"2.18"	"--"	"96.90"	"0.71"	"黑"	"60.0"	"0.28"	"青农科院"	"0.68"	"35.65"	"00000734"	"9.270"	"--"	"轻"	"0.13"	"0.80"	"425.3"	"12.37"	"6.40"	"11.290"	"Polygonum(蓼科)"
"142"	"0.49"	"M26"	"地方"	"有"	"粉红"	"0.18"	"2.06"	"7.2"	"0.36"	"0.022"	"0.61"	"长形"	"--"	"TIAN QIAO"	"3915"	"0.15"	"30.2"	"0.54"	"Fagopyrum(荞麦属)"	"湟中县"	"0.76"	"0.76"	"0.79"	"22.30"	"1.35"	"99"	"红"	"2.60"	"青海"	"甜荞"	"1.36"	"I1M00065"	"甜荞"	"抗"	"3.2"	"--"	"0.69"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.77"	"--"	"65.80"	"0.77"	"黑"	"75.0"	"0.30"	"青农科院"	"0.72"	"33.94"	"00000735"	"7.990"	"--"	"轻"	"0.15"	"0.85"	"291.1"	"13.43"	"5.00"	"9.950"	"Polygonum(蓼科)"
"143"	"0.51"	"M27"	"地方"	"有"	"粉红"	"0.21"	"2.18"	"11.1"	"0.35"	"0.015"	"0.60"	"长形"	"--"	"TIAN QIAO"	"4597"	"0.14"	"24.0"	"0.55"	"Fagopyrum(荞麦属)"	"湟中县"	"0.76"	"0.79"	"0.79"	"26.40"	"1.36"	"99"	"红"	"2.60"	"青海"	"甜荞"	"1.34"	"I1M00066"	"甜荞"	"抗"	"5.2"	"--"	"0.70"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"2.52"	"--"	"235.10"	"0.79"	"黑"	"62.0"	"0.31"	"青农科院"	"0.74"	"43.53"	"00000736"	"19.040"	"--"	"轻"	"0.16"	"0.87"	"590.7"	"13.57"	"4.20"	"13.460"	"Polygonum(蓼科)"
"144"	"0.75"	"M28"	"地方"	"有"	"粉红"	"0.25"	"1.70"	"9.2"	"0.48"	"0.036"	"0.78"	"长形"	"--"	"TIAN QIAO"	"5186"	"0.16"	"23.0"	"0.52"	"Fagopyrum(荞麦属)"	"湟中县"	"0.73"	"0.81"	"0.82"	"26.40"	"1.37"	"100"	"红"	"2.86"	"青海"	"甜荞"	"1.44"	"I1M00848"	"甜荞"	"抗"	"4.5"	"--"	"0.59"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.83"	"--"	"154.80"	"0.57"	"褐"	"72.0"	"0.36"	"青农科院"	"0.73"	"30.76"	"00000737"	"10.690"	"--"	"轻"	"0.09"	"1.02"	"603.4"	"14.33"	"6.60"	"16.710"	"Polygonum(蓼科)"
"145"	"0.46"	"M30"	"地方"	"有"	"粉红"	"0.17"	"2.18"	"7.3"	"0.32"	"0.016"	"0.55"	"长形"	"--"	"DA TIAN QIAO"	"4777"	"0.14"	"30.0"	"0.49"	"Fagopyrum(荞麦属)"	"乐都县"	"0.68"	"0.70"	"0.71"	"20.20"	"1.24"	"100"	"红"	"2.39"	"青海"	"甜荞"	"1.25"	"I1M00067"	"大甜荞"	"中"	"6.0"	"--"	"0.63"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"5.11"	"--"	"117.70"	"0.71"	"褐"	"61.0"	"0.28"	"青农科院"	"0.67"	"35.86"	"00000738"	"9.230"	"--"	"轻"	"0.12"	"0.79"	"416.6"	"12.30"	"3.60"	"12.580"	"Polygonum(蓼科)"
"146"	"0.55"	"M31"	"地方"	"有"	"粉红"	"0.21"	"2.51"	"8.5"	"0.42"	"0.022"	"0.73"	"长形"	"--"	"DA TIAN QIAO"	"4822"	"0.13"	"25.6"	"0.57"	"Fagopyrum(荞麦属)"	"乐都县"	"0.75"	"0.85"	"0.82"	"24.20"	"1.40"	"101"	"红"	"2.83"	"青海"	"甜荞"	"1.48"	"I1M00068"	"大甜荞"	"抗"	"4.4"	"--"	"0.62"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"2.53"	"--"	"93.60"	"0.50"	"黑"	"64.0"	"0.34"	"青农科院"	"0.69"	"45.59"	"00000739"	"9.840"	"--"	"轻"	"0.29"	"0.96"	"495.8"	"14.14"	"3.80"	"12.380"	"Polygonum(蓼科)"
"147"	"0.55"	"M32"	"地方"	"有"	"粉红"	"0.20"	"1.95"	"9.1"	"0.36"	"0.012"	"0.65"	"长形"	"--"	"TIAN QIAO"	"4261"	"0.15"	"25.6"	"0.58"	"Fagopyrum(荞麦属)"	"乐都县"	"0.79"	"0.82"	"0.82"	"26.80"	"1.45"	"99"	"红"	"2.74"	"青海"	"甜荞"	"1.39"	"I1M00069"	"甜荞"	"抗"	"4.2"	"--"	"0.75"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"1.72"	"--"	"177.00"	"0.84"	"褐"	"65.0"	"0.32"	"青农科院"	"0.80"	"36.82"	"00000740"	"9.300"	"--"	"轻"	"0.12"	"0.93"	"728.2"	"14.26"	"3.80"	"13.200"	"Polygonum(蓼科)"
"148"	"0.52"	"M33"	"地方"	"有"	"粉红"	"0.23"	"1.38"	"8.3"	"0.41"	"0.018"	"0.71"	"长形"	"--"	"TIAN QIAO"	"4632"	"0.15"	"24.0"	"0.56"	"Fagopyrum(荞麦属)"	"乐都县"	"0.74"	"0.85"	"0.80"	"30.40"	"1.38"	"98"	"红"	"2.79"	"青海"	"甜荞"	"1.44"	"I1M00070"	"甜荞"	"中"	"5.2"	"--"	"0.61"	"Fagopyrum esculentum Moench(甜荞)"	"浅绿"	"8.51"	"--"	"101.10"	"0.50"	"黑"	"68.0"	"0.34"	"青农科院"	"0.67"	"36.21"	"00000741"	"8.480"	"--"	"轻"	"0.31"	"0.94"	"479.3"	"13.95"	"4.40"	"13.180"	"Polygonum(蓼科)"
