"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"36"	"中"	"5-F-22-14"	"短丝瓜"	"攀援蔓生"	"DUAN SI GUA"	"0.3"	"109"	"无"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"褐色"	"--"	"圆柱形"	"无"	"--"	"12"	"V05H0079"	"贵州农科院园艺所"	"--"	"Ⅱ5F0046"	"贵州道真县"	"--"	"3-9"	"--"	"平"
"37"	"中"	"5-F-22-4"	"德江丝瓜"	"攀援蔓生"	"DE JIANG SI GUA"	"0.2"	"--"	"--"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"褐色"	"--"	"圆柱形"	"无"	"--"	"8"	"V05H0080"	"贵州农科院园艺所"	"--"	"Ⅱ5F0039"	"贵州德江县"	"--"	"3-9"	"--"	"平"
"38"	"中"	"5-F-22-18"	"都匀本地丝瓜"	"攀援蔓生"	"DU YUN BEN DI SI GUA"	"0.2"	"--"	"--"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"褐色"	"--"	"细长条"	"无"	"--"	"13"	"V05H0081"	"贵州农科院蔬菜所"	"--"	"Ⅱ5F0193"	"贵州都匀市"	"--"	"3-9"	"--"	"平"
"39"	"中"	"5-F-22-22"	"八棱丝瓜"	"攀援蔓生"	"BA LENG SI GUA"	"0.2"	"--"	"--"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"褐色"	"--"	"圆柱形"	"无"	"--"	"13"	"V05H0089"	"贵州农科院园艺所"	"--"	"Ⅱ5F0146"	"贵州三都县"	"--"	"3-9"	"--"	"平"
"40"	"中"	"5-F-22-21"	"瓮安本地丝瓜"	"攀援蔓生"	"WENG AN BEN DI SI GUA"	"0.2"	"105"	"无"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"褐色"	"--"	"椭圆形"	"无"	"--"	"9"	"V05H0094"	"贵州农科院园艺所"	"--"	"Ⅱ5F0048"	"贵州瓮安县"	"--"	"3-9"	"--"	"平"
"41"	"晚"	"6H0007"	"林县丝瓜"	"攀援蔓生"	"LIN XIAN SI GUA"	"0.8"	"165"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"--"	"--"	"圆柱形"	"无"	"软"	"--"	"V05H0108"	"河南农科院园艺所"	"强"	"Ⅱ5F0185"	"河南林县"	"--"	"4下-10上"	"--"	"平"
"42"	"晚"	"6H0005"	"开封丝瓜"	"攀援蔓生"	"KAI FENG SI GUA"	"1.2"	"160"	"无"	"强"	"--"	"绿"	"--"	"掌状"	"中"	"--"	"--"	"--"	"--"	"圆柱形"	"无"	"中"	"--"	"V05H0110"	"河南农科院园艺所"	"强"	"Ⅱ5F0092"	"河南尉氏县"	"--"	"4下-10上"	"--"	"平"
"43"	"中"	"5-E09"	"线丝瓜"	"攀援蔓生"	"XIAN SI GUA"	"0.4"	"90"	"少"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"3000"	"绿色"	"*"	"圆柱形"	"--"	"软"	"17"	"V05H0120"	"湖南农科院蔬菜所"	"耐热旱"	"Ⅱ5F0096"	"湖南常德市"	"--"	"3中-6下.8中"	"--"	"棱"
"44"	"中"	"5-E10"	"长沙肉丝瓜"	"攀援蔓生"	"CHANG SHA ROU SI GUA"	"0.8"	"63"	"少"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"4500"	"褐色"	"*"	"圆柱形"	"--"	"疏松汁多"	"10"	"V05H0121"	"湖南农科院蔬菜所"	"耐热湿"	"Ⅱ5F0025"	"湖南长沙市"	"绿色"	"3上-6上9"	"线条状"	"粗糙"
"45"	"中"	"5-E08"	"长沙白丝瓜"	"攀援蔓生"	"CHANG SHA BAI SI GUA"	"--"	"--"	"--"	"强"	"--"	"绿"	"--"	"掌状"	"微甜"	"--"	"4000"	"褐色"	"*"	"圆柱形"	"--"	"疏松软"	"16"	"V05H0122"	"湖南农科院蔬菜所"	"耐寒湿"	"Ⅱ5F0024"	"湖南长沙市"	"--"	"4上-7,9"	"--"	"棱"
"46"	"中"	"5-E16"	"八棱瓜"	"攀援蔓生"	"BA LENG GUA"	"0.5"	"60"	"少"	"中"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"2125"	"褐色"	"*"	"椭圆形"	"--"	"松软"	"9"	"V05H0123"	"湖南农科院蔬菜所"	"--"	"Ⅱ5F0097"	"湖南郴州市"	"--"	"4中-8下"	"--"	"棱"
"47"	"早"	"5-E15"	"郴州长丝瓜"	"攀援蔓生"	"CHEN ZHOU CHANG SI GUA"	"1.0"	"60"	"少"	"强"	"中"	"绿"	"--"	"掌状"	"微甜"	"--"	"3250"	"褐色"	"*"	"椭圆形"	"--"	"软"	"18"	"V05H0124"	"湖南农科院蔬菜所"	"--"	"Ⅱ5F0030"	"湖南郴州市"	"--"	"4上-9"	"--"	"--"
"48"	"中"	"5-E25"	"凤凰长条丝瓜"	"攀援蔓生"	"FENG HUANG CHANG TIAO SI GUA"	"--"	"41"	"少"	"中"	"中"	"绿"	"--"	"掌状"	"微甜"	"--"	"2750"	"褐色"	"--"	"圆柱形"	"无"	"软"	"12"	"V05H0126"	"湖南农科院蔬菜所"	"耐热"	"Ⅱ5F0014"	"湖南凤凰县"	"--"	"3中-9下"	"--"	"棱"
"49"	"中"	"5-E03"	"祁阳黄皮丝瓜"	"攀援蔓生"	"QI YANG HUANG PI SI GUA"	"0.5"	"70"	"少"	"中"	"中"	"黄"	"--"	"掌状"	"微甜"	"--"	"2750"	"褐色"	"*"	"圆柱形"	"--"	"汁多"	"21"	"V05H0134"	"湖南农科院蔬菜所"	"中"	"Ⅱ5F0019"	"湖南祁阳县"	"--"	"3中-6中始收"	"--"	"棱"
"50"	"早"	"5-E11"	"湘潭线丝瓜"	"攀援蔓生"	"XIANG TAN XIAN SI GUA"	"1.0"	"50"	"多"	"强"	"不抗白粉"	"绿"	"--"	"掌状"	"微甜"	"--"	"4000"	"褐色"	"*"	"圆柱形"	"--"	"松软"	"13"	"V05H0137"	"湖南农科院蔬菜所"	"耐热"	"Ⅱ5F0026"	"湖南湘潭市"	"--"	"3下-9下"	"--"	"--"
"51"	"早"	"5-E05"	"沅陵棒头丝瓜"	"攀援蔓生"	"YUAN LING BANG TOU SI GUA"	"1.0"	"55"	"少"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"6000"	"褐色"	"*"	"圆柱形"	"--"	"软"	"4"	"V05H0142"	"湖南农科院蔬菜所"	"耐热"	"Ⅱ5F0021"	"湖南沅陵县"	"--"	"3下-5下.10上"	"--"	"平"
"52"	"晚"	"87-0-24"	"炮仅丝瓜"	"攀援蔓生"	"PAO JIN SI GUA"	"0.1"	"180"	"无"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"黄色"	"--"	"圆柱形"	"--"	"--"	"12"	"V05H0147"	"江苏农科院蔬菜所"	"--"	"Ⅱ5F0172"	"江苏常州市"	"--"	"--"	"--"	"浅波状"
"53"	"晚"	"80-6-18"	"丝瓜"	"攀援蔓生"	"SI GUA"	"0.2"	"73"	"无"	"强"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"2750"	"褐色"	"*"	"长曲条"	"--"	"软"	"18"	"V05H0148"	"江苏农科院蔬菜所"	"中"	"Ⅱ5F0002"	"江苏灌南县"	"--"	"4下.7上-10下"	"--"	"棱"
"54"	"晚"	"80-8-21"	"本地丝瓜"	"攀援蔓生"	"BEN DI SI GUA"	"0.3"	"66"	"无"	"强"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"1250"	"褐色"	"*"	"圆柱形"	"--"	"软"	"19"	"V05H0149"	"江苏农科院蔬菜所"	"中"	"Ⅱ5F0104"	"江苏海安县"	"--"	"4下.6下-10下"	"--"	"棱"
"55"	"早"	"79-12-13"	"白籽丝瓜"	"攀援蔓生"	"BAI ZI SI GUA"	"0.2"	"53"	"无"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"3750"	"褐色"	"*"	"圆柱形"	"--"	"软"	"15"	"V05H0150"	"江苏农科院蔬菜所"	"耐热"	"Ⅱ5F0065"	"江苏连云港市"	"--"	"4下.6中-10下"	"--"	"棱"
"56"	"中"	"79-1-6"	"蛇形丝瓜"	"攀援蔓生"	"SHE XING SI GUA"	"0.3"	"63"	"无"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"2750"	"褐色"	"*"	"长曲条"	"--"	"特软"	"15"	"V05H0151"	"江苏农科院蔬菜所"	"耐热"	"Ⅱ5F0215"	"江苏南京市"	"--"	"4下.6下-10下"	"--"	"棱"
"57"	"中"	"89-8-26"	"丝瓜"	"攀援蔓生"	"SI GUA"	"1.6"	"65"	"无"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"1250"	"褐色"	"--"	"圆柱形"	"--"	"软"	"8"	"V05H0155"	"江苏农科院蔬菜所"	"强"	"Ⅱ5F0238"	"江苏南通县"	"--"	"4下-10下"	"--"	"棱"
"58"	"晚"	"89-4-25"	"香丝瓜"	"攀援蔓生"	"XIANG SI GUA"	"0.2"	"180"	"无"	"强"	"中"	"绿"	"--"	"掌状"	"香"	"--"	"1375"	"黄色"	"--"	"圆柱形"	"--"	"软"	"12"	"V05H0158"	"江苏农科院蔬菜所"	"耐热"	"Ⅱ5F0213"	"江苏苏州市"	"--"	"4下-7上10下"	"--"	"浅波状"
"59"	"--"	"88H3-2"	"黑子丝瓜"	"蔓生"	"HEI ZI SI GUA"	"0.7"	"120"	"--"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"黄色"	"--"	"圆柱形"	"--"	"--"	"8"	"V05H0174"	"宁夏农科院园艺所"	"强"	"Ⅱ5F0070"	"宁夏银川市"	"--"	"4下-8上"	"线条状"	"粗糙"
"60"	"--"	"2"	"长形丝瓜(无棱)"	"攀援蔓生"	"CHANG XING SI GUA (WU LENG )"	"--"	"--"	"--"	"强"	"--"	"绿"	"--"	"心形"	"--"	"--"	"--"	"--"	"--"	"圆柱形"	"--"	"软"	"10"	"V05H0175"	"山东农科院蔬菜所"	"--"	"Ⅱ5F0212"	"山东德州市"	"--"	"4下-10下"	"--"	"平"
"61"	"中"	"I4-037"	"巴中丝瓜"	"攀援蔓生"	"BA ZHONG SI GUA"	"0.5"	"95"	"--"	"中"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"2250"	"绿色"	"*"	"椭圆形"	"--"	"疏松汁多"	"15"	"V05H0184"	"成都市第一农科所"	"耐热"	"Ⅱ5F0221"	"四川巴中县"	"--"	"3-6始收8末收"	"--"	"平"
"62"	"晚"	"I4-065"	"黑子有皱丝瓜"	"攀援蔓生"	"HEI ZI YOU ZHOU SI GUA"	"0.5"	"105"	"--"	"强"	"--"	"绿"	"--"	"掌状"	"甜"	"--"	"875"	"褐色"	"--"	"圆柱形"	"--"	"--"	"18"	"V05H0190"	"成都市第一农科所"	"--"	"Ⅱ5F0223"	"四川达县"	"--"	"3-6"	"--"	"平"
"63"	"中"	"I4-063"	"丝瓜"	"攀援蔓生"	"SI GUA"	"0.4"	"95"	"--"	"中"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"2000"	"褐色"	"--"	"圆柱形"	"--"	"软"	"13"	"V05H0197"	"成都市第一农科所"	"中"	"Ⅱ5F0078"	"四川涪陵县"	"--"	"春"	"--"	"棱"
