"id"	"抗病性"	"单位编号"	"叶面刺毛"	"省"	"备注"	"根地上皮色"	"叶型"	"根肉口感"	"风味"	"栽培时期"	"译名"	"繁种单位"	"根地上部长"	"千粒重"	"属名"	"叶形"	"抗虫性"	"肉质根长"	"耐热性"	"根肉主色"	"肉质根粗"	"收获期"	"熟性"	"抗逆性"	"叶片长"	"品种名称"	"耐涝性"	"根形"	"学名"	"叶色"	"贮藏性"	"根肉水分"	"叶簇"	"叶裂刻"	"耐旱性"	"单根重"	"播种期"	"根肉质"	"品种来源"	"小裂片对数"	"耐寒性"	"叶柄色"	"种质库编号"	"统一编号"	"科名"	"用途"	"单产"	"根地下皮色"	"叶片宽"	"根肉次色"	"生长期"
"1"	"抗病毒病弱"	"19"	"--"	"国外"	"易糠心"	"白"	"花叶"	"--"	"甜"	"7中下-9下"	"CHAO XIAN LUO BU"	"吉林省蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"早"	"弱"	"--"	"朝鲜萝卜"	"--"	"圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"中"	"多"	"半直立"	"--"	"--"	"200"	"--"	"松脆"	"吉林延吉引自朝鲜"	"--"	"--"	"--"	"Ⅱ1A0053"	"V01A0450"	"Cruciferae(十字花科)"	"生熟食加工"	"1167"	"白"	"--"	"白"	"70"
"2"	"抗病毒病强"	"18"	"--"	"国外"	"--"	"绿白"	"花叶"	"--"	"稍辣"	"7上中-10上"	"CHANG BAI LUO BU"	"吉林省蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"中"	"强"	"--"	"长白萝卜"	"--"	"圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"差"	"多"	"半直立"	"--"	"--"	"1750"	"--"	"松脆"	"吉林延吉引自日本"	"--"	"--"	"--"	"Ⅱ1A0031"	"V01A0451"	"Cruciferae(十字花科)"	"生熟食加工"	"4167"	"白"	"--"	"白"	"85"
"3"	"--"	"陇引萝卜017"	"多"	"国外"	"--"	"红"	"花叶"	"脆嫩"	"甜"	"--"	"--"	"甘肃农科院蔬菜所"	"8"	"10.0"	"Raphanus(萝卜属)"	"椭圆"	"--"	"13"	"--"	"白"	"4"	"5中"	"中"	"--"	"16"	"Clipo"	"--"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"深绿"	"差"	"多"	"开展"	"深裂"	"--"	"100"	"3中"	"疏松"	"甘肃引自法国"	"3-4"	"--"	"紫红"	"--"	"V01A1302"	"Cruciferae(十字花科)"	"生食"	"--"	"红"	"7"	"--"	"--"
"4"	"--"	"1-A-22-79(2)"	"少"	"国外"	"--"	"白绿"	"板叶"	"--"	"甜"	"--"	"--"	"贵州农科院园艺所"	"6"	"8.0"	"Raphanus(萝卜属)"	"长卵圆"	"--"	"11"	"--"	"白"	"2"	"12上"	"中"	"--"	"16"	"日本马桩萝卜"	"--"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"--"	"多"	"半直立"	"无裂"	"--"	"75"	"8上"	"疏松"	"贵州引自日本"	"--"	"--"	"浅绿"	"--"	"V01A1339"	"Cruciferae(十字花科)"	"生食"	"1000"	"白"	"3"	"--"	"--"
"5"	"抗病毒病中"	"F-7"	"无"	"国外"	"--"	"白"	"板叶"	"脆嫩"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"6"	"13.0"	"Raphanus(萝卜属)"	"长卵圆"	"抗蚜虫强"	"17"	"中"	"白"	"5"	"9下"	"中早"	"--"	"24"	"Wnale Brand"	"中"	"短圆筒"	"Raphanus sativus L.(萝卜)"	"绿"	"中"	"多"	"半直立"	"无裂"	"中"	"210"	"8上"	"致密"	"引自亚蔬中心"	"--"	"强"	"浅紫"	"--"	"V01A1967"	"Cruciferae(十字花科)"	"熟食"	"3020"	"白"	"11"	"--"	"--"
"6"	"抗病毒病中"	"F-8"	"少"	"国外"	"--"	"浅绿"	"花叶"	"脆嫩"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"10"	"12.2"	"Raphanus(萝卜属)"	"长卵圆"	"抗蚜虫中"	"23"	"中"	"白"	"7"	"10上"	"中晚"	"--"	"27"	"Owol No!"	"中"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"中"	"半开展"	"全裂"	"中"	"640"	"8上"	"致密"	"引自朝鲜"	"9-10"	"强"	"浅绿"	"--"	"V01A1969"	"Cruciferae(十字花科)"	"熟食"	"3240"	"白"	"13"	"--"	"--"
"7"	"抗病毒病中"	"F-05"	"中"	"国外"	"--"	"紫红"	"花叶"	"细面"	"辣"	"--"	"--"	"中国农科院蔬菜所"	"--"	"12.7"	"Raphanus(萝卜属)"	"长卵圆"	"抗菜粉蝶中"	"7"	"中"	"白带紫"	"5"	"9上"	"早"	"--"	"17"	"Rellieh"	"中"	"纺锤"	"Raphanus sativus L.(萝卜)"	"绿"	"中"	"中"	"半直立"	"--"	"中"	"93"	"8上"	"致密"	"引自德国"	"3"	"中"	"浅紫"	"--"	"V01A1970"	"Cruciferae(十字花科)"	"熟食"	"2000"	"紫"	"9"	"--"	"--"
"8"	"抗病毒病强"	"F10"	"中"	"国外"	"--"	"紫红"	"花叶"	"脆嫩"	"稍辣"	"--"	"--"	"中国农科院蔬菜所"	"1"	"13.5"	"Raphanus(萝卜属)"	"长卵圆"	"抗蚜虫强"	"5"	"中"	"白"	"7"	"9中"	"早"	"--"	"24"	"勃力多237"	"中"	"扁圆"	"Raphanus sativus L.(萝卜)"	"绿"	"中"	"--"	"半直立"	"全裂"	"中"	"104"	"8中"	"致密"	"引自俄罗斯"	"5"	"强"	"绿"	"--"	"V01A1971"	"Cruciferae(十字花科)"	"熟食"	"1100"	"红"	"9"	"--"	"--"
"9"	"抗病毒病中"	"F13"	"中"	"国外"	"--"	"浅绿"	"花叶"	"艮硬"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"4"	"--"	"Raphanus(萝卜属)"	"长卵圆"	"抗蚜虫中"	"16"	"中"	"浅绿"	"5"	"9下"	"中早"	"--"	"38"	"克瑞科"	"中"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"少"	"半开展"	"全裂"	"中"	"450"	"8中"	"致密"	"引自俄罗斯"	"11"	"强"	"浅紫"	"--"	"V01A1972"	"Cruciferae(十字花科)"	"熟食"	"3600"	"白"	"14"	"--"	"--"
"10"	"抗病毒病强"	"F09"	"无"	"国外"	"--"	"浅绿"	"花叶"	"脆嫩"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"6"	"--"	"Raphanus(萝卜属)"	"长卵圆"	"抗蚜虫强"	"20"	"中"	"白"	"6"	"9下"	"中早"	"--"	"25"	"役者横丁"	"中"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"中"	"直立"	"全裂"	"中"	"370"	"8中"	"致密"	"引自日本"	"9"	"中"	"浅绿"	"--"	"V01A1973"	"Cruciferae(十字花科)"	"生食"	"2960"	"白"	"12"	"--"	"--"
"11"	"抗病毒病中"	"F11"	"中"	"国外"	"--"	"白"	"花叶"	"艮硬"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"7"	"14.0"	"Raphanus(萝卜属)"	"长椭圆"	"抗蚜虫中"	"12"	"中"	"白"	"8"	"9下"	"中早"	"--"	"29"	"奥塞尼尔"	"中"	"短圆筒"	"Raphanus sativus L.(萝卜)"	"深绿"	"强"	"中"	"半直立"	"全裂"	"中"	"380"	"8中"	"致密"	"引自俄罗斯"	"8"	"强"	"浅紫"	"--"	"V01A1974"	"Cruciferae(十字花科)"	"熟食"	"3233"	"白"	"16"	"--"	"--"
"12"	"--"	"ZSF-35"	"--"	"国外"	"春秋两季种"	"白"	"花叶"	"脆嫩"	"--"	"--"	"--"	"中国农科院蔬菜所"	"8"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"35"	"--"	"白"	"8"	"种后60天"	"早"	"--"	"--"	"花叶大白萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"--"	"差"	"多"	"直立"	"--"	"--"	"400"	"4中8中"	"致密"	"引自南朝鲜"	"--"	"--"	"--"	"--"	"V01A1975"	"Cruciferae(十字花科)"	"熟食"	"--"	"白"	"--"	"--"	"--"
"13"	"抗病毒病强"	"F12"	"中"	"国外"	"--"	"白"	"花叶"	"艮硬"	"甜"	"--"	"--"	"中国农科院蔬菜所"	"7"	"--"	"Raphanus(萝卜属)"	"长椭圆"	"抗蚜虫强"	"26"	"中"	"白"	"4"	"9下"	"中"	"--"	"30"	"时大根"	"中"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"中"	"半直立"	"--"	"中"	"175"	"8中"	"致密"	"引自日本"	"12"	"中"	"深绿"	"--"	"V01A1977"	"Cruciferae(十字花科)"	"熟食"	"2387"	"白"	"9"	"--"	"--"
"14"	"抗病毒病中"	"F-04"	"中"	"国外"	"--"	"灰黑"	"花叶"	"细面"	"稍辣"	"--"	"--"	"中国农科院蔬菜所"	"--"	"9.8"	"Raphanus(萝卜属)"	"长卵圆"	"抗菜粉蝶强"	"8"	"中"	"白"	"9"	"10上"	"中"	"--"	"26"	"Fekete"	"中"	"扁圆"	"Raphanus sativus L.(萝卜)"	"绿"	"强"	"少"	"半直立"	"--"	"--"	"380"	"8上"	"致密"	"引自匈牙利"	"7"	"中"	"绿"	"--"	"V01A1982"	"Cruciferae(十字花科)"	"--"	"2267"	"灰黑"	"21"	"--"	"--"
"15"	"弱"	"1AB11"	"--"	"辽宁"	"大红萝卜"	"粉红"	"花叶"	"--"	"稍辣"	"7中下-10中下"	"XIANG YANG HONG (DA HONG LUO BU )"	"辽宁农科院园艺所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"晚"	"--"	"--"	"向阳红(大红萝卜)"	"--"	"卵圆"	"Raphanus sativus L.(萝卜)"	"--"	"中"	"少"	"平展"	"--"	"--"	"500"	"--"	"艮硬"	"辽宁锦州市"	"--"	"--"	"--"	"Ⅱ1A0667"	"V01A0559"	"Cruciferae(十字花科)"	"熟食"	"2000"	"白"	"--"	"白"	"90"
"16"	"中"	"1AE1"	"--"	"北京"	"--"	"绿"	"板叶"	"--"	"甜"	"7下-10中"	"XIN LI MEI"	"辽宁农科院园艺所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"红"	"--"	"--"	"中"	"弱"	"--"	"心里美"	"--"	"卵圆"	"Raphanus sativus L.(萝卜)"	"--"	"强"	"多"	"半直立"	"--"	"--"	"500"	"--"	"脆嫩"	"辽宁锦州引自北京"	"--"	"--"	"--"	"Ⅱ1A0671"	"V01A0560"	"Cruciferae(十字花科)"	"生食"	"3500"	"绿"	"--"	"紫"	"80"
"17"	"中"	"1AC12"	"--"	"辽宁"	"--"	"绿"	"花叶"	"--"	"稍辣"	"7中下-10中下"	"DI BA CUN"	"辽宁农科院园艺所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"浅绿"	"--"	"--"	"晚"	"较强"	"--"	"地八寸"	"--"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"中"	"多"	"半直立"	"--"	"--"	"600"	"--"	"脆嫩"	"辽宁康平县"	"--"	"--"	"--"	"Ⅱ1A0891"	"V01A0563"	"Cruciferae(十字花科)"	"生食加工"	"3500"	"绿"	"--"	"白"	"90"
"18"	"--"	"1AD2"	"--"	"辽宁"	"--"	"白"	"板叶"	"--"	"稍辣"	"7中下-10中下"	"SAN CHI BAI"	"辽宁农科院园艺所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"中"	"中"	"--"	"三尺白"	"--"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"中"	"中"	"直立"	"--"	"--"	"1000"	"--"	"脆嫩"	"辽宁凌源县"	"--"	"--"	"--"	"Ⅱ1A0240"	"V01A0566"	"Cruciferae(十字花科)"	"腌制"	"4000"	"白"	"--"	"白"	"85"
"19"	"抗病毒病中"	"1AB7"	"--"	"辽宁"	"--"	"红"	"花叶"	"--"	"甜"	"7中下-10上中"	"DA HONG MO PAN LUO BU"	"辽宁农科院园艺所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"晚"	"--"	"--"	"大红磨盘萝卜"	"--"	"扁圆"	"Raphanus sativus L.(萝卜)"	"--"	"强"	"少"	"平展"	"--"	"--"	"850"	"--"	"艮硬"	"辽宁苏家屯"	"--"	"--"	"--"	"Ⅱ1A0670"	"V01A0574"	"Cruciferae(十字花科)"	"熟食"	"4250"	"红"	"--"	"白"	"90"
"20"	"中"	"Ⅱ1A0022"	"--"	"江西"	"--"	"白"	"花叶"	"--"	"甜"	"8下-11上"	"WAN BU BAI LUO BU"	"南昌市蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"中"	"中"	"--"	"万埠白萝卜"	"--"	"长筒"	"Raphanus sativus L.(萝卜)"	"--"	"差"	"多"	"半直立"	"--"	"--"	"800"	"--"	"脆嫩"	"江西安义县"	"--"	"--"	"--"	"Ⅱ1A0957"	"V01A0578"	"Cruciferae(十字花科)"	"生食加工"	"3375"	"白"	"--"	"白"	"80"
"21"	"强"	"Ⅱ1A0013"	"--"	"江西"	"--"	"白"	"花叶"	"--"	"辣"	"9上-12"	"XIN FENG LUO BU"	"南昌市蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"中"	"耐寒"	"--"	"信丰萝卜"	"--"	"圆球"	"Raphanus sativus L.(萝卜)"	"--"	"强"	"少"	"半直立"	"--"	"--"	"600"	"--"	"艮硬"	"江西信丰县"	"--"	"--"	"--"	"Ⅱ1A0273"	"V01A0586"	"Cruciferae(十字花科)"	"熟食加工"	"5000"	"白"	"--"	"白"	"110"
"22"	"较强"	"内1A2016"	"--"	"内蒙"	"--"	"白"	"板叶"	"--"	"稍辣"	"4下-6中"	"ER DA ZI SHUI LUO BU"	"内蒙农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"早"	"耐寒强"	"--"	"二大籽水萝卜"	"--"	"短圆锥"	"Raphanus sativus L.(萝卜)"	"--"	"--"	"多"	"半直立"	"--"	"--"	"47"	"--"	"松脆"	"内蒙包头市"	"--"	"--"	"--"	"Ⅱ1A0577"	"V01A0590"	"Cruciferae(十字花科)"	"生食"	"750"	"白"	"--"	"白"	"49"
"23"	"较强"	"内1A2007"	"--"	"内蒙"	"--"	"粉红"	"板叶"	"--"	"甜"	"4下-6中"	"DA LA TE SHUI LUO BU"	"内蒙农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"极早"	"耐寒强"	"--"	"达拉特水萝卜"	"--"	"圆锥"	"Raphanus sativus L.(萝卜)"	"--"	"--"	"中"	"半直立"	"--"	"--"	"124"	"--"	"松脆"	"内蒙达拉特旗"	"--"	"--"	"--"	"Ⅱ1A0218"	"V01A0595"	"Cruciferae(十字花科)"	"生熟食"	"2250"	"粉红"	"--"	"白"	"45"
"24"	"较强"	"内1A2010"	"--"	"内蒙"	"--"	"粉红"	"板叶"	"--"	"甜"	"4下-6中"	"MIN SHUI LUO BU"	"内蒙农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"早"	"耐寒强"	"--"	"敏水萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"--"	"--"	"多"	"半直立"	"--"	"--"	"80"	"--"	"松脆"	"内蒙呼和浩特市"	"--"	"--"	"--"	"Ⅱ1A0221"	"V01A0599"	"Cruciferae(十字花科)"	"生熟食"	"1750"	"白"	"--"	"白"	"50"
"25"	"较强"	"内1A2008"	"--"	"内蒙"	"--"	"粉红"	"板叶"	"--"	"甜"	"4下-6中"	"LIN XI SHUI LUO BU"	"内蒙农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"早"	"耐寒强"	"--"	"林西水萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"--"	"--"	"中"	"半直立"	"--"	"--"	"60"	"--"	"松脆"	"内蒙林西县"	"--"	"--"	"--"	"Ⅱ1A0219"	"V01A0604"	"Cruciferae(十字花科)"	"生熟食"	"1250"	"粉红"	"--"	"白"	"47"
"26"	"较强"	"内1A2009"	"--"	"内蒙"	"--"	"粉红"	"板叶"	"--"	"甜"	"4下-6中"	"ZHUN GE ER SHUI LUO BU"	"内蒙农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"极早"	"耐寒强"	"--"	"准格尔水萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"--"	"--"	"中"	"半直立"	"--"	"--"	"72"	"--"	"松脆"	"内蒙准格尔旗"	"--"	"--"	"--"	"Ⅱ1A0220"	"V01A0612"	"Cruciferae(十字花科)"	"生熟食"	"1250"	"白"	"--"	"白"	"46"
"27"	"强"	"内1A2018"	"--"	"内蒙"	"--"	"红"	"板叶"	"--"	"稍辣"	"4下-6下"	"MA ZHA SHUI LUO BU"	"内蒙农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"中早"	"耐寒强"	"--"	"马栅水萝卜"	"--"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"中"	"多"	"半直立"	"--"	"--"	"150"	"--"	"艮硬"	"内蒙准格尔旗"	"--"	"--"	"--"	"Ⅱ1A0959"	"V01A0613"	"Cruciferae(十字花科)"	"生食"	"2250"	"红"	"--"	"白"	"60"
"28"	"抗黑腐病强"	"87H-6"	"--"	"宁夏"	"--"	"绿"	"花叶"	"--"	"稍辣"	"7中-10下"	"HAI YUAN DA QING PI"	"宁夏农林院蔬菜室"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"晚"	"耐寒中"	"--"	"海原大青皮"	"--"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"强"	"少"	"半直立"	"--"	"--"	"1500"	"--"	"硬"	"宁夏海原县"	"--"	"--"	"--"	"Ⅱ1A0546"	"V01A0616"	"Cruciferae(十字花科)"	"熟食"	"2250"	"浅绿"	"--"	"白"	"100"
"29"	"抗蚜虫弱"	"88C-5"	"--"	"宁夏"	"--"	"紫红"	"板叶"	"--"	"甜"	"3下-5下"	"LIU YING SHUI LUO BU"	"宁夏农林院蔬菜室"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"早"	"耐寒中"	"--"	"六缨水萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"--"	"差"	"多"	"半直立"	"--"	"--"	"65"	"--"	"脆嫩"	"宁夏银川市"	"--"	"--"	"--"	"Ⅱ1A0540"	"V01A0619"	"Cruciferae(十字花科)"	"生熟食"	"2250"	"浅紫"	"--"	"白"	"65"
"30"	"抗蚜虫弱"	"88C-4"	"--"	"宁夏"	"--"	"紫红"	"板叶"	"--"	"甜"	"3下-5下"	"HONG BANG ZI SHUI LUO BU"	"宁夏农林院蔬菜室"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"早"	"耐寒中"	"--"	"红棒子水萝卜"	"--"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"差"	"多"	"半直立"	"--"	"--"	"60"	"--"	"脆嫩"	"宁夏银川市"	"--"	"--"	"--"	"Ⅱ1A0539"	"V01A0621"	"Cruciferae(十字花科)"	"生熟食"	"2000"	"紫红"	"--"	"白"	"60"
"31"	"抗黑腐病中"	"87H-5"	"--"	"宁夏"	"--"	"绿"	"花叶"	"--"	"甜"	"7中-10中"	"XIN LI MEI"	"宁夏农林院蔬菜室"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"红"	"--"	"--"	"中"	"耐寒中"	"--"	"心里美"	"--"	"短圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"中"	"多"	"半直立"	"--"	"--"	"550"	"--"	"脆嫩"	"宁夏银川市"	"--"	"--"	"--"	"Ⅱ1A0545"	"V01A0624"	"Cruciferae(十字花科)"	"生食"	"3250"	"白"	"--"	"--"	"100"
"32"	"抗蚜弱"	"88C-2"	"--"	"宁夏"	"--"	"白"	"板叶"	"--"	"甜"	"3下-6上"	"BAI DAN DAN SHUI LUO BU"	"宁夏农林院蔬菜室"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"极早"	"耐寒中"	"--"	"白旦旦水萝卜"	"--"	"扁圆"	"Raphanus sativus L.(萝卜)"	"--"	"差"	"多"	"半直立"	"--"	"--"	"35"	"--"	"脆嫩"	"宁夏中卫县"	"--"	"--"	"--"	"Ⅱ1A0537"	"V01A0626"	"Cruciferae(十字花科)"	"生熟食"	"500"	"白"	"--"	"白"	"60"
"33"	"抗蚜中"	"ⅠA89C-7"	"--"	"宁夏"	"--"	"紫红"	"花叶"	"--"	"稍辣"	"4上-6下"	"ZHONG WEI BAN CHUN LUO BU"	"宁夏农林院蔬菜室"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"晚"	"耐寒中"	"--"	"中卫半春萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"--"	"强"	"多"	"半直立"	"--"	"--"	"240"	"--"	"脆嫩"	"宁夏中卫县"	"--"	"--"	"--"	"Ⅱ1A0905"	"V01A0628"	"Cruciferae(十字花科)"	"熟食"	"1750"	"白"	"--"	"白"	"70"
"34"	"中"	"Ⅱ1A019"	"--"	"青海"	"--"	"紫红"	"花叶"	"--"	"甜"	"4上-6中"	"GE ER MU CHANG SHUI LUO BU"	"青海农科院园艺所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"--"	"耐寒"	"--"	"格尔木长水萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"--"	"差"	"多"	"半直立"	"--"	"--"	"500"	"--"	"松脆"	"青海格尔木市"	"--"	"--"	"--"	"Ⅱ1A1070"	"V01A0630"	"Cruciferae(十字花科)"	"生熟食"	"3000"	"白"	"--"	"白"	"78"
"35"	"强"	"Ⅱ1A008"	"--"	"青海"	"--"	"紫红"	"花叶"	"--"	"甜"	"4上-6中"	"SHUI LUO BU"	"青海农科院园艺所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"白"	"--"	"--"	"--"	"耐寒"	"--"	"水萝卜"	"--"	"长圆锥"	"Raphanus sativus L.(萝卜)"	"--"	"差"	"多"	"半直立"	"--"	"--"	"158"	"--"	"松脆"	"青海西宁市"	"--"	"--"	"--"	"Ⅱ1A0682"	"V01A0632"	"Cruciferae(十字花科)"	"生熟食"	"1750"	"白"	"--"	"白"	"100"
"36"	"--"	"青43"	"--"	"山东"	"--"	"绿"	"板叶"	"--"	"稍辣"	"3-58-11"	"GAO MI BAI SHUI LUO BU"	"山东农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"绿白"	"--"	"--"	"早"	"中"	"--"	"高密白水萝卜"	"--"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"中"	"多"	"直立"	"--"	"--"	"650"	"--"	"疏松"	"山东高密县"	"--"	"--"	"--"	"Ⅱ1A0475"	"V01A0660"	"Cruciferae(十字花科)"	"熟食加工"	"2500"	"白"	"--"	"--"	"100"
"37"	"强"	"青41"	"--"	"山东"	"--"	"绿"	"花叶"	"--"	"稍辣"	"8上-11中"	"GAO MI DA QING LUO BU"	"山东农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"绿"	"--"	"--"	"晚"	"强"	"--"	"高密大青萝卜"	"--"	"圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"强"	"中"	"直立"	"--"	"--"	"1000"	"--"	"艮硬"	"山东高密县"	"--"	"--"	"--"	"Ⅱ1A0474"	"V01A0664"	"Cruciferae(十字花科)"	"生熟食腌制"	"4500"	"白"	"--"	"--"	"100"
"38"	"强"	"青32"	"--"	"山东"	"--"	"白"	"花叶"	"--"	"稍辣"	"8上-11上"	"HUAN TAI LU TOU QING LUO BU"	"山东农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"绿"	"--"	"--"	"中"	"强"	"--"	"桓台露头青萝卜"	"--"	"圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"强"	"少"	"直立"	"--"	"--"	"1000"	"--"	"艮硬"	"山东桓台县"	"--"	"--"	"--"	"Ⅱ1A0465"	"V01A0668"	"Cruciferae(十字花科)"	"熟食腌制"	"3500"	"绿"	"--"	"--"	"90"
"39"	"强"	"白11"	"--"	"山东"	"--"	"白"	"花叶"	"--"	"甜"	"8上-11上"	"BA CUN BAI LUO BU"	"山东农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"--"	"--"	"--"	"--"	"绿"	"--"	"--"	"中"	"强"	"--"	"八寸白萝卜"	"--"	"长圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"中"	"中"	"直立"	"--"	"--"	"1000"	"--"	"艮硬"	"山东惠民县"	"--"	"--"	"--"	"Ⅱ1A1027"	"V01A0670"	"Cruciferae(十字花科)"	"熟食加工"	"4500"	"白"	"--"	"--"	"90"
"40"	"--"	"青129"	"--"	"山东"	"--"	"绿"	"花叶"	"--"	"甜"	"8上-11上"	"QING PI LUO BU"	"山东农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"倒卵圆"	"--"	"--"	"--"	"绿白"	"--"	"--"	"中"	"强"	"--"	"青皮萝卜"	"--"	"圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"强"	"中"	"半直立"	"--"	"--"	"1500"	"--"	"艮硬"	"山东济宁郊区"	"--"	"--"	"--"	"Ⅱ1A0979"	"V01A0676"	"Cruciferae(十字花科)"	"熟食加工"	"5250"	"绿"	"--"	"--"	"90"
"41"	"--"	"红49"	"--"	"山东"	"--"	"粉红"	"花叶"	"--"	"甜"	"8上-11中"	"DA HONG PAO"	"山东农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"倒卵圆"	"--"	"--"	"--"	"白"	"--"	"--"	"晚"	"强"	"--"	"大红袍"	"--"	"椭圆"	"Raphanus sativus L.(萝卜)"	"--"	"强"	"中"	"直立"	"--"	"--"	"1100"	"--"	"艮硬"	"山东嘉祥县"	"--"	"--"	"--"	"Ⅱ1A1012"	"V01A0690"	"Cruciferae(十字花科)"	"熟食"	"4000"	"粉红"	"--"	"白"	"100"
"42"	"--"	"春30"	"--"	"山东"	"春季宜早播"	"绿"	"花叶"	"--"	"稍辣"	"3-57-9"	"JIA XIANG WU YING HAN LUO BU"	"山东农科院蔬菜所"	"--"	"--"	"Raphanus(萝卜属)"	"倒卵圆"	"--"	"--"	"--"	"绿白"	"--"	"--"	"中"	"中"	"--"	"嘉祥五英寒萝卜"	"--"	"圆筒"	"Raphanus sativus L.(萝卜)"	"--"	"差"	"少"	"直立"	"--"	"--"	"200"	"--"	"艮硬"	"山东嘉祥县"	"--"	"--"	"--"	"Ⅱ1A0024"	"V01A0696"	"Cruciferae(十字花科)"	"熟食"	"1000"	"绿白"	"--"	"--"	"60"
