"id"	"成熟期"	"主花序长度"	"科名"	"花序色"	"来源地"	"品种名称"	"原产地"	"叶色"	"千粒重"	"类别"	"株形"	"样品类型"	"省"	"粒色"	"保存编号"	"保存单位"	"库编号"	"播种期"	"学名"	"统一编号"	"译名"	"其它"	"属名"	"茎色"	"株高"
"50"	"9.27"	"175.0"	"Chenopodiaceae(藜科)"	"灰绿"	"--"	"绿茎扫帚菜"	"右旗"	"灰绿"	"0.71"	"野生"	"长卵圆"	"野生"	"内蒙"	"灰褐"	"D048"	"内蒙古赤峰市农科所"	"I7C01244"	"5.05"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000131"	"LU JING SAO ZHOU CAI"	"野地肤"	"Kochia(地肤属)"	"绿"	"258.0"
"51"	"10.20"	"--"	"Chenopodiaceae(藜科)"	"绿"	"--"	"铁扫帚"	"石阡"	"绿"	"0.70"	"--"	"长圆"	"地方"	"贵州"	"黑"	"4008"	"贵州省农科院旱粮所"	"--"	"4.27"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000158"	"TIE SAO ZHOU"	"--"	"Kochia(地肤属)"	"绿"	"90.0"
"52"	"10.20"	"--"	"Chenopodiaceae(藜科)"	"绿"	"--"	"铁扫帚"	"黔南"	"绿"	"0.70"	"--"	"长圆"	"地方"	"贵州"	"黑"	"4009"	"贵州省农科院旱粮所"	"I7C00433"	"4.27"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000159"	"TIE SAO ZHOU"	"--"	"Kochia(地肤属)"	"绿"	"125.0"
"53"	"10.19"	"--"	"Chenopodiaceae(藜科)"	"绿"	"--"	"铁扫帚"	"德江"	"绿"	"0.80"	"--"	"长圆"	"地方"	"贵州"	"黑"	"4010"	"贵州省农科院旱粮所"	"I7C00384"	"4.27"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000160"	"TIE SAO ZHOU"	"--"	"Kochia(地肤属)"	"绿"	"95.0"
"54"	"10.21"	"--"	"Chenopodiaceae(藜科)"	"绿"	"--"	"铁扫帚"	"印江"	"绿"	"0.70"	"--"	"长圆"	"地方"	"贵州"	"黑"	"4011"	"贵州省农科院旱粮所"	"I7C00385"	"4.27"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000161"	"TIE SAO ZHOU"	"--"	"Kochia(地肤属)"	"绿"	"125.0"
"55"	"10.22"	"--"	"Chenopodiaceae(藜科)"	"绿"	"--"	"铁扫帚"	"印江"	"绿"	"0.60"	"--"	"长圆"	"地方"	"贵州"	"黑"	"4012"	"贵州省农科院旱粮所"	"I7C00386"	"4.27"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000162"	"TIE SAO ZHOU"	"--"	"Kochia(地肤属)"	"绿"	"120.0"
"56"	"9.30"	"186.0"	"Chenopodiaceae(藜科)"	"红绿"	"--"	"红扫帚菜"	"通辽"	"红绿"	"0.66"	"野生"	"长卵圆"	"野生"	"内蒙"	"灰褐"	"D059"	"内蒙古赤峰市农科所"	"I7C01253"	"5.01"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000163"	"HONG SAO ZHOU CAI"	"野地肤"	"Kochia(地肤属)"	"紫红"	"275.0"
"57"	"9.30"	"189.0"	"Chenopodiaceae(藜科)"	"灰绿"	"--"	"绿扫帚菜"	"通辽"	"浓绿"	"0.66"	"野生"	"长卵圆"	"野生"	"内蒙"	"灰褐"	"D060"	"内蒙古赤峰市农科所"	"I7C01254"	"5.01"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000164"	"LU SAO ZHOU CAI"	"野地肤"	"Kochia(地肤属)"	"深绿"	"279.0"
"58"	"9.17"	"161.0"	"Chenopodiaceae(藜科)"	"橙绿"	"--"	"红扫帚菜"	"开鲁"	"绿"	"0.89"	"栽培"	"长圆"	"地方"	"内蒙"	"褐"	"D061"	"内蒙古赤峰市农科所"	"I7C01255"	"5.01"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000165"	"HONG SAO ZHOU CAI"	"观尝藜"	"Kochia(地肤属)"	"红"	"198.0"
"59"	"9.17"	"161.0"	"Chenopodiaceae(藜科)"	"黄绿"	"--"	"绿扫帚菜"	"开鲁"	"黄绿"	"0.90"	"栽培"	"长圆"	"地方"	"内蒙"	"褐"	"D062"	"内蒙古赤峰市农科所"	"I7C01256"	"5.01"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000166"	"LU SAO ZHOU CAI"	"观尝藜"	"Kochia(地肤属)"	"绿"	"197.0"
"60"	"9.30"	"185.0"	"Chenopodiaceae(藜科)"	"红绿"	"--"	"红扫帚菜"	"开鲁"	"红绿"	"0.66"	"野生"	"长卵圆"	"野生"	"内蒙"	"灰褐"	"D063"	"内蒙古赤峰市农科所"	"I7C01257"	"5.01"	"Kochia scoparia (L.) Schrad.(地肤)"	"ZD000167"	"HONG SAO ZHOU CAI"	"野地肤"	"Kochia(地肤属)"	"紫红"	"271.0"
