"id"	"蛋氨酸"	"科名"	"孢囊等级3"	"品种名称"	"病毒指数"	"脐色"	"锈病等级"	"熟期抗旱性"	"苗期抗冷"	"油酸"	"生育月份"	"产地来源"	"类型"	"硬脂酸"	"生育日数"	"胰酶抑制剂"	"译名"	"孢囊等级1"	"省"	"亚油酸"	"东经"	"百粒重"	"软脂酸"	"统一编号"	"平均孢囊5"	"学名"	"粒形"	"孢囊等级5"	"胱氨酸"	"平均孢囊1"	"孢囊等级2"	"花色"	"粗脂肪"	"锈病抗病性"	"粗蛋白"	"结荚习性"	"北纬"	"芽期抗旱性"	"平均孢囊3"	"库编号"	"生长习性"	"保存单位"	"孢囊指数3"	"区"	"锈病反应型"	"芽期抗冷"	"叶形"	"粒色"	"备注"	"孢囊等级4"	"苗期抗盐性"	"子叶色"	"病毒等级"	"样品类型"	"属名"	"茸毛色"	"高程"	"平均孢囊4"	"株高"	"芽期抗盐性"	"平均孢囊2"	"亚麻酸"
"2569"	"--"	"Leguminosae(豆科)"	"--"	"瘪黄豆"	"28.50"	"--"	"7"	"--"	"--"	"21.7"	"4/中-9/上"	"贵州纳雍"	"春"	"2.9"	"130"	"+"	"BIE HUANG DOU"	"--"	"贵州"	"52.6"	"10522"	"14.9"	"11.6"	"ZDD06594"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"白"	"16.7"	"342"	"43.3"	"有"	"2647"	"--"	"--"	"I2A04026"	"半直"	"安顺地区农科所(品资102)"	"--"	"南方春大豆"	"--"	"--"	"椭圆"	"黄"	"--"	"--"	"--"	"黄"	"5"	"地方"	"Glycine(大豆属)"	"棕"	"1475"	"--"	"50.0"	"--"	"--"	"11.2"
"2570"	"--"	"Leguminosae(豆科)"	"--"	"八月黄"	"52.88"	"--"	"7"	"--"	"--"	"21.7"	"4/中-8/下"	"贵州纳雍"	"春"	"3.6"	"121"	"+"	"BA YUE HUANG"	"--"	"贵州"	"52.8"	"10522"	"13.3"	"11.6"	"ZDD06601"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"白"	"18.6"	"342"	"39.8"	"有"	"2647"	"--"	"--"	"I2A03972"	"半直"	"安顺地区农科所(品资104)"	"--"	"南方春大豆"	"--"	"--"	"椭圆"	"淡黄"	"--"	"--"	"--"	"黄"	"7"	"地方"	"Glycine(大豆属)"	"灰"	"1475"	"--"	"37.0"	"--"	"--"	"10.2"
"2571"	"--"	"Leguminosae(豆科)"	"--"	"白豆"	"40.00"	"--"	"7"	"--"	"--"	"18.1"	"4/中-8/下"	"贵州纳雍"	"春"	"3.3"	"117"	"+"	"BAI DOU"	"--"	"贵州"	"56.6"	"10522"	"16.9"	"12.1"	"ZDD06604"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"白"	"16.2"	"342"	"41.9"	"有"	"2647"	"--"	"--"	"I2A03974"	"直立"	"安顺地区农科所(品资108)"	"--"	"南方春大豆"	"S-S"	"--"	"卵圆"	"白黄"	"--"	"--"	"--"	"黄"	"5"	"地方"	"Glycine(大豆属)"	"棕"	"1475"	"--"	"24.2"	"--"	"--"	"9.9"
"2572"	"--"	"Leguminosae(豆科)"	"--"	"小黄豆"	"49.04"	"--"	"7"	"--"	"--"	"20.9"	"4/中-8/下"	"贵州纳雍"	"春"	"4.0"	"115"	"+"	"XIAO HUANG DOU"	"--"	"贵州"	"52.9"	"10522"	"8.0"	"11.1"	"ZDD06606"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"白"	"14.9"	"342"	"42.0"	"有"	"2647"	"--"	"--"	"I2A03975"	"半直"	"安顺地区农科所(品资112)"	"--"	"南方春大豆"	"--"	"--"	"椭圆"	"淡黄"	"--"	"--"	"--"	"黄"	"7"	"地方"	"Glycine(大豆属)"	"棕"	"1475"	"--"	"38.6"	"--"	"--"	"11.1"
"2573"	"--"	"Leguminosae(豆科)"	"--"	"小黄豆"	"49.04"	"--"	"7"	"--"	"--"	"20.9"	"4/中-8/下"	"贵州纳雍"	"春"	"4.0"	"115"	"+"	"XIAO HUANG DOU"	"--"	"贵州"	"52.9"	"10522"	"8.0"	"11.1"	"ZDD06606"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"白"	"14.9"	"342"	"42.0"	"有"	"2647"	"--"	"--"	"I2A03975"	"半直"	"安顺地区农科所(品资112)"	"--"	"南方春大豆"	"--"	"--"	"椭圆"	"淡黄"	"--"	"--"	"--"	"黄"	"7"	"地方"	"Glycine(大豆属)"	"棕"	"1475"	"--"	"38.6"	"--"	"--"	"11.1"
"2574"	"--"	"Leguminosae(豆科)"	"--"	"黑壳白豆"	"33.30"	"--"	"7"	"--"	"--"	"23.7"	"4/中-9/中"	"贵州赫章"	"春"	"3.4"	"134"	"+"	"HEI KE BAI DOU"	"--"	"贵州"	"50.6"	"10443"	"12.3"	"11.9"	"ZDD06612"	"--"	"Glycine max L. Merrill(大豆)"	"扁椭"	"--"	"--"	"--"	"--"	"白"	"18.1"	"342"	"39.0"	"有"	"2707"	"--"	"--"	"I2A03977"	"直立"	"安顺地区农科所(品资124)"	"--"	"南方春大豆"	"--"	"--"	"椭圆"	"浓黄"	"--"	"--"	"--"	"黄"	"5"	"地方"	"Glycine(大豆属)"	"灰"	"1510"	"--"	"35.0"	"--"	"--"	"10.4"
"2575"	"--"	"Leguminosae(豆科)"	"--"	"花木碗豆"	"30.56"	"--"	"7"	"--"	"--"	"20.8"	"4/中-10/下"	"贵州威宁"	"春"	"3.6"	"176"	"+"	"HUA MU WAN DOU"	"--"	"贵州"	"52.4"	"10417"	"15.2"	"12.3"	"ZDD06617"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"17.8"	"342"	"43.1"	"有"	"2652"	"--"	"--"	"I2A03978"	"直立"	"安顺地区农科所(品资141)"	"--"	"南方春大豆"	"--"	"--"	"圆"	"白黄"	"--"	"--"	"--"	"黄"	"5"	"地方"	"Glycine(大豆属)"	"棕"	"1510"	"--"	"40.0"	"--"	"--"	"10.9"
"2576"	"--"	"Leguminosae(豆科)"	"--"	"八月黄"	"27.50"	"--"	"7"	"--"	"--"	"22.9"	"4/中-9/上"	"贵州大方"	"春"	"3.6"	"122"	"+"	"BA YUE HUANG"	"--"	"贵州"	"52.3"	"10532"	"12.3"	"11.3"	"ZDD06621"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"白"	"18.1"	"342"	"43.7"	"有"	"2707"	"--"	"--"	"I2A03979"	"半直"	"安顺地区农科所(品资152)"	"--"	"南方春大豆"	"--"	"--"	"椭圆"	"黄"	"--"	"--"	"--"	"黄"	"5"	"地方"	"Glycine(大豆属)"	"棕"	"1700"	"--"	"46.6"	"--"	"--"	"9.9"
"2577"	"--"	"Leguminosae(豆科)"	"--"	"六月早"	"27.04"	"--"	"7"	"--"	"--"	"26.3"	"4/中-8/下"	"贵州安顺"	"春"	"3.3"	"111"	"+"	"LIU YUE ZAO"	"--"	"贵州"	"47.4"	"10555"	"9.7"	"12.9"	"ZDD06627"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"17.1"	"342"	"40.3"	"有"	"2614"	"--"	"--"	"I2A03983"	"半直"	"安顺地区农科所(品资161)"	"--"	"南方春大豆"	"S-S"	"--"	"卵圆"	"黄"	"--"	"--"	"--"	"黄"	"5"	"地方"	"Glycine(大豆属)"	"棕"	"1395"	"--"	"53.0"	"--"	"--"	"10.1"
"2578"	"--"	"Leguminosae(豆科)"	"--"	"六月早"	"29.17"	"--"	"7"	"--"	"--"	"27.0"	"4/中-8/下"	"贵州平坝"	"春"	"3.3"	"123"	"+"	"LIU YUE ZAO"	"--"	"贵州"	"47.0"	"10616"	"9.7"	"12.9"	"ZDD06637"	"--"	"Glycine max L. Merrill(大豆)"	"椭圆"	"--"	"--"	"--"	"--"	"紫"	"16.1"	"342"	"42.2"	"有"	"2625"	"--"	"--"	"I2A03988"	"半直"	"安顺地区农科所(品资181)"	"--"	"南方春大豆"	"S-S"	"--"	"卵圆"	"黄"	"--"	"--"	"--"	"黄"	"5"	"地方"	"Glycine(大豆属)"	"棕"	"--"	"--"	"26.5"	"--"	"--"	"9.9"
