"id"	"嫩叶颜色"	"芽着生状态"	"叶脉"	"秋可溶糖"	"春担桑茧量"	"萎缩萎缩病"	"叶面粗滑"	"发芽期"	"秋公斤叶数"	"叶硬化期"	"枝条长短"	"叶缘"	"省"	"秋万茧层量"	"开叶期"	"枝态"	"统一编号"	"花叶萎缩病"	"叶厚薄"	"属名"	"春可溶糖"	"株产叶量"	"成熟期"	"发芽率"	"染色体数"	"春万头茧量"	"保存单位"	"叶尖"	"亩产叶量"	"黑枯细菌病"	"叶着生状态"	"雄穗多少"	"污叶病"	"叶背毛"	"叶面光泽"	"枝条皮色"	"椹颜色"	"花柱有无"	"叶长"	"叶缘芒刺"	"发条力"	"皮孔个"	"耐寒性"	"椹梗叶"	"叶基"	"白粉病"	"青枯病"	"科名"	"种子来源地"	"品种名称"	"副芽多少"	"耐湿性"	"叶面缩"	"节间长"	"叶形状"	"冬芽颜色"	"枝条曲直"	"秋粗蛋白"	"秋万头茧量"	"译名"	"叶面毛"	"秋担桑茧量"	"叶幅"	"椹结实性"	"学名"	"原产地"	"雄穗长度"	"褐斑病"	"冬芽形状"	"秋米条叶"	"花性"	"黄化萎缩病"	"叶色"	"椹多少"	"春万茧层量"	"枝条粗细"	"椹长度"	"叶序"	"生长芽率"	"春米条叶"	"叶柄长"	"耐旱性"	"梢梗叶"	"条梗叶"	"春公斤叶数"	"春粗蛋白"	"花叶开放序"	"实用分类"	"缩叶细菌病"	"叶梗叶"	"柱头毛或突"
"45"	"绿带紫红"	"--"	"基脉五出"	"--"	"6.260"	"--"	"光滑"	"4月8-13日"	"291"	"--"	"中"	"乳头齿"	"吉林"	"3.865"	"--"	"直立"	"06-00019"	"--"	"较厚"	"Morus(桑属)"	"14.38"	"2.710"	"5月中旬初"	"87.0"	"二倍体"	"20.390"	"中国农科院蚕业所"	"锐头"	"1144.0"	"中抗"	"--"	"--"	"抗"	"无"	"较强"	"黄褐"	"紫黑"	"无"	"17.0"	"无"	"强"	"9.0"	"较强"	"0.6"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"吉林省蚕业所"	"小北鲁"	"--"	"中"	"无缩皱"	"4.5"	"心脏形"	"--"	"直"	"--"	"17.190"	"XIAO BEI LU"	"无"	"6.120"	"14.5"	"强"	"Morus multicaulis Perr.(鲁桑)"	"吉林省龙井县"	"--"	"--"	"--"	"86.0"	"雌花"	"--"	"翠绿"	"少"	"4.947"	"中等"	"短"	"2/5"	"21.70"	"102.0"	"6.0"	"较强"	"5.2"	"47.80"	"710"	"26.37"	"先叶后花"	"--"	"--"	"46.4"	"突起"
"46"	"黄绿"	"--"	"基脉五出"	"13.04"	"--"	"--"	"光滑"	"4月7-14日"	"432"	"--"	"长"	"钝齿,锐齿"	"黑龙江"	"4.480"	"--"	"直立"	"07-00001"	"--"	"较厚"	"Morus(桑属)"	"12.68"	"2.000"	"5月中旬初"	"80.0"	"二倍体"	"--"	"中国农科院蚕业所"	"锐头"	"1000.0"	"抗"	"--"	"少"	"--"	"无"	"较强"	"灰棕"	"紫黑"	"无"	"15.0"	"无"	"强"	"10.0"	"强"	"0.3"	"深心形"	"--"	"--"	"Moraceae(桑科)"	"黑龙江省蚕业所"	"选秋1号"	"--"	"中"	"无缩皱"	"3.9"	"心脏形"	"--"	"直"	"25.130"	"18.820"	"XUAN QIU 1 HAO"	"无"	"4.600"	"13.0"	"强"	"Morus alba Linn.(白桑)"	"黑龙江省双城县"	"短"	"抗"	"--"	"49.0"	"雌雄花同株"	"--"	"深绿"	"少"	"--"	"细"	"短"	"2/5"	"15.00"	"77.0"	"4.0"	"中"	"4.0"	"51.70"	"868"	"25.91"	"先叶后花"	"--"	"--"	"44.0"	"突起"
"47"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"微粗糙"	"4月4-12日"	"1200"	"--"	"中"	"乳头齿"	"黑龙江"	"--"	"--"	"直立"	"07-00002"	"--"	"较厚"	"Morus(桑属)"	"--"	"0.700"	"5月中旬初"	"77.0"	"二倍体"	"--"	"中国农科院蚕业所"	"短尾状"	"350.0"	"抗"	"--"	"无"	"感病"	"无"	"较强"	"棕褐"	"紫黑"	"无"	"8.0"	"无"	"强"	"9.0"	"强"	"0.5"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"黑龙江省蚕业所"	"双城桑"	"--"	"中"	"无缩皱"	"3.5"	"心脏形"	"--"	"直"	"--"	"--"	"SHUANG CHENG SANG"	"无"	"--"	"6.0"	"强"	"Morus alba Linn.(白桑)"	"黑龙江省双城县"	"--"	"--"	"--"	"35.0"	"雌花"	"--"	"翠绿"	"少"	"--"	"细"	"短"	"2/5"	"15.00"	"75.0"	"--"	"较强"	"11.8"	"36.40"	"2000"	"--"	"先叶后花"	"--"	"抗"	"51.3"	"突起"
"48"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"3月28-4月7日"	"1300"	"--"	"中"	"钝齿"	"黑龙江"	"--"	"--"	"直立"	"07-00003"	"--"	"厚"	"Morus(桑属)"	"--"	"0.520"	"5月上旬"	"83.0"	"--"	"--"	"中国农科院蚕业所"	"锐头"	"310.0"	"抗"	"--"	"较少"	"易感"	"无"	"较强"	"褐"	"紫黑"	"无"	"10.0"	"无"	"强"	"9.0"	"强"	"0.6"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"黑龙江省蚕业所"	"依兰桑"	"--"	"中"	"无缩皱"	"3.0"	"心脏形"	"--"	"直"	"--"	"--"	"YI LAN SANG"	"无"	"--"	"8.0"	"强"	"Morus alba Linn.(白桑)"	"黑龙江省依兰县"	"短"	"--"	"--"	"33.0"	"雌雄花同株"	"--"	"翠绿"	"少"	"--"	"细"	"短"	"2/5"	"18.00"	"56.0"	"--"	"较强"	"14.9"	"36.40"	"2000"	"--"	"先叶后花"	"--"	"--"	"48.1"	"突起"
"49"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"易感"	"光滑"	"4月8-12日"	"775"	"--"	"中"	"乳头齿"	"黑龙江"	"--"	"--"	"斜生"	"07-00004"	"--"	"薄"	"Morus(桑属)"	"--"	"1.120"	"5月中旬初"	"79.0"	"--"	"--"	"中国农科院蚕业所"	"短尾状"	"560.0"	"--"	"--"	"无"	"中抗"	"无"	"较强"	"灰棕"	"紫黑"	"短"	"10.0"	"无"	"强"	"8.0"	"强"	"0.3"	"心形"	"抗"	"--"	"Moraceae(桑科)"	"黑龙江省蚕业所"	"镜泊湖桑"	"--"	"中"	"--"	"3.0"	"裂叶形"	"--"	"曲"	"--"	"--"	"JING BO HU SANG"	"无"	"--"	"8.0"	"强"	"Morus alba Linn.(白桑)"	"黑龙江省镜泊湖"	"--"	"--"	"--"	"35.0"	"雌花"	"--"	"翠绿"	"少"	"--"	"细"	"短"	"2/5"	"20.00"	"62.0"	"3.5"	"较强"	"12.0"	"40.70"	"2500"	"--"	"先叶后花"	"--"	"--"	"47.0"	"突起"
"50"	"绿带紫红"	"--"	"基脉五出"	"--"	"--"	"感病"	"光滑"	"4月8-13日"	"1100"	"--"	"长"	"乳头齿"	"黑龙江"	"--"	"--"	"斜生"	"07-00005"	"--"	"较薄"	"Morus(桑属)"	"--"	"1.060"	"5月中旬初"	"72.0"	"--"	"--"	"中国农科院蚕业所"	"短尾状"	"512.0"	"--"	"--"	"无"	"中抗"	"无"	"较强"	"灰棕"	"紫黑"	"无"	"7.0"	"无"	"强"	"8.0"	"强"	"2.8"	"浅心形"	"--"	"--"	"Moraceae(桑科)"	"黑龙江省蚕业所"	"太阳岛桑"	"--"	"中"	"无缩皱"	"2.8"	"裂叶形"	"--"	"直"	"--"	"--"	"TAI YANG DAO SANG"	"无"	"--"	"6.0"	"强"	"Morus alba Linn.(白桑)"	"黑龙江省哈尔滨市"	"--"	"--"	"--"	"44.0"	"雌花"	"--"	"翠绿"	"中"	"--"	"细"	"短"	"2/5"	"50.00"	"60.0"	"3.5"	"较强"	"15.6"	"37.60"	"1900"	"--"	"先叶后花"	"--"	"--"	"44.0"	"突起"
"51"	"绿带紫红"	"--"	"基脉五出"	"8.80"	"6.440"	"--"	"光滑"	"4月12-16日"	"284"	"--"	"长"	"钝齿"	"江苏"	"4.225"	"--"	"斜生"	"09-00045"	"--"	"较厚"	"Morus(桑属)"	"12.00"	"3.500"	"5月中旬末"	"58.0"	"二倍体"	"23.670"	"中国农科院蚕业所"	"短尾状"	"1650.0"	"中抗"	"--"	"--"	"中抗"	"无"	"较强"	"黄褐"	"紫黑"	"无"	"23.2"	"无"	"强"	"11.0"	"较强"	"0.6"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"江苏省无锡县"	"湖桑10号"	"--"	"较强"	"微缩皱"	"4.6"	"心脏形"	"--"	"曲"	"28.977"	"19.635"	"HU SANG 10 HAO"	"无"	"6.750"	"17.3"	"强"	"Morus multicaulis Perr.(鲁桑)"	"江苏省无锡县"	"--"	"--"	"--"	"85.0"	"雌花"	"感病"	"翠绿"	"较少"	"5.702"	"粗"	"16"	"2/5"	"18.00"	"80.0"	"6.0"	"中"	"8.0"	"52.40"	"480"	"26.37"	"先叶后花"	"--"	"--"	"39.0"	"突起"
"52"	"绿带红"	"--"	"基脉五出"	"8.00"	"6.020"	"--"	"光滑"	"4月9-15日"	"256"	"--"	"长"	"钝齿"	"江苏"	"3.987"	"--"	"斜生"	"09-00046"	"--"	"厚"	"Morus(桑属)"	"11.00"	"2.500"	"5月中旬末"	"66.0"	"二倍体"	"22.131"	"中国农科院蚕业所"	"锐头"	"1100.0"	"中抗"	"--"	"--"	"中抗"	"无"	"较强"	"淡褐"	"紫黑"	"无"	"18.0"	"无"	"中"	"12.0"	"较强"	"10.0"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"江苏省无锡县"	"湖桑11号"	"--"	"较强"	"微缩皱"	"4.2"	"心脏形"	"--"	"微曲"	"26.002"	"18.571"	"HU SANG 11 HAO"	"无"	"6.380"	"16.1"	"强"	"Morus multicaulis Perr.(鲁桑)"	"江苏省无锡县"	"--"	"--"	"--"	"85.0"	"雌花"	"易感"	"翠绿"	"较多"	"5.650"	"粗"	"短"	"3/8"	"8.50"	"79.0"	"4.6"	"中"	"7.0"	"44.00"	"740"	"25.56"	"先叶后花"	"--"	"--"	"39.0"	"突起"
"53"	"绿带紫红"	"--"	"基脉五出"	"11.54"	"4.700"	"--"	"光滑"	"4月12-17日"	"241"	"--"	"长"	"乳头齿"	"江苏"	"4.229"	"--"	"斜生"	"09-00047"	"--"	"较厚"	"Morus(桑属)"	"15.62"	"3.500"	"5月中旬末"	"63.0"	"二倍体"	"17.750"	"中国农科院蚕业所"	"锐头"	"1750.0"	"抗"	"--"	"中"	"抗"	"无"	"强"	"灰带黄褐"	"紫黑"	"无"	"19.5"	"无"	"中"	"15.0"	"较强"	"0.2"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"原江苏省无锡蚕丝试验场"	"湖桑13号"	"--"	"较强"	"泡皱"	"4.1"	"心脏形"	"--"	"稍曲"	"30.310"	"18.500"	"HU SANG 13 HAO"	"无"	"5.840"	"17.9"	"强"	"Morus multicaulis Perr.(鲁桑)"	"原江苏省无锡蚕丝试验场"	"短"	"中抗"	"--"	"120.0"	"雌雄花同株"	"抗"	"翠绿"	"少"	"4.311"	"粗"	"短"	"2/5"	"10.00"	"113.0"	"8.0"	"中"	"6.0"	"48.00"	"496"	"23.30"	"先叶后花"	"--"	"--"	"45.8"	"突起"
"54"	"绿带紫红"	"--"	"基脉五出"	"11.10"	"5.530"	"--"	"光滑"	"4月9-15日"	"218"	"--"	"长"	"钝齿"	"江苏"	"4.149"	"--"	"直立"	"09-00048"	"--"	"厚"	"Morus(桑属)"	"15.38"	"3.010"	"5月中旬初"	"61.0"	"二倍体"	"20.900"	"中国农科院蚕业所"	"锐头"	"1550.0"	"中抗"	"--"	"少"	"抗"	"无"	"较强"	"灰棕"	"紫黑"	"无"	"21.0"	"无"	"中"	"12.0"	"较强"	"0.3"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"原江苏省无锡蚕丝试验场"	"湖桑20号"	"--"	"较强"	"泡皱"	"4.4"	"心脏形"	"--"	"直"	"29.470"	"17.770"	"HU SANG 20 HAO"	"无"	"5.610"	"17.9"	"强"	"Morus multicaulis Perr.(鲁桑)"	"江苏省无锡县钱桥"	"中等"	"中抗"	"--"	"90.0"	"雌雄花同株"	"感病"	"翠绿"	"少"	"5.104"	"粗"	"短"	"2/5-3/8"	"16.00"	"115.0"	"5.7"	"中"	"9.0"	"47.00"	"540"	"23.24"	"先叶后花"	"--"	"--"	"43.7"	"突起"
"55"	"黄绿"	"--"	"基脉五出"	"9.75"	"5.650"	"--"	"光滑"	"4月11-15日"	"280"	"--"	"较长"	"乳头齿"	"江苏"	"4.501"	"--"	"稍弯曲"	"09-00051"	"--"	"较厚"	"Morus(桑属)"	"12.75"	"3.200"	"5月中旬末"	"61.0"	"二倍体"	"22.010"	"中国农科院蚕业所"	"锐头"	"1600.0"	"中抗"	"--"	"较少"	"中抗"	"无"	"较强"	"灰褐带黄"	"紫黑"	"无"	"20.6"	"无"	"强"	"14.0"	"较强"	"1.5"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"原江苏省无锡蚕丝试验场"	"湖桑24号"	"--"	"较强"	"泡皱"	"4.2"	"卵圆形"	"--"	"--"	"25.630"	"21.030"	"HU SANG 24 HAO"	"无"	"7.230"	"17.2"	"强"	"Morus multicaulis Perr.(鲁桑)"	"原江苏省无锡蚕丝试验场"	"中等"	"--"	"--"	"85.0"	"雌雄花同株"	"感病"	"翠绿"	"少"	"5.129"	"较粗"	"短"	"2/5"	"18.00"	"110.0"	"5.7"	"中"	"8.5"	"47.00"	"580"	"24.36"	"先叶后花"	"--"	"--"	"43.0"	"突起"
"56"	"绿带紫红"	"--"	"基脉五出"	"11.25"	"5.570"	"--"	"光滑"	"4月12-17日"	"234"	"--"	"长"	"乳头齿"	"江苏"	"4.159"	"--"	"斜生"	"09-00052"	"--"	"厚"	"Morus(桑属)"	"13.75"	"2.900"	"5月中旬末"	"64.0"	"二倍体"	"21.968"	"中国农科院蚕业所"	"锐头"	"1450.0"	"中抗"	"--"	"无"	"中抗"	"无"	"较强"	"黄褐"	"紫黑"	"无"	"18.0"	"无"	"强"	"11.0"	"较强"	"0.8"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"原江苏省无锡蚕丝试验场"	"湖桑26号"	"--"	"较强"	"微缩皱"	"4.4"	"心脏形"	"--"	"微曲"	"23.770"	"19.382"	"HU SANG 26 HAO"	"无"	"6.710"	"15.9"	"强"	"Morus multicaulis Perr.(鲁桑)"	"江苏省无锡县钱桥?"	"无"	"中抗"	"--"	"74.0"	"雌花"	"中抗"	"翠绿"	"较少"	"5.039"	"粗"	"短"	"2/5"	"16.00"	"95.0"	"5.5"	"中"	"9.0"	"46.00"	"492"	"25.56"	"先叶后花"	"--"	"--"	"44.2"	"突起"
"57"	"紫红"	"--"	"基脉五出"	"11.63"	"5.550"	"--"	"光滑"	"4月13-17日"	"178"	"--"	"中"	"乳头齿"	"江苏"	"4.293"	"--"	"斜生"	"09-00053"	"--"	"厚"	"Morus(桑属)"	"13.65"	"2.880"	"5月中旬末"	"64.0"	"二倍体"	"20.820"	"中国农科院蚕业所"	"锐头"	"1440.0"	"中抗"	"--"	"较少"	"中抗"	"无"	"较强"	"青灰"	"紫黑"	"无"	"21.0"	"无"	"弱"	"14.0"	"较强"	"0.2"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"原江苏省无锡蚕丝试验场"	"湖桑31号"	"--"	"较强"	"微缩皱"	"4.6"	"心脏形"	"--"	"稍曲"	"23.030"	"19.910"	"HU SANG 31 HAO"	"无"	"6.840"	"19.0"	"强"	"Morus multicaulis Perr.(鲁桑)"	"江苏省无锡县钱桥"	"中等"	"--"	"--"	"115.0"	"雌雄花同株"	"--"	"深绿"	"少"	"4.710"	"中等"	"短"	"2/5"	"14.00"	"130.0"	"5.5"	"中"	"8.0"	"46.00"	"380"	"24.36"	"先叶后花"	"--"	"--"	"45.8"	"突起"
"58"	"绿带紫红"	"--"	"基脉五出"	"9.75"	"5.570"	"--"	"光滑"	"4月12-16日"	"219"	"--"	"长"	"乳头齿"	"浙江"	"4.068"	"--"	"斜生"	"09-00054"	"--"	"较厚"	"Morus(桑属)"	"13.95"	"3.600"	"5月中旬末"	"60.0"	"二倍体"	"21.732"	"中国农科院蚕业所"	"锐头"	"1800.0"	"抗"	"--"	"--"	"抗"	"无"	"较强"	"黄褐"	"紫黑"	"无"	"19.4"	"无"	"强"	"15.0"	"较强"	"0.3"	"深心形"	"抗"	"--"	"Moraceae(桑科)"	"原江苏省无锡蚕丝试验场"	"湖桑32号"	"--"	"强"	"波皱"	"4.7"	"心脏形"	"--"	"稍曲"	"22.283"	"19.151"	"HU SANG 32 HAO"	"无"	"6.580"	"17.7"	"强"	"Morus multicaulis Perr.(鲁桑)"	"浙江省海宁市"	"--"	"--"	"--"	"124.0"	"雌花"	"感病"	"绿"	"少"	"5.016"	"粗"	"短"	"2/5"	"15.00"	"104.0"	"6.5"	"中"	"7.7"	"49.00"	"369"	"23.56"	"先叶后花"	"--"	"--"	"43.0"	"突起"
"59"	"绿带紫红"	"--"	"基脉五出"	"9.90"	"5.010"	"--"	"光滑"	"4月8-15日"	"265"	"--"	"长"	"乳头齿"	"浙江"	"4.592"	"--"	"直立"	"09-00055"	"感病"	"厚"	"Morus(桑属)"	"15.55"	"3.360"	"5月中旬初"	"62.0"	"二倍体"	"19.090"	"中国农科院蚕业所"	"渐尖"	"1680.0"	"易感"	"--"	"中"	"中抗"	"无"	"强"	"青灰"	"紫黑"	"无"	"21.2"	"无"	"中"	"7.0"	"中等"	"0.4"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"原江苏省无锡蚕丝试验场"	"湖桑35号"	"--"	"强"	"无缩皱"	"4.0"	"长卵圆形"	"--"	"直"	"31.640"	"19.942"	"HU SANG 35 HAO"	"无"	"6.300"	"16.7"	"强"	"Morus multicaulis Perr.(鲁桑)"	"浙江省桐乡县"	"短"	"抗"	"--"	"101.0"	"雌雄花同株"	"抗"	"墨绿"	"少"	"4.683"	"粗"	"短"	"2/5"	"18.00"	"154.0"	"6.8"	"中"	"10.0"	"44.00"	"406"	"24.63"	"先叶后花"	"--"	"--"	"45.6"	"突起"
"60"	"紫红"	"--"	"基脉五出"	"10.25"	"5.780"	"--"	"光滑"	"4月11-17日"	"280"	"--"	"长"	"乳头齿"	"江苏"	"4.348"	"--"	"直立"	"09-00056"	"--"	"较厚"	"Morus(桑属)"	"15.00"	"2.800"	"5月中旬末"	"60.0"	"二倍体"	"22.595"	"中国农科院蚕业所"	"锐头"	"1400.0"	"感病"	"--"	"多"	"中抗"	"无"	"强"	"青灰带黄"	"--"	"--"	"17.0"	"无"	"强"	"9.0"	"较强"	"--"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"原江苏省无锡蚕丝试验场"	"湖桑36号"	"--"	"较强"	"无缩皱"	"3.6"	"长心脏形"	"--"	"微曲"	"30.460"	"20.630"	"HU SANG 36 HAO"	"无"	"7.100"	"14.0"	"--"	"Morus multicaulis Perr.(鲁桑)"	"原江苏省无锡县钱桥"	"中等"	"--"	"--"	"92.0"	"雄花"	"中抗"	"深绿"	"--"	"5.172"	"粗"	"--"	"3/8"	"17.00"	"96.0"	"4.5"	"较强"	"9.0"	"47.00"	"580"	"26.37"	"花叶同开"	"--"	"--"	"44.0"	"--"
"61"	"紫黑"	"--"	"基脉三出"	"12.34"	"4.790"	"--"	"微粗糙"	"4月8-15日"	"232"	"--"	"长"	"钝齿"	"浙江"	"3.986"	"--"	"斜生"	"10-00022"	"--"	"较厚"	"Morus(桑属)"	"19.60"	"3.620"	"5月中旬初"	"76.0"	"二倍体"	"18.066"	"中国农科院蚕业所"	"锐头"	"1810.0"	"中抗"	"--"	"--"	"中抗"	"无"	"较弱"	"褐"	"紫黑"	"无"	"21.0"	"无"	"强"	"12.0"	"中等"	"0.4"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"浙江省余杭县"	"木舟青2号"	"--"	"较强"	"无皱或微皱"	"3.9"	"心脏形"	"--"	"直"	"26.900"	"17.378"	"MU ZHOU QING 2 HAO"	"无"	"5.490"	"18.1"	"强"	"Morus multicaulis Perr.(鲁桑)"	"浙江省余杭县"	"--"	"--"	"--"	"107.0"	"雌花"	"--"	"深绿"	"少"	"4.290"	"粗"	"短"	"2/5"	"16.00"	"224.0"	"6.0"	"中"	"13.6"	"36.00"	"476"	"21.28"	"先叶后花"	"--"	"--"	"50.0"	"突起"
"62"	"绿带紫红"	"--"	"基脉五出"	"10.75"	"5.390"	"--"	"光滑"	"4月9-14日"	"312"	"--"	"长"	"钝齿"	"浙江"	"3.870"	"--"	"斜生"	"10-00023"	"--"	"较厚"	"Morus(桑属)"	"12.75"	"2.640"	"5月中旬末"	"73.0"	"二倍体"	"21.020"	"中国农科院蚕业所"	"锐头"	"1320.0"	"中抗"	"--"	"--"	"中抗"	"无"	"较强"	"青灰"	"紫黑"	"无"	"15.5"	"无"	"中"	"17.0"	"中等"	"0.4"	"深心形"	"中抗"	"--"	"Moraceae(桑科)"	"浙江省新昌县"	"早春桑"	"--"	"较强"	"泡皱"	"3.0"	"心脏形"	"--"	"微曲"	"26.750"	"18.800"	"ZAO CHUN SANG"	"无"	"6.460"	"13.1"	"强"	"Morus multicaulis Perr.(鲁桑)"	"浙江省新昌县"	"--"	"--"	"--"	"90.0"	"雌雄花同株"	"--"	"翠绿"	"少"	"4.580"	"细"	"短"	"2/5"	"21.00"	"147.0"	"4.0"	"中"	"6.5"	"36.00"	"816"	"25.56"	"先叶后花"	"--"	"--"	"57.1"	"突起"
"63"	"紫红"	"--"	"基脉出"	"12.00"	"5.330"	"--"	"光滑"	"4月1-11日"	"200"	"--"	"中"	"钝齿"	"浙江"	"3.417"	"--"	"斜生"	"10-00024"	"--"	"厚"	"Morus(桑属)"	"12.00"	"3.000"	"5月上旬初"	"77.0"	"三倍体"	"20.810"	"中国农科院蚕业所"	"长尾状"	"1500.0"	"感病"	"--"	"--"	"中抗"	"无"	"较强"	"紫褐"	"紫红"	"长"	"23.3"	"无"	"强"	"8.0"	"较弱"	"0.2"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"浙江省余杭县"	"火桑"	"--"	"较强"	"微缩皱"	"3.9"	"心脏形"	"--"	"直"	"25.260"	"16.380"	"HUO SANG"	"无"	"5.190"	"18.0"	"弱"	"Morus mizuho Hotta.(瑞穗桑)"	"浙江省余杭县"	"--"	"--"	"--"	"114.0"	"雌花"	"易感"	"深绿"	"少"	"4.392"	"粗"	"短"	"2/5"	"22.00"	"183.0"	"4.0"	"中"	"11.3"	"40.00"	"652"	"22.76"	"先叶后花"	"--"	"--"	"48.5"	"突起"
"64"	"紫红"	"--"	"基脉五出"	"11.75"	"5.410"	"中抗"	"光滑"	"4月1-11日"	"196"	"--"	"中"	"锐齿,钝齿"	"浙江"	"3.639"	"--"	"斜生"	"10-00025"	"--"	"厚"	"Morus(桑属)"	"11.50"	"2.740"	"5月上旬初"	"71.0"	"二倍体"	"21.098"	"中国农科院蚕业所"	"短尾状"	"1370.0"	"易感"	"--"	"无"	"中抗"	"无"	"较强"	"紫褐"	"紫黑"	"长"	"22.9"	"无"	"中"	"10.0"	"较弱"	"0.2"	"心形"	"中抗"	"--"	"Moraceae(桑科)"	"浙江省余杭县"	"裂叶火桑"	"--"	"较强"	"微缩皱"	"3.7"	"全裂叶混生"	"--"	"直"	"26.373"	"17.222"	"LIE YE HUO SANG"	"无"	"5.360"	"20.9"	"强"	"Morus mizuho Hotta.(瑞穗桑)"	"浙江省余杭县"	"无"	"抗"	"--"	"124.0"	"雌花"	"易感"	"翠绿"	"少"	"4.688"	"粗"	"短"	"2/5"	"20.00"	"195.0"	"4.0"	"中"	"12.8"	"32.00"	"518"	"21.96"	"先叶后花"	"--"	"--"	"55.0"	"有毛"
"65"	"绿带紫红"	"--"	"基脉五出"	"12.92"	"4.757"	"中抗"	"光滑"	"4月9-12日"	"340"	"--"	"短"	"乳头齿"	"四川"	"4.141"	"--"	"直立"	"20-00007"	"中抗"	"较薄"	"Morus(桑属)"	"17.73"	"2.828"	"5月上旬初"	"80.0"	"二倍体"	"15.822"	"中国农科院蚕业所"	"锐头"	"1414.0"	"感病"	"--"	"--"	"中抗"	"无"	"较弱"	"青灰"	"紫黑"	"--"	"13.0"	"无"	"强"	"15.0"	"中等"	"1.0"	"浅心形"	"中抗"	"--"	"Moraceae(桑科)"	"四川省合川县"	"小冠桑"	"--"	"中"	"无滑"	"3.2"	"卵圆形"	"--"	"直"	"20.590"	"17.997"	"XIAO GUAN SANG"	"无"	"6.750"	"10.0"	"强"	"Morus alba Linn.(白桑)"	"四川省合川县"	"--"	"易感"	"--"	"54.0"	"雌花"	"感病"	"深绿"	"少"	"3.531"	"细"	"短"	"2/5"	"26.00"	"112.0"	"4.0"	"中"	"9.0"	"39.00"	"1336"	"21.10"	"先叶后花"	"--"	"中抗"	"51.0"	"突起"
"66"	"黄绿"	"--"	"基脉五出"	"--"	"--"	"--"	"光滑"	"4月12-18日"	"460"	"--"	"长"	"钝齿"	"四川"	"--"	"--"	"斜生"	"20-00008"	"--"	"厚"	"Morus(桑属)"	"--"	"2.090"	"5月中旬末"	"60.0"	"--"	"--"	"中国农科院蚕业所"	"锐头"	"732.0"	"--"	"--"	"中"	"--"	"无"	"较强"	"灰褐"	"--"	"--"	"13.0"	"无"	"弱"	"--"	"较弱"	"--"	"截形"	"--"	"--"	"Moraceae(桑科)"	"四川省乐山县"	"沱桑"	"--"	"强"	"无滑"	"3.4"	"卵圆形"	"--"	"直"	"--"	"--"	"TUO SANG"	"无"	"--"	"8.0"	"--"	"Morus alba Linn.(白桑)"	"四川省乐山县"	"中等"	"--"	"--"	"52.0"	"雄株"	"--"	"深绿"	"--"	"--"	"粗"	"--"	"2/5"	"19.00"	"51.0"	"5.0"	"中"	"9.0"	"48.00"	"960"	"--"	"先叶后花"	"--"	"--"	"43.0"	"--"
"67"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"云南"	"--"	"--"	"--"	"21-00062"	"--"	"--"	"Morus(桑属)"	"--"	"--"	"--"	"72.0"	"--"	"--"	"中国农科院蚕业所"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"11.5"	"--"	"强"	"--"	"--"	"--"	"--"	"--"	"--"	"Moraceae(桑科)"	"--"	"会泽14号"	"--"	"--"	"--"	"6.0"	"裂叶形"	"--"	"--"	"--"	"--"	"HUI ZE 14 HAO"	"--"	"--"	"9.0"	"--"	"Morus mongolica var. diabolica(鬼桑)"	"云南省会泽县"	"--"	"--"	"--"	"--"	"雄花"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"晚生中熟"	"--"	"--"	"--"
