"id"	"叶蜡粉"	"保存编号"	"品种名称"	"生育期"	"叶鞘颜色"	"叶色"	"香气"	"叶态"	"栽培季节"	"叶形"	"亩产"	"译名"	"备注"	"抗病虫性"	"辣味"	"叶宽"	"单株重"	"统一编号"	"保存单位"	"抗逆性"	"用途"	"种质库编号"	"种子来源"	"株高"	"分蘖性"	"花色"
"20"	"无"	"韭13号"	"东古道韭菜"	"--"	"浅紫"	"深绿"	"浓"	"中"	"露地栽培"	"宽条"	"1175"	"DONG GU DAO JIU CAI"	"--"	"中"	"中"	"--"	"6.0"	"V08A0020"	"河北农科院蔬菜所"	"中"	"--"	"Ⅱ8A0173"	"河北阜平县"	"40.0"	"--"	"--"
"21"	"无"	"韭7号"	"青龙韭菜"	"--"	"浅紫"	"深绿"	"浓"	"中"	"露地及保护地栽培"	"宽条"	"1575"	"QING LONG JIU CAI"	"--"	"中上"	"中"	"--"	"6.0"	"V08A0026"	"河北农科院蔬菜所"	"中上"	"--"	"Ⅱ8A0132"	"河北青龙县"	"35.0"	"--"	"--"
"22"	"无"	"韭15号"	"肃宁大白根"	"--"	"浅紫"	"深绿"	"淡"	"中"	"露地栽培"	"宽条"	"1425"	"SU NING DA BAI GEN"	"--"	"中"	"中"	"--"	"5.0"	"V08A0029"	"河北农科院蔬菜所"	"中"	"--"	"Ⅱ8A0174"	"河北肃宁县"	"32.0"	"--"	"--"
"23"	"--"	"8C0039"	"791韭菜"	"--"	"--"	"浅绿"	"淡"	"直立"	"春播次年3底-5中收三次"	"宽条"	"4000"	"791 JIU CAI"	"*"	"--"	"--"	"--"	"5.0"	"V08A0039"	"河南农科院园艺所"	"抗寒强"	"--"	"Ⅱ8A0092"	"河南平顶山市"	"50.0"	"强"	"--"
"24"	"--"	"8C0033"	"遂平韭"	"--"	"浅绿"	"绿"	"浓"	"中"	"春播次年4-6收三次"	"宽条"	"2000"	"SUI PING JIU"	"*"	"--"	"弱"	"--"	"4.5"	"V08A0040"	"河南农科院园艺所"	"抗寒强"	"--"	"Ⅱ8A0137"	"河南遂平县"	"31.0"	"强"	"--"
"25"	"--"	"8C0045"	"通许韭菜"	"--"	"浅绿"	"绿"	"--"	"--"	"4上-5上-6上"	"长条"	"1500"	"TONG XU JIU CAI"	"--"	"--"	"中"	"--"	"4.0"	"V08A0041"	"河南农科院园艺所"	"抗寒较强"	"--"	"Ⅱ8A0120"	"河南通许县"	"29.5"	"--"	"--"
"26"	"--"	"8C0010"	"新安韭"	"--"	"浅绿"	"绿"	"浓"	"中"	"春播次年4-6收三次"	"宽条"	"1500"	"XIN AN JIU"	"*"	"--"	"中"	"--"	"4.0"	"V08A0042"	"河南农科院园艺所"	"抗寒弱"	"--"	"Ⅱ8A0141"	"河南新安县"	"27.3"	"强"	"--"
"27"	"多"	"30-1"	"二马蔺"	"365"	"浅绿"	"绿"	"浓"	"--"	"4下播"	"宽条"	"2000"	"ER MA LIN"	"*"	"强"	"--"	"--"	"--"	"V08A0043"	"黑龙江省园艺所"	"强"	"鲜熟食"	"Ⅱ8A0008"	"黑龙江哈尔滨市"	"50.0"	"中"	"--"
"28"	"--"	"102"	"大马蔺"	"--"	"--"	"深绿"	"--"	"直立"	"5上-6中"	"宽条"	"2625"	"DA MA LIN"	"--"	"--"	"--"	"--"	"4.5"	"V08A0056"	"吉林省蔬菜所"	"--"	"--"	"Ⅱ8A0032"	"吉林图们市"	"30.7"	"弱"	"--"
"29"	"--"	"105"	"二马蔺"	"--"	"--"	"绿"	"--"	"平展"	"5上-6中"	"宽条"	"2375"	"ER MA LIN"	"--"	"--"	"--"	"--"	"2.5"	"V08A0057"	"吉林省蔬菜所"	"--"	"--"	"Ⅱ8A0033"	"吉林图们市"	"28.0"	"弱"	"--"
